Stat,Via Cappuccini,,,,,,  ,
,,,,,,,,,
Parm,SO2,NO2,NOX,CO,PM10,,,
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,
18/03/2014 15.00,"3,0","16,8","24,5","0,7",,,,
18/03/2014 16.00,"3,2","16,3","23,4","0,7","37,1",,,
18/03/2014 17.00,"3,3","29,9","40,0","0,7",,,,
18/03/2014 18.00,"3,1","57,9","74,6","0,9","28,1",,,
18/03/2014 19.00,"3,4","65,2","77,9","1,0",,,,
18/03/2014 20.00,"3,3","61,4","73,7","0,9","38,1",,,
18/03/2014 21.00,"3,5","59,6","76,9","1,0",,,,
18/03/2014 22.00,"3,3","29,8","40,0","0,8","51,8",,,
18/03/2014 23.00,"3,3","22,2","29,2","0,8",,,,
19/03/2014 0.00,"3,1","18,3","24,7","0,8","44,9",,,
19/03/2014 1.00,,"12,8","18,1","0,8",,,,
19/03/2014 2.00,"3,2",,,"0,8","51,8",,,
19/03/2014 3.00,"2,9","8,2","12,6",,,,,
19/03/2014 4.00,"3,0","6,9","11,2","0,6","49,6",,,
19/03/2014 5.00,"2,9","8,9","13,9","0,6",,,,
19/03/2014 6.00,"3,0","21,8","29,2","0,7","46,4",,,
19/03/2014 7.00,"3,4","39,3","63,8","0,8",,,,
19/03/2014 8.00,"3,7","50,6","99,1","0,9","39,1",,,
19/03/2014 9.00,"3,4","41,9","77,9","0,9",,,,
19/03/2014 10.00,"3,3","32,3","55,8","0,8","58,1",,,
19/03/2014 11.00,"3,3","29,9","54,2","0,8",,,,
19/03/2014 12.00,"3,3","27,9","45,6","0,7","29,5",,,
19/03/2014 13.00,"3,3","14,2","24,1","0,6",,,,
19/03/2014 14.00,"3,2","13,7","21,5","0,6","15,4",,,
19/03/2014 15.00,"3,3","12,5","20,0","0,5",,,,
19/03/2014 16.00,"3,5","10,9","16,5","0,5","8,1",,,
19/03/2014 17.00,"3,2","11,8","18,5","0,6",,,,
19/03/2014 18.00,"3,3","24,1","30,5","0,6","9,0",,,
19/03/2014 19.00,"3,1","37,0","45,6","0,7",,,,
19/03/2014 20.00,"3,0","22,7","29,4","0,6","11,5",,,
19/03/2014 21.00,"3,2","17,8","23,9","0,6",,,,
19/03/2014 22.00,"3,1","9,3","14,0","0,6","26,6",,,
19/03/2014 23.00,"2,9","7,5","12,0","0,6",,,,
20/03/2014 0.00,"3,1","7,3","11,8","0,6","27,1",,,
20/03/2014 1.00,"3,0","7,7","12,2","0,7",,,,
20/03/2014 2.00,"3,0","5,9","10,3","0,6","34,7",,,
20/03/2014 3.00,"2,9","5,1","9,3","0,6",,,,
20/03/2014 4.00,"3,1","5,0","9,1","0,6","30,8",,,
20/03/2014 5.00,"3,0","7,3","11,5","0,6",,,,
20/03/2014 6.00,"3,0","10,8","15,7","0,6","31,5",,,
20/03/2014 7.00,"3,0","22,0","29,2","0,6",,,,
20/03/2014 8.00,"3,2","23,2","39,9","0,7","33,7",,,
20/03/2014 9.00,"2,9","9,2","17,2","0,5",,,,
20/03/2014 10.00,"2,9","6,5","14,2","0,5","19,5",,,
20/03/2014 11.00,"2,8","5,2","11,0","0,5",,,,
20/03/2014 12.00,"3,0","5,6","11,8","0,5","11,2",,,
20/03/2014 13.00,"3,0","6,9","13,4","0,5",,,,
20/03/2014 14.00,"3,0","6,7","12,9","0,5","6,8",,,
20/03/2014 15.00,"2,8","5,1","11,1","0,5",,,,
20/03/2014 16.00,"3,0","7,2","13,2","0,5","4,6",,,
20/03/2014 17.00,"3,0","12,0","19,7","0,5",,,,
20/03/2014 18.00,"3,0","18,0","26,0","0,6","4,4",,,
20/03/2014 19.00,"3,2","26,0","35,8","0,6",,,,
20/03/2014 20.00,"3,3","27,6","39,8","0,6","3,7",,,
20/03/2014 21.00,"3,1","29,7","40,8","0,6",,,,
20/03/2014 22.00,"3,0","31,9","44,6","0,6","7,1",,,
20/03/2014 23.00,"3,3","23,6","30,3","0,6",,,,
21/03/2014 0.00,"3,3","23,6","31,5","0,6","14,2",,,
21/03/2014 1.00,,"14,8","22,1","0,6",,,,
21/03/2014 2.00,"3,0",,,"0,6","19,5",,,
21/03/2014 3.00,"3,0","12,4","18,7",,,,,
21/03/2014 4.00,"3,3","18,0","23,4","0,6","12,0",,,
21/03/2014 5.00,"3,4","23,5","29,4","0,6",,,,
21/03/2014 6.00,"3,7","31,2","48,6","0,7","19,8",,,
21/03/2014 7.00,"4,3","54,7","130,1","0,8",,,,
21/03/2014 8.00,"4,7","63,9","189,2","1,0","10,5",,,
21/03/2014 9.00,"6,0","75,5","241,0","1,3",,,,
21/03/2014 10.00,"3,9","26,1","43,5","0,7","16,6",,,
21/03/2014 11.00,"4,0","23,6","40,3","0,7",,,,
21/03/2014 12.00,"3,8","22,3","37,3","0,7","28,8",,,
21/03/2014 13.00,"3,6","25,6","41,2","0,7",,,,
21/03/2014 14.00,"3,8","27,0","43,8","0,6","22,0",,,
21/03/2014 15.00,"3,5","16,7","26,1","0,6",,,,
21/03/2014 16.00,"3,8","21,7","34,3","0,6","15,4",,,
21/03/2014 17.00,"3,5","27,1","42,7","0,7",,,,
21/03/2014 18.00,"4,0","36,0","55,0","0,7","14,2",,,
21/03/2014 19.00,"3,6","44,7","69,5","0,8",,,,
21/03/2014 20.00,"3,6","44,3","69,9","0,9","19,3",,,
21/03/2014 21.00,"3,5","48,1","72,2","0,8",,,,
21/03/2014 22.00,"3,3","29,7","42,2","0,8","20,0",,,
21/03/2014 23.00,"3,4","24,4","34,7","0,7",,,,
22/03/2014 0.00,"2,9","14,5","19,4","0,6","24,4",,,
22/03/2014 1.00,"3,2","14,5","20,5","0,7",,,,
22/03/2014 2.00,"3,3","13,2","17,9","0,7","26,4",,,
22/03/2014 3.00,"3,0","12,7","17,8","0,6",,,,
22/03/2014 4.00,"3,0","7,8","12,2","0,6","25,2",,,
22/03/2014 5.00,"3,1","9,1","14,0","0,6",,,,
22/03/2014 6.00,"3,1","24,4","35,1","0,6","28,3",,,
22/03/2014 7.00,"3,3","29,9","41,3","0,7",,,,
22/03/2014 8.00,"3,2","28,3","46,1","0,7","22,7",,,
22/03/2014 9.00,"3,4","24,5","43,7","0,8",,,,
22/03/2014 10.00,"3,2","19,0","34,8","0,7","18,3",,,
22/03/2014 11.00,"3,2","17,4","29,2","0,7",,,,
22/03/2014 12.00,"3,2","15,1","26,6","0,7","18,8",,,
22/03/2014 13.00,"3,3","18,1","30,2","0,6",,,,
22/03/2014 14.00,"3,5","15,7","26,5","0,6","11,5",,,
22/03/2014 15.00,"3,2","14,1","23,7","0,6",,,,
22/03/2014 16.00,"3,2","17,0","27,1","0,6","7,3",,,
22/03/2014 17.00,"3,1","21,5","33,4","0,7",,,,
22/03/2014 18.00,"3,1","21,8","33,4","0,7","5,9",,,
22/03/2014 19.00,"3,1","38,1","55,4","0,8",,,,
22/03/2014 20.00,"3,3","31,4","45,6","0,7","15,1",,,
22/03/2014 21.00,"3,0","21,0","31,3","0,7",,,,
22/03/2014 22.00,"3,1","30,8","41,6","0,7","11,0",,,
22/03/2014 23.00,"3,0","19,4","26,3","0,7",,,,
23/03/2014 0.00,"2,8","14,3","20,4","0,7","23,2",,,
23/03/2014 1.00,,"10,5","16,6","0,7",,,,
23/03/2014 2.00,"2,9",,,"0,6","23,2",,,
23/03/2014 3.00,"3,0","8,0","13,0",,,,,
23/03/2014 4.00,"2,8","6,9","11,8","0,6","20,0",,,
23/03/2014 5.00,"2,8","6,0","10,5","0,6",,,,
23/03/2014 6.00,"3,1","8,3","13,4","0,6","23,7",,,
23/03/2014 7.00,"2,9","11,7","18,6","0,6",,,,
23/03/2014 8.00,"3,1","11,6","18,4","0,6","28,6",,,
23/03/2014 9.00,"3,0","10,6","18,1","0,6",,,,
23/03/2014 10.00,"3,0","10,6","18,7","0,7","26,4",,,
23/03/2014 11.00,"3,0","11,9","21,4","0,7",,,,
23/03/2014 12.00,"2,9","12,5","22,2","0,6","23,9",,,
23/03/2014 13.00,"2,9","14,0","25,3","0,6",,,,
23/03/2014 14.00,"2,8","10,9","18,8","0,6","13,7",,,
23/03/2014 15.00,"2,6","6,6","12,2","0,6",,,,
23/03/2014 16.00,"2,7","9,0","15,8","0,6","17,3",,,
23/03/2014 17.00,"2,7","10,2","16,9","0,6",,,,
23/03/2014 18.00,"2,7","13,2","21,1","0,6","11,7",,,
23/03/2014 19.00,"2,8","20,3","29,2","0,6",,,,
23/03/2014 20.00,"2,9","18,1","26,7","0,6","16,1",,,
23/03/2014 21.00,"2,9","15,5","23,8","0,6",,,,
23/03/2014 22.00,"2,9","13,3","19,5","0,6","24,2",,,
23/03/2014 23.00,"2,7","9,6","15,3","0,6",,,,
24/03/2014 0.00,"2,6","8,4","13,4","0,6","31,3",,,
24/03/2014 1.00,"2,5","5,2","9,8","0,6",,,,
24/03/2014 2.00,"2,8","4,2","8,3","0,6","33,0",,,
24/03/2014 3.00,"2,9","4,9","9,3","0,5",,,,
24/03/2014 4.00,"2,5","3,7","7,6","0,5","33,2",,,
24/03/2014 5.00,"2,6","6,0","10,4","0,5",,,,
24/03/2014 6.00,"2,8","9,3","15,0","0,6","34,7",,,
24/03/2014 7.00,"2,9","19,0","27,9","0,6",,,,
24/03/2014 8.00,"2,8","41,3","64,7","0,7","19,3",,,
24/03/2014 9.00,"2,9","40,2","67,6","0,8",,,,
24/03/2014 10.00,"3,1","30,8","50,5","0,7","10,0",,,
24/03/2014 11.00,"3,0","35,5","63,1","0,8",,,,
24/03/2014 12.00,"2,7","20,3","40,1","0,6","5,4",,,
24/03/2014 13.00,"2,9","19,5","37,1","0,6",,,,
24/03/2014 14.00,"3,1","17,7","34,6","0,6","3,2",,,
24/03/2014 15.00,"2,7","11,0","22,6","0,6",,,,
24/03/2014 16.00,"3,0","18,4","34,5","0,6","2,2",,,
24/03/2014 17.00,"3,3","33,0","58,2","0,7",,,,
24/03/2014 18.00,"3,0","37,5","61,9","0,7","2,7",,,
24/03/2014 19.00,"3,0","40,9","60,1","0,7",,,,
24/03/2014 20.00,"3,0","31,7","48,7","0,7","5,4",,,
24/03/2014 21.00,"3,4","29,6","50,4","0,7",,,,
24/03/2014 22.00,"3,1","27,7","42,5","0,6","6,3",,,
24/03/2014 23.00,"3,3","28,6","41,4","0,7",,,,
25/03/2014 0.00,"3,3","21,4","30,9","0,6","17,6",,,
25/03/2014 1.00,,"13,4","20,3","0,6",,,,
25/03/2014 2.00,"3,4",,,"0,5","10,0",,,
25/03/2014 3.00,"3,2","5,8","10,4",,,,,
25/03/2014 4.00,"3,5","7,1","11,7","0,5","6,1",,,
25/03/2014 5.00,"3,5","8,2","13,5","0,5",,,,
25/03/2014 6.00,"3,4","27,9","42,0","0,6","4,4",,,
25/03/2014 7.00,"4,0","33,0","61,5","0,7",,,,
25/03/2014 8.00,"4,0","33,5","73,9","0,7","3,7",,,
25/03/2014 9.00,"4,4","32,8","81,9","0,8",,,,
25/03/2014 10.00,"3,8","15,3","32,0","0,6","4,9",,,
25/03/2014 11.00,"3,4","10,5","20,3","0,6",,,,
25/03/2014 12.00,"3,6","8,5","17,4","0,6","14,2",,,
25/03/2014 13.00,"3,6","13,0","23,6","0,6",,,,
25/03/2014 14.00,"3,5","22,3","36,0","0,6","12,9",,,
25/03/2014 15.00,"3,7","20,1","33,4","0,6",,,,
25/03/2014 16.00,"3,5","20,1","30,9","0,6","11,5",,,
25/03/2014 17.00,"3,7","24,3","37,5","0,7",,,,
25/03/2014 18.00,"3,7","24,7","36,9","0,6","12,2",,,
25/03/2014 19.00,"4,0","36,0","51,1","0,7",,,,
25/03/2014 20.00,"3,7","42,9","58,1","0,8","7,1",,,
25/03/2014 21.00,"3,8","48,4","67,1","0,8",,,,
25/03/2014 22.00,"3,6","21,9","29,8","0,6","6,1",,,
25/03/2014 23.00,"3,3","15,1","21,3","0,6",,,,
26/03/2014 0.00,"3,4","11,0","16,4","0,6","20,5",,,
26/03/2014 1.00,"3,5","7,2","12,3","0,6",,,,
26/03/2014 2.00,"3,6","5,7","10,1","0,5","11,2",,,
26/03/2014 3.00,"3,6","4,2","8,4","0,5",,,,
26/03/2014 4.00,"3,5","3,7","7,7","0,5","7,1",,,
26/03/2014 5.00,"3,5","6,0","10,2","0,6",,,,
26/03/2014 6.00,"3,4","10,8","16,3","0,6","5,4",,,
26/03/2014 7.00,"3,6","32,6","54,2","0,7",,,,
26/03/2014 8.00,"3,7","41,3","86,3","0,9","11,2",,,
26/03/2014 9.00,"4,0","40,5","79,3","0,9",,,,
26/03/2014 10.00,"3,4","25,6","50,0","0,8","7,6",,,
26/03/2014 11.00,"3,7","20,1","40,3","0,7",,,,
26/03/2014 12.00,"3,5","22,3","42,2","0,7","10,5",,,
26/03/2014 13.00,"3,4","22,4","41,7","0,7",,,,
26/03/2014 14.00,"3,4","21,7","38,7","0,7","14,9",,,
26/03/2014 15.00,"3,4","18,8","33,3","0,6",,,,
26/03/2014 16.00,"3,3","17,1","29,6","0,6","13,9",,,
26/03/2014 17.00,"3,0","17,7","28,5","0,6",,,,
26/03/2014 18.00,"3,5","25,9","39,3","0,7","8,3",,,
26/03/2014 19.00,"3,4","37,6","54,3","0,8",,,,
26/03/2014 20.00,"3,4","44,0","62,4","0,8","5,6",,,
26/03/2014 21.00,"3,3","36,2","48,1","0,7",,,,
26/03/2014 22.00,"3,4","20,5","26,9","0,6","10,3",,,
26/03/2014 23.00,"3,2","12,6","17,7","0,6",,,,
27/03/2014 0.00,"3,3","9,6","14,9","0,6","13,7",,,
27/03/2014 1.00,,"8,2","13,4","0,6",,,,
27/03/2014 2.00,"3,1",,,"0,6","9,8",,,
27/03/2014 3.00,"3,1","6,8","11,0",,,,,
27/03/2014 4.00,"3,0","4,9","8,8","0,6","8,5",,,
27/03/2014 5.00,"3,1","4,5","8,6","0,6",,,,
27/03/2014 6.00,"3,1","7,9","13,9","0,6","9,8",,,
27/03/2014 7.00,"2,9","11,5","17,7","0,6",,,,
27/03/2014 8.00,"3,1","15,5","26,4","0,6","14,9",,,
27/03/2014 9.00,"2,8","18,7","30,5","0,7",,,,
27/03/2014 10.00,"3,1","23,6","33,7","0,6","18,3",,,
27/03/2014 11.00,"2,8","25,9","37,9","0,7",,,,
27/03/2014 12.00,"3,3","41,5","65,1","0,7","10,5",,,
27/03/2014 13.00,,,,,,,,
27/03/2014 14.00,,,,,,,,
27/03/2014 15.00,,,,,,,,
27/03/2014 16.00,,,,,,,,
27/03/2014 17.00,,,,,,,,
27/03/2014 18.00,,,,,,,,
27/03/2014 19.00,,,,,,,,
27/03/2014 20.00,,,,,,,,
27/03/2014 21.00,,,,,,,,
27/03/2014 22.00,,,,,,,,
27/03/2014 23.00,,,,,,,,
28/03/2014 0.00,,,,,,,,
28/03/2014 1.00,,,,,,,,
28/03/2014 2.00,,,,,,,,
28/03/2014 3.00,,,,,,,,
28/03/2014 4.00,,,,,,,,
28/03/2014 5.00,,,,,,,,
28/03/2014 6.00,,,,,,,,
28/03/2014 7.00,,,,,,,,
28/03/2014 8.00,,,,,,,,
28/03/2014 9.00,,,,,,,,
28/03/2014 10.00,,,,,,,,
28/03/2014 11.00,,,,,,,,
28/03/2014 12.00,,,,,"13,7",,,
28/03/2014 13.00,"3,2","13,4","23,3","0,6",,,,
28/03/2014 14.00,"3,3","10,1","17,5","0,6","13,9",,,
28/03/2014 15.00,"3,2","10,0","17,6","0,6",,,,
28/03/2014 16.00,"3,3","11,3","19,4","0,6","10,3",,,
28/03/2014 17.00,"3,1","13,5","23,4","0,6",,,,
28/03/2014 18.00,"3,0","11,0","18,4","0,6","17,3",,,
28/03/2014 19.00,"2,8","10,4","16,8","0,6",,,,
28/03/2014 20.00,"3,0","6,1","11,4","0,6","10,3",,,
28/03/2014 21.00,"3,0","5,8","10,8","0,6",,,,
28/03/2014 22.00,"2,8","4,0","8,4","0,6","7,6",,,
28/03/2014 23.00,"2,9","4,0","8,4","0,6",,,,
29/03/2014 0.00,"2,8","4,6","8,9","0,6","7,1",,,
29/03/2014 1.00,,"3,2","7,5","0,6",,,,
29/03/2014 2.00,"3,0",,,"0,6","7,3",,,
29/03/2014 3.00,"3,0","6,4","11,4",,,,,
29/03/2014 4.00,"2,5","5,0","9,7","0,6","17,8",,,
29/03/2014 5.00,"2,5","5,2","9,5","0,6",,,,
29/03/2014 6.00,"2,8","8,9","14,7","0,6","12,7",,,
29/03/2014 7.00,"3,0","12,0","18,7","0,6",,,,
29/03/2014 8.00,"3,2","12,7","24,3","0,7","9,3",,,
29/03/2014 9.00,"2,8","11,7","23,3","0,7",,,,
29/03/2014 10.00,"3,1","10,7","19,8","0,7","14,4",,,
29/03/2014 11.00,"3,3","7,5","14,6","0,6",,,,
29/03/2014 12.00,"3,2","9,6","18,8","0,7","17,6",,,
29/03/2014 13.00,"3,5","11,6","20,5","0,7",,,,
29/03/2014 14.00,"3,8","8,1","15,1","0,6","12,9",,,
29/03/2014 15.00,"3,9","6,3","12,1","0,6",,,,
29/03/2014 16.00,"3,9","7,0","12,5","0,6","20,0",,,
29/03/2014 17.00,"3,4","5,8","11,4","0,6",,,,
29/03/2014 18.00,"2,7","12,4","19,1","0,6","16,4",,,
29/03/2014 19.00,"3,2","20,4","30,7","0,7",,,,
29/03/2014 20.00,"3,1","20,7","30,3","0,7","10,0",,,
29/03/2014 21.00,"3,1","16,8","24,4","0,7",,,,
29/03/2014 22.00,"3,5","19,8","26,7","0,7","14,9",,,
29/03/2014 23.00,"3,2","17,0","23,6","0,7",,,,
30/03/2014 0.00,"3,1","18,2","25,5","0,6","11,2",,,
30/03/2014 1.00,"3,0","16,2","23,1","0,7",,,,
30/03/2014 2.00,"2,9","16,4","24,3","0,6","18,6",,,
30/03/2014 3.00,"3,1","17,9","27,0","0,7",,,,
30/03/2014 4.00,"3,2","17,8","24,9","0,6","21,7",,,
30/03/2014 5.00,"2,7","15,4","21,9","0,6",,,,
30/03/2014 6.00,"3,1","26,4","37,4","0,7","12,5",,,
30/03/2014 7.00,"2,8","39,7","62,1","0,7",,,,
30/03/2014 8.00,"3,1","21,5","33,4","0,7","14,2",,,
30/03/2014 9.00,"3,0","9,1","15,9","0,7",,,,
30/03/2014 10.00,"3,1","8,3","15,3","0,7","14,7",,,
30/03/2014 11.00,"2,8","8,1","14,6","0,7",,,,
30/03/2014 12.00,"2,9","7,1","13,3","0,7","19,3",,,
30/03/2014 13.00,"2,8","5,9","11,2","0,7",,,,
30/03/2014 14.00,"2,8","4,4","9,0","0,6","20,8",,,
30/03/2014 15.00,"3,0","6,1","11,3","0,7",,,,
30/03/2014 16.00,"2,8","7,2","13,2","0,6","17,6",,,
30/03/2014 17.00,"2,9","11,1","17,8","0,6",,,,
30/03/2014 18.00,"2,8","17,2","23,6","0,7","14,7",,,
30/03/2014 19.00,"3,1","44,9","59,6","0,8",,,,
30/03/2014 20.00,"3,1","63,6","87,8","1,0","19,0",,,
30/03/2014 21.00,"3,2","50,7","72,7","0,9",,,,
30/03/2014 22.00,"3,0","43,8","56,4","0,8","29,1",,,
30/03/2014 23.00,"2,5","46,5","62,5","0,8",,,,
31/03/2014 0.00,"2,3","50,6","73,6","0,9","19,5",,,
31/03/2014 1.00,,"27,3","35,3","0,8",,,,
31/03/2014 2.00,"2,5",,,"0,8","27,4",,,
31/03/2014 3.00,"3,0","10,5","15,0",,,,,
31/03/2014 4.00,"2,8","16,6","22,5","0,8","26,9",,,
31/03/2014 5.00,"2,9","23,4","33,0","0,8",,,,
31/03/2014 6.00,"2,9","35,8","60,9","0,9","29,1",,,
31/03/2014 7.00,"3,2","46,9","110,3","0,9",,,,
31/03/2014 8.00,"2,9","31,0","54,3","0,8","22,5",,,
31/03/2014 9.00,"2,9","15,0","25,2","0,7",,,,
31/03/2014 10.00,"2,6","15,8","29,1","0,7","52,0",,,
31/03/2014 11.00,"2,8","13,6","24,4","0,7",,,,
31/03/2014 12.00,"2,4","9,7","16,9","0,7","27,6",,,
31/03/2014 13.00,"2,2","9,4","17,2","0,7",,,,
31/03/2014 14.00,"2,3","8,4","15,9","0,7","15,1",,,
31/03/2014 15.00,"2,8","7,4","13,6","0,7",,,,
31/03/2014 16.00,"2,5","8,3","14,3","0,7","14,2",,,
31/03/2014 17.00,"2,4","12,6","19,3","0,7",,,,
31/03/2014 18.00,"2,3","16,9","24,3","0,7","8,1",,,
31/03/2014 19.00,"2,3","35,7","46,7","0,7",,,,
31/03/2014 20.00,"2,2","57,9","80,6","0,9","9,8",,,
31/03/2014 21.00,"2,2","56,3","77,1","0,8",,,,
31/03/2014 22.00,"2,1","26,9","35,8","0,7","19,8",,,
31/03/2014 23.00,"2,5","23,4","34,3","0,8",,,,
01/04/2014 0.00,"2,3","17,2","24,1","0,8","20,8",,,
01/04/2014 1.00,"2,5","18,3","25,5","0,8",,,,
01/04/2014 2.00,"2,5","18,9","25,0","0,7","20,5",,,
01/04/2014 3.00,"2,6","13,9","19,1","0,7",,,,
01/04/2014 4.00,"2,6","16,4","22,7","0,7","25,2",,,
01/04/2014 5.00,"2,6","31,0","48,2","0,7",,,,
01/04/2014 6.00,"2,6","46,2","80,0","0,8","17,1",,,
01/04/2014 7.00,"3,7","60,1","175,1","1,2",,,,
01/04/2014 8.00,"5,0","92,4","280,4","1,4","25,6",,,
01/04/2014 9.00,"3,2","24,7","38,8","0,7",,,,
01/04/2014 10.00,"3,0","18,9","32,9","0,7","34,2",,,
01/04/2014 11.00,"2,9","17,4","28,6","0,7",,,,
01/04/2014 12.00,"2,7","15,9","26,8","0,7","35,4",,,
01/04/2014 13.00,"2,3","14,3","23,8","0,7",,,,
01/04/2014 14.00,"2,8","8,4","14,9","0,6","18,8",,,
01/04/2014 15.00,"2,5","8,3","13,6","0,7",,,,
01/04/2014 16.00,"2,6","9,4","15,4","0,7","17,8",,,
01/04/2014 17.00,"2,2","11,9","18,7","0,7",,,,
01/04/2014 18.00,"2,0","22,3","31,5","0,7","10,5",,,
01/04/2014 19.00,"3,3","67,0","100,6","1,0",,,,
01/04/2014 20.00,"4,7","119,3","218,5","1,4","17,8",,,
01/04/2014 21.00,"3,9","116,7","214,0","1,3",,,,
01/04/2014 22.00,"3,5","91,9","153,7","1,2","23,9",,,
01/04/2014 23.00,"3,3","60,1","84,6","0,8",,,,
02/04/2014 0.00,"3,0","43,5","57,5","0,8","40,3",,,
02/04/2014 1.00,,"24,0","31,1","0,8",,,,
02/04/2014 2.00,"2,6",,,"0,9","38,8",,,
02/04/2014 3.00,"2,2","25,5","34,3",,,,,
02/04/2014 4.00,"2,3","19,0","25,2","0,8","33,7",,,
02/04/2014 5.00,"2,5","24,1","36,2","0,8",,,,
02/04/2014 6.00,"2,8","44,9","74,7","0,9","33,0",,,
02/04/2014 7.00,"3,2","62,4","127,9","1,0",,,,
02/04/2014 8.00,"3,8","53,1","124,5","1,0","24,9",,,
02/04/2014 9.00,"2,8","16,1","26,5","0,7",,,,
02/04/2014 10.00,"2,8","12,6","21,2","0,6","30,8",,,
02/04/2014 11.00,"2,8","9,4","17,9","0,6",,,,
02/04/2014 12.00,"2,7","9,2","16,6","0,6","26,9",,,
02/04/2014 13.00,"2,5","7,8","14,7","0,6",,,,
02/04/2014 14.00,"2,7","7,8","15,1","0,6","27,6",,,
02/04/2014 15.00,"2,6","10,6","18,0","0,7",,,,
02/04/2014 16.00,"3,0","10,1","17,3","0,7","21,7",,,
02/04/2014 17.00,"3,3","26,9","40,6","0,7",,,,
02/04/2014 18.00,"4,1","31,2","44,1","0,7","12,5",,,
02/04/2014 19.00,"3,9","62,2","94,3","0,9",,,,
02/04/2014 20.00,"3,6","64,9","84,6","1,0","13,4",,,
02/04/2014 21.00,"3,4","67,9","91,3","0,9",,,,
02/04/2014 22.00,"4,0","73,3","101,7","0,9","26,4",,,
02/04/2014 23.00,"3,0","30,5","39,2","0,8",,,,
03/04/2014 0.00,"2,5","17,2","22,9","0,7","26,4",,,
03/04/2014 1.00,"2,8","19,5","24,8","0,7",,,,
03/04/2014 2.00,"2,8","16,0","22,0","0,7","32,5",,,
03/04/2014 3.00,"2,7","12,1","16,7","0,7",,,,
03/04/2014 4.00,"3,2","14,0","18,5","0,7","23,0",,,
03/04/2014 5.00,"3,2","29,8","38,9","0,8",,,,
03/04/2014 6.00,"3,6","56,1","89,6","0,9","23,0",,,
03/04/2014 7.00,"4,0","71,2","126,2","1,1",,,,
03/04/2014 8.00,"3,4","51,0","84,0","1,0","22,2",,,
03/04/2014 9.00,"3,3","26,6","42,1","0,8",,,,
03/04/2014 10.00,"3,5","28,2","41,5","0,8","24,4",,,
03/04/2014 11.00,"2,9","25,6","37,6","0,8",,,,
03/04/2014 12.00,"3,2","30,6","46,2","0,8","18,1",,,
03/04/2014 13.00,"3,0","28,6","43,2","0,8",,,,
03/04/2014 14.00,"2,6","21,8","32,2","0,7","17,8",,,
03/04/2014 15.00,"2,7","22,1","33,5","0,7",,,,
03/04/2014 16.00,"2,9","22,4","34,1","0,7","19,3",,,
03/04/2014 17.00,"3,0","25,6","40,2","0,8",,,,
03/04/2014 18.00,"3,0","30,1","42,4","0,8","19,3",,,
03/04/2014 19.00,"3,1","38,4","52,1","0,8",,,,
03/04/2014 20.00,"3,5","40,9","54,6","0,8","11,2",,,
03/04/2014 21.00,"3,6","19,7","26,5","0,7",,,,
03/04/2014 22.00,"3,3","11,0","16,1","0,7","24,7",,,
03/04/2014 23.00,"2,7","6,9","11,7","0,7",,,,
04/04/2014 0.00,"3,1","4,8","9,2","0,6","26,9",,,
04/04/2014 1.00,,"3,6","7,9","0,6",,,,
04/04/2014 2.00,"2,8",,,"0,6","18,3",,,
04/04/2014 3.00,"2,9","2,8","6,9",,,,,
04/04/2014 4.00,"3,2","3,1","7,3","0,6","15,1",,,
04/04/2014 5.00,"2,4","6,7","12,5","0,6",,,,
04/04/2014 6.00,"2,5","10,8","16,1","0,6","21,0",,,
04/04/2014 7.00,"2,9","19,3","29,8","0,7",,,,
04/04/2014 8.00,"2,8","23,6","38,0","0,8","27,4",,,
04/04/2014 9.00,"2,7","18,7","30,0","0,7",,,,
04/04/2014 10.00,"2,8","17,2","27,5","0,7","15,6",,,
04/04/2014 11.00,"2,9","14,2","24,9","0,7",,,,
04/04/2014 12.00,"3,1","16,1","27,9","0,7","18,6",,,
04/04/2014 13.00,"3,0","15,4","24,7","0,7",,,,
04/04/2014 14.00,"2,8","12,7","21,3","0,7","22,0",,,
04/04/2014 15.00,"2,7","12,6","21,8","0,7",,,,
04/04/2014 16.00,"2,6","13,2","20,6","0,7","15,1",,,
04/04/2014 17.00,"2,1","16,4","24,7","0,7",,,,
04/04/2014 18.00,"2,5","17,9","27,0","0,7","15,6",,,
04/04/2014 19.00,"2,7","20,1","30,8","0,7",,,,
04/04/2014 20.00,"2,5","23,1","33,1","0,8","20,3",,,
04/04/2014 21.00,"2,5","14,0","21,7","0,7",,,,
04/04/2014 22.00,"2,5","5,1","9,8","0,6","34,7",,,
04/04/2014 23.00,"2,2","16,4","22,4","0,6",,,,
05/04/2014 0.00,"2,0","21,1","28,8","0,6","18,8",,,
05/04/2014 1.00,"2,8","15,3","20,7","0,6",,,,
05/04/2014 2.00,"2,9","19,9","26,6","0,7","9,8",,,
05/04/2014 3.00,"3,2","19,9","25,1","0,7",,,,
05/04/2014 4.00,"2,8","8,7","13,3","0,7","12,7",,,
05/04/2014 5.00,"3,4","16,6","24,0","0,7",,,,
05/04/2014 6.00,"3,0","24,1","33,8","0,7","11,7",,,
05/04/2014 7.00,"3,3","45,5","67,7","0,9",,,,
05/04/2014 8.00,"3,6","48,2","85,8","1,0","6,8",,,
