Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
04/01/2014 10.00,"1,0","59,3","25,2","19,0","0,4","19,3"
04/01/2014 11.00,"1,0","56,1","26,5","19,0","0,4","9,0"
04/01/2014 12.00,"0,6","45,9","21,2","19,0","0,4","12,2"
04/01/2014 13.00,"0,7","27,8","11,0","19,0","0,3","8,2"
04/01/2014 14.00,"0,6","21,5","6,4","19,0","0,4","10,1"
04/01/2014 15.00,"0,6","15,2","2,8","19,0","0,3","6,8"
04/01/2014 16.00,"0,5","15,6","2,9","19,0","0,3","5,9"
04/01/2014 17.00,"0,6","19,1","5,7","19,0","0,3","10,7"
04/01/2014 18.00,"0,7","23,2","9,2","19,0","0,4","12,9"
04/01/2014 19.00,"0,7","25,3","10,3","19,0","0,4","17,2"
04/01/2014 20.00,"0,5","24,4","9,3","19,0","0,4","17,2"
04/01/2014 21.00,"0,5","21,0","6,3","19,0","0,4","15,7"
04/01/2014 22.00,"0,4","18,6","4,9","19,0","0,3","14,2"
04/01/2014 23.00,"0,5","17,9","5,6","19,0","0,4","12,1"
05/01/2014 0.00,"0,3","13,0","1,9","19,0","0,3","7,5"
05/01/2014 1.00,"0,3","11,5","1,0","15,6","0,3","5,5"
05/01/2014 2.00,"0,4",,,"15,6","0,3","4,9"
05/01/2014 3.00,"0,3",,,"15,6","0,3","3,1"
05/01/2014 4.00,"0,5",,,"15,6","0,3","2,8"
05/01/2014 5.00,"0,4",,,"15,6","0,2","3,7"
05/01/2014 6.00,"0,3",,,"15,6","0,2","2,7"
05/01/2014 7.00,"0,3",,,"15,6","0,2","2,2"
05/01/2014 8.00,"0,6",,,"15,6","0,3","3,1"
05/01/2014 9.00,"0,4",,,"15,6","0,3","2,1"
05/01/2014 10.00,"0,3","14,3","1,2","15,6","0,2","3,8"
05/01/2014 11.00,"0,4","12,7","0,5","15,6","0,2","4,1"
05/01/2014 12.00,"0,3","13,9","0,9","15,6","0,2","4,6"
05/01/2014 13.00,"0,3","15,8","2,7","15,6","0,2","6,8"
05/01/2014 14.00,"0,3","13,8","1,9","15,6","0,3","8,2"
05/01/2014 15.00,"0,4","12,4","1,1","15,6","0,3","8,7"
05/01/2014 16.00,"0,4","12,4","1,5","15,6","0,3","5,0"
05/01/2014 17.00,"0,3","11,7","0,5","15,6","0,2","3,9"
05/01/2014 18.00,"0,3","14,9","2,0","15,6","0,2","4,6"
05/01/2014 19.00,"0,3",,,"15,6","0,2","3,5"
05/01/2014 20.00,"0,4","22,5","9,1","15,6","0,2","10,7"
