Stat,TA -S.VITO Colonia Marina,,,,,
Parm,SO2,NOX,NO2,PM10,CO,IPA TOT
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ng/m3
19/03/2014 20.00,"2,2","28,9","18,1","37,8","0,5","18,1"
19/03/2014 21.00,"2,3","40,9","28,6","37,8","0,8","38,2"
19/03/2014 22.00,"1,8","36,1","22,6","37,8","0,6","20,6"
19/03/2014 23.00,"1,4","18,2","8,1","37,8","0,4","3,5"
20/03/2014 0.00,"1,7","13,4","6,4","37,8","0,3","2,1"
20/03/2014 1.00,"1,5","14,0","7,3","20,9","0,3","2,0"
20/03/2014 2.00,"1,7","10,2","4,6","20,9","0,3","1,9"
20/03/2014 3.00,"1,5","19,9","13,8","20,9","0,5","2,2"
20/03/2014 4.00,"1,6","18,0","11,5","20,9","0,5","2,3"
20/03/2014 5.00,"1,6","13,0","6,0","20,9","0,4","1,8"
20/03/2014 6.00,"2,1","14,9","7,0","20,9","0,4","2,6"
20/03/2014 7.00,"1,9","18,1","8,3","20,9","0,4","2,6"
20/03/2014 8.00,"2,1","19,5","8,8","20,9","0,3","4,2"
20/03/2014 9.00,"1,5","24,1","12,1","20,9","0,4","4,9"
20/03/2014 10.00,"1,9","14,2","4,9","20,9","0,3","3,8"
20/03/2014 11.00,"1,4","6,8","0,6","20,9","0,3","2,3"
20/03/2014 12.00,"1,8",,,"20,9","0,3","2,1"
20/03/2014 13.00,"1,6",,,"20,9","0,3","2,0"
20/03/2014 14.00,"1,1","6,3","0,6","20,9","0,3","2,2"
20/03/2014 15.00,"1,5",,,"20,9","0,2","2,3"
20/03/2014 16.00,"2,0",,,"20,9","0,2","2,2"
20/03/2014 17.00,"1,6","10,9","2,2","20,9","0,2","3,5"
20/03/2014 18.00,"1,7","19,2","8,3","20,9","0,3","5,9"
20/03/2014 19.00,"1,7","65,9","47,0","20,9","0,4","44,6"
20/03/2014 20.00,"1,9","81,6","56,4","20,9","0,5","60,0"
20/03/2014 21.00,"2,3","62,4","40,9","20,9","0,4","44,7"
20/03/2014 22.00,"1,8","49,7","31,3","20,9","0,4","16,4"
20/03/2014 23.00,"2,3","23,9","10,6","20,9","0,3","1,7"
21/03/2014 0.00,"2,5","37,4","26,6","20,9","0,3","8,2"
21/03/2014 1.00,,"49,7","39,5","18,4","0,3","9,0"
21/03/2014 2.00,"0,6",,,"18,4","0,3","8,2"
21/03/2014 3.00,"0,7","17,2","5,0","18,4",,"5,2"
21/03/2014 4.00,"0,6","13,8","1,8","18,4","0,1","3,1"
21/03/2014 5.00,"0,7","16,2","3,1","18,4","0,2","3,2"
21/03/2014 6.00,"0,6","25,3","9,5","18,4","0,2","54,3"
21/03/2014 7.00,"0,9","51,0","27,3","18,4","0,3","30,4"
21/03/2014 8.00,"1,2","71,2","37,2","18,4","0,3","42,7"
21/03/2014 9.00,"1,2","32,4","15,2","18,4","0,3","14,5"
21/03/2014 10.00,"0,8","15,7","5,6","18,4","0,3","6,1"
21/03/2014 11.00,"1,0","9,0","2,4","18,4","0,3","3,6"
21/03/2014 12.00,"1,0","9,1","1,8","18,4","0,3","4,6"
21/03/2014 13.00,"1,0","12,7","4,9","18,4","0,3","7,4"
21/03/2014 14.00,"1,0","11,6","4,2","18,4","0,3","9,6"
21/03/2014 15.00,"0,9","12,7","3,0","18,4","0,3","7,1"
21/03/2014 16.00,"0,9","9,9","2,6","18,4","0,2","5,5"
21/03/2014 17.00,"0,7","9,7","2,6","18,4","0,2","9,4"
21/03/2014 18.00,"0,7","13,6","4,5","18,4","0,2","9,9"
21/03/2014 19.00,"1,0","18,1","9,0","18,4","0,3","22,3"
21/03/2014 20.00,"0,7","30,7","20,9","18,4","0,3","28,9"
21/03/2014 21.00,"0,9","35,9","25,3","18,4","0,3","38,1"
21/03/2014 22.00,"1,0","47,5","35,5","18,4","0,4","52,6"
21/03/2014 23.00,"0,7","28,7","20,9","18,4","0,3","27,2"
22/03/2014 0.00,"0,6","26,3","16,9","18,4","0,3","24,8"
22/03/2014 1.00,"0,7","17,4","9,3","16,4","0,3","11,3"
22/03/2014 2.00,"0,9","12,4","4,5","16,4","0,3","8,4"
22/03/2014 3.00,"0,7","12,3","3,8","16,4","0,3","6,0"
22/03/2014 4.00,"0,8","11,4","3,8","16,4","0,3","4,4"
22/03/2014 5.00,"0,7","8,5","1,1","16,4","0,3","3,9"
22/03/2014 6.00,"0,8",,,"16,4","0,3","3,1"
22/03/2014 7.00,"1,0","7,9","0,5","16,4","0,3","4,7"
22/03/2014 8.00,"0,9","12,2","2,3","16,4","0,3","4,9"
22/03/2014 9.00,"0,9","14,3","3,5","16,4","0,3","6,4"
22/03/2014 10.00,"0,8","16,2","5,2","16,4","0,3","7,2"
22/03/2014 11.00,"0,4","11,8","2,9","16,4","0,3","5,4"
22/03/2014 12.00,"0,4","12,2","3,5","16,4","0,3","6,6"
22/03/2014 13.00,"0,5","11,5","2,9","16,4","0,2","5,9"
22/03/2014 14.00,"0,4","12,0","3,1","16,4","0,2","10,0"
22/03/2014 15.00,"0,3",,,"16,4","0,2","5,4"
22/03/2014 16.00,"0,3",,,"16,4","0,3","6,3"
22/03/2014 17.00,"0,4",,,"16,4","0,3","6,6"
22/03/2014 18.00,"0,4","13,3","3,8","16,4","0,3","11,6"
22/03/2014 19.00,"0,4","20,3","10,2","16,4","0,3","16,7"
22/03/2014 20.00,"0,4","28,3","18,4","16,4","0,3","27,8"
22/03/2014 21.00,"0,5","37,5","25,6","16,4","0,3","29,9"
22/03/2014 22.00,"0,4","42,4","28,2","16,4","0,3","31,8"
22/03/2014 23.00,"0,4","28,1","14,8","16,4","0,3","19,1"
23/03/2014 0.00,"0,6","25,5","15,3","16,4","0,3","34,7"
23/03/2014 1.00,,"16,2","8,0","20,4","0,3","19,4"
23/03/2014 2.00,"0,9",,,"20,4","0,3","7,0"
23/03/2014 3.00,"1,0","10,1","1,0","20,4",,"5,9"
23/03/2014 4.00,"1,0","10,8","1,9","20,4","0,3","8,1"
23/03/2014 5.00,"0,9","8,5","1,0","20,4","0,3","7,2"
23/03/2014 6.00,"1,0","10,4","2,5","20,4","0,3","10,1"
23/03/2014 7.00,"1,1","18,7","7,4","20,4","0,3","18,8"
23/03/2014 8.00,"0,9","9,8","0,7","20,4","0,3","6,4"
23/03/2014 9.00,"0,7","11,6","1,1","20,4","0,3","4,4"
23/03/2014 10.00,"1,0","11,7","2,1","20,4","0,3","5,0"
23/03/2014 11.00,"0,8","11,6","2,4","20,4","0,3","6,5"
23/03/2014 12.00,"0,6","14,3","3,5","20,4","0,3","11,4"
23/03/2014 13.00,"0,5","9,6","1,0","20,4","0,3","7,1"
23/03/2014 14.00,"0,6","6,8","0,8","20,4","0,3","4,6"
23/03/2014 15.00,"0,6","2,1",,"20,4","0,2","2,5"
23/03/2014 16.00,"0,7",,,"20,4","0,2","2,8"
23/03/2014 17.00,"0,7","11,4","0,6","20,4","0,2","4,9"
23/03/2014 18.00,"0,4","15,4","4,1","20,4","0,2","13,1"
23/03/2014 19.00,"0,3","17,4","5,8","20,4","0,2","17,5"
23/03/2014 20.00,"0,3","16,1","4,1","20,4","0,2","8,6"
23/03/2014 21.00,"0,3","25,3","13,9","20,4","0,2","20,0"
23/03/2014 22.00,"0,5","18,0","6,3","20,4","0,2","11,5"
23/03/2014 23.00,"0,5",,,"20,4","0,2","3,0"
24/03/2014 0.00,"0,4","3,8",,"20,4","0,2","3,4"
24/03/2014 1.00,"0,7","1,6",,"5,1","0,2","1,9"
24/03/2014 2.00,"0,5","2,5",,"5,1","0,2","1,7"
24/03/2014 3.00,"0,8","2,4",,"5,1","0,2","1,8"
24/03/2014 4.00,"0,9","2,3",,"5,1","0,2","1,5"
24/03/2014 5.00,"0,7","2,8",,"5,1","0,2","1,5"
24/03/2014 6.00,"0,7","2,1",,"5,1","0,1","1,5"
24/03/2014 7.00,"0,5","5,4",,"5,1","0,2","2,6"
24/03/2014 8.00,"1,0","13,3","2,9","5,1","0,2","9,5"
24/03/2014 9.00,"0,8","17,6","6,6","5,1","0,2","11,7"
24/03/2014 10.00,"0,7","13,5","1,7","5,1","0,2","5,5"
24/03/2014 11.00,"0,7",,,"5,1","0,2","4,3"
24/03/2014 12.00,"0,7","8,7","0,6","5,1","0,2","5,4"
24/03/2014 13.00,"0,6",,,"5,1","0,1","5,2"
24/03/2014 14.00,"1,0","7,4","0,9","5,1","0,2","4,0"
24/03/2014 15.00,"0,9","1,6",,"5,1","0,2","2,3"
24/03/2014 16.00,"1,0","7,9","1,3","5,1","0,2","7,3"
24/03/2014 17.00,"1,2","11,7","1,9","5,1","0,2","7,2"
24/03/2014 18.00,"1,1","10,5","1,2","5,1","0,2","6,0"
24/03/2014 19.00,"1,3","11,3","2,3","5,1","0,2","5,8"
24/03/2014 20.00,"1,2",,,"5,1","0,1","5,1"
24/03/2014 21.00,"1,5","10,0","1,3","5,1","0,2","5,6"
24/03/2014 22.00,"1,4",,,"5,1","0,2","5,1"
24/03/2014 23.00,"1,5",,,"5,1","0,2","2,7"
25/03/2014 0.00,"1,5","4,6",,"5,1","0,2","2,7"
25/03/2014 1.00,,,,"5,6","0,2","1,5"
25/03/2014 2.00,"1,7",,,"5,6","0,2","1,5"
25/03/2014 3.00,"2,0","10,8","2,1","5,6",,"1,6"
25/03/2014 4.00,"1,7","16,2","4,5","5,6","0,2","1,4"
25/03/2014 5.00,"1,6",,,"5,6","0,2","1,8"
25/03/2014 6.00,"2,0",,,"5,6","0,2","1,4"
25/03/2014 7.00,"1,9","7,5",,"5,6","0,2","1,5"
25/03/2014 8.00,"1,8","13,9","2,1","5,6","0,2","1,8"
25/03/2014 9.00,"1,6","16,1","5,2","5,6","0,2","2,4"
25/03/2014 10.00,"2,3","12,0","3,6","5,6","0,2","2,1"
25/03/2014 11.00,"1,9",,,"5,6","0,2","2,4"
25/03/2014 12.00,"1,5","6,4","0,7","5,6","0,2","4,9"
25/03/2014 13.00,"1,7","6,5","0,7","5,6","0,2","4,6"
25/03/2014 14.00,"1,6","8,1","1,1","5,6","0,2","5,0"
25/03/2014 15.00,"1,6","6,7","0,8","5,6","0,2","5,0"
25/03/2014 16.00,"2,0",,,"5,6","0,2","6,9"
25/03/2014 17.00,"1,7","11,3","2,6","5,6","0,2","10,2"
25/03/2014 18.00,"1,9","11,6","3,4","5,6","0,2","15,9"
25/03/2014 19.00,"1,9","16,1","6,2","5,6","0,2","42,0"
25/03/2014 20.00,"1,5","15,0","4,8","5,6","0,2","27,2"
25/03/2014 21.00,"2,1","21,4","10,8","5,6","0,2","20,4"
25/03/2014 22.00,"2,1","30,4","20,2","5,6","0,3","22,3"
25/03/2014 23.00,"2,3","24,2","13,8","5,6","0,3","14,1"
26/03/2014 0.00,"2,2","16,9","8,5","5,6","0,2","11,5"
26/03/2014 1.00,"2,3","10,6","2,3","7,8","0,2","6,8"
26/03/2014 2.00,"2,5","5,8",,"7,8","0,2","2,1"
26/03/2014 3.00,"2,1","6,4",,"7,8","0,2","1,7"
26/03/2014 4.00,"2,1","6,8",,"7,8","0,2","2,3"
26/03/2014 5.00,"2,0",,,"7,8","0,2","2,0"
26/03/2014 6.00,"2,0","13,9","4,0","7,8","0,2","10,0"
26/03/2014 7.00,"1,9","32,2","13,5","7,8","0,3","36,8"
26/03/2014 8.00,"2,1","36,4","16,2","7,8","0,3","26,6"
26/03/2014 9.00,"1,3","15,9","5,1","7,8","0,2","9,1"
26/03/2014 10.00,"1,1","8,7","1,2","7,8","0,2","5,6"
26/03/2014 11.00,"1,2","6,9","0,6","7,8","0,2","4,1"
26/03/2014 12.00,"1,1",,,"7,8","0,2","6,3"
26/03/2014 13.00,"1,5",,,"7,8","0,2","5,8"
26/03/2014 14.00,"1,3","8,2","0,9","7,8","0,2","6,8"
26/03/2014 15.00,"1,3","11,0","1,1","7,8","0,2","6,3"
26/03/2014 16.00,"1,2","9,6","0,9","7,8","0,2","9,4"
26/03/2014 17.00,"1,3","12,2","1,9","7,8","0,2","9,9"
26/03/2014 18.00,"1,2","13,1","3,3","7,8","0,2","12,4"
26/03/2014 19.00,"1,5","15,4","5,5","7,8","0,2","16,4"
26/03/2014 20.00,"1,2","10,9","1,8","7,8","0,2","8,4"
26/03/2014 21.00,"1,5","10,6","1,4","7,8","0,2","6,8"
26/03/2014 22.00,"1,0","13,8","2,0","7,8","0,2","9,8"
26/03/2014 23.00,"1,4",,,"7,8","0,2","3,0"
27/03/2014 0.00,"1,5",,,"7,8","0,2","2,4"
27/03/2014 1.00,,"3,7",,"11,9","0,2","2,4"
27/03/2014 2.00,"1,0",,,"11,9","0,2","1,9"
27/03/2014 3.00,"1,1",,,"11,9",,"1,6"
27/03/2014 4.00,"1,2","4,8",,"11,9","0,2","1,5"
27/03/2014 5.00,"0,8","3,9",,"11,9","0,2","1,4"
27/03/2014 6.00,"0,9",,,"11,9","0,2","1,7"
27/03/2014 7.00,"0,8","6,3",,"11,9","0,2","3,5"
27/03/2014 8.00,"1,1","12,4","1,3","11,9","0,2","7,0"
27/03/2014 9.00,"1,1","12,8","2,5","11,9","0,2","5,0"
27/03/2014 10.00,"1,2","16,5","3,3","11,9","0,2","7,5"
27/03/2014 11.00,"0,8","13,5","0,6","11,9","0,2","5,0"
27/03/2014 12.00,"0,8","12,2","0,6","11,9","0,2","4,8"
27/03/2014 13.00,"0,5",,,"11,9","0,2","3,5"
27/03/2014 14.00,"0,7","5,1",,"11,9","0,2","2,6"
27/03/2014 15.00,"0,3",,,"11,9","0,2","3,3"
27/03/2014 16.00,"0,5",,,"11,9","0,2","3,4"
27/03/2014 17.00,"0,6","7,1","1,0","11,9","0,2","4,5"
27/03/2014 18.00,"0,6","18,3","9,4","11,9","0,2","18,0"
27/03/2014 19.00,"0,6","23,8","12,8","11,9","0,3","33,6"
27/03/2014 20.00,"0,8","15,4","4,6","11,9","0,2","20,3"
27/03/2014 21.00,"0,8","11,3","2,2","11,9","0,2","7,0"
27/03/2014 22.00,"1,1","18,0","5,9","11,9","0,2","5,5"
27/03/2014 23.00,"0,9","17,3","3,5","11,9","0,2","3,4"
28/03/2014 0.00,"1,3","14,9","5,1","11,9","0,2","5,4"
28/03/2014 1.00,"1,2","14,6","5,6","8,6","0,2","7,4"
28/03/2014 2.00,"1,5","22,2","11,5","8,6","0,2","5,0"
28/03/2014 3.00,"1,3","11,0","2,1","8,6","0,3","4,7"
28/03/2014 4.00,"1,2",,,"8,6","0,2","2,1"
28/03/2014 5.00,"1,2","7,3",,"8,6","0,2","1,5"
28/03/2014 6.00,"1,3","10,4","1,9","8,6","0,2","2,1"
28/03/2014 7.00,"1,2","31,7","14,4","8,6","0,3","21,5"
28/03/2014 8.00,"1,1","29,4","13,7","8,6","0,2","7,2"
28/03/2014 9.00,"1,0","14,1","3,6","8,6","0,2","2,5"
28/03/2014 10.00,"0,8","10,1","1,6","8,6","0,2","2,9"
28/03/2014 11.00,"0,8","9,4","1,5","8,6","0,2","3,5"
28/03/2014 12.00,"0,9","10,0","1,8","8,6","0,2","4,5"
28/03/2014 13.00,"1,0","11,8","3,4","8,6","0,2","6,6"
28/03/2014 14.00,"0,9","21,3","10,4","8,6","0,3","11,7"
28/03/2014 15.00,"0,9","23,3","10,0","8,6","0,4","3,1"
28/03/2014 16.00,"0,9","18,6","6,6","8,6","0,3","2,6"
28/03/2014 17.00,"1,2","17,5","6,4","8,6","0,3","2,6"
28/03/2014 18.00,"1,9","14,9","5,3","8,6","0,2","2,2"
28/03/2014 19.00,"3,2","16,9","8,4","8,6","0,2","2,1"
28/03/2014 20.00,"9,2","18,7","10,4","8,6","0,2","1,9"
28/03/2014 21.00,"4,0","20,2","13,2","8,6","0,2","1,8"
28/03/2014 22.00,"2,5","8,7","3,9","8,6","0,2","1,8"
28/03/2014 23.00,"1,8","6,3","1,7","8,6","0,2","1,6"
29/03/2014 0.00,"1,6","4,8","0,9","8,6","0,2","1,6"
29/03/2014 1.00,,"5,2","0,8","13,9","0,2","1,9"
29/03/2014 2.00,"1,0",,,"13,9","0,2","1,5"
29/03/2014 3.00,"0,9",,,"13,9",,"1,5"
29/03/2014 4.00,"1,0","4,5",,"13,9","0,2","1,5"
29/03/2014 5.00,"1,2","5,8",,"13,9","0,2","1,4"
29/03/2014 6.00,"1,0",,,"13,9","0,2","1,7"
29/03/2014 7.00,"1,0","7,5","0,6","13,9","0,2","1,9"
29/03/2014 8.00,"0,9","16,7","6,3","13,9","0,2","2,5"
29/03/2014 9.00,"1,1","12,2","4,3","13,9","0,3","2,9"
29/03/2014 10.00,"1,3","19,6","10,3","13,9","0,4","3,2"
29/03/2014 11.00,"2,4","13,3","6,2","13,9","0,4","2,3"
29/03/2014 12.00,"2,2","3,8","0,8","13,9","0,3","1,8"
29/03/2014 13.00,"1,9","2,6",,"13,9","0,2","1,6"
29/03/2014 14.00,"1,5","3,5",,"13,9","0,2","1,7"
29/03/2014 15.00,"1,7","5,2",,"13,9","0,2","1,7"
29/03/2014 16.00,"1,6","6,1",,"13,9","0,2","1,7"
29/03/2014 17.00,"1,5","7,4","0,5","13,9","0,3","1,7"
29/03/2014 18.00,"1,2",,,"13,9","0,2","2,0"
29/03/2014 19.00,"1,0","10,3","1,0","13,9","0,2","2,4"
29/03/2014 20.00,"1,3","13,2","3,5","13,9","0,3","3,2"
29/03/2014 21.00,"1,2","15,5","4,7","13,9","0,2","3,1"
29/03/2014 22.00,"1,3","17,3","3,6","13,9","0,2","2,2"
29/03/2014 23.00,"1,2","40,2","24,5","13,9","0,3","15,7"
30/03/2014 0.00,"1,1","59,8","39,2","13,9","0,4","45,7"
30/03/2014 1.00,"1,3","24,1","12,9","25,5","0,2","7,6"
30/03/2014 2.00,"1,1","27,5","17,3","25,5","0,3","19,5"
30/03/2014 3.00,"1,0","9,5","0,9","25,5","0,2","2,0"
30/03/2014 4.00,"1,0",,,"25,5","0,2","1,7"
30/03/2014 5.00,"0,9","20,2","10,3","25,5","0,3","13,2"
30/03/2014 6.00,"1,4","50,5","27,7","25,5","0,4","55,9"
30/03/2014 7.00,"1,2","34,8","19,3","25,5","0,3","15,0"
30/03/2014 8.00,"1,2","41,5","21,4","25,5","0,3","17,0"
30/03/2014 9.00,"0,9","30,4","15,2","25,5","0,3","5,9"
30/03/2014 10.00,"0,6","15,9","7,1","25,5","0,3","3,7"
30/03/2014 11.00,"0,9","14,6","6,8","25,5","0,3","5,5"
30/03/2014 12.00,"2,5","18,6","11,4","25,5","0,4","5,7"
30/03/2014 13.00,"4,2","13,0","7,4","25,5","0,3","5,0"
30/03/2014 14.00,"2,9","5,5","1,3","25,5","0,2","3,6"
30/03/2014 15.00,"1,7","9,1","1,7","25,5","0,2","3,0"
30/03/2014 16.00,"1,4","12,1","2,2","25,5","0,2","3,5"
30/03/2014 17.00,"1,2","11,2","1,0","25,5","0,2","3,8"
30/03/2014 18.00,"1,0","18,7","7,8","25,5","0,2","19,9"
30/03/2014 19.00,"1,0","27,0","15,1","25,5","0,4","34,9"
30/03/2014 20.00,"1,1","76,1","55,0","25,5","0,5","65,8"
30/03/2014 21.00,"1,0","96,6","63,8","25,5","0,5","60,4"
30/03/2014 22.00,"1,2","70,6","48,5","25,5","0,5","48,4"
30/03/2014 23.00,"1,1","83,5","53,2","25,5","0,5","80,4"
31/03/2014 0.00,"1,3","69,1","46,0","25,5","0,5","49,2"
31/03/2014 1.00,,"52,9","36,8","24,4","0,4","42,8"
31/03/2014 2.00,"0,8",,,"24,4","0,4","15,4"
31/03/2014 3.00,"0,8","22,5","10,0","24,4",,"2,7"
31/03/2014 4.00,"0,8","17,6","7,4","24,4","0,3","2,5"
31/03/2014 5.00,"0,7","26,4","10,1","24,4","0,3","15,6"
31/03/2014 6.00,"0,7","81,0","31,2","24,4","0,4","66,0"
31/03/2014 7.00,"1,0","36,9","19,6","24,4","0,3","4,3"
31/03/2014 8.00,"0,9","25,4","9,5","24,4","0,2","4,9"
31/03/2014 9.00,"0,6","17,9","6,0","24,4","0,2","4,6"
31/03/2014 10.00,"0,5","19,2","7,8","24,4","0,2","4,8"
31/03/2014 11.00,"0,8","14,2","6,2","24,4","0,2","4,5"
31/03/2014 12.00,"0,5","9,4","4,5","24,4","0,2","3,9"
31/03/2014 13.00,"0,6","8,2","3,7","24,4","0,2","5,6"
31/03/2014 14.00,"0,4","4,2","0,8","24,4","0,2","3,3"
31/03/2014 15.00,"0,9",,,"24,4","0,3","5,6"
31/03/2014 16.00,"1,6","9,4","3,0","24,4","0,4","4,8"
31/03/2014 17.00,"0,9","14,3","5,9","24,4","0,3","6,4"
31/03/2014 18.00,"1,1","15,1","6,5","24,4","0,3","13,0"
31/03/2014 19.00,"1,3","30,6","19,3","24,4","0,3","18,1"
31/03/2014 20.00,"1,3","39,2","26,5","24,4","0,3","21,0"
31/03/2014 21.00,"1,3","37,6","23,8","24,4","0,3","19,4"
31/03/2014 22.00,"1,3","70,9","49,2","24,4","0,4","25,9"
31/03/2014 23.00,"1,2","58,1","37,6","24,4","0,4","29,4"
01/04/2014 0.00,"1,4","35,4","24,1","24,4","0,3","8,1"
01/04/2014 1.00,"1,0","27,3","17,9",,"0,3","6,2"
01/04/2014 2.00,"1,4","24,5","14,3",,"0,3","7,5"
01/04/2014 3.00,"1,3","17,2","8,3",,"0,3","2,6"
01/04/2014 4.00,"0,9","13,8","3,2",,"0,2","1,2"
01/04/2014 5.00,"1,0","28,3","12,9",,"0,3","7,8"
01/04/2014 6.00,"1,1","73,7","33,1",,"0,4","53,2"
01/04/2014 7.00,"1,1","38,9","22,7",,"0,3","13,8"
01/04/2014 8.00,"0,9","15,5","4,6",,"0,2","2,2"
01/04/2014 9.00,"0,7","14,1","5,5",,"0,2","4,8"
01/04/2014 10.00,"0,9","14,3","7,2",,"0,2","3,4"
01/04/2014 11.00,"0,8","10,7","4,2",,,"3,0"
01/04/2014 12.00,,,,,,
01/04/2014 13.00,"0,6",,,,"0,3","4,5"
01/04/2014 14.00,"0,6","9,9","3,2",,"0,3","4,1"
01/04/2014 15.00,"0,5","6,3","2,4",,"0,3","4,9"
01/04/2014 16.00,"0,6","4,2","2,1",,"0,3","5,3"
01/04/2014 17.00,"0,4","6,8","4,1",,"0,2","7,4"
01/04/2014 18.00,"0,4","9,7","6,3",,"0,3","11,0"
01/04/2014 19.00,"0,6","19,4","15,2",,"0,3","13,0"
01/04/2014 20.00,"0,5","13,3","9,2",,"0,3","9,3"
01/04/2014 21.00,"0,6","14,0","6,5",,"0,3","6,5"
01/04/2014 22.00,"0,6","38,8","28,0",,"0,4","15,2"
01/04/2014 23.00,"0,5","31,0","23,3",,"0,3","3,3"
02/04/2014 0.00,"0,6","31,5","21,5",,"0,3","3,4"
02/04/2014 1.00,,"10,1","1,8","23,0","0,2","1,3"
02/04/2014 2.00,"0,9",,,"23,0","0,2","1,3"
02/04/2014 3.00,"1,1",,,"23,0",,"1,3"
02/04/2014 4.00,"1,2","15,1","1,3","23,0","0,2","1,3"
02/04/2014 5.00,"1,0","14,0","0,7","23,0","0,2","1,4"
02/04/2014 6.00,"1,3","15,1","1,7","23,0","0,2","1,5"
02/04/2014 7.00,"1,2","18,3","4,6","23,0","0,2","3,5"
02/04/2014 8.00,"1,3","16,9","3,0","23,0","0,2","3,2"
02/04/2014 9.00,"1,2","14,3","2,3","23,0","0,2","2,1"
02/04/2014 10.00,"1,1","14,8","4,0","23,0","0,2","2,0"
02/04/2014 11.00,"1,1","12,6","2,6","23,0","0,2","2,0"
02/04/2014 12.00,"1,1","12,1","2,4","23,0","0,2","3,5"
02/04/2014 13.00,"1,2","17,5","6,7","23,0","0,2","4,4"
02/04/2014 14.00,"1,3","18,3","7,4","23,0","0,3","2,5"
02/04/2014 15.00,"1,9","19,7","10,6","23,0","0,3","4,4"
02/04/2014 16.00,"1,5","10,7","4,5","23,0","0,2","7,2"
02/04/2014 17.00,"1,3","9,4","2,9","23,0","0,2","4,9"
02/04/2014 18.00,"1,1","11,6","3,8","23,0","0,2","9,9"
02/04/2014 19.00,"1,1","21,1","10,8","23,0","0,2","12,8"
02/04/2014 20.00,"1,5","33,5","22,9","23,0","0,3","15,4"
02/04/2014 21.00,"1,3","70,2","47,6","23,0","0,3","28,9"
02/04/2014 22.00,"1,5","52,3","35,4","23,0","0,4","18,7"
02/04/2014 23.00,"1,5","22,0","12,7","23,0","0,3","7,0"
03/04/2014 0.00,"1,6","21,7","11,4","23,0","0,3","6,3"
03/04/2014 1.00,"1,9","16,3","6,6","24,3","0,3","3,6"
03/04/2014 2.00,"1,5","14,8","4,5","24,3","0,3","3,5"
03/04/2014 3.00,"2,1","11,5","1,4","24,3","0,3","2,3"
03/04/2014 4.00,"1,7",,,"24,3","0,2","1,8"
03/04/2014 5.00,"2,2","11,6","1,5","24,3","0,2","4,1"
03/04/2014 6.00,"2,3","34,5","13,1","24,3","0,3","19,3"
03/04/2014 7.00,"2,4","56,1","26,6","24,3","0,3","23,4"
03/04/2014 8.00,"2,5","37,3","17,5","24,3","0,3","16,2"
03/04/2014 9.00,"2,1","20,8","6,6","24,3","0,3","6,8"
03/04/2014 10.00,"1,8","13,6","1,6","24,3","0,2","6,5"
03/04/2014 11.00,"1,6",,,"24,3","0,2","3,9"
03/04/2014 12.00,"1,6",,,"24,3","0,2","4,3"
03/04/2014 13.00,"1,4","9,0","0,6","24,3","0,2","4,5"
03/04/2014 14.00,"1,2","7,8","0,9","24,3","0,2","15,3"
03/04/2014 15.00,"1,3",,,"24,3","0,2","4,8"
03/04/2014 16.00,"1,3",,,"24,3","0,2","6,4"
03/04/2014 17.00,"1,3","9,2","0,6","24,3","0,2","5,7"
03/04/2014 18.00,"1,3",,,"24,3","0,2","6,2"
03/04/2014 19.00,"1,4","12,9","2,3","24,3","0,3","26,2"
03/04/2014 20.00,"1,2",,,"24,3","0,2","4,6"
03/04/2014 21.00,"1,3",,,"24,3","0,2","3,4"
03/04/2014 22.00,"1,1","11,5","1,4","24,3","0,2","2,6"
03/04/2014 23.00,"1,1","9,4",,"24,3","0,2","2,3"
04/04/2014 0.00,"1,0","8,9",,"24,3","0,2","2,3"
04/04/2014 1.00,,"8,8",,"24,0","0,2","1,5"
04/04/2014 2.00,"0,7",,,"24,0","0,2","1,4"
04/04/2014 3.00,"0,7","12,6",,"24,0",,"1,4"
04/04/2014 4.00,"0,4","10,8",,"24,0","0,2","1,4"
04/04/2014 5.00,"0,4","10,5",,"24,0","0,2","1,6"
04/04/2014 6.00,"0,6",,,"24,0","0,2","4,8"
04/04/2014 7.00,"0,5","15,1","1,2","24,0","0,2","6,3"
04/04/2014 8.00,"0,5","15,8","1,7","24,0","0,2","6,4"
04/04/2014 9.00,"0,6",,,"24,0","0,2","3,9"
04/04/2014 10.00,"0,6",,,"24,0","0,2","3,8"
04/04/2014 11.00,"0,5",,,"24,0","0,2","3,9"
04/04/2014 12.00,"0,5",,,"24,0","0,2","4,7"
04/04/2014 13.00,"0,5",,,"24,0","0,2","4,8"
04/04/2014 14.00,"0,5","9,7",,"24,0","0,2","3,6"
04/04/2014 15.00,"0,5","10,2","0,6","24,0","0,2","8,8"
04/04/2014 16.00,"0,4",,,"24,0","0,2","4,3"
04/04/2014 17.00,"0,4",,,"24,0","0,2","3,7"
04/04/2014 18.00,"0,5",,,"24,0","0,2","4,4"
04/04/2014 19.00,"0,4",,,"24,0","0,2","4,6"
04/04/2014 20.00,"0,4","11,8","2,7","24,0","0,2","4,9"
04/04/2014 21.00,"0,4","21,0","10,9","24,0","0,3","10,8"
04/04/2014 22.00,"0,6","29,3","18,4","24,0","0,3","12,8"
04/04/2014 23.00,"0,4","28,9","16,9","24,0","0,3","10,1"
