"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
03/01/2011 4.00,,,"0,4","66,9","3,6","0,3"
03/01/2011 5.00,,,"0,4","70,1","2,6","0,3"
03/01/2011 6.00,,,"0,4","62,9","1,3","0,3"
03/01/2011 7.00,,,"0,5","48,2","1,2","0,4"
03/01/2011 8.00,,,"0,7","35,4",1,"0,5"
03/01/2011 9.00,,,"0,6","39,9","0,8","0,6"
03/01/2011 10.00,,,"0,7","43,4","0,7","0,6"
03/01/2011 11.00,,,"0,6","50,1","0,7","0,7"
03/01/2011 12.00,,,"0,8","48,6","0,9","0,7"
03/01/2011 13.00,,,"0,7","57,1","0,9","0,9"
03/01/2011 14.00,,,"0,9","58,2","0,9","0,9"
03/01/2011 15.00,,,"0,7","60,7","1,2","1,3"
03/01/2011 16.00,,,"0,9","58,2","1,7",1
03/01/2011 17.00,,,"0,8","60,8","2,2","1,2"
03/01/2011 18.00,,,1,56,"2,9","1,3"
03/01/2011 19.00,,,1,"51,4","2,9","1,3"
03/01/2011 20.00,,,1,"47,2","3,1","1,4"
03/01/2011 21.00,,,"0,7","50,2","2,8","1,2"
03/01/2011 22.00,,,"0,7",51,3,"1,2"
03/01/2011 23.00,,,"0,6","54,8","3,1","0,8"
04/01/2011 0.00,,,"0,8","51,2","2,6","0,7"
04/01/2011 1.00,,,"0,5","48,9","2,5","0,7"
04/01/2011 2.00,,,"0,3","51,4","2,2","0,4"
04/01/2011 3.00,,,"0,1","55,8","1,8","0,4"
04/01/2011 4.00,,,"0,1","55,3",,"0,3"
04/01/2011 5.00,,,"0,1",,"1,7","0,3"
04/01/2011 6.00,,,"0,1","50,1","0,9","0,3"
04/01/2011 7.00,,,"0,2","36,6","0,6","0,4"
04/01/2011 8.00,,,"0,2","25,1","0,7","0,5"
04/01/2011 9.00,,,"0,4","27,2","0,8","0,7"
04/01/2011 10.00,,,"0,2","49,1","0,6","0,6"
04/01/2011 11.00,,,"0,2","56,8","0,5","0,6"
04/01/2011 12.00,,,"0,3","65,8","0,6","0,6"
04/01/2011 13.00,,,"0,3","69,9","0,5","0,5"
04/01/2011 14.00,,,"0,4","71,7","0,7","0,6"
04/01/2011 15.00,,,"0,4","72,8","0,7","0,9"
04/01/2011 16.00,,,"0,4","67,1","0,7","1,1"
04/01/2011 17.00,,,"0,9","54,5","1,4","1,6"
04/01/2011 18.00,,,"1,1","36,3","2,4","2,3"
04/01/2011 19.00,,,"0,9","24,6","3,8","2,7"
04/01/2011 20.00,,,"1,1","24,8","4,7","2,5"
04/01/2011 21.00,,,"1,2","22,9","5,4","2,6"
04/01/2011 22.00,,,"1,2","22,1","6,7","2,6"
04/01/2011 23.00,,,"1,1","21,4","7,4","2,4"
05/01/2011 0.00,,,"1,2",18,"8,1","2,4"
05/01/2011 1.00,,,"0,9","17,6","8,7","2,2"
05/01/2011 2.00,,,"0,4",28,"8,6","1,4"
05/01/2011 3.00,,,0,"39,7","8,3","0,8"
05/01/2011 4.00,,,0,"49,6","7,6","0,5"
05/01/2011 5.00,,,0,"39,2","4,4","0,5"
05/01/2011 6.00,,,0,"39,7","1,7","0,5"
05/01/2011 7.00,,,0,36,1,"0,5"
05/01/2011 8.00,,,0,"26,4","0,8","0,7"
05/01/2011 9.00,,,0,"19,1","0,8","0,9"
05/01/2011 10.00,,,0,"34,5","0,7","1,1"
05/01/2011 11.00,,,"0,1","48,1","0,7","1,2"
05/01/2011 12.00,,,0,"53,9","0,7","1,1"
05/01/2011 13.00,,,0,"55,7","0,8","1,2"
05/01/2011 14.00,,,0,"56,1","0,7","1,5"
05/01/2011 15.00,,,0,"54,1","0,9","1,8"
05/01/2011 16.00,,,"0,1","45,4","1,6","2,1"
05/01/2011 17.00,,,"0,3","35,3",2,"2,3"
05/01/2011 18.00,,,"0,5","20,7",3,"2,6"
05/01/2011 19.00,,,"0,3","16,8","3,7","3,2"
05/01/2011 20.00,,,"0,3","15,3",5,3
05/01/2011 21.00,,,"0,5","16,7","6,2","3,3"
05/01/2011 22.00,,,"0,2","22,9","7,2","2,9"
05/01/2011 23.00,,,"0,1","31,5","7,6","2,2"
06/01/2011 0.00,,,0,"39,6","7,7","1,1"
06/01/2011 1.00,,,0,"36,6",7,"0,8"
06/01/2011 2.00,,,"0,1","29,7","6,6","0,9"
06/01/2011 3.00,,,"0,2","33,9","6,1","0,8"
06/01/2011 4.00,,,"0,1","31,1",,"0,7"
06/01/2011 5.00,,,"0,2",,"3,1","0,9"
06/01/2011 6.00,,,"0,3","9,7","0,8",1
06/01/2011 7.00,,,"0,2","8,1","0,7",1
06/01/2011 8.00,,,"0,4","6,9","0,6",1
06/01/2011 9.00,,,"0,8","14,4","0,7","2,2"
06/01/2011 10.00,,,"0,8","24,3","1,1","3,1"
06/01/2011 11.00,,,"0,2","47,2","1,3",2
06/01/2011 12.00,,,"0,1","58,7",1,"0,8"
06/01/2011 13.00,,,"0,1","66,6","0,8","0,5"
06/01/2011 14.00,,,"0,2",71,"0,8","0,8"
06/01/2011 15.00,,,"0,1","71,4","0,4","0,6"
06/01/2011 16.00,,,"0,4","63,1","0,5","1,3"
06/01/2011 17.00,,,"0,7","40,2","1,9","1,7"
06/01/2011 18.00,,,"1,1","23,8",4,3
06/01/2011 19.00,,,"1,2","18,1","4,7",4
06/01/2011 20.00,,,"1,9","12,6","6,8","3,9"
06/01/2011 21.00,,,"1,9","14,3","8,4","5,2"
06/01/2011 22.00,,,"3,1","24,5","10,4","6,3"
06/01/2011 23.00,,,"2,4","14,3","12,3","7,5"
07/01/2011 0.00,,,"1,3","7,3",14,"4,3"
07/01/2011 1.00,,,"0,8","8,4","14,7","2,8"
07/01/2011 2.00,,,"0,3","19,4","14,3","1,5"
07/01/2011 3.00,,,0,"22,4","13,9","0,8"
07/01/2011 4.00,,,0,"19,3",13,1
07/01/2011 5.00,,,0,"28,9","6,2","0,7"
07/01/2011 6.00,,,0,"17,9","0,2","0,8"
07/01/2011 7.00,,,"0,1","18,1",0,"0,9"
07/01/2011 8.00,,,0,"11,4",0,"0,9"
07/01/2011 9.00,,,"1,2",10,0,2
07/01/2011 10.00,,,"0,5","16,4",0,"3,4"
07/01/2011 11.00,,,"0,1","38,5",0,"1,3"
07/01/2011 12.00,,,"0,1","44,4",0,1
07/01/2011 13.00,,,"0,1","52,4",0,"1,4"
07/01/2011 14.00,,,"0,1","53,4",0,1
07/01/2011 15.00,,,0,"61,9",0,"1,2"
07/01/2011 16.00,,,"0,1","50,9",0,1
07/01/2011 17.00,,,"0,4",38,"1,4",2
07/01/2011 18.00,,,"0,9","23,1","3,9","3,2"
07/01/2011 19.00,,,1,"23,8","5,2","4,3"
07/01/2011 20.00,,,1,"16,5","7,5","3,8"
07/01/2011 21.00,,,"1,5","16,3","9,4","3,2"
07/01/2011 22.00,,,1,"15,9","10,4","5,3"
07/01/2011 23.00,,,"0,3","20,2","10,3","1,8"
08/01/2011 0.00,,,"0,1","23,7","9,8","1,7"
08/01/2011 1.00,,,0,"23,3","9,8","1,1"
08/01/2011 2.00,,,0,"35,2","9,3","0,9"
08/01/2011 3.00,,,0,"34,4","8,6","0,7"
08/01/2011 4.00,,,0,"36,2",,"0,6"
08/01/2011 5.00,,,0,,"3,8","0,6"
08/01/2011 6.00,,,0,"55,9","0,7","0,4"
08/01/2011 7.00,,,0,"54,7","0,2","0,4"
08/01/2011 8.00,,,"0,1","33,5",0,"0,5"
08/01/2011 9.00,,,"0,4","23,3",0,"0,8"
08/01/2011 10.00,,,"0,2","31,8",0,"0,9"
08/01/2011 11.00,,,"0,1","44,1",0,"0,8"
08/01/2011 12.00,,,"0,1","52,4",0,"0,8"
08/01/2011 13.00,,,"0,1",51,0,"0,9"
08/01/2011 14.00,,,"0,2","51,9",0,"1,1"
08/01/2011 15.00,,,"0,1","57,7",0,"0,9"
08/01/2011 16.00,,,"0,1","56,2",0,"0,6"
08/01/2011 17.00,,,"0,2","52,9","1,7","0,4"
