"NetC","SIMAGE Brindisi","","","","","","","","","","","","",""
"Stat","Francavilla F.na Via F.Filzi","","","","","","","","","","","","",""
,NOX,NO2,CO,O3,SO2,Benzene
19/02/2011 13.00,"15,1","7,1","0,2","76,3","2,2","0,6"
19/02/2011 14.00,"19,3","9,7","0,1","78,2","2,4","0,6"
19/02/2011 15.00,"15,1","7,7","0,1","81,7","2,3","0,6"
19/02/2011 16.00,"16,3","8,4","0,1","81,7","2,2","0,6"
19/02/2011 17.00,"17,6","9,5","0,2","80,9","2,8","0,7"
19/02/2011 18.00,"26,5","17,6","0,2","74,1","3,4","0,8"
19/02/2011 19.00,"39,7","26,2","0,2","68,1","3,2","0,9"
19/02/2011 20.00,"41,7","26,6","0,2","63,6","3,7",1
19/02/2011 21.00,"56,6","35,4","0,3","56,7",4,"1,2"
19/02/2011 22.00,"43,6","29,2","0,3","58,4","4,2","0,9"
19/02/2011 23.00,"35,1","23,8","0,3","61,3",4,1
20/02/2011 0.00,"28,3","18,7","0,2","63,3","4,5","0,7"
20/02/2011 1.00,"19,2","12,5","0,1","68,8","4,2","0,6"
20/02/2011 2.00,16,"9,6",,"70,8","3,8","0,5"
20/02/2011 3.00,"14,5","8,4",,"70,9",4,"0,4"
20/02/2011 4.00,"9,1",4,,"77,6","3,4","0,4"
20/02/2011 5.00,"8,9","3,8",,"74,9","2,8","0,4"
20/02/2011 6.00,"11,7","6,1",,"68,7","2,8","0,4"
20/02/2011 7.00,"21,8","14,2",,"60,8","2,2","0,5"
20/02/2011 8.00,"16,4",10,,"64,7","2,3","0,5"
20/02/2011 9.00,21,"11,6",,"61,2","2,3","0,6"
20/02/2011 10.00,"18,2","9,4",,"65,3","2,3","0,6"
20/02/2011 11.00,"15,3","7,7",,"71,2","2,5","0,6"
20/02/2011 12.00,"16,7","9,1",,"77,9","2,8","0,7"
20/02/2011 13.00,"18,4","10,1",,"82,7","2,9","0,8"
20/02/2011 14.00,"16,8","9,1",,"86,3","3,2","0,8"
20/02/2011 15.00,"13,4","6,8","0,1","89,8","3,5","0,8"
20/02/2011 16.00,"15,1","8,4","0,1","90,8","3,5","0,7"
20/02/2011 17.00,"18,6","11,6","0,1","85,8","3,1","0,9"
20/02/2011 18.00,"24,2","16,6","0,2","77,6","3,3","1,1"
20/02/2011 19.00,"45,5","30,8","0,2","59,5","3,9","1,5"
20/02/2011 20.00,"72,5","50,4","0,3","37,8","5,2","1,9"
20/02/2011 21.00,"94,5","57,9","0,5","25,4","6,5","2,4"
20/02/2011 22.00,"79,2",49,"0,5","30,5","7,2",2
20/02/2011 23.00,"78,3","49,9","0,4","25,4","7,9","1,6"
21/02/2011 0.00,"70,3",49,"0,3","28,1","7,4","1,3"
21/02/2011 1.00,"40,5","26,2","0,2","45,9","7,9","1,1"
21/02/2011 2.00,,,"0,2",51,"8,1","0,7"
21/02/2011 3.00,"19,1","12,9",,"52,4","7,5","0,6"
21/02/2011 4.00,"14,5","8,5",,"52,2",,"0,5"
21/02/2011 5.00,"14,8","8,8","0,1",,"4,5","0,5"
21/02/2011 6.00,"15,5","9,2",0,"41,2","2,4","0,5"
21/02/2011 7.00,"21,3","13,5","0,1","61,6",2,"0,4"
21/02/2011 8.00,"51,6","32,9",0,59,"1,8","0,5"
21/02/2011 9.00,87,47,"0,1","45,7","1,9","0,7"
21/02/2011 10.00,"54,2","30,2","0,2","63,3","1,8","1,3"
21/02/2011 11.00,"47,4","24,8","0,1","73,4","1,9","0,6"
21/02/2011 12.00,"38,9","20,5","0,1","74,1",2,"0,6"
21/02/2011 13.00,"41,7","22,4","0,1",77,"2,3","0,9"
21/02/2011 14.00,"43,1","23,1",,"78,4","2,1","0,9"
21/02/2011 15.00,"28,9",16,,"82,8","2,8","1,9"
21/02/2011 16.00,"38,8","22,1",,"78,8","2,8","1,4"
21/02/2011 17.00,"63,4","39,3",,"61,9","2,5","1,4"
21/02/2011 18.00,"26,5","17,6",,"73,8","2,3","1,2"
21/02/2011 19.00,"37,9","27,8",,"56,4","2,8","1,1"
21/02/2011 20.00,"47,7","32,9",,"51,4","3,2","1,1"
21/02/2011 21.00,"54,9","36,7",,"47,5","3,6","1,3"
21/02/2011 22.00,"51,3","34,7",,"49,9","3,9",1
21/02/2011 23.00,"29,5","19,5",,"59,8","3,5","0,8"
22/02/2011 0.00,"18,3","11,1",,"67,4","3,4","0,6"
22/02/2011 1.00,"12,4","6,3",,"67,8","3,2","0,5"
22/02/2011 2.00,"9,4","4,2",,"69,8","2,7","0,5"
22/02/2011 3.00,"8,7","3,4",,"73,5","2,6","0,5"
22/02/2011 4.00,"7,8","2,7",,"73,5","2,2","0,7"
22/02/2011 5.00,9,"3,7",,"71,6","2,2","0,5"
22/02/2011 6.00,"11,8","6,3",,"65,4","2,2","0,5"
22/02/2011 7.00,"30,9","20,1",,"49,7","1,6","0,6"
22/02/2011 8.00,"42,6","27,4",,"45,8",2,"0,7"
22/02/2011 9.00,"60,5","32,4",,"41,9","2,1",1
22/02/2011 10.00,,,,"50,8","1,8","1,1"
22/02/2011 11.00,"18,6",16,,"70,2","1,9","0,8"
22/02/2011 12.00,14,"12,7",,"75,7","2,6","0,8"
22/02/2011 13.00,"15,1",13,,"78,8","2,7",1
22/02/2011 14.00,"21,5","18,6",,"71,3",3,"1,2"
22/02/2011 15.00,12,"11,2",,"81,6","3,1","1,2"
22/02/2011 16.00,"13,2","12,2",,"84,8","3,3",1
22/02/2011 17.00,"18,1","16,7",,"75,8","3,6","1,2"
22/02/2011 18.00,22,"20,7",,"70,6","4,9","1,3"
22/02/2011 19.00,"26,1","23,3",,"67,2","5,2","1,8"
22/02/2011 20.00,"32,5","28,2",,"57,5","6,2","2,2"
22/02/2011 21.00,"42,9","35,4",,"50,9","7,2","1,8"
22/02/2011 22.00,"39,6","33,8",,"48,8","7,6",2
22/02/2011 23.00,"19,1","17,5",,"62,7","7,4","1,6"
23/02/2011 0.00,"11,9","11,6",,"67,3","7,6","1,1"
23/02/2011 1.00,"8,2","8,2",,"68,6","7,1","0,9"
23/02/2011 2.00,,,,"71,3","6,6","0,8"
23/02/2011 3.00,"10,3","10,3",,"77,2","6,4","0,7"
23/02/2011 4.00,"5,6","5,6",,"74,3",,"0,7"
23/02/2011 5.00,"4,8","4,8",,,"4,3","0,6"
23/02/2011 6.00,"6,3","6,3",,"70,6","3,5","0,6"
23/02/2011 7.00,"15,6","14,1",,"62,8","3,2","0,6"
23/02/2011 8.00,"21,7","19,8","0,1","56,2","2,8","0,8"
23/02/2011 9.00,"21,4","17,5","0,2","58,5","3,8","0,8"
23/02/2011 10.00,"15,5","13,2","0,2","67,9","4,6","0,8"
23/02/2011 11.00,"16,6","14,2","0,2","70,3","4,3","0,8"
23/02/2011 12.00,"13,3","11,6","0,2","74,7","4,4","0,9"
23/02/2011 13.00,"11,8","10,5","0,2","77,8","6,2","0,9"
23/02/2011 14.00,"12,6","10,9","0,2",80,"6,3",1
23/02/2011 15.00,"10,8",10,"0,2","81,8","6,4",1
23/02/2011 16.00,"11,3","10,7","0,1","79,8","4,8","0,9"
23/02/2011 17.00,"13,8","12,5","0,1","79,9","4,9","1,1"
23/02/2011 18.00,19,"16,8","0,2",72,"5,8","1,6"
23/02/2011 19.00,17,"14,6","0,2","72,8","5,9","1,5"
23/02/2011 20.00,17,"15,2","0,3","70,7","5,6","1,3"
23/02/2011 21.00,"14,9","13,4","0,3","78,7","5,9","1,3"
23/02/2011 22.00,"11,2","10,3","0,3","84,9","5,8","1,1"
23/02/2011 23.00,"5,9","5,8","0,2",90,"5,2","0,9"
24/02/2011 0.00,"2,3","2,3","0,2","89,5","4,6","0,7"
24/02/2011 1.00,,,"0,1",87,"4,1",
24/02/2011 2.00,,,"0,1","87,5","3,7",
24/02/2011 3.00,,,"0,1","86,1","3,5",
24/02/2011 4.00,,,"0,1","85,6","3,3",
24/02/2011 5.00,,,"0,1","83,6","3,9",
24/02/2011 6.00,,,"0,1",84,"4,5",
24/02/2011 7.00,"2,5","2,5",0,"85,1","4,7",
24/02/2011 8.00,"5,8","5,8","0,1","81,2","4,8",
24/02/2011 9.00,"9,8","8,8","0,2","79,4","4,8","0,7"
24/02/2011 10.00,"8,4","8,2","0,2",80,"4,8","0,8"
24/02/2011 11.00,"8,4","7,9","0,2","82,6",5,"0,9"
24/02/2011 12.00,"10,7","9,4","0,2","80,4","5,5",1
24/02/2011 13.00,12,"10,2","0,2","79,7","5,5","1,2"
24/02/2011 14.00,"14,2","11,4","0,3","80,5","5,9","1,3"
24/02/2011 15.00,"10,2","8,8","0,3","85,8","6,1","1,3"
24/02/2011 16.00,"9,7","8,8","0,3","86,7","6,1","1,2"
24/02/2011 17.00,"10,9",10,"0,3","84,8","4,8","1,3"
24/02/2011 18.00,"11,5","10,5","0,3","85,7","4,9","1,3"
24/02/2011 19.00,"12,8","11,6","0,3",85,"5,2","1,3"
24/02/2011 20.00,"13,7","11,9","0,2","82,9","4,4",1
24/02/2011 21.00,"15,2","13,1","0,1","80,6","5,9",1
24/02/2011 22.00,"11,2","10,5","0,1","82,8","6,4","1,1"
24/02/2011 23.00,"8,8","8,5","0,1","82,4",7,"1,2"
25/02/2011 0.00,"5,7","5,7","0,1","82,6","6,6","0,9"
25/02/2011 1.00,"3,7","3,7","0,1","81,5","7,3","0,9"
25/02/2011 2.00,,,"0,1","81,9","7,3","0,8"
25/02/2011 3.00,"11,3","11,3",,"80,9",7,"0,8"
25/02/2011 4.00,"5,6","5,6",,"81,8",,"0,8"
25/02/2011 5.00,"4,2","4,2","0,5",,"6,7","0,7"
25/02/2011 6.00,"4,7","4,7","0,1","81,3","7,6","0,7"
25/02/2011 7.00,"10,5","9,7","0,2","76,1","7,9","0,7"
25/02/2011 8.00,18,"16,1","0,1","68,3","7,7","0,9"
25/02/2011 9.00,"21,6","17,3","0,1","68,6","8,1","0,9"
25/02/2011 10.00,"15,1","13,3","0,1","72,5",9,"0,9"
25/02/2011 11.00,"16,9","13,7","0,1","74,2",9,"0,8"
25/02/2011 12.00,"19,3","15,9","0,1","73,1","8,8","0,9"
25/02/2011 13.00,"22,5","18,2","0,1","73,9","8,3",1
25/02/2011 14.00,"17,6","14,1","0,1","80,1",8,"0,9"
25/02/2011 15.00,"12,6","10,9","0,1","84,6","8,5",1
25/02/2011 16.00,"13,1","11,2","0,1","88,6","8,6","0,7"
25/02/2011 17.00,"16,4","14,3","0,1",86,"6,8","0,9"
25/02/2011 18.00,"19,7","16,8","0,1","83,8","5,7",1
25/02/2011 19.00,"24,9","20,6","0,1","83,1","6,1","1,3"
25/02/2011 20.00,21,"18,3","0,1","84,4","5,5","1,1"
25/02/2011 21.00,26,"22,2","0,1","77,3","5,1","0,9"
25/02/2011 22.00,"26,2","21,5","0,1","73,6","5,2","0,9"
25/02/2011 23.00,"15,4","13,8","0,1","75,2","4,7","0,9"
26/02/2011 0.00,11,"10,4",0,78,"4,6","0,8"
26/02/2011 1.00,"4,9","4,9",0,"82,1","4,9","0,5"
26/02/2011 2.00,"3,4","3,4",0,"80,6","4,8","0,5"
26/02/2011 3.00,"2,8","2,8",0,"79,6","4,4","0,4"
26/02/2011 4.00,"2,2","2,2",0,"80,5","4,2","0,4"
26/02/2011 5.00,"1,7","1,7",0,"83,3","3,5","0,4"
26/02/2011 6.00,"5,5","5,5",0,"79,4","3,1","0,5"
26/02/2011 7.00,"12,6","11,4","0,1","73,5","2,9","0,5"
26/02/2011 8.00,"19,1","16,5","0,1",66,"2,6","0,7"
26/02/2011 9.00,"17,3","15,5","0,1","66,8","2,9","0,7"
26/02/2011 10.00,"15,7","13,5","0,1","70,7","3,1","0,8"
26/02/2011 11.00,"21,1","16,8","0,1","68,7","3,4","0,9"
26/02/2011 12.00,"22,1","16,4","0,1","70,5","3,6","1,2"
26/02/2011 13.00,"25,2","19,3","0,1","69,3","4,5","1,5"
26/02/2011 14.00,"31,7","23,8","0,1","65,8","4,9","1,4"
26/02/2011 15.00,"16,8",14,"0,1",78,"4,9","1,4"
26/02/2011 16.00,"16,6","14,2","0,1",81,"5,9","1,4"
26/02/2011 17.00,"22,2","19,1","0,2",72,"5,4","1,4"
26/02/2011 18.00,"30,1",25,"0,3","60,8","5,9",2
26/02/2011 19.00,34,"27,3","0,4",49,"6,5","2,4"
26/02/2011 20.00,"41,6","32,8","0,4","43,1","7,5","1,9"
26/02/2011 21.00,"58,5","42,7","0,4","33,2",8,"1,9"
26/02/2011 22.00,"42,5","33,8","0,3","43,2","8,6",2
26/02/2011 23.00,"29,3","25,3","0,2","48,2","8,4","1,7"
27/02/2011 0.00,"17,2","15,8","0,2","58,9","8,8","1,2"
27/02/2011 1.00,"12,8","12,3","0,1","60,9","8,5",1
27/02/2011 2.00,,,"0,1",60,"8,1","0,8"
27/02/2011 3.00,"18,8","18,8",,"56,1","7,7","0,8"
27/02/2011 4.00,"11,4","11,3",,"59,3",,"0,7"
27/02/2011 5.00,"9,5","9,3",,,4,"0,6"
27/02/2011 6.00,"12,7","12,4","0,5","60,5","1,8","0,6"
27/02/2011 7.00,"12,8","12,5","0,3","63,6","1,6","0,6"
27/02/2011 8.00,"13,2","12,7","0,2","67,5","1,3","0,6"
27/02/2011 9.00,"12,7","11,9","0,2","72,6","1,2","0,7"
27/02/2011 10.00,"11,6","10,3","0,3","76,4","1,6","0,8"
27/02/2011 11.00,"12,4","9,3","0,4","82,6","2,3","0,7"
27/02/2011 12.00,"10,7","9,8","0,3","89,6","2,6","0,7"
27/02/2011 13.00,"14,3","12,2","0,4","91,7","2,7","0,9"
27/02/2011 14.00,"10,7","10,1","0,4","93,6",3,"0,9"
27/02/2011 15.00,"9,9","9,4","0,5","94,7",3,"1,2"
27/02/2011 16.00,"10,3",10,"0,6","96,8","2,5","0,9"
27/02/2011 17.00,"15,2","13,7","0,5","92,7","3,5",1
27/02/2011 18.00,"21,2","18,8","0,5","84,5","4,4",1
27/02/2011 19.00,"41,8","36,3","0,6","59,6","4,5","1,1"
27/02/2011 20.00,"60,5",49,"0,7","41,5","5,5","1,9"
27/02/2011 21.00,"98,4","67,6",1,"29,8","7,2","2,3"
27/02/2011 22.00,"125,3","74,9","1,5",13,"8,5",4
27/02/2011 23.00,"144,5","76,8","1,6","9,8","10,2","3,2"
28/02/2011 0.00,"65,8","48,1","1,5","23,5","10,5","2,9"
28/02/2011 1.00,"39,6","31,6",1,"44,4","10,6","1,7"
28/02/2011 2.00,"23,3","20,9","0,6","53,8","10,5","1,1"
28/02/2011 3.00,"14,5",14,"0,2","50,7","10,4",1
28/02/2011 4.00,17,"16,8","0,1","37,7","10,2",1
28/02/2011 5.00,"12,2","11,9","0,1","53,3","6,8","0,9"
28/02/2011 6.00,"13,7","13,2",0,"49,7","3,4","0,8"
28/02/2011 7.00,"35,6","27,8",0,"33,6","2,7","0,8"
28/02/2011 8.00,"81,3","51,4","0,1",19,"2,5","1,4"
28/02/2011 9.00,"82,6","44,8","0,1",38,"2,5","1,2"
28/02/2011 10.00,"62,1","32,2","0,1",55,"2,3","1,2"
28/02/2011 11.00,41,"24,8","0,1",70,"2,3","0,9"
28/02/2011 12.00,28,"19,6",0,"78,1","2,2",1
28/02/2011 13.00,"31,8","22,2","0,3",73,,"1,2"
28/02/2011 14.00,"34,1","21,8","0,2","71,8","3,1","1,2"
28/02/2011 15.00,"21,2","15,6","0,2","74,3","3,4","1,4"
28/02/2011 16.00,"24,7","17,5","0,1","72,5","3,5","1,2"
28/02/2011 17.00,"26,8","18,9","0,2",69,"3,4","1,2"
28/02/2011 18.00,34,"23,9","0,1","65,1","4,2","1,2"
28/02/2011 19.00,"34,8","26,9","0,2","59,1",4,"1,3"
28/02/2011 20.00,"29,9","23,3","0,1","58,3","4,5","1,3"
28/02/2011 21.00,"31,3","24,6","0,2","58,4","4,7",1
28/02/2011 22.00,"27,4",23,"0,1","61,3","4,8","0,8"
28/02/2011 23.00,"19,1","15,2","0,1","57,8","4,7","0,8"
01/03/2011 0.00,"10,8","9,4","0,1","63,2","4,6","0,7"
01/03/2011 1.00,"4,6","4,6",0,"67,8","4,2","0,5"
01/03/2011 2.00,,,"0,2","75,2","3,8","0,4"
01/03/2011 3.00,"8,1","8,1","0,2","82,6","3,3","0,3"
01/03/2011 4.00,,,,,,
01/03/2011 5.00,"2,9","2,9","0,2",,"2,4","0,3"
01/03/2011 6.00,"2,1","2,1","0,2","83,4","2,3","0,3"
01/03/2011 7.00,"3,4","3,4","0,4","78,9","1,9","0,4"
01/03/2011 8.00,"8,4","7,8","0,3","78,8","1,8","0,3"
01/03/2011 9.00,"26,4","17,5","0,4","70,2",2,"0,5"
01/03/2011 10.00,16,"13,1","0,3","70,9","1,8","0,6"
01/03/2011 11.00,"20,7","15,6","0,2","63,2","1,9","0,5"
01/03/2011 12.00,"18,9","14,4","0,4",60,"1,9","0,7"
01/03/2011 13.00,"24,1","17,8","0,4","56,7","2,2","0,8"
01/03/2011 14.00,30,"18,7","0,5","58,8","2,6","0,9"
01/03/2011 15.00,"16,2","11,8","0,2","64,8","2,7","0,7"
01/03/2011 16.00,"16,4","12,5","0,3","69,5",3,"0,8"
01/03/2011 17.00,"11,8","9,5","0,2","74,3","3,1","0,6"
01/03/2011 18.00,"9,8","8,1","0,2",79,"3,6","0,6"
01/03/2011 19.00,12,"9,6","0,1","79,6","3,4","0,5"
01/03/2011 20.00,"13,7","10,8","0,2",80,"3,6","0,6"
01/03/2011 21.00,"13,1","10,7","0,2","78,9","3,5","0,6"
01/03/2011 22.00,"10,2","8,5","0,3","81,9","3,7","0,6"
01/03/2011 23.00,"6,8","6,4","0,2",88,"3,4","0,5"
02/03/2011 0.00,"12,6","12,1","0,2","76,5","3,4","0,4"
02/03/2011 1.00,"10,8","10,2","0,2","71,9","3,3","0,4"
02/03/2011 2.00,"4,3","4,3","0,2","73,9","3,2","0,4"
02/03/2011 3.00,"5,6","5,6","0,1",68,"2,9","0,4"
02/03/2011 4.00,"2,6","2,6","0,1","60,8","2,8","0,3"
02/03/2011 5.00,"7,4","7,4","0,1","58,1",2,"0,4"
02/03/2011 6.00,"7,9","7,9","0,1","65,4","0,9","0,4"
02/03/2011 7.00,"23,2","19,1","0,1","55,1","0,7","0,4"
02/03/2011 8.00,"63,7","43,9","0,1","38,5","1,1","0,5"
02/03/2011 9.00,"77,3","43,2","0,3","48,9","1,5","0,7"
02/03/2011 10.00,"38,2",25,"0,3","71,4","1,8","0,8"
02/03/2011 11.00,"29,6","20,6","0,1","75,8","1,9",1
02/03/2011 12.00,"30,2","18,4","0,2","77,6","2,1","0,5"
02/03/2011 13.00,22,"14,6","0,1","84,7","2,1","0,5"
02/03/2011 14.00,"23,4",15,"0,1","89,8","1,8","0,5"
02/03/2011 15.00,"11,6","9,3","0,2","94,7","1,9","0,5"
02/03/2011 16.00,"13,5",10,"0,2","92,6","1,9","0,5"
02/03/2011 17.00,21,"15,2","0,1","89,5","1,8","0,5"
02/03/2011 18.00,"30,6",23,"0,2","81,7","2,2","0,7"
02/03/2011 19.00,53,"35,3","0,2","66,9","2,6","1,2"
02/03/2011 20.00,"65,9","43,1","0,5","55,3","3,4","1,5"
02/03/2011 21.00,"54,6","36,8","0,3","53,4","3,9","1,6"
02/03/2011 22.00,"42,6","34,3","0,4","41,1","4,2","1,3"
02/03/2011 23.00,"25,7","21,6","0,3","42,6","4,6","1,1"
03/03/2011 0.00,"14,4",13,"0,3","52,4","4,7","0,8"
03/03/2011 1.00,"5,7","5,5","0,2","63,9","5,2","0,5"
03/03/2011 2.00,,,"0,3","70,4","4,5","0,4"
03/03/2011 3.00,"10,1","10,1","0,6","66,8",4,"0,3"
03/03/2011 4.00,"3,7","3,7","0,8","73,5",,"0,3"
03/03/2011 5.00,"3,8","3,7","0,7",,"2,4","0,3"
03/03/2011 6.00,"6,3","6,2","0,6","73,4","1,6","0,3"
03/03/2011 7.00,"20,6","19,1","0,8","56,5","1,1","0,3"
03/03/2011 8.00,"37,2","25,8","0,9","48,7",1,"0,5"
03/03/2011 9.00,"48,5","28,8",1,"60,5","1,4","0,5"
03/03/2011 10.00,"24,4","17,1","0,9",76,"1,4","0,6"
03/03/2011 11.00,"24,3","16,6","0,9","81,5","1,4","0,7"
03/03/2011 12.00,"22,1","14,8",1,"86,5","1,5","0,5"
03/03/2011 13.00,"27,3","17,9","0,9",87,"1,5","0,6"
03/03/2011 14.00,"37,6","24,1","0,7","83,6","1,9",1
03/03/2011 15.00,,,,,,
03/03/2011 16.00,,,,,,
03/03/2011 17.00,,,,,,
03/03/2011 18.00,,,,,,
03/03/2011 19.00,,,,,,
03/03/2011 20.00,,,,,,
03/03/2011 21.00,,,,,,
03/03/2011 22.00,,,,,,
03/03/2011 23.00,,,,,,
04/03/2011 0.00,,,,,,
04/03/2011 1.00,,,,,,
04/03/2011 2.00,,,,,,
04/03/2011 3.00,,,,,,
04/03/2011 4.00,,,,,,
04/03/2011 5.00,,,,,,
04/03/2011 6.00,,,,,,
04/03/2011 7.00,,,,,,
04/03/2011 8.00,,,,,,
04/03/2011 9.00,,,,,,
04/03/2011 10.00,,,,,,
04/03/2011 11.00,,,,,,
04/03/2011 12.00,,,,,,
04/03/2011 13.00,,,,,,
04/03/2011 14.00,,,,,,
04/03/2011 15.00,,,,,,
04/03/2011 16.00,,,,,,
04/03/2011 17.00,,,,,,
04/03/2011 18.00,,,,,,
04/03/2011 19.00,,,,,,
04/03/2011 20.00,,,,,,
04/03/2011 21.00,,,,,,
04/03/2011 22.00,,,,,,
04/03/2011 23.00,,,,,,
05/03/2011 0.00,,,,,,
05/03/2011 1.00,,,,,,
05/03/2011 2.00,,,,,,
05/03/2011 3.00,,,,,,
05/03/2011 4.00,,,,,,
05/03/2011 5.00,,,,,,
05/03/2011 6.00,,,,,,
05/03/2011 7.00,,,,,,
05/03/2011 8.00,,,,,,
05/03/2011 9.00,,,,,,
05/03/2011 10.00,,,,,,
05/03/2011 11.00,,,,,,
05/03/2011 12.00,,,,,,
05/03/2011 13.00,,,,,,
05/03/2011 14.00,,,,,,
05/03/2011 15.00,,,,,,
05/03/2011 16.00,,,,,,
05/03/2011 17.00,,,,,,
05/03/2011 18.00,,,,,,
05/03/2011 19.00,,,,,,
05/03/2011 20.00,,,,,,
05/03/2011 21.00,,,,,,
05/03/2011 22.00,,,,,,
05/03/2011 23.00,,,,,,
06/03/2011 0.00,,,,,,
06/03/2011 1.00,,,,,,
06/03/2011 2.00,,,,,,
06/03/2011 3.00,,,,,,
06/03/2011 4.00,,,,,,
06/03/2011 5.00,,,,,,
06/03/2011 6.00,,,,,,
06/03/2011 7.00,,,,,,
06/03/2011 8.00,,,,,,
06/03/2011 9.00,,,,,,
06/03/2011 10.00,,,,,,
06/03/2011 11.00,,,,,,
06/03/2011 12.00,,,,,,
06/03/2011 13.00,,,,,,
06/03/2011 14.00,,,,,,
06/03/2011 15.00,,,,,,
06/03/2011 16.00,,,,,,
06/03/2011 17.00,,,,,,
06/03/2011 18.00,,,,,,
06/03/2011 19.00,,,,,,
06/03/2011 20.00,,,,,,
06/03/2011 21.00,,,,,,
06/03/2011 22.00,,,,,,
06/03/2011 23.00,,,,,,
07/03/2011 0.00,,,,,,
07/03/2011 1.00,,,,,,
07/03/2011 2.00,,,,,,
07/03/2011 3.00,,,,,,
07/03/2011 4.00,,,,,,
07/03/2011 5.00,,,,,,
07/03/2011 6.00,,,,,,
07/03/2011 7.00,,,,,,
07/03/2011 8.00,,,,,,
07/03/2011 9.00,,,,,,
07/03/2011 10.00,,,,,,
07/03/2011 11.00,,,,,,
07/03/2011 12.00,"11,1","8,9",,"85,6",,"0,2"
07/03/2011 13.00,"10,2","8,6",,"84,9",,"0,6"
07/03/2011 14.00,"9,5","7,5",,"90,1","1,4","1,1"
07/03/2011 15.00,"6,2","5,3",,"96,4","1,7","1,2"
07/03/2011 16.00,8,"7,2",,"90,7","1,1","1,1"
07/03/2011 17.00,"7,5","6,9",,"92,6",2,1
07/03/2011 18.00,"12,8","10,8",,"89,1",3,"1,3"
07/03/2011 19.00,"14,9","11,9",,"84,6","2,4","1,4"
07/03/2011 20.00,"17,6","14,8",,"84,6","2,8","1,6"
07/03/2011 21.00,"16,4","13,7",,"83,5","2,4","1,5"
07/03/2011 22.00,"11,8","10,1",,"84,4","1,8",1
07/03/2011 23.00,"3,7","3,6",,"92,3","3,2",1
08/03/2011 0.00,,,,"94,6","3,8","0,7"
08/03/2011 1.00,,,,"94,2",3,"0,6"
08/03/2011 2.00,,,,"95,3","2,4","0,6"
08/03/2011 3.00,,,,"97,8","1,6","0,5"
08/03/2011 4.00,,,,"98,3","0,9","0,5"
08/03/2011 5.00,,,,"95,7","2,3","0,5"
08/03/2011 6.00,,,,"94,1","2,6","0,5"
08/03/2011 7.00,,,,"92,7","2,5","0,5"
08/03/2011 8.00,"3,4","3,3",,"90,5","2,3","0,6"
08/03/2011 9.00,"5,5","4,8",,"90,9",2,"0,6"
08/03/2011 10.00,"5,5","4,7",,"88,8",2,"0,6"
08/03/2011 11.00,"5,4","4,3",,"90,5","2,1","0,7"
08/03/2011 12.00,"6,3","5,1",,"90,7","2,1","0,7"
08/03/2011 13.00,"6,5",5,,"92,3","2,1","0,9"
08/03/2011 14.00,,,,"94,1",,"0,9"
08/03/2011 15.00,,,,95,"1,8","0,9"
08/03/2011 16.00,"13,7","10,6",,"95,9","2,1",1
08/03/2011 17.00,14,"10,2",,"93,6","2,1","1,1"
08/03/2011 18.00,"16,1","12,5",,"90,9","2,3","1,4"
08/03/2011 19.00,"25,1","20,1",,"80,5","2,8","1,7"
08/03/2011 20.00,"49,1","37,4",,"59,5","3,6","1,8"
08/03/2011 21.00,86,"60,4",,"38,4","4,4","2,6"
08/03/2011 22.00,"46,9","37,3",,"54,6","4,3","2,6"
08/03/2011 23.00,"52,1","40,8",,"49,2","4,9","2,2"
09/03/2011 0.00,"23,7","18,8",,"62,7","5,2","1,6"
09/03/2011 1.00,11,9,,"76,6",5,"0,7"
09/03/2011 2.00,,,,"72,1","4,6","0,6"
09/03/2011 3.00,"16,7",15,,"71,1","4,3","0,7"
09/03/2011 4.00,"9,8","8,7","0,1","73,8",,"0,6"
09/03/2011 5.00,"7,5","6,6","0,2",,"2,9","0,5"
09/03/2011 6.00,10,9,"0,2","75,8","1,8","0,5"
09/03/2011 7.00,"27,8","22,8","0,2","63,2","1,6","0,6"
09/03/2011 8.00,"46,5","34,2","0,4","49,7","1,9","0,7"
09/03/2011 9.00,"35,4","24,1","0,2","67,5","1,5","0,8"
09/03/2011 10.00,"22,8","15,9","0,2","77,4","1,5","0,8"
09/03/2011 11.00,"19,4","13,9","0,2","84,7","1,7","0,7"
09/03/2011 12.00,"18,9","13,9","0,3","89,4","1,8","0,8"
09/03/2011 13.00,"17,9","12,9","0,2","89,4","1,9","0,9"
09/03/2011 14.00,"20,8","15,1","0,4",92,"2,2",1
09/03/2011 15.00,"16,6","12,2","0,3","95,4","2,7","1,3"
09/03/2011 16.00,"18,1","13,4","0,4","97,9","2,7","1,3"
09/03/2011 17.00,"19,7","15,3","0,4","96,5","2,6","1,4"
09/03/2011 18.00,"25,9","20,9","0,5","90,8","2,2","1,5"
09/03/2011 19.00,"53,3","39,8","0,5","66,2","2,7","2,2"
09/03/2011 20.00,"53,1","41,7","0,4",62,"2,8","1,9"
09/03/2011 21.00,"52,6","42,3","0,4","62,7","3,4",2
09/03/2011 22.00,"54,9","43,5","0,6","56,8","3,6","2,4"
09/03/2011 23.00,42,"32,6","0,5","58,3",4,2
10/03/2011 0.00,"31,8","25,6","0,6",61,"4,7","1,6"
10/03/2011 1.00,"18,5","15,1","0,4","65,7","4,3","1,2"
10/03/2011 2.00,"12,8","10,4","0,1","69,2","4,3","0,9"
