, Brindisi,,,
,Bozzano,,,
Parm,SO2,NO2,NOX,



01/01/2010 0.00,,,,ug/m3
01/01/2010 1.00,"0,83237789","9,02750226","12,09717046",
01/01/2010 2.00,"1,22598231","8,56551526","12,78030512","37,6068306"
01/01/2010 3.00,"0,96298205","12,79068154","13,96802805",
01/01/2010 4.00,"1,08068149","10,48592615","11,36099119","38,0952301"
01/01/2010 5.00,"1,15249491","12,31445588","13,3819293",
01/01/2010 6.00,"1,45002945","13,79359438","14,94744622","35,16482162"
01/01/2010 7.00,"1,55219422","13,16984835","14,0611826",
01/01/2010 8.00,"1,29946972","11,24425786","11,7142026","34,18803024"
01/01/2010 9.00,"1,14353311","11,65576997","13,96285226",
01/01/2010 10.00,"1,03742543","8,66386663","8,96872547","34,18803024"
01/01/2010 11.00,"1,15596085","8,33387455","8,54564767",
01/01/2010 12.00,"1,4518214","8,76480302","9,78771155","26,86202049"
01/01/2010 13.00,"1,33352498","9,8000669","11,48260778",
01/01/2010 14.00,"1,38012697","8,78680441","9,61304653","24,90842056"
01/01/2010 15.00,"1,16145773","7,38660857","6,97883824",
01/01/2010 16.00,"1,08163645","7,67130537","7,70984364","1,46520102"
01/01/2010 17.00,"0,97158485","9,30572886","9,55741115",
01/01/2010 18.00,"0,88614871","12,40375584","13,33276414","3,41880298"
01/01/2010 19.00,"0,94099552","9,91524195","10,4579077",
01/01/2010 20.00,"1,1904941","12,15399702","15,05224486","4,39560509"
01/01/2010 21.00,"1,02380271","11,72048352","12,96402729",
01/01/2010 22.00,"0,84384863","33,63701296","35,96288448","32,72283173"
01/01/2010 23.00,"0,71706839","35,63119072","40,32951008",
02/01/2010 0.00,"0,87646992","8,37528656","8,89497772","25,39682007"
02/01/2010 1.00,,"8,11646868","8,24289586",
02/01/2010 2.00,,,,"3,41880298"
02/01/2010 3.00,,"7,32319709","6,98142709",
02/01/2010 4.00,,"7,67907191","7,46401971","3,41880298"
02/01/2010 5.00,,"6,73956865","6,62692126",
02/01/2010 6.00,,"8,54092694","8,62586563","2,93040299"
02/01/2010 7.00,,"10,42380718","11,17338766",
02/01/2010 8.00,,"13,37689501","14,02107458","4,88400507"
02/01/2010 9.00,,"5,94500263","9,41509334",
02/01/2010 10.00,,"12,45681193","18,47309201","3,41880298"
02/01/2010 11.00,,"8,50728148","14,2979513",
02/01/2010 12.00,,"10,55580593","17,14693072","6,83760691"
02/01/2010 13.00,,"4,26658211","8,84581446",
02/01/2010 14.00,,"6,7421575","11,21867147","0,97680098"
02/01/2010 15.00,,"9,09350068","12,73502131",
02/01/2010 16.00,,"9,18020414","12,73890458","2,44200301"
02/01/2010 17.00,,"9,70948207","11,1759746",
02/01/2010 18.00,,"11,58459768","13,66527432","5,86080599"
02/01/2010 19.00,,"10,43545318","13,09082157",
02/01/2010 20.00,,"11,02426122","12,89804226","4,88400507"
02/01/2010 21.00,,"7,41507825","8,88721691",
02/01/2010 22.00,,"9,5865443","10,42038662","4,39560509"
02/01/2010 23.00,,"12,5991565","12,84370322",
03/01/2010 0.00,,"12,5137532","12,52024826","27,8388195"
03/01/2010 1.00,,"14,70333354","14,8115948",
03/01/2010 2.00,,"12,8993883","12,74925424","24,90842056"
03/01/2010 3.00,,"10,38628418","10,02577276",
03/01/2010 4.00,,"9,98253288","10,20690799","6,34920597"
03/01/2010 5.00,,"9,03397247","8,97778262",
03/01/2010 6.00,,"10,49239445","10,40227424","4,88400507"
03/01/2010 7.00,,"14,0485309","14,30700844",
03/01/2010 8.00,,"13,70818151","14,59035346","5,37240601"
03/01/2010 9.00,,"7,71012853","11,68832559",
03/01/2010 10.00,,"6,08994179","11,05823746","0,97680098"
03/01/2010 11.00,,"5,04561886","10,67009382",
03/01/2010 12.00,,"5,63313058","11,62881077","3,41880298"
03/01/2010 13.00,,"6,85344928","13,86064248",
03/01/2010 14.00,,"10,00323793","13,61999242","3,41880298"
03/01/2010 15.00,,"12,03493486","14,04695158",
03/01/2010 16.00,,"11,7851856","13,64328058","5,86080599"
03/01/2010 17.00,,"9,49078369","11,97684639",
03/01/2010 18.00,,"8,39857854","11,47613948","5,86080599"
03/01/2010 19.00,,"5,10385265","9,84593386",
03/01/2010 20.00,,"6,80427264","9,21325689","4,39560509"
03/01/2010 21.00,,"8,92785838","12,80230077",
03/01/2010 22.00,,"8,80621503","11,68315172","5,86080599"
03/01/2010 23.00,,"7,97800355","10,39451152",
04/01/2010 0.00,,"12,94855921","14,70420923","0,97680098"
04/01/2010 1.00,,"13,63830174","14,15433715",
04/01/2010 2.00,,,,"2,44200301"
04/01/2010 3.00,,"9,65383714","10,4061556",
04/01/2010 4.00,,"9,75995122","9,48495782","3,41880298"
04/01/2010 5.00,,"9,28114245","9,26371648",
04/01/2010 6.00,,"12,48139642","12,48272909","4,88400507"
04/01/2010 7.00,"0,2650841","64,70787336","131,438681",
04/01/2010 8.00,"0,96524182","82,01101448","232,1466272","1,95360196"
04/01/2010 9.00,"0,10119353","73,3575128","153,1385426",
04/01/2010 10.00,"0,01886637","63,18731712","87,69219744","3,41880298"
04/01/2010 11.00,,"63,59495552","87,99106216",
04/01/2010 12.00,,"24,73502776","33,95876432","4,39560509"
04/01/2010 13.00,"0,00686068","35,32060544","43,05166272",
04/01/2010 14.00,"0,02401239","40,83597976","49,0731052","6,34920597"
04/01/2010 15.00,"0,00171466","21,30572192","26,3938216",
04/01/2010 16.00,"0,02744171","15,32837398","19,35934416","3,90720391"
04/01/2010 17.00,,"11,1303734","16,56471525",
04/01/2010 18.00,"0,00686068","10,3112248","13,51778073","2,44200301"
04/01/2010 19.00,"0,00171466","8,40504875","11,9393253",
04/01/2010 20.00,"0,00857534","7,43319445","9,96884487","2,44200301"
04/01/2010 21.00,"0,00171466","10,40310787","11,99366626",
04/01/2010 22.00,"0,02229671","11,90941398","13,46732114","5,37240601"
04/01/2010 23.00,"0,04802376","12,49044974","12,714322",
05/01/2010 0.00,"0,005145","11,50307","11,69996967","1,46520102"
05/01/2010 1.00,"0,02401239","13,41442948","13,6057595",
05/01/2010 2.00,"0,12349024","12,50339781","12,40251304","0,97680098"
05/01/2010 3.00,"0,15264763","11,56777208","11,56800152",
05/01/2010 4.00,"0,15779264","10,93885792","10,82664455","6,34920597"
05/01/2010 5.00,"0,16979832","14,21805646","15,33300294",
05/01/2010 6.00,"0,176659","13,2733755","18,1716327","4,88400507"
05/01/2010 7.00,"0,18695003","9,3018475","11,60422818",
05/01/2010 8.00,"0,21934758","44,85668632","50,58039216","2,93040299"
05/01/2010 9.00,"0,20867518","11,04626261","18,05907135",
05/01/2010 10.00,"0,15607797","6,08088082","11,87204776","4,88400507"
05/01/2010 11.00,"0,17856486","7,62342506","14,42862694",
05/01/2010 12.00,"0,92121996","6,65545403","14,07282668","5,86080599"
05/01/2010 13.00,"0,49014824","7,40860804","15,55036483",
05/01/2010 14.00,"0,51320769","6,7719216","13,23184686","27,8388195"
05/01/2010 15.00,"0,20791243","4,37916641","9,10975268",
05/01/2010 16.00,"0,87357656","5,41701913","11,10740263","24,42000961"
05/01/2010 17.00,"1,04947383","6,53380877","12,17479958",
05/01/2010 18.00,"0,55322766","6,37722553","12,31323794","26,37360954"
05/01/2010 19.00,"1,07024605","3,16273098","8,52882972",
05/01/2010 20.00,"1,51332346","10,0782954","14,40792571","27,8388195"
05/01/2010 21.00,"1,58421548","11,52248827","14,9138065",
05/01/2010 22.00,"1,3703953","11,26237406","12,95367763","30,28083038"
05/01/2010 23.00,"2,01280979","9,50889989","10,96766985",
06/01/2010 0.00,"2,04673081","8,87221345","9,52377334","31,25761986"
06/01/2010 1.00,,"8,68068841","9,22360846",
06/01/2010 2.00,,,,"36,63003159"
06/01/2010 3.00,,"9,23584908","9,23654696",
06/01/2010 4.00,,"8,75703839","8,72936984","36,63003159"
06/01/2010 5.00,,"10,10676317","10,02318582",
06/01/2010 6.00,,"11,50695518","11,84228939","35,65322113"
06/01/2010 7.00,,"11,60919174","14,74302283",
06/01/2010 8.00,,"8,04788333","12,73243438","33,69963074"
06/01/2010 9.00,,"8,94726901","12,78936226",
06/01/2010 10.00,,"12,20705119","15,10270445","35,16482162"
06/01/2010 11.00,,"5,00420877","10,74384157",
06/01/2010 12.00,,"6,13393882","11,51883635","64,46884918"
06/01/2010 13.00,,"11,02426122","14,03271866",
06/01/2010 14.00,,"10,12358877","11,45673268","56,16604996"
06/01/2010 15.00,,"9,98512173","10,6118715",
06/01/2010 16.00,,"10,18699642","10,83828863","38,0952301"
06/01/2010 17.00,,"11,96894027","13,83347105",
06/01/2010 18.00,,"12,49175182","14,78960106","28,81562042"
06/01/2010 19.00,,"13,19055722","14,64598692",
06/01/2010 20.00,,"12,93302612","14,91898228","37,11843109"
06/01/2010 21.00,,"20,3377528","24,66139664",
06/01/2010 22.00,,"22,25946576","25,88534432","29,7924099"
06/01/2010 23.00,,"13,48301866","14,7093831",
07/01/2010 0.00,,"53,4519676","61,065456","29,7924099"
07/01/2010 1.00,,"23,33225072","28,49497576",
07/01/2010 2.00,,"12,07246934","13,09599544","23,93161964"
07/01/2010 3.00,,"12,16175782","12,27442434",
07/01/2010 4.00,,"12,38433757","12,55647493","5,86080599"
07/01/2010 5.00,,"12,86185574","13,6057595",
07/01/2010 6.00,,"35,21707064","39,70847336","1,95360196"
07/01/2010 7.00,,"26,2051072","32,10213584",
07/01/2010 8.00,,"14,44968762","21,49673072","3,90720391"
07/01/2010 9.00,,"19,09155709","26,12082624",
07/01/2010 10.00,,"12,51116053","19,94026712","24,90842056"
07/01/2010 11.00,,"16,36234152","26,00696664",
07/01/2010 12.00,,"6,47816383","13,11928551","24,90842056"
07/01/2010 13.00,,"13,58137002","20,08647776",
07/01/2010 14.00,,"10,89485515","15,48179286","23,93161964"
07/01/2010 15.00,,"9,52960494","13,9266256",
07/01/2010 16.00,,"23,39307144","29,25444128","1,95360196"
07/01/2010 17.00,,"75,93400928","94,15867704",
