,Bari,,
,Ex Ciapi,,
Parm,SO2,NO2,PM10



05/01/2010 10.00,"4,17924251","65,50099008","23,5"
05/01/2010 11.00,"3,96793229","60,81697248","23,5"
05/01/2010 12.00,"4,04920482","49,80064032","23,5"
05/01/2010 13.00,"3,99141075","34,99451384","23,5"
05/01/2010 14.00,"4,09616276","28,25855696","23,5"
05/01/2010 15.00,"4,14853928","30,5168584","23,5"
05/01/2010 16.00,"3,98960456","28,21052752","23,5"
05/01/2010 17.00,"3,984187","28,20794632","23,5"
05/01/2010 18.00,"3,9643199","29,93151872","23,5"
05/01/2010 19.00,"3,95709615","22,65435112","23,5"
05/01/2010 20.00,"3,98960456","20,65044128","23,5"
05/01/2010 21.00,"3,94806519","30,8594888","23,5"
05/01/2010 22.00,"3,92819911","23,86655912","23,5"
05/01/2010 23.00,"3,94987138","18,54788371","23,5"
06/01/2010 0.00,"3,96251371","18,66210277","23,5"
06/01/2010 1.00,,"26,19883584","16,10000038"
06/01/2010 2.00,"4,0022479",,"16,10000038"
06/01/2010 3.00,"4,02753255","28,88932576","16,10000038"
06/01/2010 4.00,"3,93000429","22,28833696","16,10000038"
06/01/2010 5.00,"3,95528996","13,85348586","16,10000038"
06/01/2010 6.00,"3,99502313","28,6128888","16,10000038"
06/01/2010 7.00,"3,95528996","25,7562652","16,10000038"
06/01/2010 8.00,"3,96251371","26,67255296","16,10000038"
06/01/2010 9.00,"3,984187","26,91786256","16,10000038"
06/01/2010 10.00,"3,99502313","23,34221224","16,10000038"
06/01/2010 11.00,"4,06907192","13,2240134","16,10000038"
06/01/2010 12.00,"4,15576405","10,05591353","16,10000038"
06/01/2010 13.00,"4,00766546","12,57377662","16,10000038"
06/01/2010 14.00,"4,04378726","12,03905522","16,10000038"
06/01/2010 15.00,"4,03114494","6,91246698","16,10000038"
06/01/2010 16.00,"3,89207731","12,18571136","16,10000038"
06/01/2010 17.00,"3,92819911","15,31488482","16,10000038"
06/01/2010 18.00,"3,84511937","23,802966","16,10000038"
06/01/2010 19.00,"3,90833202","42,74669872","16,10000038"
06/01/2010 20.00,"3,92639292","33,65900096","16,10000038"
06/01/2010 21.00,"3,95890133","44,388514","16,10000038"
06/01/2010 22.00,"3,93903525","37,07111792","16,10000038"
06/01/2010 23.00,"3,97876842","23,81464832","16,10000038"
07/01/2010 0.00,"3,95528996","25,41231552","16,10000038"
07/01/2010 1.00,"3,93903525","31,72128456","16,89999962"
07/01/2010 2.00,"3,95348377","42,989408","16,89999962"
07/01/2010 3.00,"3,96973848","22,90224192","16,89999962"
07/01/2010 4.00,"3,98960456","11,82880214","16,89999962"
07/01/2010 5.00,"3,94806519","15,57964902","16,89999962"
07/01/2010 6.00,"3,99502313","29,1605812","16,89999962"
07/01/2010 7.00,"4,10158134","53,86947192","16,89999962"
07/01/2010 8.00,"4,01489023","50,20946416","16,89999962"
07/01/2010 9.00,"4,28038214","57,59177264","16,89999962"
07/01/2010 10.00,"4,20091478","51,10500672","16,89999962"
07/01/2010 11.00,"4,35623712","42,49232624","16,89999962"
07/01/2010 12.00,"4,19549722","31,81212368","16,89999962"
07/01/2010 13.00,"4,1973024","29,75500288","16,89999962"
07/01/2010 14.00,"4,27315738","24,96066288","16,89999962"
07/01/2010 15.00,"4,12325361","29,51231272","16,89999962"
07/01/2010 16.00,"4,15395684","39,59935552","16,89999962"
07/01/2010 17.00,"4,26051505","60,41074896","16,89999962"
07/01/2010 18.00,"4,00766546","50,02646664","16,89999962"
07/01/2010 19.00,"4,12867219","46,79736632","16,89999962"
07/01/2010 20.00,"4,01127784","47,79803064","16,89999962"
07/01/2010 21.00,"4,09616276","67,34138568","16,89999962"
07/01/2010 22.00,"4,04920482","53,29841488","16,89999962"
07/01/2010 23.00,"4,01489023","46,71949056","16,89999962"
08/01/2010 0.00,"3,93181048","27,39806136","16,89999962"
08/01/2010 1.00,,"11,92225114",24
08/01/2010 2.00,"3,8740164",,24
08/01/2010 3.00,"3,96793229","6,14931895",24
08/01/2010 4.00,"4,02572636","9,01761531",24
08/01/2010 5.00,"3,99863552","8,04421229",24
08/01/2010 6.00,"3,946259","11,23177632",24
08/01/2010 7.00,"3,97335086","19,03070004",24
08/01/2010 8.00,"3,93000429","14,18054111",24
08/01/2010 9.00,"3,9643199","16,96318178",24
08/01/2010 10.00,"3,93903525","17,05273413",24
08/01/2010 11.00,"3,94445382","12,37779662",24
08/01/2010 12.00,"3,984187","11,51082125",24
08/01/2010 13.00,"3,99502313","10,10393532",24
08/01/2010 14.00,"3,99682932","9,3641481",24
08/01/2010 15.00,"4,05281721","12,96574044",24
08/01/2010 16.00,"4,02211398","16,7451373",24
08/01/2010 17.00,"3,94084144","13,98457067",24
08/01/2010 18.00,"3,94264763","13,07605328",24
08/01/2010 19.00,"3,93416789","14,91056566",24
08/01/2010 20.00,"3,95348377","12,99818708",24
08/01/2010 21.00,"4,00585927","16,82172246",24
08/01/2010 22.00,"3,97154467","16,1974449",24
08/01/2010 23.00,"4,0365625","18,08454493",24
09/01/2010 0.00,"3,98779938","14,6970985",24
09/01/2010 1.00,"4,10699992","16,25065395","23,39999962"
09/01/2010 2.00,"4,00766546","14,52448314","23,39999962"
09/01/2010 3.00,"4,02211398","9,62761597","23,39999962"
09/01/2010 4.00,"4,01127784","6,32972189","23,39999962"
09/01/2010 5.00,"3,97696223","13,19286501","23,39999962"
09/01/2010 6.00,"4,01850159","26,66477112","23,39999962"
09/01/2010 7.00,"3,98779938","19,66144016","23,39999962"
09/01/2010 8.00,"3,92458673","22,60374048","23,39999962"
09/01/2010 9.00,"3,88304736","18,71920656","23,39999962"
09/01/2010 10.00,"3,88304736","21,387632","23,39999962"
09/01/2010 11.00,"4,01669642","28,23779264","23,39999962"
09/01/2010 12.00,"4,01127784","32,23913064","23,39999962"
09/01/2010 13.00,"3,9823808","29,37602536","23,39999962"
09/01/2010 14.00,"3,946259","19,76009936","23,39999962"
09/01/2010 15.00,"3,98779938","13,62116257","23,39999962"
09/01/2010 16.00,"4,02392017","14,15588587","23,39999962"
09/01/2010 17.00,"3,93903525","15,19808266","23,39999962"
09/01/2010 18.00,"3,94445382","24,72055392","23,39999962"
09/01/2010 19.00,"3,95167757","32,73751256","23,39999962"
09/01/2010 20.00,"3,91013821","15,4952935","23,39999962"
09/01/2010 21.00,"3,73133741","29,28386696","23,39999962"
09/01/2010 22.00,"3,81260994","12,6036325","23,39999962"
09/01/2010 23.00,"3,78190671","16,69192826","23,39999962"
10/01/2010 0.00,"3,89749588","24,2650008","23,39999962"
10/01/2010 1.00,,"10,95662805","9,19999981"
10/01/2010 2.00,"3,79274387",,"9,19999981"
10/01/2010 3.00,"3,87221021","24,83087632","9,19999981"
10/01/2010 4.00,"3,86859884","12,8294569","9,19999981"
10/01/2010 5.00,"3,94445382","14,5374618","9,19999981"
10/01/2010 6.00,"3,93722906","15,00339326","9,19999981"
10/01/2010 7.00,"3,95348377","22,5660932","9,19999981"
10/01/2010 8.00,"3,90291344","9,32001914","9,19999981"
10/01/2010 9.00,"3,95348377","12,30122293","9,19999981"
10/01/2010 10.00,"3,91375059","11,37714186","9,19999981"
10/01/2010 11.00,"4,02572636","9,32780863","9,19999981"
10/01/2010 12.00,"4,02572636","8,5309138","9,19999981"
10/01/2010 13.00,"3,94264763","7,08768075","9,19999981"
10/01/2010 14.00,"3,94806519","7,66782935","9,19999981"
10/01/2010 15.00,"3,99682932","4,99940391","9,19999981"
10/01/2010 16.00,"4,0726843","6,85536128","9,19999981"
10/01/2010 17.00,"3,94445382","12,14158622","9,19999981"
10/01/2010 18.00,"4,02572636","14,35835711","9,19999981"
10/01/2010 19.00,"4,04017488","13,39013943","9,19999981"
10/01/2010 20.00,"3,984187","12,99947959","9,19999981"
10/01/2010 21.00,"4,04378726","12,74899803","9,19999981"
10/01/2010 22.00,"4,05823578","12,34146288","9,19999981"
10/01/2010 23.00,"4,09977515","10,10393532","9,19999981"
11/01/2010 0.00,"3,96612609","9,47187018","9,19999981"
11/01/2010 1.00,"3,96070752","11,94041706","18,7999897"
11/01/2010 2.00,"4,02933875","12,60103791","18,7999897"
11/01/2010 3.00,"3,95528996","24,7517004","18,7999897"
11/01/2010 4.00,"3,97515705","8,19216858","18,7999897"
11/01/2010 5.00,"4,01489023","11,83010422","18,7999897"
11/01/2010 6.00,"4,0546234","18,76073711","18,7999897"
11/01/2010 7.00,"4,08171425","29,95228304","18,7999897"
11/01/2010 8.00,"4,11241748","42,1470764","18,7999897"
11/01/2010 9.00,"4,24967891","55,58656264","18,7999897"
11/01/2010 10.00,"4,09796896","58,00449696","18,7999897"
11/01/2010 11.00,"4,1449269","53,13746272","18,7999897"
11/01/2010 12.00,"4,25148511","41,10748376","18,7999897"
11/01/2010 13.00,"4,05642959","34,36634536","18,7999897"
11/01/2010 14.00,"4,18466007","33,22811264","18,7999897"
11/01/2010 15.00,"4,01850159","32,86081744","18,7999897"
11/01/2010 16.00,"4,07087811","34,50521392","18,7999897"
11/01/2010 17.00,"4,01489023","34,61683648","18,7999897"
11/01/2010 18.00,"4,03114494","51,35549784","18,7999897"
11/01/2010 19.00,"4,11783605","58,8481096","18,7999897"
11/01/2010 20.00,"3,98960456","46,38334184","18,7999897"
11/01/2010 21.00,"4,12686599","52,25752208","18,7999897"
11/01/2010 22.00,"3,93000429","39,5785912","18,7999897"
11/01/2010 23.00,"4,01127784","44,2600276","18,7999897"
12/01/2010 0.00,"4,0022479","46,03421064","18,7999897"
12/01/2010 1.00,,"39,02829848","22,89999962"
12/01/2010 2.00,"3,95167757",,"22,89999962"
12/01/2010 3.00,"3,93722906","18,04431454","22,89999962"
12/01/2010 4.00,"4,00947165","17,26169278","22,89999962"
12/01/2010 5.00,"4,00766546","12,6412683","22,89999962"
12/01/2010 6.00,"3,96793229","14,83077598","22,89999962"
12/01/2010 7.00,"4,01669642","17,53424647","22,89999962"
12/01/2010 8.00,"3,96973848","29,08918712","22,89999962"
12/01/2010 9.00,"4,0365625","49,97325568","22,89999962"
12/01/2010 10.00,"4,21897568","49,9602732","22,89999962"
12/01/2010 11.00,"3,98057461","29,59406984","22,89999962"
12/01/2010 12.00,"3,93542286","28,36237856","22,89999962"
12/01/2010 13.00,"3,95348377","26,43246312","22,89999962"
12/01/2010 14.00,"4,0726843","32,06391496","22,89999962"
12/01/2010 15.00,"3,96070752","31,47337464","22,89999962"
12/01/2010 16.00,"4,02933875","38,623356","22,89999962"
12/01/2010 17.00,"4,00044171","48,07576776","22,89999962"
12/01/2010 18.00,"4,28399453","68,33944968","22,89999962"
12/01/2010 19.00,"4,0546234","42,80251","22,89999962"
12/01/2010 20.00,"4,03836869","26,1053964","22,89999962"
12/01/2010 21.00,"4,0365625","39,32551888","22,89999962"
12/01/2010 22.00,"4,02392017","30,21315632","22,89999962"
12/01/2010 23.00,"4,03295113","21,52260008","22,89999962"
13/01/2010 0.00,"3,99321694","16,48686434","22,89999962"
13/01/2010 1.00,"3,92639292","15,09035102","31,10000038"
13/01/2010 2.00,"3,94445382","12,83984289","31,10000038"
13/01/2010 3.00,"3,98599319","17,67700978","31,10000038"
13/01/2010 4.00,"4,02572636","21,6692696","31,10000038"
13/01/2010 5.00,"4,09796896","29,5551224","31,10000038"
13/01/2010 6.00,"4,31650293","50,51966704","31,10000038"
13/01/2010 7.00,"4,83484546","54,07453392","31,10000038"
13/01/2010 8.00,"4,99016678","60,51457056","31,10000038"
13/01/2010 9.00,,,"31,10000038"
13/01/2010 10.00,,,"31,10000038"
13/01/2010 11.00,,,"31,10000038"
13/01/2010 12.00,,,"31,10000038"
13/01/2010 13.00,,,"31,10000038"
13/01/2010 14.00,"4,15215167","23,41488736","31,10000038"
13/01/2010 15.00,"4,00585927","26,22868216","31,10000038"
13/01/2010 16.00,"3,95528996","36,96597704","31,10000038"
13/01/2010 17.00,"3,984187","57,158284","31,10000038"
13/01/2010 18.00,"4,11061128","63,16743232","31,10000038"
