NetC,Provincia di TARANTO,,,
Stat,STATTE sc.elementare,,,
Parm,SO2,NO2,PM10,O3



05/01/2010 5.00,"2,53572","6,78268","29,200001","55,697467"
05/01/2010 6.00,"3,01794","11,875522","29,200001","49,395401"
05/01/2010 7.00,"3,097408","25,597913","29,200001","30,864327"
05/01/2010 8.00,"3,001686","30,056103","29,200001","31,118907"
05/01/2010 9.00,"3,220219","29,198209","29,200001","32,073576"
05/01/2010 10.00,"3,117274","19,449895","29,200001","44,945772"
05/01/2010 11.00,"3,02697","14,088396","29,200001","51,586371"
05/01/2010 12.00,"3,846925","15,183801","29,200001","41,492787"
05/01/2010 13.00,"13,626783","15,31279","29,200001",
05/01/2010 14.00,"3,890271","10,606208","29,200001","58,451725"
05/01/2010 15.00,"4,002248","7,238231","29,200001","62,981252"
05/01/2010 16.00,"4,256904","6,848872","29,200001","66,121422"
05/01/2010 17.00,"4,670493","6,78917","29,200001","67,29953"
05/01/2010 18.00,"4,715645","7,153872","29,200001","67,361813"
05/01/2010 19.00,"4,847488","7,269382","29,200001","67,483685"
05/01/2010 20.00,"4,890833","7,531551","29,200001","65,864171"
05/01/2010 21.00,"17,927035","15,204571","29,200001",
05/01/2010 22.00,"5,102144","30,536321","29,200001","40,81032"
05/01/2010 23.00,"5,391114","27,028184","29,200001","41,12447"
06/01/2010 0.00,"4,963076","26,017138","29,200001","38,783201"
06/01/2010 1.00,,"12,451775","36,799992","46,010106"
06/01/2010 2.00,,,"36,799992","41,771728"
06/01/2010 3.00,,"11,966376","36,799992","37,296384"
06/01/2010 4.00,,"13,12148","36,799992","34,483894"
06/01/2010 5.00,,"11,548466","36,799992","41,014787"
06/01/2010 6.00,,"13,087741","36,799992","43,132617"
06/01/2010 7.00,,"18,798375","36,799992","35,682273"
06/01/2010 8.00,,"17,494018","36,799992","36,234748"
06/01/2010 9.00,,"9,182445","36,799992","42,364842"
06/01/2010 10.00,,"7,205787","36,799992","41,491432"
06/01/2010 11.00,,"10,556884","36,799992","45,96949"
06/01/2010 12.00,,"11,635414","36,799992","56,378579"
06/01/2010 13.00,,"11,100691","36,799992","49,39676"
06/01/2010 14.00,,"20,002789","36,799992","44,513818"
06/01/2010 15.00,,"6,525702","36,799992","61,793688"
06/01/2010 16.00,,"9,639296","36,799992","58,637238"
06/01/2010 17.00,,"5,431594","36,799992","68,694251"
06/01/2010 18.00,,"7,165552","36,799992","64,342144"
06/01/2010 19.00,,"11,174672","36,799992","65,560831"
06/01/2010 20.00,,"12,90604","36,799992","59,962918"
06/01/2010 21.00,,"42,047154","36,799992","29,878537"
06/01/2010 22.00,,"21,504436","36,799992","39,36953"
06/01/2010 23.00,,"11,693822","36,799992","46,351372"
07/01/2010 0.00,,"18,399932","36,799992","39,838056"
07/01/2010 1.00,,"11,6458","36,599991","48,09546"
07/01/2010 2.00,,"8,19866","36,599991","47,817854"
07/01/2010 3.00,,"8,704827","36,599991","40,577402"
07/01/2010 4.00,,"5,758659","36,599991","51,785411"
07/01/2010 5.00,,"4,711275","36,599991","52,940475"
07/01/2010 6.00,,"23,256554","36,599991","48,497631"
07/01/2010 7.00,,"24,788047","36,599991","41,450812"
07/01/2010 8.00,,"21,204634","36,599991","40,878029"
07/01/2010 9.00,,"38,79467","36,599991","25,235294"
07/01/2010 10.00,,"28,346814","36,599991","33,632147"
07/01/2010 11.00,,"19,549835","36,599991","50,129322"
07/01/2010 12.00,,"10,816461","36,599991","57,089478"
07/01/2010 13.00,"4,865548","13,700328","36,599991","60,358328"
07/01/2010 14.00,"5,138264","16,610164","36,599991","59,210044"
07/01/2010 15.00,"5,078664","14,015717","36,599991","62,974471"
07/01/2010 16.00,"5,197865","12,60233","36,599991","63,658296"
07/01/2010 17.00,"4,829427","21,621239","36,599991","52,569446"
07/01/2010 18.00,"5,026288","20,120894","36,599991","55,712348"
07/01/2010 19.00,"4,834845","24,519391","36,599991","51,078584"
07/01/2010 20.00,"4,554904","13,632848","36,599991","58,222879"
07/01/2010 21.00,"4,029339","12,880081","36,599991","53,476714"
07/01/2010 22.00,"4,464602","12,149378","36,599991","50,584324"
07/01/2010 23.00,"4,103388","6,494552","36,599991","61,382041"
08/01/2010 0.00,"4,444734","4,47117","36,599991","66,858078"
08/01/2010 1.00,,"5,169425","46,799992","63,130201"
08/01/2010 2.00,"4,321922",,"46,799992","62,653555"
08/01/2010 3.00,"4,57116","3,863766","46,799992","62,221578"
08/01/2010 4.00,"4,796917","3,170702","46,799992","63,652889"
08/01/2010 5.00,"4,811366","3,046107","46,799992","64,388164"
08/01/2010 6.00,"4,749959","4,31802","46,799992","65,726036"
08/01/2010 7.00,"4,511558","5,936467","46,799992","66,728079"
08/01/2010 8.00,"4,589219","7,160362","46,799992","60,656219"
08/01/2010 9.00,"4,493498","6,486766","46,799992","60,890491"
08/01/2010 10.00,"4,246066","5,985787","46,799992","62,65491"
08/01/2010 11.00,"4,432092","5,522447","46,799992","80,472357"
08/01/2010 12.00,"4,381522","4,978637","46,799992","66,13092"
08/01/2010 13.00,"4,51517","5,182403","46,799992","66,504663"
08/01/2010 14.00,"4,672299","4,992914","46,799992","68,040212"
08/01/2010 15.00,"4,652432","4,865722","46,799992","70,684807"
08/01/2010 16.00,"4,583802","5,791106","46,799992","71,386227"
08/01/2010 17.00,"4,47905","9,910551","46,799992","65,968409"
08/01/2010 18.00,"4,457376","9,317424","46,799992","67,047659"
08/01/2010 19.00,"4,385559","5,748275","46,799992","78,169009"
08/01/2010 20.00,"3,821641","6,366061","46,799992","84,171802"
08/01/2010 21.00,"3,604912","7,086383","46,799992","86,833992"
08/01/2010 22.00,"3,393603","10,868378","46,799992","84,759471"
08/01/2010 23.00,"2,954728","9,949488","46,799992","71,578525"
09/01/2010 0.00,"3,117274","3,792383","46,799992","68,126879"
09/01/2010 1.00,"3,147977","3,560064","27,9","69,987435"
09/01/2010 2.00,"3,039612","2,183022","27,9","71,666546"
09/01/2010 3.00,"2,952922","3,230402","27,9","71,062598"
09/01/2010 4.00,"3,084765","9,993615","27,9","63,30488"
09/01/2010 5.00,"2,793988","9,557532","27,9","59,034006"
09/01/2010 6.00,"2,667562","2,616511","27,9","66,795796"
09/01/2010 7.00,"2,851782","14,353167","27,9","53,966906"
09/01/2010 8.00,"2,533914","17,20459","27,9","48,798239"
09/01/2010 9.00,"2,600738","21,876931","27,9","47,701409"
09/01/2010 10.00,"2,616993","15,635459","27,9","53,901887"
09/01/2010 11.00,"2,421938","4,220681","27,9","66,497882"
09/01/2010 12.00,"2,42555","7,992295","27,9","67,100467"
09/01/2010 13.00,"2,344276","5,701551","27,9","66,699654"
09/01/2010 14.00,"2,250362","5,906615","27,9","74,099885"
09/01/2010 15.00,"2,337053","6,18436","27,9","72,0985"
09/01/2010 16.00,"2,199791","6,488064","27,9","74,901518"
09/01/2010 17.00,"2,37498","9,954678","27,9","70,875727"
09/01/2010 18.00,"2,470702","7,373211","27,9","87,215855"
09/01/2010 19.00,"1,950554","7,896254","27,9","81,643661"
09/01/2010 20.00,"2,317186","8,629551","27,9","76,324694"
09/01/2010 21.00,"2,109488","5,218745","27,9","83,74118"
09/01/2010 22.00,"2,217852","5,719723","27,9","71,268442"
09/01/2010 23.00,"2,246749","6,95919","27,9","76,070129"
10/01/2010 0.00,"2,337053","7,340764","27,9","69,975243"
10/01/2010 1.00,"2,20521","4,144107",,"77,978066"
10/01/2010 2.00,"2,185343",,,"71,093762"
10/01/2010 3.00,"2,384011","10,751563",,"56,369104"
10/01/2010 4.00,"2,337053","8,036425",,"54,551877"
10/01/2010 5.00,"2,328022","4,795638",,"85,753402"
10/01/2010 6.00,"2,167282","7,628891",,"72,064649"
10/01/2010 7.00,"2,250362","3,893616",,"72,568384"
10/01/2010 8.00,"2,297319","4,205105",,"73,160124"
10/01/2010 9.00,"2,396653","4,255722",,"69,535169"
10/01/2010 10.00,"2,660339","4,154489",,"79,204911"
10/01/2010 11.00,"2,35646","3,392066",,"82,71623"
10/01/2010 12.00,"2,649503","3,131764",,"89,565229"
10/01/2010 13.00,"2,640472","2,338766",,"94,758269"
10/01/2010 14.00,"2,718133","3,09283",,"92,893641"
10/01/2010 15.00,"2,412908","4,534765",,"84,070235"
10/01/2010 16.00,"2,555587","5,597722",,"68,39636"
10/01/2010 17.00,"2,64589","6,933233",,"68,107944"
10/01/2010 18.00,"2,721745","7,134404",,"71,036883"
10/01/2010 19.00,"2,768703","17,251308",,"57,0096"
10/01/2010 20.00,"2,461671","10,233716",,"73,784376"
10/01/2010 21.00,"2,378592","8,138955",,"76,353141"
10/01/2010 22.00,"2,232301","9,962466",,"64,832333"
10/01/2010 23.00,"2,308156","12,680206",,"61,314329"
11/01/2010 0.00,"2,219658","11,839187",,"52,4205"
11/01/2010 1.00,"2,169088","9,461487","11,3","48,700743"
11/01/2010 2.00,"2,299125","5,406935","11,3","66,553399"
11/01/2010 3.00,"2,21424","5,190191","11,3","59,196498"
11/01/2010 4.00,"2,326217","5,887147","11,3","58,007579"
11/01/2010 5.00,"2,309961","6,054574","11,3","58,092884"
11/01/2010 6.00,"2,338859","11,116274","11,3","52,772558"
11/01/2010 7.00,"2,620606","22,009299","11,3","40,634278"
11/01/2010 8.00,"2,765091","44,584494","11,3","20,701696"
11/01/2010 9.00,"3,001686","50,258793","11,3","18,617728"
11/01/2010 10.00,"3,415275","48,907697","11,3","27,770181"
11/01/2010 11.00,"2,703684","20,166323","11,3","61,2859"
11/01/2010 12.00,"2,89874","24,729654","11,3","57,738113"
11/01/2010 13.00,"2,873455","23,211126","11,3","62,419283"
11/01/2010 14.00,"2,812049","12,171442","11,3","81,533974"
11/01/2010 15.00,"2,523077","6,581509","11,3","88,322159"
11/01/2010 16.00,"2,537526","9,201913","11,3","82,476436"
11/01/2010 17.00,"2,640472","10,102636","11,3","70,194611"
11/01/2010 18.00,"2,450835","25,430499","11,3","59,307521"
11/01/2010 19.00,"2,439998","22,699761","11,3","61,502559"
11/01/2010 20.00,"2,532108","36,558451","11,3","45,819186"
11/01/2010 21.00,"2,849976","49,729244","11,3","28,86025"
11/01/2010 22.00,"2,831915","48,322355","11,3","26,482428"
11/01/2010 23.00,"2,911382","31,983458","11,3","35,905712"
12/01/2010 0.00,"2,53572","18,017055","11,3","51,368358"
12/01/2010 1.00,"2,421938","14,30774",,"53,429313"
12/01/2010 2.00,"2,387622",,,"54,931027"
12/01/2010 3.00,"2,33344","6,38683",,"53,916811"
12/01/2010 4.00,"2,302737","5,765148",,"63,264264"
12/01/2010 5.00,"2,479732","8,589318",,"62,504587"
12/01/2010 6.00,"2,340664","8,03383",,"72,294854"
12/01/2010 7.00,"2,221464","8,371275",,"65,873623"
12/01/2010 8.00,"2,430968","10,016977",,"63,340093"
12/01/2010 9.00,"2,584484","12,590652",,"61,032674"
12/01/2010 10.00,"2,467089","9,919638",,"66,755172"
12/01/2010 11.00,"2,237718","10,440081",,"68,034809"
12/01/2010 12.00,"2,36595","10,804783",,"67,619088"
12/01/2010 13.00,"2,638665","9,382318",,"78,710651"
12/01/2010 14.00,"2,501405","8,342721",,"86,965338"
12/01/2010 15.00,"2,647696","7,968934",,"90,446778"
12/01/2010 16.00,"2,447222","8,899509",,"89,521896"
12/01/2010 17.00,"2,492374","9,246041",,"86,178591"
12/01/2010 18.00,"2,662145","12,793123",,"79,028854"
12/01/2010 19.00,"2,656726","13,580931",,"77,483822"
12/01/2010 20.00,"2,405683","15,342145",,"77,077583"
12/01/2010 21.00,"2,286482","17,679605",,"61,054341"
12/01/2010 22.00,"2,665757","14,373928",,"48,978348"
12/01/2010 23.00,"2,279259","14,505013",,"41,588928"
13/01/2010 0.00,"2,52669","17,214974",,"37,464305"
13/01/2010 1.00,"2,369561","9,615935",,"51,690629"
13/01/2010 2.00,"2,114906","5,554893",,"60,638623"
13/01/2010 3.00,"2,439998","8,31936",,"64,189124"
13/01/2010 4.00,"2,472508","5,588638",,"64,339427"
13/01/2010 5.00,"2,378592","4,724254",,"65,824886"
13/01/2010 6.00,"2,241331","8,88653",,"54,792915"
13/01/2010 7.00,"2,225076","20,773726",,"41,249059"
13/01/2010 8.00,"2,539332","42,049754",,"24,980711"
13/01/2010 9.00,"3,007104","51,644917",,"18,533776"
13/01/2010 10.00,"2,689236","45,176316",,"22,751839"
13/01/2010 11.00,"2,510435","27,59924",,"46,584267"
13/01/2010 12.00,"2,635054","33,988668",,"46,687189"
13/01/2010 13.00,"2,311767","15,639356",,"72,590051"
13/01/2010 14.00,"2,510435","20,0534",,"64,891906"
13/01/2010 15.00,"2,429161","18,153338",,"62,775427"
13/01/2010 16.00,"2,564617","16,551761",,"63,107176"
13/01/2010 17.00,"2,387622","20,394749",,"56,9446"
13/01/2010 18.00,"2,542944","25,928879",,"54,806443"
13/01/2010 19.00,"2,217852","30,272849",,"43,805613"
13/01/2010 20.00,"2,291901","29,783549",,"41,840796"
13/01/2010 21.00,"2,174507","32,442892",,"49,491543"
13/01/2010 22.00,"2,163669","27,825068",,"49,977682"
13/01/2010 23.00,"2,192566","22,685498",,"48,144196"
14/01/2010 0.00,"2,03002","19,017722",,"47,740689"
14/01/2010 1.00,"2,320798","14,582889","35,400002","49,911328"
14/01/2010 2.00,"2,131161",,"35,400002","57,770613"
14/01/2010 3.00,"2,057112","12,045544","35,400002","55,687973"
14/01/2010 4.00,"2,095039","16,024817","35,400002","49,19229"
14/01/2010 5.00,"2,275646","10,321975","35,400002","66,159344"
