,Foggia,,,
,manfredonia - viale Michelangelo - Zona 167,,,
Parm,SO2,NO2,CO,PM10



18/02/2010 3.00,"2,76509079","6,06625402","1,35646892","24,60000038"
18/02/2010 4.00,"2,80301777","5,84172213","1,53949741","24,60000038"
18/02/2010 5.00,"3,05767355","4,07402077","1,41547733","24,60000038"
18/02/2010 6.00,"2,71452047","8,08314634","1,52436988","24,60000038"
18/02/2010 7.00,"3,17687409","17,48363392","1,33360113","24,60000038"
18/02/2010 8.00,"3,56879131","34,603854","0,82298979","24,60000038"
18/02/2010 9.00,"3,1750679","22,3882772","0,87390145","24,60000038"
18/02/2010 10.00,"3,04503123","19,65235816","0,64663675","24,60000038"
18/02/2010 11.00,"2,43458003","12,49461026","0,76457436","24,60000038"
18/02/2010 12.00,"2,10768165","12,82296758","0,59722677","24,60000038"
18/02/2010 13.00,"1,7934256","7,3109144","0,43580437","24,60000038"
18/02/2010 14.00,"1,5604431","4,96565902","0,05561128","24,60000038"
18/02/2010 15.00,"1,76452856","7,78982834",,"24,60000038"
18/02/2010 16.00,"1,73743772","7,34985037",,"24,60000038"
18/02/2010 17.00,"1,75188623","17,59135409",,"24,60000038"
18/02/2010 18.00,"1,759111","26,91654328","0,62361169","24,60000038"
18/02/2010 19.00,"1,85663825","15,87946401","0,24440535","24,60000038"
18/02/2010 20.00,"2,48695655","11,97546019","0,37265088","24,60000038"
18/02/2010 21.00,"2,61879941","16,602374","0,63407805","24,60000038"
18/02/2010 22.00,"3,00349186","19,5991472","0,06793465","24,60000038"
18/02/2010 23.00,"3,28704468","16,87362753",,"24,60000038"
19/02/2010 0.00,"3,05947975","14,1623752","0,12816631","24,60000038"
19/02/2010 1.00,,"14,33499056","0,24957912","59,40000153"
19/02/2010 2.00,"3,58504602",,"0,96284687","59,40000153"
19/02/2010 3.00,"3,53086433","6,34529704",,"59,40000153"
19/02/2010 4.00,"3,5344757","4,0493617","1,20906846","59,40000153"
19/02/2010 5.00,"3,5001611","4,90855332","1,26787882","59,40000153"
19/02/2010 6.00,"3,92278054","15,67829293","1,17988171","59,40000153"
19/02/2010 7.00,"3,97696223","19,20200568","1,11881824","59,40000153"
19/02/2010 8.00,"4,04017488","22,7893192","0,60579767","59,40000153"
19/02/2010 9.00,"4,1810487","25,17350672","0,66101401","59,40000153"
19/02/2010 10.00,"4,19007865","31,59667952","0,57096184","59,40000153"
19/02/2010 11.00,"4,02572636","27,46295464","0,5740421","59,40000153"
19/02/2010 12.00,"3,73856217","16,98784658","0,39081906","59,40000153"
19/02/2010 13.00,"3,6428401","21,0164172","0,49418135","59,40000153"
19/02/2010 14.00,"3,20035357","38,38584736","0,75647761","59,40000153"
19/02/2010 15.00,"2,89693365","21,21629768","0,28579664","59,40000153"
19/02/2010 16.00,"2,41832532","16,3414969","0,34800414","59,40000153"
19/02/2010 17.00,"1,93429942","20,99307168","0,185002","59,40000153"
19/02/2010 18.00,"1,94152317","43,41639584","0,69636361","59,40000153"
19/02/2010 19.00,"1,94694175","38,38194688","0,59149963","59,40000153"
19/02/2010 20.00,"1,26244176","30,7063376","0,47269526","59,40000153"
19/02/2010 21.00,"1,59837008","40,96601488","0,43347437","59,40000153"
19/02/2010 22.00,"1,23354473","36,00816064","0,11047113","59,40000153"
19/02/2010 23.00,"1,32565442","30,00159352",,"59,40000153"
20/02/2010 0.00,"1,33287817","15,20586258",,"59,40000153"
20/02/2010 1.00,"1,25521801","6,38293476","0,11726541","18,5"
20/02/2010 2.00,"1,51890374","6,8358933","0,63352467","18,5"
20/02/2010 3.00,"1,43943638","4,5698081","0,81556408","18,5"
20/02/2010 4.00,"1,25702319","5,69376583","1,01202036","18,5"
20/02/2010 5.00,"1,49361908","3,23299889","1,10693058","18,5"
20/02/2010 6.00,"1,72479539","6,67625468","1,08556331","18,5"
20/02/2010 7.00,"1,89276006","15,03584181","0,88914664","18,5"
20/02/2010 8.00,"1,64713422","13,15133446","0,2716582","18,5"
20/02/2010 9.00,"1,75188623","11,7197799","0,43698917","18,5"
20/02/2010 10.00,"1,32204203","13,64971446","0,41104113","18,5"
20/02/2010 11.00,"1,14685361","16,75124997","0,61298572","18,5"
20/02/2010 12.00,"1,18116923","18,01705515","0,43864813","18,5"
20/02/2010 13.00,"1,2913388","12,43101522","0,2212603","18,5"
20/02/2010 14.00,"0,69894851","6,04419146","0,50306797","18,5"
20/02/2010 15.00,"0,5382086","4,75280754",,"18,5"
20/02/2010 16.00,"0,55265712","3,77810626","0,0691579","18,5"
20/02/2010 17.00,"1,16672071","5,70674449","0,63008909","18,5"
20/02/2010 18.00,"1,6326857","6,18955317","0,26431054","18,5"
20/02/2010 19.00,"1,69589835","5,94814787","0,24298289","18,5"
20/02/2010 20.00,"2,29731859","6,73855146","0,24092899","18,5"
20/02/2010 21.00,"2,53933205","7,47444585","0,22552536","18,5"
20/02/2010 22.00,"3,31232934","7,63538271","0,10359879","18,5"
20/02/2010 23.00,"3,34483876","6,59059517","0,24365393","18,5"
21/02/2010 0.00,"3,61755545","3,29789217","0,33485246","18,5"
21/02/2010 1.00,,"3,82093506","0,51696992","17,5"
21/02/2010 2.00,"3,76204064",,"0,6604618","17,5"
21/02/2010 3.00,"3,74578592","5,23431797",,"17,5"
21/02/2010 4.00,"4,12867219","3,35629803","0,84404134","17,5"
21/02/2010 5.00,"4,19369103","2,06751061","0,82488524","17,5"
21/02/2010 6.00,"4,38694035","3,49906325","0,75718942","17,5"
21/02/2010 7.00,"4,2532913","2,83455338","0,39081906","17,5"
21/02/2010 8.00,"5,00822769","3,06038162","0,05351777","17,5"
21/02/2010 9.00,"4,59644439","4,01042382","0,08878815","17,5"
21/02/2010 10.00,"4,82942688","4,31802065","0,64043662","17,5"
21/02/2010 11.00,"4,55129264","4,82159556","0,8519412","17,5"
21/02/2010 12.00,"4,64340233","8,37127518","0,3667653","17,5"
21/02/2010 13.00,"4,64881989","6,56723244","0,34211973","17,5"
21/02/2010 14.00,"4,55129264","7,36023253","0,54208965","17,5"
21/02/2010 15.00,"4,61450529","3,75863637","0,33271934","17,5"
21/02/2010 16.00,"4,735511","6,75801945","0,41238321","17,5"
21/02/2010 17.00,"4,91250561","17,15787118","0,13867228","17,5"
21/02/2010 18.00,"5,0064215","22,8386488","0,22753965","17,5"
21/02/2010 19.00,"5,47058131","45,74739152","0,69829867","17,5"
21/02/2010 20.00,"5,90764927","40,23012432","0,84107874","17,5"
21/02/2010 21.00,"5,3640231","29,74462072","0,64975778","17,5"
21/02/2010 22.00,"5,28816812","32,179438","0,53814146","17,5"
21/02/2010 23.00,"5,17257997","30,9698112","0,34065765","17,5"
22/02/2010 0.00,"4,69758402","21,22798","0,36862231","17,5"
22/02/2010 1.00,"4,63437137","19,14489424","0,70485646","29,39999962"
22/02/2010 2.00,"4,71745112","14,78795292","0,72780346","29,39999962"
22/02/2010 3.00,"4,52781316","8,37127518","0,75935982","29,39999962"
22/02/2010 4.00,"4,57115973","8,11040382","0,71717866","29,39999962"
22/02/2010 5.00,"4,33637003","10,6425419","0,82243641","29,39999962"
22/02/2010 6.00,"4,55490401","20,36360304","0,88804106","29,39999962"
22/02/2010 7.00,"4,31831014","28,9399364","0,6248361","29,39999962"
22/02/2010 8.00,"4,67410454","36,42606648","0,63624961","29,39999962"
22/02/2010 9.00,"4,62895381","31,52530456","0,67586543","29,39999962"
22/02/2010 10.00,"4,19369103","17,95735678","0,49753888","29,39999962"
22/02/2010 11.00,"4,26954601","26,0988956","0,45823877","29,39999962"
22/02/2010 12.00,"3,97696223","15,9456498","0,5788221","29,39999962"
22/02/2010 13.00,"3,96070752","20,5115536","0,19823291","29,39999962"
22/02/2010 14.00,"3,9643199","21,31365672","0,25672756","29,39999962"
22/02/2010 15.00,"3,2310568","14,60625365","0,19673239","29,39999962"
22/02/2010 16.00,"2,77050937","15,38496918","0,39848126","29,39999962"
22/02/2010 17.00,"2,91680075","21,15012336","0,36285556","29,39999962"
22/02/2010 18.00,"3,53628189","36,61554568","0,75031592","29,39999962"
22/02/2010 19.00,"3,65548243","45,4294068","0,48778317","29,39999962"
22/02/2010 20.00,"3,34483876","36,5909","0,56448444","29,39999962"
22/02/2010 21.00,"3,64825868","31,4383468","0,22805341","29,39999962"
22/02/2010 22.00,"3,66812475","32,5558152","0,44872072","29,39999962"
22/02/2010 23.00,"2,98001238","18,09493091","0,09692451","29,39999962"
23/02/2010 0.00,"3,05947975","10,3764871","0,20747485","29,39999962"
23/02/2010 1.00,,"8,97219002","0,28330936","24,20000076"
23/02/2010 2.00,"2,88248513",,"0,58909041","24,20000076"
23/02/2010 3.00,"2,73799994","5,09414734",,"24,20000076"
23/02/2010 4.00,"2,90054604","3,56395653","0,6601857","24,20000076"
23/02/2010 5.00,"2,82469106","5,42121214","0,60038741","24,20000076"
23/02/2010 6.00,"2,91680075","7,81319106","0,64458402","24,20000076"
23/02/2010 7.00,"3,04864361","32,47533912","0,51321862","24,20000076"
23/02/2010 8.00,"3,72772502","48,754566","0,46996916","24,20000076"
23/02/2010 9.00,"3,81080477","52,62739848","0,82539901","24,20000076"
23/02/2010 10.00,"2,38942828","21,22798","0,19546836","24,20000076"
23/02/2010 11.00,"2,21965844","21,3383024","0,38979153","24,20000076"
23/02/2010 12.00,"1,9230036","16,86397575","0,10077716","24,20000076"
23/02/2010 13.00,"1,18478059","12,97612451","0,192112","24,20000076"
23/02/2010 14.00,"0,89400402","8,68665767",,"24,20000076"
23/02/2010 15.00,"0,74771264","8,44914712",,"24,20000076"
23/02/2010 16.00,"0,64837818","10,84111648",,"24,20000076"
23/02/2010 17.00,"0,69533612","14,3492732",,"24,20000076"
23/02/2010 18.00,"0,64657199","19,93789624","0,08598399","24,20000076"
23/02/2010 19.00,"0,88136169","11,90148109",,"24,20000076"
23/02/2010 20.00,"1,05474392","12,12860757","0,15190435","24,20000076"
23/02/2010 21.00,"1,31662346","9,87810518","0,27734456","24,20000076"
23/02/2010 22.00,"1,47555818","13,7133095","0,0818762","24,20000076"
23/02/2010 23.00,"1,4195703","7,05263762",,"24,20000076"
24/02/2010 0.00,"1,54780078","6,09740433","0,1336954","24,20000076"
24/02/2010 1.00,"1,64171666","5,7184249","0,33824843","21,39999962"
24/02/2010 2.00,"1,65616518","6,99293542","0,47289214","21,39999962"
24/02/2010 3.00,"1,91623852","4,79823474","0,67104583","21,39999962"
24/02/2010 4.00,"1,64171666","3,54838138","0,72839528","21,39999962"
24/02/2010 5.00,"1,61281962","4,22457356","0,74719605","21,39999962"
24/02/2010 6.00,"1,60017628","9,49004183","0,70347244","21,39999962"
24/02/2010 7.00,"1,46833341","21,42265984","0,5681973","21,39999962"
24/02/2010 8.00,"1,52070993","35,42800248","0,08898503","21,39999962"
24/02/2010 9.00,"1,44485495","23,03981032","0,13649956","21,39999962"
24/02/2010 10.00,"1,19381155","16,67635693","0,2460247","21,39999962"
24/02/2010 11.00,"0,92831963","8,73078663","0,18587109","21,39999962"
24/02/2010 12.00,"0,37927388","8,65291278","0,06979049","21,39999962"
24/02/2010 13.00,"0,36843774","11,57831102","0,12172852","21,39999962"
24/02/2010 14.00,"0,55446332","15,68997142","0,10273087","21,39999962"
24/02/2010 15.00,"0,81814904","10,0779761","0,06904023","21,39999962"
24/02/2010 16.00,"0,88316789","10,70354234","0,22900056","21,39999962"
24/02/2010 17.00,"0,81453666","15,57964902","0,10616645","21,39999962"
24/02/2010 18.00,"1,00056223","28,94513704","0,40630191","21,39999962"
24/02/2010 19.00,"1,10170186","29,9354192","0,34441012","21,39999962"
24/02/2010 20.00,"1,25341182","37,63827448","0,1555776","21,39999962"
24/02/2010 21.00,"1,03126546","18,66469544","0,47964681","21,39999962"
24/02/2010 22.00,"1,11073181","19,41875","0,15115293","21,39999962"
24/02/2010 23.00,"1,18658678","12,83725022",,"21,39999962"
25/02/2010 0.00,"0,97888894","8,44655254",,"21,39999962"
25/02/2010 1.00,,"4,11425498",,"29,2999897"
25/02/2010 2.00,"1,35274526",,"0,37442751","29,2999897"
25/02/2010 3.00,"1,2389633","6,04808429",,"29,2999897"
25/02/2010 4.00,"1,4719458","4,34787079","0,71690139","29,2999897"
25/02/2010 5.00,"1,5622493","4,18953042","0,73921813","29,2999897"
25/02/2010 6.00,"1,52070993","5,88585109","0,72278697","29,2999897"
25/02/2010 7.00,"1,64713422","14,49592934","0,52396108","29,2999897"
25/02/2010 8.00,"1,92707465","15,02157064","0,48651915","29,2999897"
25/02/2010 9.00,"1,99570588","15,80029574","0,25755704","29,2999897"
25/02/2010 10.00,"2,1528334","16,397312","0,3410922","29,2999897"
25/02/2010 11.00,"1,76091719","12,39726651","0,44204527","29,2999897"
25/02/2010 12.00,"1,32204203","12,60233042","0,27153937","29,2999897"
25/02/2010 13.00,"0,83620994","13,61987006","0,5652347","29,2999897"
25/02/2010 14.00,"0,83801614","14,47776342","0,09190802","29,2999897"
25/02/2010 15.00,"1,14032345","11,75847305","0,16445606","29,2999897"
25/02/2010 16.00,,,,"29,2999897"
25/02/2010 17.00,,,,"29,2999897"
25/02/2010 18.00,,,,"29,2999897"
25/02/2010 19.00,"5,60964894","51,8954084","1,12261031","29,2999897"
25/02/2010 20.00,"6,39889993","49,72924624","0,81418239","29,2999897"
25/02/2010 21.00,"5,97266811","34,58048936","0,73649203","29,2999897"
25/02/2010 22.00,"6,0268498","22,92428728","0,76619371","29,2999897"
25/02/2010 23.00,"6,00337134","22,28185528","0,44240176","29,2999897"
26/02/2010 0.00,"5,81012202","20,23511664","0,69028114","29,2999897"
26/02/2010 1.00,"5,74691038","18,24289103","0,86517211","29,7999897"
26/02/2010 2.00,"5,77761361","5,68857475","1,11605486","29,7999897"
26/02/2010 3.00,"6,09548103","7,48223342","1,21080664","29,7999897"
26/02/2010 4.00,"6,09006245","4,41925531","1,33012594","29,7999897"
26/02/2010 5.00,"6,17494839","7,12661481","1,33316659","29,7999897"
26/02/2010 6.00,"6,05574786","9,5147009","1,33869684","29,7999897"
26/02/2010 7.00,"6,9064053","33,16842","1,26511428","29,7999897"
26/02/2010 8.00,"6,96781176","42,63639544","0,841829","29,7999897"
26/02/2010 9.00,"6,78178721","40,24830744","0,88823794","29,7999897"
26/02/2010 10.00,"6,64813815","25,42789832","0,5584812","29,7999897"
26/02/2010 11.00,"6,15869368","24,80233016","0,65809103","29,7999897"
26/02/2010 12.00,"5,7252371","21,49015344","0,57451626","29,7999897"
26/02/2010 13.00,"5,10394874","25,7225184","0,81730226","29,7999897"
26/02/2010 14.00,"5,22134411","20,6893696","0,41621489","29,7999897"
26/02/2010 15.00,"5,21953791","23,49406328","0,33358727","29,7999897"
26/02/2010 16.00,"5,19425326","17,65754179","0,36692374","29,7999897"
26/02/2010 17.00,"5,32970749","23,9586984","0,6574596","29,7999897"
26/02/2010 18.00,"5,35679935","31,98085768","0,68115803","29,7999897"
26/02/2010 19.00,"5,13104061","16,86844027","0,70311828","29,7999897"
26/02/2010 20.00,"5,26830205","16,0962045","0,54181354","29,7999897"
26/02/2010 21.00,"4,9522398","9,16946635","0,29823884","29,7999897"
26/02/2010 22.00,"5,27191341","7,5951485","0,21446602","29,7999897"
26/02/2010 23.00,"5,14548913","7,25770153","0,24045484","29,7999897"
27/02/2010 0.00,"5,29900426","4,56331878","0,50117252","29,7999897"
27/02/2010 1.00,,"4,51270049","1,00534491","21,20000076"
27/02/2010 2.00,"6,09728722",,"1,21250521","21,20000076"
27/02/2010 3.00,"5,84985519","3,39134117",,"21,20000076"
27/02/2010 4.00,"6,01781986","4,52438281","1,47527562","21,20000076"
27/02/2010 5.00,"6,12257188","5,64055105","1,5406426","21,20000076"
27/02/2010 6.00,"6,37542147","4,41795706","1,58519453","21,20000076"
27/02/2010 7.00,"6,54157994","5,06559544","1,29773777","21,20000076"
27/02/2010 8.00,"6,90460013","10,1117229","1,03003126","21,20000076"
27/02/2010 9.00,"7,01115732","9,62372314","0,93065676","21,20000076"
27/02/2010 10.00,"7,15744972","8,64642346","0,97580167","21,20000076"
27/02/2010 11.00,"6,56867079","5,18370159","0,97438037","21,20000076"
27/02/2010 12.00,"6,92446621","3,97668085","1,13074667","21,20000076"
27/02/2010 13.00,"6,87931446","6,07923268","1,18371223","21,20000076"
27/02/2010 14.00,"6,69509508","9,26291344","0,71354503","21,20000076"
27/02/2010 15.00,"6,79442954","5,7184249","0,63917259","21,20000076"
27/02/2010 16.00,"6,86125355","6,3154469","0,6356974","21,20000076"
27/02/2010 17.00,"7,17550961","6,61655248","1,05072632","21,20000076"
27/02/2010 18.00,"7,04727913","13,24088871","0,89266145","21,20000076"
27/02/2010 19.00,"7,52588746","37,30342592","1,14287316","21,20000076"
27/02/2010 20.00,"7,59271148","21,40189552","0,7261445","21,20000076"
27/02/2010 21.00,"7,3741775","19,73023392","0,71405763","21,20000076"
27/02/2010 22.00,"8,12369633","39,73564288","0,68147374","21,20000076"
27/02/2010 23.00,"8,40002439","37,15677552","0,65516921","21,20000076"
28/02/2010 0.00,"8,12911389","30,78161304","0,95273584","21,20000076"
28/02/2010 1.00,"8,15801195","16,54916686","1,19058457","27,5"
28/02/2010 2.00,"8,0749322","22,98399904","1,51595742","27,5"
28/02/2010 3.00,"7,90877372","25,46682664","1,53799572","27,5"
28/02/2010 4.00,"7,95392547","8,30768015","1,40880305","27,5"
28/02/2010 5.00,"7,81305165","14,59716018","1,44320433","27,5"
28/02/2010 6.00,"7,16828585","17,38499575","1,40283825","27,5"
28/02/2010 7.00,"7,19718289","16,07803859","1,59901842","27,5"
28/02/2010 8.00,"7,77693086","17,82886464","1,09662149","27,5"
28/02/2010 9.00,"8,44517614","27,7887212","1,00791257","27,5"
28/02/2010 10.00,"8,56076531","31,16060968","1,20081327","27,5"
28/02/2010 11.00,"7,94670172","24,53885656","1,23201546","27,5"
28/02/2010 12.00,"7,70107588","18,52712322","0,91051507","27,5"
28/02/2010 13.00,"7,2856802","20,5362184","0,82962446","27,5"
28/02/2010 14.00,"7,37959506","20,47262528","0,75209371","27,5"
28/02/2010 15.00,"7,65411794","7,56789294","0,59371196","27,5"
28/02/2010 16.00,"7,25858935","15,00339326","0,68538348","27,5"
28/02/2010 17.00,"7,46989958","15,62507623","0,67215258","27,5"
28/02/2010 18.00,"7,41932925","37,79014464","0,89574171","27,5"
28/02/2010 19.00,"8,08938072","36,85827408","1,00333062","27,5"
28/02/2010 20.00,"7,87807049","39,63052112","1,23790104","27,5"
28/02/2010 21.00,"7,18092818","31,35787072","0,5841543","27,5"
28/02/2010 22.00,"6,46572497","13,54848362","0,34504155","27,5"
28/02/2010 23.00,"5,66563683","6,0000625","0,26904976","27,5"
01/03/2010 0.00,"6,07200155","6,86444519","0,4548428","27,5"
01/03/2010 1.00,,"6,81642531","0,83890602","32,79999161"
01/03/2010 2.00,"6,22190532",,"1,19038652","32,79999161"
01/03/2010 3.00,"5,98892282","4,80082933",,"32,79999161"
01/03/2010 4.00,"6,25441474","4,61912623","1,32451763","32,79999161"
01/03/2010 5.00,"6,5144891","12,68020618","1,24153584","32,79999161"
01/03/2010 6.00,"6,79442954","11,9559903","1,30472894","32,79999161"
01/03/2010 7.00,"6,65897429","16,08712059","1,1574077","32,79999161"
01/03/2010 8.00,"6,75108398","36,02890584","0,70390815","32,79999161"
01/03/2010 9.00,"6,39167618","30,64144432","0,9590548","32,79999161"
01/03/2010 10.00,"6,32665733","25,86268712","0,92564143","32,79999161"
01/03/2010 11.00,"5,97628049","26,10667744","1,19998379","32,79999161"
01/03/2010 12.00,"5,85166138","18,51154806","0,95514506","32,79999161"
01/03/2010 13.00,"5,24662876","14,23765829","1,28825933","32,79999161"
01/03/2010 14.00,"4,76621423","18,03522106","0,88551301","32,79999161"
01/03/2010 15.00,"4,59825058","20,1416772","0,95269623","32,79999161"
01/03/2010 16.00,"4,82762069","19,76009936","0,51914264","32,79999161"
01/03/2010 17.00,"4,85110017","16,8671382","0,3570492","32,79999161"
01/03/2010 18.00,"5,03531853","35,26446912","0,67953868","32,79999161"
01/03/2010 19.00,"5,32067755","52,2873684","1,13528901","32,79999161"
01/03/2010 20.00,"4,79511127","16,86584569","0,4939833","32,79999161"
01/03/2010 21.00,"4,20994574","6,97865851","0,41629411","32,79999161"
01/03/2010 22.00,"4,53684412","14,67763052","0,33974895","32,79999161"
01/03/2010 23.00,"5,20147701","12,66073629","0,20285446","32,79999161"
02/03/2010 0.00,"5,40917485","5,09674383","0,47648617","32,79999161"
02/03/2010 1.00,"5,82457054","3,6314463","0,82093589",
02/03/2010 2.00,"5,56449719","8,61138032","1,01087516",
02/03/2010 3.00,"5,56991577","2,99289375","1,23276689",
02/03/2010 4.00,"5,50128454","2,52825481","1,27088103",
02/03/2010 5.00,"5,7252371","3,99614883","1,29746167",
02/03/2010 6.00,"5,76135788","4,21548965","1,33893334",
02/03/2010 7.00,"5,52115164","9,7677866","1,07308267",
02/03/2010 8.00,"5,78844873","27,30592208","0,98081816",
02/03/2010 9.00,"5,51212068","22,64526912","1,08469422",
02/03/2010 10.00,"5,26468966","20,10272976","0,68945166",
02/03/2010 11.00,"4,91070044","15,20975924","0,87263743",
02/03/2010 12.00,"5,03351234","18,51673532","0,96395362",
02/03/2010 13.00,"5,14187674","13,83661246","0,85735146",
02/03/2010 14.00,"5,21050695","14,38431442","0,83207446",
02/03/2010 15.00,"5,19605843","14,72954706","0,62021455",
02/03/2010 16.00,"5,34415703","14,97095618","0,3738753",
02/03/2010 17.00,"5,41459343","21,45382544","0,32035753",
02/03/2010 18.00,"5,59700662","31,93802888","0,56776275",
02/03/2010 19.00,"5,96544334","29,71865576","0,536719",
02/03/2010 20.00,"6,83958128","23,58750272","0,50832096",
02/03/2010 21.00,"6,73482927","32,97112072","0,54923925",
02/03/2010 22.00,"6,70051365","41,83301128","0,56456366",
02/03/2010 23.00,"6,09006245","21,2526448","0,29460404",
03/03/2010 0.00,"6,40973708","13,08384468","0,76753695",
03/03/2010 1.00,,"12,66852769","1,03721931",
03/03/2010 2.00,"6,32485216",,"1,26799765",
03/03/2010 3.00,"6,4241856","21,46548864",,
03/03/2010 4.00,"6,32485216","7,90923274","1,31306335",
03/03/2010 5.00,"6,27789422","14,04426905","1,3558771",
03/03/2010 6.00,"6,39528856","18,3596932","1,19974846",
03/03/2010 7.00,"6,97684272","31,48377592","1,07639942",
03/03/2010 8.00,"7,90335617","40,61950312","0,75924215",
03/03/2010 9.00,"8,2736001","41,58900184","1,28948375",
03/03/2010 10.00,"8,51019498","52,36558832","2,01953799",
03/03/2010 11.00,"6,72038075",,,
03/03/2010 12.00,"6,31943358",,"3,02798412",
03/03/2010 13.00,"6,94613949",,"4,92660443",
03/03/2010 14.00,"6,91543626",,"0,92903857",
03/03/2010 15.00,"6,44947025","19,61342984","0,46218929",
03/03/2010 16.00,"6,25080337","16,84117898","0,57823028",
03/03/2010 17.00,"5,97266811","16,69841758","0,21494017",
03/03/2010 18.00,"5,79206111","18,63095629",,
03/03/2010 19.00,"5,6150665","18,95931361",,
03/03/2010 20.00,"5,56810856","16,28959183","1,10882603",
03/03/2010 21.00,"5,59520042","14,68542192","1,22842144",
03/03/2010 22.00,"5,63312741","12,6776116","1,02477711",
03/03/2010 23.00,"5,38027781","11,04358772","0,78977331",
04/03/2010 0.00,"5,51392687","10,15974278","1,06565696",
04/03/2010 1.00,"5,40014491","7,86510569","1,01695763","24,39999962"
04/03/2010 2.00,"5,40917485","6,12595814","1,26953778","24,39999962"
04/03/2010 3.00,"5,76497027","4,6749356","1,29908218","24,39999962"
04/03/2010 4.00,"5,60242418","5,34204196","1,52389573","24,39999962"
04/03/2010 5.00,"5,77038884","5,8209559","1,49217977","24,39999962"
04/03/2010 6.00,"5,64576973","10,01178648","1,4560403","24,39999962"
04/03/2010 7.00,"5,51934545","23,75753688","1,48242406","24,39999962"
04/03/2010 8.00,"5,68550392","30,20407432","1,26460051","24,39999962"
04/03/2010 9.00,"5,1509077","20,24939928","0,76512657","24,39999962"
04/03/2010 10.00,"4,93056652","15,22533248","0,98658491","24,39999962"
04/03/2010 11.00,"4,39055274","18,21303515","1,32084322","24,39999962"
04/03/2010 12.00,"4,22439426","17,07999542","1,53933897","24,39999962"
04/03/2010 13.00,"4,48807999","17,17084984","0,95735623","24,39999962"
04/03/2010 14.00,"4,70480777","21,89119544","0,86888496","24,39999962"
04/03/2010 15.00,"5,15813145","19,55243704","0,40345814","24,39999962"
04/03/2010 16.00,"4,81497836","12,14807555","0,52017017","24,39999962"
04/03/2010 17.00,"4,72467487","11,86514544","0,75872839","24,39999962"
04/03/2010 18.00,"4,53503793","9,83138163","0,60275702","24,39999962"
04/03/2010 19.00,"4,39416512","6,09740433","0,72993658","24,39999962"
04/03/2010 20.00,"4,52058941","5,97410518","0,77144669","24,39999962"
04/03/2010 21.00,"4,94140367","6,2531482","0,49117915","24,39999962"
04/03/2010 22.00,"5,21050695","6,03510563","0,32312091","24,39999962"
04/03/2010 23.00,"5,00280911","4,20121274","0,53513809","24,39999962"
05/03/2010 0.00,"5,05157324","3,33683005","0,56440639","24,39999962"
05/03/2010 1.00,,"2,40365933","1,34375178",19
05/03/2010 2.00,"5,58978185",,"1,58412739",19
05/03/2010 3.00,"5,81734679","3,0512977",,19
05/03/2010 4.00,"6,1370204","3,38484993","1,56011441",19
05/03/2010 5.00,"5,86791609","4,16616961","1,5836544",19
05/03/2010 6.00,"6,36097295","3,23559538","1,46536147",19
05/03/2010 7.00,"6,27789422","8,86187144","1,21345235",19
05/03/2010 8.00,"6,58853789","14,34537654","0,83444407",19
05/03/2010 9.00,"6,77456244","15,40443908","0,85897081",19
05/03/2010 10.00,"7,13938882","21,76270904","0,86161769",19
05/03/2010 11.00,"6,70231985",,"0,85873432",19
05/03/2010 12.00,"7,20440664","15,38367667","0,81153551",19
05/03/2010 13.00,"6,97503653","20,23381648","0,62321675",19
05/03/2010 14.00,"7,2152438","17,49141576","0,60283624",19
05/03/2010 15.00,"6,93710853","21,6718508","0,46463695",19
05/03/2010 16.00,"6,59756783","17,21497498","0,95933207",19
05/03/2010 17.00,"6,64091339","19,5109084","0,94925948",19
05/03/2010 18.00,"7,03644299","29,07232328","0,83792043",19
05/03/2010 19.00,"7,65773033","18,02225197","0,7812024",19
05/03/2010 20.00,"7,67217884","19,66144016","1,12948381",19
05/03/2010 21.00,"7,57645779","12,47773494","0,9005217",19
05/03/2010 22.00,"7,40307454","9,55363686","0,7670628",19
05/03/2010 23.00,"7,2477522","4,24663804","0,83215368",19
06/03/2010 0.00,"7,86542817","4,00004166","1,13414381",19
06/03/2010 1.00,"8,03519903","3,91048932","1,40489331","16,20000076"
06/03/2010 2.00,"7,32541337","3,39134117","1,53495507","16,20000076"
06/03/2010 3.00,"7,11229797","3,29919042","1,53017624","16,20000076"
06/03/2010 4.00,"7,59632387","2,36861619","1,57978311","16,20000076"
06/03/2010 5.00,"7,65231175","3,64182846","1,57125181","16,20000076"
06/03/2010 6.00,"6,48920444","3,5717441","1,59700414","16,20000076"
06/03/2010 7.00,"6,97864892","5,53672371","1,08982838","16,20000076"
06/03/2010 8.00,"7,05992145","13,6354433","0,8429742","16,20000076"
06/03/2010 9.00,"7,31999581","12,13380438","1,23213429","16,20000076"
06/03/2010 10.00,"7,5547845","9,92353047","1,4195059","16,20000076"
06/03/2010 11.00,"7,91960986","9,35765878","1,13169498","16,20000076"
06/03/2010 12.00,"8,25373301","9,56142444","1,55075364","16,20000076"
06/03/2010 13.00,"7,72274917","5,31997748","1,4754725","16,20000076"
06/03/2010 14.00,"8,24108966","4,89038167","1,32992789","16,20000076"
06/03/2010 15.00,"8,72511657","4,26870252","1,08864357","16,20000076"
06/03/2010 16.00,"8,69983192","4,32061714","1,33004672","16,20000076"
06/03/2010 17.00,"8,614947","7,29274275","1,02114347","16,20000076"
