,Foggia,,,
,manfredonia - viale Michelangelo - Zona 167,,,
Parm,SO2,NO2,CO,PM10



04/01/2010 16.00,"2,81024254","17,13060798",,"20,60000038"
04/01/2010 17.00,"2,84275196","14,95148628",,"20,60000038"
04/01/2010 18.00,"3,20035357","18,06897169","0,29634222","20,60000038"
04/01/2010 19.00,"2,98181858","19,51478976","0,30013429","20,60000038"
04/01/2010 20.00,"3,20035357","25,57974936","0,2675108","20,60000038"
04/01/2010 21.00,"3,25453526","14,77497426","0,23354289","20,60000038"
04/01/2010 22.00,"3,4622331","14,08061426","0,2735921","20,60000038"
04/01/2010 23.00,"3,39540908","11,06824296","0,24195652","20,60000038"
05/01/2010 0.00,"3,67715571","7,34465929","0,21987744","20,60000038"
05/01/2010 1.00,"3,78190671","5,97929626","0,29397261","37,70000076"
05/01/2010 2.00,"4,16840638","5,0759776","0,55220185","37,70000076"
05/01/2010 3.00,"4,1449269","4,20900032","0,60327079","37,70000076"
05/01/2010 4.00,"4,36707326","3,57953168","0,66887427","37,70000076"
05/01/2010 5.00,"4,36526707","4,13502122","0,76990656","37,70000076"
05/01/2010 6.00,"4,36526707","10,49588576","0,80051577","37,70000076"
05/01/2010 7.00,"4,77524519","30,05870496","1,14401835","37,70000076"
05/01/2010 8.00,"5,44349047","30,91530008","0,68960894","37,70000076"
05/01/2010 9.00,"5,33873845","24,45449912","0,90952715","37,70000076"
05/01/2010 10.00,"5,18702849","30,593434","1,28126817","37,70000076"
05/01/2010 11.00,"4,90347567","23,3279296","1,45619874","37,70000076"
05/01/2010 12.00,"5,17438616","21,45122512","1,34979463","37,70000076"
05/01/2010 13.00,"5,4362657","38,0665816","1,23470195","37,70000076"
05/01/2010 14.00,"5,09853119","21,64070432","1,18039431","37,70000076"
05/01/2010 15.00,"5,22676166","12,38040076","0,93792519","37,70000076"
05/01/2010 16.00,"4,94140367","17,67052045","1,33549659","37,70000076"
05/01/2010 17.00,"5,21773172","24,1793432","1,70664578","37,70000076"
05/01/2010 18.00,"6,16952982","44,64030528","2,52501518","37,70000076"
05/01/2010 19.00,"6,40793089","44,58839448","2,47398585","37,70000076"
05/01/2010 20.00,"5,71620715","50,9985848","2,48437299","37,70000076"
05/01/2010 21.00,"6,28331178","36,43644864","2,35679966","37,70000076"
05/01/2010 22.00,"5,52295681","34,10805328","1,93805672","37,70000076"
05/01/2010 23.00,"5,30261664","34,77906968","1,72959395","37,70000076"
06/01/2010 0.00,"4,9522398","23,24359128","1,46599406","37,70000076"
06/01/2010 1.00,,"11,92484382","1,27763453","17,2999897"
06/01/2010 2.00,"4,89986329",,"1,19350755","17,2999897"
06/01/2010 3.00,"5,00822769","8,08185001",,"17,2999897"
06/01/2010 4.00,"4,99197298","6,40370099","1,30678283","17,2999897"
06/01/2010 5.00,"4,85290636","6,89170075","1,35970878","17,2999897"
06/01/2010 6.00,"5,13826436","6,28819134","1,37862838","17,2999897"
06/01/2010 7.00,"4,84026404","7,34206279","1,46796874","17,2999897"
06/01/2010 8.00,"4,91792419","9,45629694","1,21195183","17,2999897"
06/01/2010 9.00,"4,97391207","7,6834045","0,85470575","17,2999897"
06/01/2010 10.00,"5,04796188","12,5478193","0,97161583","17,2999897"
06/01/2010 11.00,"5,05879801","15,67958735","1,20270989","17,2999897"
06/01/2010 12.00,"5,25385251","16,44014654","1,4390581","17,2999897"
06/01/2010 13.00,"5,21592553","22,66473328","1,35078255","17,2999897"
06/01/2010 14.00,"5,09311261","10,60490609","1,03623139","17,2999897"
06/01/2010 15.00,"5,17799855","5,46663744","0,90676144","17,2999897"
06/01/2010 16.00,"4,74995952","7,38748809","0,89767794","17,2999897"
06/01/2010 17.00,"4,70842016","7,32908414","0,69640322","17,2999897"
06/01/2010 18.00,"5,28094437","13,21882423","1,44671914","17,2999897"
06/01/2010 19.00,"5,16896759","24,37662336","1,86435649","17,2999897"
06/01/2010 20.00,"5,25204734","15,46284494","1,78153198","17,2999897"
06/01/2010 21.00,"5,52115164","20,14685872","1,33557581","17,2999897"
06/01/2010 22.00,"5,14729532","21,3720492","1,31073335","17,2999897"
06/01/2010 23.00,"5,17619236","24,29096576","1,16913808","17,2999897"
07/01/2010 0.00,"5,39653253","27,1735352","1,08520799","17,2999897"
07/01/2010 1.00,"5,0949188","24,79972984","1,18766158","31,7999897"
07/01/2010 2.00,"4,87096625","20,90481376","1,27929349","31,7999897"
07/01/2010 3.00,"4,59825058","10,54261313","1,28004375","31,7999897"
07/01/2010 4.00,"4,77705037","5,60161699","1,21985053","31,7999897"
07/01/2010 5.00,"4,57296491","6,25574278","1,22553806","31,7999897"
07/01/2010 6.00,"4,82942688","18,38175768","1,22593416","31,7999897"
07/01/2010 7.00,"5,12562203","31,15540904","1,55754675","31,7999897"
07/01/2010 8.00,"5,33512607","44,43004264","1,09168539","31,7999897"
07/01/2010 9.00,"5,00100394","24,67124344","1,04962073","31,7999897"
07/01/2010 10.00,"4,48807999","19,73673472","1,216613","31,7999897"
07/01/2010 11.00,"4,20994574","16,18446625","1,13256407","31,7999897"
07/01/2010 12.00,"3,86859884","10,96960862","0,89033145","31,7999897"
07/01/2010 13.00,"4,06004198","15,32657288","0,6410296","31,7999897"
07/01/2010 14.00,"3,85776271","13,65750586","0,56073198","31,7999897"
07/01/2010 15.00,"4,21716949","17,86909503","0,9025756","31,7999897"
07/01/2010 16.00,"4,1828549","22,4713536","0,94736402","31,7999897"
07/01/2010 17.00,"5,08408267","31,53568672","1,58416817","31,7999897"
07/01/2010 18.00,"6,39709475","54,64689112","2,48563701","31,7999897"
07/01/2010 19.00,"5,35138078","42,13411304","2,07329342","31,7999897"
07/01/2010 20.00,"5,76497027","56,13425504","2,19881285","31,7999897"
07/01/2010 21.00,"5,81554059","61,9032944","2,53642985","31,7999897"
07/01/2010 22.00,"5,42723576","43,63704064","1,36804203","31,7999897"
07/01/2010 23.00,"4,57115973","30,07168744","1,04322255","31,7999897"
08/01/2010 0.00,"4,67229937","15,80937965","0,94412649","31,7999897"
08/01/2010 1.00,,"12,05982528","0,87737665","33,70000076"
08/01/2010 2.00,"4,62895381",,"0,89562404","33,70000076"
08/01/2010 3.00,"4,83123308","5,75606262",,"33,70000076"
08/01/2010 4.00,"4,96126975","4,38031934","0,92840598","33,70000076"
08/01/2010 5.00,"4,8637425","3,78329734","0,99167946","33,70000076"
