,Provincia di Lecce,,,,,,
,Campi Salentina,,,,,,
Parm,NOX,NO2,PM10,PM2.5,CO,O3,BENZENE



27/03/2010 9.00,"8,24146377","6,63050434","26,91086006","12,40536976","1,40661052","72,0387318",
27/03/2010 10.00,"6,93719297","5,72280529","26,91086006","12,40536976","1,4130285","73,67145975",
27/03/2010 11.00,"6,62105524","5,58815078","26,91086006","12,40536976","1,42460161","74,7636225",
27/03/2010 12.00,"6,87396504","6,44231192","26,91086006","12,40536976","1,40430032","76,25781765",
27/03/2010 13.00,"7,85966605","6,39039921","26,91086006","12,40536976","1,39817825","76,6793013",
27/03/2010 14.00,"9,62436174","7,15452045","26,91086006","12,40536976","1,10667428","76,60075815",
27/03/2010 15.00,"5,82179526","5,1606639","26,91086006","12,40536976","1,00186971","79,1702184",
27/03/2010 16.00,"5,78856088","5,06575796","26,91086006","12,40536976","1,12604706","79,40588775",
27/03/2010 17.00,"6,48244098","5,96209974","26,91086006","12,40536976","1,43710206","81,0386157",
27/03/2010 18.00,"7,4997569","6,89089006","26,91086006","12,40536976","1,51123684","78,92441445",
27/03/2010 19.00,"8,29253138","7,74018517","26,91086006","12,40536976","1,4987958","78,45985875",
27/03/2010 20.00,"8,73593565","8,32666249","26,91086006","12,40536976","1,57541902","80,93302035",
27/03/2010 21.00,"14,81307278","14,22061854","26,91086006","12,40536976","1,53929936","69,95832585",
27/03/2010 22.00,"10,14153098","9,88086228","26,91086006","12,40536976","1,48445815","81,498942",
27/03/2010 23.00,"6,55782731","6,41960118","26,91086006","12,40536976","1,44914933","98,36517075",
28/03/2010 0.00,"6,66401788","6,31171467","26,91086006","12,40536976","1,44533745","98,5704363",
28/03/2010 1.00,"7,52083288","7,15533114",,"8,00949669","1,48986957","90,91863375",
28/03/2010 2.00,"6,9874518","6,76921612",,"8,00949669","1,56483383","83,42816685",
28/03/2010 3.00,"6,38435729","6,26872335",,"8,00949669","1,4121198","83,77194525",
28/03/2010 4.00,"6,16144103","5,6579101",,"8,00949669","1,48714464","81,4178652",
28/03/2010 5.00,"6,97772354","6,61184705",,"8,00949669","1,51066482","76,14885075",
28/03/2010 6.00,"7,29142921","6,95253868",,"8,00949669","1,5001973","70,5740826",
28/03/2010 7.00,"9,0374829","8,6324735",,"8,00949669","1,50695197","67,4133642",
28/03/2010 8.00,"7,50705118","6,99390862",,"8,00949669","1,51376489","76,7139345",
28/03/2010 9.00,"6,49541198","6,13001349",,"8,00949669","1,53177579","88,4851527",
28/03/2010 10.00,"6,95989032","6,44961385",,"8,00949669","1,51747774","90,8983446",
28/03/2010 11.00,"6,58782086","5,8485365",,"8,00949669","1,48459678","94,89107775",
28/03/2010 12.00,"7,14389929","6,46989252",,"8,00949669","1,5482652","97,44196455",
28/03/2010 13.00,"5,88583388","5,15336389",,"8,00949669","1,47559133","99,4243761",
28/03/2010 14.00,"5,21221716","4,88648884",,"8,00949669","1,50811697","101,1719961",
28/03/2010 15.00,"5,5340297","5,12984055",,"8,00949669","1,4678103","101,1939411",
28/03/2010 16.00,"6,22385827","5,65628872",,"8,00949669","1,48358906","100,2969293",
28/03/2010 17.00,"6,0593039","5,68224603",,"8,00949669","1,4920621","99,230103",
28/03/2010 18.00,"8,31766079","7,86753775",,"8,00949669","1,53653481","94,47212775",
28/03/2010 19.00,"18,33922142","17,98039638",,"8,00949669","1,62311179","74,34971985",
28/03/2010 20.00,"29,99983448","29,0674668",,"8,00949669","1,82094859","58,2183693","0,2759721"
28/03/2010 21.00,"40,60583232","35,4310808",,"8,00949669","1,83380553","33,98584245","0,45329216"
28/03/2010 22.00,"37,96079064","32,28050632",,"8,00949669","1,78139451","24,8102589","0,50663686"
28/03/2010 23.00,"53,210004","37,79888248",,"8,00949669","1,70982507","3,64725302","0,24288604"
29/03/2010 0.00,"36,03481392","30,07331264",,"8,00949669","1,74728797","14,02055078","0,33691379"
29/03/2010 1.00,"20,98746952","20,64426552","26,52013969","15,04292965","1,67688586","20,3056686","0,24541837"
29/03/2010 2.00,,,"26,52013969","15,04292965","1,65231834","14,48849199","0,07927413"
29/03/2010 3.00,"16,73502665","15,59474235","26,52013969","15,04292965",,"10,54391615","0,07927413"
29/03/2010 4.00,"18,79559478","15,79996878","26,52013969","15,04292965","1,68583189","6,98113742","0,07927413"
29/03/2010 5.00,"32,86207936","16,64196578","26,52013969","15,04292965","1,67447664",,"0,12248951"
29/03/2010 6.00,"63,01106896","22,4953492","26,52013969","15,04292965","1,78994445","2,01452108","0,3059197"
29/03/2010 7.00,"55,8947388","22,37043824","26,52013969","15,04292965","1,8449639","5,86111449","0,36537556"
29/03/2010 8.00,"64,62986376","34,23135816","26,52013969","15,04292965","2,10629204","22,28556645","0,44569517"
29/03/2010 9.00,"28,51235584","22,09788264","26,52013969","15,04292965","1,89241901","55,94369025","0,56862504"
29/03/2010 10.00,"13,17564171","11,53483597","26,52013969","15,04292965","1,69750286","87,72495795","0,43495971"
29/03/2010 11.00,"11,18559578","10,2264123","26,52013969","15,04292965","1,64939535","100,9084566","0,13515116"
29/03/2010 12.00,"10,9245791","9,58235319","26,52013969","15,04292965","1,66389145","108,7865919","0,07927413"
29/03/2010 13.00,"11,68736386","9,58478526","26,52013969","15,04292965","1,63409075","113,6518383","0,07943889"
29/03/2010 14.00,"9,9785999","9,26031886","26,52013969","15,04292965",,"113,95841","0,19818482"
29/03/2010 15.00,"13,96031122","12,80999848","26,52013969","15,04292965",,"108,7198791",
29/03/2010 16.00,"16,74232284","12,84163252","26,52013969","15,04292965",,"105,580188",
29/03/2010 17.00,"10,70814644","9,72673978","26,52013969","15,04292965","0,21693116","96,7476447",
29/03/2010 18.00,"11,99782677","11,00676451","26,52013969","15,04292965","0,26060351","88,96999755","1,80716832"
29/03/2010 19.00,"14,75957119","13,71607425","26,52013969","15,04292965","0,24035465","74,98237425","2,4191735"
29/03/2010 20.00,"19,99852576","18,07123932","26,52013969","15,04292965","0,27710574","61,55985465","2,26304772"
29/03/2010 21.00,"17,73207538","16,32398298","26,52013969","15,04292965","0,22567099","56,3161767","1,89728774"
29/03/2010 22.00,"18,50701662","18,00715864","26,52013969","15,04292965","0,2923451","51,60887445","1,57000799"
29/03/2010 23.00,"17,49375605","16,92748857","26,52013969","15,04292965","0,25500219","47,54605695","2,06271703"
30/03/2010 0.00,"13,77873431","13,08498423","26,52013969","15,04292965","0,26968119","52,9569558","1,94705362"
30/03/2010 1.00,"7,80778775","7,54226066","18,41267967","6,54456711","0,24463602","60,2835534","1,47097049"
30/03/2010 2.00,"8,99370958","8,59353562","18,41267967","6,54456711","0,25655747","54,76791705","1,09243801"
30/03/2010 3.00,"7,47624886","7,31107692","18,41267967","6,54456711","0,19467383","56,08812825","0,95619255"
30/03/2010 4.00,"9,08773982","8,56352296","18,41267967","6,54456711","0,1948614","53,2568043","0,71005109"
30/03/2010 5.00,"11,77571929","11,35556685","18,41267967","6,54456711","0,16845201","51,0682893","1,09100607"
30/03/2010 6.00,"18,54511514","17,97552269","18,41267967","6,54456711","0,2279008","49,90941375","0,98607812"
30/03/2010 7.00,"17,21734012","15,7902367","18,41267967","6,54456711","0,22820603","58,97010525","1,18910793"
30/03/2010 8.00,"13,75603887","10,2904949","18,41267967","6,54456711","0,25718074","73,4349525","1,40755139"
30/03/2010 9.00,"9,86511314","8,41994514","18,41267967","6,54456711","0,24799122","83,9391861","1,38685239"
30/03/2010 10.00,"8,34116883","7,1318078","18,41267967","6,54456711","0,21409904","87,3972393","1,09243801"
30/03/2010 11.00,"7,29142921","6,41311186","18,41267967","6,54456711","0,24544919","89,74286055","0,81497905"
30/03/2010 12.00,"7,56865774","6,21113009","18,41267967","6,54456711","0,22235307","96,5373318","1,00446548"
30/03/2010 13.00,"8,18472134","7,36623621","18,41267967","6,54456711","0,1869161","95,6343948","0,94258814"
30/03/2010 14.00,"6,0009401","5,38860298","18,41267967","6,54456711","0,16109387","94,08021","0,86914956"
30/03/2010 15.00,"5,87448425","5,14930854","18,41267967","6,54456711","0,14527434","92,2658772","0,76647934"
30/03/2010 16.00,"7,73159073","6,5712897","18,41267967","6,54456711","0,17306658","89,28504795","1,16851876"
30/03/2010 17.00,"7,67889983","6,8065288","18,41267967","6,54456711","0,19410648","87,5940261","0,90950208"
30/03/2010 18.00,"10,89377678","9,40227338","18,41267967","6,54456711","0,20572968","83,6021508","0,84520226"
30/03/2010 19.00,"11,03320174","10,5005931","18,41267967","6,54456711","0,20175004","81,08252565","1,23210262"
30/03/2010 20.00,"11,30313407","10,52492522","18,41267967","6,54456711","0,21302841","80,5073073","0,71153795"
30/03/2010 21.00,"6,99069264","6,26304471","18,41267967","6,54456711","0,18392088","85,6386468","0,96796636"
30/03/2010 22.00,"5,6313027","5,10874928","18,41267967","6,54456711","0,15118089","85,53728085","0,49083674"
30/03/2010 23.00,"4,53292562","4,1677929","18,41267967","6,54456711","0,18385914","86,6590095","0,7590471"
31/03/2010 0.00,"4,01008349","3,5886175","18,41267967","6,54456711","0,15658882","85,8481218","0,5309696"
31/03/2010 1.00,"3,54803722","3,18870932","24,66422081","8,89024639","0,17318657","86,88199065","0,59455346"
31/03/2010 2.00,,,"24,66422081","8,89024639","0,17584394","84,84804825","0,53988767"
31/03/2010 3.00,"4,5483287","4,24647552","24,66422081","8,89024639",,"81,06225645","0,5742399"
31/03/2010 4.00,"4,12113627","3,91065184","24,66422081","8,89024639","0,09598552","76,4900955","0,70911545"
31/03/2010 5.00,"4,76962358","4,3292135","24,66422081","8,89024639","0,11689261",,"0,31709552"
31/03/2010 6.00,"11,1783015","9,80461363","24,66422081","8,89024639","0,12192075","55,46898","0,73460453"
31/03/2010 7.00,"20,33897648","17,56994351","24,66422081","8,89024639","0,25628253","43,1935056","1,22544127"
31/03/2010 8.00,"17,02117274","13,87506087","24,66422081","8,89024639","0,16340174","64,13859165","1,85704505"
31/03/2010 9.00,"11,65737031","10,48193963","24,66422081","8,89024639","0,1909901","80,7463482","1,72453605"
31/03/2010 10.00,"9,76784014","8,27474595","24,66422081","8,89024639","0,17607461","88,9336686","2,52900136"
31/03/2010 11.00,"8,97587635","8,07357487","24,66422081","8,89024639","0,12406085","93,1578417","2,1007569"
31/03/2010 12.00,"7,72186247","6,64997233","24,66422081","8,89024639","0,13880276","94,2195807","1,97590082"
31/03/2010 13.00,"9,4460295","7,34433425","24,66422081","8,89024639","0,19012451","93,8251293","1,69794659"
31/03/2010 14.00,"5,45377924","4,8897335","24,66422081","8,89024639","0,12625455","98,74781175","1,75327342"
31/03/2010 15.00,"6,14522727","5,54597014","24,66422081","8,89024639","0,09449199","98,5476135","1,44217821"
31/03/2010 16.00,"7,32871703","6,4625925","24,66422081","8,89024639","0,0997007","95,63860425","1,53449943"
31/03/2010 17.00,"9,7054229","8,50025106","24,66422081","8,89024639","0,11838614","92,7853353","1,85434695"
31/03/2010 18.00,"9,57734758","8,81579798","24,66422081","8,89024639","0,09822348","88,2461118","1,8895799"
31/03/2010 19.00,"10,61006275","10,06986539","24,66422081","8,89024639","0,11909795","84,8074899","2,27758167"
31/03/2010 20.00,"13,33533195","12,71265474","24,66422081","8,89024639","0,14911301","81,17629065","2,62264367"
31/03/2010 21.00,"11,08508003","10,64255146","24,66422081","8,89024639","0,10104278","81,94408635","2,63618604"
31/03/2010 22.00,"8,34927571","7,88132901","24,66422081","8,89024639","0,14050133","82,4204724","2,11391383"
31/03/2010 23.00,"7,39761978","6,87710072","24,66422081","8,89024639","0,09452461","78,78336795","1,87818441"
01/04/2010 0.00,"11,91838699","10,89076538","24,66422081","8,89024639","0,13575978","63,1385181","1,82335388"
01/04/2010 1.00,"8,17256294","7,89511835","17,33819962","7,2283268","0,10488495","68,9050257","2,06332214"
01/04/2010 2.00,"7,60837762","7,27781768","17,33819962","7,2283268","0,13180344","71,0378004","1,86095338"
01/04/2010 3.00,"8,33387264","8,1538827","17,33819962","7,2283268","0,13274709","71,1062289","1,95982612"
01/04/2010 4.00,"6,18170632","5,88503849","17,33819962","7,2283268","0,08706045","77,3955861","2,01047272"
01/04/2010 5.00,"8,15067627","7,55442672","17,33819962","7,2283268","0,0803186","74,85736755","1,67135712"
01/04/2010 6.00,"10,70409491","10,14043731","17,33819962","7,2283268","0,14978172","62,7694032","1,69139609"
01/04/2010 7.00,"23,84973352","20,8194812","17,33819962","7,2283268","0,20638558","52,26602745","2,33857828"
01/04/2010 8.00,"16,76988241","14,72922202","17,33819962","7,2283268","0,18368322","68,2563315","3,10489286"
01/04/2010 9.00,"14,93628397","12,8489268","17,33819962","7,2283268","0,17785706","82,2456306","3,11590291"
01/04/2010 10.00,"13,08160955","11,34664737","17,33819962","7,2283268","0,16733245","87,92936565","2,75916982"
01/04/2010 11.00,"9,5822117","8,90502528","17,33819962","7,2283268","0,20148792","96,01617795","2,65126917"
01/04/2010 12.00,"7,32871703","6,44880125","17,33819962","7,2283268","0,13599628","98,7064155","2,2460923"
01/04/2010 13.00,"6,18575785","5,66521202","17,33819962","7,2283268","0,13920236","102,9255014","1,86733913"
01/04/2010 14.00,"5,89231747","5,28315045","17,33819962","7,2283268","0,11636253","105,9721656","1,69778183"
01/04/2010 15.00,"5,7350593","5,37237966","17,33819962","7,2283268","0,11887544","105,4011767","1,63612418"
01/04/2010 16.00,"6,38516798","5,77796458","17,33819962","7,2283268","0,1228644","103,60037","1,59648762"
01/04/2010 17.00,"6,87963986","6,18517278","17,33819962","7,2283268","0,12569884","97,19869425","1,55464824"
01/04/2010 18.00,"8,15148696","7,49764606","17,33819962","7,2283268","0,12230869","91,9330713","1,61410409"
01/04/2010 19.00,"13,11889929","11,90472575","17,33819962","7,2283268","0,18217688","77,3305491","1,98691087"
01/04/2010 20.00,"13,02810988","11,65651182","17,33819962","7,2283268","0,13197586","75,16144545","2,08253531"
01/04/2010 21.00,"16,01034232","15,2532343","17,33819962","7,2283268","0,18783179","67,14812895","1,77270626"
01/04/2010 22.00,"15,61881826","14,59781217","17,33819962","7,2283268","0,20650441","64,45112835","2,59770479"
01/04/2010 23.00,"14,87629879","14,40150522","17,33819962","7,2283268","0,17828112","62,07001605","2,80954183"
02/04/2010 0.00,"12,08456082","11,65732634","17,33819962","7,2283268","0,16908344","68,87715555","2,76362936"
02/04/2010 1.00,"9,44035469","9,12323037","25,54334068","11,67372036","0,11413389","67,2587916","2,09299414"
02/04/2010 2.00,,,"25,54334068","11,67372036","0,15020229","65,95292445","1,85616433"
02/04/2010 3.00,"7,02960184","6,6345597","25,54334068","11,67372036",,"65,421636","1,77518367"
02/04/2010 4.00,"6,27654726","5,79986654","25,54334068","11,67372036","0,12846455","63,5312937","1,78366138"
02/04/2010 5.00,"7,60675625","7,37840418","25,54334068","11,67372036","0,14568209",,"1,71198424"
02/04/2010 6.00,"30,9004056","17,34362772","25,54334068","11,67372036","0,21369712","34,20628995","2,08071793"
02/04/2010 7.00,"92,1711148","42,14677048","25,54334068","11,67372036","0,37841996","8,26502366","3,42677743"
02/04/2010 8.00,"44,52998288","31,21219544","25,54334068","11,67372036","0,30265885","32,4248946","4,37778837"
02/04/2010 9.00,"18,60672169","16,10902064","25,54334068","11,67372036","0,20333328","73,6587915","3,55956102"
02/04/2010 10.00,"12,3139645","10,8956276","25,54334068","11,67372036","0,20614792","90,59935395","2,64064457"
02/04/2010 11.00,"9,67867402","8,90178062","25,54334068","11,67372036","0,17410226","96,3126549","2,05434915"
02/04/2010 12.00,"10,54521536","9,3909161","25,54334068","11,67372036","0,14745056","99,6828483","1,96621187"
02/04/2010 13.00,"8,39223644","7,75884246","25,54334068","11,67372036","0,14008193","104,7913052","1,86293552"
02/04/2010 14.00,"7,60027266","6,89089006","25,54334068","11,67372036","0,1172223","104,3571732","1,71275513"
02/04/2010 15.00,"8,79916358","8,13117005","25,54334068","11,67372036","0,09775166","105,2533272","1,67829306"
02/04/2010 16.00,"11,93865228","10,58090093","25,54334068","11,67372036","0,21462329","101,8029149","1,78366138"
02/04/2010 17.00,"14,928179","13,90750942","25,54334068","11,67372036","0,1431552","95,9046774","1,82126191"
02/04/2010 18.00,"20,15335952","19,0722325","25,54334068","11,67372036","0,15580827","86,14120725","1,74820876"
02/04/2010 19.00,"28,92414328","27,97156576","25,54334068","11,67372036","0,2360057","69,70747455","2,06123018"
02/04/2010 20.00,"28,37373584","27,71767128","25,54334068","11,67372036","0,22157135","59,87727165","2,78449413"
02/04/2010 21.00,"28,26431208","27,25691752","25,54334068","11,67372036","0,22505703","47,93121165","2,76307916"
02/04/2010 22.00,"24,9829568","24,0957888","25,54334068","11,67372036","0,2363354","46,8618717","3,29762657"
02/04/2010 23.00,"20,63891192","20,31412048","25,54334068","11,67372036","0,23158103","53,7095496","3,4726899"
03/04/2010 0.00,"19,09632944","18,56118741","25,54334068","11,67372036","0,15424251","44,70206475","3,3374289"
03/04/2010 1.00,"22,29174032","21,307806","26,81318092","13,72404957","0,18893621","28,85366505","3,20662744"
03/04/2010 2.00,"13,19347494","12,69561499","26,81318092","13,72404957","0,19018276","47,4151251","2,71755113"
03/04/2010 3.00,"11,12074648","10,99215874","26,81318092","13,72404957","0,15495898","59,63655495","2,35404787"
03/04/2010 4.00,"11,54307478","11,15358699","26,81318092","13,72404957","0,17165227","58,94899815","2,25930516"
03/04/2010 5.00,"12,047273","11,54456996","26,81318092","13,72404957","0,12030373","55,94369025","2,20183144"
03/04/2010 6.00,"16,32566745","15,81781157","26,81318092","13,72404957","0,17760425","47,7453774","2,24939552"
03/04/2010 7.00,"18,52323038","16,30045582","26,81318092","13,72404957","0,13382239","55,34143965","2,67846476"
03/04/2010 8.00,"14,1945771","12,47011562","26,81318092","13,72404957","0,15409688","68,6043393","2,4121267"
03/04/2010 9.00,"15,86119102","13,48244888","26,81318092","13,72404957","0,13790921","75,57026085","2,15327579"
03/04/2010 10.00,"13,10836034","11,18278897","26,81318092","13,72404957","0,14642419","94,08441945","2,07202055"
03/04/2010 11.00,"7,47787024","6,81626279","26,81318092","13,72404957","0,10638664","100,0891301","1,89464456"
03/04/2010 12.00,"7,31980138","6,64510629","26,81318092","13,72404957","0,12710034","101,6702873","1,67366876"
03/04/2010 13.00,"6,73454009","5,98886965","26,81318092","13,72404957","0,13170209","103,6130582","1,6865267"
03/04/2010 14.00,"7,86777293","7,15452045","26,81318092","13,72404957","0,09178103","101,3003744","1,58745869"
03/04/2010 15.00,"6,13144749","5,7674199","26,81318092","13,72404957","0,11781063","105,6064023","1,61421393"
03/04/2010 16.00,"5,81693114","5,35696894","26,81318092","13,72404957","0,09181831","103,5082608","1,47053013"
03/04/2010 17.00,"8,1296003","7,42301878","26,81318092","13,72404957","0,13576794","107,5136223","1,41404697"
03/04/2010 18.00,"8,11743998","7,6379773","26,81318092","13,72404957","0,10078765","99,51728325","1,52800385"
03/04/2010 19.00,"20,88777784","20,53394312","26,81318092","13,72404957","0,16015255","74,51698065","1,65588754"
03/04/2010 20.00,"32,22576576","30,99072848","26,81318092","13,72404957","0,1616787","55,3786065","2,5901078"
03/04/2010 21.00,"56,45080576","46,04281464","26,81318092","13,72404957","0,22883862","20,14098135","2,73131419"
03/04/2010 22.00,"46,50383608","39,5331812","26,81318092","13,72404957","0,26472878","14,17174185","4,15939982"
03/04/2010 23.00,"37,43066952","31,81084264","26,81318092","13,72404957","0,2913898","9,3445022","5,05348724"
04/04/2010 0.00,"38,41555984","30,52108392","26,81318092","13,72404957","0,22494985","6,51150444","3,98411682"
04/04/2010 1.00,"30,43917384","24,6709184","19,8290596","10,30545044","0,19460393","5,57730779","3,1210774"
04/04/2010 2.00,,,"19,8290596","10,30545044","0,21887321","3,99103142","2,9885684"
04/04/2010 3.00,"18,99986904","18,437894","19,8290596","10,30545044",,"12,72484017","3,3355027"
04/04/2010 4.00,"23,76461128","19,52159648","19,8290596","10,30545044","0,23791863","4,89313052","3,22330726"
04/04/2010 5.00,"21,26551256","15,34652078","19,8290596","10,30545044","0,19141649",,"3,46652383"
04/04/2010 6.00,"16,91011805","13,00061914","19,8290596","10,30545044","0,20865267","4,34832395","3,22082985"
04/04/2010 7.00,"22,33470296","11,21199286","19,8290596","10,30545044","0,21959085","8,27685002","3,0715312"
04/04/2010 8.00,"14,22619011","11,93474224","19,8290596","10,30545044","0,19532623","46,3989918","3,46635907"
04/04/2010 9.00,"8,15391711","7,5300927","19,8290596","10,30545044","0,16008032","89,5148121","2,65495884"
04/04/2010 10.00,"6,77750273","6,46096922","19,8290596","10,30545044","0,14357926","105,5676195","2,11573121"
04/04/2010 11.00,"6,61943386","6,16894946","19,8290596","10,30545044","0,10150878","112,0452848","1,58547656"
04/04/2010 12.00,"7,99746962","7,03933392","19,8290596","10,30545044","0,16495468","114,1983686","1,64306012"
04/04/2010 13.00,"5,80152998","5,4956769","19,8290596","10,30545044","0,11069597","115,3775133","1,90967378"
04/04/2010 14.00,"4,73963194","4,473602","19,8290596","10,30545044","0,15449531","120,016407","1,65241957"
04/04/2010 15.00,"4,70315481","4,44358934","19,8290596","10,30545044","0,11641962","114,3326121","1,4198276"
04/04/2010 16.00,"5,05495898","4,73561101","19,8290596","10,30545044","0,14333578","115,8260492","1,39626574"
04/04/2010 17.00,"5,80477273","5,30667378","19,8290596","10,30545044","0,11302481","107,9993051","1,37831874"
04/04/2010 18.00,"6,17197806","5,80716655","19,8290596","10,30545044","0,1165932","104,7795147","1,38899928"
04/04/2010 19.00,"7,28656699","6,65727234","19,8290596","10,30545044","0,10963466","101,0275581","1,39252217"
04/04/2010 20.00,"8,22606261","7,66880256","19,8290596","10,30545044","0,12484373","96,7586172","1,4846227"
04/04/2010 21.00,"7,39194496","7,04014461","19,8290596","10,30545044","0,14853051","95,73488295","1,5403899"
04/04/2010 22.00,"6,62591937","6,02375026","19,8290596","10,30545044","0,11591983","95,87257785","1,37644746"
04/04/2010 23.00,"6,40057105","5,83961319","19,8290596","10,30545044","0,1223052","95,3700174","1,33862727"
05/04/2010 0.00,"5,12791326","4,75751297","19,8290596","10,30545044","0,12688481","93,67899555","1,28996178"
05/04/2010 1.00,"4,14383362","3,85630324","15,97076035","6,44688702","0,09738352","95,6563398","1,17105109"
05/04/2010 2.00,"4,10249236","3,74030602","15,97076035","6,44688702","0,1037782","98,08982085","1,14947035"
05/04/2010 3.00,"3,87552266","3,59834958","15,97076035","6,44688702","0,10670585","100,6221143","1,14044244"
05/04/2010 4.00,"3,79851495","3,48397566","15,97076035","6,44688702","0,09287963","99,7664787","1,10983379"
05/04/2010 5.00,"3,97117429","3,71921475","15,97076035","6,44688702","0,10732213","96,05671635","1,10080589"
05/04/2010 6.00,"4,83528357","4,37626208","15,97076035","6,44688702","0,09044361","90,4540581","1,09001552"
05/04/2010 7.00,"4,46564617","4,21078422","15,97076035","6,44688702","0,09615444","86,8152579","1,07025215"
05/04/2010 8.00,"6,7475111","5,87287052","15,97076035","6,44688702","0,09711207","82,49227245","1,13570831"
05/04/2010 9.00,"6,94773191","6,14299214","15,97076035","6,44688702","0,13627471","85,3286637","1,18910793"
05/04/2010 10.00,"6,37625232","5,86719379","15,97076035","6,44688702","0,1080188","95,40546855","1,24856276"
05/04/2010 11.00,"6,3251828","5,34155631","15,97076035","6,44688702","0,09331068","100,920267","1,21619267"
05/04/2010 12.00,"5,25193705","4,63989246","15,97076035","6,44688702","0,10908012","98,4631452","1,36571201"
05/04/2010 13.00,"4,01413693","3,64945352","15,97076035","6,44688702","0,09947469","98,9589825","1,34941662"
05/04/2010 14.00,"3,48886273","3,19519865","15,97076035","6,44688702","0,11851196","97,50700155","1,32607545"
05/04/2010 15.00,"4,20057605","3,8692819","15,97076035","6,44688702","0,08878349","88,60088265","1,38729275"
05/04/2010 16.00,"4,1908497","3,83440128","15,97076035","6,44688702","0,12317895","92,66960535","1,37650238"
05/04/2010 17.00,"4,70234412","4,34462804","15,97076035","6,44688702","0,12543672","90,418587","1,44498614"
05/04/2010 18.00,"6,01634126","5,53055751","15,97076035","6,44688702","0,09576067","88,56624945","1,60353339"
05/04/2010 19.00,"11,10210448","10,71555544","15,97076035","6,44688702","0,10704952","81,78951375","1,6323806"
05/04/2010 20.00,"14,51071483","13,87912005","15,97076035","6,44688702","0,22503723","75,352347","2,12365872"
05/04/2010 21.00,"7,61729519","7,00607659","15,97076035","6,44688702","0,1257501","80,77254255","2,12519948"
05/04/2010 22.00,"7,9472127","7,63148797","15,97076035","6,44688702","0,12495208","76,4351931","1,64663894"
05/04/2010 23.00,"7,19172414","6,81788417","15,97076035","6,44688702","0,12382902","73,2254775","1,66309908"
06/04/2010 0.00,"6,35274428","5,96453371","15,97076035","6,44688702","0,09303574","74,61916455","1,69695603"
06/04/2010 1.00,"4,86041298","4,45007866","18,21733093","5,90964603","0,09701421","72,94336455","1,60694746"
06/04/2010 2.00,,,"18,21733093","5,90964603","0,06965535","71,4854784","1,54584"
06/04/2010 3.00,"6,37544163","6,07890764","18,21733093","5,90964603",,"67,5485055","1,56400667"
06/04/2010 4.00,"4,69829068","4,40384268","18,21733093","5,90964603","0,10234176","72,97460625","1,64658402"
06/04/2010 5.00,"6,83262569","6,20950871","18,21733093","5,90964603","0,12844941",,"1,57309052"
06/04/2010 6.00,"8,69459438","8,11818948","18,21733093","5,90964603","0,12328962","66,4276347","1,76053989"
06/04/2010 7.00,"10,14234166","9,07050506","18,21733093","5,90964603","0,12337816","64,8472755","1,94633765"
06/04/2010 8.00,"8,97101222","7,65176855","18,21733093","5,90964603","0,10164509","70,5200181","2,17672781"
06/04/2010 9.00,"8,15959193","7,32811093","18,21733093","5,90964603","0,08425863","76,8828711","2,26838799"
06/04/2010 10.00,"7,74861326","7,1050398","18,21733093","5,90964603","0,10124666","80,8240734","2,28077505"
06/04/2010 11.00,"7,49083934","6,67998499","18,21733093","5,90964603","0,14251445","84,2136981","2,18168264"
06/04/2010 12.00,"7,36762623","6,64267231","18,21733093","5,90964603","0,13328649","89,15074455","2,21801598"
06/04/2010 13.00,"6,52540362","5,90045112","18,21733093","5,90964603","0,10189906","88,81458705","2,10406011"
06/04/2010 14.00,"6,08929554","5,54840412","18,21733093","5,90964603","0,1382855","90,1204143","2,02478598"
06/04/2010 15.00,"5,99526529","5,40807097","18,21733093","5,90964603","0,10535328","91,1509116","1,97276236"
06/04/2010 16.00,"6,4946013","6,06917556","18,21733093","5,90964603","0,12316963","90,4684221","1,94964087"
06/04/2010 17.00,"7,51677944","6,92576877","18,21733093","5,90964603","0,10301513","92,780268","1,92569357"
06/04/2010 18.00,"8,9661481","8,18714002","18,21733093","5,90964603","0,12098875","90,9515712","1,80507635"
06/04/2010 19.00,"11,8397579","11,21848218","18,21733093","5,90964603","0,13007458","86,5120179","1,8596323"
06/04/2010 20.00,"12,63415375","11,98260151","18,21733093","5,90964603","0,16347397","84,34461","2,08545308"
06/04/2010 21.00,"8,61920805","8,22769928","18,21733093","5,90964603","0,13228692","89,35431435","2,14369667"
06/04/2010 22.00,"6,72319237","6,18111551","18,21733093","5,90964603","0,14111529","92,3503455","1,85533853"
06/04/2010 23.00,"7,91073557","7,59174131","18,21733093","5,90964603","0,12476218","87,5889588","1,71991175"
07/04/2010 0.00,"6,59673651","6,32063798","18,21733093","5,90964603","0,0986557","86,2974756","1,78057886"
07/04/2010 1.00,"5,80315135","5,56057018","17,24053001","7,91208792","0,11074024","83,40283035","1,71660956"
07/04/2010 2.00,"5,73668067","5,58247214","17,24053001","7,91208792","0,07893225","82,1096514","1,64493241"
07/04/2010 3.00,"5,62805995","5,40969426","17,24053001","7,91208792","0,13953089","73,3243098","1,70284649"
07/04/2010 4.00,"6,63402625","6,18679415","17,24053001","7,91208792","0,12938257","73,77452145","1,65869547"
07/04/2010 5.00,"8,67513978","8,23175463","17,24053001","7,91208792","0,1334892","73,01853615","1,51688296"
