,Provincia di Lecce,,,,,,
,Campi Salentina,,,,,,
Parm,NOX,NO2,PM10,PM2.5,CO,O3,BENZENE



02/01/2010 6.00,"3,91362118","2,93968088","16,7031498","6,34920597","0,18008337","85,0558275","0,31676499"
02/01/2010 7.00,"4,18274282","3,00214018","16,7031498","6,34920597","0,2280604","82,12822485","0,50371908"
02/01/2010 8.00,"7,41707438","5,80959862","16,7031498","6,34920597","0,22599253","70,98882315","0,50107692"
02/01/2010 9.00,"6,94692122","5,30424172","16,7031498","6,34920597","0,23246876","72,15023235","0,54060364"
02/01/2010 10.00,"6,70941258","5,12984055","16,7031498","6,34920597","0,24344656","71,6307543","0,66804696"
02/01/2010 11.00,"7,03770872","5,32289902","16,7031498","6,34920597","0,25995344","71,6197818","0,74737601"
02/01/2010 12.00,"8,58759313","7,26970698","16,7031498","6,34920597","0,2750367","70,3004085","0,69931666"
02/01/2010 13.00,"8,52193314","6,53965375","16,7031498","6,34920597","0,25330013","73,5996597","0,94853353"
02/01/2010 14.00,"7,40491597","5,69035865","16,7031498","6,34920597","0,23755981","72,6012819","0,99378596"
02/01/2010 15.00,"5,78775019","4,60744582","16,7031498","6,34920597","0,26970682","70,20243405","0,80396901"
02/01/2010 16.00,"6,71022327","5,60924205","16,7031498","6,34920597","0,27642654","70,28690235","0,94853353"
02/01/2010 17.00,"7,39924115","6,58994509","16,7031498","6,34920597","0,28352605","68,389797","1,03628537"
02/01/2010 18.00,"10,76813162","9,31142279","16,7031498","6,34920597","0,33197258","64,52969145","1,38178671"
02/01/2010 19.00,"12,21588081","10,2466948","16,7031498","6,34920597","0,33791874","64,0000788","1,51192814"
02/01/2010 20.00,"11,31124095","9,3909161","16,7031498","6,34920597","0,311521","65,2856568","1,50047773"
02/01/2010 21.00,"9,17771663","7,66393461","16,7031498","6,34920597","0,29310235","68,845056","1,39565961"
02/01/2010 22.00,"8,68324666","7,15614374","16,7031498","6,34920597","0,30209732","68,5519506","1,27113406"
02/01/2010 23.00,"5,63697561","5,06981331","16,7031498","6,34920597","0,26481848","71,66875905","1,07867495"
03/01/2010 0.00,"5,59968778","4,8540422","16,7031498","6,34920597","0,27431789","69,37973595","0,83799071"
03/01/2010 1.00,"5,75127114","4,25053087","18,60803986","11,91574955","0,22542634","69,53937585","0,86067185"
03/01/2010 2.00,"4,61074594","4,31866882","18,60803986","11,91574955","0,25239026","65,8338429","0,84085357"
