Comune Lecce,,,,,,
,Via_Romagna,,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



04/01/2010 15.00,"26,25982864","22,5842572",,"0,3998746",,"45,9482814"
04/01/2010 16.00,"24,57246952","21,31623792",,"0,44739146",,"50,10943245"
04/01/2010 17.00,"34,22197024","30,83484312",,"0,57163871",,"41,69795385"
04/01/2010 18.00,"37,805498","33,77840536",,"0,52204116",,"34,71900495"
04/01/2010 19.00,"32,28429208","29,08530576",,"0,5279582",,"35,27309625"
04/01/2010 20.00,"18,5752712","16,54267754",,"0,40643821",,"49,62696165"
04/01/2010 21.00,"12,22398578","10,50367716",,"0,3936337",,"61,81848645"
04/01/2010 22.00,"9,22408454","8,1584237",,"0,47674247",,"67,23243765"
04/01/2010 23.00,"7,08926389","5,82744522",,"0,47771291",,"70,582701"
05/01/2010 0.00,"6,28643612","5,0785741",,"0,44910168",,"72,82613835"
05/01/2010 1.00,"5,22680763","4,36474419",,"0,43846989",,"76,2344961"
05/01/2010 2.00,"5,0309653","4,05844562",,"0,44725282",,"73,4667129"
05/01/2010 3.00,"5,21643312","4,1687661",,"0,43759148",,"70,5637884"
05/01/2010 4.00,"9,86868093","8,92806106",,"0,41471204",,"73,228869"
05/01/2010 5.00,"5,24626223","4,43742505",,"0,41554385",,"79,41989265"
05/01/2010 6.00,"6,44336926","5,23172338",,"0,40569844",,"78,2752215"
05/01/2010 7.00,"8,2176326","7,01110515",,"0,41230981",,"76,34938815"
05/01/2010 8.00,"10,79731447","9,40567866",,"0,4340324",,"72,1652547"
05/01/2010 9.00,"11,66239505","10,21944306",,"0,45390847",,"72,62747625"
05/01/2010 10.00,"11,29146131","9,51729548",,"0,43421764",,"73,14912885"
05/01/2010 11.00,"11,75188812","9,98323267",,"0,44729826",,"71,66656455"
05/01/2010 12.00,"13,63898432","11,6743527",,"0,42968812",,"71,0124639"
05/01/2010 13.00,"18,26269935","15,7211179",,"0,41314046",,"68,5163199"
05/01/2010 14.00,"13,90875605","11,79894818",,"0,41591316",,"75,53040075"
05/01/2010 15.00,"9,49385436","7,70806357",,"0,41817792",,"79,7334468"
05/01/2010 16.00,"7,27343346","5,65482795",,"0,42247677",,"81,41196"
05/01/2010 17.00,"8,41996044","7,09676466",,"0,43823922",,"80,24159325"
05/01/2010 18.00,"8,7234522","7,73012614",,"0,44475623",,"80,22132405"
05/01/2010 19.00,"8,82331978","7,15127578",,"0,43851649",,"79,99696635"
05/01/2010 20.00,"9,70655862","8,4257863",,"0,43278469",,"80,1591399"
05/01/2010 21.00,"9,63911474","8,51274406",,"0,42469609",,"79,7753418"
05/01/2010 22.00,"7,57822347","5,8352328",,"0,40985865",,"79,4415384"
05/01/2010 23.00,"4,88440667","3,75863637",,"0,4112916",,"78,4414449"
06/01/2010 0.00,"6,59770972","4,97214835",,"0,40579047",,"74,0451432"
06/01/2010 1.00,"5,10359453","3,51723298",,"0,40972002",,"73,75999785"
06/01/2010 2.00,,,,"0,4022314",,"71,2841031"
06/01/2010 3.00,"9,69358953","8,03383013",,,,"69,7529007"
06/01/2010 4.00,"9,12032604","7,55621062",,"0,21118654",,"65,91880995"
06/01/2010 5.00,"8,05680663","7,04225546",,"0,21595605",,
06/01/2010 6.00,"7,28251355","6,58799867",,"0,22646202",,"58,75336845"
06/01/2010 7.00,"21,14067808","19,436914",,"0,22568147",,"44,6981745"
06/01/2010 8.00,"26,58408472","21,52260008",,"0,29409377",,"44,5414074"
06/01/2010 9.00,"28,49193568","24,01450968",,"0,26890647",,"39,8085891"
06/01/2010 10.00,"23,11208392","17,85872052",,"0,33478372",,"52,37311905"
06/01/2010 11.00,"14,15128942","10,36220637",,"0,33455655",,"61,99280955"
06/01/2010 12.00,"11,53399469","8,41021115",,"0,30816347",,"66,9324096"
06/01/2010 13.00,"9,1255133","6,8527667",,"0,28282356",,"71,9868618"
06/01/2010 14.00,"10,47696078","7,96374386",,"0,27963612",,"75,90338595"
06/01/2010 15.00,"9,84274082","7,77036035",,"0,25505229",,"74,719533"
06/01/2010 16.00,"13,37310542","10,79699134",,"0,29047644",,"67,52298945"
06/01/2010 17.00,"14,00602905","12,84114496",,"0,3350109",,"65,69987865"
06/01/2010 18.00,"23,49597528","21,62512152",,"0,39398203",,"52,47043515"
06/01/2010 19.00,"42,5407572","40,70646088",,"0,46153106",,"32,0390616"
06/01/2010 20.00,"55,72451344","52,39897184",,"0,58808851",,"24,07623855"
