Comune Lecce,,,,,,
,Via_Romagna,,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



26/02/2010 23.00,"24,82408872","14,44920962",,"0,40535709",,"57,9289746"
27/02/2010 0.00,"19,35863672","8,95531853",,"0,33172909",,"64,4862603"
27/02/2010 1.00,"16,68298392","6,3128504",,"0,31818713",,"65,7039285"
27/02/2010 2.00,,,,"0,26360572",,"75,5885151"
27/02/2010 3.00,"17,3820551","7,02148922",,,,"68,76092685"
27/02/2010 4.00,"19,17447288","8,66329686",,"0,28660165",,"62,1049884"
27/02/2010 5.00,"20,30542088","9,94818954",,"0,29244529",,
27/02/2010 6.00,"21,29501472","10,90211693",,"0,32122778",,"55,76665395"
27/02/2010 7.00,"28,20918912","16,6140525",,"0,31026513",,"48,47552745"
27/02/2010 8.00,"37,90536176","23,4719988",,"0,33406026",,"43,03588065"
27/02/2010 9.00,"66,08862416","38,41439352",,"0,55059182",,"39,77345715"
27/02/2010 10.00,"41,36959984","23,0865396",,"0,52688407",,"62,1995913"
27/02/2010 11.00,"23,06409272","9,5718066",,"0,31931019",,"81,1700463"
27/02/2010 12.00,"20,46753936","7,4160419",,"0,21338024",,"89,0895978"
27/02/2010 13.00,"26,22351976","10,91899224",,"0,2461878",,"92,01281145"
27/02/2010 14.00,"25,69825512","10,21944306",,"0,34863674",,"89,31257895"
27/02/2010 15.00,"16,03968578","4,36344594",,"0,27512757",,"93,60753465"
27/02/2010 16.00,"15,79844874","4,18953042",,"0,28933824",,"96,39965685"
27/02/2010 17.00,"18,7503626","6,91246698",,"0,30793513",,"91,60331775"
27/02/2010 18.00,"22,76448232","11,28889158",,"0,30720468",,"81,8687352"
27/02/2010 19.00,"38,2360804","26,3623692",,"0,3728932",,"67,19592915"
27/02/2010 20.00,"39,6848028","28,04829432",,"0,45173924",,"64,50247965"
27/02/2010 21.00,"51,02036248","39,46698776",,"0,46914317",,"50,6189355"
27/02/2010 22.00,"45,9440216","33,55127888",,"0,48627333",,"55,60581705"
27/02/2010 23.00,"40,96752536","30,24690312",,"0,43798874",,"52,64882805"
28/02/2010 0.00,"52,35885808","41,45533392",,"0,56941239",,"35,8055817"
28/02/2010 1.00,"42,13738256","31,4655928",,"0,44502418",,"47,5727301"
28/02/2010 2.00,"44,77542632","33,78100568",,"0,44141501",,"42,83721855"
28/02/2010 3.00,"40,99733344","30,53242208",,"0,44150588",,"40,32754845"
28/02/2010 4.00,"29,18061896","18,74126913",,"0,43058866",,"43,3805169"
28/02/2010 5.00,"22,89549256","12,45307779",,"0,40751933",,"42,52368435"
28/02/2010 6.00,"19,32360888","8,9293593",,"0,38371955",,"43,6818816"
28/02/2010 7.00,"26,85774928","16,03130931",,"0,40482469",,"33,85812255"
28/02/2010 8.00,"33,09230328","19,54593624",,"0,37376113",,"36,9394599"
28/02/2010 9.00,"32,80567536","19,12673024",,"0,42958327",,"42,866964"
28/02/2010 10.00,"28,68388136","16,29088434",,"0,38678",,"50,6297484"
28/02/2010 11.00,"24,17171432","11,79245694",,"0,34461749",,"63,3564519"
28/02/2010 12.00,"24,09259576","11,48875868",,"0,37385316",,"66,4188567"
28/02/2010 13.00,"19,34955472","6,88780792",,"0,34237836",,"80,14834695"
28/02/2010 14.00,"14,83868593","3,85857278",,"0,30181422",,"91,0181244"
28/02/2010 15.00,"10,95295127","0,63206322",,"0,27315872",,"94,65355305"
28/02/2010 16.00,"14,82831142","4,22197706",,"0,2714683",,"92,8655742"
28/02/2010 17.00,"14,96578995","4,59706366",,"0,29258626",,"92,2074237"
28/02/2010 18.00,"15,84254711","5,45495703",,"0,30309339",,"90,2356455"
28/02/2010 19.00,"15,07473571","4,69959466",,"0,31217923",,"90,88703295"
28/02/2010 20.00,"15,06047028","4,74501996",,"0,31647691",,"90,4532202"
28/02/2010 21.00,"14,13572766","3,64312671",,"0,31665516",,"91,1978739"
28/02/2010 22.00,"12,37184074","2,12461631",,"0,2775065",,"92,08714515"
28/02/2010 23.00,"11,50675825","1,17976518",,"0,27914216",,"93,65617275"
01/03/2010 0.00,"11,28497581","0,91370274",,"0,2687224",,"94,04539725"
01/03/2010 1.00,,,,"0,25564877",,"93,86971755"
01/03/2010 2.00,,,,"0,24961407",,"93,8372988"
01/03/2010 3.00,"14,77643312","4,39719083",,,,"94,45624755"
01/03/2010 4.00,"12,68311625","2,44129705",,"0,23212858",,"94,1048682"
01/03/2010 5.00,"11,90752492","1,52370148",,"0,23024478",,
01/03/2010 6.00,"11,70519517","1,30306433",,"0,23795941",,"87,8935554"
01/03/2010 7.00,"13,47686393","3,09153192",,"0,24010883",,"88,4584596"
01/03/2010 8.00,"18,12911174","7,73402088",,"0,24727941",,"84,86628255"
01/03/2010 9.00,"21,37153296","10,9890766",,"0,27164538",,"75,14117625"
01/03/2010 10.00,"19,91762904","9,16946635",,"0,28616361",,"82,459335"
01/03/2010 11.00,"17,88009286","7,27587126",,"0,28198126",,"81,54033825"
01/03/2010 12.00,"24,92395248","13,07735535",,"0,29294857",,"73,00991775"
01/03/2010 13.00,"27,31815888","15,61209566",,"0,31496008",,"68,68794975"
01/03/2010 14.00,"22,90067408","11,39920442",,"0,39935152",,"72,51527745"
01/03/2010 15.00,"22,90845592","12,05852321",,"0,35112751",,"72,86532015"
01/03/2010 16.00,"15,98261832","5,46533919",,"0,29925122",,"80,63756085"
01/03/2010 17.00,"20,66598584","9,92093398",,"0,30812153",,"78,08060925"
01/03/2010 18.00,"23,4985756","13,1110945",,"0,28344217",,"76,54805025"
01/03/2010 19.00,"27,30519552","16,91776414",,"0,31381838",,"69,2190786"
01/03/2010 20.00,"36,14278456","25,76014656",,"0,43949159",,"59,8940097"
01/03/2010 21.00,"34,43596128","23,84967616",,"0,44200333",,"65,3998506"
01/03/2010 22.00,"24,45186056","13,99365458",,"0,37966884",,"76,18855125"
01/03/2010 23.00,"15,44566945","5,07338302",,"0,29002675",,"82,8161208"
02/03/2010 0.00,"12,59621776","2,21416866",,"0,28004387",,"80,99570325"
02/03/2010 1.00,"13,33938348","2,9630417",,"0,2845198",,"71,95982955"
02/03/2010 2.00,"13,66622076","3,11878748",,"0,31721669",,"63,87541125"
02/03/2010 3.00,"16,3743049","5,29791491",,"0,33920839",,"53,75026755"
02/03/2010 4.00,"11,63256594","1,26802119",,"0,31636857",,"54,01919355"
02/03/2010 5.00,"13,00995162","2,63208406",,"0,28116693",,"44,1940779"
02/03/2010 6.00,"21,7865708","9,98842566",,"0,31075094",,"26,8764804"
02/03/2010 7.00,"41,99342808","27,95615504",,"0,41373577",,"16,98108888"
02/03/2010 8.00,"100,4428857","54,88311872",,"0,57288293",,"11,78608095"
02/03/2010 9.00,"129,0826954","64,95849832",,"0,77586903",,"16,03102001"
02/03/2010 10.00,"58,46242096","31,7900592",,"0,59649165",,"50,85679935"
02/03/2010 11.00,"26,77214904","12,80999848",,"0,36929568",,"77,46164055"
02/03/2010 12.00,"26,61521208","11,97546019",,"0,30755418",,"85,206849"
02/03/2010 13.00,"34,79262576","17,47714459",,"0,29785439",,"82,1863392"
02/03/2010 14.00,"42,35009256","21,47457064",,"0,35843439",,"85,33522725"
02/03/2010 15.00,"27,08212248","12,33627562",,"0,29444094",,"94,8495219"
02/03/2010 16.00,"21,59850648","8,30119082",,"0,28227484",,"97,47540075"
02/03/2010 17.00,"34,28940648","20,09882928",,"0,34277096",,"90,558636"
02/03/2010 18.00,"36,58894976","25,14756088",,"0,40364338",,"82,63367805"
02/03/2010 19.00,"63,44151752","51,21921048",,"0,49694007",,"54,1557114"
02/03/2010 20.00,"68,84857704","56,802652",,"0,55041474",,"50,26348635"
02/03/2010 21.00,"62,85397904","50,61180632",,"0,5685899",,"53,1907698"
02/03/2010 22.00,"58,72828456","47,36322272",,"0,56521024",,"52,56503805"
02/03/2010 23.00,"46,82855104","35,74986856",,"0,53338127",,"59,06690265"
03/03/2010 0.00,"36,26597472","25,87695064",,"0,47830823",,"60,5210781"
03/03/2010 1.00,"35,89764704","25,39933304",,"0,52561771",,"52,95154935"
03/03/2010 2.00,,,,"0,41711544",,"60,39269985"
03/03/2010 3.00,"29,10410072","18,34930722",,,,"62,0711931"
03/03/2010 4.00,"29,32847392","18,94763702",,"0,4002008",,"44,20355415"
03/03/2010 5.00,"23,53878496","13,15523111",,"0,40074952",,
03/03/2010 6.00,"25,46608096","15,0929456",,"0,47331038",,"34,64467125"
03/03/2010 7.00,"50,88809032","35,32676208",,"0,46288596",,"25,31553255"
03/03/2010 8.00,"114,8159633","64,8364936",,"0,72409294",,"9,13857431"
03/03/2010 9.00,"199,6106968","83,68418656",,"1,29524817",,"7,10327531"
03/03/2010 10.00,"169,0645083","85,00671696",,"1,0357782",,"10,79951555"
03/03/2010 11.00,"163,455121","90,9665548",,"1,05479799",,"14,88092445"
03/03/2010 12.00,"77,5331296","53,39963616",,"0,57083486",,"43,16563545"
03/03/2010 13.00,"31,65914456","18,18188867",,"0,31078006",,"68,5149633"
03/03/2010 14.00,"22,4480272","9,95986994",,"0,3119637",,"82,13903775"
03/03/2010 15.00,"16,33280112","5,13697805",,"0,25681493",,"92,1020079"
03/03/2010 16.00,"19,23800864","7,88717017",,"0,23770311",,"89,7815436"
03/03/2010 17.00,"23,214548","11,98584426",,"0,23629695",,"85,78122945"
03/03/2010 18.00,"29,84467568","19,39278504",,"0,26338786",,"71,85712695"
03/03/2010 19.00,"41,0142164","30,05610464",,"0,36078885",,"54,0475824"
03/03/2010 20.00,"26,63465712","16,32852971",,"0,39270286",,"68,89878135"
03/03/2010 21.00,"20,71137672","10,32457056",,"0,32343429",,"81,63629775"
03/03/2010 22.00,"15,68820665","5,3290633",,"0,28787383",,"91,3478979"
03/03/2010 23.00,"13,60785887","3,24208471",,"0,27575783",,"92,1303768"
04/03/2010 0.00,"11,71297892","1,18106343",,"0,24544104",,"94,2508224"
04/03/2010 1.00,,,,"0,2238198",,"98,37143505"
04/03/2010 2.00,,,,"0,20618403",,"99,7701894"
04/03/2010 3.00,,,,"0,20814007",,"98,64036105"
04/03/2010 4.00,,,,"0,21326024",,"96,72536055"
04/03/2010 5.00,,,,"0,20581356",,"95,00223915"
04/03/2010 6.00,"10,20589463","0,25048921",,"0,23104979",,"92,10877095"
04/03/2010 7.00,"13,55079141","3,16031803",,"0,24896982",,"87,63949215"
04/03/2010 8.00,"15,21481074","4,8228919",,"0,25011851",,"85,9217772"
04/03/2010 9.00,"23,4298392","11,78467701",,"0,30007604",,"78,11979105"
04/03/2010 10.00,"24,06016824","11,50822666",,"0,36654978",,"78,7522659"
04/03/2010 11.00,"15,61687184","4,15059446",,"0,2958401",,"86,93402025"
04/03/2010 12.00,"14,46515761","2,78004226",,"0,28208378",,"88,9774389"
04/03/2010 13.00,"18,14597366","5,52114856",,"0,27166402",,"89,56666215"
04/03/2010 14.00,"19,91114736","6,56853069",,"0,27550503",,"90,9992118"
04/03/2010 15.00,"15,28614364","4,13761771",,"0,22972402",,"92,7831408"
04/03/2010 16.00,"15,29522182","4,42833922",,"0,2618955",,"93,4899693"
04/03/2010 17.00,"18,47670186","7,70157233",,"0,26810844",,"87,367833"
04/03/2010 18.00,"22,5829188","12,19350276",,"0,29336098",,"76,89537975"
04/03/2010 19.00,"28,81487248","18,20783642",,"0,35009066",,"68,36224605"
04/03/2010 20.00,"40,24899576","28,6985464",,"0,49063859",,"53,55296205"
04/03/2010 21.00,"44,07638","33,1216716",,"0,55986172",,"43,99136595"
04/03/2010 22.00,"34,3153332","22,99698152",,"0,48332355",,"49,10395245"
04/03/2010 23.00,"26,25464712","15,59652434",,"0,36334952",,"54,61924965"
05/03/2010 0.00,"20,80865928","10,4050409",,"0,33907092",,"63,10913175"
05/03/2010 1.00,"20,32358488","9,94299846",,"0,32549168",,"60,20888055"
05/03/2010 2.00,,,,"0,35256512",,"52,0663479"
05/03/2010 3.00,"22,01224416","11,2499537",,,,"55,18686705"
05/03/2010 4.00,"16,33409937","5,96242478",,"0,31746367",,"55,4652693"
05/03/2010 5.00,"14,85554786","4,53087214",,"0,3069775",,
05/03/2010 6.00,"18,9319395","8,39853074",,"0,34291659",,"43,9346082"
05/03/2010 7.00,"33,80175088","21,7237616",,"0,3750636",,"36,43669995"
05/03/2010 8.00,"50,56125304","31,57073368",,"0,37697653",,"36,17858685"
05/03/2010 9.00,"56,8087704","31,35398936",,"0,51025486",,"45,0346911"
05/03/2010 10.00,"39,9844132","21,9106596",,"0,47000294",,"52,8637095"
05/03/2010 11.00,"32,43472824","16,50633233",,"0,37770465",,"62,31715665"
05/03/2010 12.00,"46,50561424","28,2754208",,"0,3633169",,"53,55970515"
05/03/2010 13.00,"44,35520696","24,86332296",,"0,42196417",,"63,47673045"
05/03/2010 14.00,"62,63218704","35,56947136",,"0,53388688",,"63,9754206"
05/03/2010 15.00,"39,343702","22,21826216",,"0,38693611",,"73,6018542"
05/03/2010 16.00,"31,023634","17,39018301",,"0,37852481",,"75,2290161"
05/03/2010 17.00,"35,17395504","21,8224208",,"0,43917588",,"65,4336459"
05/03/2010 18.00,"39,0778384","25,98469184",,"0,42337615",,"60,4372881"
05/03/2010 19.00,"35,03516296","24,0871848",,"0,363134",,"49,8391299"
05/03/2010 20.00,"64,05626376","49,51900272",,"0,51234953",,"37,11783285"
05/03/2010 21.00,"83,1931276","64,992226",,"0,60938238",,"13,31593473"
05/03/2010 22.00,"122,1905664","84,7146972",,"0,65455176",,"2,29613129"
05/03/2010 23.00,"64,53873784","49,7214644",,"0,61256982",,"29,0874591"
06/03/2010 0.00,"31,87053528","21,22149832",,"0,4827527",,"46,1577564"
06/03/2010 1.00,"25,42977208","14,33369996",,"0,38958998",,"56,73833865"
06/03/2010 2.00,"18,41444523","8,03902121",,"0,35721463",,"63,03208485"
06/03/2010 3.00,"14,71936566","4,32840281",,"0,31704077",,"70,25430405"
06/03/2010 4.00,"11,5534512","1,19923317",,"0,22527023",,"82,1647134"
06/03/2010 5.00,"13,11241378","2,70346666",,"0,27212536",,"76,70210415"
06/03/2010 6.00,"15,91258176","4,34787079",,"0,26193161",,"81,3659952"
06/03/2010 7.00,"18,1991483","6,60487207",,"0,21574868",,"81,90793695"
06/03/2010 8.00,"20,75158608","9,14999837",,"0,19821194",,"81,61331535"
06/03/2010 9.00,"59,31452288","24,28186464",,"0,28230513",,"75,0695358"
06/03/2010 10.00,"22,81767416","8,25446728",,"0,24484339",,"84,66762045"
06/03/2010 11.00,"20,82032248","7,12272198",,"0,21818703",,"84,59464335"
06/03/2010 12.00,"23,24955672","8,70872215",,"0,22210259",,"85,0311693"
06/03/2010 13.00,"31,50998944","13,692549",,"0,24483058",,"83,464815"
06/03/2010 14.00,"35,92359288","16,31294691",,"0,29137233",,"83,99865705"
06/03/2010 15.00,"22,08746224","8,27393526",,"0,17873081",,"93,55211355"
06/03/2010 16.00,"17,9916332","5,52374506",,"0,1720239",,"96,2807349"
06/03/2010 17.00,"21,85790752","9,2732956",,"0,18760927",,"92,84935485"
06/03/2010 18.00,"27,6501968","15,34084405",,"0,24042105",,"87,2286219"
06/03/2010 19.00,"41,10241696","27,69658192",,"0,30389491",,"75,79394025"
06/03/2010 20.00,"50,07877896","36,71418576",,"0,34492039",,"67,5959865"
06/03/2010 21.00,"46,57045016","34,211894",,"0,34851791",,"70,06374165"
06/03/2010 22.00,"41,1062792","29,42145448",,"0,32606952",,"71,1381489"
06/03/2010 23.00,"34,35426152","23,6744796",,"0,30011565",,"72,7653108"
07/03/2010 0.00,"38,50716376","28,09762392",,"0,35780645",,"51,35818275"
07/03/2010 1.00,"93,87631288","77,0390688",,"0,66543519",,"15,36339725"
07/03/2010 2.00,,,,"0,62304317",,"30,07943295"
07/03/2010 3.00,"46,55486736","36,0094608",,,,"48,61066875"
07/03/2010 4.00,"45,35520208","34,4818684",,"0,50402094",,"38,8747296"
07/03/2010 5.00,"34,93269888","24,01841016",,"0,50438442",,
07/03/2010 6.00,"29,89654824","19,24483448",,"0,46688074",,"41,72360955"
07/03/2010 7.00,"33,33354032","21,22407952",,"0,38477387",,"54,9206343"
07/03/2010 8.00,"46,65086888","30,33256072",,"0,43497605",,"51,5095434"
07/03/2010 9.00,"27,68226104","14,22950934",,"0,43586844",,"72,39749265"
07/03/2010 10.00,"16,71281686","5,10323316",,"0,34636033",,"87,5516523"
07/03/2010 11.00,"17,11098703","5,50687166",,"0,34567764",,"90,5464665"
07/03/2010 12.00,"17,54287915","5,73140355",,"0,33033925",,"89,59910085"
07/03/2010 13.00,"17,5766011","5,66910486",,"0,29965198",,"89,6031507"
07/03/2010 14.00,"17,34055131","5,88714934",,"0,29641328",,"90,5572794"
07/03/2010 15.00,"16,79452618","5,23302163",,"0,3113148",,"94,9522245"
07/03/2010 16.00,"18,7503626","7,26419086",,"0,33070389",,"93,22640985"
07/03/2010 17.00,"28,18714376","16,39990467",,"0,38636759",,"81,2119413"
07/03/2010 18.00,"38,00782584","26,91654328",,"0,37730972",,"62,29688745"
07/03/2010 19.00,"61,99147584","50,01350328",,"0,50206374",,"49,13232135"
07/03/2010 20.00,"61,47139272","49,9421092",,"0,70114127",,"55,63825575"
07/03/2010 21.00,"41,53429952","29,82377752",,"0,44981349",,"68,8176846"
07/03/2010 22.00,"33,32445832","22,23382584",,"0,48044484",,"77,99139285"
07/03/2010 23.00,"26,0575008","15,40443908",,"0,5116214",,"80,16454635"
08/03/2010 0.00,"19,73734656","8,96570069",,"0,44239477",,"78,3981933"
08/03/2010 1.00,"15,17719788","4,41536057",,"0,3876421",,"78,8833773"
08/03/2010 2.00,"13,28361426","2,76317078",,"0,32654251",,"79,17933555"
08/03/2010 3.00,"11,95291771","1,58600018",,"0,34963747",,"78,3603681"
08/03/2010 4.00,"12,41464086","2,28814776",,"0,46000841",,"71,4408702"
08/03/2010 5.00,"11,86342655","1,49644592",,"0,45673126",,"73,5532161"
08/03/2010 6.00,"13,65584625","3,16551102",,"0,4743915",,"73,1018274"
08/03/2010 7.00,"17,39113327","7,01370165",,"0,48208283",,"71,26385385"
08/03/2010 8.00,"21,43768816","9,71976481",,"0,50907238",,"73,55726595"
08/03/2010 9.00,"48,44069208","27,20468168",,"0,64151774",,"64,90926015"
08/03/2010 10.00,"41,58229072","24,97624568",,"0,67260343",,"66,8269938"
08/03/2010 11.00,"34,13376968","20,28052664",,"0,55385848",,"71,6746842"
08/03/2010 12.00,"35,674574","20,79061",,"0,53246675",,"71,4233142"
08/03/2010 13.00,"37,16348664","20,59981152",,"0,54470973",,"72,5139408"
08/03/2010 14.00,"50,9542264","26,55444872",,"0,5993261",,"69,69614295"
08/03/2010 15.00,"30,39070464","15,9573283",,"0,50989138",,"75,4722864"
08/03/2010 16.00,"29,07945504","14,31941732",,"0,4774403",,"76,67644845"
08/03/2010 17.00,"29,59825712","15,7496698",,"0,47489128",,"74,8735869"
08/03/2010 18.00,"34,5993608","21,42526016",,"0,49396233",,"69,86100975"
08/03/2010 19.00,"36,4825852","22,86979528",,"0,53747275",,"70,4597292"
08/03/2010 20.00,"33,8640056","20,7231164",,"0,55836353",,"72,55178595"
08/03/2010 21.00,"34,57863472","21,46030712",,"0,58107521",,"72,8909958"
08/03/2010 22.00,"31,24152552","19,5044076",,"0,60233063",,"74,2316358"
08/03/2010 23.00,"25,11331696","13,5796301",,"0,58002904",,"76,57103265"
09/03/2010 0.00,"23,13152896","11,60686292",,"0,51899469",,"73,61807355"
09/03/2010 1.00,"23,62308504","13,1188859",,"0,52099732",,"68,6811867"
09/03/2010 2.00,,,,"0,50097097",,"76,38992655"
09/03/2010 3.00,"24,87336096","14,3791157",,,,"73,8667503"
09/03/2010 4.00,"20,63355832","10,20516234",,"0,37703594",,"74,38570965"
09/03/2010 5.00,"19,98636544","9,47706318",,"0,36587874",,
09/03/2010 6.00,"22,59718232","11,94950097",,"0,38558122",,"64,0470411"
09/03/2010 7.00,"38,76524552","26,06644896",,"0,42467046",,"54,8341311"
09/03/2010 8.00,"62,54270544","43,12179488",,"0,49294179",,"45,31309335"
09/03/2010 9.00,"83,1542184","47,62541528",,"0,65071075",,"47,4200328"
09/03/2010 10.00,"42,13738256","23,58362136",,"0,50407803",,"67,99736055"
09/03/2010 11.00,"18,9513941","7,13959538",,"0,34615179",,"82,5971895"
09/03/2010 12.00,"16,20699534","4,68142493",,"0,2946285",,"86,5812843"
09/03/2010 13.00,"17,20307278","5,39525483",,"0,28308335",,"88,7017299"
09/03/2010 14.00,"21,59592528","8,90080741",,"0,40112581",,"86,32450785"
09/03/2010 15.00,"16,77377333","5,4770196",,"0,30569833",,"90,9613866"
09/03/2010 16.00,"15,73619402","4,95138212",,"0,3333799",,"90,1464291"
09/03/2010 17.00,"17,72186147","7,23044597",,"0,42889825",,"85,2135921"
09/03/2010 18.00,"17,1680545","6,79695733",,"0,45016998",,"84,12162885"
09/03/2010 19.00,"15,5377571","5,17851051",,"0,4147167",,"87,63949215"
09/03/2010 20.00,"14,4353285","4,06234036",,"0,40353503",,"90,7600113"
09/03/2010 21.00,"13,00995162","2,62299823",,"0,386081",,"91,98037275"
09/03/2010 22.00,"13,26415966","2,8747876",,"0,40539903",,"89,79911955"
09/03/2010 23.00,"12,44965914","2,09216967",,"0,40389851",,"91,2275994"
10/03/2010 0.00,,,,"0,38903544",,"92,71962"
10/03/2010 1.00,,,,"0,37971777",,"92,3114829"
10/03/2010 2.00,,,,"0,36430832",,"92,5223145"
10/03/2010 3.00,,,,"0,35140012",,"92,38850985"
10/03/2010 4.00,,,,"0,36335418",,"88,1016738"
10/03/2010 5.00,,,,"0,36689928",,"83,3161476"
10/03/2010 6.00,,,,"0,37344425",,"75,58446525"
10/03/2010 7.00,"11,58068764","1,21091549",,"0,39526237",,"71,66792115"
10/03/2010 8.00,"13,99435629","3,58342451",,"0,386081",,"68,7082389"
10/03/2010 9.00,"15,3432111","4,06104211",,"0,42448872",,"69,1988094"
10/03/2010 10.00,"13,68178635","3,13306247",,"0,40753448",,"69,3569331"
10/03/2010 11.00,"12,62085962","2,08697859",,"0,40262633",,"70,7394681"
10/03/2010 12.00,"12,3251497","1,94291513",,"0,40239799",,"71,69631"
10/03/2010 13.00,"14,70509831","3,84689238",,"0,41494388",,"73,3099458"
10/03/2010 14.00,"26,87719432","14,37652302",,"0,47098737",,"80,61729165"
10/03/2010 15.00,"25,49720832","14,85803728",,"0,40153473",,"78,21439395"
10/03/2010 16.00,"19,59597328","8,95272203",,"0,43198899",,"75,2911803"
10/03/2010 17.00,"23,27290224","12,87488602",,"0,49612341",,"71,2435647"
10/03/2010 18.00,"29,06779184","17,67571726",,"0,45267007",,"66,553998"
10/03/2010 19.00,"40,0829768","29,63171712",,"0,50907821",,"54,09759705"
10/03/2010 20.00,"44,1062072","32,91662872",,"0,64493818",,"44,7954906"
10/03/2010 21.00,"59,89946104","47,98881",,"0,74988953",,"24,9141585"
10/03/2010 22.00,"75,18819544","58,84290896",,"0,90206766",,"23,30592915"
10/03/2010 23.00,"30,67215104","20,25848128",,"0,69430039",,"54,7422414"
11/03/2010 0.00,"26,99262176","16,4712911",,"0,59966628",,"52,27041645"
11/03/2010 1.00,"25,99006456","15,46284494",,"0,60048411",,"45,20903415"
11/03/2010 2.00,,,,"0,62175701",,"35,18256315"
11/03/2010 3.00,"26,62817544","15,78211835",,,,"47,5565307"
11/03/2010 4.00,"20,0862292","9,63929638",,"0,52315141",,"48,9796041"
11/03/2010 5.00,"18,4326035","8,07665893",,"0,53376223",,
11/03/2010 6.00,"29,1793188","18,62965422",,"0,55226243",,"20,9543628"
11/03/2010 7.00,"42,44867528","29,37862568",,"0,58613597",,"13,95922647"
11/03/2010 8.00,"94,69470624","46,13155056",,"0,73541324",,"13,71056169"
11/03/2010 9.00,"55,20831168","33,23201312",,"0,66635204",,"55,330128"
11/03/2010 10.00,"37,70175288","20,85030264",,"0,57162589",,"73,47347595"
11/03/2010 11.00,"22,29887208","9,27459385",,"0,43930752",,"95,2495593"
11/03/2010 12.00,"18,99938148","6,38293476",,"0,27634616",,"102,5730248"
11/03/2010 13.00,"17,3431459","5,26027528",,"0,24146955",,"103,6582449"
11/03/2010 14.00,"24,54394248","10,9981586",,"0,33433287",,"102,9339203"
11/03/2010 15.00,"20,7243592","8,889127",,"0,42066985",,"97,23755685"
11/03/2010 16.00,"21,89811688","10,04552946",,"0,40026488",,"93,44534115"
11/03/2010 17.00,"22,49471824","11,49265342",,"0,35564538",,"92,8128663"
11/03/2010 18.00,"32,14421896","21,65238664",,"0,44801357",,"81,70927485"
11/03/2010 19.00,"51,34461856","40,31708208",,"0,61515728",,"58,8087696"
11/03/2010 20.00,"38,8767916","28,19496384",,"0,53920394",,"70,79758245"
11/03/2010 21.00,"47,96081832","36,47019544",,"0,61610909",,"62,5171953"
11/03/2010 22.00,"39,02206536","27,84323232",,"0,51993135",,"71,65036515"
11/03/2010 23.00,"33,02742912","22,56997456",,"0,52673378",,"66,7729293"
12/03/2010 0.00,"30,7084408","19,70168776",,"0,48406333",,"66,0580011"
12/03/2010 1.00,"18,15375359","7,7573817",,"0,36852329",,"82,55663115"
12/03/2010 2.00,"16,40543226","5,87546702",,"0,34294804",,"85,8758124"
12/03/2010 3.00,"14,98394822","4,58019026",,"0,32630602",,"86,9677956"
12/03/2010 4.00,"13,05404998","2,59834108",,"0,32263277",,"87,7894962"
12/03/2010 5.00,"13,82445214","3,29919042",,"0,33356164",,"82,6066458"
12/03/2010 6.00,"18,53247108","8,12208422",,"0,35088402",,"62,9239758"
12/03/2010 7.00,"40,9065708","27,69786296",,"0,4177224",,"45,9996327"
12/03/2010 8.00,"65,30785896","44,47935312",,"0,48320123",,"45,4847232"
12/03/2010 9.00,"68,93029592","41,37485784",,"0,60971557",,"54,6543816"
12/03/2010 10.00,"28,50879952","13,40831682",,"0,47045962",,"89,33556135"
12/03/2010 11.00,"15,09419222","6,18695667",,"0,4024411",,"90,8357016"
12/03/2010 12.00,"9,67413302","6,97087094",,"0,3528785",,"97,8267801"
12/03/2010 13.00,"11,51065108","9,20321124",,"0,37314834",,"99,8661489"
12/03/2010 14.00,"31,4905444","22,11704088",,"0,44652819",,"95,0711664"
12/03/2010 15.00,"20,45587616","16,78537726",,"0,40879035",,"104,8042926"
12/03/2010 16.00,"24,38960584","19,73023392",,"0,37963273",,"104,8759929"
12/03/2010 17.00,"22,40781784","19,09168902",,"0,34861577",,"104,9475735"
12/03/2010 18.00,"22,29109024","20,53491824",,"0,37927041",,"98,3335899"
12/03/2010 19.00,"50,86604496","48,95702768",,"0,51240428",,"59,0614962"
12/03/2010 20.00,"68,60865928","64,3069652",,"0,61162034",,"42,7372092"
12/03/2010 21.00,"119,1076576","109,9725422",,"0,86392206",,"14,38899735"
12/03/2010 22.00,"104,613971","97,75182216",,"0,84324448",,"30,7700421"
12/03/2010 23.00,"76,13629888","74,10590784",,"0,72743299",,"33,79595835"
13/03/2010 0.00,"84,24755736","81,9074032",,"0,75259932",,"21,5868576"
13/03/2010 1.00,"40,972726","39,90825824",,"0,70557643",,"35,05145175"
13/03/2010 2.00,,,,"0,56074246",,"65,2079316"
13/03/2010 3.00,"24,10167776","22,36881304",,,,"81,29842455"
13/03/2010 4.00,"17,25106015","15,63027305",,"0,30303631",,"89,2788036"
13/03/2010 5.00,"15,84513978","14,50631532",,"0,29349845",,
13/03/2010 6.00,"19,91502872","18,69973666",,"0,34056795",,"74,503275"
13/03/2010 7.00,"33,57345808","31,00615832",,"0,4102897",,"40,6586586"
13/03/2010 8.00,"73,70316416","57,24004112",,"0,59102081",,"34,16220045"
13/03/2010 9.00,"64,97322072","46,31066672",,"0,63912133",,"69,7745265"
13/03/2010 10.00,"22,06931736","17,66663335",,"0,4971055",,"101,845967"
13/03/2010 11.00,"13,91653789","10,41022625",,"0,30701711",,"111,7089677"
