,Comune Modugno,,,,
,Enaip,,,,
Parm,CO,NO2,O3,SO2,PM10



05/01/2010 19.00,"0,57096184","41,35984864","49,6780935","5,98621353",30
05/01/2010 20.00,"0,54369851","41,30604496","47,6820162","6,41515362",30
05/01/2010 21.00,"0,57311593","39,55188056","46,14061935","6,40793089",30
05/01/2010 22.00,"0,56382971","36,33471112","45,7420782","6,24899718",30
05/01/2010 23.00,"0,47846201","24,43694696","51,5780916","5,78935284",30
06/01/2010 0.00,"0,42434892","14,87629879","59,06171565","6,05845511",30
06/01/2010 1.00,,"12,76223098","55,0566933","6,23725897","18,5"
06/01/2010 2.00,"0,4188175","13,52679772","50,3202042","5,89410384","18,5"
06/01/2010 3.00,"0,41895614",,"44,8576947","5,97086192","18,5"
06/01/2010 4.00,"0,37647907","8,17612882",,"5,71169066","18,5"
06/01/2010 5.00,"0,34844451","6,99717814","51,3013452",,"18,5"
06/01/2010 6.00,"0,35547878","8,17612882","53,4286935","5,95189894","18,5"
06/01/2010 7.00,"0,38374984","13,03524355","49,91623665","6,05936024","18,5"
06/01/2010 8.00,"0,39979189","21,630934","45,5045934","6,13431314","18,5"
06/01/2010 9.00,"0,43511702","19,12648168","46,44984435","5,96093091","18,5"
06/01/2010 10.00,"0,42458658","16,59349276","53,7900279","6,06026334","18,5"
06/01/2010 11.00,"0,4359465","18,44816718","59,4426609","5,74510419","18,5"
06/01/2010 12.00,"0,41073706","17,09607152","66,0777516","6,21739085","18,5"
06/01/2010 13.00,"0,50703014","26,86941248","52,8474702","5,84263246","18,5"
06/01/2010 14.00,"0,51837025","31,82451344","48,3782712","6,09728824","18,5"
06/01/2010 15.00,"0,48705621","22,05440376","48,19219755","6,1740453","18,5"
06/01/2010 16.00,"0,41585374","14,52935874","53,3326143","5,81554161","18,5"
06/01/2010 17.00,"0,61500001","41,57645912","28,17452715","6,27337772","18,5"
06/01/2010 18.00,"0,64257905","56,8716752","22,95696375","6,19752274","18,5"
06/01/2010 19.00,"0,52670815","45,45181544","32,72085285","6,29866441","18,5"
06/01/2010 20.00,"0,75536969","72,78748824","11,54006354","6,86396183","18,5"
