,Comune Lecce,,,,,,,
,Piazza_Libertini,,,,,,,
Parm,O3,NOX,NO2,CO,Benzene,"PM2,5",PM10,BENZENE



04/01/2010 0.00,,"27,55681472","21,37803376","0,51661692",,,"15,62880993",
04/01/2010 1.00,,"25,55688184","19,8916832","0,42256764",,,,
04/01/2010 2.00,,"11,8647248","8,72474854","0,32657979",,,"8,79120922",
04/01/2010 3.00,,"6,81819582","4,65873331",,,,,
04/01/2010 4.00,,"5,73911274","3,97003856","0,26115339",,,"5,86080599",
04/01/2010 5.00,,"6,01536806","4,25407763","0,25252657",,,,
04/01/2010 6.00,,"22,54140928","18,13040807","0,3148762",,,"3,90720391",
04/01/2010 7.00,,"95,4676896","57,83987376","0,52707979",,,,
04/01/2010 8.00,,"199,2579328","79,73539032","1,04990732",,,"6,83760691",
04/01/2010 9.00,,"125,4887855","60,08752536","0,86695223",,,,
04/01/2010 10.00,,"81,72366","46,73258776","0,6985608",,,"14,16361046",
04/01/2010 11.00,,"78,04933136","43,3371052","0,74827135",,,,
04/01/2010 12.00,,"70,43479136","41,261916","0,6634943",,,"22,46640968",
04/01/2010 13.00,,"73,74337352","41,61471824","0,7232355",,,,
04/01/2010 14.00,,"85,17361544","48,61579304","0,76728881",,,"20,51280975",
04/01/2010 15.00,,"65,84868728","41,24507128","0,54252652",,,,
04/01/2010 16.00,,"81,08292968","50,7804256","0,64427529",,,"14,16361046",
04/01/2010 17.00,,"100,1173294","59,61283312","0,87742325",,,,
04/01/2010 18.00,,"116,9572694","65,99266088","0,82594772",,,"15,14041042",
04/01/2010 19.00,,"93,61433064","58,4702028","0,78698896",,,,
04/01/2010 20.00,,"47,5833704","33,9742324","0,50601659",,,"15,62880993",
04/01/2010 21.00,,"35,87040104","27,05229528","0,43600358",,,,
04/01/2010 22.00,,"15,23556168","11,68185156","0,31295046",,,"15,62880993",
04/01/2010 23.00,,"19,14462656","12,23954946","0,28979958",,,,
05/01/2010 0.00,,"8,16575239","6,10226463","0,26957867",,,"12,21000957",
05/01/2010 1.00,,"5,58607052","3,62504493","0,25714113",,,,
05/01/2010 2.00,,"5,94662974","3,87925106","0,28004969",,,"9,76801014",
05/01/2010 3.00,,"6,32015806","4,50050193","0,25268734",,,,
05/01/2010 4.00,,"5,5562395","3,8481237","0,21031862",,,"6,83760691",
05/01/2010 5.00,,"4,27353223","2,60691831","0,20594521",,,,
05/01/2010 6.00,,"14,10849122","10,05544509","0,30877743",,,"10,7448101",
05/01/2010 7.00,,"28,48933536","19,1524084","0,32602991",,,,
05/01/2010 8.00,,"73,3244352","42,520012","0,48475184",,,"20,02441978",
05/01/2010 9.00,,"103,3208854","54,5222096","0,69852119",,,,
05/01/2010 10.00,,"53,45995976","32,22591872","0,54722147",,,"25,39682007",
05/01/2010 11.00,,"62,62700552","39,9688304","0,64700372",,,,
05/01/2010 12.00,,"58,47280312","34,66681616","0,58810482",,,"22,46640968",
05/01/2010 13.00,,"64,2106004","39,34502128","0,61819677",,,,
05/01/2010 14.00,,"41,46686328","27,77988776","0,44049699",,,"21,0012207",
05/01/2010 15.00,,"24,6360244","16,64277838","0,37594084",,,,
05/01/2010 16.00,,"27,290932","19,20818144","0,39732675",,,"19,53602028",
05/01/2010 17.00,,"32,11047216","22,75411928","0,44029661",,,,
05/01/2010 18.00,,"46,14503016","32,06250008","0,52776248",,,"15,62880993",
05/01/2010 19.00,,"41,556364","28,57883608","0,45357644",,,,
05/01/2010 20.00,,"37,76788896","24,88244296","0,43110825",,,"29,30401993",
05/01/2010 21.00,,"30,95357832","19,99934792","0,38332345",,,,
05/01/2010 22.00,,"16,24201362","10,0269104","0,29144456",,,"29,7924099",
05/01/2010 23.00,,"15,10716132","8,14370321","0,30508671",,,,
06/01/2010 0.00,,"18,80353914","12,23695678","0,26376066",,,"29,30401993",
06/01/2010 1.00,,"17,61680663","10,15141984","0,2829785",,,,
06/01/2010 2.00,,"19,55448288","10,19032904","0,28626963",,,"40,53723145",
06/01/2010 3.00,,"10,26425652","6,4900603",,,,,
06/01/2010 4.00,,"8,65082106","5,14509831","0,21218378",,,"40,04883957",
06/01/2010 5.00,,"5,44080823","3,39029148","0,1850719",,,,
06/01/2010 6.00,,"7,09445114","5,14250564","0,2404828",,,"42,49084091",
06/01/2010 7.00,,"34,60196112","25,97320072","0,28295171",,,,
06/01/2010 8.00,,"47,39922568","34,74723488","0,31093384",,,"46,39804077",
06/01/2010 9.00,,"52,89320472","35,92359288","0,49339498",,,,
