,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



04/01/2010 4.00,"9,851819","8,3232553","8,79120922",,,"64,2562368"
04/01/2010 5.00,"9,10087144","7,72363681",,,,"64,56751665"
04/01/2010 6.00,"14,01510914","12,61012182","4,88400507",,,"51,5571042"
04/01/2010 7.00,"39,44744712","34,74272256",,,,"22,40754075"
04/01/2010 8.00,"76,92614608","56,18358464","1,95360196",,"0,00088072","7,63112637"
04/01/2010 9.00,"149,4594339","69,15191584",,,"0,11498304","4,94893266"
04/01/2010 10.00,"147,7798758","66,81443848","24,42000961",,"1,44345658","18,13390362"
04/01/2010 11.00,"48,45755592","34,62591848",,,"0,21388629","38,9865294"
04/01/2010 12.00,"40,74053272","26,78935704","21,0012207",,"0,04757933","49,57321635"
04/01/2010 13.00,"62,11728544","37,17884",,,"0,34472944","42,55779885"
04/01/2010 14.00,"75,78609696","45,07249376","28,81562042",,"0,32622614","39,3099588"
04/01/2010 15.00,"47,560044","34,54156104",,,"0,4678617","47,1873759"
04/01/2010 16.00,"44,98813632","34,07562576","31,25761986",,"0,28701672","47,2239243"
04/01/2010 17.00,"55,6531576","41,74863472",,,"0,41037069","41,5469124"
04/01/2010 18.00,"68,92899576","52,09787008","37,11843109",,"0,98330374","33,13764825"
04/01/2010 19.00,"63,53229928","48,88175224",,,"3,13009514","29,468943"
04/01/2010 20.00,"35,30104568","28,90228912","30,76922989",,"2,49041943","46,070934"
04/01/2010 21.00,"25,91484648","19,49662576",,,"1,73708177","57,9459321"
04/01/2010 22.00,"17,31850404","13,87555034","21,0012207",,"1,61130531","63,4361721"
04/01/2010 23.00,"8,35900206","6,89170075",,,"0,72382026","70,0455672"
05/01/2010 0.00,"6,79225572","4,90595682","12,21000957",,"1,53729313","73,06609695"
05/01/2010 1.00,"3,97911865","2,81897823",,,"1,48729029","77,25719295"
05/01/2010 2.00,"4,53811479","2,81119066","9,27960968",,"1,56042175","75,3071004"
05/01/2010 3.00,"3,3617587","2,21676515",,,"0,64914805","72,0727665"
05/01/2010 4.00,"3,36046046","2,11942523","4,88400507",,"1,75228083","80,6403738"
05/01/2010 5.00,"2,90651915","1,87282886",,,"1,69346772","82,34009385"
05/01/2010 6.00,"5,66518526","4,49712725","13,67521",,"1,85228447","80,44548225"
05/01/2010 7.00,"5,45766825","4,20121274",,,"1,81241502","79,8730569"
05/01/2010 8.00,"11,36279421","7,82746606","14,65200996",,"1,43618706","76,01079675"
05/01/2010 9.00,"20,21852048","12,97741702",,,"0,86523716","74,91737715"
05/01/2010 10.00,"16,71670586","11,00854458","18,07081032",,"0,87911412","75,2218341"
05/01/2010 11.00,"15,97354014","11,37714186",,,"0,84607281","72,5112276"
05/01/2010 12.00,"19,40142728","12,79052858","20,02441978",,"0,93638546","72,48148215"
05/01/2010 13.00,"15,57926089","10,77492878",,,"0,97757701","75,3531051"
05/01/2010 14.00,"13,47556759","8,20514724","24,90842056",,"0,79673102","78,61722435"
05/01/2010 15.00,"15,58055722","11,69122801",,,"1,36547912","75,97560495"
05/01/2010 16.00,"12,8633949","8,84629629","26,86202049",,"1,20489889","81,2506842"
05/01/2010 17.00,"10,72468333","7,49651033",,,"1,09079759","81,8258427"
05/01/2010 18.00,"12,68959984","9,13053038","25,88521957",,"0,97052819","80,249274"
05/01/2010 19.00,"11,59365674","8,10261624",,,"0,97955915","80,6877351"
05/01/2010 20.00,"8,98544018","6,63342397","21,48962021",,"0,89739673","82,1154369"
05/01/2010 21.00,"8,50815335","5,596424",,,"1,89325635","81,1532484"
