,Comune Lecce,,,,,
,SAN PIETRO IN LAMA,,,,,
Parm,NOX,NO2,PM10,CO,BENZENE,O3



20/02/2010 17.00,"7,55876887","5,08765801",,"0,21726668","0,00220282","90,69387705"
20/02/2010 18.00,"10,50549356","7,09936116","82,05126953","0,20658829","0,17974356","89,54898645"
20/02/2010 19.00,"11,98793599","9,05784953",,"0,2348209",,"86,7152286"
20/02/2010 20.00,"20,9993048","15,73540054","58,11965179","0,25340032","0,00947132","79,3046814"
20/02/2010 21.00,"20,42864928","15,03194515",,"0,27632402","0,00176246","80,505033"
20/02/2010 22.00,"14,55594702","11,82361489","42,97924042","0,28609022","0,00352391","79,3101078"
20/02/2010 23.00,"20,9305684","17,60433274",,"0,2793472","0,17269474","69,1199271"
21/02/2010 0.00,"11,71557159","9,05395478","30,76922989","0,23489546","0,00044036","80,90560905"
21/02/2010 1.00,"7,62750718","5,89234042",,"0,22528304",,"85,7895885"
21/02/2010 2.00,,,"18,07081032","0,19059866",,
21/02/2010 3.00,"14,70380198","13,07605328",,,,"90,1336212"
21/02/2010 4.00,"9,56518917","8,08574284","19,53602028","0,2016883",,"88,475856"
21/02/2010 5.00,"6,02574448","4,75799862",,"0,21465009",,"92,1946557"
21/02/2010 6.00,"6,19435038","4,8683191","14,65200996","0,21070889",,"87,62460945"
21/02/2010 7.00,"5,6924217","4,3621477",,"0,22714704",,"90,7750536"
21/02/2010 8.00,"6,94140893","5,5821471","13,18680954","0,23654393",,"85,9600812"
21/02/2010 9.00,"18,81391366","14,91903773",,"0,44225614",,"71,5774878"
21/02/2010 10.00,"16,98647759","12,84763429","9,27960968","0,33043012",,"78,9447036"
21/02/2010 11.00,"10,25647468","7,68210626",,"0,29137466",,"89,5692756"
21/02/2010 12.00,"11,09302439","8,1869775","11,72161007","0,33154502",,"92,4950628"
21/02/2010 13.00,"12,1889675","8,76712802",,"0,41577103","0,06035488","93,29080845"
21/02/2010 14.00,"15,06695578","11,71718723","6,83760691","0,34716651",,"96,401991"
21/02/2010 15.00,"15,53905344","12,13121171",,"0,37751942","0,00616811","98,06244945"
21/02/2010 16.00,"20,07196568","15,92228707","21,97801971","0,37575561","0,00550706","92,11208265"
21/02/2010 17.00,"19,95135672","15,64195154",,"0,39571672","0,02929672","91,2216543"
21/02/2010 18.00,"23,15229328","18,3687752","18,55920982","0,50509973","0,01079342","86,3620338"
21/02/2010 19.00,"55,98261432","45,81356584",,"0,7697155","1,28463881","56,0608167"
21/02/2010 20.00,"93,34454744","78,25909688","53,72404099","0,83862875","2,11198763","21,46701795"
21/02/2010 21.00,"75,63047928","66,14084088",,"0,90656805","3,46975789","29,7950856"
21/02/2010 22.00,"50,3705884","44,83368496","61,53845978","0,68399247","3,88409284","36,11757975"
21/02/2010 23.00,"38,48251808","35,23722312",,"0,64383492","2,20009746","38,2232823"
22/02/2010 0.00,"32,55923768","29,62133496","63,49206161","0,54084776","3,73893236","52,97125995"
22/02/2010 1.00,"23,98883152","21,20851584",,"0,54947458","0,45839038","51,29996865"
22/02/2010 2.00,"16,68687675","15,01767398","45,90964127","0,5115748","0,67029453","51,5083863"
22/02/2010 3.00,"12,48467742","11,26811962",,"0,482663","0,34142521","52,9767063"
22/02/2010 4.00,"8,86741624","7,61201998","29,30401993","0,39881795","0,04141122","67,39722465"
22/02/2010 5.00,"5,98294436","4,78395593",,"0,36648221",,"78,36685185"
22/02/2010 6.00,"6,2176959","5,15385145","27,35042","0,34703486",,"85,6285521"
22/02/2010 7.00,"11,07616438","8,98127584",,"0,36129097",,"82,560681"
22/02/2010 8.00,"24,95117936","20,87366728","20,51280975","0,40560291",,"66,62719455"
22/02/2010 9.00,"36,39050328","28,32345024",,"0,4208947",,"60,35611155"
22/02/2010 10.00,"29,90563024","21,85484832","25,88521957","0,42390389",,"66,83152245"
22/02/2010 11.00,"28,08337952","20,46094296",,"0,49609894","0,93638546","73,0119327"
22/02/2010 12.00,"29,79280312","24,04307496","12,21000957","0,44224565","0,14780366","69,9968493"
22/02/2010 13.00,"30,8316692","22,55441088",,"0,45473562","0,11101775","75,61566705"
22/02/2010 14.00,"28,5243632","21,4758708","10,25640965","0,45699339","0,13767129","80,5172025"
22/02/2010 15.00,"16,43007603","11,69901941",,"0,42352876","0,19009662","91,07412405"
22/02/2010 16.00,"14,69861472","10,58543619","4,88400507","0,43948227","0,20265251","91,0876701"
22/02/2010 17.00,"12,85172214","8,89042525",,"0,42841827","0,1793032","91,24465665"
22/02/2010 18.00,"14,39382471","9,78855092","16,60560989","0,41456525","0,21939334","91,4314086"
22/02/2010 19.00,"19,16409072","14,5738051",,"0,43005276","0,59760344","87,24978885"
22/02/2010 20.00,"23,35850248","18,04171039","26,37360954","0,44695342","0,63196685","81,4374561"
22/02/2010 21.00,"27,89921568","23,12158656",,"0,46190852","1,10357314","76,95538935"
22/02/2010 22.00,"20,8320048","17,36033095","38,0952301","0,43345107","1,06238159","75,56152275"
22/02/2010 23.00,"13,14354114","11,16948336",,"0,46151941","1,13331022","76,1623968"
23/02/2010 0.00,"8,46924415","6,97346743","41,02563095","0,44227245","1,05819664","78,4277592"
23/02/2010 1.00,"7,19820965","5,61199915",,"0,39539518","0,41323456","79,0245435"
23/02/2010 2.00,,,"39,56044006","0,38728794","0,34605052",
23/02/2010 3.00,"10,40692422","9,23825438",,,"0,31234918","72,65061825"
23/02/2010 4.00,"12,02814344","10,88654369","34,67642975","0,26266556","0,10617175","65,59059255"
23/02/2010 5.00,"8,87649442","7,7431067",,"0,25391991","0,11652481","68,2132395"
23/02/2010 6.00,"9,34470306","8,42708455","37,11843109","0,25415291","0,27644399","63,41588295"
23/02/2010 7.00,"17,04095047","14,64648404",,"0,29318157","0,11586376","58,7903757"
23/02/2010 8.00,"30,98600584","22,96843536","21,97801971","0,32408553",,"56,65490775"
23/02/2010 9.00,"37,0934692","24,84645912",,"0,31530026","0,03656522","60,3967098"
23/02/2010 10.00,"28,38817144","19,73283424","20,02441978","0,37504845","0,27358012","63,33600315"
23/02/2010 11.00,"27,48029648","19,63159384",,"0,29858484","0,94299393","60,9244671"
23/02/2010 12.00,"27,72283368","18,97488685","22,95482063","0,29259907","1,04564075","73,47746595"
23/02/2010 13.00,"26,4076836","18,16760603",,"0,27479438","0,88814508","82,20610965"
23/02/2010 14.00,"22,8462012","16,13903904","23,93161964","0,31296793","0,53284291","83,08031865"
23/02/2010 15.00,"31,99764504","24,240336",,"0,29613601","0,65289264","72,4557666"
23/02/2010 16.00,"48,17610952","34,76738736","25,39682007","0,33901384","0,34605052","64,04650245"
23/02/2010 17.00,"36,99618664","27,03726696",,"0,31281299","1,02141073","74,62235655"
23/02/2010 18.00,"34,66681616","28,17679984","24,42000961","0,33792456","1,10731774","66,33624375"
23/02/2010 19.00,"48,73770216","38,8621648",,"0,42950987","1,18221063","52,7926476"
23/02/2010 20.00,"47,35253464","37,92381256","34,18803024","0,48175546","1,6861982","51,6301611"
23/02/2010 21.00,"48,66506528","41,10880304",,"0,42535082","1,44984435","52,83867225"
23/02/2010 22.00,"30,32975008","26,55704904","37,6068306","0,35304626","0,9284549","71,3000631"
23/02/2010 23.00,"21,3974788","18,9969475",,"0,34119006","0,32975005","68,38510875"
24/02/2010 0.00,"13,29788161","11,43165298","34,18803024","0,3747374","0,40596504","67,6908687"
24/02/2010 1.00,"14,27320619","11,64969746",,"0,34173411","0,74210388","64,227828"
24/02/2010 2.00,"9,27985376","7,04744654","21,97801971","0,28976113","0,14758399","66,03041025"
24/02/2010 3.00,"6,29162338","5,33165789",,"0,25403641","0,1486854","66,20768595"
24/02/2010 4.00,"8,12295227","7,12402022","19,53602028","0,24089754","0,11013703","63,05183535"
24/02/2010 5.00,"7,02311825","6,00655182",,"0,23001294","0,23150785","65,7475791"
24/02/2010 6.00,"5,33575339","4,02859547","16,60560989","0,22495917","0,32071909","90,41509575"
24/02/2010 7.00,"11,99312516","10,06240286",,"0,23879821","0,15198963","80,39409105"
24/02/2010 8.00,"37,9105624","31,14892736","20,02441978","0,28575703",,"56,78482215"
24/02/2010 9.00,"53,60007112","39,5539264",,"0,33982934","0,00815024","60,06380415"
24/02/2010 10.00,"23,31571192","16,32852971","8,79120922","0,26348339","0,5011237","78,65105955"
24/02/2010 11.00,"12,74536906","9,29665833",,"0,23401705","0,15991918","86,30383965"
24/02/2010 12.00,"16,43785596","12,79441568","2,93040299","0,32669047","0,05947416","83,36045655"
24/02/2010 13.00,"19,22634544","14,99690393",,"0,31324054","0,22886466","80,3277573"
24/02/2010 14.00,"51,34461856","38,13795656","5,37240601","0,42344605","0,06740371","59,8662393"
24/02/2010 15.00,"31,59040816","23,10990424",,"0,31230738","1,19300405","77,28695835"
24/02/2010 16.00,"27,74487904","20,5790472","2,93040299","0,32579575","0,6251377","80,46850455"
24/02/2010 17.00,"38,05579792","31,2786948",,"0,36447491","1,25798527","65,1845901"
24/02/2010 18.00,"69,20136016","53,41780016","11,72161007","0,46671182","2,49240156","43,95034875"
24/02/2010 19.00,"175,9605378","101,1003269",,"0,70480986","3,3320866","7,46467155"
24/02/2010 20.00,"96,2160464","74,1123704","38,0952301","0,77431492","4,13102044","15,70612628"
24/02/2010 21.00,"163,7002202","87,31562904",,"0,84016655","5,9872702","6,47678147"
24/02/2010 22.00,"144,7799669","74,96248384","53,72404099","0,89435536","5,68615582","9,59472906"
24/02/2010 23.00,"42,95189456","36,2690148",,"0,58057076","5,71302903","32,14302105"
25/02/2010 0.00,"36,00919312","32,72192976","44,93283081","0,62873536","4,20459225","24,08425845"
25/02/2010 1.00,"41,11279912","35,14118336",,"0,62099976","3,21402002","19,51559873"
25/02/2010 2.00,,,"30,76922989","0,4618526","2,75034226",
25/02/2010 3.00,"24,93043416","23,44085232",,,"1,64126206","34,4990562"
25/02/2010 4.00,"14,35232093","13,3252538","22,46640968","0,34815559","1,39918148","48,88709595"
25/02/2010 5.00,"12,7661219","11,78596761",,"0,33525788","1,16194589","50,15376135"
25/02/2010 6.00,"15,22129434","13,7094224","25,39682007","0,35277598","0,81633573","42,104475"
25/02/2010 7.00,"23,19120248","20,3830672",,"0,31553676","1,12207644","41,20183725"
25/02/2010 8.00,"48,57688384","36,51820576","21,0012207","0,40452412","0,1707126","24,621492"
25/02/2010 9.00,"51,9931116","37,21386784",,"0,53172697","1,07273465","45,01671615"
25/02/2010 10.00,"31,79921768","22,75817272","11,23320961","0,39573186","3,85061117","72,3705003"
25/02/2010 11.00,"28,55937192","20,621876",,"0,34496699","1,31745943","78,0583251"
25/02/2010 12.00,"26,38823856","17,8626057","4,88400507","0,31061347","0,52843727","84,7827519"
25/02/2010 13.00,"32,03395392","22,42592448",,"0,32085032","0,54451807","83,80973055"
25/02/2010 14.00,"38,94424696","26,77897488","13,67521","0,37567056","0,89607463","86,15497275"
25/02/2010 15.00,"30,58783184","21,0748288",,"0,34219662","1,37451008","89,40825915"
25/02/2010 16.00,"33,4204216","24,57520368","12,69841003","0,33904646","0,51301853","85,65562425"
25/02/2010 17.00,"34,42427896","26,7543292",,"0,37820677","0,76963814","81,04366305"
25/02/2010 18.00,"37,32822456","29,15278024","17,58241081","0,42251638","1,40600962","80,4075972"
25/02/2010 19.00,"56,94496216","49,84216896",,"0,52721609","1,70271835","56,0581035"
25/02/2010 20.00,"202,5484848","107,5559081","42,00244141","1,15158503","2,71245494","10,87492854"
25/02/2010 21.00,"346,3398712","141,667881",,"1,3436912","6,37693476","5,61880379"
25/02/2010 22.00,"235,007744","106,8563838","61,53845978","1,30922933","7,29834185","6,67435829"
25/02/2010 23.00,"240,578356","99,53510632",,"1,68414497","7,6122328","11,74237848"
26/02/2010 0.00,"70,82776472","59,28549872","93,28449249","0,90895397","9,7711387","10,97371895"
26/02/2010 1.00,"55,41452088","49,64228848",,"0,79296657","5,23943959","17,29216524"
26/02/2010 2.00,"45,70278456","40,02378128","71,79486084","0,65465311","3,45301705","28,8031317"
26/02/2010 3.00,"26,39990176","24,58168536",,"0,49743753","2,675009","48,9736989"
26/02/2010 4.00,"14,47294136","13,56924412","46,39804077","0,43365611","1,08110558","59,31950955"
26/02/2010 5.00,"13,92431973","12,81908239",,"0,42264802","1,21503227","51,7925541"
26/02/2010 6.00,"15,67912656","13,84959112","27,8388195","0,40086718","1,31085096","51,5259822"
26/02/2010 7.00,"20,61799464","17,18512101",,"0,38862303",,"47,83561125"
26/02/2010 8.00,"80,81448488","52,20041064","28,81562042","0,50183191","0,19009662","19,91210897"
26/02/2010 9.00,"82,53295224","53,75784936",,"0,57005547","0,50486829","30,6029808"
26/02/2010 10.00,"60,8371632","41,2749176","32,72283173","0,51467603","1,55205184","44,4104556"
26/02/2010 11.00,"28,2519988","19,42523168",,"0,38288191","1,27296365","77,1624504"
26/02/2010 12.00,"19,05125978","13,29409776","24,42000961","0,33511691","0,57139128","88,1497134"
26/02/2010 13.00,"19,7062192","13,66009854",,"0,36459258","0,20397359","91,86039345"
26/02/2010 14.00,"18,34181409","12,30382707","15,62880993","0,35471338","0,21696983","96,6455805"
26/02/2010 15.00,"14,91650433","10,0039989",,"0,32496627","0,28547495","96,87833715"
26/02/2010 16.00,"18,96825412","13,58482883","21,48962021","0,37592686","1,38420209","91,7210028"
26/02/2010 17.00,"19,18483592","14,26101146",,"0,37179577","1,34058804","87,83572035"
26/02/2010 18.00,"23,33515696","19,04886595","27,35042","0,36863047","1,43266316","82,23316185"
26/02/2010 19.00,"34,04168776","29,23325632",,"0,38232155","1,25534209","68,3038923"
26/02/2010 20.00,"23,4869124","17,84314728","36,63003159","0,40078214","1,52892221","77,75247165"
26/02/2010 21.00,"25,88760048","22,16115072",,"0,38949329","1,46570345","68,92100565"
26/02/2010 22.00,"24,27805976","21,12285824","26,86202049","0,38140353","1,48795134","65,6555298"
26/02/2010 23.00,"22,14193512","19,89896792",,"0,40740866","1,21921723","62,835318"
27/02/2010 0.00,"20,33266688","18,28701617","28,81562042","0,39009326","0,93880796","65,09527395"
27/02/2010 1.00,"15,21481074","12,52575674",,"0,38840401","1,63883957","68,49607065"
27/02/2010 2.00,,,"16,11721039","0,30096727","0,28129",
27/02/2010 3.00,"20,59464912","19,19422384",,,,"71,92391955"
27/02/2010 4.00,"14,14740042","13,04880154","16,11721039","0,15737985",,"64,3915776"
27/02/2010 5.00,"15,10456674","13,84959112",,"0,17578685",,"57,6522681"
27/02/2010 6.00,"15,88404898","14,79184958","14,16361046","0,19362184",,"51,2851059"
27/02/2010 7.00,"33,43470424","28,76992136",,"0,21765113",,"36,93090135"
27/02/2010 8.00,"35,59027392","28,02492968","21,48962021","0,23330756",,"45,6689814"
27/02/2010 9.00,"43,01544944","31,20992016",,"0,31501251","0,00154177","44,0383083"
27/02/2010 10.00,"32,28169176","23,92755192","19,53602028","0,305117","0,35045617","62,6864511"
27/02/2010 11.00,"21,46881552","14,69060726",,"0,20346609","0,34605052","85,38091275"
27/02/2010 12.00,"17,66868684","12,24801388","10,7448101","0,20379578",,"95,04193965"
27/02/2010 13.00,"19,99026592","14,06243687",,"0,20424547",,"97,6713696"
27/02/2010 14.00,"18,28863946","12,1428883","19,04759979","0,21336509",,"96,13539915"
27/02/2010 15.00,"11,58717123","8,00008333",,"0,19633396",,"98,64706425"
27/02/2010 16.00,"11,75707538","8,43487022","16,60560989","0,2178317",,"100,4685791"
27/02/2010 17.00,"16,30556468","10,95144079",,"0,25078955",,"95,40191745"
27/02/2010 18.00,"20,39232128","15,44856422","12,69841003","0,25545538",,"85,30781595"
27/02/2010 19.00,"31,516452","26,824404",,"0,31179711","0,00330423","73,11210165"
27/02/2010 20.00,"41,1011168","35,33974456","16,60560989","0,39700754","0,42248621","63,4997727"
27/02/2010 21.00,"46,70144128","40,69735976",,"0,50492265","0,57954152","49,3241805"
27/02/2010 22.00,"58,23672848","48,9349632","32,23442078","0,52681417","2,30472743","47,36195835"
27/02/2010 23.00,"51,40687328","45,41772448",,"0,43627619","0,95400702","40,0420839"
28/02/2010 0.00,"44,87398992","40,27555344","26,86202049","0,55957863","1,3509411","36,2908056"
28/02/2010 1.00,"40,25159608","36,61036416",,"0,40437034","5,47116812","43,3603275"
28/02/2010 2.00,"57,42353576","44,97385368","25,39682007","0,4615031","0,99674034","26,33745135"
28/02/2010 3.00,"51,88156552","46,0173468",,"0,45850439","0,60112836","26,3482842"
28/02/2010 4.00,"26,8538488","25,1774072","29,30401993","0,40750768","0,30309753","34,3474761"
28/02/2010 5.00,"26,61909344","24,51679208",,"0,37057485","0,10220748","30,0643707"
28/02/2010 6.00,"18,6530896","17,3356738","13,67521","0,36401008","0,03656522","32,0848269"
28/02/2010 7.00,"18,0889062","16,4258639",,"0,33247236","0,14185625","40,3167954"
28/02/2010 8.00,"28,46468968","23,09432144","23,44322014","0,35150497","0,00462532","34,6722621"
28/02/2010 9.00,"27,11585016","20,78150888",,"0,38997793","0,09405725","39,4872345"
28/02/2010 10.00,"27,50882352","20,95932488","16,11721039","0,43800971","0,31961768","52,7019948"
28/02/2010 11.00,"24,32865128","18,49337259",,"0,3840341","0,37248337","64,9288311"
28/02/2010 12.00,"26,58278456","19,93789624","17,09399986","0,3746675","0,3744655","64,93016775"
28/02/2010 13.00,"24,11594128","15,37847986",,"0,37960826","0,57579692","80,1978429"
28/02/2010 14.00,"10,70133781","7,41085082","15,14041042","0,27749485","0,07401218","97,31408505"
28/02/2010 15.00,"6,70017189","4,61133866",,"0,27521844",,"98,4156642"
28/02/2010 16.00,"8,87779266","6,7281693","11,72161007","0,28534578",,"97,8919368"
28/02/2010 17.00,"11,04373877","8,95142378",,"0,29397727",,"95,44113915"
28/02/2010 18.00,"14,3769647","11,4381423","11,72161007","0,3096372",,"91,68447435"
28/02/2010 19.00,"11,99831242","8,98127584",,"0,36500266","0,00418496","95,42489985"
28/02/2010 20.00,"10,32910582","8,2181259","16,60560989","0,31889196","0,2641088","95,5548342"
28/02/2010 21.00,"13,1487284","10,02606147",,"0,37139501","0,52843727","94,30438815"
28/02/2010 22.00,"9,80512796","7,31350898","14,65200996","0,31696155","0,36521487","95,34505995"
28/02/2010 23.00,"6,04909","4,64508354",,"0,30168957","0,48107863","98,0083251"
01/03/2010 0.00,"5,53548856","3,40691441","14,65200996","0,3054898","0,39076598","97,7051649"
01/03/2010 1.00,"4,66132598","3,34072288",,"0,32730792","0,30309753","97,83781245"
01/03/2010 2.00,,,"14,65200996","0,29674414","0,29736978",
01/03/2010 3.00,"13,80888846","12,7710606",,,"0,27776609","98,85274875"
01/03/2010 4.00,"8,5678154","7,35893428","16,60560989","0,23074223","0,26521021","97,3425138"
01/03/2010 5.00,"6,86488686","5,74048746",,"0,23153909","0,30199612","97,5982728"
01/03/2010 6.00,"6,64180618","5,61459374","15,14041042","0,22104594","0,27446186","95,20840245"
01/03/2010 7.00,"7,87782431","6,32193622",,"0,1976306","0,25750033","95,0283936"
01/03/2010 8.00,"12,89841318","9,94040387","19,53602028","0,20777892","0,16828909","89,968515"
01/03/2010 9.00,"22,32091744","16,88660618",,"0,25556256","0,05286569","84,20218695"
01/03/2010 10.00,"20,37157608","15,85999411","18,55920982","0,2241495","0,76501181","83,8476156"
01/03/2010 11.00,"18,36905053","13,5874215",,"0,20510757","0,205075","84,8219736"
01/03/2010 12.00,"26,56722088","19,94957856","24,42000961","0,22393048","1,23661912","76,25574285"
01/03/2010 13.00,"38,19979064","30,5012756",,"0,25223881","0,91369721","61,7662374"
01/03/2010 14.00,"36,00919312","27,3422692","31,74603081","0,26471247","1,12890458","68,7599493"
01/03/2010 15.00,"29,94453944","22,2935376",,"0,23421626","1,61703203","73,0227855"
01/03/2010 16.00,"24,55172432","17,02158765","31,25761986","0,24107112","1,08617126","79,80133665"
01/03/2010 17.00,"28,92901888","21,59657536",,"0,241275","1,73245543","76,2976977"
01/03/2010 18.00,"26,94593072","22,1131404","41,02563095","0,21594557","1,10753843","74,0823699"
01/03/2010 19.00,"42,9504988","33,37025072",,"0,27436566","1,11600597","60,76943565"
01/03/2010 20.00,"41,65232728","33,15023688","49,81684113","0,28513841","1,18529519","62,22498765"
01/03/2010 21.00,"37,82884352","31,395518",,"0,28527355","1,72606766","65,65826295"
01/03/2010 22.00,"17,38075685","14,85154795","37,11843109","0,24944864","1,59720765","86,6082966"
01/03/2010 23.00,"12,78038925","10,16493577",,"0,20883674","1,47121051","86,93717235"
02/03/2010 0.00,"7,6703073","6,60357382","35,65322113","0,18755685","1,85140375","85,8098976"
02/03/2010 1.00,"8,82850704","7,20967974",,"0,18585595","2,16793788","75,97157505"
02/03/2010 2.00,"8,49129334","7,29923208","28,81562042","0,17573792","0,61302319","64,4944398"
02/03/2010 3.00,"7,6703073","6,63602046",,"0,17838713","0,00110141","56,5128039"
02/03/2010 4.00,"6,03222998","4,71387157","23,44322014","0,20265525",,"56,1271305"
02/03/2010 5.00,"8,08274674","6,73984971",,"0,20698672","0,14538117","50,50831275"
02/03/2010 6.00,"15,81271418","13,75354945","16,11721039","0,31447661","0,00176246","35,771148"
02/03/2010 7.00,"53,5974708","38,35990152",,"0,37208702","0,27798576","11,08874666"
02/03/2010 8.00,"106,5607312","56,23159496","21,0012207","0,55532288","0,77624559","13,03611204"
02/03/2010 9.00,"109,6034306","57,57618984",,"0,46484665","2,19877637","21,473781"
02/03/2010 10.00,"35,36328128","26,15340672","27,35042","0,31788074","1,43552601","58,5075246"
02/03/2010 11.00,"21,99538032","16,53229155",,"0,22740218","0,33701956","80,66066295"
02/03/2010 12.00,"25,39216304","17,85352179","29,30401993","0,21265677","0,02753426","87,45411675"
02/03/2010 13.00,"26,56852104","18,55697718",,"0,2261731","0,00330423","88,9034643"
02/03/2010 14.00,"31,73954416","20,98268952","15,14041042","0,22566516","0,17687969","91,34209245"
02/03/2010 15.00,"32,00542688","21,91195976",,"0,20933769","0,13723093","93,7197933"
02/03/2010 16.00,"23,54526664","16,5945826","12,69841003","0,22475646",,"95,4235632"
02/03/2010 17.00,"40,18932224","31,395518",,"0,22457938",,"84,958671"
02/03/2010 18.00,"50,30705264","40,64674912","11,72161007","0,31409216","0,29010128","78,8986989"
02/03/2010 19.00,"62,13934992","56,21083064",,"0,42790217","0,96568116","54,809034"
02/03/2010 20.00,"88,16182288","77,41026448","30,28083038","0,58830287","3,08604074","35,48696025"
02/03/2010 21.00,"76,83536432","66,30957488",,"0,56240725","3,06203038","42,87991155"
02/03/2010 22.00,"55,89441376","50,45735496","42,97924042","0,51691866","3,15035988","55,22042295"
02/03/2010 23.00,"52,85947704","49,2321836",,"0,52709959","2,55870386","49,4040204"
03/03/2010 0.00,"65,89667848","58,47951424","39,07204056","0,5004642","2,48314991","25,115454"
03/03/2010 1.00,"41,16595272","38,59741016",,"0,52531947","2,40319032","36,71572065"
03/03/2010 2.00,,,"36,63003159","0,44180645","1,80911079",
03/03/2010 3.00,"47,51723432","45,44108912",,,"0,81281183","31,66529835"
03/03/2010 4.00,"37,1894516","35,27485128","29,30401993","0,50479916","0,68461186","23,43332985"
03/03/2010 5.00,"20,67376768","19,24871584",,"0,4668854","0,5821847","27,92890275"
03/03/2010 6.00,"28,16119792","24,73093608","25,88521957","0,53342787","0,34561016","20,05012905"
03/03/2010 7.00,"52,09035592","38,85568312",,"0,57499274","0,54473774","13,67485718"
03/03/2010 8.00,"68,38298592","46,37035936","26,86202049","0,63170727","0,89056859","13,45427402"
03/03/2010 9.00,"114,090952","63,9824988",,"0,85592434","2,21419511","14,56802067"
03/03/2010 10.00,"113,8043241","71,22071896","46,88644028","0,76397671","2,93713465","21,4886637"
03/03/2010 11.00,"88,78957072","63,83582928",,"0,68741175","3,27283313","28,61095335"
03/03/2010 12.00,"123,335797","76,8314256","47,86323166","0,80355992","4,14489842","34,68852135"
03/03/2010 13.00,"43,289114","32,18852",,"0,47986001","3,07766981","69,72890085"
03/03/2010 14.00,"32,29725544","22,78413768","36,14162064","0,46455307","1,3718669","86,6434884"
03/03/2010 15.00,"22,96032848","16,49465574",,"0,38145362","0,40376222","96,34786665"
03/03/2010 16.00,"22,43506384","16,16239412","31,25761986","0,40380065","0,00242351","96,47774115"
03/03/2010 17.00,"26,45697496","20,99955336",,"0,41028271","0,14978681","92,204112"
03/03/2010 18.00,"35,02089944","28,46491912","32,23442078","0,50965488","0,29076132","79,16393415"
03/03/2010 19.00,"42,88057696","36,45073128",,"0,62277289","1,87871834","65,1561813"
03/03/2010 20.00,"30,75513184","24,65177928","40,04883957","0,49189912","3,50500202","74,1920151"
03/03/2010 21.00,"20,77233128","17,10205799",,"0,45394924","1,28882376","86,64486495"
03/03/2010 22.00,"14,42235749","11,9274384","24,42000961","0,41036193","0,66809171","95,9445774"
03/03/2010 23.00,"9,07882226","7,15517053",,"0,36386329","0,50090301","99,0476403"
04/03/2010 0.00,"7,81297501","6,23238197","17,58241081","0,3622719","0,38305712","98,01508815"
04/03/2010 1.00,"6,14765934","4,9111479",,"0,34059008","0,34891439","104,5906481"
04/03/2010 2.00,"4,59129134","3,22780781","16,11721039","0,33892064","0,30926462","105,527121"
04/03/2010 3.00,"3,8675783","2,94876479",,"0,31938009","0,51742418","103,9248368"
04/03/2010 4.00,"3,89870566","2,97082927","15,62880993","0,31712931","0,20287218","99,5334627"
04/03/2010 5.00,"3,83904553","2,90983074",,"0,32244987","0,2641088","99,68366625"
04/03/2010 6.00,"4,44991997","3,3783606","16,11721039","0,3330502","0,33393602","96,42228015"
04/03/2010 7.00,"7,55098703","5,71712665",,"0,35010697","0,24031913","93,39770055"
04/03/2010 8.00,"17,22901097","12,43620439","23,44322014","0,3757859","0,13062246","87,53260005"
04/03/2010 9.00,"31,78235384","22,78153736",,"0,4083826","0,15925813","77,7335391"
04/03/2010 10.00,"19,37029992","14,0027385","35,65322113","0,38321161","0,48107863","84,96000765"
04/03/2010 11.00,"13,90097421","8,7100204",,"0,32617903","0,92052535","92,9456934"
04/03/2010 12.00,"14,98135363","10,56596821","41,02563095","0,33724537","1,0070934","93,13515855"
04/03/2010 13.00,"12,27716232","8,28821217",,"0,33103242","0,75752262","96,3735423"
04/03/2010 14.00,"16,28611008","10,51145709","35,65322113","0,33651142","0,00220282","96,50212005"
04/03/2010 15.00,"14,16426043","10,08316909",,"0,34131821",,"95,47090455"
04/03/2010 16.00,"15,86978355","10,37777961",,"0,3292057",,"96,2314584"
04/03/2010 17.00,"89,57813688","30,43768248",,"0,35072675",,"83,49037095"
04/03/2010 18.00,"20,31320272","15,69905534","54,21244049","0,37966884","0,66038183","82,1398158"
04/03/2010 19.00,"28,78504528","21,32401976",,"0,4166541","0,41984201","74,9606487"
04/03/2010 20.00,"33,32057696","28,624552","25,88521957","0,50441005","1,08264735","61,2249141"
04/03/2010 21.00,"34,31013256","30,7738312",,"0,56753441","3,04176564","48,9155247"
04/03/2010 22.00,"31,65136272","26,5946772","20,02441978","0,53952665","3,01577315","50,9088888"
04/03/2010 23.00,"22,67370056","19,20330584",,"0,47034196","1,39367443","56,58723735"
05/03/2010 0.00,"13,69475545","11,89499176","24,90842056","0,39315139","1,31679838","63,68652465"
05/03/2010 1.00,"18,5558166","15,99887032",,"0,44400014","0,76611322","60,89743485"
05/03/2010 2.00,,,"18,55920982","0,41238554","0,20044968",
05/03/2010 3.00,"25,89150096","24,41425152",,,"0,55993681","50,5529808"
05/03/2010 4.00,"11,82322102","10,67110526","19,04759979","0,24956747","0,00242351","57,8769051"
05/03/2010 5.00,"9,26429008","8,23240471",,"0,25849253",,"53,99301915"
05/03/2010 6.00,"15,13050684","13,20844016","8,79120922","0,29208764",,"46,24009005"
05/03/2010 7.00,"31,19223416","26,18327216",,"0,31034202","0,00154177","30,7829697"
05/03/2010 8.00,"49,66634144","36,9581952","15,62880993","0,33860259","0,05330606","34,0741212"
