 Brindisi,,,,
,Casale,,,,
Parm,SO2,NO2,NOX,PM10



08/04/2010 10.00,"1,29856357","11,7658591","17,49294536","14,16361046"
08/04/2010 11.00,"1,24979944","10,0137329","14,18371503",
08/04/2010 12.00,"1,26424796","8,16166836","11,75577713","11,23320961"
08/04/2010 13.00,"1,17394446","4,41665882","5,04847348",
08/04/2010 14.00,"1,21367763","5,51076449","7,49716232","10,98900986"
08/04/2010 15.00,"1,28772642","7,53804088","10,07165694",
08/04/2010 16.00,"1,40512178","5,83912563","7,07953563","17,09399986"
08/04/2010 17.00,"1,38344849","3,95331812","5,02253338",
08/04/2010 18.00,"1,30217494","8,66524327","9,58983102","15,14041042"
08/04/2010 19.00,"1,29856357","19,95217888","21,723666",
08/04/2010 20.00,"1,28050267","17,28116268","17,94299574","15,14041042"
08/04/2010 21.00,"1,30036976","11,05916096","11,59949216",
08/04/2010 22.00,"1,17936303","7,58930734","8,05875114","21,97801971"
08/04/2010 23.00,"0,99333746","20,56216424","20,67441776",
09/04/2010 0.00,"1,45388489","38,11394184","47,17873384","24,90842056"
09/04/2010 1.00,"1,41415172","29,16511264","29,7694576",
09/04/2010 2.00,"1,29675738","26,7569104","27,35448688","20,02441978"
09/04/2010 3.00,"0,54272307","21,49275376","21,90782984",
09/04/2010 4.00,"0,51743841","15,79899366","15,78807232","17,33819962"
09/04/2010 5.00,"0,70978464","11,69836933","12,03851986",
09/04/2010 6.00,"0,55265712","16,77823594","17,61486022","21,0012207"
09/04/2010 7.00,"0,04515175","17,49790318","19,32425896",
09/04/2010 8.00,"0,65921533","13,286966","17,02603496","19,53602028"
09/04/2010 9.00,"0,26187953","12,13704905","16,45925506",
09/04/2010 10.00,"0,27632805","9,90990174","13,34197806","22,95482063"
09/04/2010 11.00,"0,78202724","8,61527506","11,1189645",
09/04/2010 12.00,"0,99875604","4,66325519","5,44988832","21,73381996"
09/04/2010 13.00,"1,29495119","3,73981846","4,49401642",
09/04/2010 14.00,"1,29856357","3,93514838","4,5595139",
09/04/2010 15.00,"1,30036976","8,06951952","10,30251755",
09/04/2010 16.00,"1,30036976","6,34724537","7,45371403",
09/04/2010 17.00,"1,30036976","5,65417978","6,4770912",
09/04/2010 18.00,"1,30036976","3,33617997","3,3727833",
09/04/2010 19.00,"1,30036976","5,2193929","5,21578304",
09/04/2010 20.00,"1,26786034","5,06170261","5,19243752",
09/04/2010 21.00,"1,24979944","6,01304115","6,24428417",
09/04/2010 22.00,"1,23535092","2,8747876","2,87279912",
09/04/2010 23.00,"1,12879271","4,10841382","4,10557259",
10/04/2010 0.00,"1,11795657","7,68080801","7,80389683",
10/04/2010 1.00,,"5,78461642","5,78061652",
10/04/2010 2.00,"1,26244176",,,
10/04/2010 3.00,"1,23153717","4,84078439","4,90356682",
10/04/2010 4.00,"1,20645388","3,7437113","3,74112436",
10/04/2010 5.00,"1,30036976","4,06558502","4,49336826",
10/04/2010 6.00,"1,30036976","3,62236048","3,65682046",
10/04/2010 7.00,"1,30036976","3,68271276","3,68016598",
10/04/2010 8.00,"1,29856357","4,0921905","4,17107006",
10/04/2010 9.00,"1,34190913","4,26805244","5,12110462",
10/04/2010 10.00,"1,43582399","4,44845729","4,61463494",
10/04/2010 11.00,"1,50084284","5,16034078","6,25725518",
10/04/2010 12.00,"1,38706088","5,04417913","6,05038634",
10/04/2010 13.00,"1,30759351","3,79952066","4,08871258",
10/04/2010 14.00,"1,30036976","2,6573932","2,66917303",
10/04/2010 15.00,"1,30217494","3,14020188","3,13802985",
10/04/2010 16.00,"1,34010293","3,45169154","3,48432173",
10/04/2010 17.00,"1,28772642","2,49970291","2,70419131",
10/04/2010 18.00,"1,32023584","3,24532938","4,10816718",
10/04/2010 19.00,"1,30036976","4,3524137","4,64511414",
10/04/2010 20.00,"1,31481828","4,54255254","4,71644894",
10/04/2010 21.00,"1,30036976","5,63276538","5,8934532",
10/04/2010 22.00,"1,30036976","6,83264672","6,82792408",
10/04/2010 23.00,"1,71847372","8,16750952","8,22995162",
11/04/2010 0.00,"1,33468436","5,27520035","5,27155417",
11/04/2010 1.00,"1,80606894","8,29534966","8,44719688",
11/04/2010 2.00,"2,58809618","9,32910497","9,60669104",
11/04/2010 3.00,"2,41019847","7,68924375","7,74034386",
11/04/2010 4.00,"2,39665305","6,87612751","6,93557159",
11/04/2010 5.00,"1,83677116","8,31027474","8,30452918",
11/04/2010 6.00,"2,1329663","9,83397622","10,10148796",
11/04/2010 7.00,"2,20611301","15,78990975","16,60386918",
11/04/2010 8.00,"2,41110157","19,37137064","22,94153352",
11/04/2010 9.00,"3,92007125","15,31294223","17,85544909",
11/04/2010 10.00,"5,05067015","14,04361897","16,03384845",
11/04/2010 11.00,"8,79013542","14,99430934","17,40864337",
11/04/2010 12.00,"4,49440166","6,54776446","7,22609426",
11/04/2010 13.00,"3,83699252","13,91773289","15,27057996",
11/04/2010 14.00,"8,52088874","10,10524695","14,61568554",
11/04/2010 15.00,"2,90506152","8,26030653","8,40439676",
11/04/2010 16.00,"2,60615708","7,14543462","7,53153243",
11/04/2010 17.00,"2,55197437","6,0117429","6,19045946",
11/04/2010 18.00,"2,23952451","5,53737188","5,53483848",
11/04/2010 19.00,"2,43548312","3,71321107","3,71064517",
11/04/2010 20.00,"2,3334404","3,92022331","3,92723844",
11/04/2010 21.00,"1,99389969","7,10195574","7,31104633",
11/04/2010 22.00,"2,27022774","9,09743558","9,36999309",
11/04/2010 23.00,"2,29009484","7,00007291","7,30456082",
12/04/2010 0.00,"2,01737815","13,45374402","13,67983994",
12/04/2010 1.00,,"18,34671454","18,33403225",
12/04/2010 2.00,"2,1907614",,,
12/04/2010 3.00,"2,27564632","7,87743618","8,15018871",
12/04/2010 4.00,"2,07336604","6,59383983","6,65737177",
12/04/2010 5.00,"2,3334404","8,95207195","9,10541053",
12/04/2010 6.00,"2,31886679","16,10808567","16,61446931",
12/04/2010 7.00,"2,56281152","23,06835648","24,38312416",
12/04/2010 8.00,"2,57816314","28,43247248","33,59877296",
12/04/2010 9.00,"2,50862882","16,24157004","19,4189412",
12/04/2010 10.00,"2,57455076","9,86837118","11,30508049",
12/04/2010 11.00,"2,57906522","9,68991275","11,54761386",
12/04/2010 12.00,"2,6016416","9,71587006","11,44191086",
12/04/2010 13.00,"2,60073851","8,45628653","10,22145831",
12/04/2010 14.00,"2,59531993","7,44134913","8,976362",
12/04/2010 15.00,"2,90415842","5,66975494","7,10093665",
12/04/2010 16.00,"2,6197025","5,7781271","7,62815726",
12/04/2010 17.00,"2,60073851","5,40044782","6,27800611",
12/04/2010 18.00,"2,60073851","8,20060624","9,06261041",
12/04/2010 19.00,"2,57003528","10,69641058","11,73956528",
12/04/2010 20.00,"2,60073851","10,48939452","11,9619978",
12/04/2010 21.00,"2,43458003","13,69968841","14,27385436",
12/04/2010 22.00,"2,3334404","12,46411386","12,89322593",
12/04/2010 23.00,"2,44541718","6,15645645","6,32534532",
13/04/2010 0.00,"2,49147101","3,31736206","3,52906826",
13/04/2010 1.00,"2,44541718","2,42312731","2,4214524",
13/04/2010 2.00,"2,52307733","1,46919036","1,46817509",
13/04/2010 3.00,"2,38581691","1,73460655","1,73340582",
13/04/2010 4.00,"2,47973178","1,75991378","1,75869775",
13/04/2010 5.00,"2,48876172","1,94096871","1,93962649",
13/04/2010 6.00,"2,47431422","4,44391438","4,51282286",
13/04/2010 7.00,"2,55378056","8,10131799","8,22995162",
13/04/2010 8.00,"2,47070183","12,91771674","14,31924906",
13/04/2010 9.00,"2,37768905","15,85544738","18,11419622",
13/04/2010 10.00,"2,41471395","13,93395621","15,50792608",
13/04/2010 11.00,,,,
13/04/2010 12.00,,,,
13/04/2010 13.00,,,,
13/04/2010 14.00,"2,51946495",,,
13/04/2010 15.00,"2,5826776",,,
13/04/2010 16.00,"2,57906522",,,
13/04/2010 17.00,"2,63053864",,,
13/04/2010 18.00,"2,55016818",,,
13/04/2010 19.00,"2,5835807",,,
13/04/2010 20.00,"2,59351475",,,
13/04/2010 21.00,"2,56461772",,,
13/04/2010 22.00,"2,54113824",,,
13/04/2010 23.00,"2,57003528",,,
14/04/2010 0.00,"2,52307733",,,
14/04/2010 1.00,,,,
14/04/2010 2.00,"2,48695655",,,
14/04/2010 3.00,"2,47250803",,,
14/04/2010 4.00,"2,43096764",,,
14/04/2010 5.00,"2,27293703",,,
14/04/2010 6.00,"2,4399986",,,
14/04/2010 7.00,"2,47611939",,,
14/04/2010 8.00,"2,50501745",,,
14/04/2010 9.00,"2,33765789",,,
14/04/2010 10.00,"2,58990237",,,
14/04/2010 11.00,"2,48515035","7,5340601","9,3751727",
14/04/2010 12.00,"2,51585358","9,32131739","11,75383262",
14/04/2010 13.00,"2,59893231","10,0565617","11,76226263",
14/04/2010 14.00,"2,6206056","17,6439207","22,73400504",
14/04/2010 15.00,"3,25905074","8,40112724","9,27401834",
14/04/2010 16.00,"3,20486803","7,47639226","7,73191386",
14/04/2010 17.00,"2,88519442","6,73011572","6,79420214",
14/04/2010 18.00,"2,60073851","7,80929823","7,80908409",
14/04/2010 19.00,"2,60073851","11,78596761","11,91595493",
14/04/2010 20.00,"2,60073851","15,49074485","15,64994562",
14/04/2010 21.00,"2,60073851","18,70233125","18,76722453",
14/04/2010 22.00,"2,60073851","13,8697111","13,86141684",
14/04/2010 23.00,"2,60073851","8,75609386","8,75263314",
15/04/2010 0.00,"2,4399986","5,09934033","5,09581269",
15/04/2010 1.00,,"2,52436006","2,52261632",
15/04/2010 2.00,,,,
15/04/2010 3.00,,"1,74434054","1,74313407",
15/04/2010 4.00,,"1,1700331","1,16922242",
15/04/2010 5.00,,"6,53154114","6,52702499",
15/04/2010 6.00,,"5,17591402","5,17233475",
15/04/2010 7.00,,"10,44332679","10,4789072",
15/04/2010 8.00,,"36,33910872","40,65885208",
15/04/2010 9.00,,"23,63943264","25,37076776",
15/04/2010 10.00,,"11,8800686","12,53461121",
15/04/2010 11.00,,"14,40183026","15,36525838",
15/04/2010 12.00,,"15,97226102","17,78346802",
15/04/2010 13.00,,"13,32589432","14,17852586",
15/04/2010 14.00,,"13,69838634","14,12016398",
15/04/2010 15.00,,"16,59134941","17,01111945",
15/04/2010 16.00,,"14,4823006","15,33153643",
15/04/2010 17.00,,"14,52448314","14,51963049",
15/04/2010 18.00,,"18,84574463","21,24702352",
15/04/2010 19.00,,"16,70685142","16,82759613",
15/04/2010 20.00,,"42,37615312","43,61333184",
15/04/2010 21.00,,"17,65819187","17,80681354",
15/04/2010 22.00,,"14,0293478","14,02029639",
15/04/2010 23.00,,"11,89499176","11,88742024",
16/04/2010 0.00,,"3,43871288","3,43633435",
16/04/2010 1.00,,"1,9818511","1,98048019",
16/04/2010 2.00,,,,
16/04/2010 3.00,,"3,12722322","3,12506075",
16/04/2010 4.00,,"4,4504037","4,44732538",
16/04/2010 5.00,,"1,36146828","1,36052566",
16/04/2010 6.00,,"3,64053022","3,63801402",
16/04/2010 7.00,,"3,17005202","3,17045546",
16/04/2010 8.00,,"9,70808249","10,78239896",
16/04/2010 9.00,,"9,77362776","10,87253829",
16/04/2010 10.00,,"6,11269459","6,28669424","15,87300968"
16/04/2010 11.00,,"4,45429654","4,45251455",
16/04/2010 12.00,,"2,79042442","2,78849522","8,54700947"
16/04/2010 13.00,,"3,84299954","4,06731156",
16/04/2010 14.00,,"5,23237155","5,58023318","7,08180714"
16/04/2010 15.00,,"4,9974575","5,15677107",
16/04/2010 16.00,,"6,83135038","7,13530676","7,32600689"
16/04/2010 17.00,,"6,9144134","6,9115779",
16/04/2010 18.00,,"1,58794659","1,5868491","10,50061035"
16/04/2010 19.00,,"3,00587241","3,00379406",
16/04/2010 20.00,,"3,83975488","3,83709911","18,31501007"
16/04/2010 21.00,,"1,22584056","1,22499163",
16/04/2010 22.00,,"2,06102128","2,05959493","16,84980965"
16/04/2010 23.00,,"2,06815878","2,0667286",
17/04/2010 0.00,,"1,22908522","1,22823438","17,58241081"
17/04/2010 1.00,,"1,0765841","1,07584034",
17/04/2010 2.00,,,,"11,72161007"
17/04/2010 3.00,,,,
17/04/2010 4.00,,,,"8,79120922"
17/04/2010 5.00,,,,
17/04/2010 6.00,,"2,6573932","2,65555577","10,01220989"
17/04/2010 7.00,,,,
17/04/2010 8.00,,"2,77549935","2,7735797","11,96580982"
17/04/2010 9.00,,"3,09542475","3,09328522",
17/04/2010 10.00,,"3,89686058","3,89416658","18,80340958"
17/04/2010 11.00,,"4,14345696","4,14059087",
17/04/2010 12.00,,"3,4951685","3,49275365","15,38461018"
17/04/2010 13.00,,"1,26996761","1,26909",
17/04/2010 14.00,,,,"17,82661057"
17/04/2010 15.00,,,,
17/04/2010 16.00,,"3,7320328","3,72944969","18,07081032"
17/04/2010 17.00,,"4,34138146","4,39479892",
17/04/2010 18.00,,,,"21,73381996"
17/04/2010 19.00,,"2,38224493","2,38059678",
17/04/2010 20.00,,"2,25116012","2,24960184","21,48962021"
17/04/2010 21.00,,"3,67168052","3,66914138",
17/04/2010 22.00,,"1,71968148","1,71849222","20,02441978"
17/04/2010 23.00,,"1,33875563","1,33783022",
18/04/2010 0.00,,"3,30632982","3,30404307","18,80340958"
18/04/2010 1.00,,"3,83780846","3,83515461",
18/04/2010 2.00,,,,"18,55920982"
18/04/2010 3.00,,,,
18/04/2010 4.00,,,,"14,89620972"
18/04/2010 5.00,,"1,99742434","1,99604387",
18/04/2010 6.00,,"3,11424457","3,11209166","14,40781021"
18/04/2010 7.00,,"5,92673347","6,63337617",
18/04/2010 8.00,,"2,89165909","2,89160555","15,38461018"
18/04/2010 9.00,,"1,9604367","1,95908109",
18/04/2010 10.00,,,,"19,53602028"
18/04/2010 11.00,"2,75244846","2,08503218","2,08359053",
18/04/2010 12.00,"3,37825128","3,19665942","3,19444914","10,98900986"
18/04/2010 13.00,"3,85187936","2,37421644","2,37257403",
18/04/2010 14.00,"4,02572636","2,93383972","2,93181109","14,40781021"
18/04/2010 15.00,"3,73585289","9,83527446","9,82912165",
18/04/2010 16.00,"4,51697804","9,06433886","9,05807132","23,68741989"
18/04/2010 17.00,"4,68494169","7,78918017","7,78379406",
18/04/2010 18.00,"4,65423846","15,07737236","15,06695387","24,66422081"
18/04/2010 19.00,"3,81170786","18,0384772","18,0260014",
18/04/2010 20.00,"3,13443163","19,19682416","19,18353576","20,75702095"
18/04/2010 21.00,"3,08837678","13,02739097","13,01838354",
18/04/2010 22.00,"2,60073851","12,98196376","12,97298883","29,05982971"
18/04/2010 23.00,"2,62782935","11,74314454","11,73502619",
19/04/2010 0.00,"2,92853998","7,51597831","7,51077958","28,32722092"
19/04/2010 1.00,"2,91499456","3,4951685","3,49275174",
19/04/2010 2.00,"2,6738842","3,59251034","3,59002665","14,89620972"
19/04/2010 3.00,"2,84726642","1,28554276","1,28465368",
19/04/2010 4.00,"3,18319576",,,"10,7448101"
19/04/2010 5.00,"2,96917625",,,
19/04/2010 6.00,"2,84184887",,,"15,62880993"
19/04/2010 7.00,"3,22112274","13,23764405","13,22849322",
19/04/2010 8.00,"3,69792489","13,61467324","14,21873331","24,90842056"
19/04/2010 9.00,"3,17235963","6,04289321","6,87007412",
19/04/2010 10.00,"2,6738842","5,28753084","5,53094947","26,37360954"
19/04/2010 11.00,"2,76599389","2,1583612","2,15881434",
19/04/2010 12.00,"2,64950264",,,"13,91940975"
19/04/2010 13.00,"2,79308473","1,29203209","1,29113918",
19/04/2010 14.00,"2,87706656","3,19081826","3,18861181","14,89620972"
19/04/2010 15.00,"2,89422437","3,04675479","3,04464777",
19/04/2010 16.00,"2,75967221",,,"15,38461018"
19/04/2010 17.00,"2,75064227",,,
19/04/2010 18.00,"3,07483136",,,"14,16361046"
19/04/2010 19.00,"3,07663755","3,80990282","3,80727",
19/04/2010 20.00,"3,06580142","12,13964363","12,13319828","20,26861954"
19/04/2010 21.00,"2,69013891","14,11890014","14,31989723",
19/04/2010 22.00,"2,88248513","12,93783862","12,92889238","24,90842056"
19/04/2010 23.00,"2,69013891","11,52899672","11,52102559",
20/04/2010 0.00,"2,60615708","9,57764776","9,57102459","29,05982971"
20/04/2010 1.00,,"4,82743672","4,82409646",
20/04/2010 2.00,"3,65638552",,,"21,73381996"
20/04/2010 3.00,"2,87435829","3,42119131","3,41882617",
20/04/2010 4.00,"3,07031588","2,31151049","2,30991206","18,07081032"
20/04/2010 5.00,"3,13623782","2,597691","2,59589563",
20/04/2010 6.00,"2,93486165","4,60549941","4,60231402","19,04759979"
20/04/2010 7.00,"2,91680075","17,92880297","17,91900014",
20/04/2010 8.00,"2,93937611","18,07156436","18,27242761","11,23320961"
20/04/2010 9.00,"3,04593432","7,20189216","7,19691331",
20/04/2010 10.00,"2,98272167","4,24468971","4,2417567","14,16361046"
20/04/2010 11.00,"3,15249253","5,29921316","5,3052742",
20/04/2010 12.00,"3,39721528","4,83911713","4,95055231","15,14041042"
20/04/2010 13.00,"3,50377247","1,78781942","1,78658236",
20/04/2010 14.00,"3,87943498","2,66712719","2,66528211","16,60560989"
20/04/2010 15.00,"3,93632596","4,28622218","4,28325858",
20/04/2010 16.00,"3,75453416","5,03586766","5,45668357","18,55920982"
20/04/2010 17.00,"3,841508",,,
20/04/2010 18.00,"3,3023963",,,"31,74603081"
20/04/2010 19.00,"3,20848042","1,50256814","1,13068606",
20/04/2010 20.00,"3,04503123","2,57045647","2,21922972","28,57142067"
20/04/2010 21.00,"3,35657799","3,40089352","2,97777557",
20/04/2010 22.00,"3,13443163","2,91495872","2,44614588","32,96702957"
20/04/2010 23.00,"3,51370652","4,67963338","4,25044483",
21/04/2010 0.00,"3,83067186","4,6789833","4,20895252","32,23442078"
21/04/2010 1.00,"4,3435948","2,14291224","1,67463285",
21/04/2010 2.00,"4,10519372","1,50191998","1,03408417","22,95482063"
21/04/2010 3.00,"3,02606723","1,1742873","0,70667902",
21/04/2010 4.00,"3,25092288","1,12108782","0,65351586","19,04759979"
21/04/2010 5.00,"2,8897099","1,07956682","0,61202164",
21/04/2010 6.00,"2,90957598","1,9735817","1,50542085","25,64101982"
21/04/2010 7.00,"3,24279603","7,42720606","8,19098888",
21/04/2010 8.00,"3,91916917","12,42214546","13,9312947","24,17580986"
21/04/2010 9.00,"3,9498724","10,78786728","11,79115869",
21/04/2010 10.00,"4,10429063","11,72859996","13,87294429","23,93161964"
21/04/2010 11.00,"3,36199657","9,01346818","10,94638738",
21/04/2010 12.00,"4,04288417","4,23327316","4,0481667","19,29179955"
21/04/2010 13.00,"4,52420179","4,79057336","4,70233074",
21/04/2010 14.00,"4,3806197","6,84655078","7,69955517","22,46640968"
21/04/2010 15.00,"4,22710355","2,28953587","1,92488879",
21/04/2010 16.00,"3,97786532","4,62059465","4,6109161","20,51280975"
21/04/2010 17.00,"5,95460822","5,62749782","5,25794838",
21/04/2010 18.00,"5,26198037","13,92276718","13,76272896","18,55920982"
21/04/2010 19.00,"4,6470137","20,27817488","20,78865976",
21/04/2010 20.00,"4,73731719","55,6527752","56,4415708","20,75702095"
21/04/2010 21.00,"5,66924819","81,27560192","83,71611696",
21/04/2010 22.00,"5,12923442","69,60668504","69,26227648","31,99023056"
21/04/2010 23.00,"4,39687339","21,96889912","21,48690304",
22/04/2010 0.00,"3,77287677","13,81117139","13,33483101","29,7924099"
22/04/2010 1.00,,"11,42431854","10,94962822",
22/04/2010 2.00,"3,97154467",,,"33,21123123"
22/04/2010 3.00,"3,36470585","3,86022666","3,39075992",
22/04/2010 4.00,"2,871649","1,62778311","1,15986126","31,01342964"
22/04/2010 5.00,"2,78495789","3,98544163","3,51588885",
22/04/2010 6.00,"2,99355882","15,58169295","15,16441616","27,35042"
22/04/2010 7.00,"3,32226339","34,21197048","41,81138656",
22/04/2010 8.00,"6,78178721","81,6953624","192,42846","31,50181961"
22/04/2010 9.00,"5,49496389","57,3629636","104,4185646",
22/04/2010 10.00,"4,51065637","18,27736248","20,6952968","33,45542145"
22/04/2010 11.00,"4,59644439","12,03741664","12,65667902",
22/04/2010 12.00,"4,58921962","19,84090048","22,97807184","31,74603081"
22/04/2010 13.00,"4,55129264","20,80110688","23,81569992",
22/04/2010 14.00,"4,57657729","15,98847478","17,96649422","23,93161964"
22/04/2010 15.00,"4,51607393","4,39157529","4,19792984",
22/04/2010 16.00,"4,30205543","3,74344744","3,52431694","32,96702957"
22/04/2010 17.00,"3,86679265","4,9255185","4,61156427",
22/04/2010 18.00,"4,03385423","6,74144814","6,47486181","22,71062088"
22/04/2010 19.00,"4,29065384","11,07364436","10,59919303",
22/04/2010 20.00,"4,55129264","13,44850514","12,97241523","24,66422081"
22/04/2010 21.00,"4,67952312","18,59720566","18,1175537",
22/04/2010 22.00,"4,54316579","8,94923837","8,47625354","23,68741989"
22/04/2010 23.00,"4,28309143","14,71946699","14,24249182",
23/04/2010 0.00,"4,05913888","19,75138064","19,27091416","30,76922989"
23/04/2010 1.00,"4,0555265","4,61800006","4,14800943",
23/04/2010 2.00,"4,07990907","1,80684574","1,33879961","26,61782074"
23/04/2010 3.00,"4,1449269",,,
23/04/2010 4.00,"3,59497906",,,"19,78022003"
23/04/2010 5.00,"3,94445382",,,
23/04/2010 6.00,"3,82525329","1,67060235","1,20264991","18,31501007"
23/04/2010 7.00,"3,98057461","13,05794664","12,85441806",
23/04/2010 8.00,"4,06636365","22,75520912","25,30816888","23,68741989"
23/04/2010 9.00,"3,94716311","21,0580032","23,64065632",
23/04/2010 10.00,"3,71237341","11,37826229","12,24174826","22,95482063"
23/04/2010 11.00,"4,31289157","6,35412666","6,25442924",
23/04/2010 12.00,"4,3616557","7,53620154","7,47977077","26,86202049"
23/04/2010 13.00,"4,47543766","8,80715765","8,90220508",
23/04/2010 14.00,"4,19369103","7,21829903","7,11930141","18,80340958"
23/04/2010 15.00,"4,12325463","6,08034355","5,8181051",
23/04/2010 16.00,"4,53503793","8,43929841","8,12810129","20,51280975"
23/04/2010 17.00,"4,15034547","6,10889162","5,63786851",
23/04/2010 18.00,"3,53537879","12,15679236","11,77041349","23,44322014"
23/04/2010 19.00,"3,27530545","9,90553664","9,4895906",
23/04/2010 20.00,"3,78732529","14,9517291","14,51025213","25,64101982"
23/04/2010 21.00,"3,20306286","7,88135195","7,43438754",
23/04/2010 22.00,"3,02335896","4,3266973","3,89191806","24,42000961"
23/04/2010 23.00,"3,14526776",,,
24/04/2010 0.00,"3,56246964","5,31543457","4,84690662","22,22220993"
24/04/2010 1.00,,"7,43239714","6,9604601",
24/04/2010 2.00,"3,32406857",,,"18,07081032"
24/04/2010 3.00,"3,13985021",,,
24/04/2010 4.00,"3,36922032","2,03521502","1,56701019","11,72161007"
24/04/2010 5.00,"4,44292824","14,86154771","14,38447503",
24/04/2010 6.00,"4,45376437","5,44000137","4,96944096","12,21000957"
24/04/2010 7.00,"4,92695515","24,12997536","31,4004892",
24/04/2010 8.00,"4,87277244","26,6582512","27,58249288","15,62880993"
24/04/2010 9.00,"4,99648846","27,12279072","36,07301568",
24/04/2010 10.00,"4,55129264","15,01789769","17,81284017","15,62880993"
24/04/2010 11.00,"4,55129264","6,79270122","8,01658771",
24/04/2010 12.00,"4,67410454","5,9596715","7,12254225","16,36141014"
24/04/2010 13.00,"4,71925731","8,51261214","10,64685919",
24/04/2010 14.00,"4,94140367",,,"20,02441978"
24/04/2010 15.00,"4,59825058","1,0360975","0,63925234",
24/04/2010 16.00,"4,63798375","3,11737642","3,23321686","22,95482063"
24/04/2010 17.00,"4,60366814","4,61540357","4,59535625",
24/04/2010 18.00,"4,86916006","5,8740311","6,26415558","21,73381996"
24/04/2010 19.00,"4,70661498","1,42925824","1,00426079",
24/04/2010 20.00,"4,64520852","2,63728087","2,25618486","20,26861954"
24/04/2010 21.00,"4,55129264","1,43055458","0,98156918",
24/04/2010 22.00,"4,35894641",,,"18,07081032"
24/04/2010 23.00,"4,55129264",,,
25/04/2010 0.00,"4,50794708",,,"20,51280975"
25/04/2010 1.00,"4,53774722",,,
25/04/2010 2.00,"4,37935048",,,"18,55920982"
25/04/2010 3.00,"4,37249183",,,
25/04/2010 4.00,"4,22349116",,,"15,14041042"
25/04/2010 5.00,"4,31560085",,,
25/04/2010 6.00,"4,03656351",,,"18,07081032"
25/04/2010 7.00,"4,40590435",,,
25/04/2010 8.00,"3,90742892",,,"24,17580986"
25/04/2010 9.00,"3,74488283",,,
25/04/2010 10.00,"4,16660018",,,"22,46640968"
25/04/2010 11.00,"3,2111897",,,
25/04/2010 12.00,"3,55163351",,,"21,24542046"
25/04/2010 13.00,"3,60581621",,,
25/04/2010 14.00,"3,86859884",,,"24,66422081"
25/04/2010 15.00,"3,6247792",,,
25/04/2010 16.00,"3,2834323",,,"30,28083038"
25/04/2010 17.00,"4,42125597",,,
25/04/2010 18.00,"3,82796258",,,"28,32722092"
25/04/2010 19.00,"4,23974588",,,
25/04/2010 20.00,"3,72591883",,,"36,38582993"
25/04/2010 21.00,"3,78190773",,,
25/04/2010 22.00,"3,5001611",,,"33,45542145"
25/04/2010 23.00,"3,58143364",,,
26/04/2010 0.00,"3,10734078",,,"34,67642975"
26/04/2010 1.00,,,,
26/04/2010 2.00,"4,54587406",,,"27,35042"
26/04/2010 3.00,"4,55129264","3,40413627","2,9434131",
26/04/2010 4.00,"4,47272837","3,491073","3,02445514","26,86202049"
26/04/2010 5.00,"4,32643699","1,48245773","1,0146353",
26/04/2010 6.00,"3,96883538",,,"24,90842056"
26/04/2010 7.00,"4,31018228","1,48699873","1,25386857",
26/04/2010 8.00,"4,22890974","4,59075024","6,04501935","28,08300972"
26/04/2010 9.00,"4,27767286","5,2505585","6,99093164",
26/04/2010 10.00,"4,29934614","7,46029322","9,77031809","28,57142067"
26/04/2010 11.00,"4,2334242","3,16603491","3,84977758",
26/04/2010 12.00,"3,9119444","2,22855072","2,26915204","28,08300972"
26/04/2010 13.00,"3,98509009","1,0938399","1,06779846",
26/04/2010 14.00,"4,55129264","1,4921879","1,49439817","33,45542145"
26/04/2010 15.00,"4,33998241","1,35075534","1,51644162",
26/04/2010 16.00,"0,61414901","6,30871283","7,35659017","31,25761986"
26/04/2010 17.00,"0,65002572","2,25060946","2,30610718",
26/04/2010 18.00,"0,63377508","1,50256814","1,31351532","38,0952301"
26/04/2010 19.00,"0,65002572","4,7231027","4,48838176",
26/04/2010 20.00,"0,6319699","1,48245773","1,0587222","30,76922989"
26/04/2010 21.00,"0,56064769","5,05138354","5,02260412",
26/04/2010 22.00,"0,46585211","3,9906308","3,87700829","32,47863007"
26/04/2010 23.00,"0,58863452","3,05963594","2,91877698",
27/04/2010 0.00,"0,57148078","5,45816728","5,3389885","34,4322319"
27/04/2010 1.00,"0,63377508","4,68741905","4,41317515",
27/04/2010 2.00,"0,64370608","3,07131443","2,93239234","34,4322319"
27/04/2010 3.00,"0,66988773","2,81699166","2,43253053",
27/04/2010 4.00,"0,65002572","3,1595475","3,06011202","32,96702957"
27/04/2010 5.00,"0,65002572","2,53338279","2,20311921",
27/04/2010 6.00,"0,65002572","3,73890644","3,45364942","27,35042"
27/04/2010 7.00,"0,64912262","4,33513305","4,82097416",
27/04/2010 8.00,"0,63558127","5,90647201","7,1549583","30,52503014"
27/04/2010 9.00,"0,65002572","6,08812922","7,74364206",
27/04/2010 10.00,"0,74391821","3,7213887","5,02260412","31,74603081"
27/04/2010 11.00,"0,63558127","2,2590433","3,20793257",
27/04/2010 12.00,"0,56877251","1,68422726","1,94628407","33,45542145"
27/04/2010 13.00,"0,52724331",,,
27/04/2010 14.00,"0,61301099",,,"29,05982971"
27/04/2010 15.00,"0,55703633","2,72681218","3,23580953",
27/04/2010 16.00,"1,09601582","7,4933823","9,40790231","32,96702957"
27/04/2010 17.00,"1,97535673","2,53607106","2,66657654",
