 Brindisi,,,,
,Casale,,,,
Parm,SO2,NO2,NOX,PM10



02/01/2010 8.00,"4,59009119","4,2596167","8,69491751","6,34920597"
02/01/2010 9.00,"4,25383438","8,13636113","12,75055822",
02/01/2010 10.00,"4,75821959","12,45048512","19,67769216","7,81440783"
02/01/2010 11.00,"5,38915419","7,92999897","14,15258767",
02/01/2010 12.00,"4,35868911","3,57304235","8,63655371","4,88400507"
02/01/2010 13.00,"3,9302321","2,46595802","6,88952872",
02/01/2010 14.00,"4,16886606","4,45429845","9,27336826","3,41880298"
02/01/2010 15.00,"6,75406887","9,50302049","16,05524946",
02/01/2010 16.00,"5,57536079","12,47644243","18,58045846","2,93040299"
02/01/2010 17.00,"3,9971212","15,70035741","21,6789252",
02/01/2010 18.00,"3,62470801","15,32527081","21,25352432","5,37240601"
02/01/2010 19.00,"3,93927119","14,20261515","19,05255802",
02/01/2010 20.00,"3,91396111","13,84050912","18,439089","14,65200996"
02/01/2010 21.00,"2,51289005","15,98848434","21,28853304",
02/01/2010 22.00,"3,71329176","9,25382953","13,60137337","14,16361046"
02/01/2010 23.00,"4,15259508","11,00335733","15,32764742",
03/01/2010 0.00,"3,35895574","3,86116928","7,81946051","19,53602028"
03/01/2010 1.00,"2,75333122","4,84884921","9,01656754",
03/01/2010 2.00,"2,27606329","4,95787145","8,97765834","10,25640965"
03/01/2010 3.00,"2,33029888","3,13046789","6,74426834",
03/01/2010 4.00,"1,05758339","2,20768124","6,34220534","7,32600689"
03/01/2010 5.00,"2,31945156","1,79365867","5,90123504",
03/01/2010 6.00,"1,92353549","1,80663733","5,33056614","8,30280876"
03/01/2010 7.00,"1,67766964","3,0058705","6,71443732",
03/01/2010 8.00,"1,99765649","4,64768004","8,81164702","6,34920597"
03/01/2010 9.00,"1,99404105","3,73787205","7,58600531",
03/01/2010 10.00,"1,56016139","4,79823474","9,84533541","5,37240601"
03/01/2010 11.00,"1,41915028","4,52957389","9,67802394",
03/01/2010 12.00,"1,03408153","4,73333955","9,80901888","7,32600689"
03/01/2010 13.00,"0,60743274","3,98187193","8,85055622",
03/01/2010 14.00,"0,60923995","2,4737456","6,77669204","6,83760691"
03/01/2010 15.00,"0,07592922","1,94550971","6,14765934",
03/01/2010 16.00,"0,2422494","3,25116862","7,23452426","7,81440783"
