,Bari,,,
,ENAIP,,,
Parm,SO2,NO2,CO,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3


04/01/2010 14.00,"2,88067894","24,02101048","1,06695943","19,20000076"
04/01/2010 15.00,"2,66756252","28,85687912","1,61608101","19,20000076"
04/01/2010 16.00,"2,57364766","26,07553096","1,4855847","19,20000076"
04/01/2010 17.00,"2,68381724","25,22153616","1,53922014","19,20000076"
04/01/2010 18.00,"2,84636333","29,88999008","1,54648857","19,20000076"
04/01/2010 19.00,"2,70187814","30,4130368","1,5647348","19,20000076"
04/01/2010 20.00,"2,48334416","24,0690208","1,47642081","19,20000076"
04/01/2010 21.00,"2,45083474","19,79382704","1,44115044","19,20000076"
04/01/2010 22.00,"2,55197437","18,38565242","1,41373915","19,20000076"
04/01/2010 23.00,"2,53571966","18,1066075","1,41287123","19,20000076"
05/01/2010 0.00,"2,62782935","28,50774792","1,51117859","19,20000076"
05/01/2010 1.00,"2,79760021","27,35653272","1,49079808","18,5"
05/01/2010 2.00,"2,44722236","31,54606888","1,50809716","18,5"
05/01/2010 3.00,"2,75425466","20,73349856","1,44249368","18,5"
05/01/2010 4.00,"2,70187814","23,1047036","1,47045718","18,5"
05/01/2010 5.00,"2,55739295","21,4732896","1,44091394","18,5"
05/01/2010 6.00,"2,83191481","19,27339976","1,38020696","18,5"
05/01/2010 7.00,"2,77050937","22,1338856","1,34608294","18,5"
05/01/2010 8.00,"2,68201206","17,11244398","1,30354413","18,5"
05/01/2010 9.00,"2,43638622","23,65241512","1,31958036","18,5"
05/01/2010 10.00,"2,55016818","16,35837221","1,29209102","18,5"
05/01/2010 11.00,"2,49959887","21,67963264","1,33253399","18,5"
05/01/2010 12.00,"2,23230076","19,52777224","1,33150879","18,5"
05/01/2010 13.00,"2,39484686","18,73867646","1,42705044","18,5"
05/01/2010 14.00,"2,16728192","17,10075401","1,34951853","18,5"
05/01/2010 15.00,"2,11129403","15,34214612","1,29244518","18,5"
05/01/2010 16.00,"2,05530615","9,69250925","1,20014223","18,5"
05/01/2010 17.00,"2,12754875","8,17399885","1,1750225","18,5"
05/01/2010 18.00,"2,29551341","7,01370165","1,18157912","18,5"
05/01/2010 19.00,"2,36053124","5,40044782","1,21238638","18,5"
05/01/2010 20.00,"2,2792587","6,4893605","1,25038285","18,5"
05/01/2010 21.00,"2,06975467","5,596424","1,25421337","18,5"
05/01/2010 22.00,"2,14560965","8,73727596","1,28525713","18,5"
05/01/2010 23.00,"2,08420319","7,41085082","1,3135375","18,5"
06/01/2010 0.00,"2,20882128","4,9734466","1,32309516","18,5"
06/01/2010 1.00,,"4,04676521","1,35169009","10,5"
06/01/2010 2.00,"2,29731859",,"1,3441071","10,5"
06/01/2010 3.00,"2,29912478",,,"10,5"
06/01/2010 4.00,"2,10948784","4,15319095","1,43577862","10,5"
06/01/2010 5.00,"2,08962075","3,7365738","1,40449721","10,5"
06/01/2010 6.00,"1,86205683","3,06167986","1,399165","10,5"
06/01/2010 7.00,"1,86386302","3,61197832","1,39849396","10,5"
06/01/2010 8.00,"1,85663825","5,6729996","1,40765785","10,5"
06/01/2010 9.00,"1,78800804","5,04872204","1,42242889","10,5"
06/01/2010 10.00,"2,03543906","5,07987234","1,39138513","10,5"
06/01/2010 11.00,"1,82051746","5,27325394","1,40702642","10,5"
06/01/2010 12.00,"1,7031221","3,98057368","1,35820826","10,5"
06/01/2010 13.00,"1,78981423","4,7489147","1,37001787","10,5"
06/01/2010 14.00,"1,96680884","5,02665947","1,37218943","10,5"
06/01/2010 15.00,"2,1004579","5,3005095","1,36547553","10,5"
06/01/2010 16.00,"1,75549862","5,51076449","1,37550735","10,5"
06/01/2010 17.00,"1,89637142","7,06431802","1,41543772","10,5"
06/01/2010 18.00,"1,89817762","0,71123532","1,39659851","10,5"
06/01/2010 19.00,"2,08781557",,"1,4407555","10,5"
06/01/2010 20.00,"2,04988757",,"1,47010185","10,5"
06/01/2010 21.00,"2,07878461",,"1,55375468","10,5"
06/01/2010 22.00,"1,96500265",,"1,39999448","10,5"
06/01/2010 23.00,"2,0625299",,"1,43009109","10,5"
07/01/2010 0.00,"2,10948784",,"1,42645746","10,5"
07/01/2010 1.00,"2,18353663",,"1,52662183","8,30000019"
07/01/2010 2.00,"2,25939161",,"1,48013367","8,30000019"
07/01/2010 3.00,"2,15463959",,"1,41934863","8,30000019"
07/01/2010 4.00,"2,21062748",,"1,37973397","8,30000019"
07/01/2010 5.00,"2,05349996",,"1,373888","8,30000019"
07/01/2010 6.00,"2,13657869",,"1,35216424","8,30000019"
07/01/2010 7.00,"2,02460292",,"1,3237662","8,30000019"
07/01/2010 8.00,"2,18534282",,"1,35003229","8,30000019"
07/01/2010 9.00,"2,48515035",,"1,36895073","8,30000019"
07/01/2010 10.00,"2,38220453",,"1,36725216","8,30000019"
07/01/2010 11.00,"1,95236033",,"1,31511608","8,30000019"
07/01/2010 12.00,"2,04808138",,"1,33849879","8,30000019"
07/01/2010 13.00,"2,03182667",,"1,31507763","8,30000019"
07/01/2010 14.00,"2,00292963",,"1,35109827","8,30000019"
07/01/2010 15.00,"2,04627519",,"1,35082216","8,30000019"
07/01/2010 16.00,"2,10768165",,"1,3741641","8,30000019"
07/01/2010 17.00,"2,60615708",,"1,43080291","8,30000019"
07/01/2010 18.00,"2,11490642",,"1,42949927","8,30000019"
07/01/2010 19.00,"2,36053124",,"1,42626057","8,30000019"
