NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


10/02/2010 15.00,"63,1780989","20,41551384","0,58478923","1,41505278",
10/02/2010 16.00,"61,1151093","17,62510471","0,55423361","1,1045576","14,16361046"
10/02/2010 17.00,"49,70225295","27,15277088","0,68286242","1,54585119",
10/02/2010 18.00,"36,2035842","42,187324","0,7856562","3,42427256","13,18680954"
10/02/2010 19.00,"32,67369105","49,14511112","1,0609923","1,46180834",
10/02/2010 20.00,"28,7113218","50,83245112","0,91436423","3,08110625","9,76801014"
10/02/2010 21.00,"31,4816586","59,43864992","1,07559208","3,19556858",
10/02/2010 22.00,"36,78207435","50,87397976","0,91707635","3,25053642","15,62880993"
10/02/2010 23.00,"36,9471606","46,53259256","0,78726856","3,21609876",
11/02/2010 0.00,"37,57532625","34,30793376","0,74098311","2,82381339","9,76801014"
11/02/2010 1.00,"41,736198","22,24810848","0,66500996","2,60592622",
11/02/2010 2.00,"51,7115571","15,51735415","0,57440675","1,96253033","18,55920982"
11/02/2010 3.00,,"7,65095595","0,51722971","1,6923236",
11/02/2010 4.00,"62,93113785",,"0,46842903","1,44209481","8,79120922"
11/02/2010 5.00,"50,35725135","12,58156993",,"1,45302248",
11/02/2010 6.00,"42,95225025","12,08448243","0,64334213","1,9673865","5,37240601"
11/02/2010 7.00,"39,2343084","16,60886524","0,70527702","2,11463183",
11/02/2010 8.00,"35,9686929","24,63749664","0,74645045","2,85185004","9,76801014"
11/02/2010 9.00,"32,1406869","32,92699176","0,94464375","3,04909618",
11/02/2010 10.00,"37,54444365","28,26503864","0,95604677","3,71423655","5,37240601"
11/02/2010 11.00,"44,23136445","24,76468288","0,85620394","3,71103605",
11/02/2010 12.00,"57,1649694","19,1215296","0,703547","3,30859593","9,76801014"
11/02/2010 13.00,"59,5299621","18,30777475","0,67751507","2,94865115",
11/02/2010 14.00,"58,3233063","21,18775152","0,67657142","3,23397966","11,72161007"
11/02/2010 15.00,"65,0357232","16,5945826","0,5846704","2,99799091",
11/02/2010 16.00,"61,45200495","17,06831693","0,60193453","2,44488427","13,67521"
11/02/2010 17.00,"54,11411565","23,14105072","0,60732149","2,41530279",
11/02/2010 18.00,"51,8551572","26,26502928","0,63712918","3,32426993","12,21000957"
11/02/2010 19.00,"40,27452135","38,57534568","0,78388656","2,89125473",
11/02/2010 20.00,"35,37811305","44,54036504","0,82781172","3,81159091","14,16361046"
11/02/2010 21.00,"11,73767427","74,26814104","1,21814264","4,28169306",
11/02/2010 22.00,"12,98057124","72,04226712","1,10366974","3,81368796","7,32600689"
11/02/2010 23.00,"7,04931854","71,3790708","1,17571101","4,08919326",
12/02/2010 0.00,"17,72127378","54,23028544","0,90437552","4,29515915","19,04759979"
12/02/2010 1.00,"25,14775305","36,07823544","0,70252529","3,46422947",
12/02/2010 2.00,"35,3579835","26,13784304","0,6369323","2,53771196","21,48962021"
12/02/2010 3.00,"41,4395814","12,84504162","0,55675117","2,31706568",
12/02/2010 4.00,"53,6765523","9,21748814","0,49292665","1,95237558","19,53602028"
12/02/2010 5.00,"54,2496759","8,57504085","0,48938738","1,66693622",
12/02/2010 6.00,"48,9358338","9,94559495","0,64522943","1,7560122","12,69841003"
12/02/2010 7.00,"47,2688118","18,74126913","0,66327877","8,73612763",
12/02/2010 8.00,"37,9645707","36,67525744","0,72505756","2,74952866","15,14041042"
12/02/2010 9.00,"15,92135885","59,42566744","0,96477728","2,78827127",
12/02/2010 10.00,"38,5819833","39,08540992","0,94240229","3,33376261","10,25640965"
12/02/2010 11.00,"49,5962187","23,0709568","0,66536296","2,44753356",
12/02/2010 12.00,"40,7416107","40,64154848","0,83284452","3,21378102","15,14041042"
12/02/2010 13.00,"45,7641828","32,21446584","0,72222661","3,17978373",
12/02/2010 14.00,"60,29366805","21,86004896","0,63362952","3,1748167","15,62880993"
12/02/2010 15.00,"73,71718515","14,97095618","0,54680091","2,85681707",
12/02/2010 16.00,"68,3308647","20,3155736","0,57853551","1,99939658","16,11721039"
12/02/2010 17.00,"57,15960285","28,26503864","0,67916588","2,62844362",
12/02/2010 18.00,"63,13247325","22,34804872","0,61129298","2,77403327","12,21000957"
12/02/2010 19.00,"50,0727045","34,84656328","0,74098311","4,07120152",
12/02/2010 20.00,"38,74439625","46,9660812","0,83685562","3,73609188","12,69841003"
12/02/2010 21.00,"29,7287319","54,27829576","0,91243732","3,16996052",
12/02/2010 22.00,"27,5878974","55,50090504","0,89222457","3,21278741","8,30280876"
12/02/2010 23.00,"39,45577335","44,92842456","0,80248579","3,21808598",
13/02/2010 0.00,"54,9744594","30,30401456","0,78514476","3,36378547","16,60560989"
13/02/2010 1.00,"60,0400038","23,028128","0,69135644","3,20616471",
13/02/2010 2.00,"66,5953743","14,06243687","0,62462291","3,00516483","15,14041042"
13/02/2010 3.00,,"13,42518066","0,62069103","2,8203922",
13/02/2010 4.00,"65,1189546",,"0,6149103","2,90803217","14,65200996"
13/02/2010 5.00,"69,1469394","15,26557243",,"2,66431626",
13/02/2010 6.00,"64,02906615","11,21620308","0,57590028","2,99070614","10,25640965"
13/02/2010 7.00,"58,07634525","14,11176074","0,59780461","2,62115885",
13/02/2010 8.00,"52,58666385","18,24158896","0,62517395","2,86189394","9,76801014"
13/02/2010 9.00,"53,2859712","21,26042664","0,69847342","2,6075819",
13/02/2010 10.00,"60,18765375","19,60954848","0,67153746","3,77593896","6,34920597"
13/02/2010 11.00,"65,00889045","17,11244398","0,65541386","3,50815981",
13/02/2010 12.00,"65,9108499","18,38565242","0,78722895","4,07031774","14,65200996"
13/02/2010 13.00,"68,66776035","19,78216384","0,75852218","3,98168416",
13/02/2010 14.00,"68,09731005","22,42850568","0,78310019","4,68336026","16,60560989"
13/02/2010 15.00,"74,03662455","18,3311413","0,67122291","4,17848891",
13/02/2010 16.00,"77,52236835","15,33954198","0,63724685","3,23519396","15,14041042"
13/02/2010 17.00,"74,93457405","19,36163856","0,65655556","3,6753841",
13/02/2010 18.00,"55,59995175","34,50521392","0,83646301","4,00320795","16,60560989"
13/02/2010 19.00,"22,9975221","69,91117104","1,2285624","6,77779243",
13/02/2010 20.00,"32,6466987","58,62228328","1,10040658","8,22717303","20,51280975"
13/02/2010 21.00,"28,59455445","63,71772504","1,06292969","7,84051675",
13/02/2010 22.00,"19,75607403","66,01625496","1,12993816","8,36360155","26,86202049"
13/02/2010 23.00,"33,1473639","53,56576984","1,01640891","8,43545768",
14/02/2010 0.00,"35,40899565","44,2872736","1,05537933","8,37728732","28,32722092"
14/02/2010 1.00,"36,6384543","35,66161064","0,92553076","7,62395474",
14/02/2010 2.00,"36,7404786","36,81022552","0,95671548","7,49083859","27,35042"
14/02/2010 3.00,"44,5951128","29,2462388","0,77857766","7,07548359",
14/02/2010 4.00,"52,73565045","22,84383032","0,74350067","5,49353907","36,14162064"
14/02/2010 5.00,"52,8269217","17,76137678","0,69237931","4,54240711",
14/02/2010 6.00,"57,8132646","9,21748814","0,60991711","4,18599539","25,88521957"
14/02/2010 7.00,"56,19992805","10,17401586","0,57228295","3,95309629",
14/02/2010 8.00,"61,69762935","12,05333595","0,57149658","3,82439494","13,67521"
14/02/2010 9.00,"54,42282195","20,26106248","0,64703867","3,62328522",
14/02/2010 10.00,"54,82146285","22,23772632","0,79820092","5,28889731","7,32600689"
14/02/2010 11.00,"69,89991225","17,41354956","0,70213152","5,21030762",
14/02/2010 12.00,"72,98298525","18,3233499","0,73673668","5,03226652","5,37240601"
14/02/2010 13.00,"68,6878899","23,5823212","0,79230136","6,10437368",
14/02/2010 14.00,"61,60099155","33,1372544","0,80103187","5,88494067","3,41880298"
14/02/2010 15.00,"73,8863013","16,73086614","0,64904364","4,36580099",
14/02/2010 16.00,"63,7069335","22,226044","0,74597863","4,9119544","3,41880298"
14/02/2010 17.00,"54,83355255","29,16576272","0,76308432","5,05522529",
14/02/2010 18.00,"47,566785","37,59934616","0,74995011",,"9,76801014"
14/02/2010 19.00,"39,74838","40,86609376","0,84184997",,
14/02/2010 20.00,"38,5685769","45,14256856","0,83815343",,"4,88400507"
14/02/2010 21.00,"24,85783965","57,80331632","0,96190672",,
14/02/2010 22.00,"28,0375305","52,94668336","0,87975791",,"3,41880298"
14/02/2010 23.00,"35,7673575","43,63185912","0,75199469",,
15/02/2010 0.00,"45,14140365","31,35657056","0,69878914",,"3,90720391"
15/02/2010 1.00,"57,5327277","17,51218582","0,65730232","5,34198878",
15/02/2010 2.00,"67,08795975","10,17012685","0,60122621","4,63291706","4,88400507"
15/02/2010 3.00,,"7,17593485","0,58549638","4,42253535",
15/02/2010 4.00,"75,3533445",,"0,55006524","4,4901984","8,30280876"
15/02/2010 5.00,"73,5225729","14,17665593",,"4,17749632",
15/02/2010 6.00,"74,92384095","11,00464793","0,60637784","4,42242552","5,37240601"
15/02/2010 7.00,"64,5552075","15,21624857","0,65580763","3,92737738",
15/02/2010 8.00,"55,4482719","22,05732912","0,69918174","4,70124115","3,41880298"
15/02/2010 9.00,"46,3346331","27,74329208","0,79202642","5,4456343",
15/02/2010 10.00,"46,19504295","32,43771096","0,92277903","6,86554326","6,34920597"
15/02/2010 11.00,"56,7113064","26,42856264","0,80500335","8,2376583",
15/02/2010 12.00,"62,9727336","21,09689328","0,7271033","6,07070793","8,30280876"
15/02/2010 13.00,"62,17411515","22,65305096","0,6441285","5,32642563",
15/02/2010 14.00,"56,75425875","26,5090196","0,67350398","5,87313025","23,44322014"
15/02/2010 15.00,"63,41029695","19,50180728","0,59068762","5,58504263",
15/02/2010 16.00,"56,49387135","26,81792232","0,62442719","5,39011424","28,32722092"
15/02/2010 17.00,"48,81906645","35,04124312","0,74703994","6,33208405",
15/02/2010 18.00,"41,25701895","39,06204528","0,8017798",,"19,04759979"
15/02/2010 19.00,"34,50434295","46,170498","0,86194506",,
15/02/2010 20.00,"31,4454294","51,93563688","0,94145864",,"31,74603081"
15/02/2010 21.00,"26,81074515","55,50998704","0,99057387",,
15/02/2010 22.00,"28,1543178","52,42103632","1,00614643",,"25,88521957"
15/02/2010 23.00,"30,6253248","44,59877664","0,82796783",,
16/02/2010 0.00,"36,8693157","31,08533424","0,79639051",,"33,21123123"
16/02/2010 1.00,"44,48907855","20,2974096","0,60924724","6,63970926",
16/02/2010 2.00,"45,317223","17,41484016","0,55832276","4,47242734","29,30401993"
16/02/2010 3.00,"58,6924212","9,39659474","0,48557433","4,35123145",
16/02/2010 4.00,"57,3220158","8,01695482","0,47051205","3,69657635","16,60560989"
16/02/2010 5.00,"65,94709905","6,0143394","0,42776703","3,2879549",
16/02/2010 6.00,"65,8558278","7,94687046","0,65262252","4,80014135","8,30280876"
16/02/2010 7.00,"53,68594875","17,99370198","0,5838048",,
16/02/2010 8.00,"31,7393727","41,64351296","0,75679216","6,53098586","15,14041042"
16/02/2010 9.00,"20,7828726","52,18872832","0,88656151","8,58038425",
16/02/2010 10.00,"33,88557375","37,30862656","0,9350092","7,01411272","17,09399986"
16/02/2010 11.00,"42,8838018","42,00690768","0,74495576","6,14134976",
16/02/2010 12.00,"50,1505494","30,75046656","0,73142778","5,46980738","24,90842056"
16/02/2010 13.00,"39,23967495","41,73435208","0,81129435","5,16085803",
16/02/2010 14.00,"52,58131725","32,89066376","0,69705911","5,63482274","26,37360954"
16/02/2010 15.00,"66,9188436","18,38954908","0,54338047","4,37562521",
16/02/2010 16.00,"67,60203135","17,07869335","0,52430825","3,46544377","33,21123123"
16/02/2010 17.00,"66,06384645","19,27598096","0,60578719","3,65264601",
16/02/2010 18.00,"69,779115","20,95282408","0,65132471","4,56911861","21,97801971"
16/02/2010 19.00,"72,63669315","18,55956986","0,62198884","3,87737657",
16/02/2010 20.00,"71,3682921","23,49536344","0,58714835","4,2540988","16,60560989"
16/02/2010 21.00,"69,9468945","25,16184352","0,66190291","4,5536653",
16/02/2010 22.00,"71,16964995","23,54727424","0,61687682","4,29537984","8,79120922"
16/02/2010 23.00,"77,4579498","14,0403743","0,50095","3,71843168",
17/02/2010 0.00,"77,7398034","10,74508437","0,48290066","2,63760476","4,88400507"
17/02/2010 1.00,"77,3116365","7,85601986","0,41309968",,
17/02/2010 2.00,"78,9303396","5,51595748","0,38498357",,"5,86080599"
17/02/2010 3.00,,"4,9422963","0,36815165","2,42479547",
17/02/2010 4.00,"78,51156915",,"0,37719671","2,00546705","4,88400507"
17/02/2010 5.00,"72,1548408","6,41408506",,"2,06617585",
17/02/2010 6.00,"59,06151615","6,46469953","0,5230885","2,2575722","6,34920597"
17/02/2010 7.00,"50,42839305","9,45889153","0,54184733","6,10315938",
17/02/2010 8.00,"43,24216365","17,55371828","0,55411594","3,86126119","3,90720391"
17/02/2010 9.00,"46,90239015","18,41030958","0,62458446","4,15486807",
17/02/2010 10.00,"53,7812499","15,9651197","0,65388072","4,23743118","5,37240601"
17/02/2010 11.00,"46,74267045","21,76790968","0,69945785","4,46812238",
17/02/2010 12.00,"47,3023677","23,1812792","0,65856052","5,39309405","3,41880298"
17/02/2010 13.00,"52,56922755","19,36943952","0,58946787","4,58148127",
17/02/2010 14.00,"44,8179144","27,00482032","0,69375634","4,00453208","8,79120922"
17/02/2010 15.00,"47,1829071","22,50380024","0,60036062","4,38180654",
17/02/2010 16.00,"43,4408058","24,65306032","0,61396665","3,05693318","14,65200996"
17/02/2010 17.00,"34,7244513","33,0606788","0,74267469","4,47496577",
17/02/2010 18.00,"23,6149347","38,41439352","0,80095381","5,65104898","12,69841003"
17/02/2010 19.00,"8,71366724","52,73772088","1,08023344","5,42841548",
17/02/2010 20.00,"7,8895467","56,64561944","0,97413572","6,81741882","27,35042"
17/02/2010 21.00,"9,57134367","57,59305368","1,00980336","6,60891348",
17/02/2010 22.00,"12,32154095","61,76962648","1,04653232","7,83190785","34,67642975"
17/02/2010 23.00,"26,35708215","40,3196824","0,73775955","6,36442566",
18/02/2010 0.00,"46,6352796","21,5498652","0,53830806","4,59870009","38,0952301"
18/02/2010 1.00,"54,7194585","11,53677856","0,41510465","3,3765895",
18/02/2010 2.00,"60,0279141","7,2486157","0,36712995","2,55206183","22,46640968"
18/02/2010 3.00,"57,47904225","5,09414734","0,34931593","1,95612831",
18/02/2010 4.00,"51,7370532","6,03380738","0,3653207","2,13902559","11,72161007"
18/02/2010 5.00,"58,1072079","5,21225349","0,35273637","1,84287926",
18/02/2010 6.00,"53,1517476","7,07080735","0,37975272","1,76108907","14,65200996"
18/02/2010 7.00,"36,29485545","18,37267186","0,52485813","5,28117015",
18/02/2010 8.00,"35,4210654","25,04243912","0,48470874","3,55341529","21,48962021"
18/02/2010 9.00,"43,40591325","26,47917328","0,57794602","2,94677479",
18/02/2010 10.00,"42,7482216","29,0930876","0,85282194","4,77784363","13,67521"
18/02/2010 11.00,"56,97035715","18,02613715","0,56017161","4,38401343",
18/02/2010 12.00,"69,8797827","12,37520203","0,42462153","2,72359007","15,14041042"
18/02/2010 13.00,"71,34548925","11,96897086","0,45317102","3,10958327",
18/02/2010 14.00,"70,06769175","12,74639389","0,43818912","3,85055421","16,11721039"
18/02/2010 15.00,"69,06640125","13,16950228","0,42768898","3,44204362",
18/02/2010 16.00,"67,3886262","14,14420738","0,41353306","2,40338152","18,07081032"
18/02/2010 17.00,"62,0211186","18,97618701","0,48054037","2,88882613",
18/02/2010 18.00,"48,62982075","28,21832848","0,57924383","3,04092763","18,55920982"
18/02/2010 19.00,"53,2081263","27,03076616","0,54982991","3,40694288",
18/02/2010 20.00,"47,9157504","31,57331488","0,59855254","4,54626968","18,55920982"
18/02/2010 21.00,"38,95646475","41,4462328","0,70323245","4,47794558",
18/02/2010 22.00,"25,4618259","55,18810184","0,76536539","5,64950314","17,58241081"
18/02/2010 23.00,"19,24066778","61,5204164","0,77590398","4,59130447",
19/02/2010 0.00,"36,61832475","38,8959116","0,65360578","5,84244533","17,09399986"
19/02/2010 1.00,"42,93345735","17,51737307","0,4894666","4,20056493",
19/02/2010 2.00,"45,213882","15,93007847","0,48942699","3,79150211","23,93161964"
19/02/2010 3.00,,"6,59838274","0,37861219","2,85681707",
19/02/2010 4.00,"66,24371565",,"0,34432158","2,45261042","15,14041042"
19/02/2010 5.00,"70,11601065","5,08117059",,"1,85656706",
19/02/2010 6.00,"73,33330725","5,5509987","0,50806699","2,81266503","11,72161007"
19/02/2010 7.00,"68,22483045","9,81450823","0,43170007",,
19/02/2010 8.00,"54,4550412","17,30322716","0,57841784","4,1487976","28,32722092"
19/02/2010 9.00,"51,96657795","23,38506016","0,60063672","3,49910952",
19/02/2010 10.00,"58,7205906","22,42332416","0,73079868","4,52198677","31,74603081"
19/02/2010 11.00,"57,6817143","18,87884326","0,55132344","3,86523461",
19/02/2010 12.00,"58,71753825","17,76656212","0,53752052","7,21257417","47,37483978"
19/02/2010 13.00,,"17,5716624","0,62122577",,
19/02/2010 14.00,"44,86625325",,,,"56,16604996"
19/02/2010 15.00,"48,09695625","23,3863412","0,63830816","2,63341065",
19/02/2010 16.00,"51,3974643","20,11311192","0,63307848","1,94818046","80,58608246"
19/02/2010 17.00,"53,5678248","22,41424216","0,68844743","3,0440183",
19/02/2010 18.00,"46,9627788","26,96069136","0,6597395","2,26253922","82,05126953"
19/02/2010 19.00,"36,7310622","36,1742752","0,75352899","2,05833884",
19/02/2010 20.00,"16,03276364","56,95192184","1,12852269","3,03816851","90,3540802"
19/02/2010 21.00,"8,06403339","71,7801128","1,29856026","5,63151139",
19/02/2010 22.00,"6,85201304","76,31357952","1,35227608","6,00072816","98,16847992"
19/02/2010 23.00,"6,1768791","69,13115152","1,15785739","5,84697098",
20/02/2010 0.00,"23,63506425","50,4716376","0,83209776","4,70907917","111,3553009"
20/02/2010 1.00,"28,62140715","41,8991856","0,79525114","3,36279186",
20/02/2010 2.00,"42,3160248","33,92377472","0,71679887","2,39521399","104,5177002"
20/02/2010 3.00,"44,4716223","35,14636488","0,66229668","2,08924446",
20/02/2010 4.00,"31,97963055","35,67459312","0,71015371","4,5974858","75,70207214"
20/02/2010 5.00,"54,76241085","17,29154675","0,55285774","2,74213303",
20/02/2010 6.00,"56,49921795","13,43037938","0,52658932","2,66994536","56,16604996"
20/02/2010 7.00,"54,77984715","22,50898176","0,5560813","1,63669268",
20/02/2010 8.00,"49,70895615","31,24884848","0,69524987","1,97908709","45,90964127"
20/02/2010 9.00,"37,6598943","49,60986096","1,15758361","2,34256289",
20/02/2010 10.00,"45,97894455","45,05172944","1,00374769","4,21712169","30,76922989"
20/02/2010 11.00,"56,75425875","34,74014136","0,94232307","3,91015855",
20/02/2010 12.00,"53,45776065","37,28526192","0,88899985","3,56169367","29,7924099"
20/02/2010 13.00,"57,7246866","33,83421664","0,85042204",,
20/02/2010 14.00,"50,1357864","41,85375648","0,84959722",,"32,72283173"
20/02/2010 15.00,"61,0936431","26,91916272","0,70795186",,
20/02/2010 16.00,"79,35852645","12,8930615","0,58938981",,"31,25761986"
20/02/2010 17.00,"76,62174555","13,18119034","0,60382183",,
20/02/2010 18.00,"68,0369214","19,71337008","0,66119575",,"23,93161964"
20/02/2010 19.00,"59,43466095","27,06711328","0,70433337","2,30128184",
20/02/2010 20.00,"55,049631","30,91269976","0,76033143","3,14898897","13,18680954"
20/02/2010 21.00,"48,17212785","38,28332592","0,78762155","3,16907777",
20/02/2010 22.00,"45,0273096","44,06534776","0,83901786","4,04758067","9,27960968"
20/02/2010 23.00,"68,7899142","17,32269514","0,58616509","2,85008351",
21/02/2010 0.00,"67,2798987","16,91386939","0,57012071","2,097413","12,69841003"
21/02/2010 1.00,"69,2918961","16,06246344","0,53866105","2,1542572",
21/02/2010 2.00,"72,50382615","12,34275539","0,51451643","1,87511002","11,72161007"
21/02/2010 3.00,,"10,22463223","0,49387146","1,53039787",
21/02/2010 4.00,"76,38146775",,"0,46591146","1,49187595","18,07081032"
21/02/2010 5.00,"75,19093155","16,18835143",,"1,47951329",
21/02/2010 6.00,"73,6876392","12,44658846","0,40602114","1,4592038","23,93161964"
21/02/2010 7.00,"70,71598695","12,44269372","0,41715039","1,24418661",
21/02/2010 8.00,"65,46658335","13,91059157","0,44105852","1,22895399","12,69841003"
21/02/2010 9.00,"67,94162025","12,78792444","0,44451973","1,54596102",
21/02/2010 10.00,"70,43947995","11,18635867","0,48930932","1,82830972","6,83760691"
21/02/2010 11.00,"73,78429695","12,59714126","0,53909327","1,87798",
21/02/2010 12.00,"72,8836542","15,03584181","0,5700811","1,76318612","4,39560509"
21/02/2010 13.00,"72,40850505","19,4706608","0,5800302","2,75317155",
21/02/2010 14.00,"72,0031809","20,52583624","0,60535497","2,68186663","12,69841003"
21/02/2010 15.00,"81,8724858","12,18701343","0,5348084","2,34046583",
21/02/2010 16.00,"82,2214512","9,96246644","0,54062757","1,9977409","13,67521"
21/02/2010 17.00,"71,13609405","19,33829304","0,59536743","1,85778034",
21/02/2010 18.00,"54,3503436","31,62134432","0,72352325","2,37633949","11,23320961"
21/02/2010 19.00,"35,4210654","45,13090536","0,83166554","3,20174991",
21/02/2010 20.00,"34,91236035","45,5488112","0,87830399","3,86258532","14,65200996"
21/02/2010 21.00,"15,4140084","68,65223376","1,01774633","4,6533374",
21/02/2010 22.00,"18,56553384","65,24013592","0,98337767","4,77618897","21,97801971"
21/02/2010 23.00,"24,49139805","54,91554624","0,91200511","4,62077611",
22/02/2010 0.00,"21,44591085","52,23673864","0,97995606","4,47827712","30,76922989"
22/02/2010 1.00,"34,61438715","32,96463904","0,83103528","4,26480476",
22/02/2010 2.00,"34,869408","27,62518784","0,72773123","3,56842723","33,69963074"
22/02/2010 3.00,"57,31664925","14,87750718","0,55415555","2,70570816",
22/02/2010 4.00,"52,1236044","13,37197161","0,5348084","1,87500019","23,93161964"
22/02/2010 5.00,"52,9839681","12,19870149","0,54153161","2,00833702",
22/02/2010 6.00,"62,5566564","11,23826565","0,6407069","3,07282685","15,14041042"
22/02/2010 7.00,"55,76370135","18,64522746","0,65026339","5,39905469",
22/02/2010 8.00,"47,61241065","26,65957048","0,80708754","3,10870051","20,51280975"
22/02/2010 9.00,"43,9964931","34,66744712","0,86693825","3,28563716",
22/02/2010 10.00,"38,86250025","44,54296536","1,04959976","5,36627271","11,23320961"
22/02/2010 11.00,"55,0845435","24,01192848","0,69611546","3,82936197",
22/02/2010 12.00,"53,85640155","30,45454632","0,76123547","2,8929104","10,25640965"
22/02/2010 13.00,"50,73442605","34,68561112","0,77940364","3,25484138",
22/02/2010 14.00,"50,34919155","43,19316984","0,9201438","2,9867317","17,09399986"
22/02/2010 15.00,"59,99569485","22,71794424","0,70055877","4,21425172",
22/02/2010 16.00,"53,61883695","31,74853056","0,7090924","2,54786773","15,14041042"
22/02/2010 17.00,"57,634752","30,4312008","0,92741922","3,09942852",
22/02/2010 18.00,"47,95602945","33,9458392","0,81184656","3,42162328","14,16361046"
22/02/2010 19.00,"23,97062325","57,55672568","1,08742848","4,57220928",
22/02/2010 20.00,"17,31190377","62,59765632","1,05722818","5,16979848","23,44322014"
22/02/2010 21.00,"24,75581535","58,74166856","1,0090566","5,11979666",
22/02/2010 22.00,"23,36394375","55,38668216","0,96560326","5,18458871","22,46640968"
22/02/2010 23.00,"14,83014173","61,05320008","0,9565582","4,57077429",
23/02/2010 0.00,"19,11583863","51,10758792","0,89191002","4,52231831","25,88521957"
23/02/2010 1.00,"16,93742432","46,10170424","0,87802788","4,34825164",
23/02/2010 2.00,"29,7354351","25,89901512","0,6335503","3,771634","22,95482063"
23/02/2010 3.00,,"14,04686363","0,56689599","2,40404359",
23/02/2010 4.00,"60,6641196",,"0,49906154","1,98030138","19,04759979"
23/02/2010 5.00,"61,11780255","25,53822072",,"1,53691074",
23/02/2010 6.00,"63,88275285","17,04105563","0,50649424","1,66152782","17,09399986"
23/02/2010 7.00,"54,80266995","21,9781532","0,53724558","1,92124826",
23/02/2010 8.00,"32,9607915","43,38006784","0,70547391","2,08659517","13,67521"
23/02/2010 9.00,"24,4457724","59,40360296","1,08837213","2,92182981",
23/02/2010 10.00,"33,58760055","57,69949472","1,22989982","5,64001046","13,18680954"
23/02/2010 11.00,"49,49285775","40,34174688","0,86752774","4,70389044",
23/02/2010 12.00,"61,49362065","29,78354904","0,78070145","3,87340315","29,30401993"
23/02/2010 13.00,"59,3943819","25,88993312","0,67625687","2,58009747",
23/02/2010 14.00,"60,07489635","27,37469672","0,6929688",,"19,04759979"
23/02/2010 15.00,"58,8172284","30,63496264","0,69851303",,
23/02/2010 16.00,"76,19625195","17,27726602","0,59583925",,"14,65200996"
23/02/2010 17.00,"69,7093299","18,50246606","0,59045113",,
23/02/2010 18.00,"58,8695772","26,8399868","0,59831604","1,8174929","19,04759979"
23/02/2010 19.00,"38,214225","47,2970484","0,80799274","2,63385203",
23/02/2010 20.00,"37,2317274","47,66304344","0,75341016","4,03598993","14,16361046"
23/02/2010 21.00,"15,13885002","68,81056648","1,00064064","5,02608519",
23/02/2010 22.00,"4,57158839","83,2753436","1,22482741","5,47322958","9,27960968"
23/02/2010 23.00,"13,06244804","68,58344","0,90862195","5,13712634",
24/02/2010 0.00,"42,7441917","39,70967792","0,67944198","3,81655794","22,95482063"
24/02/2010 1.00,"53,2550886","24,4856456","0,62411264","3,61688321",
24/02/2010 2.00,"57,6830709","13,40701474","0,50897219","2,94997631","27,8388195"
24/02/2010 3.00,"52,10750475","12,26358712","0,47770942","2,08516019",
24/02/2010 4.00,"61,85064585","7,37840418","0,44550183","1,52774859","24,90842056"
24/02/2010 5.00,"75,4795083","6,43355305","0,43791302","1,97787279",
24/02/2010 6.00,"65,31759675","10,53222714","0,44621015","1,69695908","12,69841003"
24/02/2010 7.00,"58,56356415","19,28766328","0,52305005","1,96186724",
24/02/2010 8.00,"47,89294755","33,83291648","0,59473716","2,91068146","9,27960968"
24/02/2010 9.00,"42,17376135","41,56045568","0,84708082","2,87171816",
24/02/2010 10.00,"37,93235145","46,73117288","0,93705377","3,65893718","4,88400507"
24/02/2010 11.00,"59,90444355","21,17086856","0,62458446","3,06543225",
24/02/2010 12.00,"62,26001985","17,20848565","0,59088334","2,30900799","2,93040299"
24/02/2010 13.00,"62,26807965","20,97488856","0,59501327","2,08593311",
24/02/2010 14.00,"57,11798715","23,33703072","0,60936607","2,72778418","5,86080599"
24/02/2010 15.00,"60,84935535","21,94700672","0,56972694","2,99236181",
24/02/2010 16.00,"63,8478603","20,9190964","0,61707371","1,99442955","10,25640965"
24/02/2010 17.00,"54,56510535","24,445398","0,64924052","2,37048869",
24/02/2010 18.00,"45,6313158","32,79332384","0,7215579","2,81862567","11,72161007"
24/02/2010 19.00,"40,18997325","42,34565672","0,83717017","2,90880509",
24/02/2010 20.00,"28,2241029","56,86366392","0,9630857","4,42330827","16,11721039"
24/02/2010 21.00,"18,91182195","64,50424536","1,01353952","5,20004202",
24/02/2010 22.00,"13,83690504","66,5081552","0,93744754","4,70422198","10,7448101"
24/02/2010 23.00,"26,7355935","47,75520184","0,79741454","3,93411093",
25/02/2010 0.00,"40,508076","31,19433736","0,64810115","3,18828381","14,16361046"
25/02/2010 1.00,"36,8371164","24,62841464","0,62867478","2,67656908",
25/02/2010 2.00,"53,0725461","10,58804225","0,57189035","2,2260035","12,69841003"
25/02/2010 3.00,,"8,33493571","0,4782593","1,90138015",
25/02/2010 4.00,"59,5178724",,"0,46190153","1,40710493","10,7448101"
25/02/2010 5.00,"60,93526005","11,8703327",,"1,3788486",
25/02/2010 6.00,"47,7345645","11,83529147","0,47141725","1,64563313","5,86080599"
25/02/2010 7.00,"26,1705297","32,4610756","0,57712003","2,03261993",
25/02/2010 8.00,"32,2158585","39,14770288","0,66658271","2,62160023","7,81440783"
