NetC,Provincia Bari,,,,
Stat,Altamura,,,,
Parm,O3,NO2,CO,Benzene,PM10
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


04/01/2010 17.00,"24,8374707",,"1,17854313","2,88827492",
04/01/2010 18.00,"17,63612718",,"1,32978343","3,03949265","20,51280975"
04/01/2010 19.00,"21,1696233",,"1,3475823","2,8392667",
04/01/2010 20.00,,"24,88928792",,"3,29027264","23,44322014"
04/01/2010 21.00,"19,5559476","45,46575392","1,01971285","3,21786428",
04/01/2010 22.00,"23,5197732","45,39956048","0,95577183","3,33155471","24,90842056"
04/01/2010 23.00,"25,8581127","35,200876","0,71027138","2,53462232",
05/01/2010 0.00,"32,32636155","25,03203784","0,56941356","2,4150821","25,39682007"
05/01/2010 1.00,"26,6546763","24,86462312","0,53524061","1,91639209",
05/01/2010 2.00,"29,12801745","18,16631734","0,4719683","1,9326173","14,65200996"
05/01/2010 3.00,"34,73085525","13,43297397","0,35084907","1,51417265",
05/01/2010 4.00,"43,7696616","7,15387228","0,35541121","1,44507564","11,23320961"
05/01/2010 5.00,"48,3842562","6,54646621","0,43968265","1,20345678",
05/01/2010 6.00,"40,74817425","9,20840423","0,6373249",,"6,83760691"
05/01/2010 7.00,"32,89745025","19,50960824","0,45706445",,
05/01/2010 8.00,"21,057225","28,60508784","0,63740412","2,28770489","8,79120922"
05/01/2010 9.00,"12,78933054",,"0,8090925","2,46585583",
05/01/2010 10.00,"9,2075634",,"0,94877134","2,85924465","11,23320961"
05/01/2010 11.00,"11,88747483","95,772558","1,19332814","3,77019901",
05/01/2010 12.00,"22,06168755","73,2402116","0,89297134","3,18232318","23,93161964"
05/01/2010 13.00,,"77,18315712","1,05077991","3,52030177",
05/01/2010 14.00,,"51,46450096","0,86744968","3,10251919","30,76922989"
05/01/2010 15.00,,"26,24686528","0,52171263","2,24531938",
05/01/2010 16.00,,"34,14830088","0,59355818","1,65501495","23,44322014"
05/01/2010 17.00,,"35,65902944","0,70378349","2,19885062",
05/01/2010 18.00,,"37,12562904","0,73764189","2,18571504","25,39682007"
05/01/2010 19.00,,"57,70079488","0,98070283","2,53837505",
05/01/2010 20.00,,"62,62102096","1,05014964","2,83352675","25,88521957"
05/01/2010 21.00,,"52,19781032","1,04904872","2,74533455",
05/01/2010 22.00,,"52,76886736","0,90807207","3,12967207","20,51280975"
05/01/2010 23.00,,"47,30222992","0,71668121","2,32699973",
06/01/2010 0.00,,"43,167224","0,76913883","1,96926287","23,44322014"
06/01/2010 1.00,,"29,28646728","0,4922591","1,54143639",
06/01/2010 2.00,,"26,93342624","0,41007185","1,80800023","26,37360954"
06/01/2010 3.00,,"15,57576193","0,38289939","1,25997045",
06/01/2010 4.00,,,"0,35478211","1,15842199","16,60560989"
06/01/2010 5.00,,"22,91520528",,"0,97166214",
06/01/2010 6.00,,"16,64780312","0,27766727","0,41480277","19,04759979"
06/01/2010 7.00,,"12,37001669","0,29866639","0,40663423",
06/01/2010 8.00,,"17,06442218","0,30971642","0,35983392","19,53602028"
06/01/2010 9.00,,"23,24487232","0,46992256","0,66138764",
06/01/2010 10.00,,"22,832148","0,5028373","1,11504389","18,07081032"
06/01/2010 11.00,,"22,05212848","0,4736191","1,35931101",
06/01/2010 12.00,,"27,93797192","0,58490689","1,76660833","18,07081032"
06/01/2010 13.00,,"35,10611728","0,54935808","1,82488751",
06/01/2010 14.00,,"44,20031584","0,65395994","2,1645228","16,11721039"
06/01/2010 15.00,,"23,88992376","0,48085492","2,14465469",
06/01/2010 16.00,,"25,42401696","0,62281483","1,53492352","15,62880993"
06/01/2010 17.00,,"51,81363216","0,92612141","2,64709743",
06/01/2010 18.00,,"39,89787608","0,81404841","2,67005621","24,90842056"
06/01/2010 19.00,,"69,36866016","1,03843091","3,44678996",
06/01/2010 20.00,,"61,65020296","0,85136686","3,00406138","18,55920982"
06/01/2010 21.00,,"79,22729544","1,15341408","3,42228534",
06/01/2010 22.00,,"77,86451744","1,113973","4,14890744","22,46640968"
06/01/2010 23.00,,"82,0177256","1,14940298","3,86501392",
07/01/2010 0.00,,"63,31278256","0,97901241","3,87296177","31,74603081"
07/01/2010 1.00,,"29,15538056","0,49623059","2,23924891",
07/01/2010 2.00,,"13,46022188","0,40562854","1,43657657","32,23442078"
07/01/2010 3.00,,"6,79955191","0,35914737","1,16703191",
07/01/2010 4.00,,"7,54582846","0,35360197","0,85046625","25,88521957"
07/01/2010 5.00,,"5,29272192","0,32686172","0,73909458",
07/01/2010 6.00,,"6,69053158","0,95183879","3,69061571","13,67521"
07/01/2010 7.00,,"21,49535408","0,45729978",,
07/01/2010 8.00,,"30,95294736","0,4598954","2,43395661","11,23320961"
07/01/2010 9.00,,"61,1258752","1,06179032","2,01672626",
07/01/2010 10.00,,"69,67884392","1,17468931","4,21866652","6,34920597"
07/01/2010 11.00,,"42,5546192","0,74495576","3,10980396",
07/01/2010 12.00,,"33,90431056","0,63571371","2,46673859","18,07081032"
07/01/2010 13.00,,"32,47403896","0,58683264","2,43693642",
07/01/2010 14.00,,"34,01981448","0,55179526","1,9730156","15,62880993"
07/01/2010 15.00,,"27,69918224","0,48360781","1,87003316",
07/01/2010 16.00,,"27,4188448","0,50146144","1,19385427","23,93161964"
07/01/2010 17.00,,"44,57539288","0,71974865","1,64353607",
07/01/2010 18.00,,"45,0037","0,76143235","1,8174929","18,07081032"
07/01/2010 19.00,,"58,4470676","0,96984969","3,08298262",
07/01/2010 20.00,,"56,7144132","0,89210574","2,24068389","24,42000961"
07/01/2010 21.00,,"58,30819904","1,02061689","3,42018829",
07/01/2010 22.00,,"46,53389272","0,89367966","3,6102605","26,37360954"
07/01/2010 23.00,,"26,5946772","0,5455031","2,75206709",
08/01/2010 0.00,,"11,4459337","0,3877353","1,66241057","30,28083038"
08/01/2010 1.00,,"8,37516993","0,34125413","1,22078646",
08/01/2010 2.00,,"4,87091369","0,28380216","0,73280342","29,7924099"
08/01/2010 3.00,,"3,06038162","0,26307797","0,5873236",
08/01/2010 4.00,"67,75253415",,"0,24538279","0,37418278","15,14041042"
08/01/2010 5.00,"63,8872416","6,35697745",,"0,17881301",
08/01/2010 6.00,"69,0459126","8,07406243","0,48494407",,"20,02441978"
08/01/2010 7.00,"57,32043975","12,2363373","0,29614883","7,63775136",
08/01/2010 8.00,"58,25741145","13,16172044","0,2915098",,"23,93161964"
08/01/2010 9.00,"55,3520331","17,62249866","0,44333959","0,9882189",
