,Comune Bari,,,,
,Japigia,,,,
Parm,SO2,NO2,BENZENE,CO,PM10



01/01/2010 1.00,"6,94794569","16,91127481",,"0,27249467",
01/01/2010 2.00,"4,45015199","17,42522614",,"0,31623226",
01/01/2010 3.00,"3,63380914","17,83145922",,"0,29922559",
01/01/2010 4.00,"3,55434279","28,86856144",,"0,32612544",
01/01/2010 5.00,"3,73494979","23,44345264",,"0,24340695",
01/01/2010 6.00,"3,12449859","15,77952568",,"0,22563371","8,31189823"
01/01/2010 7.00,"3,19132261","20,13777672",,"0,18389525","8,31461143"
01/01/2010 8.00,"3,28162611","20,46742464",,"0,18427854","8,31325531"
01/01/2010 9.00,"3,5001611","29,85754344",,"0,25773878","8,31311989"
01/01/2010 10.00,"3,20215976","17,44729062",,"0,42855224","8,31420517"
01/01/2010 11.00,"3,2834323","5,60680807",,"0,18205572","8,31596947"
01/01/2010 12.00,"3,3014932","6,78008393",,"0,179763","8,31217003"
01/01/2010 13.00,"3,65006385","8,8865305",,"0,16207247","8,31149101"
01/01/2010 14.00,"2,89151508","7,44719029",,"0,1937197","8,31271267"
01/01/2010 15.00,"3,35567489","4,7800631",,"0,18900611","8,31379795"
01/01/2010 16.00,"3,3737358","2,46206328",,"0,20548154","8,31176281"
01/01/2010 17.00,"2,61699322","4,56202053",,"0,21961881","8,31203365"
01/01/2010 18.00,"2,84636333","3,76382936",,"0,21391963","8,31339073"
01/01/2010 19.00,"2,99626709","5,05391503",,"0,21715484","8,31135559"
01/01/2010 20.00,"2,88067894","6,21940331",,"0,22913104","8,31054211"
01/01/2010 21.00,"3,19493499","7,29014817",,"0,22686861","8,31027031"
01/01/2010 22.00,"2,88248513","11,70420858",,"0,24514979","8,31217003"
01/01/2010 23.00,"2,75606085","12,10264834",,"0,23849531","8,31352615"
02/01/2010 0.00,"3,66812475","5,98448926",,"0,21923786","8,31284809"
02/01/2010 1.00,"4,10338753","4,70219116",,"0,21223038",
02/01/2010 2.00,,"4,97474294",,"0,22092827",
02/01/2010 3.00,"3,48932395",,,"0,19643764",
02/01/2010 4.00,"2,833721","20,41551384",,"0,21101063",
02/01/2010 5.00,"2,4418048","9,77167943",,"0,20349172",
02/01/2010 6.00,"3,5001611","8,95012554",,,"6,05372381"
02/01/2010 7.00,"1,22270859","13,51993173",,"0,18761277","6,05263901"
02/01/2010 8.00,"0,36302018","20,19098768",,"0,26543593","6,05263901"
02/01/2010 9.00,"1,85302587","20,14945904",,"0,25284345","6,05318213"
02/01/2010 10.00,"3,02155277","24,00284648",,"0,27228963","6,05413103"
02/01/2010 11.00,"3,26898378","20,5271364",,"0,25767703","6,05236816"
02/01/2010 12.00,"2,58628999","13,74835072",,"0,23954847","6,05236816"
02/01/2010 13.00,"2,67117491","13,78989083",,"0,22267111","6,05331707"
02/01/2010 14.00,"2,83191481","11,51471599",,"0,20091241","6,05440187"
02/01/2010 15.00,"1,63087951","10,74637688",,"0,19736615","6,05426693"
02/01/2010 16.00,"0,98430752","8,98646692",,"0,19826553","6,05263901"
02/01/2010 17.00,"2,64227787","11,9936261",,"0,21905146","6,05386019"
02/01/2010 18.00,"2,49056791","15,94824438",,"0,25571284","6,05467415"
02/01/2010 19.00,"2,58448379","14,53615973",,"0,25289587","6,05263901"
02/01/2010 20.00,"2,13657869","15,17731069",,"0,24462088","6,05399609"
02/01/2010 21.00,"2,32079807","13,12537714",,"0,23091931","6,05304623"
02/01/2010 22.00,"1,58392157","14,29476208",,"0,24728523","6,05331707"
02/01/2010 23.00,"1,87289296","12,46605836",,"0,23061991","6,05318213"
03/01/2010 0.00,"2,55197437","13,70812033",,"0,21949183","6,05413103"
03/01/2010 1.00,"2,05169377","7,91831665",,"0,21418292",
03/01/2010 2.00,"1,05655011","7,37321118",,"0,21801927",
03/01/2010 3.00,"1,63087951","8,92027539",,"0,22046111",
03/01/2010 4.00,"1,38344849","7,9909975",,"0,22868135",
03/01/2010 5.00,"1,70854068","6,37514718",,"0,2381959",
03/01/2010 6.00,"1,59295253","9,17465743",,"0,26982798","7,52977896"
03/01/2010 7.00,"1,43582399","8,23110646","0,46798069","0,29323516","7,53018618"
03/01/2010 8.00,"1,48458812","9,49653116","1,13012701","0,2918558","7,5316782"
03/01/2010 9.00,"1,21909621","9,64059462","1,20052782","0,32278422","7,53208494"
03/01/2010 10.00,"1,41776411","9,59387108","1,51424384","0,32400048","7,53045702"
03/01/2010 11.00,"1,74646868","13,8612677","1,44352065","0,35808372","7,53140688"
03/01/2010 12.00,"1,57127924","15,69256601","1,37312086","0,31595849","7,5347991"
03/01/2010 13.00,"1,44124257","15,45505354","1,33597391","0,29060576","7,54198885"
03/01/2010 14.00,"1,00056223","15,38627126","0,92330786","0,25990917","7,53846216"
03/01/2010 15.00,"1,4520787","13,48358843","0,85842326","0,26581339","7,53791904"
03/01/2010 16.00,"1,49542426","8,97219002","0,39985084","0,19661938","7,53634214"
03/01/2010 17.00,"0,46596601","12,95145971",,"0,21013222","7,54280281"
03/01/2010 18.00,"1,21367763","14,24284363","0,4697645","0,21234339","7,53914022"
03/01/2010 19.00,"1,60378866","16,51412373",,"0,24273358","7,53601885"
03/01/2010 20.00,"1,52793368","18,91129182","0,66944737","0,2213535","7,53791904"
03/01/2010 21.00,"1,75008004","36,33132688","0,47657739","0,31778754","7,54212523"
03/01/2010 22.00,"1,45569109","36,74535136","1,06767609","0,28613915","7,53642702"
