,Provincia di TARANTO,,,,,,
,TA V. Machiavelli,,,,,,
Parm,SO2,NO2,CO,O3,PM10,BENZENE,PM2.5



04/01/2010 6.00,"5,949189","22,769855","0,793585",,"21,200001",,"16,9"
04/01/2010 7.00,"5,414593","34,210594","0,805542",,"21,200001",,"16,9"
04/01/2010 8.00,"6,225517","62,152485","0,990737",,"21,200001",,"16,9"
04/01/2010 9.00,"7,672179","38,505249","1,005299",,"21,200001",,"16,9"
04/01/2010 10.00,"5,308035","41,935531","0,87318",,"21,200001",,"16,9"
04/01/2010 11.00,"5,226761","49,180251","0,927914",,"21,200001",,"16,9"
04/01/2010 12.00,"5,289974","46,006962","0,929296",,"21,200001",,"16,9"
04/01/2010 13.00,"4,198388","39,716827","0,897214",,"21,200001",,"16,9"
04/01/2010 14.00,"4,17563","30,803677","0,82697",,"21,200001",,"16,9"
04/01/2010 15.00,"4,07449","33,62007","1,023689",,"21,200001",,"16,9"
04/01/2010 16.00,"3,776489","32,037968","0,969783",,"21,200001",,"16,9"
04/01/2010 17.00,,,,,"21,200001",,"16,9"
04/01/2010 18.00,"4,190079","35,771931","0,930637",,"21,200001",,"16,9"
04/01/2010 19.00,"3,789131","37,948477","0,996776",,"21,200001",,"16,9"
04/01/2010 20.00,,,,,"21,200001",,"16,9"
04/01/2010 21.00,"3,635615","32,215767","0,927362",,"21,200001","1,785852","16,9"
04/01/2010 22.00,"3,075734","26,973672","0,925507",,"21,200001","1,60686","16,9"
04/01/2010 23.00,"3,25183","23,439876","0,892723",,"21,200001","1,581435","16,9"
05/01/2010 0.00,"3,388184","22,926907","0,880362",,"21,200001","1,499058","16,9"
05/01/2010 1.00,"3,287998","23,891949","0,868546",,"28,200001","1,370407","9,1"
05/01/2010 2.00,"3,319554","19,848337","0,857435",,"28,200001","1,282437","9,1"
05/01/2010 3.00,"3,166824","11,428061","0,854675",,"28,200001","1,20362","9,1"
05/01/2010 4.00,"3,250923","11,510821","0,844254",,"28,200001","1,232604","9,1"
05/01/2010 5.00,"3,146171","16,12735","0,885098",,"28,200001","1,120734","9,1"
05/01/2010 6.00,"3,586852","35,766752","1,054429",,"28,200001","1,28142","9,1"
05/01/2010 7.00,"3,736297","45,216256","1,032633",,"28,200001","1,042425","9,1"
05/01/2010 8.00,"5,953366","65,949141","1,853973",,"28,200001","3,312369","9,1"
05/01/2010 9.00,"4,498916","60,701465","1,448104",,"28,200001","4,547007","9,1"
05/01/2010 10.00,"3,292463","47,974526","1,09697",,"28,200001","2,147395","9,1"
05/01/2010 11.00,"3,366833","53,476803","1,195868",,"28,200001","5,585364","9,1"
05/01/2010 12.00,"2,823814","52,083874","1,139127",,"28,200001","11,166659","9,1"
05/01/2010 13.00,"2,783152","49,803239","1,063466",,"28,200001","3,98664","9,1"
05/01/2010 14.00,"2,589902","22,242907","0,852383",,"28,200001","6,553548","9,1"
05/01/2010 15.00,"2,589902","12,120825","0,789125",,"28,200001","4,250043","9,1"
05/01/2010 16.00,"2,738573","9,390294","0,781609",,"28,200001","3,655606","9,1"
05/01/2010 17.00,"14,45459","8,609617","0,846121",,"28,200001","0,942759","9,1"
05/01/2010 18.00,"2,244943","8,504956","0,782101",,"28,200001",,"9,1"
05/01/2010 19.00,"2,609768","7,104552","0,77188",,"28,200001",,"9,1"
05/01/2010 20.00,"2,522862","7,419779","0,773437",,"28,200001",,"9,1"
05/01/2010 21.00,"2,671175","6,266127","0,762212",,"28,200001",,"9,1"
05/01/2010 22.00,"2,390943","4,602157","0,74782",,"28,200001",,"9,1"
05/01/2010 23.00,"2,588096","4,09219","0,738811",,"28,200001",,"9,1"
06/01/2010 0.00,"2,151027","3,566553","0,736207",,"28,200001",,"9,1"
06/01/2010 1.00,,"4,371277","0,735007",,"30,700001",,"7,6"
06/01/2010 2.00,"14,970544",,"0,725674",,"30,700001",,"7,6"
06/01/2010 3.00,"1,686868","30,095052",,,"30,700001",,"7,6"
06/01/2010 4.00,"1,975839","22,717944","0,842241",,"30,700001",,"7,6"
06/01/2010 5.00,"1,918045","21,695216","0,770144",,"30,700001",,"7,6"
06/01/2010 6.00,"2,156446","17,486227","0,771209",,"30,700001",,"7,6"
06/01/2010 7.00,"2,920858","40,037834","0,90182",,"30,700001",,"7,6"
06/01/2010 8.00,"2,078784","20,373985","0,748598",,"30,700001",,"7,6"
06/01/2010 9.00,"2,100458","22,368813","0,809409",,"30,700001",,"7,6"
06/01/2010 10.00,"2,15464","16,184465","0,806094",,"30,700001",,"7,6"
06/01/2010 11.00,"2,620633","21,377077","0,867874",,"30,700001",,"7,6"
06/01/2010 12.00,"2,141997","19,282481","0,751242",,"30,700001",,"7,6"
