,Comune Bari,,
,Piazza Duca Savoia,,
Parm,CO,PM10,BENZENE



01/01/2010 1.00,"0,22613116",,"0,98042054"
01/01/2010 2.00,"0,24441118","46,39804077",
01/01/2010 3.00,"0,42312334",,
01/01/2010 4.00,"0,6016293","91,81929016","3,89681449"
01/01/2010 5.00,"0,60815796",,"2,1571465"
01/01/2010 6.00,"0,43124572","82,53968048","9,27705875"
01/01/2010 7.00,"0,3782324",,"3,13342073"
01/01/2010 8.00,"0,37598744",,
01/01/2010 9.00,"0,52559907",,
01/01/2010 10.00,"0,68545338","114,77410126","3,28106269"
01/01/2010 11.00,"0,5189877",,"2,34189675"
01/01/2010 12.00,"0,29318274","57,14284134","4,91792114"
01/01/2010 13.00,"0,30783378",,"3,07812848"
01/01/2010 14.00,"0,32130234","28,81562042","0,53634343"
01/01/2010 15.00,"0,28893864",,"1,36374412"
01/01/2010 16.00,"0,19943519","14,65200996","2,07015944"
01/01/2010 17.00,"0,19344243",,"0,32599833"
01/01/2010 18.00,"0,2140105","7,32600689","0,34441112"
01/01/2010 19.00,"0,21221407",,"0,20241249"
01/01/2010 20.00,"0,21666321","3,90720391","0,30363959"
01/01/2010 21.00,"0,267717",,"0,12481743"
01/01/2010 22.00,"0,27775697","2,44200301","0,15921949"
01/01/2010 23.00,"0,27249234",,"5,38027781"
02/01/2010 0.00,"0,26579825","10,25640965",
02/01/2010 1.00,,,"0,76995239"
02/01/2010 2.00,"0,2026203","9,27960968",
02/01/2010 3.00,"0,17978863",,
02/01/2010 4.00,"0,16129775","14,65200996","0,90700637"
02/01/2010 5.00,"0,14268571",,"0,21986421"
02/01/2010 6.00,"0,14264493","7,32600689","0,19467007"
02/01/2010 7.00,"0,18300053",,"0,1860571"
02/01/2010 8.00,"0,33137493","3,90720391","0,1309357"
02/01/2010 9.00,"0,42748743",,
02/01/2010 10.00,"0,56545722","2,44200301","0,25257297"
02/01/2010 11.00,"0,60004257",,"6,27960074"
02/01/2010 12.00,"0,50510789","18,55920982","0,73591544"
02/01/2010 13.00,"0,56964423",,"1,06117645"
02/01/2010 14.00,"0,51713768","13,67521","6,37825178"
02/01/2010 15.00,"0,47503574",,"5,86344333"
02/01/2010 16.00,"0,33649511","21,0012207","4,53337615"
02/01/2010 17.00,"0,29223909",,"1,02045475"
02/01/2010 18.00,"0,37928905","19,04759979","0,63437918"
02/01/2010 19.00,"0,44126472",,"0,51656888"
02/01/2010 20.00,"0,52416845","25,88521957","0,50330822"
02/01/2010 21.00,"0,51242409",,"0,53318869"
02/01/2010 22.00,"0,48925923","29,30401993","2,99855026"
02/01/2010 23.00,"0,41773405",,"2,6937818"
03/01/2010 0.00,"0,33405676","31,25761986","0,73274647"
03/01/2010 1.00,"0,37209518",,
03/01/2010 2.00,"0,29666259","27,8388195",
03/01/2010 3.00,"0,27797483",,
03/01/2010 4.00,"0,25346905","23,44322014",
03/01/2010 5.00,"0,20201916",,
03/01/2010 6.00,"0,18145458","17,58241081",
03/01/2010 7.00,"0,2015718",,"0,36772279"
03/01/2010 8.00,"0,25155845","18,55920982","0,35025683"
03/01/2010 9.00,"0,27724204",,"6,48655923"
03/01/2010 10.00,"0,31751609","13,18680954","0,17711258"
03/01/2010 11.00,"0,36039042",,"3,84622993"
03/01/2010 12.00,"0,45097733","13,67521","2,17956423"
03/01/2010 13.00,"0,55741173",,"4,66974161"
03/01/2010 14.00,"0,63548071","19,53602028","0,60620421"
03/01/2010 15.00,"0,58809433",,"0,80786921"
03/01/2010 16.00,"0,41484835","19,53602028","1,91926511"
03/01/2010 17.00,"0,36612106",,"2,25087423"
03/01/2010 18.00,"0,35520967","21,48962021","0,8900123"
03/01/2010 19.00,"0,31967018",,
03/01/2010 20.00,"0,49754937","29,30401993",
03/01/2010 21.00,"0,45361838",,
03/01/2010 22.00,"0,34368782","23,93161964",
03/01/2010 23.00,"0,3834749",,
04/01/2010 0.00,"0,21961532","22,95482063",
04/01/2010 1.00,,,
04/01/2010 2.00,"0,37469313","23,93161964",
04/01/2010 3.00,"0,34807637",,
04/01/2010 4.00,"0,27146714","17,58241081",
04/01/2010 5.00,"0,24186449",,
04/01/2010 6.00,"0,23666393","24,42000961",
04/01/2010 7.00,"0,23801533",,
04/01/2010 8.00,"0,31511503","13,67521",
04/01/2010 9.00,"0,57495546",,
04/01/2010 10.00,"0,98993662","18,55920982",
04/01/2010 11.00,"1,14958239",,
04/01/2010 12.00,"1,17869458","23,44322014",
04/01/2010 13.00,"1,07608604",,
04/01/2010 14.00,"0,98729906","40,53723145",
04/01/2010 15.00,"1,14954162",,
04/01/2010 16.00,"0,84453879","32,23442078",
04/01/2010 17.00,"0,74803019",,
04/01/2010 18.00,"0,91639832","17,58241081",
04/01/2010 19.00,"1,20334365",,
04/01/2010 20.00,"1,28126234","19,04759979",
04/01/2010 21.00,"1,22930334",,
04/01/2010 22.00,"1,02375773","24,42000961",
04/01/2010 23.00,"0,77681618",,
05/01/2010 0.00,"0,60148717","20,02441978",
05/01/2010 1.00,"0,48147586",,
05/01/2010 2.00,"0,43171638","15,14041042",
05/01/2010 3.00,"0,39164271",,
05/01/2010 4.00,"0,34394179","10,7448101","2,84848377"
05/01/2010 5.00,"0,28534811",,"2,10148609"
05/01/2010 6.00,"0,30172685","15,14041042","0,93189744"
05/01/2010 7.00,"0,42026327",,"0,75884167"
05/01/2010 8.00,"0,55542307","12,21000957","1,08831916"
05/01/2010 9.00,"0,54846336",,"0,57187436"
05/01/2010 10.00,"0,54571979","26,37360954","2,3448369"
05/01/2010 11.00,"0,61725195",,"1,20205841"
05/01/2010 12.00,"0,64394793","21,97801971","3,92412298"
05/01/2010 13.00,"0,81247916",,"1,18434227"
05/01/2010 14.00,"0,9365435","37,11843109","1,79240758"
05/01/2010 15.00,"1,1184233",,"4,7121556"
05/01/2010 16.00,"1,04345206","38,58362961",
05/01/2010 17.00,"0,84245111",,"3,46672621"
05/01/2010 18.00,"0,72657555","49,81684113","2,57580675"
05/01/2010 19.00,"0,68730923",,"6,17472974"
05/01/2010 20.00,"0,73619845","56,65444183","3,19170398"
05/01/2010 21.00,"0,73910513",,"3,19545366"
05/01/2010 22.00,"0,9302793","42,97924042","2,89221681"
05/01/2010 23.00,"0,88519846",,"3,00241791"
06/01/2010 0.00,"0,64849259","45,90964127","2,94751415"
06/01/2010 1.00,,,"2,72278969"
06/01/2010 2.00,"0,45624662","54,21244049",
06/01/2010 3.00,"0,43288022",,
06/01/2010 4.00,"0,47091281","56,65444183","2,71328278"
06/01/2010 5.00,"0,35384545",,"6,04569278"
