, Brindisi,,,,
,ITC Valzani,,,,
Parm,NO2,SO2,CO,O3,NOX



04/01/2010 3.00,"8,99387783","1,75540302",,"71,897007","24,33522856"
04/01/2010 4.00,"4,77603642",,"0,13806299","74,3117949","20,66931272"
04/01/2010 5.00,"5,29294562","1,14892727","0,14983531",,"20,9523652"
04/01/2010 6.00,"8,98231788","0,83313047","0,20021574","62,17882335","24,97660896"
04/01/2010 7.00,"21,6614304","0,96128162","0,26202831","32,8558545","39,32527032"
04/01/2010 8.00,"34,2604588","1,35005835","0,52051035","16,60131869","60,56072624"
04/01/2010 9.00,"32,5437696","2,54201998","0,74203044","14,46229565","71,22221032"
04/01/2010 10.00,"17,81104862","2,29389028","0,33632152","37,98138855","53,32298408"
04/01/2010 11.00,"18,25529418","2,36219709","0,38375217","50,5981476","40,51397984"
04/01/2010 12.00,"17,33542715","2,80707967","0,40834648","49,8969849","39,95519784"
04/01/2010 13.00,"15,66909812","1,68728334","0,35135701","61,404903","33,13960616"
04/01/2010 14.00,"24,22368248","1,76434957","0,39799196","49,0469553","43,51887904"
04/01/2010 15.00,"24,91234664","2,05510072","0,58345763","41,81877105","44,09314824"
04/01/2010 16.00,"18,60375235","1,84842394","0,56147292","46,4943129","36,58298432"
04/01/2010 17.00,"23,78438136","1,47009689","0,64265944","39,0860001","43,07464496"
04/01/2010 18.00,"24,17247912","1,41229671","0,88332747","41,54641365","43,2251576"
04/01/2010 19.00,"25,60925152","2,30731672","0,89178071","41,9845356","43,8632876"
04/01/2010 20.00,"24,9131688","1,48118931","0,65454593","40,6405839","43,7740928"
04/01/2010 21.00,"16,73594441","1,32705686","0,47174695","58,0859811","34,54102568"
04/01/2010 22.00,"13,45861198","0,78875978","0,39799196","65,097648","30,1510928"
04/01/2010 23.00,"9,58510265","1,00758258","0,29567118","71,6052183","26,0761428"
05/01/2010 0.00,"5,7495752","0,99777158","0,24390091","79,93887195","21,32296816"
05/01/2010 1.00,"3,72818203","0,08261193","0,2362422","85,03565805","20,06473832"
05/01/2010 2.00,"3,79836964","0,00233503","0,22120787","84,53323725","19,6638684"
05/01/2010 3.00,"4,30454296","0,00099361","0,21879632","77,38371585","20,87628672"
05/01/2010 4.00,"6,94358478",,"0,32120215","55,43863605","22,50594168"
05/01/2010 5.00,"6,5951247","0,01196806","0,33620852","55,8919998","21,98318176"
05/01/2010 6.00,"2,62665398","0,00075868","0,23564688","88,6886427","17,89023028"
05/01/2010 7.00,"6,4357595","0,00204214","0,24478048","83,74158135","23,10315488"
05/01/2010 8.00,"11,08628268","0,09539765","0,44874169","78,1872021","30,34663304"
05/01/2010 9.00,"13,26786894","0,17596541","0,33751332","74,18321715","37,37493472"
05/01/2010 10.00,,"10,84126068","0,49526364","79,46689485",
05/01/2010 11.00,,,"0,3067911","75,5644155",
05/01/2010 12.00,"22,5866472","10,48253427","0,27320415","77,91658035","33,8117124"
05/01/2010 13.00,"10,76011842","10,52711955","0,42860001","85,15914855","17,62107422"
05/01/2010 14.00,"7,39195643","10,38940758","0,31229456","89,68500555","13,52648033"
05/01/2010 15.00,"5,85857067","10,13825231","0,29595544","95,0109972","10,16981137"
05/01/2010 16.00,"5,76691513","9,93224676","0,3060257","97,44687225","10,10845529"
05/01/2010 17.00,"5,5571802","10,04061116","0,3278112","99,06996435","9,67813292"
05/01/2010 18.00,"5,85279261","10,03722455","0,32108915","98,740929","9,98328621"
05/01/2010 19.00,"5,30037566","10,08745825","0,32906008","98,96594505","9,63068282"
05/01/2010 20.00,"5,0072412","10,11906457","0,32906008","99,02938605","9,26417536"
05/01/2010 21.00,"4,80246026","10,35158535","0,32559886","98,68852035","9,04165106"
05/01/2010 22.00,"4,33426882","10,22854869","0,32554178","97,60587375","8,47798008"
05/01/2010 23.00,"4,2350475","10,81211346","0,32283432","93,66319515","7,6886931"
06/01/2010 0.00,"3,62496462","10,26015705","0,29584127","90,5883216","7,82104556"
06/01/2010 1.00,"3,35660204","15,69303207","0,28645253","88,35964725","7,78095857"
06/01/2010 2.00,,"16,77950334","0,2943955","86,6155983",
06/01/2010 3.00,"8,11942654","16,48883457",,"84,4342653","12,70101639"
06/01/2010 4.00,"5,78177902",,"0,17512164","79,2005025","9,88102289"
06/01/2010 5.00,"5,5761721","16,60509801","0,17666177",,"9,43188453"
06/01/2010 6.00,"6,83623937","16,46174169","0,19659492","66,5050407","11,17198617"
06/01/2010 7.00,"8,2342039","15,86912562","0,24021485","56,19733455","13,23850827"
06/01/2010 8.00,"8,34650331","16,68580713","0,36491295","55,4690997","13,2581426"
06/01/2010 9.00,"13,6733009","17,4889422","0,67075341","56,8054305","27,1635928"
06/01/2010 10.00,"7,8254661","16,30315071","0,61061495","70,3415853","14,06560888"
06/01/2010 11.00,"7,66032093","16,82916345","0,6405438","76,6495758","14,18668819"
06/01/2010 12.00,"9,35307189","16,65476829","0,75211235","76,7062338","16,80870174"
06/01/2010 13.00,"9,38444972","16,64630685","0,69077044","80,9673543","16,74325207"
06/01/2010 14.00,"8,68340345","16,89915339","0,3840073","86,90824485","16,86433138"
06/01/2010 15.00,"5,40524503","16,38104274","0,23360697","96,4006344","10,42260454"
06/01/2010 16.00,"12,55278477","16,68299004","0,29780429","86,63844105","20,69793536"
06/01/2010 17.00,"13,21915118","16,44876477","0,34486796","69,1058823","19,62704328"
06/01/2010 18.00,"16,95063715","16,76934351","0,40237353","65,99505885","25,84788824"
06/01/2010 19.00,"18,78210945","17,21126052","0,48034465","59,7149784","27,60434704"
06/01/2010 20.00,"18,56329252","17,34898266","0,52225669","58,59344925","29,14647064"
06/01/2010 21.00,"18,42539334","17,45000127","0,54381501","51,57759285","26,78461528"
06/01/2010 22.00,"13,00528634","16,63163154","0,38529579","67,66974165","19,82011704"
06/01/2010 23.00,"9,26967236","16,58873448","0,22753149","86,2553013","14,32003872"
07/01/2010 0.00,"8,36962513","16,76144142","0,22254879","81,75986805","13,18860507"
07/01/2010 1.00,"7,04349826","15,07502151","0,16798252","82,240284","11,78801536"
07/01/2010 2.00,"6,76687774","14,04443439","0,15054014","78,9907083","11,76919937"
07/01/2010 3.00,"5,06752082","14,25608226","0,15252763","76,3425453","9,39179754"
07/01/2010 4.00,"7,42003224","14,51062719","0,20687022","57,2579364","11,23170749"
