,Comune Bari,,NetC,
,Kennedy,,Stat,
Parm,O3,NO2,Parm,PM10



01/01/2010 1.00,"75,1546824","8,07276418",02/01/2010 1.00,
01/01/2010 2.00,"70,6881168","13,41674874",02/01/2010 2.00,
01/01/2010 3.00,"59,22773955","21,37594968",02/01/2010 3.00,
01/01/2010 4.00,"46,9801353","34,89004216",02/01/2010 4.00,
01/01/2010 5.00,"74,23400985","11,03515389",02/01/2010 5.00,
01/01/2010 6.00,"50,6594739","22,23577608",02/01/2010 6.00,5
01/01/2010 7.00,"64,3430193","19,94017152",02/01/2010 7.00,5
01/01/2010 8.00,"52,52110815","30,86987096",02/01/2010 8.00,5
01/01/2010 9.00,"70,5327063","11,95502474",02/01/2010 9.00,5
01/01/2010 10.00,"77,15991675","9,26356352",02/01/2010 10.00,5
01/01/2010 11.00,"91,22694105","6,47313718",02/01/2010 11.00,5
01/01/2010 12.00,"88,24525395","6,7521802",02/01/2010 12.00,5
01/01/2010 13.00,"84,79905105","7,27457302",02/01/2010 13.00,5
01/01/2010 14.00,"84,24663555","8,50755107",02/01/2010 14.00,5
01/01/2010 15.00,"90,2048826","6,4893605",02/01/2010 15.00,5
01/01/2010 16.00,"94,14438915","3,97960047",02/01/2010 16.00,5
01/01/2010 17.00,"96,6429072","6,30116808",02/01/2010 17.00,5
01/01/2010 18.00,"102,19233885","6,25412141",02/01/2010 18.00,5
01/01/2010 19.00,"100,9033893","7,72396185",02/01/2010 19.00,5
01/01/2010 20.00,"105,20438985","7,78074442",02/01/2010 20.00,5
01/01/2010 21.00,"100,07731965","9,5815425",02/01/2010 21.00,5
01/01/2010 22.00,"94,53125955","11,15683166",02/01/2010 22.00,5
01/01/2010 23.00,"94,68667005","10,04552946",02/01/2010 23.00,5
02/01/2010 0.00,"96,23578755",,03/01/2010 0.00,5
02/01/2010 1.00,"92,0175396","6,95010662",03/01/2010 1.00,
02/01/2010 2.00,"89,97850995","5,79986654",03/01/2010 2.00,
02/01/2010 3.00,"89,52915615",,03/01/2010 3.00,
02/01/2010 4.00,"90,4785567","3,88874988",03/01/2010 4.00,
02/01/2010 5.00,"87,4327104","3,17005202",03/01/2010 5.00,
02/01/2010 6.00,,"5,89882974",03/01/2010 6.00,"5,19999981"
02/01/2010 7.00,"71,1645228","10,61334757",03/01/2010 7.00,"5,19999981"
02/01/2010 8.00,"54,66824685","23,07615744",03/01/2010 8.00,"5,19999981"
02/01/2010 9.00,"54,68851605","25,14626072",03/01/2010 9.00,"5,19999981"
02/01/2010 10.00,"64,2348903","17,64132803",03/01/2010 10.00,"5,19999981"
02/01/2010 11.00,"67,0915308","13,59683046",03/01/2010 11.00,"5,19999981"
02/01/2010 12.00,"67,27904085","13,13608626",03/01/2010 12.00,"5,19999981"
02/01/2010 13.00,"69,42450375","11,88688488",03/01/2010 13.00,"5,19999981"
02/01/2010 14.00,"72,0750408","11,06921999",03/01/2010 14.00,"5,11333323"
02/01/2010 15.00,"73,5295554","9,40146078",03/01/2010 15.00,"5,19999981"
02/01/2010 16.00,"70,76582205","9,71457182",03/01/2010 16.00,"5,19999981"
02/01/2010 17.00,"68,2301571","13,77853164",03/01/2010 17.00,"5,19999981"
02/01/2010 18.00,"65,61337545","17,22924614",03/01/2010 18.00,"5,19999981"
02/01/2010 19.00,"69,08663055","16,54624724",03/01/2010 19.00,"5,19999981"
02/01/2010 20.00,"70,708386","15,73669114",03/01/2010 20.00,"5,19999981"
02/01/2010 21.00,"71,06483265","15,43980534",03/01/2010 21.00,"5,19999981"
02/01/2010 22.00,"70,1610378","15,63286763",03/01/2010 22.00,"5,19999981"
02/01/2010 23.00,"70,4998287","15,25439297",03/01/2010 23.00,"5,19999981"
03/01/2010 0.00,"70,968534","14,64485693",04/01/2010 0.00,"5,19999981"
03/01/2010 1.00,"84,50510775","6,71811027",04/01/2010 1.00,
03/01/2010 2.00,"77,94207645","10,30347355",04/01/2010 2.00,
03/01/2010 3.00,"68,44300365","15,36680136",04/01/2010 3.00,
03/01/2010 4.00,"74,3911161","9,58802992",04/01/2010 4.00,
03/01/2010 5.00,"66,61514475","14,80871342",04/01/2010 5.00,
03/01/2010 6.00,"56,3913483","13,31778744",04/01/2010 6.00,"10,10000038"
03/01/2010 7.00,"51,54806685","9,98063618",04/01/2010 7.00,"10,10000038"
03/01/2010 8.00,"48,67957605","10,6084777",04/01/2010 8.00,"10,10000038"
03/01/2010 9.00,"49,17625125","12,05560358",04/01/2010 9.00,"10,10000038"
03/01/2010 10.00,"52,61403525","10,91347803",04/01/2010 10.00,"10,10000038"
03/01/2010 11.00,"49,15091475","14,8135871",04/01/2010 11.00,"10,10000038"
03/01/2010 12.00,"50,9179461","18,09233633",04/01/2010 12.00,"10,10000038"
03/01/2010 13.00,"63,2787267","13,13933283",04/01/2010 13.00,"10,10000038"
03/01/2010 14.00,"70,7033187","10,89725471",04/01/2010 14.00,"10,10000038"
03/01/2010 15.00,"66,16579095","11,44073689",04/01/2010 15.00,"10,10000038"
03/01/2010 16.00,"76,16321475","8,30475862",04/01/2010 16.00,"10,10000038"
03/01/2010 17.00,"63,33448695","18,13776545",04/01/2010 17.00,"10,10000038"
03/01/2010 18.00,"70,7033187","16,26233245",04/01/2010 18.00,"10,10000038"
03/01/2010 19.00,"66,4935096","21,60145096",04/01/2010 19.00,"10,10000038"
03/01/2010 20.00,"41,435751","36,19763984",04/01/2010 20.00,"10,10000038"
03/01/2010 21.00,"36,09072705","34,38385928",04/01/2010 21.00,"10,10000038"
03/01/2010 22.00,"44,40728355","26,43439424",04/01/2010 22.00,"10,10000038"
03/01/2010 23.00,"36,4066353","34,67752336",04/01/2010 23.00,"10,10000038"
04/01/2010 0.00,"39,1467279","31,57398408",05/01/2010 0.00,"10,10000038"
04/01/2010 1.00,"37,8814191","33,8923032",05/01/2010 1.00,
04/01/2010 2.00,"44,87183925","26,01096272",05/01/2010 2.00,
04/01/2010 3.00,"43,9308975",,05/01/2010 3.00,
04/01/2010 4.00,"48,01061265","13,46866527",05/01/2010 4.00,
04/01/2010 5.00,"41,96283","15,94597675",05/01/2010 5.00,
04/01/2010 6.00,,"16,36616552",05/01/2010 6.00,"15,69999981"
04/01/2010 7.00,"29,94157845","25,8633372",05/01/2010 7.00,"15,69999981"
04/01/2010 8.00,"21,11486055",,05/01/2010 8.00,"15,69999981"
04/01/2010 9.00,"30,0682809","39,8041116",05/01/2010 9.00,"15,69999981"
04/01/2010 10.00,"45,24011625","33,5110504",05/01/2010 10.00,"15,69999981"
04/01/2010 11.00,"53,7678435","29,2767352",05/01/2010 11.00,"15,69999981"
04/01/2010 12.00,"61,78876095","20,67021136",05/01/2010 12.00,"15,69999981"
04/01/2010 13.00,"59,54362785","23,59205328",05/01/2010 13.00,"15,69999981"
04/01/2010 14.00,"52,48563705","31,22030232",05/01/2010 14.00,"15,69999981"
04/01/2010 15.00,"52,7373462","27,0054704",05/01/2010 15.00,"15,69999981"
04/01/2010 16.00,"52,0210614","27,69495672",05/01/2010 16.00,"15,69999981"
04/01/2010 17.00,"49,55973015","29,50873728",05/01/2010 17.00,"15,69999981"
04/01/2010 18.00,"32,1495447","44,42291088",05/01/2010 18.00,"15,69999981"
04/01/2010 19.00,"28,77933135","48,16240048",05/01/2010 19.00,"15,69999981"
04/01/2010 20.00,"28,9668414","47,48587752",05/01/2010 20.00,"15,69999981"
04/01/2010 21.00,"33,22562775","41,83689264",05/01/2010 21.00,"15,69999981"
04/01/2010 22.00,"41,23303905","35,82774432",05/01/2010 22.00,"15,69999981"
04/01/2010 23.00,"36,53333775","37,75022208",05/01/2010 23.00,"15,69999981"
05/01/2010 0.00,"37,45909755","30,22904504",06/01/2010 0.00,"15,69999981"
05/01/2010 1.00,"40,597851","25,15113632",06/01/2010 1.00,
05/01/2010 2.00,"47,9700543","16,83177002",06/01/2010 2.00,
05/01/2010 3.00,"43,2230715","16,03034184",06/01/2010 3.00,
05/01/2010 4.00,"31,59375765","21,17639424",06/01/2010 4.00,
05/01/2010 5.00,"39,3021384","18,92621306",06/01/2010 5.00,
05/01/2010 6.00,"29,86724475","27,82474328",06/01/2010 6.00,"10,89999962"
05/01/2010 7.00,"34,4723631","28,7348744",06/01/2010 7.00,"10,89999962"
05/01/2010 8.00,"41,09957355","26,1970768",06/01/2010 8.00,"10,89999962"
05/01/2010 9.00,"40,86476205","29,73746984",06/01/2010 9.00,"10,89999962"
05/01/2010 10.00,"45,15397215","28,571016",06/01/2010 10.00,"10,89999962"
05/01/2010 11.00,"47,5443612","23,87271576",06/01/2010 11.00,"10,89999962"
05/01/2010 12.00,"42,96797085","30,33126056",06/01/2010 12.00,"10,89999962"
05/01/2010 13.00,"45,92091","28,61382568",06/01/2010 13.00,"10,89999962"
05/01/2010 14.00,"51,87748125","27,30234664",06/01/2010 14.00,"10,89999962"
05/01/2010 15.00,"60,7751613","24,41945216",06/01/2010 15.00,"10,89999962"
05/01/2010 16.00,"74,2559748","16,89666713",06/01/2010 16.00,"10,89999962"
05/01/2010 17.00,"77,3018211","15,0650457",06/01/2010 17.00,"10,89999962"
05/01/2010 18.00,"77,79847635","16,43755195",06/01/2010 18.00,"10,89999962"
05/01/2010 19.00,"79,1347473","14,45342175",06/01/2010 19.00,"10,89999962"
05/01/2010 20.00,"80,6365434","14,56699073",06/01/2010 20.00,"10,89999962"
05/01/2010 21.00,"77,9555826","16,27369355",06/01/2010 21.00,"10,89999962"
05/01/2010 22.00,"76,7088672","16,52515023",06/01/2010 22.00,"10,89999962"
05/01/2010 23.00,"77,89647075","12,46767591",06/01/2010 23.00,"10,89999962"
06/01/2010 0.00,"76,52642445","10,36999777",07/01/2010 0.00,"10,89999962"
06/01/2010 1.00,"75,66486375","9,02507976",07/01/2010 1.00,
06/01/2010 2.00,"71,98552515","11,06435778",07/01/2010 2.00,
06/01/2010 3.00,"70,7219121",,07/01/2010 3.00,
06/01/2010 4.00,"71,7439506","7,98840292",07/01/2010 4.00,
06/01/2010 5.00,"76,41155235","5,41537098",07/01/2010 5.00,
06/01/2010 6.00,,"5,60194012",07/01/2010 6.00,"7,19999981"
06/01/2010 7.00,"71,40438165","8,24635658",07/01/2010 7.00,"7,19999981"
06/01/2010 8.00,"70,4127669","9,65292511",07/01/2010 8.00,"7,19999981"
06/01/2010 9.00,"65,22822075","11,43424756",07/01/2010 9.00,"7,19999981"
06/01/2010 10.00,"73,9839765","8,03869617",07/01/2010 10.00,"7,19999981"
06/01/2010 11.00,"74,0211633","10,20451226",07/01/2010 11.00,"7,19999981"
06/01/2010 12.00,"77,30858415","9,91898947",07/01/2010 12.00,"7,19999981"
06/01/2010 13.00,"77,0450646","10,80315563",07/01/2010 13.00,"7,19999981"
06/01/2010 14.00,"76,93523985","11,5948613",07/01/2010 14.00,"7,19999981"
06/01/2010 15.00,"76,8626019","9,89789629",07/01/2010 15.00,"7,19999981"
06/01/2010 16.00,"74,59721955","12,99980463",07/01/2010 16.00,"7,19999981"
06/01/2010 17.00,"68,48354205","17,12704018",07/01/2010 17.00,"7,19999981"
06/01/2010 18.00,"40,9644522","49,2964268",07/01/2010 18.00,"7,19999981"
06/01/2010 19.00,"19,89179987","73,08966072",07/01/2010 19.00,"7,19999981"
06/01/2010 20.00,"33,88278075","55,72088064",07/01/2010 20.00,"7,19999981"
06/01/2010 21.00,"30,75246615","55,20821608",07/01/2010 21.00,"7,19999981"
06/01/2010 22.00,"32,98068165","49,3418368",07/01/2010 22.00,"7,19999981"
06/01/2010 23.00,"40,8123933","32,72420504",07/01/2010 23.00,"7,19999981"
07/01/2010 0.00,"46,368588","26,8561432",08/01/2010 0.00,"7,19999981"
07/01/2010 1.00,"40,64176095","33,25147728",08/01/2010 1.00,
07/01/2010 2.00,"51,68320815","21,9015776",08/01/2010 2.00,
07/01/2010 3.00,"57,5265831","18,17020062",08/01/2010 3.00,
07/01/2010 4.00,"72,5159757","7,59093062",08/01/2010 4.00,
07/01/2010 5.00,"78,82897365","4,84755287",08/01/2010 5.00,
07/01/2010 6.00,"74,49754935","7,86023774",08/01/2010 6.00,"4,5999999"
07/01/2010 7.00,"67,480077","13,64711988",08/01/2010 7.00,"4,5999999"
07/01/2010 8.00,"56,964033","26,75562936",08/01/2010 8.00,"4,5999999"
07/01/2010 9.00,"43,299081","44,83335992",08/01/2010 9.00,"4,5999999"
07/01/2010 10.00,"41,17729875","49,46189128",08/01/2010 10.00,"4,5999999"
07/01/2010 11.00,"58,50638745","29,02041248",08/01/2010 11.00,"4,5999999"
07/01/2010 12.00,"73,97553765","15,46090235",08/01/2010 12.00,
07/01/2010 13.00,"79,52666505","11,28985714",08/01/2010 13.00,"4,5999999"
07/01/2010 14.00,"74,6935182","17,88143317",08/01/2010 14.00,"4,5999999"
07/01/2010 15.00,"77,42852355","15,86161166",08/01/2010 15.00,"4,5999999"
07/01/2010 16.00,"75,43511955","18,38597746",08/01/2010 16.00,"4,5999999"
07/01/2010 17.00,"56,51805075","35,97862024",08/01/2010 17.00,"4,5999999"
07/01/2010 18.00,"59,2057746","35,36050888",08/01/2010 18.00,"4,5999999"
07/01/2010 19.00,"60,48965685","33,2336192",08/01/2010 19.00,"4,5999999"
07/01/2010 20.00,"45,292485","44,34340992",08/01/2010 20.00,"4,5999999"
07/01/2010 21.00,"53,164755","40,8813324",08/01/2010 21.00,"4,5999999"
07/01/2010 22.00,"53,95196205","38,24342248",08/01/2010 22.00,"4,5999999"
07/01/2010 23.00,"40,8259194","49,42133776",08/01/2010 23.00,"4,5999999"
08/01/2010 0.00,"62,4104229","24,3983628",09/01/2010 0.00,"4,5999999"
08/01/2010 1.00,"80,8747464","11,45371554",09/01/2010 1.00,
08/01/2010 2.00,"79,808778","10,64903122",09/01/2010 2.00,
08/01/2010 3.00,"77,68867155",,09/01/2010 3.00,
08/01/2010 4.00,"79,45572285","4,96598406",09/01/2010 4.00,
08/01/2010 5.00,"78,20222445","5,07305798",09/01/2010 5.00,
08/01/2010 6.00,,"9,65616786",09/01/2010 6.00,"5,9000001"
08/01/2010 7.00,"59,6196573","18,22050151",09/01/2010 7.00,"5,9000001"
08/01/2010 8.00,"74,5161228","12,45307779",09/01/2010 8.00,"5,9000001"
08/01/2010 9.00,"77,72753415","13,12959693",09/01/2010 9.00,"5,9000001"
08/01/2010 10.00,"77,09065035","11,20225886",09/01/2010 10.00,"5,9000001"
08/01/2010 11.00,"77,49272265","9,3641481",09/01/2010 11.00,"5,9000001"
08/01/2010 12.00,,"9,97492694",09/01/2010 12.00,"5,9000001"
08/01/2010 13.00,"84,32025105","10,79991097",09/01/2010 13.00,"5,9000001"
08/01/2010 14.00,"85,88189715","11,10654032",09/01/2010 14.00,"5,9000001"
08/01/2010 15.00,"88,6692912","9,73890775",09/01/2010 15.00,"5,9000001"
08/01/2010 16.00,"90,6120222","8,5594657",09/01/2010 16.00,"5,9000001"
08/01/2010 17.00,"86,1437409","10,7285341",09/01/2010 17.00,"5,9000001"
08/01/2010 18.00,"86,4427515","12,11887358",09/01/2010 18.00,"5,9000001"
08/01/2010 19.00,"84,8058141","13,87749294",09/01/2010 19.00,"5,9000001"
08/01/2010 20.00,"83,73140685","12,48877292",09/01/2010 20.00,"5,9000001"
08/01/2010 21.00,"79,8358302","12,14158622",09/01/2010 21.00,"5,9000001"
08/01/2010 22.00,"79,82060835","10,36188133",09/01/2010 22.00,"5,9000001"
08/01/2010 23.00,"83,41041135","7,56335002",09/01/2010 23.00,"5,9000001"
09/01/2010 0.00,"85,3396362","7,3670469",10/01/2010 0.00,"5,9000001"
09/01/2010 1.00,"85,79914455","6,34659529",10/01/2010 1.00,
09/01/2010 2.00,"86,576217","5,59220613",10/01/2010 2.00,
09/01/2010 3.00,"90,99380535","4,37058535",10/01/2010 3.00,
09/01/2010 4.00,"92,78954475","3,88550522",10/01/2010 4.00,
09/01/2010 5.00,"86,7046152","4,2846008",10/01/2010 5.00,
09/01/2010 6.00,"81,7717782","5,67494602",10/01/2010 6.00,"6,80000019"
09/01/2010 7.00,"79,5182262","9,95143611",10/01/2010 7.00,"6,80000019"
09/01/2010 8.00,"62,60806755","23,43957128",10/01/2010 8.00,"6,80000019"
09/01/2010 9.00,"54,15130245","35,28913392",10/01/2010 9.00,"6,80000019"
09/01/2010 10.00,"57,61442295","30,02300792",10/01/2010 10.00,"6,80000019"
09/01/2010 11.00,"79,2850905","15,24512742",10/01/2010 11.00,"6,80000019"
09/01/2010 12.00,"79,27158435","15,9135282",10/01/2010 12.00,"6,80000019"
09/01/2010 13.00,"70,03265955","23,26596168",10/01/2010 13.00,"6,80000019"
09/01/2010 14.00,"76,818672","21,57062952",10/01/2010 14.00,"6,80000019"
09/01/2010 15.00,"75,66825525","19,14521928",10/01/2010 15.00,"6,80000019"
09/01/2010 16.00,"86,1217959","12,12211824",10/01/2010 16.00,"6,80000019"
09/01/2010 17.00,"85,98156735","13,66983444",10/01/2010 17.00,"6,80000019"
09/01/2010 18.00,"77,46399465","19,578402",10/01/2010 18.00,"6,80000019"
09/01/2010 19.00,"76,1193048","20,73024816",10/01/2010 19.00,"6,80000019"
09/01/2010 20.00,"82,92051915","16,09847214",10/01/2010 20.00,"6,80000019"
09/01/2010 21.00,"78,0400509","20,39930008",10/01/2010 21.00,"6,80000019"
09/01/2010 22.00,"79,79020455","16,84150402",10/01/2010 22.00,"6,80000019"
09/01/2010 23.00,"78,05527275","16,64520854",10/01/2010 23.00,"6,80000019"
10/01/2010 0.00,"78,761403","14,01539211",11/01/2010 0.00,"6,80000019"
10/01/2010 1.00,"72,27440115","18,78831389",11/01/2010 1.00,
10/01/2010 2.00,"81,6113004","11,88201119",11/01/2010 2.00,
10/01/2010 3.00,"71,17970475",,11/01/2010 3.00,
10/01/2010 4.00,"83,3597583","8,44590437",11/01/2010 4.00,
10/01/2010 5.00,"88,49698305","5,73821792",11/01/2010 5.00,
10/01/2010 6.00,,"5,19148917",11/01/2010 6.00,"5,80000019"
10/01/2010 7.00,"83,8918647","6,80247154",11/01/2010 7.00,"5,80000019"
10/01/2010 8.00,"82,96105755","7,92188635",11/01/2010 8.00,"5,80000019"
10/01/2010 9.00,"83,68915275","9,22300426",11/01/2010 9.00,"5,80000019"
10/01/2010 10.00,"77,41499745","12,71751695",11/01/2010 10.00,"5,80000019"
10/01/2010 11.00,"79,0164837","12,63316142",11/01/2010 11.00,"5,80000019"
10/01/2010 12.00,"86,3904027","9,63994454",11/01/2010 12.00,"5,80000019"
10/01/2010 13.00,"86,6116881","11,21685507",11/01/2010 13.00,"5,80000019"
10/01/2010 14.00,"85,2653025","13,18962034",11/01/2010 14.00,"5,80000019"
10/01/2010 15.00,"87,0897699","10,3764871",11/01/2010 15.00,"5,80000019"
10/01/2010 16.00,"83,5320465","10,33430455",11/01/2010 16.00,"5,80000019"
10/01/2010 17.00,"83,22798855","14,21007004",11/01/2010 17.00,"5,80000019"
10/01/2010 18.00,"67,2351309","29,09666304",11/01/2010 18.00,"5,80000019"
10/01/2010 19.00,"62,22798015","31,35819576",11/01/2010 19.00,"5,80000019"
10/01/2010 20.00,"62,46785895","28,44771112",11/01/2010 20.00,"5,80000019"
10/01/2010 21.00,"60,2126112","27,03952312",11/01/2010 21.00,"5,80000019"
10/01/2010 22.00,"52,1190558","32,82967096",11/01/2010 22.00,"5,80000019"
10/01/2010 23.00,"54,6699426","28,61969552",11/01/2010 23.00,"5,80000019"
11/01/2010 0.00,"56,11262685","25,0489208",12/01/2010 0.00,"5,80000019"
11/01/2010 1.00,"56,1666714","20,3246556",12/01/2010 1.00,
11/01/2010 2.00,"58,1837361","16,51379869",12/01/2010 2.00,
11/01/2010 3.00,"63,39022725","12,08967925",12/01/2010 3.00,
11/01/2010 4.00,"66,82461975","10,77882543",12/01/2010 4.00,
11/01/2010 5.00,"74,74417125","8,78172805",12/01/2010 5.00,
11/01/2010 6.00,"76,0297692","10,81288962",12/01/2010 6.00,"11,89999962"
11/01/2010 7.00,"70,37220855","15,91515531",12/01/2010 7.00,"11,89999962"
11/01/2010 8.00,"49,0934787","36,12626488",12/01/2010 8.00,"11,89999962"
11/01/2010 9.00,"26,1862104","63,0700924",12/01/2010 9.00,"11,89999962"
11/01/2010 10.00,"30,0514032","59,83514136",12/01/2010 10.00,"11,89999962"
11/01/2010 11.00,"39,95252835","47,64162904",12/01/2010 11.00,"11,89999962"
11/01/2010 12.00,"56,9437638","30,3555812",12/01/2010 12.00,"11,89999962"
11/01/2010 13.00,"69,0139926","22,14493696",12/01/2010 13.00,"11,89999962"
11/01/2010 14.00,"68,29940355","24,41622088",12/01/2010 14.00,"11,89999962"
11/01/2010 15.00,"65,6404077","24,06578952",12/01/2010 15.00,"11,89999962"
11/01/2010 16.00,"66,4867665","23,77375064",12/01/2010 16.00,"11,89999962"
11/01/2010 17.00,"58,4979486","31,10349824",12/01/2010 17.00,"11,89999962"
11/01/2010 18.00,"38,68047645","47,30580536",12/01/2010 18.00,"11,89999962"
11/01/2010 19.00,"28,83000435","52,83311056",12/01/2010 19.00,"11,89999962"
11/01/2010 20.00,"36,2782371","45,35088096",12/01/2010 20.00,"11,89999962"
11/01/2010 21.00,"21,9257283","65,48412624",12/01/2010 21.00,"11,89999962"
11/01/2010 22.00,"25,79768415","55,73711352",12/01/2010 22.00,"11,89999962"
11/01/2010 23.00,"25,4327787","51,97003376",12/01/2010 23.00,"11,89999962"
12/01/2010 0.00,"33,93852105","39,3076608",13/01/2010 0.00,"11,89999962"
12/01/2010 1.00,"38,3105037","30,50647624",13/01/2010 1.00,
12/01/2010 2.00,"35,18356065","29,71963088",13/01/2010 2.00,
12/01/2010 3.00,"35,20382985",,13/01/2010 3.00,
12/01/2010 4.00,"33,59390475","26,7280392",13/01/2010 4.00,
12/01/2010 5.00,"30,8707098","27,3250612",13/01/2010 5.00,
12/01/2010 6.00,,"27,18066696",13/01/2010 6.00,"17,89999962"
12/01/2010 7.00,"50,5547364","28,88575032",13/01/2010 7.00,"17,89999962"
12/01/2010 8.00,"25,04592825","53,81786704",13/01/2010 8.00,"17,89999962"
12/01/2010 9.00,"20,7634812","69,21388376",13/01/2010 9.00,"17,89999962"
12/01/2010 10.00,"20,76517695","64,70053128",13/01/2010 10.00,"17,89999962"
12/01/2010 11.00,"40,1332953","40,9348684",13/01/2010 11.00,"17,89999962"
12/01/2010 12.00,"66,4969011","21,5252004",13/01/2010 12.00,"17,89999962"
12/01/2010 13.00,"77,72246685","16,76039506",13/01/2010 13.00,"17,89999962"
12/01/2010 14.00,"80,3814627","16,69062618",13/01/2010 14.00,"17,89999962"
12/01/2010 15.00,"73,8133641","26,22510672",13/01/2010 15.00,"17,89999962"
12/01/2010 16.00,"59,96596935","37,49064896",13/01/2010 16.00,"17,89999962"
12/01/2010 17.00,"28,78439865","70,62532216",13/01/2010 17.00,"17,89999962"
12/01/2010 18.00,"16,12460346","85,55085304",13/01/2010 18.00,"17,89999962"
12/01/2010 19.00,"19,76509941","71,54195408",13/01/2010 19.00,"17,89999962"
12/01/2010 20.00,"44,97996825","53,79840288",13/01/2010 20.00,"17,89999962"
12/01/2010 21.00,"19,39007333","75,12081656",13/01/2010 21.00,"17,89999962"
12/01/2010 22.00,"22,2636015","51,71046064",13/01/2010 22.00,"17,89999962"
12/01/2010 23.00,"36,56713305","35,09282888",13/01/2010 23.00,"17,89999962"
13/01/2010 0.00,"41,02356405","32,38675616",14/01/2010 0.00,"17,89999962"
13/01/2010 1.00,"42,97810545","29,79263104",14/01/2010 1.00,
13/01/2010 2.00,"49,5833709","21,37269928",14/01/2010 2.00,
13/01/2010 3.00,"58,40164995","11,77980332",14/01/2010 3.00,
13/01/2010 4.00,"59,13820395","12,56177499",14/01/2010 4.00,
13/01/2010 5.00,"56,64305745","13,93265414",14/01/2010 5.00,
13/01/2010 6.00,"50,78617635","18,14424522",14/01/2010 6.00,"21,89999962"
13/01/2010 7.00,"33,72397875","32,22289776",14/01/2010 7.00,"21,89999962"
13/01/2010 8.00,"18,76670366","49,4521592",14/01/2010 8.00,"21,89999962"
13/01/2010 9.00,"18,1551783","69,36801008",14/01/2010 9.00,"21,89999962"
13/01/2010 10.00,"21,7247121","64,99580144",14/01/2010 10.00,"21,89999962"
13/01/2010 11.00,"31,50083055","57,43894648",14/01/2010 11.00,"21,89999962"
13/01/2010 12.00,"46,2976458","46,29833432",14/01/2010 12.00,"21,89999962"
13/01/2010 13.00,"67,9260792","24,08685976",14/01/2010 13.00,"21,89999962"
13/01/2010 14.00,"60,2616084","31,73459208",14/01/2010 14.00,"21,89999962"
13/01/2010 15.00,"64,67412945","28,94578712",14/01/2010 15.00,"21,89999962"
13/01/2010 16.00,"57,17520375","36,40205176",14/01/2010 16.00,"21,89999962"
13/01/2010 17.00,"31,1038455","64,08079472",14/01/2010 17.00,"21,89999962"
13/01/2010 18.00,"27,5309202","66,19472104",14/01/2010 18.00,"21,89999962"
13/01/2010 19.00,"15,65666025","85,4664956",14/01/2010 19.00,"21,89999962"
13/01/2010 20.00,"16,89325103","77,61437048",14/01/2010 20.00,"21,89999962"
13/01/2010 21.00,"15,10763426","89,59859528",14/01/2010 21.00,"21,89999962"
13/01/2010 22.00,"15,64821342","92,15864856",14/01/2010 22.00,"21,89999962"
13/01/2010 23.00,"14,74780808","81,19812768",14/01/2010 23.00,"21,89999962"
14/01/2010 0.00,"19,0032129","67,03345808",15/01/2010 0.00,"21,89999962"
14/01/2010 1.00,"35,78158185","42,2457356",15/01/2010 1.00,
14/01/2010 2.00,"48,990417","29,35623616",15/01/2010 2.00,
14/01/2010 3.00,"37,69390905",,15/01/2010 3.00,
14/01/2010 4.00,"46,78923375","21,7912552",15/01/2010 4.00,
14/01/2010 5.00,"49,14584745","15,8243009",15/01/2010 5.00,
14/01/2010 6.00,,"19,99208232",15/01/2010 6.00,"27,89999962"
14/01/2010 7.00,"38,17873395","24,828276",15/01/2010 7.00,"27,89999962"
14/01/2010 8.00,"22,66397805","44,76198496",15/01/2010 8.00,"27,89999962"
14/01/2010 9.00,"16,78005872","70,51825016",15/01/2010 9.00,"27,89999962"
14/01/2010 10.00,"22,6132851","66,50457976",15/01/2010 10.00,"27,89999962"
14/01/2010 11.00,"44,57115285","44,92907464",15/01/2010 11.00,"27,89999962"
14/01/2010 12.00,"63,15202425","29,25239544",15/01/2010 12.00,"27,89999962"
14/01/2010 13.00,"59,52675015","32,88968864",15/01/2010 13.00,"27,89999962"
14/01/2010 14.00,"63,29562435","31,86275344",15/01/2010 14.00,"27,89999962"
14/01/2010 15.00,"67,4834685","27,90261904",15/01/2010 15.00,"27,89999962"
14/01/2010 16.00,"66,75706905","29,9272932",15/01/2010 16.00,"27,89999962"
14/01/2010 17.00,"45,9513138","45,80350872",15/01/2010 17.00,"27,89999962"
14/01/2010 18.00,"18,47952341","77,24284976",15/01/2010 18.00,"27,89999962"
14/01/2010 19.00,"14,74780808","96,65253688",15/01/2010 19.00,"27,89999962"
14/01/2010 20.00,"15,76815681","94,2498412",15/01/2010 20.00,"27,89999962"
14/01/2010 21.00,"18,52344333","83,76141224",15/01/2010 21.00,"27,89999962"
14/01/2010 22.00,"16,82398862","62,26703328",15/01/2010 22.00,"27,89999962"
14/01/2010 23.00,"16,11785039","46,6357832",15/01/2010 23.00,"27,89999962"
15/01/2010 0.00,"15,09242438","49,75421696",16/01/2010 0.00,"27,89999962"
15/01/2010 1.00,"15,02485572","52,62546736",16/01/2010 1.00,
15/01/2010 2.00,"15,57051017","41,9715548",16/01/2010 2.00,
15/01/2010 3.00,"17,59262421","35,23072232",16/01/2010 3.00,
15/01/2010 4.00,"19,17046173","33,7722296",16/01/2010 4.00,
15/01/2010 5.00,"26,0257326","24,74229336",16/01/2010 5.00,
