,TARANTO,,
,TA Carcere,,
,SO2,NO2,PM10



18/03/2010 4.00,"1,61282","12,846332","28,327221"
18/03/2010 5.00,"1,629073","11,631529",
18/03/2010 6.00,"1,793426","18,851582","29,79241"
18/03/2010 7.00,"1,979451","30,13268",
18/03/2010 8.00,"2,604351","36,274215","32,234421"
18/03/2010 9.00,"3,308717","41,136028",
18/03/2010 10.00,"6,039493","27,721228","29,30402"
18/03/2010 11.00,"8,022555","15,343438",
18/03/2010 12.00,"2,783152","7,175935","22,46641"
18/03/2010 13.00,"2,00293","5,217446",
18/03/2010 14.00,"1,679644","4,922828","14,16361"
18/03/2010 15.00,"1,83316","4,965659",
18/03/2010 16.00,"2,089621","4,072722","14,16361"
18/03/2010 17.00,"2,578414",,
18/03/2010 18.00,"3,538088","8,224615","10,25641"
18/03/2010 19.00,"1,786202","6,608765",
18/03/2010 20.00,"1,782589","20,558283","17,582411"
18/03/2010 21.00,"3,866792","89,764708",
18/03/2010 22.00,"2,891515","55,206285","26,37361"
18/03/2010 23.00,"1,822323","34,314434",
19/03/2010 0.00,"1,643522","35,694056","32,722832"
19/03/2010 1.00,,"25,409733",
19/03/2010 2.00,"1,574892",,"29,30402"
19/03/2010 3.00,"1,58031","15,954734",
19/03/2010 4.00,"1,464721","18,327243","0,976801"
19/03/2010 5.00,"1,650747","20,438877",
19/03/2010 6.00,"2,887903","29,926318","40,537231"
19/03/2010 7.00,,,
19/03/2010 8.00,,,
19/03/2010 9.00,,,
19/03/2010 10.00,,,
19/03/2010 11.00,,,
19/03/2010 12.00,,,"1,465201"
19/03/2010 13.00,,,
19/03/2010 14.00,,,"18,31501"
19/03/2010 15.00,"0,650026","7,083138",
19/03/2010 16.00,"0,523632","4,033786","18,80341"
19/03/2010 17.00,"0,563356","5,845617",
19/03/2010 18.00,"0,520021","8,224615","19,0476"
19/03/2010 19.00,"0,362931","10,406332",
19/03/2010 20.00,"0,678916","80,87559","32,47863"
19/03/2010 21.00,"0,935315","83,471338",
19/03/2010 22.00,"0,213064","37,936792","29,05983"
19/03/2010 23.00,"0,021667","23,489532",
20/03/2010 0.00,"0,257302","25,558333","36,630032"
20/03/2010 1.00,"0,424323","16,139038",
20/03/2010 2.00,"0,361126","15,066347","33,943821"
20/03/2010 3.00,"0,313277","10,760005",
20/03/2010 4.00,"0,213967","6,187607","29,05983"
20/03/2010 5.00,"0,02257","5,313488",
20/03/2010 6.00,"0,10924","9,024754","21,97802"
20/03/2010 7.00,"0,282581","12,150669",
20/03/2010 8.00,"0,442379","14,595867","21,001221"
20/03/2010 9.00,"0,640095","7,132456",
20/03/2010 10.00,"0,650026","5,465339","24,42001"
20/03/2010 11.00,"0,649123","6,135042",
20/03/2010 12.00,"0,585926","4,064287","23,19902"
20/03/2010 13.00,"0,646414","6,431605",
20/03/2010 14.00,"0,650026","3,878041","12,69841"
20/03/2010 15.00,"0,642803","2,865702",
20/03/2010 16.00,"0,650026","3,040265","11,96581"
20/03/2010 17.00,"0,528146","2,51333",
20/03/2010 18.00,"0,62565","4,798235","11,96581"
20/03/2010 19.00,"0,635581","7,937787",
20/03/2010 20.00,"0,79899","48,77661","13,67521"
20/03/2010 21.00,"1,330748","75,815848",
20/03/2010 22.00,"0,53266","57,219274","24,17581"
20/03/2010 23.00,"0,585926","27,902294",
21/03/2010 0.00,"0,531758","22,332464","23,68742"
21/03/2010 1.00,,"13,921617",
21/03/2010 2.00,,,"19,53602"
21/03/2010 3.00,,"6,446532",
21/03/2010 4.00,,"3,236243","18,55921"
21/03/2010 5.00,,"3,060382",
21/03/2010 6.00,,"3,091532","22,22221"
21/03/2010 7.00,,"3,30633",
21/03/2010 8.00,,"2,704765","19,0476"
21/03/2010 9.00,,"5,061053",
21/03/2010 10.00,,"3,302435","21,48962"
21/03/2010 11.00,,"2,85532",
21/03/2010 12.00,,"2,498405","14,89621"
21/03/2010 13.00,,"2,798212",
21/03/2010 14.00,,"2,081787","22,46641"
21/03/2010 15.00,,"2,231692",
21/03/2010 16.00,,"2,916968","21,001221"
21/03/2010 17.00,,"4,718414",
21/03/2010 18.00,,"3,945533","15,38461"
21/03/2010 19.00,,"5,19668",
21/03/2010 20.00,,"4,055851","22,710621"
21/03/2010 21.00,,"6,830052",
21/03/2010 22.00,,"3,079201","19,0476"
21/03/2010 23.00,,"1,255043",
22/03/2010 0.00,,"1,685937","17,826611"
22/03/2010 1.00,,"2,031819",
22/03/2010 2.00,,"1,541223","15,14041"
22/03/2010 3.00,,"1,186905",
22/03/2010 4.00,,"0,546404","21,48962"
22/03/2010 5.00,,"0,834531",
22/03/2010 6.00,,"1,741744","16,11721"
22/03/2010 7.00,,"9,658115",
22/03/2010 8.00,,"4,826787","23,19902"
22/03/2010 9.00,,"5,589937",
22/03/2010 10.00,,"5,684032","14,65201"
22/03/2010 11.00,,"6,582159",
22/03/2010 12.00,,"4,875457","22,710621"
22/03/2010 13.00,,"3,785892",
22/03/2010 14.00,,"4,785904","24,42001"
22/03/2010 15.00,,"2,850777",
22/03/2010 16.00,,"3,497765","22,22221"
22/03/2010 17.00,,"1,886458",
22/03/2010 18.00,"0,873923","3,302435","24,42001"
22/03/2010 19.00,"1,415612","10,05137",
22/03/2010 20.00,"1,05268","9,303147","25,15262"
22/03/2010 21.00,"1,130322","9,170764",
22/03/2010 22.00,"1,002123","6,472489","24,17581"
22/03/2010 23.00,"1,012957","7,253158",
23/03/2010 0.00,"1,032818","8,476403","26,617821"
23/03/2010 1.00,,"15,61534",
23/03/2010 2.00,"1,950077",,"23,19902"
23/03/2010 3.00,"2,704829","26,336404",
23/03/2010 4.00,"1,892297","20,765294","30,52503"
23/03/2010 5.00,"1,838129","12,150669",
23/03/2010 6.00,"1,850768","11,937824","27,10622"
23/03/2010 7.00,"1,65576","28,748505",
23/03/2010 8.00,"1,906743","32,615505","27,83882"
23/03/2010 9.00,"1,919382","26,191704",
23/03/2010 10.00,"1,950077","26,51877","20,51281"
23/03/2010 11.00,"1,632287","14,573155",
23/03/2010 12.00,"1,787571","18,403818","18,80341"
23/03/2010 13.00,"1,722568","15,900873",
23/03/2010 14.00,"1,942855","19,770463","16,11721"
23/03/2010 15.00,"1,823683","16,534886",
23/03/2010 16.00,"1,579924","7,388786","13,43101"
23/03/2010 17.00,"1,867019","8,555572",
23/03/2010 18.00,"1,941049","6,121415","18,80341"
23/03/2010 19.00,"1,820072","12,453077",
23/03/2010 20.00,"1,950077","31,181374","22,954821"
23/03/2010 21.00,"2,047582","48,079015",
23/03/2010 22.00,"3,265477","65,626241","33,943821"
23/03/2010 23.00,"1,950077","46,264587",
24/03/2010 0.00,"1,950077","44,878463","25,39682"
24/03/2010 1.00,"1,950077","30,523989",
24/03/2010 2.00,"1,950077","20,640689","17,826611"
24/03/2010 3.00,"1,950077","16,789914",
24/03/2010 4.00,"1,950077","16,711397","21,24542"
24/03/2010 5.00,"1,950077","17,470002",
24/03/2010 6.00,"1,939244","15,655581","21,97802"
24/03/2010 7.00,"2,184809","27,367563",
24/03/2010 8.00,"1,951883","35,439035","26,12941"
24/03/2010 9.00,"1,935633","11,754823",
24/03/2010 10.00,"2,910671","15,826242","20,02442"
24/03/2010 11.00,"1,950077","8,677573",
24/03/2010 12.00,"1,950077","12,731472","17,582411"
24/03/2010 13.00,"1,950077","23,113786",
24/03/2010 14.00,"1,950077","14,654275","11,47741"
24/03/2010 15.00,"1,950077","6,552307",
24/03/2010 16.00,"1,950077","10,294064","13,67521"
24/03/2010 17.00,"1,950077","14,535519",
24/03/2010 18.00,"1,878755","16,242862","16,36141"
24/03/2010 19.00,"1,650344","8,682114",
24/03/2010 20.00,"1,950077","11,872277","15,87301"
24/03/2010 21.00,"1,950077","25,914598",
24/03/2010 22.00,"1,950077","15,690623","20,757021"
24/03/2010 23.00,"1,950077","10,675641",
25/03/2010 0.00,"1,950077","22,052127","21,24542"
25/03/2010 1.00,,"22,869795",
25/03/2010 2.00,"1,686455",,"18,07081"
25/03/2010 3.00,"1,950077","9,435531",
25/03/2010 4.00,"1,950077","7,310914","16,11721"
25/03/2010 5.00,"1,917576","7,936488",
25/03/2010 6.00,"1,950077","15,888545","20,51281"
25/03/2010 7.00,"1,829101","8,305734",
25/03/2010 8.00,"1,948272","13,327196","23,19902"
25/03/2010 9.00,,"7,3492",
25/03/2010 10.00,,"4,673637","20,757021"
25/03/2010 11.00,"1,561868","4,122041",
25/03/2010 12.00,"1,950077","3,273883","17,582411"
25/03/2010 13.00,"1,950077","4,359551",
25/03/2010 14.00,"1,950077","3,778106","11,72161"
25/03/2010 15.00,"1,950077","3,476999",
25/03/2010 16.00,"1,950077","4,720361","9,27961"
25/03/2010 17.00,"1,950077","3,546435",
25/03/2010 18.00,"1,950077","4,046115","11,96581"
25/03/2010 19.00,"1,950077","13,623114",
25/03/2010 20.00,"1,950077","43,916745","17,3382"
25/03/2010 21.00,"1,977162","58,246537",
25/03/2010 22.00,"2,078277","40,475434","25,15262"
25/03/2010 23.00,"1,92841","25,570016",
26/03/2010 0.00,"1,811044","18,238342","25,39682"
26/03/2010 1.00,"1,679234","12,281112",
26/03/2010 2.00,"1,782154","9,182445","22,22221"
26/03/2010 3.00,"1,809239","4,644435",
26/03/2010 4.00,"1,481518","2,988999","19,0476"
26/03/2010 5.00,"0,673499","3,752797",
26/03/2010 6.00,"1,670206","4,104521","24,908421"
26/03/2010 7.00,"1,832712","5,220691",
26/03/2010 8.00,"1,756876","8,89821","27,35042"
26/03/2010 9.00,"1,778543","8,881987",
26/03/2010 10.00,"1,876047","4,433532","30,036631"
26/03/2010 11.00,"1,917576","4,74567",
26/03/2010 12.00,"1,939244","4,028595","24,908421"
26/03/2010 13.00,"1,836323","4,643139",
26/03/2010 14.00,"1,950077","2,891009","27,83882"
26/03/2010 15.00,"1,950077","3,022744",
26/03/2010 16.00,"1,950077","1,510075","24,664221"
26/03/2010 17.00,"1,94466","2,678807",
26/03/2010 18.00,"1,950077","5,023415","21,001221"
26/03/2010 19.00,"1,950077","4,650925",
26/03/2010 20.00,"1,950077","3,529563","21,97802"
26/03/2010 21.00,"1,950077","4,251829",
26/03/2010 22.00,"1,950077","3,526967","27,83882"
26/03/2010 23.00,"1,993412","3,168756",
27/03/2010 0.00,"1,950077","3,382255","26,37361"
27/03/2010 1.00,,"3,774213",
27/03/2010 2.00,"1,950077",,"22,46641"
27/03/2010 3.00,"1,950077","2,656745",
27/03/2010 4.00,"1,950077","3,223915","23,19902"
27/03/2010 5.00,"1,951883","2,911127",
27/03/2010 6.00,"1,960911","1,759914","25,39682"
27/03/2010 7.00,"2,034942","3,83651",
27/03/2010 8.00,"1,984385","6,261584","31,50182"
27/03/2010 9.00,"1,950077","2,852073",
27/03/2010 10.00,"2,036748","2,979265","32,47863"
27/03/2010 11.00,"1,962717","2,877382",
27/03/2010 12.00,"2,17217","2,691138","34,432232"
27/03/2010 13.00,"2,421347","2,992244",
27/03/2010 14.00,"2,526072","3,168756","37,362621"
27/03/2010 15.00,"3,223045","2,708009",
27/03/2010 16.00,"2,779763","2,22001","35,89743"
27/03/2010 17.00,"2,47732","3,023394",
27/03/2010 18.00,"2,238978","4,698298","25,39682"
27/03/2010 19.00,"3,66723","18,12283",
27/03/2010 20.00,"3,442429","11,236975","28,327221"
27/03/2010 21.00,"2,269673","8,031882",
27/03/2010 22.00,"3,082206","10,415425","22,710621"
27/03/2010 23.00,"4,783108","9,095487",
28/03/2010 0.00,"7,695584","21,208516","23,93162"
28/03/2010 1.00,"11,080225","17,681558",
28/03/2010 2.00,"9,256549","11,072789","18,55921"
28/03/2010 3.00,"6,922775","11,964433",
28/03/2010 4.00,"4,93207","8,676275","14,65201"
28/03/2010 5.00,"3,775567","4,793691",
28/03/2010 6.00,"8,033236","18,039768","15,87301"
28/03/2010 7.00,"8,897229","14,877507",
28/03/2010 8.00,"7,955594","9,116253","17,094"
28/03/2010 9.00,"9,657398","10,33106",
28/03/2010 10.00,"5,956765","6,565934","20,26862"
28/03/2010 11.00,"7,803922","7,523116",
28/03/2010 12.00,"6,446089","5,969562","18,31501"
28/03/2010 13.00,"5,044923","5,000052",
28/03/2010 14.00,"3,581462","3,870255","14,65201"
28/03/2010 15.00,"2,943172","2,887116",
28/03/2010 16.00,"3,107485","2,861809","11,23321"
28/03/2010 17.00,"3,0804","3,214829",
28/03/2010 18.00,"2,558574","7,647713","9,27961"
28/03/2010 19.00,"2,108973","14,123437",
28/03/2010 20.00,"2,385234","8,456286","9,27961"
28/03/2010 21.00,"2,145086","28,659599",
28/03/2010 22.00,"1,980773","34,895224","15,14041"
28/03/2010 23.00,"2,03133","19,745815",
29/03/2010 0.00,"2,013275","13,98522","10,50061"
29/03/2010 1.00,,"8,595159",
29/03/2010 2.00,"1,969939",,"6,105006"
29/03/2010 3.00,"1,950077","8,968945",
29/03/2010 4.00,"1,950077","7,059127","7,081807"
29/03/2010 5.00,"2,258839","15,909958",
29/03/2010 6.00,"2,235367","21,018386","9,035409"
29/03/2010 7.00,"4,365104","34,766086",
29/03/2010 8.00,"3,25013","27,697231","19,78022"
29/03/2010 9.00,"6,178856","29,833527",
29/03/2010 10.00,"15,867853","34,400091","31,746031"
29/03/2010 11.00,"8,989316","13,238293",
29/03/2010 12.00,"3,845987","6,832647","22,46641"
29/03/2010 13.00,"3,168876","4,249883",
29/03/2010 14.00,"3,323257","3,426382","17,826611"
29/03/2010 15.00,"2,755387","2,780042",
29/03/2010 16.00,"2,332871","1,694372","12,94261"
29/03/2010 17.00,"2,237172","1,806637",
29/03/2010 18.00,"2,305786","4,068182","13,91941"
29/03/2010 19.00,"2,125224","4,005232",
29/03/2010 20.00,"2,127029","25,939892","12,94261"
29/03/2010 21.00,"1,959106","27,127455",
29/03/2010 22.00,"2,004247","23,643332","13,43101"
29/03/2010 23.00,"2,152307","16,654293",
30/03/2010 0.00,"1,950077","4,603553","16,36141"
30/03/2010 1.00,"2,136057","1,539277",
30/03/2010 2.00,"1,950077","0,545105","14,16361"
30/03/2010 3.00,"2,107167","1,366659",
30/03/2010 4.00,"1,955495","1,981201","14,16361"
30/03/2010 5.00,"2,704829","2,388084",
30/03/2010 6.00,"2,592881","2,872839","17,826611"
30/03/2010 7.00,"2,148696","4,533469",
30/03/2010 8.00,"2,798723","3,78719","20,02442"
30/03/2010 9.00,"3,12193","4,885191",
30/03/2010 10.00,"3,170681","4,469223","21,73382"
30/03/2010 11.00,"3,246518","4,537361",
30/03/2010 12.00,"3,232073","2,803403","25,64102"
30/03/2010 13.00,"3,25013","2,883871",
30/03/2010 14.00,"3,044288","1,608713","16,11721"
30/03/2010 15.00,"2,979285","2,295287",
30/03/2010 16.00,"3,232073","1,276457","21,001221"
30/03/2010 17.00,"3,22485","1,666469",
30/03/2010 18.00,"3,226656","1,455563","23,93162"
30/03/2010 19.00,"0,616621","1,648299",
30/03/2010 20.00,"0,016251","2,386788","24,42001"
30/03/2010 21.00,"0,161603","1,552903",
30/03/2010 22.00,"0,12188","1,338107","23,93162"
30/03/2010 23.00,"0,015348","1,248553",
31/03/2010 0.00,,"0,885149","27,10622"
31/03/2010 1.00,,"1,401702",
31/03/2010 2.00,"0,002708",,"23,93162"
31/03/2010 3.00,"0,15709","3,042862",
31/03/2010 4.00,"0,000903","4,010424","23,68742"
31/03/2010 5.00,"0,003611","5,192137",
31/03/2010 6.00,"0,089379","11,808681","20,26862"
31/03/2010 7.00,"0,982261","44,889495",
31/03/2010 8.00,"0,087573","11,84178","31,990231"
31/03/2010 9.00,"0,039724","3,929957",
31/03/2010 10.00,"0,053266","3,89686","29,54822"
31/03/2010 11.00,"0,014445","5,265468",
31/03/2010 12.00,"0,014445","2,624296","19,2918"
31/03/2010 13.00,"0,195911","2,75019",
31/03/2010 14.00,"0,368348","3,963702","18,07081"
31/03/2010 15.00,"0,075837","2,87933",
31/03/2010 16.00,"0,130005","3,041564","13,67521"
31/03/2010 17.00,,"3,340723",
31/03/2010 18.00,"0,002708","4,89233","17,3382"
31/03/2010 19.00,"0,075837","6,116872",
31/03/2010 20.00,,"7,425128","13,67521"
31/03/2010 21.00,,"11,004648",
31/03/2010 22.00,"0,137228","12,66269","15,38461"
31/03/2010 23.00,"0,140839","10,904071",
01/04/2010 0.00,"0,356611","10,068892","14,89621"
01/04/2010 1.00,"0,209453","5,628222",
01/04/2010 2.00,"0,232023","5,765148","10,98901"
01/04/2010 3.00,,"4,76384",
01/04/2010 4.00,,"5,007191","11,47741"
01/04/2010 5.00,,"4,589276",
01/04/2010 6.00,"0,052363","14,310985","11,72161"
01/04/2010 7.00,"0,575092","44,932323",
01/04/2010 8.00,"0,427031",,"20,26862"
01/04/2010 9.00,"0,780031",,
01/04/2010 10.00,"0,464046","10,503677","17,826611"
01/04/2010 11.00,"0,054168","5,041584",
01/04/2010 12.00,"0,267233","4,962414","19,0476"
01/04/2010 13.00,,"3,444552",
01/04/2010 14.00,,"2,729426","10,01221"
01/04/2010 15.00,,"3,114244",
01/04/2010 16.00,"0,019862","2,985106","14,89621"
01/04/2010 17.00,,"2,12267",
01/04/2010 18.00,"0,029793","4,056499","10,01221"
01/04/2010 19.00,,"3,522424",
01/04/2010 20.00,,"5,451062","17,826611"
01/04/2010 21.00,,"3,545787",
01/04/2010 22.00,,"5,822254","13,67521"
01/04/2010 23.00,,"4,804722",
02/04/2010 0.00,,"4,216786","14,65201"
02/04/2010 1.00,,"2,661286",
02/04/2010 2.00,,,"9,523809"
02/04/2010 3.00,,"6,896894",
02/04/2010 4.00,,"8,930657","8,547009"
02/04/2010 5.00,"0,041529","16,304512",
02/04/2010 6.00,"0,149867","28,960699","14,40781"
02/04/2010 7.00,"0,901008","37,405946",
02/04/2010 8.00,"0,772808","33,403327","22,710621"
02/04/2010 9.00,"2,385234","27,630388",
02/04/2010 10.00,"1,982578","14,089698","21,97802"
02/04/2010 11.00,"1,903131","13,70163",
02/04/2010 12.00,"2,299466","10,218792","21,73382"
02/04/2010 13.00,"0,944343","5,356319",
02/04/2010 14.00,"0,156187","3,49452","19,78022"
02/04/2010 15.00,,"3,365382",
02/04/2010 16.00,,"3,391989","12,94261"
02/04/2010 17.00,"0,000903","3,335532",
02/04/2010 18.00,,"19,344124","15,87301"
02/04/2010 19.00,"0,02889","14,775624",
02/04/2010 20.00,,"12,457626","16,11721"
02/04/2010 21.00,,"11,689925",
02/04/2010 22.00,,"11,212316","21,001221"
02/04/2010 23.00,,"9,724956",
03/04/2010 0.00,,"13,833367","15,38461"
03/04/2010 1.00,"0,013542","35,458499",
03/04/2010 2.00,"0,101115","25,812707","18,07081"
03/04/2010 3.00,"0,060488","10,857991",
03/04/2010 4.00,,"7,924158","13,18681"
03/04/2010 5.00,,"5,364106",
03/04/2010 6.00,"0,280775","24,967793","15,38461"
03/04/2010 7.00,"0,117366","19,856138",
03/04/2010 8.00,"0,070419","13,540692","21,48962"
03/04/2010 9.00,"0,624747","13,256459",
03/04/2010 10.00,"0,651832","11,899538","19,0476"
03/04/2010 11.00,"0,855868","9,067583",
03/04/2010 12.00,"1,009346","8,22202","17,826611"
03/04/2010 13.00,"2,613646","8,733381",
03/04/2010 14.00,"2,479127","6,842382","12,21001"
03/04/2010 15.00,"1,428251","4,218084",
03/04/2010 16.00,"0,164312","3,332287","15,14041"
03/04/2010 17.00,"0,089379","3,782647",
03/04/2010 18.00,"0,05146","13,590016","16,36141"
03/04/2010 19.00,,"27,120323",
03/04/2010 20.00,,"40,941367","11,47741"
03/04/2010 21.00,"0,040627","36,141196",
03/04/2010 22.00,"0,030696","21,062496","19,0476"
03/04/2010 23.00,,"21,705596",
04/04/2010 0.00,,"22,522613","14,65201"
04/04/2010 1.00,,"15,051413",
04/04/2010 2.00,,,"8,302809"
04/04/2010 3.00,,"12,893061",
04/04/2010 4.00,,"7,009159","9,27961"
04/04/2010 5.00,,"9,889785",
04/04/2010 6.00,,"22,25589","5,372406"
04/04/2010 7.00,,"12,938478",
04/04/2010 8.00,,"9,334944","15,62881"
04/04/2010 9.00,,"3,694393",
04/04/2010 10.00,"0,001805","3,206393","13,91941"
04/04/2010 11.00,,"2,535394",
04/04/2010 12.00,,"2,550967","14,16361"
04/04/2010 13.00,,"2,327734",
04/04/2010 14.00,,"2,23234","12,21001"
04/04/2010 15.00,,"2,273873",
04/04/2010 16.00,,"1,932531","16,60561"
04/04/2010 17.00,"0,009028","2,550967",
04/04/2010 18.00,"0,00632","3,000031","9,27961"
04/04/2010 19.00,"0,011736","3,652212",
04/04/2010 20.00,,"4,53217","14,65201"
04/04/2010 21.00,,"2,271276",
04/04/2010 22.00,,"2,903339","17,582411"
04/04/2010 23.00,,"4,08051",
05/04/2010 0.00,,"3,109702","16,60561"
05/04/2010 1.00,,"2,279064",
05/04/2010 2.00,"0,015348","1,953297","19,53602"
05/04/2010 3.00,,"1,839734",
05/04/2010 4.00,,"1,401702","18,07081"
05/04/2010 5.00,"0,002708","2,743053",
05/04/2010 6.00,,"2,5925","14,40781"
05/04/2010 7.00,"0,000903","7,505596",
05/04/2010 8.00,,"2,289446","18,80341"
05/04/2010 9.00,,"1,832595",
05/04/2010 10.00,,"1,809882","15,62881"
05/04/2010 11.00,,"2,283607",
05/04/2010 12.00,"0,068614","2,515926","14,40781"
05/04/2010 13.00,,"1,999371",
05/04/2010 14.00,,"1,401702","16,11721"
05/04/2010 15.00,"0,195008","2,661936",
05/04/2010 16.00,,"1,351084","11,23321"
05/04/2010 17.00,,"2,632734",
05/04/2010 18.00,"0,036113","3,035722","14,16361"
05/04/2010 19.00,"2,706636","8,937797",
05/04/2010 20.00,"3,421664","12,231138","15,14041"
05/04/2010 21.00,"0,911842","8,806062",
05/04/2010 22.00,"4,393994","18,756842","16,84981"
05/04/2010 23.00,"14,871142","6,212266",
06/04/2010 0.00,"26,633003","7,397222","13,18681"
06/04/2010 1.00,,"9,594519",
06/04/2010 2.00,"3,361176",,"8,302809"
06/04/2010 3.00,"7,108754","19,693906",
06/04/2010 4.00,"9,072375","24,909402","7,570208"
06/04/2010 5.00,"8,179492","22,579725",
06/04/2010 6.00,"1,023791","8,399179","13,67521"
06/04/2010 7.00,"11,995678","30,705037",
06/04/2010 8.00,"8,360055","19,156575","20,51281"
06/04/2010 9.00,"5,420493","10,570515",
06/04/2010 10.00,"0,651832","5,501031","19,0476"
06/04/2010 11.00,"0,62565","5,11751",
06/04/2010 12.00,"0,149867","4,698946","20,51281"
06/04/2010 13.00,"0,063197","4,463382",
06/04/2010 14.00,"0,10292","4,227818","20,26862"
06/04/2010 15.00,"0,004514","4,762541",
06/04/2010 16.00,,"5,273254","19,0476"
06/04/2010 17.00,"0,025279","6,252498",
06/04/2010 18.00,"0,011736","6,815775","12,21001"
06/04/2010 19.00,,"8,327148",
06/04/2010 20.00,,"10,390758","13,91941"
06/04/2010 21.00,,"13,155871",
06/04/2010 22.00,,"11,71329","8,058608"
06/04/2010 23.00,"0,010834","11,936522",
07/04/2010 0.00,,"8,752849","7,570208"
07/04/2010 1.00,,"6,787223",
07/04/2010 2.00,,"4,924777","4,639805"
07/04/2010 3.00,"0,036113","5,618488",
07/04/2010 4.00,,"15,416765","5,616606"
07/04/2010 5.00,"3,415344","21,510917",
07/04/2010 6.00,"6,120173","35,301465","12,21001"
07/04/2010 7.00,"10,118736","45,652",
07/04/2010 8.00,"13,75526","35,284584","25,39682"
07/04/2010 9.00,,"16,114371",
07/04/2010 10.00,"1,734909","7,835256","25,15262"
07/04/2010 11.00,"0,787254","8,674977",
07/04/2010 12.00,"0,650026","7,409552","19,0476"
07/04/2010 13.00,"0,568773","6,100647",
07/04/2010 14.00,"0,54891","5,307647","15,14041"
07/04/2010 15.00,"0,186883","6,966976",
07/04/2010 16.00,"0,377376","7,325839","9,035409"
07/04/2010 17.00,"0,541688","8,223319",
07/04/2010 18.00,"0,477588","11,905376","12,94261"
07/04/2010 19.00,"0,204036","23,477198",
07/04/2010 20.00,"0,487519","25,945744","9,035409"
07/04/2010 21.00,"0,263622","17,378508",
07/04/2010 22.00,"0,141741","10,839174","10,98901"
07/04/2010 23.00,"0,10563","8,201254",
08/04/2010 0.00,,"7,415392","12,94261"
08/04/2010 1.00,,"7,225903",
08/04/2010 2.00,"0,139033",,"7,326007"
08/04/2010 3.00,"0,1282","13,013759",
08/04/2010 4.00,"0,037016","10,349877","15,38461"
08/04/2010 5.00,"0,178757","29,706323",
08/04/2010 6.00,"0,777323","47,69354","12,94261"
08/04/2010 7.00,"0,659957","41,006263",
08/04/2010 8.00,"0,613011","23,020346","21,001221"
08/04/2010 9.00,"0,642803","13,963149",
08/04/2010 10.00,"0,642803","8,541296","14,89621"
08/04/2010 11.00,"0,650026","10,367393",
08/04/2010 12.00,"0,39453","7,244073","13,91941"
08/04/2010 13.00,"0,463144","5,071437",
08/04/2010 14.00,"0,421614","6,565286","12,69841"
08/04/2010 15.00,"0,515507","5,194734",
08/04/2010 16.00,"0,814338","4,251829","9,76801"
08/04/2010 17.00,"1,124906","6,650297",
08/04/2010 18.00,"0,473075","13,218174","14,65201"
08/04/2010 19.00,"0,169729","27,973668",
08/04/2010 20.00,"0,442379","18,839905","17,3382"
08/04/2010 21.00,"0,333139","17,718542",
08/04/2010 22.00,"0,219384","18,999542","19,2918"
08/04/2010 23.00,,"12,506938",
09/04/2010 0.00,"0,021667","8,558815","21,48962"
09/04/2010 1.00,,"8,180488",
09/04/2010 2.00,,"6,085722","15,62881"
09/04/2010 3.00,"0,02257","6,560093",
09/04/2010 4.00,,"7,914423","14,40781"
09/04/2010 5.00,"0,005417","12,83855",
09/04/2010 6.00,"0,024376","26,46554","20,26862"
09/04/2010 7.00,"0,055975","32,366316",
09/04/2010 8.00,"0,084865","18,847045","22,710621"
09/04/2010 9.00,"0,074934","7,551021",
09/04/2010 10.00,"0,450504","7,434211","20,26862"
09/04/2010 11.00,"0,176049","10,534821",
09/04/2010 12.00,"0,386404","10,422556","22,46641"
09/04/2010 13.00,"0,054168","5,51985",
09/04/2010 14.00,"0,206744","5,238861","13,91941"
09/04/2010 15.00,"0,424323","6,16619",
09/04/2010 16.00,"2,099944","18,911941","13,18681"
09/04/2010 17.00,"1,410194","23,379209",
09/04/2010 18.00,"0,572384","23,884723","14,40781"
09/04/2010 19.00,"0,475783","31,876365",
09/04/2010 20.00,"0,229314","42,5702","18,80341"
09/04/2010 21.00,"0,258205","38,043215",
09/04/2010 22.00,"0,044237","27,29554","27,10622"
09/04/2010 23.00,"0,001805","16,053381",
10/04/2010 0.00,,"18,340875","21,97802"
10/04/2010 1.00,,"7,220064",
10/04/2010 2.00,"0,476685",,"12,21001"
10/04/2010 3.00,"1,507699","23,114435",
10/04/2010 4.00,"0,735793","17,561509","15,38461"
10/04/2010 5.00,"0,256399","6,107136",
10/04/2010 6.00,"0,407169","7,498457","14,65201"
10/04/2010 7.00,"0,632872","12,300582",
10/04/2010 8.00,"1,130322","17,978767","16,11721"
10/04/2010 9.00,"3,230267","19,098829",
10/04/2010 10.00,"3,488473","10,481613","21,48962"
10/04/2010 11.00,"3,25013","6,787871",
10/04/2010 12.00,"2,670523","8,81385","19,53602"
10/04/2010 13.00,"1,969939","8,14934",
10/04/2010 14.00,"2,040359","7,852127","20,51281"
10/04/2010 15.00,"1,917576","8,742467",
10/04/2010 16.00,"1,737014","9,223977","19,78022"
10/04/2010 17.00,"1,950077","8,950775",
10/04/2010 18.00,"2,464681","10,082519","23,44322"
10/04/2010 19.00,"3,119221","19,250015",
10/04/2010 20.00,"2,784277","46,380739","29,05983"
10/04/2010 21.00,"1,625064","23,771169",
10/04/2010 22.00,"1,235049","18,058585","29,79241"
10/04/2010 23.00,"3,09304","26,96069",
11/04/2010 0.00,"5,673281","30,421469","39,804642"
11/04/2010 1.00,"8,265259","20,165672",
