,TARANTO,,
,TA Carcere,,
,SO2,NO2,PM10



04/01/2010 17.00,"3,539894","32,026287",
04/01/2010 18.00,"3,570597","22,894459","29,79241"
04/01/2010 19.00,"3,521833","19,257816",
04/01/2010 20.00,"3,534476","22,793218","25,39682"
04/01/2010 21.00,"3,532669","26,56743",
04/01/2010 22.00,"2,490568","23,434369","28,81562"
04/01/2010 23.00,"1,863863","13,933946",
05/01/2010 0.00,"1,918045","12,286951","24,908421"
05/01/2010 1.00,"1,834966","10,501082",
05/01/2010 2.00,"2,611575","9,70938","15,62881"
05/01/2010 3.00,"2,886097","9,86253",
05/01/2010 4.00,"3,561566","7,941679","8,791209"
05/01/2010 5.00,"3,124498","10,334956",
05/01/2010 6.00,"3,604912","24,786747","13,18681"
05/01/2010 7.00,"3,785519","34,6376",
05/01/2010 8.00,"4,852906","60,317288","16,60561"
05/01/2010 9.00,"5,259271","55,459355",
05/01/2010 10.00,"4,511558","45,068591","22,46641"
05/01/2010 11.00,"4,457376","44,173067",
05/01/2010 12.00,"3,536282","12,867102","22,954821"
05/01/2010 13.00,"3,525446","10,732094",
05/01/2010 14.00,"3,59227","7,395275","36,141621"
05/01/2010 15.00,"3,563373","4,916339",
05/01/2010 16.00,"3,590463","4,17785","31,746031"
05/01/2010 17.00,"3,552537","3,50166",
05/01/2010 18.00,"3,630198","3,24987","30,28083"
05/01/2010 19.00,"3,586852","2,155767",
05/01/2010 20.00,"3,604912","3,017553","31,25762"
05/01/2010 21.00,"3,566985","2,838446",
05/01/2010 22.00,"3,579627","2,722935","33,211231"
05/01/2010 23.00,"3,581434","3,001978",
06/01/2010 0.00,"3,577821","3,388745","39,072041"
06/01/2010 1.00,,"3,414702",
06/01/2010 2.00,"3,570597",,"37,118431"
06/01/2010 3.00,"3,733144",,
06/01/2010 4.00,"3,565179",,"39,56044"
06/01/2010 5.00,"3,595882",,
06/01/2010 6.00,"3,565179",,"30,76923"
06/01/2010 7.00,"3,576015",,
06/01/2010 8.00,"3,565179",,"26,86202"
06/01/2010 9.00,"3,559761",,
06/01/2010 10.00,"3,594076",,"49,328442"
06/01/2010 11.00,"3,545312",,
06/01/2010 12.00,"3,576015",,"35,653221"
06/01/2010 13.00,"3,624779",,
06/01/2010 14.00,"3,55073",,"31,746031"
06/01/2010 15.00,"3,570597",,
06/01/2010 16.00,"3,585046",,"23,93162"
06/01/2010 17.00,"3,561566",,
06/01/2010 18.00,"3,566985",,"22,954821"
06/01/2010 19.00,"3,319554",,
06/01/2010 20.00,"3,561566",,"16,60561"
06/01/2010 21.00,"3,595882",,
06/01/2010 22.00,"3,498355",,"17,094"
06/01/2010 23.00,"3,590463",,
07/01/2010 0.00,"3,455008",,"18,07081"
07/01/2010 1.00,"3,27982",,
07/01/2010 2.00,"3,574209",,"19,0476"
07/01/2010 3.00,"3,570597",,
07/01/2010 4.00,"3,590463",,"13,18681"
07/01/2010 5.00,"3,411664",,
07/01/2010 6.00,"3,594076",,"14,65201"
07/01/2010 7.00,"3,595882",,
07/01/2010 8.00,"3,747592",,"13,18681"
07/01/2010 9.00,"3,344839",,
07/01/2010 10.00,"3,408051",,"23,44322"
07/01/2010 11.00,"3,485711",,
07/01/2010 12.00,"3,312329",,"20,02442"
07/01/2010 13.00,"3,207577","7,421233",
07/01/2010 14.00,"3,606718","7,157765","14,65201"
07/01/2010 15.00,"3,487518","5,614593",
07/01/2010 16.00,"3,628391","6,843681","18,55921"
07/01/2010 17.00,"3,579627","11,090317",
07/01/2010 18.00,"3,518221","13,07346","18,07081"
07/01/2010 19.00,"3,229251","9,050062",
07/01/2010 20.00,"3,133529","33,309887","23,93162"
07/01/2010 21.00,"3,489324","11,709395",
07/01/2010 22.00,"3,585046","7,584764","18,55921"
07/01/2010 23.00,"3,489324","3,059083",
08/01/2010 0.00,"3,102825","3,134361","24,42001"
08/01/2010 1.00,,"3,087637",
08/01/2010 2.00,"3,548924",,"28,327221"
08/01/2010 3.00,"3,561566","4,393298",
08/01/2010 4.00,"3,565179","4,281679","36,141621"
08/01/2010 5.00,"3,613943","4,56851",
08/01/2010 6.00,"3,597688","4,990318","43,46764"
08/01/2010 7.00,"3,601301","4,319319",
08/01/2010 8.00,"3,570597","6,447828","42,97924"
08/01/2010 9.00,"3,58324","5,365405",
08/01/2010 10.00,"3,297881","4,881298","43,956032"
08/01/2010 11.00,"3,527252","4,429637",
08/01/2010 12.00,"3,55073","3,423786","46,88644"
08/01/2010 13.00,"3,581434","3,027937",
08/01/2010 14.00,"3,576015","3,530211","48,84005"
08/01/2010 15.00,"3,597688","3,527617",
08/01/2010 16.00,"3,617555","3,984466","47,37484"
08/01/2010 17.00,"3,557955","3,692447",
08/01/2010 18.00,"3,444172","2,886466","49,328442"
08/01/2010 19.00,"3,436948","3,19017",
08/01/2010 20.00,"3,52364","2,684001","52,74725"
08/01/2010 21.00,"3,566985","3,135659",
08/01/2010 22.00,"3,579627","3,369275","53,724041"
08/01/2010 23.00,"3,539894","3,169404",
09/01/2010 0.00,"3,574209","3,467915","60,561661"
09/01/2010 1.00,"3,521833","2,794319",
09/01/2010 2.00,"3,588658","2,556808","63,003651"
09/01/2010 3.00,"3,561566","1,850764",
09/01/2010 4.00,"3,590463","1,705403","104,029198"
09/01/2010 5.00,"3,572403","1,600277",
09/01/2010 6.00,"3,58324","2,597043","43,956032"
09/01/2010 7.00,"3,603106","3,300489",
09/01/2010 8.00,"3,579627","5,140871","77,167259"
09/01/2010 9.00,"3,361093","6,055871",
09/01/2010 10.00,"3,563373","4,922828","102,564102"
09/01/2010 11.00,"3,281626","3,43417",
09/01/2010 12.00,"3,603106","3,430275","58,119652"
09/01/2010 13.00,"3,08657","4,691809",
09/01/2010 14.00,"3,724112","9,339487","31,25762"
09/01/2010 15.00,"3,563373","7,828764",
09/01/2010 16.00,"2,970982","2,215467","21,001221"
09/01/2010 17.00,"2,741612","2,748894",
09/01/2010 18.00,"2,349695","2,898148","20,02442"
09/01/2010 19.00,"2,911382","3,33683",
09/01/2010 20.00,"2,784958","3,172","16,60561"
09/01/2010 21.00,"3,37193","9,259021",
09/01/2010 22.00,"3,33039","6,332318","8,791209"
09/01/2010 23.00,"3,198547","6,277807",
10/01/2010 0.00,"3,229251","5,669105","6,349206"
10/01/2010 1.00,,"7,179829",
10/01/2010 2.00,"3,33942",,"9,76801"
10/01/2010 3.00,"2,078784","15,124102",
10/01/2010 4.00,"3,225638","7,632786","8,302809"
10/01/2010 5.00,"3,391797","3,096723",
10/01/2010 6.00,"3,306911","3,792383","5,372406"
10/01/2010 7.00,"3,045031","3,797574",
10/01/2010 8.00,"2,918607","6,159701","12,69841"
10/01/2010 9.00,"3,5417","7,291446",
10/01/2010 10.00,"3,5417","4,179148","7,326007"
10/01/2010 11.00,"3,539894","3,761233",
10/01/2010 12.00,"3,328584","4,799533","7,326007"
10/01/2010 13.00,"2,728969","4,761893",
10/01/2010 14.00,"3,045031","4,140212","6,837607"
10/01/2010 15.00,"2,790375","4,47117",
10/01/2010 16.00,"3,014328","4,151893","4,395605"
10/01/2010 17.00,"3,312329","6,083125",
10/01/2010 18.00,"2,620606","9,242147","11,72161"
10/01/2010 19.00,"3,409857","19,163058",
10/01/2010 20.00,"3,386378","49,609861","9,76801"
10/01/2010 21.00,"3,617555","38,632436",
10/01/2010 22.00,"3,579627","35,853708","14,16361"
10/01/2010 23.00,"3,603106","36,109381",
11/01/2010 0.00,"3,529058","35,999057","19,53602"
11/01/2010 1.00,"3,595882","37,289163",
11/01/2010 2.00,"3,516415","15,281145","16,11721"
11/01/2010 3.00,"3,561566","11,815823",
11/01/2010 4.00,"3,588658","8,599702","13,18681"
11/01/2010 5.00,"3,476681","11,266817",
11/01/2010 6.00,"3,4225","18,959314","12,69841"
11/01/2010 7.00,"3,554343","34,762187",
11/01/2010 8.00,"3,852344","51,905791","20,02442"
11/01/2010 9.00,"3,214802","49,499537",
11/01/2010 10.00,"1,634492","35,289132","42,490841"
11/01/2010 11.00,"1,173944","27,324086",
11/01/2010 12.00,,"18,280525","34,67643"
11/01/2010 13.00,,"7,403061",
11/01/2010 14.00,"1,963196","4,865722","21,97802"
11/01/2010 15.00,"3,180486","4,739829",
11/01/2010 16.00,"2,244943","7,070807","14,16361"
11/01/2010 17.00,"1,625462","43,00369",
11/01/2010 18.00,"2,373173","46,359974","14,16361"
11/01/2010 19.00,"2,700072","35,450067",
11/01/2010 20.00,"2,779539","46,396322","3,418803"
11/01/2010 21.00,"2,710909","55,972022",
11/01/2010 22.00,"2,707297","40,446869","11,72161"
11/01/2010 23.00,"2,073366","22,130004",
12/01/2010 0.00,"2,197985","18,390839","20,02442"
12/01/2010 1.00,,"11,501737",
12/01/2010 2.00,"3,084765",,"17,094"
12/01/2010 3.00,"2,566423","9,671743",
12/01/2010 4.00,"2,499599","7,190212","9,27961"
12/01/2010 5.00,"2,039051","8,960509",
12/01/2010 6.00,"2,355114","13,941738","11,72161"
12/01/2010 7.00,"2,380398","34,537658",
