,Provincia di TARANTO,,
,Massafra (TA) Via Frappietro,,
Parm,SO2,O3,BENZENE



17/05/2010 16.00,"2,399812","90,25939","0,036154"
17/05/2010 17.00,"1,893662","77,500854","0,081919"
17/05/2010 18.00,"1,965906","81,870875","0,112277"
17/05/2010 19.00,"2,18444","83,302841","0,094174"
17/05/2010 20.00,"2,288288","77,219295","0,084564"
17/05/2010 21.00,"2,458963","76,91441","0,05802"
17/05/2010 22.00,"2,200242","70,690081","0,051003"
17/05/2010 23.00,"1,791619","71,124082","0,043324"
18/05/2010 0.00,"2,030472","70,045327","0,036765"
18/05/2010 1.00,"1,605595","77,817397","0,034527"
18/05/2010 2.00,,"81,85172","0,029137"
18/05/2010 3.00,"1,784395","88,097701","0,028069"
18/05/2010 4.00,"2,225528",,"0,029239"
18/05/2010 5.00,"1,657972","80,720644","0,03468"
18/05/2010 6.00,"2,13071","66,964319","0,041544"
18/05/2010 7.00,"2,336149","58,440253","0,055732"
18/05/2010 8.00,"2,173603","44,51168","0,064783"
18/05/2010 9.00,"2,172701","66,984288","0,105361"
18/05/2010 10.00,"2,231398","85,360451","0,041239"
18/05/2010 11.00,"2,052598","86,2691","0,035341"
18/05/2010 12.00,"1,941976","91,535481","0,036103"
18/05/2010 13.00,"2,081494","92,978352","0,042307"
18/05/2010 14.00,"1,706283","94,273933","0,031374"
18/05/2010 15.00,"1,928429","92,563133","0,030612"
18/05/2010 16.00,"2,277904","94,334678","0,034171"
18/05/2010 17.00,"2,296417","97,297795","0,032391"
18/05/2010 18.00,"2,168185","95,576173","0,037731"
18/05/2010 19.00,"1,688223","88,265318","0,042714"
18/05/2010 20.00,"1,890052","70,737904","0,04963"
18/05/2010 21.00,"1,995255","58,93452","0,088123"
18/05/2010 22.00,"2,346986","51,012903","0,090106"
18/05/2010 23.00,"2,474315","50,278153","0,066919"
19/05/2010 0.00,"2,004736","61,376745","0,065851"
19/05/2010 1.00,"1,627268","72,235684","0,048155"
19/05/2010 2.00,"1,933847","72,537737","0,03651"
19/05/2010 3.00,"1,907209","70,591451","0,03829"
19/05/2010 4.00,"1,845351","81,284804","0,034222"
19/05/2010 5.00,"1,792071","77,099326","0,040934"
19/05/2010 6.00,"2,006542","53,028257","0,097429"
19/05/2010 7.00,"2,242235","41,161635","0,098598"
19/05/2010 8.00,"2,094588","72,38047","0,075512"
19/05/2010 9.00,"1,365839","78,244298","0,073783"
19/05/2010 10.00,"3,147527","75,391851","0,091479"
19/05/2010 11.00,"4,549485","70,171239","0,124125"
19/05/2010 12.00,"5,948738","77,75669","0,11604"
19/05/2010 13.00,"2,902802","77,539514","0,129566"
19/05/2010 14.00,"2,702329","84,501717","0,073834"
19/05/2010 15.00,"3,26808","92,646336","0,082631"
19/05/2010 16.00,"3,409858","89,456059","0,097886"
19/05/2010 17.00,"2,688332","84,160554","0,091733"
19/05/2010 18.00,"2,822432","80,993573","0,094378"
19/05/2010 19.00,"2,803017","71,183907","0,089954"
19/05/2010 20.00,"2,168185","74,467387","0,063461"
19/05/2010 21.00,"2,045372","81,970456","0,055884"
19/05/2010 22.00,"2,211531","77,761682","0,048307"
19/05/2010 23.00,"1,613721","80,135676","0,036663"
20/05/2010 0.00,"2,093686","82,489693","0,042917"
20/05/2010 1.00,"2,093686","86,251627","0,029137"
20/05/2010 2.00,,"72,176605","0,031425"
20/05/2010 3.00,"1,347779","71,823798","0,029188"
20/05/2010 4.00,"1,317978",,"0,024967"
20/05/2010 5.00,"1,809681","74,897995","0,027866"
20/05/2010 6.00,"1,539221","76,150973","0,031934"
20/05/2010 7.00,"2,333615","75,361006","0,056749"
20/05/2010 8.00,"1,972227","74,236209","0,040172"
20/05/2010 9.00,"2,124387","82,073759","0,06341"
20/05/2010 10.00,"1,84264","83,988508","0,079428"
20/05/2010 11.00,"2,366853","80,784243","0,060257"
20/05/2010 12.00,"2,356017","86,406451","0,049223"
20/05/2010 13.00,"2,05395","86,195547","0,044748"
20/05/2010 14.00,"2,242685","87,656104","0,043985"
20/05/2010 15.00,"1,752789","89,932892","0,033154"
20/05/2010 16.00,"1,602885","87,912679","0,039409"
20/05/2010 17.00,"1,724343","87,579712","0,054409"
20/05/2010 18.00,"2,191213","86,883893","0,04307"
20/05/2010 19.00,"1,408282","77,602398","0,042816"
20/05/2010 20.00,"2,082397","79,880007","0,041188"
20/05/2010 21.00,"1,671516","82,251452","0,037222"
20/05/2010 22.00,"1,769496","83,287711","0,032951"
20/05/2010 23.00,"2,16638","82,676587","0,04785"
21/05/2010 0.00,"1,725698","78,274138","0,032697"
21/05/2010 1.00,"2,086459","69,187765","0,031832"
21/05/2010 2.00,"1,706283","53,497734","0,032595"
21/05/2010 3.00,"1,433568","54,189405","0,037476"
21/05/2010 4.00,"1,665195","67,513807","0,033561"
21/05/2010 5.00,"2,165025","54,376231","0,040324"
21/05/2010 6.00,"1,635846","43,750415","0,044138"
21/05/2010 7.00,"2,012413","35,806591","0,056443"
21/05/2010 8.00,"1,880118","40,299538","0,069817"
21/05/2010 9.00,"1,66023","54,191898","0,059901"
21/05/2010 10.00,"0,092109","60,309812","0,052782"
21/05/2010 11.00,"1,407379","65,356593","0,049782"
21/05/2010 12.00,"2,116711","65,493601","0,045714"
21/05/2010 13.00,"1,476461","70,861724","0,056088"
21/05/2010 14.00,"1,78304","74,010357","0,041443"
21/05/2010 15.00,"1,892759","74,643909","0,041646"
21/05/2010 16.00,"1,795232","75,955837","0,041697"
21/05/2010 17.00,"1,440339","76,951411","0,045307"
21/05/2010 18.00,"1,816002","79,287978","0,057003"
21/05/2010 19.00,"1,945136","78,023378","0,067376"
21/05/2010 20.00,"1,434018","72,452646","0,070122"
21/05/2010 21.00,"1,688673","69,974094","0,067936"
21/05/2010 22.00,"1,582567","72,920133","0,062749"
21/05/2010 23.00,"1,876052","72,878611","0,058833"
22/05/2010 0.00,"1,331072","72,199398","0,049223"
22/05/2010 1.00,"1,192456","70,017275","0,045714"
22/05/2010 2.00,,"71,065155","0,045409"
22/05/2010 3.00,"1,490008","70,571938","0,042205"
22/05/2010 4.00,"1,666098",,"0,042205"
22/05/2010 5.00,"1,478266","64,060403","0,044341"
22/05/2010 6.00,"1,456143","60,932131","0,046731"
22/05/2010 7.00,"1,499489","55,819163","0,085123"
22/05/2010 8.00,"1,851672","59,344374","0,066563"
22/05/2010 9.00,"1,653906","62,516569","0,06219"
22/05/2010 10.00,"1,524322","66,465234","0,060359"
22/05/2010 11.00,"1,717119","76,182358","0,060969"
22/05/2010 12.00,"1,228579","78,429739","0,064427"
22/05/2010 13.00,"1,335135","79,997602","0,054562"
22/05/2010 14.00,"1,627268","85,345086","0,049121"
22/05/2010 15.00,"1,351842","84,388788","0,042714"
22/05/2010 16.00,"1,494071","88,020897","0,042256"
22/05/2010 17.00,"1,993448","86,643627","0,041188"
22/05/2010 18.00,"1,404219","80,883466","0,066359"
22/05/2010 19.00,"2,033633","77,894414","0,0598"
22/05/2010 20.00,"2,367303","73,637474","0,068648"
22/05/2010 21.00,"1,776267","73,259599","0,06341"
22/05/2010 22.00,"1,252959","69,513122","0,054969"
22/05/2010 23.00,"1,854832","65,418609","0,069003"
23/05/2010 0.00,"1,686868","64,786328","0,062851"
23/05/2010 1.00,"1,937008","80,674639","0,039612"
23/05/2010 2.00,"1,739245","83,30902","0,034425"
23/05/2010 3.00,"1,612818","84,031628","0,032493"
23/05/2010 4.00,"1,629526","65,082164","0,035748"
23/05/2010 5.00,"2,066594","61,939806","0,038392"
23/05/2010 6.00,"1,759562","73,925023","0,043833"
23/05/2010 7.00,"1,528838","76,184009","0,043477"
23/05/2010 8.00,"1,747371","71,848349","0,043273"
23/05/2010 9.00,"1,502196","80,954729","0,052426"
23/05/2010 10.00,"1,614626","83,66618","0,048155"
23/05/2010 11.00,"1,064225","87,408502","0,053698"
23/05/2010 12.00,"2,070658","87,896598","0,054918"
23/05/2010 13.00,"1,894565","87,481424","0,056952"
23/05/2010 14.00,"0,935091","87,777268","0,048969"
23/05/2010 15.00,"1,84264","89,142103","0,044646"
23/05/2010 16.00,"1,356358","92,079786","0,033205"
23/05/2010 17.00,"1,984869","92,420371","0,033764"
23/05/2010 18.00,"1,671968","93,40319","0,035595"
23/05/2010 19.00,"2,082849","92,319275","0,039307"
23/05/2010 20.00,"2,127097","87,148298","0,042765"
23/05/2010 21.00,"1,596564","76,227107","0,0927"
23/05/2010 22.00,"1,902241","84,259511","0,052477"
23/05/2010 23.00,"1,701767","87,086974","0,069715"
24/05/2010 0.00,"1,543284","91,832009","0,03712"
24/05/2010 1.00,"1,731569","89,111441","0,035951"
24/05/2010 2.00,,"87,06046","0,036765"
24/05/2010 3.00,"1,331975","90,13735","0,031171"
24/05/2010 4.00,"1,430857",,"0,047697"
24/05/2010 5.00,"1,629976","82,771267","0,056749"
24/05/2010 6.00,"1,750984","53,991891","0,092089"
24/05/2010 7.00,"1,778977","64,428095","0,067224"
24/05/2010 8.00,"1,750531","39,661234","0,104904"
24/05/2010 9.00,"1,368097","54,117438","0,094123"
24/05/2010 10.00,"1,108926","67,042964","0,083089"
24/05/2010 11.00,"0,412686","70,488445","0,06341"
24/05/2010 12.00,"0,660118","77,830868","0,090564"
24/05/2010 13.00,"1,966357","75,942671","0,09992"
24/05/2010 14.00,"2,226883","79,519514","0,062545"
24/05/2010 15.00,"2,239074","79,707421","0,059189"
24/05/2010 16.00,"1,756402","80,060783","0,065851"
24/05/2010 17.00,"1,688673","85,031951","0,083191"
24/05/2010 18.00,"2,728067","83,872922","0,093869"
24/05/2010 19.00,"2,780442","81,497505","0,148787"
24/05/2010 20.00,"2,402523","73,243823","0,123108"
24/05/2010 21.00,"1,764528","56,464587","0,179145"
24/05/2010 22.00,"1,415055","53,886298","0,135007"
24/05/2010 23.00,"1,620044","62,585629","0,081513"
25/05/2010 0.00,"1,224063","61,546333","0,08553"
25/05/2010 1.00,"0,53821","75,821279","0,046935"
25/05/2010 2.00,"1,828194","77,725274","0,045104"
25/05/2010 3.00,"1,580762","83,485176","0,046172"
25/05/2010 4.00,"1,134212","73,338609","0,040477"
25/05/2010 5.00,"1,706283","52,696511","0,083852"
25/05/2010 6.00,"1,703575","44,654015","0,257403"
25/05/2010 7.00,"1,411895","55,377064","0,106276"
25/05/2010 8.00,"1,538771","55,819391","0,131346"
25/05/2010 9.00,"1,654811","63,594164","0,134244"
25/05/2010 10.00,"0,817246","65,97124","0,073631"
25/05/2010 11.00,"4,847997","73,908523","0,083394"
25/05/2010 12.00,"2,045372","80,628658","0,061478"
25/05/2010 13.00,"3,658643","77,569796","0,078614"
25/05/2010 14.00,"4,670944","86,180996","0,049935"
25/05/2010 15.00,"5,072343","88,662836","0,057613"
25/05/2010 16.00,"4,58651","88,615446","0,054765"
25/05/2010 17.00,"3,938584","95,150543","0,064885"
25/05/2010 18.00,"2,883387","84,673597","0,109989"
25/05/2010 19.00,"3,748947","83,902024","0,123616"
25/05/2010 20.00,"4,845231","78,236612","0,146397"
25/05/2010 21.00,"4,940951","53,271867","0,197044"
25/05/2010 22.00,"4,413128","61,398335","0,17172"
25/05/2010 23.00,"4,489435","55,981522","0,146499"
26/05/2010 0.00,"4,73777","62,334534","0,113345"
26/05/2010 1.00,"4,796014","67,186806","0,0778"
26/05/2010 2.00,,"71,937641","0,054359"
26/05/2010 3.00,"4,217622","84,838223","0,037731"
26/05/2010 4.00,"4,040174",,"0,045816"
26/05/2010 5.00,"3,83067","73,639476","0,077241"
26/05/2010 6.00,"4,269094","49,114565","0,144312"
26/05/2010 7.00,"4,577481","74,555987","0,102056"
26/05/2010 8.00,"4,642047","75,750602","0,076377"
26/05/2010 9.00,"4,488982","65,479728","0,088733"
26/05/2010 10.00,"2,430064","80,793885","0,068749"
26/05/2010 11.00,"4,502529","83,051951","0,076478"
26/05/2010 12.00,"4,958561","82,464191","0,082936"
26/05/2010 13.00,"4,802336","82,248347","0,102768"
26/05/2010 14.00,"5,693178","92,003683","0,069156"
26/05/2010 15.00,"5,116591","87,225223","0,066868"
26/05/2010 16.00,"5,095371","80,006057","0,07597"
26/05/2010 17.00,"4,48263","86,483354","0,103225"
26/05/2010 18.00,"3,706504","92,539145","0,072817"
26/05/2010 19.00,"4,507947","95,317726","0,134752"
26/05/2010 20.00,"5,837214","91,327924","0,115379"
26/05/2010 21.00,"4,862388","62,269454","0,138465"
26/05/2010 22.00,"5,399693","57,488502","0,130379"
26/05/2010 23.00,"4,898058","58,99194","0,112073"
27/05/2010 0.00,"5,780322","52,936674","0,102615"
27/05/2010 1.00,"4,444281","61,395283","0,080648"
27/05/2010 2.00,"5,116591","64,696877","0,074597"
27/05/2010 3.00,"4,86058","55,462053","0,066207"
27/05/2010 4.00,"4,769826","46,819144","0,086292"
27/05/2010 5.00,"4,95269","37,144333","0,143855"
27/05/2010 6.00,"5,021774","44,640777","0,127532"
27/05/2010 7.00,"4,858323","56,965494","0,104242"
27/05/2010 8.00,"4,615409","63,749647","0,09392"
27/05/2010 9.00,"5,016356","58,362669","0,086191"
27/05/2010 10.00,"6,576347","64,341558","0,12804"
27/05/2010 11.00,"4,367977","76,490279","0,098547"
27/05/2010 12.00,"5,044802","78,427068","0,080292"
27/05/2010 13.00,"5,252948","76,852234","0,095903"
27/05/2010 14.00,"6,005178","83,405603","0,04907"
27/05/2010 15.00,"5,684149","86,730438","0,0598"
27/05/2010 16.00,"5,14865","90,697828","0,050596"
27/05/2010 17.00,"7,93135","83,733524","0,101853"
27/05/2010 18.00,"6,878411","84,980437","0,121481"
27/05/2010 19.00,"6,607954","72,306216","0,149346"
27/05/2010 20.00,"5,948286","67,453875","0,154737"
27/05/2010 21.00,"6,075162","76,182289","0,118175"
27/05/2010 22.00,"5,140521","72,473087","0,101446"
27/05/2010 23.00,"4,95224","77,551242","0,078919"
28/05/2010 0.00,"5,275976","67,353419","0,060664"
28/05/2010 1.00,"5,082729","59,667699","0,065088"
28/05/2010 2.00,,"58,9853","0,073529"
28/05/2010 3.00,"4,638887","75,036655","0,052325"
28/05/2010 4.00,"4,116029",,"0,040782"
28/05/2010 5.00,"4,23478","63,58257","0,039409"
28/05/2010 6.00,"4,231167","54,017614","0,045765"
28/05/2010 7.00,"4,357591","30,341661","0,097937"
28/05/2010 8.00,"4,866904","20,522081","0,125803"
28/05/2010 9.00,"6,117605","15,073279","0,256945"
28/05/2010 10.00,"5,784385","22,70623","0,275912"
28/05/2010 11.00,"10,441331","32,43074","0,174009"
28/05/2010 12.00,"6,974584","52,550214","0,10831"
28/05/2010 13.00,"6,028656","58,642193","0,100429"
28/05/2010 14.00,"5,297199","68,502281","0,055426"
28/05/2010 15.00,"5,489997","69,320717","0,051511"
28/05/2010 16.00,"5,567207","66,046141","0,078868"
28/05/2010 17.00,"5,704919","67,09275","0,088021"
28/05/2010 18.00,"5,527924","65,908912","0,096157"
28/05/2010 19.00,"5,80335","63,737162","0,120311"
28/05/2010 20.00,"5,026289","55,213853","0,11426"
28/05/2010 21.00,"5,582556","42,513209","0,14177"
28/05/2010 22.00,"4,850197","34,977812","0,139176"
28/05/2010 23.00,"5,367183","38,05976","0,091632"
29/05/2010 0.00,"5,082729","53,538951","0,057257"
29/05/2010 1.00,"5,259272","56,146373","0,046629"
29/05/2010 2.00,"5,421818","61,339724","0,04307"
29/05/2010 3.00,"4,846584","61,78201","0,034476"
29/05/2010 4.00,"5,233084","56,377852","0,032391"
29/05/2010 5.00,"5,055636","44,086426","0,038799"
29/05/2010 6.00,"4,328694","44,834593","0,038697"
29/05/2010 7.00,"4,29438","52,271616","0,046477"
29/05/2010 8.00,"3,375091","54,379709","0,054511"
29/05/2010 9.00,"4,451055","53,500097","0,052986"
29/05/2010 10.00,"3,962062","55,230387","0,08014"
29/05/2010 11.00,"4,230714","61,123953","0,101242"
29/05/2010 12.00,"5,026739","72,818497","0,054054"
29/05/2010 13.00,"3,886207","62,332593","0,105565"
29/05/2010 14.00,"4,770279","50,204858","0,069715"
29/05/2010 15.00,"5,733363","52,510534","0,043731"
29/05/2010 16.00,"4,581994","57,364108","0,055986"
29/05/2010 17.00,"5,678731","46,215189","0,044646"
29/05/2010 18.00,"4,900765","42,493369","0,050189"
29/05/2010 19.00,"4,110161","38,651679","0,109531"
29/05/2010 20.00,"5,385696","40,16124","0,106785"
29/05/2010 21.00,"5,834956","48,304268","0,062851"
29/05/2010 22.00,"5,090403","54,697162","0,045358"
29/05/2010 23.00,"4,590123","59,455668","0,04607"
30/05/2010 0.00,"4,689006","66,945597","0,042612"
30/05/2010 1.00,"4,768021","62,166426","0,035137"
30/05/2010 2.00,,"37,468666","0,044901"
30/05/2010 3.00,"4,64882","31,988451","0,061173"
30/05/2010 4.00,"4,306119",,"0,047799"
30/05/2010 5.00,"2,955179","49,641207","0,03229"
30/05/2010 6.00,"4,0474","27,618538","0,069766"
30/05/2010 7.00,"4,899863","27,099666","0,062698"
30/05/2010 8.00,"5,273719","36,097579","0,061834"
30/05/2010 9.00,"4,981136","43,436261","0,065393"
30/05/2010 10.00,"4,667783","38,602562","0,085428"
30/05/2010 11.00,"5,100789","56,131654","0,082326"
30/05/2010 12.00,"4,693069","63,5473","0,083394"
30/05/2010 13.00,"4,676814","72,450043","0,069258"
30/05/2010 14.00,"5,094918","77,042096","0,043985"
30/05/2010 15.00,"4,429835","72,48397","0,058325"
30/05/2010 16.00,"5,596103","71,506638","0,04724"
30/05/2010 17.00,"5,340545","68,768292","0,044494"
30/05/2010 18.00,"5,131493","59,382258","0,073071"
30/05/2010 19.00,"5,051123","51,682763","0,07597"
30/05/2010 20.00,"5,287715","48,484298","0,084919"
30/05/2010 21.00,"4,739575","42,340592","0,071749"
30/05/2010 22.00,"4,696682","30,709424","0,109022"
30/05/2010 23.00,"5,095821","32,725328","0,090971"
31/05/2010 0.00,"4,982039","33,427913","0,076021"
31/05/2010 1.00,"4,637984","42,704712","0,052121"
31/05/2010 2.00,"4,567997","44,697444","0,057867"
31/05/2010 3.00,"4,222135","37,363727","0,063308"
31/05/2010 4.00,"4,58922","32,913181","0,056698"
31/05/2010 5.00,"5,050217","27,633433","0,095293"
31/05/2010 6.00,"3,454106","25,303062","0,092547"
31/05/2010 7.00,"3,38728","22,947865","0,117972"
31/05/2010 8.00,"4,282188","42,531756","0,107649"
31/05/2010 9.00,"4,361656","40,673913","0,083394"
31/05/2010 10.00,"4,674104","45,095494","0,071393"
31/05/2010 11.00,"4,668686","50,714533","0,0598"
31/05/2010 12.00,"5,09266","55,797325","0,050341"
31/05/2010 13.00,"5,390212","55,194873","0,048206"
31/05/2010 14.00,"5,005969","55,620233","0,036459"
31/05/2010 15.00,"4,973912","49,85637","0,035697"
31/05/2010 16.00,"5,084984","43,77473","0,074648"
31/05/2010 17.00,"5,014098","31,911022","0,088123"
31/05/2010 18.00,"5,153616","31,346635","0,06163"
31/05/2010 19.00,"5,465163","28,307055","0,050392"
31/05/2010 20.00,"5,123817","28,364985","0,06219"
31/05/2010 21.00,"5,714853","75,764369","0,048053"
31/05/2010 22.00,"6,642268","102,479229","0,01917"
31/05/2010 23.00,"5,415947","99,136768","0,022832"
01/06/2010 0.00,"4,754024","91,419895","0,017136"
01/06/2010 1.00,"4,863291","79,573563","0,016018"
01/06/2010 2.00,,"68,052465","0,017289"
01/06/2010 3.00,"4,642047","64,880476","0,018052"
01/06/2010 4.00,"3,491581",,"0,017492"
01/06/2010 5.00,"4,191434","68,467935","0,02151"
01/06/2010 6.00,"5,051573","69,936773","0,024764"
01/06/2010 7.00,"5,474194","69,99124","0,031832"
01/06/2010 8.00,"3,574209","73,829559","0,029239"
01/06/2010 9.00,"3,98825","73,632033","0,026391"
01/06/2010 10.00,"3,344387","71,442193","0,026595"
01/06/2010 11.00,"4,448797","75,048846","0,026035"
01/06/2010 12.00,"4,076297","76,357548","0,025628"
01/06/2010 13.00,"3,945357","78,332799","0,031222"
01/06/2010 14.00,"4,227553","77,993835","0,023696"
01/06/2010 15.00,"4,513366","79,969893","0,024205"
01/06/2010 16.00,"4,25555","81,535465","0,025374"
01/06/2010 17.00,"4,56529","86,280934","0,024154"
01/06/2010 18.00,"4,321471","86,319953","0,040833"
01/06/2010 19.00,"4,609538","83,831788","0,039358"
01/06/2010 20.00,"4,863291","73,627969","0,057816"
01/06/2010 21.00,"4,926504","62,795807","0,061732"
01/06/2010 22.00,"4,645208","73,152446","0,053545"
01/06/2010 23.00,"4,760795","65,709909","0,033561"
02/06/2010 0.00,"4,616865","63,546565","0,059698"
02/06/2010 1.00,"4,407259","59,174519","0,05024"
02/06/2010 2.00,"4,813625","64,269519","0,044901"
02/06/2010 3.00,"4,249227","64,09232","0,054715"
02/06/2010 4.00,"4,812722","48,660998","0,580707"
02/06/2010 5.00,"5,233986","45,899718","0,151533"
02/06/2010 6.00,"5,0895","43,215657","0,158449"
02/06/2010 7.00,"4,533683","62,703954","0,06402"
02/06/2010 8.00,"4,464602","66,876358","0,074139"
02/06/2010 9.00,"5,246178","61,365988","0,103124"
02/06/2010 10.00,"4,70571","62,142271","0,077699"
02/06/2010 11.00,"4,872772","69,443365","0,074343"
02/06/2010 12.00,"4,455118","72,633026","0,068902"
02/06/2010 13.00,"4,312439","75,33985","0,062139"
02/06/2010 14.00,"4,84252","82,042686","0,027967"
02/06/2010 15.00,"4,819042","82,396284","0,037476"
02/06/2010 16.00,"5,14865","89,01702","0,057766"
02/06/2010 17.00,"5,627257","83,019744","0,06102"
02/06/2010 18.00,"6,470691","80,929067","0,090666"
02/06/2010 19.00,"5,810573","64,990528","0,092598"
02/06/2010 20.00,"3,621168","61,858581","0,097123"
02/06/2010 21.00,"5,069635","56,767645","0,074292"
02/06/2010 22.00,"4,909797","45,898904","0,056749"
02/06/2010 23.00,"5,38073","49,50881","0,034832"
03/06/2010 0.00,"5,151358","57,178138","0,025679"
03/06/2010 1.00,"4,170664","65,168542","0,021255"
03/06/2010 2.00,,"55,749133","0,020696"
03/06/2010 3.00,"5,26198","56,131989","0,019425"
03/06/2010 4.00,"5,504896",,"0,019323"
03/06/2010 5.00,"4,932372","64,751207","0,025628"
03/06/2010 6.00,"4,946369","64,817683","0,033358"
03/06/2010 7.00,"3,394053","69,909931","0,039358"
03/06/2010 8.00,"3,795905","73,770662","0,043884"
03/06/2010 9.00,"4,1815","68,167655","0,039765"
03/06/2010 10.00,"3,69612","78,739677","0,029798"
03/06/2010 11.00,"4,464602","55,893893","0,086496"
03/06/2010 12.00,"5,132845","57,159455","0,095598"
03/06/2010 13.00,"4,387392","69,832101","0,045155"
03/06/2010 14.00,"4,165246","81,37214","0,025679"
03/06/2010 15.00,"4,363461","81,171076","0,034883"
03/06/2010 16.00,"4,507495","67,847413","0,042256"
03/06/2010 17.00,"3,00033","55,539602","0,065902"
03/06/2010 18.00,"3,430176","34,10288","0,136075"
03/06/2010 19.00,"4,637984","55,378263","0,089649"
03/06/2010 20.00,"5,120657","56,428168","0,052833"
03/06/2010 21.00,"4,484467","57,645895","0,043019"
03/06/2010 22.00,"4,482209","60,495641","0,040731"
03/06/2010 23.00,"4,949079","65,063336","0,032137"
04/06/2010 0.00,"4,581994","65,611401","0,027764"
04/06/2010 1.00,"4,987007","58,48582","0,033256"
04/06/2010 2.00,"4,781565","60,897766","0,028679"
04/06/2010 3.00,"5,154068","63,751564","0,024561"
04/06/2010 4.00,"4,926051","69,612391","0,025018"
04/06/2010 5.00,"4,770729","69,879931","0,025171"
04/06/2010 6.00,"4,599604","67,245033","0,030052"
04/06/2010 7.00,"4,614503","59,468438","0,034273"
04/06/2010 8.00,"3,964772","54,848041","0,043273"
04/06/2010 9.00,"3,712825","55,704989","0,050799"
04/06/2010 10.00,"4,250582","62,944882","0,036358"
04/06/2010 11.00,"4,032498","67,331783","0,035798"
04/06/2010 12.00,"4,719257","64,836336","0,038544"
04/06/2010 13.00,"4,128221","64,759312","0,039866"
04/06/2010 14.00,"4,197755","67,655267","0,028222"
04/06/2010 15.00,"3,975156","70,422319","0,046223"
04/06/2010 16.00,"5,412787","77,204949","0,035392"
04/06/2010 17.00,"5,528374","72,759677","0,034985"
04/06/2010 18.00,"4,543164","73,063702","0,045816"
04/06/2010 19.00,"3,557052","64,291513","0,041544"
04/06/2010 20.00,"4,640242","66,905331","0,049579"
04/06/2010 21.00,"4,530973","64,265569","0,050392"
04/06/2010 22.00,"4,352625","72,938847","0,037019"
04/06/2010 23.00,"4,195497","71,807055","0,028018"
05/06/2010 0.00,"4,358043","74,627615","0,025374"
05/06/2010 1.00,"4,904378","75,965334","0,022476"
05/06/2010 2.00,,"76,752561","0,022577"
05/06/2010 3.00,"4,932372","75,92723","0,020645"
05/06/2010 4.00,"2,963758",,"0,022069"
05/06/2010 5.00,"1,979451","64,992416","0,025781"
05/06/2010 6.00,"3,896593","64,894517","0,027764"
05/06/2010 7.00,"3,688444","66,100281","0,037019"
05/06/2010 8.00,"3,775585","70,110813","0,036053"
05/06/2010 9.00,"4,031146","63,193549","0,036409"
05/06/2010 10.00,"4,097969","63,244945","0,038087"
05/06/2010 11.00,"3,877179","62,580873","0,032188"
05/06/2010 12.00,"4,639789","61,875198","0,034273"
05/06/2010 13.00,"4,157117","62,28555","0,040324"
05/06/2010 14.00,"2,713618","67,864064","0,030154"
05/06/2010 15.00,"4,329147","71,093861","0,026137"
05/06/2010 16.00,"3,948065","71,804437","0,027917"
05/06/2010 17.00,"4,134541","73,355299","0,027612"
05/06/2010 18.00,"4,754474","71,030231","0,031171"
05/06/2010 19.00,"4,763505","75,248792","0,032595"
05/06/2010 20.00,"4,814074","81,066342","0,031273"
05/06/2010 21.00,"5,001456","83,529278","0,034222"
05/06/2010 22.00,"4,359398","83,910258","0,030764"
05/06/2010 23.00,"4,893542","84,343453","0,029646"
06/06/2010 0.00,"4,558066","87,909368","0,026849"
06/06/2010 1.00,"5,010035","87,686652","0,02212"
06/06/2010 2.00,"4,791499","84,587379","0,020187"
06/06/2010 3.00,"4,483114","86,500454","0,018306"
06/06/2010 4.00,"4,089391","85,418693","0,017848"
06/06/2010 5.00,"5,610552","82,950049","0,01917"
06/06/2010 6.00,"5,376665","80,934996","0,020645"
06/06/2010 7.00,"4,868256","78,193872","0,024561"
06/06/2010 8.00,"4,460086","76,045836","0,100378"
06/06/2010 9.00,"5,104402","69,68822","0,046884"
06/06/2010 10.00,"4,383329","65,95344","0,036459"
06/06/2010 11.00,"4,750864","64,461322","0,034781"
06/06/2010 12.00,"4,518331","60,447528","0,040934"
06/06/2010 13.00,"3,790035","60,184839","0,052833"
06/06/2010 14.00,"4,032951","63,288998","0,036053"
06/06/2010 15.00,"4,077199","61,496661","0,034273"
06/06/2010 16.00,"4,543617","60,22318","0,029391"
06/06/2010 17.00,"5,551402","63,661009","0,040426"
06/06/2010 18.00,"5,027642","66,360523","0,032646"
06/06/2010 19.00,"5,438975","64,514343","0,042765"
06/06/2010 20.00,"5,244823","70,012914","0,092344"
06/06/2010 21.00,"5,742847","90,910734","0,078004"
06/06/2010 22.00,"5,567207","46,969513","0,078868"
06/06/2010 23.00,"5,351381","47,872614","0,14177"
07/06/2010 0.00,"5,173933","51,77056","0,082631"
07/06/2010 1.00,"5,180257","53,558004","0,058732"
07/06/2010 2.00,,"57,698247","0,051562"
07/06/2010 3.00,"4,892187","65,65077","0,041595"
07/06/2010 4.00,"5,076406",,"0,045511"
07/06/2010 5.00,"4,516976","34,717101","0,085275"
07/06/2010 6.00,"5,412337","27,323395","0,127481"
07/06/2010 7.00,"4,80098","60,453849","0,079682"
07/06/2010 8.00,"4,474083","63,184223","0,073478"
07/06/2010 9.00,"4,506139","51,295018","0,082835"
07/06/2010 10.00,"3,957546","60,489872","0,071444"
07/06/2010 11.00,"4,435703","64,048774","0,111107"
