,Provincia di TARANTO,,
,Massafra (TA) Via Frappietro,,
Parm,SO2,O3,BENZENE



06/04/2010 17.00,"10,006185","89,43405",
06/04/2010 18.00,"9,983607","88,269968",
06/04/2010 19.00,"9,89782","82,949242",
06/04/2010 20.00,"10,011262","74,510637",
06/04/2010 21.00,"9,953129","71,449507",
06/04/2010 22.00,"9,919832","71,836484",
06/04/2010 23.00,"9,933375","71,719049",
07/04/2010 0.00,"9,963853","77,678167",
07/04/2010 1.00,"9,946923","85,576105",
07/04/2010 2.00,"9,93394","84,830529",
07/04/2010 3.00,"9,933375","84,426208",
07/04/2010 4.00,"10,010133","81,597581",
07/04/2010 5.00,"9,930553","76,340691",
07/04/2010 6.00,"9,834042","65,828501",
07/04/2010 7.00,"9,990379","62,783136",
07/04/2010 8.00,"9,909107","65,132575",
07/04/2010 9.00,"9,913058","80,267989",
07/04/2010 10.00,"9,949181","87,657581",
07/04/2010 11.00,"10,033276","89,704376",
07/04/2010 12.00,"10,114548","92,109778",
07/04/2010 13.00,"10,099308","93,697093",
07/04/2010 14.00,"9,979094","98,301391",
07/04/2010 15.00,"9,898385","99,130512",
07/04/2010 16.00,"9,693508","97,268145",
07/04/2010 17.00,"9,482425","94,660195",
07/04/2010 18.00,"9,564262","89,705952",
07/04/2010 19.00,"9,790586","87,342323",
07/04/2010 20.00,"9,858876","80,783436",
07/04/2010 21.00,"9,934504","87,859345",
07/04/2010 22.00,"10,004491","85,780236",
07/04/2010 23.00,"10,16478","88,702653",
08/04/2010 0.00,"9,971756","92,071163",
08/04/2010 1.00,"10,139946","91,196327",
08/04/2010 2.00,"10,135995","93,534735",
08/04/2010 3.00,"10,154055","91,945053",
08/04/2010 4.00,"10,180581","88,506405",
08/04/2010 5.00,"10,551953","89,998356",
08/04/2010 6.00,"10,310956","88,604929",
08/04/2010 7.00,"10,076169","83,962001",
08/04/2010 8.00,"10,178888","82,359709",
08/04/2010 9.00,"10,119629","82,852294",
08/04/2010 10.00,"9,902898","80,875643",
08/04/2010 11.00,"9,675448","85,444492","0,744241"
08/04/2010 12.00,"9,185552","82,254892","0,150465"
08/04/2010 13.00,"9,423727","84,664228","0,516839"
08/04/2010 14.00,"9,262874","91,629803","6,11878"
08/04/2010 15.00,"9,34076","91,342917","2,487836"
08/04/2010 16.00,"9,339631","88,012244","1,261995"
08/04/2010 17.00,"9,342453","86,692896","0,406291"
08/04/2010 18.00,"9,342453","91,551774","0,243978"
08/04/2010 19.00,"9,04163","75,776393","0,106683"
08/04/2010 20.00,"9,095248","64,531223","0,152448"
08/04/2010 21.00,"9,371238","70,638513","0,029391"
08/04/2010 22.00,"9,516286","73,780822","0,039104"
08/04/2010 23.00,"9,463798","63,187449","0,032442"
09/04/2010 0.00,"9,478473","64,308179","0,022374"
09/04/2010 1.00,"9,524752","76,067998","0,018713"
09/04/2010 2.00,"9,494276","73,315816","0,020442"
09/04/2010 3.00,"9,552973","71,814414","0,010831"
09/04/2010 4.00,"9,525317","69,911058","0,011899"
09/04/2010 5.00,"9,609977","70,069474","0,012967"
09/04/2010 6.00,"9,612235","52,125132","0,012306"
09/04/2010 7.00,"9,558052","50,60166","0,009306"
09/04/2010 8.00,"9,641584","59,733037","0,009661"
09/04/2010 9.00,"9,523624","77,407041","0,011695"
09/04/2010 10.00,"9,401714","81,196418",
09/04/2010 11.00,,,
09/04/2010 12.00,"8,571805","82,233522","2,765579"
09/04/2010 13.00,"8,263326","80,386208","1,165889"
09/04/2010 14.00,"8,130129","77,977656","1,127548"
09/04/2010 15.00,"7,841157","89,77137","1,024983"
09/04/2010 16.00,"8,188263","87,905844","1,113361"
09/04/2010 17.00,"8,889242","92,106628","1,071715"
09/04/2010 18.00,"9,074366","76,29735","0,793209"
09/04/2010 19.00,"9,156201","80,746389","0,852297"
09/04/2010 20.00,"9,365029","75,794513","0,769513"
09/04/2010 21.00,"9,458155","79,718653","0,635879"
09/04/2010 22.00,"9,42034","89,354446","0,612183"
09/04/2010 23.00,"9,557488","95,83137","0,614014"
10/04/2010 0.00,"9,546764","92,419518","0,460243"
10/04/2010 1.00,"9,511209","95,635914","0,591589"
10/04/2010 2.00,"9,670368","92,935749","0,51506"
10/04/2010 3.00,"9,659643","91,111997","0,464616"
10/04/2010 4.00,"9,642148","93,779056","0,480126"
10/04/2010 5.00,"9,604333","96,974166","0,581724"
10/04/2010 6.00,"9,565955","96,93476","0,433852"
10/04/2010 7.00,"9,631988","94,164458","0,444327"
10/04/2010 8.00,"9,536606","88,224253","0,474024"
10/04/2010 9.00,"9,542248","89,402521","0,333373"
10/04/2010 10.00,"9,504435","94,619213","0,392613"
10/04/2010 11.00,"9,393249","94,645225","0,593114"
10/04/2010 12.00,"9,260616","98,157952","0,525687"
10/04/2010 13.00,"9,030905","97,831659","0,543586"
