,Bari,,,,,
,Caldarola,,,,,
Parm,SO2,NO2,CO,O3,BENZENE,PM10



02/01/2010 1.00,,"50,162754","0,4580815","71,28140985","0,56957085","12,60000038"
02/01/2010 2.00,"3,45320316",,"0,46017384","67,10403945","0,529857","12,60000038"
02/01/2010 3.00,"4,5567102","51,60338864",,"67,59460995","0,5124663","12,60000038"
02/01/2010 4.00,"5,29178051","51,54237672","0,43687151","69,33261405","0,4719897","12,60000038"
02/01/2010 5.00,"4,80414223","45,04912912","0,44635111",,"0,45678555","12,60000038"
02/01/2010 6.00,"5,77400123","39,42155864","0,44982631","61,06976295","0,5148054","12,60000038"
02/01/2010 7.00,"5,19425326","38,8868296","0,48312201","48,45254505","0,54068805","12,60000038"
02/01/2010 8.00,"5,84805002","43,15294136","0,56187717","40,93841745","0,64503225","12,60000038"
02/01/2010 9.00,"6,75650154","44,6636508","0,61176131","44,1130011","1,07329095","12,60000038"
02/01/2010 10.00,"5,64035217","48,30289424","0,67551011","44,2805811","1,367865","12,60000038"
02/01/2010 11.00,"6,04491071","50,77013904","0,64849376","47,793018","1,5066855","12,60000038"
02/01/2010 12.00,"5,47961126","54,70400256","0,68957049","48,7822986","1,355661","12,60000038"
02/01/2010 13.00,"7,41571687","57,72285936","0,64142337","52,19608275","1,45431","12,60000038"
02/01/2010 14.00,"4,67771693","30,63496264","0,5517673","51,68388645","1,0754775","12,60000038"
02/01/2010 15.00,"4,92876134","43,93166072","0,53059692","55,59364755","1,058697","12,60000038"
02/01/2010 16.00,"5,39292014","46,161416","0,49975005","53,67593385","0,92196135","12,60000038"
02/01/2010 17.00,"4,35623712","45,98750048","0,54600055","47,1429672","0,93253815","12,60000038"
02/01/2010 18.00,"5,69634006","48,37946984","0,57163405","45,65096655","1,11732705","12,60000038"
02/01/2010 19.00,"5,58075089","51,06475912","0,58759105","46,4402085","1,2514185","12,60000038"
02/01/2010 20.00,"5,4543266","52,06154208","0,56010055","51,1135758","1,267182","12,60000038"
02/01/2010 21.00,"5,63132121","51,4943664","0,55702029","50,6878428","1,1273445","12,60000038"
02/01/2010 22.00,"6,60659777","49,85125096","0,53873328","53,0407458","1,097343","12,60000038"
02/01/2010 23.00,"6,73844165","44,90766024","0,49659057","53,9543361","0,97484535","12,60000038"
03/01/2010 0.00,"6,73844165","44,18733336","0,50200083","48,61741185","0,9199782","12,60000038"
03/01/2010 1.00,"6,32304495","45,46705408","0,46902201","57,99790185","0,9155034","15,39999962"
03/01/2010 2.00,"6,3862576","43,91737808","0,45440709","55,6625748","0,78588675","15,39999962"
03/01/2010 3.00,"6,55964085","41,08673856","0,4636502","52,62855885","0,7700724","15,39999962"
03/01/2010 4.00,"6,77275625","39,5539264","0,44473176","55,9139448","0,78985305","15,39999962"
03/01/2010 5.00,"6,5506109","35,77193304","0,43983294","51,53793225","0,7237989","15,39999962"
03/01/2010 6.00,"6,35555437","36,39492","0,46534877","41,3208789","0,7958025","15,39999962"
03/01/2010 7.00,"6,33026972","33,53181472","0,50188317","34,2392274","1,03922145","15,39999962"
03/01/2010 8.00,"6,64633196","32,47403896","0,54043185","33,49052385","1,265148","15,39999962"
03/01/2010 9.00,"5,39833872","33,04641528","0,54754068","35,80691835","1,479735","15,39999962"
03/01/2010 10.00,"5,53921254","33,08924408","0,59122352","35,21093205","1,7456805","15,39999962"
03/01/2010 11.00,"7,03824918","36,5234064","0,62424312","32,6999253","1,8351765","15,39999962"
03/01/2010 12.00,"6,48197968","40,65713128","0,64039817","36,13397865","1,948572","15,39999962"
03/01/2010 13.00,"7,05811526","44,94658856","0,60836533","40,8194955","1,9134855","15,39999962"
03/01/2010 14.00,"6,58131312","44,59877664","0,53644289","45,22794675","1,3815945","15,39999962"
03/01/2010 15.00,"6,24719099","39,8848936","0,47119357","51,1014063","1,1009025","15,39999962"
03/01/2010 16.00,"6,26163951","40,46635192","0,4506954","55,3814793","0,87467085","15,39999962"
03/01/2010 17.00,"7,25858935","42,28726424","0,46677123","49,7756091","0,86155155","15,39999962"
03/01/2010 18.00,"6,14605034","46,68314344","0,47652578","51,81092805","0,9109269","15,39999962"
03/01/2010 19.00,"6,43682793","49,08031344","0,49576109","50,72568795","1,0004229","15,39999962"
03/01/2010 20.00,"7,20440664","51,3775432","0,52127576","43,1764284","0,97179435","15,39999962"
03/01/2010 21.00,"7,93586457","50,0978416","0,60295391","23,58431145","1,1659905","15,39999962"
03/01/2010 22.00,"8,17426564","46,83629464","0,58612898","26,15750235","1,4558355","15,39999962"
03/01/2010 23.00,"7,77693086","45,6772976","0,55441418","27,2021841","1,3063365","15,39999962"
04/01/2010 0.00,"7,53491741","45,19319832","0,57435898","28,43335845","1,2361635","15,39999962"
04/01/2010 1.00,,"45,25419112","0,53498082","29,17801215","1,221417","21,60000038"
04/01/2010 2.00,"7,63605704",,"0,5048446","38,4057849","1,0531035","21,60000038"
04/01/2010 3.00,"7,71913679","45,40734232",,"41,32764195","0,98460855","21,60000038"
04/01/2010 4.00,"5,73607323","31,30465976","0,47332669","35,98938105","0,97057395","21,60000038"
04/01/2010 5.00,"5,9383525","28,95291888","0,494892",,"0,82066815","21,60000038"
04/01/2010 6.00,"5,44168427","32,24691248","0,5143242","15,64584536","0,8701452","21,60000038"
04/01/2010 7.00,"6,33026972","42,01080816","0,59489677","8,56961028","1,2758265","21,60000038"
04/01/2010 8.00,"7,99907722","51,22829248","0,74376047","10,03729587","1,673982","21,60000038"
04/01/2010 9.00,"6,20384441","54,2160028","0,9033643","9,9562071","1,9378935","21,60000038"
04/01/2010 10.00,"7,99907722","51,83569664","0,80142447","29,3307294","2,6487765","21,60000038"
04/01/2010 11.00,"7,28748639","43,85250392","0,66508219","38,4030717","1,964844","21,60000038"
04/01/2010 12.00,"6,72038075","47,5384384","0,72796074","33,2026653","1,651608","21,60000038"
04/01/2010 13.00,"5,36763549","51,2802224","0,67558816","35,22445815","1,524483","21,60000038"
04/01/2010 14.00,"4,81136598","42,08868392","0,54896198","38,77743345","1,344474","21,60000038"
04/01/2010 15.00,"4,29302447","43,21653448","0,50919005","35,55961815","1,164465","21,60000038"
04/01/2010 16.00,"3,94084144","44,88169528","0,50362018","34,34330655","1,1222595","21,60000038"
04/01/2010 17.00,"3,37192961","42,5637012","0,54465731","35,3028417","1,0948005","21,60000038"
04/01/2010 18.00,"4,24426136","43,2645448","0,65785453","28,4509344","1,3388805","21,60000038"
04/01/2010 19.00,"4,26232124","49,26461112","0,71129425","21,03545955","1,5677055","21,60000038"
04/01/2010 20.00,"6,59756783","49,12054192","0,71101698","19,9610523","1,887552","21,60000038"
04/01/2010 21.00,"6,60840498","47,04525712","0,62878545","29,517222","1,640421","21,60000038"
04/01/2010 22.00,"5,69634006","42,24701664","0,60421793","34,3216608","1,21023","21,60000038"
04/01/2010 23.00,"6,01059611","34,0405788","0,58052067","35,3231109","1,056663","21,60000038"
05/01/2010 0.00,"4,96849451","27,4642548","0,52633069","36,6015867","1,0571715","21,60000038"
05/01/2010 1.00,"7,72997292","28,62715232","0,53703471","34,6703469","1,095309","28,5"
05/01/2010 2.00,"6,26525087","27,15277088","0,52206563","32,01202935","1,175652","28,5"
05/01/2010 3.00,"5,79928588","23,73677256","0,52783238","26,90351265",,"28,5"
05/01/2010 4.00,"6,05032928","26,1144784","0,53383562","23,2451016","1,1812455","28,5"
05/01/2010 5.00,"5,04976705","23,08523944","0,53367718","25,8818133","1,13904","28,5"
05/01/2010 6.00,"4,2532913","29,9380004","0,56788158","15,54314276","1,1826693","28,5"
05/01/2010 7.00,"5,43084712","41,12954824","0,64328038","8,19930836","1,289556","28,5"
05/01/2010 8.00,"5,01906382","46,6416148","0,65828908","17,40409671","1,4924475","28,5"
05/01/2010 9.00,"5,65118831","48,38855184","0,6905188","23,25050805","1,591605","28,5"
05/01/2010 10.00,"5,2032832","51,51773104","0,79534201","23,1923937","1,658727","28,5"
05/01/2010 11.00,"5,39111395","51,38274384","0,81110213","23,58838125","1,987218","28,5"
05/01/2010 12.00,"3,54711803","52,0329768","0,83969705","24,53305365","2,148921","28,5"
05/01/2010 13.00,"3,88304736","52,2198748","0,88760535","26,8372986","1,74924","28,5"
05/01/2010 14.00,"2,96014631","55,80070664","0,95285467","22,61262675","1,8260235","28,5"
05/01/2010 15.00,"2,30273717","54,9596752","0,80312304","28,4076828","1,8951795","28,5"
05/01/2010 16.00,"2,59170856","49,66177176","0,61026195","44,00353545","1,4263425","28,5"
05/01/2010 17.00,"2,75244846","50,42102696","0,55536133","47,1902886","1,008864","28,5"
05/01/2010 18.00,"3,18409886","47,9368992","0,52787199","50,64461115","1,0297125","28,5"
05/01/2010 19.00,"3,42069374","49,37753384","0,56744704","49,75938975","1,0584936","28,5"
05/01/2010 20.00,"4,35262474","48,55468552","0,55259562","48,6890523","1,0782234","28,5"
05/01/2010 21.00,"5,74149181","51,2490568","0,65666973","43,2723879","0,9995076","28,5"
05/01/2010 22.00,"5,46335756","50,95055536","0,74016528","36,8813256","1,225485","28,5"
05/01/2010 23.00,"3,67534952","44,69741672","0,65607791","41,31682905","1,138023","28,5"
06/01/2010 0.00,"5,73065465","41,08023776","0,54568484","45,75502575","1,0054062","28,5"
06/01/2010 1.00,,"39,39039304","0,62764026","39,2585676","0,8291601","22,89999962"
06/01/2010 2.00,"6,48017348",,"0,56136457","38,5841778","0,94870845","22,89999962"
06/01/2010 3.00,"6,96419938","40,14316656",,"39,7288689","0,88046775","22,89999962"
06/01/2010 4.00,"5,77761361","33,98736784","0,47703954","47,42136945","0,7914294","22,89999962"
06/01/2010 5.00,"5,7956735","34,48704992","0,42545684",,"0,633591","22,89999962"
06/01/2010 6.00,"6,8540298","30,17420888","0,41605645","52,1366118","0,4662945","22,89999962"
06/01/2010 7.00,"6,84861123","31,91336408","0,4162545","48,76472265","0,54455265","22,89999962"
06/01/2010 8.00,"7,3037411","32,52336856","0,42786606","47,3659683","0,6153867","22,89999962"
06/01/2010 9.00,"7,2296913","32,60252536","0,45492085","44,9306319","0,68205105","22,89999962"
06/01/2010 10.00,"6,18217214","39,19831352","0,49275889","51,1716702","0,8393301","22,89999962"
06/01/2010 11.00,"5,71259477","44,26520912","0,48249058","54,08271435","1,0073385","22,89999962"
06/01/2010 12.00,"4,92334277","50,81686832","0,50725382","55,6328493","0,95948865","22,89999962"
06/01/2010 13.00,"4,24967891","48,73120136","0,51712836","50,84598645","0,9962532","22,89999962"
06/01/2010 14.00,"3,97696325","48,3470232","0,49086343","53,52726645","1,08895275","22,89999962"
06/01/2010 15.00,"3,58685222","43,80837496","0,44465254","55,2936195","0,88117965","22,89999962"
06/01/2010 16.00,"5,32067755","37,72263192","0,48671603","47,8822344","0,7901073","22,89999962"
06/01/2010 17.00,"7,0870123","42,8790856","0,50286992","46,6105017","0,9329958","22,89999962"
06/01/2010 18.00,"5,62048508","71,167508","0,80438707","16,26751728","1,07593515","22,89999962"
06/01/2010 19.00,"4,01308403","78,31878952","0,88819833","14,0240939","2,086884","22,89999962"
06/01/2010 20.00,"6,8738969","77,85283512","0,95380181","10,05081","2,1016305","22,89999962"
06/01/2010 21.00,"7,77873705","77,21558464","0,9770657","9,9453962","2,4697845","22,89999962"
06/01/2010 22.00,"6,97864892","78,47322176","0,94787779","6,94920744","2,4128325","22,89999962"
