, Brindisi,,,
,S. Pancrazio S.,,,
Parm,SO2,NO2,NOX,PM10
,,,,,,
,,,,,
,,,,,,
,,,,,,,
,,,,,,,,
05/01/2009 13.00,"0,5","10,4","14,1","36,6"
05/01/2009 14.00,"0,3","10,0","13,1","36,6"
05/01/2009 15.00,"0,9","15,5","19,6","36,6"
05/01/2009 16.00,"0,6","13,2","16,6","36,6"
05/01/2009 17.00,"0,5","18,8","22,9","36,6"
05/01/2009 18.00,"0,8","30,3","38,6","36,6"
05/01/2009 19.00,"0,6","21,1","25,3","36,6"
05/01/2009 20.00,"0,8","26,9","32,7","36,6"
05/01/2009 21.00,"0,9","41,1","48,9","36,6"
05/01/2009 22.00,"0,9","43,8","52,0","36,6"
05/01/2009 23.00,"0,7","30,8","33,7","36,6"
06/01/2009 0.00,"0,4","26,3","29,4","36,6"
06/01/2009 1.00,,"17,5","20,4","72,5"
06/01/2009 2.00,"0,0",,,"72,5"
06/01/2009 3.00,"0,1","10,0","12,4","72,5"
06/01/2009 4.00,"0,1","10,1","12,4","72,5"
06/01/2009 5.00,"0,1","8,4","10,6","72,5"
06/01/2009 6.00,"0,1","7,5","9,6","72,5"
06/01/2009 7.00,"0,1","7,7","9,8","72,5"
06/01/2009 8.00,"0,1","15,1","18,4","72,5"
06/01/2009 9.00,"0,1","22,4","27,5","72,5"
06/01/2009 10.00,"0,1","23,8","30,2","72,5"
06/01/2009 11.00,"0,2","32,8","40,2","72,5"
06/01/2009 12.00,"0,1","17,0","21,5","72,5"
06/01/2009 13.00,"0,2","13,2","18,3","72,5"
06/01/2009 14.00,"0,2","9,2","12,3","72,5"
06/01/2009 15.00,"0,1","11,3","14,3","72,5"
06/01/2009 16.00,"0,2","11,2","14,0","72,5"
06/01/2009 17.00,"0,2","14,9","17,9","72,5"
06/01/2009 18.00,"0,1","18,7","22,0","72,5"
06/01/2009 19.00,"0,4","59,9","68,7","72,5"
06/01/2009 20.00,"1,7","84,8","155,5","72,5"
06/01/2009 21.00,"0,7","66,4","96,7","72,5"
06/01/2009 22.00,"3,4","89,9","228,2","72,5"
06/01/2009 23.00,"0,9","61,8","91,8","72,5"
07/01/2009 0.00,"0,5","62,9","73,2","72,5"
07/01/2009 1.00,"0,3","52,4","63,9",
07/01/2009 2.00,"0,3","45,5","57,8",
07/01/2009 3.00,"0,3","36,1","46,6",
07/01/2009 4.00,"0,1","32,2","45,3",
07/01/2009 5.00,"0,0","30,6","38,8",
07/01/2009 6.00,"0,1","34,0","52,8",
07/01/2009 7.00,"0,1","40,1","62,6",
07/01/2009 8.00,"0,1","46,9","90,3",
07/01/2009 9.00,"0,0","48,8","81,6",
07/01/2009 10.00,"0,0","48,6","73,8",
07/01/2009 11.00,"0,0","37,0","45,0",
07/01/2009 12.00,"0,0","28,0","33,5",
07/01/2009 13.00,"0,0","22,7","29,5",
07/01/2009 14.00,"0,1","24,1","31,8",
07/01/2009 15.00,"0,1","14,2","17,3",
07/01/2009 16.00,"0,1","16,1","20,7",
07/01/2009 17.00,"0,0","17,9","21,6",
07/01/2009 18.00,"0,0","23,0","27,3",
07/01/2009 19.00,"0,0","38,8","47,0",
07/01/2009 20.00,"0,1","47,7","59,5",
07/01/2009 21.00,"0,1","38,6","46,8",
07/01/2009 22.00,"0,0","40,3","46,9",
07/01/2009 23.00,"0,0","23,2","26,4",
08/01/2009 0.00,"0,0","23,0","25,8",
08/01/2009 1.00,,"18,6","20,9",
08/01/2009 2.00,"0,6",,,
08/01/2009 3.00,"0,6","7,2","9,3",
08/01/2009 4.00,"0,4","7,2","9,2",
08/01/2009 5.00,"1,4","6,0","7,9",
08/01/2009 6.00,"1,2","9,2","11,8",
08/01/2009 7.00,"1,7","15,2","19,4",
08/01/2009 8.00,"1,6","37,9","51,9",
08/01/2009 9.00,"1,7","33,9","55,1",
08/01/2009 10.00,"1,8","27,1","40,3",
08/01/2009 11.00,"1,7","33,1","50,3",
08/01/2009 12.00,"1,7","27,3","35,7",
08/01/2009 13.00,"1,8","20,4","25,3",
08/01/2009 14.00,"1,8","19,8","25,6",
08/01/2009 15.00,"2,1","12,2","15,3",
08/01/2009 16.00,"2,0","17,2","21,1",
08/01/2009 17.00,"1,9","26,8","31,6",
08/01/2009 18.00,"2,3","20,1","23,8",
08/01/2009 19.00,"2,1","27,9","33,7",
08/01/2009 20.00,"2,3","28,4","35,1",
08/01/2009 21.00,"1,8","30,7","35,1",
08/01/2009 22.00,"1,5","38,3","51,4",
08/01/2009 23.00,"1,7","34,0","45,9",
09/01/2009 0.00,"1,5","22,0","25,4",
09/01/2009 1.00,"1,2","23,0","25,8","15,0"
09/01/2009 2.00,"1,6","26,2","28,8","15,0"
09/01/2009 3.00,"1,5","23,2","25,5","15,0"
09/01/2009 4.00,"1,4","16,8","19,6","15,0"
