,Regione Puglia,,,,,,
,Giorgilorio_Surbo,,,,,,
Parm,SO2,NO2,NOX,CO,O3,PM10,BENZENE



01/01/2007 1.00,"0,42167159","109,92971344",,"0,66961171",,,
01/01/2007 2.00,"0,31731824","84,80295512",,"0,49933881",,,
01/01/2007 3.00,"0,41421495","69,83199512",,"0,66923076",,,
01/01/2007 4.00,"0,38104854","55,71504904",,"0,53838611",,,
01/01/2007 5.00,"0,47256024","53,12449936",,"0,27580676",,,
01/01/2007 6.00,"0,27699215","42,89334912",,"0,04136216",,,
01/01/2007 7.00,"0,31509914","73,97870248",,"0,23057098",,,
01/01/2007 8.00,"0,43368338","86,71472568",,"0,49321091",,,
01/01/2007 9.00,"0,33794096","79,52191552",,"0,50645579",,,
01/01/2007 10.00,"0,51948563","59,20242232",,"0,35190107",,,
01/01/2007 11.00,"0,89689433","46,1639972",,"0,02392444",,,
01/01/2007 12.00,"1,04113036","29,52527608",,"0,00129315",,,
01/01/2007 13.00,"0,96917456","20,91389576",,0,,,
01/01/2007 14.00,"0,70742012","12,53095355",,0,,,
01/01/2007 15.00,"0,82834142","10,44657146",,0,,,
01/01/2007 16.00,"0,82348931","9,11495714",,0,,,
01/01/2007 17.00,"0,79544147","10,57116502",,0,,,
01/01/2007 18.00,"0,79425768","16,06505802",,0,,,
01/01/2007 19.00,"0,70934326","26,43374416",,0,,,
01/01/2007 20.00,"0,67759659","26,07163048",,0,,,
01/01/2007 21.00,"0,54703006","29,59406984",,0,,,
01/01/2007 22.00,"0,64182667","27,96005552",,0,,,
01/01/2007 23.00,"0,53090553","18,73737438",,0,,,
02/01/2007 0.00,"0,60741749","18,44016163",,0,,,
02/01/2007 1.00,,"19,250016",,0,,,
02/01/2007 2.00,"0,65035218",,,0,,,
02/01/2007 3.00,"0,59613082","16,23118406",,,,,
02/01/2007 4.00,"0,74237339","10,91639957",,"1,34679825",,,
02/01/2007 5.00,"0,71325464","8,90210566",,"1,28143243",,,
