GROTTAGLIE,,,,,
,,,,,,
,SO2,NO2,CO,O3,PM10
04/01/2011 17.00,"0,653637","14,512805","0,390246","59,145806","17,200001"
04/01/2011 18.00,"0,650026","16,893096","0,372339","56,543727","17,200001"
04/01/2011 19.00,"0,650026","12,671121","0,36468","60,070528","17,200001"
04/01/2011 20.00,"0,650026","16,30906","0,364803","58,287856","17,200001"
04/01/2011 21.00,"0,642803","26,380532","0,461675","40,903124","17,200001"
04/01/2011 22.00,"0,650026","30,703757","0,528647","41,745237","17,200001"
04/01/2011 23.00,"0,650026","26,310458","0,448386","24,985042","17,200001"
05/01/2011 0.00,"0,650026","34,921817","0,53602","22,035234","17,200001"
05/01/2011 1.00,"0,650026","27,712145","0,558345","35,19635","28,6"
05/01/2011 2.00,"0,617524","12,633486","0,362169","44,123515","28,6"
05/01/2011 3.00,"0,646414","9,069529","0,28685","60,921594","28,6"
05/01/2011 4.00,"0,696972","7,196701","0,297992","62,715297","28,6"
05/01/2011 5.00,"0,938926","8,185679","0,258733","61,05105","28,6"
05/01/2011 6.00,"0,66086","13,793778","0,255369","53,639407","28,6"
05/01/2011 7.00,"1,094211","17,163058","0,310551","50,673779","28,6"
05/01/2011 8.00,"1,621454","30,806277","0,2892","38,59507","28,6"
05/01/2011 9.00,"1,435474","31,106077","0,348353","37,568445","28,6"
05/01/2011 10.00,"1,473392","29,160581","0,361035","42,033732","28,6"
05/01/2011 11.00,"1,892297","28,921771","0,397984","41,188192","28,6"
05/01/2011 12.00,"2,258839","30,897135","0,448427","45,435907","28,6"
05/01/2011 13.00,"2,253423","11,654885","0,185075","64,502798","28,6"
05/01/2011 14.00,"0,859479","10,401144","0,143066","66,387372","28,6"
05/01/2011 15.00,"0,624747","13,011167","0,129609","62,543848","28,6"
05/01/2011 16.00,"0,668083","14,486847","0,12807","54,935278","28,6"
05/01/2011 17.00,"0,767392","48,912897","0,396243","22,719679","28,6"
05/01/2011 18.00,"0,650026","53,031041","0,504863","22,935179","28,6"
05/01/2011 19.00,"0,796282","52,793529","0,570135","27,153306","28,6"
05/01/2011 20.00,"0,650026","52,29255","0,540518","18,818988","28,6"
05/01/2011 21.00,"0,650026","49,655268","0,53756","16,150136","28,6"
05/01/2011 22.00,"0,650026","37,089283","0,467388","26,251985","28,6"
05/01/2011 23.00,"0,650026","21,08391","0,343856","44,617897","28,6"
06/01/2011 0.00,"0,650026","22,717944","0,409288","39,321509","28,6"
06/01/2011 1.00,,"16,621843","0,277937","43,147819","40,900002"
06/01/2011 2.00,"0,619331",,"0,242444","43,42738","40,900002"
06/01/2011 3.00,"0,646414","23,865258",,"41,904973","40,900002"
06/01/2011 4.00,"0,575995","17,805499","0,352326",,"40,900002"
06/01/2011 5.00,"0,630164","15,240906","0,400125","37,545839","40,900002"
06/01/2011 6.00,"0,650026","18,31038","0,385215","27,391389","40,900002"
06/01/2011 7.00,"0,628359","38,252179","0,438774","12,709152","40,900002"
06/01/2011 8.00,"0,646414","24,351957","0,356574","36,491185","40,900002"
06/01/2011 9.00,"0,579607","24,024909","0,422841","24,47085","40,900002"
06/01/2011 10.00,"0,841422","33,103508","0,471907","22,868446","40,900002"
06/01/2011 11.00,"0,456824","12,154564","0,228047","50,409918","40,900002"
06/01/2011 12.00,"1,235049","10,721719","0,266737","60,101708","40,900002"
06/01/2011 13.00,"4,774078","15,390167","0,34297","58,690884","40,900002"
06/01/2011 14.00,"2,898032","9,316126","0,255175","69,944977","40,900002"
06/01/2011 15.00,"4,080718","14,821694","0,333329","64,603909","40,900002"
06/01/2011 16.00,"4,293782","16,048182","0,319071","60,105182","40,900002"
06/01/2011 17.00,"1,850768","19,115052","0,28173","47,983162","40,900002"
06/01/2011 18.00,"0,554328","42,336572","0,622495","28,305659","40,900002"
06/01/2011 19.00,"0,673499","60,829955","0,931148","14,690534","40,900002"
06/01/2011 20.00,"2,280508","74,335613","2,073268","23,712191","40,900002"
06/01/2011 21.00,"3,486666","77,044268","2,297311","18,106936","40,900002"
06/01/2011 22.00,"1,677427","75,355739","1,392759","9,332868","40,900002"
06/01/2011 23.00,"0,814338","60,585962","0,916196","9,571464","40,900002"
07/01/2011 0.00,"0,613913","56,300388","1,07904","7,021239","40,900002"
07/01/2011 1.00,"0,639192","47,046556","0,777904","16,615498","27,700001"
07/01/2011 2.00,"0,492936","30,908819","0,48976","26,019986","27,700001"
07/01/2011 3.00,"0,420712","19,521271","0,355473","32,042952","27,700001"
07/01/2011 4.00,"0,18598","12,58286","0,233971","43,927047","27,700001"
07/01/2011 5.00,"0,34668","12,127315","0,215955","40,842618","27,700001"
07/01/2011 6.00,"0,465852","27,067112","0,230826","26,950854","27,700001"
07/01/2011 7.00,"0,306957","31,808242","0,274417","26,741298","27,700001"
07/01/2011 8.00,"1,892297","67,463371","0,713682","4,342636","27,700001"
07/01/2011 9.00,"2,083694","72,932626","0,939074","5,971099","27,700001"
07/01/2011 10.00,"0,958788","47,298349","0,494826","21,452793","27,700001"
07/01/2011 11.00,"0,117366","13,857373","0,150751","54,000601","27,700001"
07/01/2011 12.00,"0,512798","7,974126","0,166644","66,244336","27,700001"
07/01/2011 13.00,"0,906425","7,460169","0,152304","69,088108","27,700001"
07/01/2011 14.00,"1,865214","7,242126","0,1617","71,693281","27,700001"
07/01/2011 15.00,"0,640998","7,027976","0,150833","73,759742","27,700001"
07/01/2011 16.00,"0,308762","11,6458","0,144746","64,157145","27,700001"
07/01/2011 17.00,"0,05778","23,7796","0,16836","44,838562","27,700001"
07/01/2011 18.00,"0,21487","45,047826","0,587892","29,455755","27,700001"
07/01/2011 19.00,"0,173341","49,670851","0,703059","20,350417","27,700001"
07/01/2011 20.00,"0,54891","61,929254","0,798862","10,018453","27,700001"
07/01/2011 21.00,"0,501965","63,995479","0,663063","13,294927","27,700001"
07/01/2011 22.00,"0,229314","22,708861","0,248108","45,67744","27,700001"
07/01/2011 23.00,"0,21487","13,696444","0,178696","55,993048","27,700001"
08/01/2011 0.00,"0,220286","20,726997","0,285611","42,835742","27,700001"
08/01/2011 1.00,,"16,274017","0,182781","48,833809","13,9"
08/01/2011 2.00,"0,119171",,"0,151978","55,632052","13,9"
08/01/2011 3.00,"0,055975","11,747041",,"61,891522","13,9"
08/01/2011 4.00,"0,02889","8,706125","0,194693",,"13,9"
08/01/2011 5.00,"0,007223","7,670423","0,165485","63,44848","13,9"
08/01/2011 6.00,"0,104727","16,948911","0,183628","47,121822","13,9"
08/01/2011 7.00,"0,200424","17,196798","0,185539","42,707124","13,9"
08/01/2011 8.00,"0,146256","39,740824","0,241758","17,62608","13,9"
08/01/2011 9.00,"0,176952","13,457629","0,232118","47,593818","13,9"
08/01/2011 10.00,"0,160701","7,823573","0,246274","60,288103","13,9"
08/01/2011 11.00,"0,113755","12,447892","0,260797","60,77121","13,9"
08/01/2011 12.00,"0,108338","11,932637","0,230003","64,510523","13,9"
08/01/2011 13.00,"0,106532","8,865764","0,219833","69,314599","13,9"
08/01/2011 14.00,"0,357514","7,48483","0,188062","70,713969","13,9"
08/01/2011 15.00,"0,13181","7,277169","0,189404","72,659616","13,9"
08/01/2011 16.00,"0,229314","8,560765","0,195222","69,057766","13,9"
08/01/2011 17.00,"0,399043","10,485509","0,221745","67,430717","13,9"
08/01/2011 18.00,"0,222092","11,131847","0,213283","65,852953","13,9"
08/01/2011 19.00,"0,153479","10,128594","0,21967","67,641036","13,9"
08/01/2011 20.00,"0,205842","11,735352","0,201608","62,901511","13,9"
08/01/2011 21.00,"0,160701","11,111077","0,204048","63,235394","13,9"
08/01/2011 22.00,"0,337652","9,147401","0,235331","66,368004","13,9"
08/01/2011 23.00,"0,030696","13,638037","0,212714","59,70225","13,9"
09/01/2011 0.00,"0,151672","8,750252","0,245135","69,450641","13,9"
09/01/2011 1.00,"0,373765","8,589318","0,239317","66,970513","30,700001"
09/01/2011 2.00,"0,514604","7,27068","0,271658","69,935144","30,700001"
09/01/2011 3.00,"0,650026","9,884594","0,361398","64,446642","30,700001"
09/01/2011 4.00,"0,650026","15,69646","0,489742","47,144025","30,700001"
09/01/2011 5.00,"0,996707","20,973606","0,584566","36,080273","30,700001"
09/01/2011 6.00,"2,21731","25,948344","0,727759","20,068723","30,700001"
09/01/2011 7.00,"0,929898","19,887286","0,663403","22,855657","30,700001"
09/01/2011 8.00,"0,650026","15,538116","0,569149","23,462336","30,700001"
09/01/2011 9.00,"0,650026","11,763906","0,465415","33,822253","30,700001"
09/01/2011 10.00,"0,640998","8,349213","0,304975","53,821568","30,700001"
09/01/2011 11.00,"0,54891","7,714553","0,281543","62,655789","30,700001"
09/01/2011 12.00,"0,592246","8,080552","0,33276","59,12057","30,700001"
09/01/2011 13.00,"0,648221","11,22789","0,406065","52,506204","30,700001"
09/01/2011 14.00,"0,650026","13,436868","0,456751","49,45964","30,700001"
09/01/2011 15.00,"1,30908","13,059187","0,489946","52,598513","30,700001"
09/01/2011 16.00,"0,592246","12,768456","0,49019","51,939787","30,700001"
09/01/2011 17.00,"0,612108","16,702314","0,44113","43,914916","30,700001"
09/01/2011 18.00,"0,651832","15,427802","0,395853","49,641504","30,700001"
09/01/2011 19.00,"0,794476","24,502508","0,499506","34,96062","30,700001"
09/01/2011 20.00,"3,288047","57,612535","0,761401","4,624304","30,700001"
09/01/2011 21.00,"4,967281","57,458084","0,780602","5,175261","30,700001"
09/01/2011 22.00,"4,461705","49,689016","0,663159","9,22501","30,700001"
09/01/2011 23.00,"6,182468","56,380844","0,882993","4,025872","30,700001"
10/01/2011 0.00,"5,592028","47,364539","0,772668","10,59196","30,700001"
10/01/2011 1.00,,"47,371023","0,764736","8,013358","19,5"
10/01/2011 2.00,"3,936268",,"0,648189","16,634859","19,5"
10/01/2011 3.00,"2,466487","28,301385",,"33,215574","19,5"
10/01/2011 4.00,"1,9573","15,798993","0,373171",,"19,5"
10/01/2011 5.00,"0,944343","10,872272","0,260911","49,834342","19,5"
10/01/2011 6.00,"0,650026","12,588059","0,234698","52,493635","19,5"
10/01/2011 7.00,"0,648221","21,778273","0,197413","44,151144","19,5"
10/01/2011 8.00,"0,650026","15,866484","0,204658","48,450729","19,5"
10/01/2011 9.00,"0,639192","22,516782","0,236122","42,813178","19,5"
10/01/2011 10.00,"0,650026","11,186358","0,223056","60,572589","19,5"
10/01/2011 11.00,"0,71864","13,644527","0,2406","60,843771","19,5"
10/01/2011 12.00,"0,650026","17,331777","0,246949","54,326943","19,5"
10/01/2011 13.00,"0,650026","14,543951","0,19835","60,463963","19,5"
10/01/2011 14.00,"0,650026","13,714611","0,208118","66,20942","19,5"
10/01/2011 15.00,"0,650026","10,480311","0,205554","70,895042","19,5"
10/01/2011 16.00,"0,53266","12,604932","0,200588","65,446356","19,5"
10/01/2011 17.00,"0,637386","20,048218","0,212473","57,473974","19,5"
10/01/2011 18.00,"0,59044","18,18318","0,207833","60,650054","19,5"
10/01/2011 19.00,"0,447795","12,196097","0,181457","65,53284","19,5"
10/01/2011 20.00,"0,520021","12,412849","0,213654","63,878044","19,5"
10/01/2011 21.00,"0,494742","13,011167","0,203111","58,075148","19,5"
10/01/2011 22.00,"0,575995","12,090971","0,207345","56,901849","19,5"
10/01/2011 23.00,"0,650026","9,165574","0,23018","57,422783","19,5"
11/01/2011 0.00,"0,624747","16,758117","0,300719","43,376307","19,5"
11/01/2011 1.00,"0,601274","10,360904","0,2152","55,699483",22
11/01/2011 2.00,"0,650026","4,53217","0,166682","65,649742",22
11/01/2011 3.00,"0,637386","5,914403","0,1642","56,752424",22
11/01/2011 4.00,"0,516409","8,468615","0,217073","46,739879",22
11/01/2011 5.00,"0,622942","6,155808","0,177347","53,187537",22
11/01/2011 6.00,"0,650026","10,669803","0,168066","50,731614",22
11/01/2011 7.00,"0,650026","12,864509","0,183288","45,959532",22
11/01/2011 8.00,"0,635581","27,012601","0,221387","33,464089",22
11/01/2011 9.00,"0,664471","24,641377","0,234819","35,437125",22
11/01/2011 10.00,"0,650026","15,544605","0,223382","48,474948",22
11/01/2011 11.00,"0,738502","12,741207","0,263801","51,853044",22
11/01/2011 12.00,"1,141156","11,723676","0,250572","57,506493",22
11/01/2011 13.00,"1,086988","11,12795","0,271128","62,137446",22
11/01/2011 14.00,"1,19352","10,490696","0,281873","63,558426",22
11/01/2011 15.00,"2,524267","9,95987","0,275361","64,116011",22
11/01/2011 16.00,"1,348803","14,604951","0,287084","57,179953",22
11/01/2011 17.00,"0,646414","21,732862","0,29327","44,89207",22
11/01/2011 18.00,"0,650026","30,969809","0,330066","28,547412",22
11/01/2011 19.00,"0,650026","32,057431","0,327136","27,387261",22
11/01/2011 20.00,"0,836006","39,621418","0,553","10,433838",22
11/01/2011 21.00,"0,650026","21,290291","0,352779","23,287615",22
11/01/2011 22.00,"0,650026","15,791202","0,397391","32,425694",22
11/01/2011 23.00,"0,650026","14,162375","0,441309","34,490736",22
12/01/2011 0.00,"0,651832","22,508981","0,59806","25,944157",22
12/01/2011 1.00,,"29,361741","0,731323","14,376447","15,5"
12/01/2011 2.00,"0,650026",,"0,42625","37,738775","15,5"
12/01/2011 3.00,"0,650026","11,950803",,"62,51101","15,5"
12/01/2011 4.00,"0,67711","9,274594","0,308332",,"15,5"
12/01/2011 5.00,"0,642803","9,732743","0,295532","50,171198","15,5"
12/01/2011 6.00,"0,650026","15,050122","0,266621","54,130874","15,5"
12/01/2011 7.00,"0,659054","37,574682","0,378676","25,900426","15,5"
12/01/2011 8.00,"0,67711","32,864716","0,412292","28,98332","15,5"
12/01/2011 9.00,"1,224216","40,972515","0,519762","29,231757","15,5"
12/01/2011 10.00,"1,42464","51,276319","0,435023","18,44129","15,5"
12/01/2011 11.00,"0,650026","9,192827","0,257848","67,836066","15,5"
12/01/2011 12.00,"0,650026","8,062381","0,243452","72,150052","15,5"
12/01/2011 13.00,"1,040041","7,422531","0,226224","77,507566","15,5"
12/01/2011 14.00,"0,650026","7,051339","0,267617","78,612014","15,5"
12/01/2011 15.00,"0,646414","7,981915","0,26","74,014299","15,5"
12/01/2011 16.00,"0,444184","6,510126","0,227142","75,90073","15,5"
12/01/2011 17.00,"0,429739","9,81321","0,236752","69,03947","15,5"
12/01/2011 18.00,"0,216675","10,206464","0,232565","68,456109","15,5"
12/01/2011 19.00,"0,581412","6,73336","0,252544","76,047427","15,5"
12/01/2011 20.00,"0,583218","6,102593","0,246323","77,10412","15,5"
12/01/2011 21.00,"0,24376","6,580213","0,233362","71,052522","15,5"
12/01/2011 22.00,"0,326819","12,889167","0,286958","56,186144","15,5"
12/01/2011 23.00,"0,283484","7,366722","0,278543","58,308503","15,5"
13/01/2011 0.00,"0,380988","6,855361","0,233482","60,104265","15,5"
13/01/2011 1.00,"0,483908","5,870276","0,238946","61,717341","20,1"
13/01/2011 2.00,"0,543494","6,699615","0,244009","57,794353","20,1"
13/01/2011 3.00,"0,525437","6,974766","0,241538","51,564906","20,1"
13/01/2011 4.00,"0,330429","7,44719","0,252863","47,694525","20,1"
13/01/2011 5.00,"0,431545","7,327786","0,24724","45,947184","20,1"
13/01/2011 6.00,"0,308762","8,164913","0,256969","43,716854","20,1"
13/01/2011 7.00,"0,520021","9,14221","0,288155","42,528673","20,1"
13/01/2011 8.00,"0,483908","10,986482","0,329946","40,514241","20,1"
13/01/2011 9.00,"0,451407","10,446571","0,326476","42,951492","20,1"
13/01/2011 10.00,"0,563356","8,546489","0,311562","49,037697","20,1"
13/01/2011 11.00,"0,476685","7,692489","0,291464","55,080315","20,1"
13/01/2011 12.00,"0,59044","7,301828","0,294855","60,247525","20,1"
13/01/2011 13.00,"0,668083","7,043553","0,289749","66,766922","20,1"
13/01/2011 14.00,"0,830589","8,395934","0,293856","68,893451","20,1"
13/01/2011 15.00,"0,687944","8,225913","0,311244","70,6304","20,1"
13/01/2011 16.00,"0,572384","8,608785","0,349923","67,737794","20,1"
13/01/2011 17.00,"0,545299","11,992333","0,352835","64,116529","20,1"
13/01/2011 18.00,"0,162506","16,575125","0,379155","54,752976","20,1"
13/01/2011 19.00,"0,521827","44,480653","0,730355","36,722044","20,1"
13/01/2011 20.00,"0,189591","51,586505","0,74535","31,549967","20,1"
13/01/2011 21.00,"0,5778","53,151744","0,743236","17,474541","20,1"
13/01/2011 22.00,"0,514604","23,883423","0,53316","38,019554","20,1"
13/01/2011 23.00,"0,391822","14,436233","0,430597","48,792036","20,1"
14/01/2011 0.00,"0,303346","18,954111","0,435541","39,523285","20,1"
14/01/2011 1.00,,"11,117567","0,32855","48,729053","25,79999"
14/01/2011 2.00,"0,23112",,"0,293976","60,790742","25,79999"
14/01/2011 3.00,"0,353903","16,089715",,"53,622927","25,79999"
