GROTTAGLIE,,,,,
,,,,,,
,SO2,NO2,CO,O3,PM10
15/04/2011 12.00,"2,229949","6,599679","0,209325","96,512775","14,7"
15/04/2011 13.00,"1,625064","6,81902","0,18844","95,686987","14,7"
15/04/2011 14.00,"0,904619","7,042255","0,171613","93,285679","14,7"
15/04/2011 15.00,"0,843228","8,48419","0,186094","94,469297","14,7"
15/04/2011 16.00,"0,826978","7,645765","0,198346","94,051164","14,7"
15/04/2011 17.00,"0,953371","7,861211","0,227426","91,200908","14,7"
15/04/2011 18.00,"1,236855","8,101318","0,223527","89,243275","14,7"
15/04/2011 19.00,"1,200742","17,678312","0,303248","71,549301","14,7"
15/04/2011 20.00,"0,678916","25,858786","0,310606","56,569902","14,7"
15/04/2011 21.00,"0,743918","11,157806","0,255352","64,773962","14,7"
15/04/2011 22.00,"0,650026","5,103233","0,142971","68,043668","14,7"
15/04/2011 23.00,"0,706","4,041574","0,117551","59,421455","14,7"
16/04/2011 0.00,"0,621136","3,985765","0,10864","77,375633","14,7"
16/04/2011 1.00,,"5,21485","0,121251","82,431246","10,1"
16/04/2011 2.00,"0,63197",,"0,107686","71,905167","10,1"
16/04/2011 3.00,"0,640998","18,438859",,"59,3238","10,1"
16/04/2011 4.00,"0,640998","11,042295","0,239282",,"10,1"
16/04/2011 5.00,"0,650026","15,758754","0,196552","63,05347","10,1"
16/04/2011 6.00,"0,650026","10,420612","0,161262","57,186095","10,1"
16/04/2011 7.00,"0,648221","7,767766","0,141678","65,042667","10,1"
16/04/2011 8.00,"0,637386","6,308957","0,129927","60,101129","10,1"
16/04/2011 9.00,"0,613913","6,953999","0,145119","65,057073","10,1"
16/04/2011 10.00,"0,659054","5,087658","0,162053","76,666755","10,1"
16/04/2011 11.00,"0,66086","6,912467","0,229155","83,145018","10,1"
16/04/2011 12.00,"0,650026","8,334935","0,22678","81,655427","10,1"
16/04/2011 13.00,"0,635581","7,357636","0,231211","84,281049","10,1"
16/04/2011 14.00,"0,63197","6,028616","0,192992","87,513631","10,1"
16/04/2011 15.00,"0,559745","5,822254","0,202013","87,218983","10,1"
16/04/2011 16.00,"0,648221","4,854042","0,200312","87,115543","10,1"
16/04/2011 17.00,"0,650026","3,488681","0,188443","86,599579","10,1"
16/04/2011 18.00,"0,640998","4,168766","0,18045","81,892458","10,1"
16/04/2011 19.00,"0,615719","4,458191","0,173765","75,911803","10,1"
16/04/2011 20.00,"0,628359","6,327127","0,18951","72,05589","10,1"
16/04/2011 21.00,"0,541688","7,846934","0,177285","72,137723","10,1"
16/04/2011 22.00,"0,599469","4,277786","0,148957","72,899874","10,1"
16/04/2011 23.00,"0,608497","4,598362","0,170679","69,174234","10,1"
17/04/2011 0.00,"0,608497","4,735936","0,151846","66,3463","10,1"
17/04/2011 1.00,"0,601274","4,101276","0,153944","66,773208","17,79999"
17/04/2011 2.00,"0,650026","2,88517","0,135625","69,746515","17,79999"
17/04/2011 3.00,"0,648221","2,122022","0,144369","76,359663","17,79999"
17/04/2011 4.00,"0,60669","2,286849","0,121382","70,201574","17,79999"
17/04/2011 5.00,"0,633775","2,530851","0,122173","70,905453","17,79999"
17/04/2011 6.00,"0,60308","2,996786","0,127237","69,431569","17,79999"
17/04/2011 7.00,"0,650026","4,480256","0,145003","61,194592","17,79999"
17/04/2011 8.00,"0,604885","3,539297","0,185672","59,8975","17,79999"
17/04/2011 9.00,"0,761975","4,968253","0,215742","65,787139","17,79999"
17/04/2011 10.00,"2,313009","4,747616","0,222902","72,630766","17,79999"
17/04/2011 11.00,"2,280508","5,003297","0,248303","76,515515","17,79999"
17/04/2011 12.00,"2,047582","3,096723","0,254672","82,51448","17,79999"
17/04/2011 13.00,"2,824002","2,107745","0,256453","88,144847","17,79999"
17/04/2011 14.00,"1,879658","1,998723","0,243714","90,520332","17,79999"
17/04/2011 15.00,"1,307274","1,99483","0,251626","91,420633","17,79999"
17/04/2011 16.00,"1,141156","1,67166","0,277303","93,468106","17,79999"
17/04/2011 17.00,"2,179392","2,001319","0,275681","96,868961","17,79999"
17/04/2011 18.00,"2,421347","2,452977","0,296294","96,903656","17,79999"
17/04/2011 19.00,"1,861602","2,73202","0,264564","97,332536","17,79999"
17/04/2011 20.00,"0,940732","3,205743","0,253841","91,326349","17,79999"
17/04/2011 21.00,"0,633775","2,999383","0,227295","89,087705","17,79999"
17/04/2011 22.00,"0,684333","2,761872","0,219896","91,477596","17,79999"
17/04/2011 23.00,"0,675304","2,485426","0,222824","93,646835","17,79999"
18/04/2011 0.00,"0,711417","2,951361","0,208145","88,598589","17,79999"
18/04/2011 1.00,,"3,312169","0,19687","85,683577","21,200001"
18/04/2011 2.00,"0,639192",,"0,213012","81,783113","21,200001"
18/04/2011 3.00,"0,650026","18,581631",,"81,71895","21,200001"
18/04/2011 4.00,"0,541688","11,36287","0,235719",,"21,200001"
18/04/2011 5.00,"0,184174","9,091595","0,209827","77,949619","21,200001"
18/04/2011 6.00,"0,473075","8,244083","0,198979","75,20342","21,200001"
18/04/2011 7.00,"0,498353","9,852148","0,222259","70,376018","21,200001"
18/04/2011 8.00,"0,648221","11,356381","0,242251","69,879566","21,200001"
18/04/2011 9.00,"0,648221","7,207085","0,244983","82,212617","21,200001"
18/04/2011 10.00,"0,637386","7,029275","0,25401","84,844479","21,200001"
18/04/2011 11.00,"0,431545","9,601659","0,236827","77,692246","21,200001"
18/04/2011 12.00,"0,2889","7,287551","0,217626","82,145981","21,200001"
18/04/2011 13.00,"0,926287","5,430296","0,220713","89,236829","21,200001"
18/04/2011 14.00,"0,637386","3,89751","0,272102","95,358906","21,200001"
18/04/2011 15.00,"0,994901","4,621722","0,304883","95,040802","21,200001"
18/04/2011 16.00,"1,144768","4,020808","0,343286","97,218008","21,200001"
18/04/2011 17.00,"1,7966","4,913744","0,326816","98,859593","21,200001"
18/04/2011 18.00,"0,796282","4,11036","0,291501","97,810502","21,200001"
18/04/2011 19.00,"0,514604","3,066871","0,314582","91,933371","21,200001"
18/04/2011 20.00,"0,612108","3,945533","0,30714","89,439963","21,200001"
18/04/2011 21.00,"0,639192","5,522447","0,326143","90,540659","21,200001"
18/04/2011 22.00,"0,731279","4,356957","0,283187","93,2052","21,200001"
18/04/2011 23.00,"0,872118","3,510745","0,279703","94,613574","21,200001"
19/04/2011 0.00,"0,601274","3,588617","0,260977","95,891309","21,200001"
19/04/2011 1.00,"0,657248","2,842339","0,241736","95,798547",32
19/04/2011 2.00,"0,650026","2,251808","0,237342","92,047024",32
19/04/2011 3.00,"0,814338","2,259596","0,259474","90,375394",32
19/04/2011 4.00,"2,105362","2,144084","0,298271","92,107777",32
19/04/2011 5.00,"3,284436","3,45234","0,332674","92,001955",32
19/04/2011 6.00,"3,033454","3,671681","0,327172","92,274359",32
19/04/2011 7.00,"2,361761","4,493234","0,310465","91,135109",32
19/04/2011 8.00,"2,693996","5,066892","0,322342","90,719015",32
19/04/2011 9.00,"3,372912","4,371233","0,319413","96,267548",32
19/04/2011 10.00,"2,648856","3,033126","0,358804","100,602425",32
19/04/2011 11.00,"2,455653","1,306957","0,365653","103,822816",32
19/04/2011 12.00,"2,071054","1,177171","0,36894","105,894863",32
19/04/2011 13.00,"2,305786","2,94617","0,35627","110,650423",32
19/04/2011 14.00,"1,263939","2,926702","0,333625","106,192053",32
19/04/2011 15.00,"0,433351","2,646363","0,355281","106,309678",32
19/04/2011 16.00,"0,63197","3,421191","0,365732","105,49644",32
19/04/2011 17.00,"0,650026","2,617809","0,361971","107,32418",32
19/04/2011 18.00,"1,253106","3,204445","0,339761","108,256262",32
19/04/2011 19.00,"1,422835","6,358276","0,302744","100,735035",32
19/04/2011 20.00,"1,507699","5,987084","0,345423","95,052552",32
19/04/2011 21.00,"3,67084","5,344638","0,647455","100,354184",32
19/04/2011 22.00,"2,999147","5,12919","0,518511","95,956628",32
19/04/2011 23.00,"3,697925","2,340062","0,370245","103,351136",32
20/04/2011 0.00,"2,61816","1,596382","0,366525","104,179435",32
20/04/2011 1.00,,"2,275169","0,353301","101,440527","26,200001"
20/04/2011 2.00,"0,776419",,"0,339089","98,525789","26,200001"
20/04/2011 3.00,"0,303346","22,350648",,"80,550119","26,200001"
20/04/2011 4.00,"0,151672","19,192924","0,212588",,"26,200001"
20/04/2011 5.00,"0,53266","12,728226","0,150615","97,732595","26,200001"
20/04/2011 6.00,"0,570579","12,214274","0,13744","91,740054","26,200001"
20/04/2011 7.00,"0,566967","13,175991","0,095367","87,412186","26,200001"
20/04/2011 8.00,"0,749336","11,874229","0,10735","87,22533","26,200001"
20/04/2011 9.00,"2,829418","9,13053","0,134733","97,628319","26,200001"
20/04/2011 10.00,"3,340411","8,748956","0,171909","102,815042","26,200001"
20/04/2011 11.00,"2,356344","6,502339","0,17358","107,025566","26,200001"
20/04/2011 12.00,"2,766221","5,096744","0,183611","108,928892","26,200001"
20/04/2011 13.00,"5,978432","4,887787","0,186517","111,785495","26,200001"
20/04/2011 14.00,"3,286242","4,351765","0,168883","111,889079","26,200001"
20/04/2011 15.00,"2,679551","4,275192","0,175213","112,381406","26,200001"
20/04/2011 16.00,"2,139668","3,662595","0,186477","113,994999","26,200001"
20/04/2011 17.00,"2,361761","4,216786","0,185801","115,021084","26,200001"
20/04/2011 18.00,"1,62687","4,47117","0,186239","114,392905","26,200001"
20/04/2011 19.00,"0,695166","6,31285","0,189701","106,956677","26,200001"
20/04/2011 20.00,"0,696972","6,277807","0,211354","104,233864","26,200001"
20/04/2011 21.00,"0,408072","5,813168","0,20598","99,194652","26,200001"
20/04/2011 22.00,"0,160701","11,554955","0,208409","78,303431","26,200001"
20/04/2011 23.00,"0,297928","6,257041","0,190537","84,490028","26,200001"
21/04/2011 0.00,"0,027085","9,105871","0,217324","87,601028","26,200001"
21/04/2011 1.00,"0,018056","11,129245","0,202358","64,140349","28,200001"
21/04/2011 2.00,,"14,771077","0,247734","61,974775","28,200001"
21/04/2011 3.00,,"9,785956","0,217125","77,11409","28,200001"
21/04/2011 4.00,,"8,424488","0,181661","56,789331","28,200001"
21/04/2011 5.00,"0,362931","14,688014","0,272531","70,51445","28,200001"
21/04/2011 6.00,"0,005417","21,248744","0,23623","62,772036","28,200001"
21/04/2011 7.00,"0,066808","49,724062","0,275556","25,21646","28,200001"
21/04/2011 8.00,"0,408072","31,660271","0,208567","51,369835","28,200001"
21/04/2011 9.00,"1,529367","20,024854","0,208607","82,361802","28,200001"
21/04/2011 10.00,"3,255546","8,074062","0,219792","106,697729","28,200001"
21/04/2011 11.00,"1,864547","6,437446","0,227941","112,053089","28,200001"
21/04/2011 12.00,"1,242272","4,558125","0,223334","117,934048","28,200001"
21/04/2011 13.00,"8,638122","10,424508","0,305607","116,262776","28,200001"
21/04/2011 14.00,"5,685921","6,822914","0,24654","122,299305","28,200001"
21/04/2011 15.00,"0,915454","4,273894","0,182417","119,964558","28,200001"
21/04/2011 16.00,"0,619331","3,61068","0,189621","116,958413","28,200001"
21/04/2011 17.00,"0,556133","4,872212","0,201483","112,127662","28,200001"
21/04/2011 18.00,"0,368348","9,440721","0,231454","103,093717","28,200001"
21/04/2011 19.00,"0,213064","16,708802","0,230578","86,084527","28,200001"
21/04/2011 20.00,"0,325013","13,3564","0,221146","93,177217","28,200001"
21/04/2011 21.00,"0,274456","9,861231","0,2424","92,333408","28,200001"
21/04/2011 22.00,"0,036113","56,620953","0,290045","10,514979","28,200001"
21/04/2011 23.00,"0,009028","66,731376","0,314125","10,673314","28,200001"
22/04/2011 0.00,"0,019862","53,345122","0,332435","28,505139","28,200001"
22/04/2011 1.00,,"20,279246","0,305926","82,398529","24,200001"
22/04/2011 2.00,"0,310568",,"0,2588","77,818904","24,200001"
22/04/2011 3.00,"0,422517","27,054129",,"82,557189","24,200001"
22/04/2011 4.00,"0,079448","14,664649","0,231897",,"24,200001"
22/04/2011 5.00,,"21,124157","0,202277","87,562383","24,200001"
22/04/2011 6.00,"0,021667","26,17937","0,23106","61,542558","24,200001"
22/04/2011 7.00,"0,070419","37,588963","0,314019","55,034649","24,200001"
22/04/2011 8.00,"0,032501","18,348016","0,15372","92,547973","24,200001"
22/04/2011 9.00,"1,079765","11,970272","0,10959","95,501249","24,200001"
22/04/2011 10.00,"0,82156","8,595807","0,133389","100,474465","24,200001"
22/04/2011 11.00,"0,140839","5,02017","0,156869","104,714517","24,200001"
22/04/2011 12.00,,"4,582787","0,18382","104,743824","24,200001"
22/04/2011 13.00,"0,175146","4,028595","0,190597","105,990304","24,200001"
22/04/2011 14.00,"0,124589","3,20185","0,195857","108,066917","24,200001"
22/04/2011 15.00,"0,104727","3,30568","0,197851","108,944874","24,200001"
22/04/2011 16.00,"0,278067","3,412105","0,18633","108,888101","24,200001"
22/04/2011 17.00,"0,252788","4,185638","0,200523","105,531729","24,200001"
22/04/2011 18.00,"0,283484","5,506871","0,191473","101,667375","24,200001"
22/04/2011 19.00,"0,297928","9,900168","0,188603","92,195136","24,200001"
22/04/2011 20.00,"0,045141","17,874294","0,190237","80,659228","24,200001"
22/04/2011 21.00,"0,084865","12,843737","0,178876","85,032408","24,200001"
22/04/2011 22.00,"0,009028","22,960634","0,200563","58,251426","24,200001"
22/04/2011 23.00,,"23,771818","0,238434","64,804327","24,200001"
23/04/2011 0.00,,"21,404496","0,23122","65,714841","24,200001"
23/04/2011 1.00,,"11,251244","0,154279","80,68728","21,29999"
23/04/2011 2.00,,"10,673698","0,111105","80,739449","21,29999"
23/04/2011 3.00,,"5,774232","0,095558","85,650039","21,29999"
23/04/2011 4.00,,"5,397851","0,067373","88,540713","21,29999"
23/04/2011 5.00,,"13,126677","0,124848","69,524453","21,29999"
23/04/2011 6.00,,"17,75099","0,131755","66,682075","21,29999"
23/04/2011 7.00,,"17,05014","0,14491","67,676721","21,29999"
23/04/2011 8.00,"0,025279","8,730786","0,056814","80,459648","21,29999"
23/04/2011 9.00,"0,139033","5,939062","0,034712","83,866233","21,29999"
23/04/2011 10.00,"0,664471","4,755404","0,083547","90,254755","21,29999"
23/04/2011 11.00,"0,124589","3,28751","0,134705","96,348506","21,29999"
23/04/2011 12.00,"0,373765","2,785233","0,176564","102,714829","21,29999"
23/04/2011 13.00,"0,413489","1,595084","0,20997","106,855734","21,29999"
23/04/2011 14.00,"0,639192","1,157703","0,219538","110,296246","21,29999"
23/04/2011 15.00,"0,594051","1,367958","0,234926","110,405218","21,29999"
23/04/2011 16.00,"0,500159","1,849468","0,243777","109,20708","21,29999"
23/04/2011 17.00,"0,547105","2,305021","0,226475","107,087933","21,29999"
23/04/2011 18.00,"0,339458","4,793041","0,224481","102,394534","21,29999"
23/04/2011 19.00,"0,353903","11,958584","0,209732","82,612653","21,29999"
23/04/2011 20.00,"0,034306","13,548483","0,163887","86,163355","21,29999"
23/04/2011 21.00,,"10,943649","0,127688","86,272281","21,29999"
23/04/2011 22.00,,"10,382978","0,09767","89,641013","21,29999"
23/04/2011 23.00,,"7,802807","0,0771","90,998953","21,29999"
24/04/2011 0.00,,"10,787907","0,089259","87,405839","21,29999"
24/04/2011 1.00,,"10,340143","0,058472","81,098184","20,200001"
24/04/2011 2.00,,,"0,043764","78,004041","20,200001"
24/04/2011 3.00,,"9,279785",,"83,748821","20,200001"
24/04/2011 4.00,,"9,434233","0,210262",,"20,200001"
24/04/2011 5.00,,"10,493289","0,172593","80,482372","20,200001"
24/04/2011 6.00,,"7,985807","0,177149","79,46991","20,200001"
24/04/2011 7.00,,"6,842382","0,170864","80,896594","20,200001"
24/04/2011 8.00,,"4,973447","0,166151","86,625476","20,200001"
24/04/2011 9.00,,"4,074021","0,172593","89,816758","20,200001"
24/04/2011 10.00,"0,18598","4,40368","0,195767","89,112879","20,200001"
24/04/2011 11.00,"0,036113","3,587319","0,221222","93,390298","20,200001"
24/04/2011 12.00,"0,072225","3,279722","0,229391","92,41636","20,200001"
24/04/2011 13.00,"0,041529","2,417936","0,218627","91,196479","20,200001"
24/04/2011 14.00,"0,030696","1,820914","0,221456","88,802356","20,200001"
24/04/2011 15.00,,"1,961085","0,219375","88,51795","20,200001"
24/04/2011 16.00,"0,135422","2,074","0,213718","90,356901","20,200001"
24/04/2011 17.00,"0,440574","2,859212","0,255944","93,7093","20,200001"
24/04/2011 18.00,"0,014445","3,399127","0,338627","95,91551","20,200001"
24/04/2011 19.00,,"7,734021","0,311405","79,972229","20,200001"
24/04/2011 20.00,,"9,33819","0,273973","72,227579","20,200001"
24/04/2011 21.00,,"9,565317","0,234103","67,924064","20,200001"
24/04/2011 22.00,,"7,029275","0,233633","72,722059","20,200001"
24/04/2011 23.00,,"9,282381","0,226719","69,884368","20,200001"
25/04/2011 0.00,,"15,81067","0,270202","53,708833","20,200001"
25/04/2011 1.00,,"7,553616","0,232141","75,092697","20,6"
25/04/2011 2.00,,"4,432234","0,203427","79,068732","20,6"
25/04/2011 3.00,,"3,726192","0,199813","79,437292","20,6"
25/04/2011 4.00,,"2,882575","0,179467","77,480253","20,6"
25/04/2011 5.00,,"6,232382","0,189994","74,527098","20,6"
25/04/2011 6.00,,"5,159043","0,231826","74,076985","20,6"
25/04/2011 7.00,,"5,182403","0,226092","72,133637","20,6"
25/04/2011 8.00,"0,462241","5,87287","0,286896","72,010342","20,6"
25/04/2011 9.00,"1,439085","5,769041","0,357795","81,045323","20,6"
25/04/2011 10.00,"1,121294","7,160362","0,453872","92,984539","20,6"
25/04/2011 11.00,"1,731597","10,673698","0,53903","93,617969","20,6"
25/04/2011 12.00,"1,760487","11,121463","0,657809","97,055178","20,6"
25/04/2011 13.00,"7,489742","12,03646","0,786606","95,196631","20,6"
25/04/2011 14.00,"1,256717","14,922934","0,78967","88,692112","20,6"
25/04/2011 15.00,"0,527243","14,340189","0,807345","88,752127","20,6"
25/04/2011 16.00,"0,019862","14,315522","0,807306","88,899555","20,6"
25/04/2011 17.00,"0,832394","14,058549","0,744577","82,72056","20,6"
25/04/2011 18.00,"1,361443","11,334309","0,420877","73,808219","20,6"
25/04/2011 19.00,"4,524902","13,281116","0,267884","60,084851","20,6"
25/04/2011 20.00,,"10,020872","0,189601","59,159173","20,6"
25/04/2011 21.00,,"9,322615","0,206766","70,841351","20,6"
25/04/2011 22.00,,"8,626955","0,207787","62,054935","20,6"
25/04/2011 23.00,,"9,271999","0,201149","53,291977","20,6"
26/04/2011 0.00,,"2,898148","0,201896","87,443525","20,6"
26/04/2011 1.00,,"1,658681","0,18312","87,701857","13,1"
26/04/2011 2.00,,,"0,193058","85,773531","13,1"
26/04/2011 3.00,,"4,80602",,"81,781157","13,1"
26/04/2011 4.00,,"7,012403","0,240769",,"13,1"
26/04/2011 5.00,,"13,35769","0,217233","45,057256","13,1"
26/04/2011 6.00,,"11,480975","0,260487","69,826553","13,1"
26/04/2011 7.00,,"10,645146","0,248601","70,748322","13,1"
26/04/2011 8.00,,"10,006593","0,223195","70,878421","13,1"
26/04/2011 9.00,,"8,268744","0,229597","76,708908","13,1"
26/04/2011 10.00,,"9,19153","0,226177","77,320398","13,1"
26/04/2011 11.00,,"9,288873","0,240133","78,629198","13,1"
26/04/2011 12.00,,"6,645106","0,242478","84,226171","13,1"
26/04/2011 13.00,,"6,018234","0,234448","88,222213","13,1"
26/04/2011 14.00,,"4,511402","0,227012","91,956773","13,1"
26/04/2011 15.00,,"4,754106","0,220096","91,710214","13,1"
26/04/2011 16.00,,"5,00849","0,215404","90,061841","13,1"
26/04/2011 17.00,,"6,952701","0,213575","82,510766","13,1"
26/04/2011 18.00,,"8,286913","0,257904","74,677379","13,1"
26/04/2011 19.00,,"8,951423","0,294401","77,926659","13,1"
26/04/2011 20.00,,"11,351182","0,317341","73,970289","13,1"
26/04/2011 21.00,,"6,216808","0,236316","77,174683","13,1"
26/04/2011 22.00,,"4,977339","0,210593","74,599335","13,1"
26/04/2011 23.00,,"3,126575","0,168451","75,255033","13,1"
27/04/2011 0.00,,"2,785233","0,186818","71,392331","13,1"
27/04/2011 1.00,,"2,924106","0,18829","72,878086","15,8"
27/04/2011 2.00,,"2,341361","0,186899","73,967678","15,8"
27/04/2011 3.00,,"2,133702","0,185784","76,475371","15,8"
27/04/2011 4.00,,"2,633382","0,19155","70,594152","15,8"
27/04/2011 5.00,,"5,630169","0,192822","65,234645","15,8"
27/04/2011 6.00,,"4,138914","0,202085","59,884235","15,8"
27/04/2011 7.00,"0,175146","5,017573","0,19155","55,172625","15,8"
27/04/2011 8.00,"0,621136","4,924127","0,18487","68,950331","15,8"
27/04/2011 9.00,"0,626552","4,138914","0,195366","74,774951","15,8"
27/04/2011 10.00,"0,635581","4,325808","0,193457","73,34386","15,8"
27/04/2011 11.00,"0,608497","2,807298","0,198825","77,153214","15,8"
27/04/2011 12.00,"0,675304","2,511383","0,205424","80,381665","15,8"
27/04/2011 13.00,"0,653637","2,224553","0,216001","81,79911","15,8"
27/04/2011 14.00,"1,856185","2,491915","0,222361","84,358194","15,8"
27/04/2011 15.00,"3,29527","2,211574","0,264703","85,145962","15,8"
27/04/2011 16.00,"2,278702","2,493211","0,273569","85,110832","15,8"
27/04/2011 17.00,"1,709929","2,947468","0,258063","85,042537","15,8"
27/04/2011 18.00,"0,854061","3,094127","0,246056","84,740057","15,8"
27/04/2011 19.00,"0,639192","2,824169","0,237746","83,418213","15,8"
27/04/2011 20.00,"0,622942","2,793021","0,238105","80,998999","15,8"
27/04/2011 21.00,"0,5778","3,476999","0,217948","71,634308","15,8"
27/04/2011 22.00,"0,63197","3,278424","0,213138","74,703414","15,8"
27/04/2011 23.00,"0,56155","2,423127","0,229359","76,395356","15,8"
28/04/2011 0.00,"0,568773","1,582107","0,231585","77,838196","15,8"
28/04/2011 1.00,,"2,077893","0,223594","75,076137","21,200001"
28/04/2011 2.00,"0,60669",,"0,22109","77,927313","21,200001"
28/04/2011 3.00,"0,633775","5,316085",,"80,285386","21,200001"
28/04/2011 4.00,"0,639192","5,349829","0,193658",,"21,200001"
28/04/2011 5.00,"0,597662","6,00785","0,164383","76,954653","21,200001"
28/04/2011 6.00,"0,559745","5,207062","0,157908","76,857492","21,200001"
28/04/2011 7.00,"0,59044","5,998766","0,178001","73,973744","21,200001"
28/04/2011 8.00,"0,550717","7,086383","0,169759","69,219279","21,200001"
28/04/2011 9.00,"0,613913","5,840424","0,159126","65,144972","21,200001"
28/04/2011 10.00,"0,53266","6,125956","0,164894","74,1428","21,200001"
28/04/2011 11.00,"0,691555","4,285574","0,167131","81,58666","21,200001"
28/04/2011 12.00,"0,686138","4,5127","0,212925","85,152522","21,200001"
28/04/2011 13.00,"0,776419","5,123999","0,225443","86,999874","21,200001"
28/04/2011 14.00,"0,89198","4,939701","0,210689","89,852549","21,200001"
28/04/2011 15.00,"0,650026","8,359592","0,159713","74,600751","21,200001"
28/04/2011 16.00,"0,951565","5,953341","0,148098","80,1992","21,200001"
28/04/2011 17.00,"0,648221","7,478341","0,179217","73,360961","21,200001"
28/04/2011 18.00,"0,597662","5,061703","0,156574","70,746009","21,200001"
28/04/2011 19.00,"0,480297","6,534785","0,158929","53,462251","21,200001"
28/04/2011 20.00,"0,604885","9,205808","0,139073","39,091365","21,200001"
28/04/2011 21.00,"0,608497","13,331743","0,266529","38,722809","21,200001"
28/04/2011 22.00,"0,193203","10,751563","0,1625","18,962072","21,200001"
28/04/2011 23.00,"0,485714","15,543314","0,171016","16,91067","21,200001"
29/04/2011 0.00,"0,352098","21,469388","0,244946","10,586537","21,200001"
29/04/2011 1.00,"0,427933","15,787316","0,230466","5,476682","25,79999"
29/04/2011 2.00,"0,534466","13,35769","0,223207","9,150624","25,79999"
29/04/2011 3.00,"0,252788","10,588042","0,24534","27,655448","25,79999"
29/04/2011 4.00,"0,53266","8,2337","0,227405","34,077831","25,79999"
29/04/2011 5.00,"0,585023","13,003376","0,273359","45,502757","25,79999"
29/04/2011 6.00,"0,615719","8,146743","0,216457","24,273564","25,79999"
29/04/2011 7.00,"0,63197","7,836552","0,203193","23,036385","25,79999"
29/04/2011 8.00,"0,60669","9,824892","0,218772","42,188245","25,79999"
29/04/2011 9.00,"2,320231","17,451184","0,330532","46,236658","25,79999"
29/04/2011 10.00,"26,643832","25,828939","0,563864","47,282118","25,79999"
29/04/2011 11.00,"31,535278","22,094976","0,496447","62,324698","25,79999"
29/04/2011 12.00,"19,764387","15,163039","0,395321","78,591489","25,79999"
29/04/2011 13.00,"5,001588","12,440101","0,318996","81,635899","25,79999"
29/04/2011 14.00,"3,887516","10,09485","0,300081","82,240242","25,79999"
29/04/2011 15.00,"3,239295","7,944275","0,289368","91,328107","25,79999"
29/04/2011 16.00,"1,758681","7,791127","0,274103","91,644194","25,79999"
29/04/2011 17.00,"2,14328","8,956615","0,229996","89,589567","25,79999"
29/04/2011 18.00,"0,724056","6,926743","0,199663","86,276345","25,79999"
29/04/2011 19.00,"0,613913","10,014381","0,190911","75,5458","25,79999"
29/04/2011 20.00,"0,624747","15,374593","0,223169","69,461554","25,79999"
29/04/2011 21.00,"0,613913","20,228615","0,274535","61,176894","25,79999"
29/04/2011 22.00,"0,650026","13,369378","0,228976","62,96272","25,79999"
29/04/2011 23.00,"0,639192","11,61076","0,191735","57,56311","25,79999"
30/04/2011 0.00,"0,60669","11,378443","0,225091","51,811785","25,79999"
30/04/2011 1.00,,"8,245381","0,198484","49,578365","22,79999"
30/04/2011 2.00,"0,613913",,"0,199741","44,176182","22,79999"
30/04/2011 3.00,"0,588635","15,02935",,"40,6505","22,79999"
30/04/2011 4.00,"0,579607","7,901445","0,239357",,"22,79999"
30/04/2011 5.00,"0,444184","11,395307","0,227244","63,112225","22,79999"
30/04/2011 6.00,"0,650026","11,028014","0,248887","58,462935","22,79999"
30/04/2011 7.00,"0,523632","18,441463","0,2583","48,332525","22,79999"
30/04/2011 8.00,"0,650026","16,381738","0,250635","59,554381","22,79999"
30/04/2011 9.00,"0,655442","11,993626","0,210683","78,064094","22,79999"
30/04/2011 10.00,"0,650026","10,584146","0,221723","87,1652","22,79999"
30/04/2011 11.00,"0,619331","10,987784","0,230302","86,734061","22,79999"
30/04/2011 12.00,"0,565161","14,224677","0,209531","80,957104","22,79999"
30/04/2011 13.00,"0,585023","12,181825","0,236735","81,981849","22,79999"
30/04/2011 14.00,"0,60308","7,257702","0,197577","85,104029","22,79999"
30/04/2011 15.00,"0,640998","5,591233","0,200674","86,201954","22,79999"
30/04/2011 16.00,"0,615719","6,058466","0,213463","83,720655","22,79999"
30/04/2011 17.00,"0,581412","7,04485","0,197419","83,950456","22,79999"
30/04/2011 18.00,"0,669888","5,100638","0,195234","86,996244","22,79999"
30/04/2011 19.00,"0,650026","7,309616","0,226013","84,203583","22,79999"
30/04/2011 20.00,"0,617524","7,850828","0,238959","81,452323","22,79999"
30/04/2011 21.00,"0,644609","6,599679","0,208657","85,390808","22,79999"
30/04/2011 22.00,"0,653637","4,343978","0,189714","89,111144","22,79999"
30/04/2011 23.00,"0,650026","3,939043","0,16934","90,746366","22,79999"
01/05/2011 0.00,"0,650026","5,931276","0,180024","91,281707","22,79999"
01/05/2011 1.00,"0,706","2,804701","0,168824","91,092042",33
01/05/2011 2.00,"0,650026","1,996126","0,161358","90,683566",33
01/05/2011 3.00,"0,650026","1,020128","0,149802","89,662702",33
01/05/2011 4.00,"0,650026","0,964319","0,14575","88,950589",33
01/05/2011 5.00,"0,650026","3,020149","0,15683","88,751229",33
01/05/2011 6.00,"0,700584","2,385489","0,174305","87,855928",33
01/05/2011 7.00,"0,724056","1,374447","0,144956","79,900631",33
01/05/2011 8.00,"0,826978","2,112936","0,150199","76,006149",33
01/05/2011 9.00,"0,678916","2,138893","0,14019","76,827652",33
01/05/2011 10.00,"0,984066","2,282958","0,139039","77,19469",33
01/05/2011 11.00,"0,648221","2,480233","0,135822","76,995947",33
