, TARANTO,,,,,
,TA V.Archimede,,,,,
,SO2,NOX,NO2,CO,H2S,PM10
Unit,ug/m3 293K,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3


04/01/2009 5.00,"1,816303","9,338217","5,839125","0,725513",,
04/01/2009 6.00,"2,167434","26,594447","19,098178","1,527464","0,756885","6,349206"
04/01/2009 7.00,"2,995574","37,787352","26,95939","1,765815","0,988076",
04/01/2009 8.00,"2,587928","56,995532","38,062682","2,246226","1,602984","7,326007"
04/01/2009 9.00,"2,448213","53,605252","37,404666","1,760133","2,242833",
04/01/2009 10.00,"2,424313","34,372404","25,157942","1,504496","1,700832","21,001221"
04/01/2009 11.00,"3,110941","25,185933","17,401861","1,031621","0,996709",
04/01/2009 12.00,"2,563939","12,707758","8,260956","0,84978","0,706042","37,606831"
04/01/2009 13.00,"3,037265","20,796976","14,410273","1,222026","0,73578",
04/01/2009 14.00,"3,009681","8,888167","5,866381","0,700889","0,582294","30,76923"
04/01/2009 15.00,"2,477234","6,112641","3,652212","0,632263","0,576536",
04/01/2009 16.00,"2,457378","10,024318","6,576318","0,966666","0,988076","21,48962"
04/01/2009 17.00,"2,615692","36,381422","27,047649","1,141443","3,340269",
04/01/2009 18.00,"3,020553","31,205177","23,979481","1,152059","4,068374","23,44322"
04/01/2009 19.00,"3,04598","38,905338","30,08855","1,363222","4,414681",
04/01/2009 20.00,"3,331881","16,219966","13,493974","0,985765","0,628339","30,76923"
04/01/2009 21.00,"3,814821","42,335828","33,71351","1,247399","6,285309",
04/01/2009 22.00,"5,436869","39,731513","32,649253","1,226919","7,962159","42,002441"
04/01/2009 23.00,"4,802085","24,949898","22,126122","1,04922","1,649029",
05/01/2009 0.00,"5,152586","30,375141","26,258527","0,956485","5,429617","58,119652"
05/01/2009 1.00,"5,393113","26,712474","24,418151","0,817538","4,205554",
05/01/2009 2.00,"4,088321","12,585841","11,711988","0,703809","1,174179","52,74725"
05/01/2009 3.00,"3,023159","13,733664","13,007271","0,617583","0,894063",
05/01/2009 4.00,"2,586311","14,843875","14,293458","0,685853","0,665752","50,305241"
05/01/2009 5.00,"2,448302","9,886837","9,518593","0,526583","0,429765",
05/01/2009 6.00,"2,490442","15,488471","11,386226","0,361907","0,426887","37,118431"
05/01/2009 7.00,"2,882185","107,975723","36,893301","0,557996","0,590927",
05/01/2009 8.00,"2,501045","106,38043","38,821934","0,452711","0,73578","35,653221"
05/01/2009 9.00,"2,727645","66,127515","34,805034","0,646431","0,801012",
05/01/2009 10.00,"2,702756","57,077232","32,855617","0,870496","1,106069","25,39682"
05/01/2009 11.00,"3,099621","109,595646","53,528139","1,15273","1,884057",
05/01/2009 12.00,"3,018128","59,603749","39,926423","0,770104","1,640396","20,02442"
05/01/2009 13.00,"3,297917","55,830837","39,489052","1,224868","2,03179",
05/01/2009 14.00,"4,046182","24,447959","19,71857","0,804437","1,22598","31,25762"
05/01/2009 15.00,"5,617916","23,891568","19,609547","0,657874","0,868163",
05/01/2009 16.00,"5,785575","24,016077","20,399949","0,595682","0,828832","33,211231"
