NetC,SIMAGE Brindisi,,
Stat,Via Dei Mille,,
Parm,SO2,NO2,PM10
PtId,1,4,5
Unit,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver
,,,,,,,
,,,,,,,,
06/01/2006 12.00,"4,898731","7,835256","10,25641"
06/01/2006 13.00,"6,780829","8,85668",
06/01/2006 14.00,"7,883703","7,379702","17,094"
06/01/2006 15.00,"6,418481","5,704148",
06/01/2006 16.00,"5,897826","5,937764","16,11721"
06/01/2006 17.00,"4,374558","9,44202",
06/01/2006 18.00,"4,312994","18,114399","13,18681"
06/01/2006 19.00,"4,608501","37,916031",
06/01/2006 20.00,"3,765955","26,092413","13,18681"
06/01/2006 21.00,"3,669211","24,183243",
06/01/2006 22.00,"3,839831","18,074159","14,16361"
06/01/2006 23.00,"4,015728","18,999542",
07/01/2006 0.00,"3,73957","17,70427","16,60561"
07/01/2006 1.00,"3,331488","12,255807",
07/01/2006 2.00,"3,173182","17,327882","26,86202"
07/01/2006 3.00,"3,086993","12,772351",
07/01/2006 4.00,"3,197807","7,113638","20,51281"
07/01/2006 5.00,"3,190771","5,296616",
07/01/2006 6.00,"2,777414","7,545828","22,46641"
07/01/2006 7.00,"3,356114","8,602296",
07/01/2006 8.00,"3,931298","19,283781","21,48962"
07/01/2006 9.00,"3,561914","14,994309",
07/01/2006 10.00,"4,691172","14,402482","27,83882"
07/01/2006 11.00,"4,986679","11,4628",
07/01/2006 12.00,"5,01834","8,834616","27,35042"
07/01/2006 13.00,"5,790529","11,493956",
07/01/2006 14.00,"6,953207","9,717168","24,42001"
07/01/2006 15.00,"7,143177","8,691851",
07/01/2006 16.00,"5,590006","7,037062","28,81562"
07/01/2006 17.00,"3,690319","14,453097",
07/01/2006 18.00,"2,814352","28,08724","35,164822"
07/01/2006 19.00,"3,079956","34,217092",
07/01/2006 20.00,"3,208361","36,886798","39,072041"
07/01/2006 21.00,"4,086087","40,084773",
07/01/2006 22.00,"3,421196","35,518861","38,09523"
07/01/2006 23.00,"2,928685","41,139931",
08/01/2006 0.00,"3,331488","37,377398","42,002441"
08/01/2006 1.00,,"32,206682",
08/01/2006 2.00,"2,01284",,"47,37484"
08/01/2006 3.00,"1,922914","25,731599",
08/01/2006 4.00,"2,019635","15,634159","40,04884"
08/01/2006 5.00,"2,11114","12,978719",
08/01/2006 6.00,"2,291978","12,93199","25,88522"
08/01/2006 7.00,"2,277675","14,327208",
08/01/2006 8.00,"3,323547","23,594003","23,44322"
08/01/2006 9.00,"2,391857","20,314292",
08/01/2006 10.00,"2,999952","11,782084","27,35042"
08/01/2006 11.00,"3,806256","9,575701",
08/01/2006 12.00,"4,823522","10,3038","23,44322"
08/01/2006 13.00,"6,563065","11,700312",
08/01/2006 14.00,"7,161982","10,859293","21,48962"
08/01/2006 15.00,"6,330649","9,466679",
08/01/2006 16.00,"3,929616","6,99034","34,18803"
08/01/2006 17.00,"3,743683","9,631508",
08/01/2006 18.00,"4,412325","37,017906","33,699631"
08/01/2006 19.00,"5,996327","40,063989",
08/01/2006 20.00,"7,083318","47,230853","36,141621"
08/01/2006 21.00,"9,309146","69,43615",
08/01/2006 22.00,"7,612511","52,191306","37,606831"
08/01/2006 23.00,"6,307407","40,454669",
09/01/2006 0.00,"5,956995","31,074951","32,234421"
09/01/2006 1.00,"5,116723","33,171001",
09/01/2006 2.00,"3,670382","33,12687","31,746031"
09/01/2006 3.00,"3,323547","24,555719",
09/01/2006 4.00,"3,985037","8,861871","32,234421"
09/01/2006 5.00,"8,266851","4,502318",
09/01/2006 6.00,"13,508719","11,01893","21,48962"
09/01/2006 7.00,"15,696998","26,087232",
09/01/2006 8.00,"11,969408","45,180214","26,86202"
09/01/2006 9.00,"13,830518","34,024995",
09/01/2006 10.00,"17,631414","21,836684","27,35042"
09/01/2006 11.00,"18,430562","17,449882",
09/01/2006 12.00,"17,365031","17,038463","27,83882"
09/01/2006 13.00,"19,798244","18,773716",
09/01/2006 14.00,"17,68147","20,142957","23,93162"
09/01/2006 15.00,"11,837107","18,248078",
09/01/2006 16.00,"8,602959","16,624438","20,51281"
09/01/2006 17.00,"7,533847","25,848404",
09/01/2006 18.00,"8,341939","35,62788","20,02442"
09/01/2006 19.00,"7,828836","41,69024",
09/01/2006 20.00,"8,563628","38,783008","17,582411"
09/01/2006 21.00,"10,027847","53,386653",
09/01/2006 22.00,"6,936718","26,884115","21,48962"
09/01/2006 23.00,"5,785366","16,925545",
10/01/2006 0.00,"5,772851","12,350546","20,02442"
10/01/2006 1.00,,"8,538699",
10/01/2006 2.00,"2,226952",,"21,001221"
10/01/2006 3.00,"2,969826","14,312927",
10/01/2006 4.00,"3,552256","12,665935","17,094"
10/01/2006 5.00,"2,574176","5,58085",
10/01/2006 6.00,"4,8277","7,748295","11,72161"
10/01/2006 7.00,"5,486917","19,077419",
10/01/2006 8.00,"8,422946","44,552044","10,74481"
10/01/2006 9.00,"8,317257","44,397596",
10/01/2006 10.00,"7,30335","20,733497","21,48962"
10/01/2006 11.00,"7,740441","17,862605",
10/01/2006 12.00,"7,253192","21,948307","20,02442"
10/01/2006 13.00,"8,754347","22,000216",
10/01/2006 14.00,"8,267099","27,59274","21,001221"
10/01/2006 15.00,"6,040446","19,963861",
10/01/2006 16.00,"3,407155","19,305847","16,60561"
10/01/2006 17.00,"3,722435","29,464282",
10/01/2006 18.00,"4,652146","38,966003","16,60561"
10/01/2006 19.00,"5,838023","39,124356",
10/01/2006 20.00,"5,47617","42,009507","16,11721"
10/01/2006 21.00,"5,377646","29,081404",
10/01/2006 22.00,"3,763635","21,448625","20,02442"
10/01/2006 23.00,"4,872484","14,237658",
11/01/2006 0.00,"3,829915","15,260375","11,72161"
11/01/2006 1.00,"5,048036","14,925527",
11/01/2006 2.00,"3,238768","9,210999","18,07081"
11/01/2006 3.00,"2,63344","8,656807",
11/01/2006 4.00,"2,182169","6,972169","18,55921"
11/01/2006 5.00,"2,100064","4,438723",
11/01/2006 6.00,"2,365125","8,559465","9,27961"
11/01/2006 7.00,"4,754254","41,808344",
11/01/2006 8.00,"5,88639","50,077096","10,74481"
11/01/2006 9.00,"10,819771","51,281501",
11/01/2006 10.00,"13,238105","32,169054","26,86202"
11/01/2006 11.00,"19,188969","46,749337",
11/01/2006 12.00,"20,210036","31,501939","21,001221"
11/01/2006 13.00,"16,59868","36,246948",
11/01/2006 14.00,"14,282463","32,855617","17,094"
11/01/2006 15.00,"8,723895","23,613466",
11/01/2006 16.00,"10,377305","31,826407","15,14041"
11/01/2006 17.00,"12,949694","41,469595",
11/01/2006 18.00,"13,071511","39,128237","9,27961"
11/01/2006 19.00,"11,727993","29,119053",
11/01/2006 20.00,"12,174039","25,369505","18,55921"
11/01/2006 21.00,"13,558756","22,16115",
11/01/2006 22.00,"13,005223","21,392813","27,35042"
11/01/2006 23.00,"12,820718","20,35322",
12/01/2006 0.00,"9,929475","21,828902","19,0476"
12/01/2006 1.00,,"13,112396",
12/01/2006 2.00,"11,669525",,"20,51281"
12/01/2006 3.00,"14,80334","11,752228",
12/01/2006 4.00,"10,986234","7,923509","21,97802"
12/01/2006 5.00,"9,685852","4,709977",
12/01/2006 6.00,"10,535479","5,31219","18,07081"
12/01/2006 7.00,"11,286737","9,421253",
12/01/2006 8.00,"14,926763","18,511548","20,51281"
12/01/2006 9.00,"15,844361","31,208619",
12/01/2006 10.00,"12,4816","20,328555","30,76923"
12/01/2006 11.00,"11,284946","17,135795",
12/01/2006 12.00,"12,640791","18,271443","32,722832"
12/01/2006 13.00,"14,508206","21,13714",
12/01/2006 14.00,"15,593945","20,220834","28,81562"
12/01/2006 15.00,"12,730226","18,550487",
12/01/2006 16.00,"9,943425","13,400525","30,76923"
12/01/2006 17.00,"11,351133","17,503103",
12/01/2006 18.00,"10,682161","26,902278","35,653221"
12/01/2006 19.00,"12,381426","36,541569",
12/01/2006 20.00,"12,705188","34,123635","31,25762"
12/01/2006 21.00,"12,989591","32,070414",
12/01/2006 22.00,"15,978523","30,842625","31,746031"
12/01/2006 23.00,"11,58545","25,871767",
13/01/2006 0.00,"9,278026","58,749466","28,327221"
13/01/2006 1.00,"5,544994","56,50025",
13/01/2006 2.00,"9,292336","21,152705","35,164822"
13/01/2006 3.00,"10,877129","9,545849",
13/01/2006 4.00,"10,378078","8,876146","21,48962"
13/01/2006 5.00,"8,55181","4,933212",
13/01/2006 6.00,"12,783883","10,464737","12,21001"
13/01/2006 7.00,"15,962424","31,104779",
13/01/2006 8.00,"11,454877","22,023582","13,67521"
13/01/2006 9.00,"8,922073","33,372161",
13/01/2006 10.00,"8,927439","19,233152","22,954821"
13/01/2006 11.00,"9,002565","20,980088",
13/01/2006 12.00,"9,927326","20,514154","16,60561"
13/01/2006 13.00,"9,553487","25,082667",
13/01/2006 14.00,"9,326321","24,45968","20,02442"
13/01/2006 15.00,"7,866736","16,810033",
13/01/2006 16.00,"6,450079","16,145528","22,46641"
13/01/2006 17.00,"4,251757","22,64785",
13/01/2006 18.00,"6,301617","21,47587","18,07081"
13/01/2006 19.00,"4,863496","21,194233",
13/01/2006 20.00,"5,001226","24,651779","17,582411"
13/01/2006 21.00,"4,167688","19,775663",
13/01/2006 22.00,"3,425375","18,697145","28,81562"
13/01/2006 23.00,"4,176632","22,250707",
14/01/2006 0.00,"4,341194","29,902972","23,93162"
14/01/2006 1.00,,"29,904252",
14/01/2006 2.00,"4,501725",,"28,327221"
14/01/2006 3.00,"5,56868","13,804163",
14/01/2006 4.00,"4,971329","6,712594","24,42001"
14/01/2006 5.00,"5,354569","6,385531",
14/01/2006 6.00,"5,151254","6,598382","15,14041"
14/01/2006 7.00,"6,234403","11,596488",
14/01/2006 8.00,"6,76698","21,723761","23,93162"
14/01/2006 9.00,"8,096628","27,717345",
14/01/2006 10.00,"8,983657","23,617367","33,211231"
14/01/2006 11.00,"11,513396","19,065742",
14/01/2006 12.00,"14,188888","16,567334","29,30402"
14/01/2006 13.00,"14,955361","16,336309",
14/01/2006 14.00,"11,61776","15,226634","25,39682"
14/01/2006 15.00,"8,631005","15,927485",
14/01/2006 16.00,"8,344924","15,200675","26,86202"
14/01/2006 17.00,"7,107039","18,511548",
14/01/2006 18.00,"6,662624","26,476572","25,88522"
14/01/2006 19.00,"6,149838","34,209292",
14/01/2006 20.00,"8,157802","79,123454","46,398041"
14/01/2006 21.00,"6,797568","77,124746",
14/01/2006 22.00,"4,222841","59,994122","54,700851"
14/01/2006 23.00,"3,188272","49,341187",
15/01/2006 0.00,"2,414595","45,722727","56,654442"
15/01/2006 1.00,"3,262042","39,195711",
15/01/2006 2.00,"2,11232","28,307885","54,21244"
15/01/2006 3.00,"2,06374","20,316874",
15/01/2006 4.00,"1,572545","20,632257","44,932831"
15/01/2006 5.00,"1,491399","18,807459",
15/01/2006 6.00,"0,428762","22,172833","43,956032"
15/01/2006 7.00,"1,358254","37,830374",
15/01/2006 8.00,"1,760207","50,740312","46,398041"
15/01/2006 9.00,"2,261659","39,82",
15/01/2006 10.00,"5,581274","45,962836","51,282051"
15/01/2006 11.00,"10,142373","35,736885",
15/01/2006 12.00,"18,652827","33,041213","50,793652"
15/01/2006 13.00,"16,689844","32,895846",
15/01/2006 14.00,"17,015497","36,182074","43,956032"
15/01/2006 15.00,"9,393887","31,677156",
15/01/2006 16.00,"12,063969","35,681073","36,141621"
15/01/2006 17.00,"13,802042","41,193142",
15/01/2006 18.00,"9,532429","49,964171","34,67643"
15/01/2006 19.00,"9,267939","61,173885",
15/01/2006 20.00,"8,380909","69,455617","39,072041"
15/01/2006 21.00,"8,015661","64,138231",
15/01/2006 22.00,"10,451841","91,450654","41,025631"
15/01/2006 23.00,"12,261887","89,248161",
16/01/2006 0.00,"8,470872","74,092922","50,305241"
16/01/2006 1.00,,"55,408744",
16/01/2006 2.00,"4,198369",,"44,932831"
16/01/2006 3.00,"0,437106","39,373527",
16/01/2006 4.00,"0,127354","32,42863","46,398041"
16/01/2006 5.00,"0,13311","31,093116",
16/01/2006 6.00,"1,918587","34,749223","37,118431"
16/01/2006 7.00,"6,022339","52,025192",
16/01/2006 8.00,"11,08052","67,131121","50,793652"
16/01/2006 9.00,"17,207182","75,900834",
16/01/2006 10.00,"21,533276","91,458451","87,912071"
16/01/2006 11.00,"25,123651","72,687317",
16/01/2006 12.00,"23,202538","27,901643","71,306473"
16/01/2006 13.00,"27,147289","28,841296",
16/01/2006 14.00,"30,827608","32,300122","46,398041"
16/01/2006 15.00,"24,321392","29,098287",
16/01/2006 16.00,"20,117622","30,093752","34,18803"
16/01/2006 17.00,"12,1526","40,930966",
16/01/2006 18.00,"8,202469","65,907231","41,514042"
16/01/2006 19.00,"7,083624","60,571681",
16/01/2006 20.00,"6,73286","74,887207","51,770451"
16/01/2006 21.00,"8,770886","70,573085",
16/01/2006 22.00,"11,192044","68,042229","62,026852"
16/01/2006 23.00,"6,315541","59,50354",
17/01/2006 0.00,"3,478135","48,276926","65,934052"
17/01/2006 1.00,"1,848434","40,40924",
17/01/2006 2.00,"0,748295","26,034001","57,142841"
17/01/2006 3.00,"0,08922","19,238352",
17/01/2006 4.00,"0,000719","17,754887","55,67765"
17/01/2006 5.00,,"15,95863",
17/01/2006 6.00,"0,041013","20,800991","52,74725"
17/01/2006 7.00,"1,281457","36,136645",
17/01/2006 8.00,"4,112028","41,29828","59,58485"
17/01/2006 9.00,"14,055712","79,035214",
17/01/2006 10.00,"11,8558","81,161131","93,284492"
17/01/2006 11.00,"5,072579","52,662443",
17/01/2006 12.00,"8,877014","46,166596","73,260071"
17/01/2006 13.00,"9,540766","45,249008",
17/01/2006 14.00,"11,026558","48,767526","50,305241"
17/01/2006 15.00,"6,79222","38,664904",
17/01/2006 16.00,"3,782849","39,500733","49,328442"
17/01/2006 17.00,"2,651412","52,187426",
17/01/2006 18.00,"2,467936","63,908502","51,282051"
17/01/2006 19.00,"3,727087","67,442606",
17/01/2006 20.00,"3,297177","62,025297","53,235641"
17/01/2006 21.00,"6,000753","62,496412",
17/01/2006 22.00,"3,388915","61,805954","120,1465"
17/01/2006 23.00,"1,793391","52,309431",
18/01/2006 0.00,"1,539762","54,286075","117,216103"
18/01/2006 1.00,,"43,813553",
18/01/2006 2.00,"1,282777",,"91,81929"
18/01/2006 3.00,"0,886867","17,378508",
18/01/2006 4.00,"0,533921","9,793744","55,189251"
18/01/2006 5.00,"0,39879","8,968297",
18/01/2006 6.00,"0,522039","14,606253","37,118431"
18/01/2006 7.00,"0,780538","24,122231",
18/01/2006 8.00,"3,281644","53,185492","35,653221"
18/01/2006 9.00,"7,049324","63,58922",
18/01/2006 10.00,"8,325619","61,54508","42,002441"
18/01/2006 11.00,"5,387801","51,072558",
18/01/2006 12.00,"4,275318","30,932163","46,88644"
18/01/2006 13.00,"4,941368","27,0087",
18/01/2006 14.00,"5,467006","29,896472","39,56044"
18/01/2006 15.00,"3,832485","30,868569",
18/01/2006 16.00,"3,872088","29,616133","33,211231"
18/01/2006 17.00,"2,873015","30,381869",
18/01/2006 18.00,"2,705602","42,671422","27,83882"
18/01/2006 19.00,"3,553465","50,77534",
18/01/2006 20.00,"3,638071","55,565777","29,30402"
18/01/2006 21.00,"3,105231","46,389823",
18/01/2006 22.00,"2,718203","23,054092","34,67643"
18/01/2006 23.00,"1,809015","19,156575",
19/01/2006 0.00,"1,349621","10,582843","28,327221"
19/01/2006 1.00,"1,47587","11,88201",
19/01/2006 2.00,"0,697613","8,451744","19,0476"
19/01/2006 3.00,"1,256134","7,647063",
19/01/2006 4.00,"0,959352","5,637956","15,14041"
19/01/2006 5.00,"1,231292","4,616532",
19/01/2006 6.00,"0,92503","2,499703","10,74481"
19/01/2006 7.00,"1,131325","4,573701",
19/01/2006 8.00,"0,693052","8,101318","8,302809"
19/01/2006 9.00,"1,297657","11,857353",
19/01/2006 10.00,"1,965747","10,215548","11,72161"
19/01/2006 11.00,"2,473385","9,064339",
19/01/2006 12.00,"2,739804","8,699636","12,21001"
19/01/2006 13.00,"3,067429","9,56402",
19/01/2006 14.00,"3,21684","9,871616","13,67521"
19/01/2006 15.00,"2,265889","7,819678",
19/01/2006 16.00,"1,854138","6,685338","23,44322"
19/01/2006 17.00,"3,009825","11,488759",
19/01/2006 18.00,"2,6876","11,92874","18,55921"
19/01/2006 19.00,"1,767732","13,854778",
19/01/2006 20.00,"1,657925","12,687997","18,55921"
19/01/2006 21.00,"2,653398","12,515382",
19/01/2006 22.00,"2,251968","14,826891","21,001221"
19/01/2006 23.00,"2,476985","10,652928",
20/01/2006 0.00,"2,469784","9,164275","23,44322"
20/01/2006 1.00,,"6,31934",
20/01/2006 2.00,"2,929933",,"18,07081"
20/01/2006 3.00,"3,164472","4,74502",
20/01/2006 4.00,"3,081481","3,382255","18,07081"
20/01/2006 5.00,"2,45003","2,806",
20/01/2006 6.00,"2,843334","2,947468","8,791209"
20/01/2006 7.00,"1,974908","4,037681",
20/01/2006 8.00,"3,422465","13,230503","13,18681"
20/01/2006 9.00,"3,646179","20,637458",
20/01/2006 10.00,"3,231225","12,098763","16,11721"
20/01/2006 11.00,"4,347991","13,64712",
20/01/2006 12.00,"4,283043","12,118231","19,0476"
20/01/2006 13.00,"4,47789","15,501782",
20/01/2006 14.00,"4,988463","16,437551","15,14041"
20/01/2006 15.00,"3,832006","8,673679",
20/01/2006 16.00,"4,044896","10,698355","15,62881"
20/01/2006 17.00,"2,34545","11,731458",
20/01/2006 18.00,"3,045639","50,077096","15,14041"
20/01/2006 19.00,"3,436898","60,858498",
20/01/2006 20.00,"3,830202","57,044061","33,211231"
20/01/2006 21.00,"6,632041","66,100609",
20/01/2006 22.00,"4,694388","59,367254","50,305241"
