"NetC","Provincia Bari","","","","","","","","","",""
"Stat","Casamassima","","","","","","","","","",""
,NO2,NOX,PM10



01/01/2011 1.00,"38,56041296","56,10322328",
01/01/2011 2.00,"27,05868136","32,90423896","90,59828186"
01/01/2011 3.00,"27,45777312","37,88721688",
01/01/2011 4.00,"21,91521016","30,62739112","102,31990051"
01/01/2011 5.00,"15,70878933","16,76015415",
01/01/2011 6.00,"15,66011746","24,6003656","71,79486084"
01/01/2011 7.00,"16,81262899","20,7956768",
01/01/2011 8.00,"15,61923698","16,6187847","50,06105042"
01/01/2011 9.00,"20,03978672","24,24175088",
01/01/2011 10.00,"16,95344588","18,38656254","54,45664978"
01/01/2011 11.00,"13,84375378","15,10651315",
01/01/2011 12.00,"16,03130931","19,31259576","28,57142067"
01/01/2011 13.00,"20,86458528","26,02314216",
01/01/2011 14.00,"16,9411173","19,78793808","15,14041042"
01/01/2011 15.00,"14,2746421","14,9884873",
01/01/2011 16.00,"16,47972302","17,21085462","14,89620972"
01/01/2011 17.00,"25,15794304","26,74425296",
01/01/2011 18.00,"52,74422168","63,14060696","14,89620972"
01/01/2011 19.00,"58,82604512","102,76965584",
01/01/2011 20.00,"44,2567772","54,49886408","28,81562042"
01/01/2011 21.00,"31,707652","45,66647568",
01/01/2011 22.00,"21,5524464","23,70608496","55,67765045"
01/01/2011 23.00,"18,4739027","20,14265232",
02/01/2011 0.00,"20,31752384","23,13737968","48,84004974"
02/01/2011 1.00,"28,98341528","54,2829228",
02/01/2011 2.00,,,"29,30401993"
02/01/2011 3.00,"20,49143936","21,74831168",
02/01/2011 4.00,"26,82700432","39,58103856","34,18803024"
02/01/2011 5.00,"17,34475962","19,51752392",
02/01/2011 6.00,"13,48293644","16,80879161","42,00244141"
02/01/2011 7.00,"14,67697853","19,09535814",
02/01/2011 8.00,"19,80680952","27,78118792","28,32722092"
02/01/2011 9.00,"19,63484424","26,60808032",
02/01/2011 10.00,"32,61745808","64,50049784","22,71062088"
02/01/2011 11.00,"27,27412552","44,35134472",
02/01/2011 12.00,"21,14750392","30,3076856","14,40781021"
02/01/2011 13.00,"25,7225184","39,0505924",
02/01/2011 14.00,"23,47329896","29,97113536","17,33819962"
02/01/2011 15.00,"21,39931432","24,92848392",
02/01/2011 16.00,"26,31433976","32,15328184","24,17580986"
02/01/2011 17.00,"28,45193664","35,39247752",
02/01/2011 18.00,"30,79134512","41,17763504","30,03663063"
02/01/2011 19.00,"32,40396416","44,24174888",
02/01/2011 20.00,"32,11712592","42,08614096","29,30401993"
02/01/2011 21.00,"33,08664376","52,00349376",
02/01/2011 22.00,"22,16700144","27,73774728","58,36384964"
02/01/2011 23.00,"14,72111322","16,39570401",
03/01/2011 0.00,"16,33696163","21,18541888","31,50181961"
03/01/2011 1.00,"10,55818637","11,79014915",
03/01/2011 2.00,"7,15452045","7,97768998","30,52503014"
03/01/2011 3.00,"7,47639226","7,57562889",
03/01/2011 4.00,"8,35764836","9,25780649","31,74603081"
03/01/2011 5.00,"8,20449907","8,49323784",
03/01/2011 6.00,"8,98127584","9,43419422","45,42124176"
03/01/2011 7.00,"12,2460732","15,69728482",
