,ILVA 1 ARIA,ILVA 1 ARIA
Stazione,COKERIA,COKERIA
,IPA2,IPA
Unit,ng/m3,ng/m3
09/09/2013 07.00.00,,
09/09/2013 08.00.00,,
09/09/2013 09.00.00,,
09/09/2013 10.00.00,,
09/09/2013 11.00.00,,
09/09/2013 12.00.00,,
09/09/2013 13.00.00,,
09/09/2013 14.00.00,,11
09/09/2013 15.00.00,,7
09/09/2013 16.00.00,,6
09/09/2013 17.00.00,,9
09/09/2013 18.00.00,,9
09/09/2013 19.00.00,,5
09/09/2013 20.00.00,,7
09/09/2013 21.00.00,,14
09/09/2013 22.00.00,,8
09/09/2013 23.00.00,,13
10/09/2013 00.00.00,,17
10/09/2013 01.00.00,,23
10/09/2013 02.00.00,,12
10/09/2013 03.00.00,,10
10/09/2013 04.00.00,,19
10/09/2013 05.00.00,,19
10/09/2013 06.00.00,,26
10/09/2013 07.00.00,,44
10/09/2013 08.00.00,,75
10/09/2013 09.00.00,,24
10/09/2013 10.00.00,,14
10/09/2013 11.00.00,,15
10/09/2013 12.00.00,,13
10/09/2013 13.00.00,,15
10/09/2013 14.00.00,,10
10/09/2013 15.00.00,,14
10/09/2013 16.00.00,,21
10/09/2013 17.00.00,,34
10/09/2013 18.00.00,,13
10/09/2013 19.00.00,,13
10/09/2013 20.00.00,,12
10/09/2013 21.00.00,,13
10/09/2013 22.00.00,,6
10/09/2013 23.00.00,,8
11/09/2013 00.00.00,,5
11/09/2013 01.00.00,,29
11/09/2013 02.00.00,,15
11/09/2013 03.00.00,,14
11/09/2013 04.00.00,,33
11/09/2013 05.00.00,,24
11/09/2013 06.00.00,,37
11/09/2013 07.00.00,,19
11/09/2013 08.00.00,,15
11/09/2013 09.00.00,,16
11/09/2013 10.00.00,,15
11/09/2013 11.00.00,,8
11/09/2013 12.00.00,,7
11/09/2013 13.00.00,,10
11/09/2013 14.00.00,,7
11/09/2013 15.00.00,,8
11/09/2013 16.00.00,,9
11/09/2013 17.00.00,,10
11/09/2013 18.00.00,,12
11/09/2013 19.00.00,,7
11/09/2013 20.00.00,,
11/09/2013 21.00.00,,
11/09/2013 22.00.00,,
11/09/2013 23.00.00,,
12/09/2013 00.00.00,,
12/09/2013 01.00.00,,
12/09/2013 02.00.00,,
12/09/2013 03.00.00,,
12/09/2013 04.00.00,,
12/09/2013 05.00.00,,
12/09/2013 06.00.00,,
12/09/2013 07.00.00,,
12/09/2013 08.00.00,,
12/09/2013 09.00.00,,
12/09/2013 10.00.00,,
12/09/2013 11.00.00,,20
12/09/2013 12.00.00,,14
12/09/2013 13.00.00,,30
12/09/2013 14.00.00,,17
12/09/2013 15.00.00,,7
12/09/2013 16.00.00,,8
12/09/2013 17.00.00,,16
12/09/2013 18.00.00,,15
12/09/2013 19.00.00,,10
12/09/2013 20.00.00,,30
12/09/2013 21.00.00,,23
12/09/2013 22.00.00,,20
12/09/2013 23.00.00,,90
13/09/2013 00.00.00,,51
13/09/2013 01.00.00,,24
13/09/2013 02.00.00,,8
13/09/2013 03.00.00,,9
13/09/2013 04.00.00,,19
13/09/2013 05.00.00,,13
13/09/2013 06.00.00,,12
13/09/2013 07.00.00,,24
13/09/2013 08.00.00,,23
13/09/2013 09.00.00,,35
13/09/2013 10.00.00,,38
13/09/2013 11.00.00,,76
13/09/2013 12.00.00,,10
13/09/2013 13.00.00,,14
13/09/2013 14.00.00,,11
13/09/2013 15.00.00,,9
13/09/2013 16.00.00,,5
13/09/2013 17.00.00,,7
13/09/2013 18.00.00,,13
13/09/2013 19.00.00,,8
13/09/2013 20.00.00,,17
13/09/2013 21.00.00,,11
13/09/2013 22.00.00,,12
13/09/2013 23.00.00,,26
14/09/2013 00.00.00,,40
14/09/2013 01.00.00,,21
14/09/2013 02.00.00,,21
14/09/2013 03.00.00,,23
14/09/2013 04.00.00,,11
14/09/2013 05.00.00,,30
14/09/2013 06.00.00,,27
14/09/2013 07.00.00,,17
14/09/2013 08.00.00,,26
14/09/2013 09.00.00,,22
14/09/2013 10.00.00,,11
14/09/2013 11.00.00,,5
14/09/2013 12.00.00,,5
14/09/2013 13.00.00,,3
14/09/2013 14.00.00,,4
14/09/2013 15.00.00,,3
14/09/2013 16.00.00,,3
14/09/2013 17.00.00,,4
14/09/2013 18.00.00,,5
14/09/2013 19.00.00,,4
14/09/2013 20.00.00,,7
14/09/2013 21.00.00,,9
14/09/2013 22.00.00,,6
14/09/2013 23.00.00,,8
15/09/2013 00.00.00,,12
15/09/2013 01.00.00,,27
15/09/2013 02.00.00,,21
15/09/2013 03.00.00,,26
15/09/2013 04.00.00,,17
15/09/2013 05.00.00,,4
15/09/2013 06.00.00,,11
15/09/2013 07.00.00,,11
15/09/2013 08.00.00,,14
15/09/2013 09.00.00,,6
15/09/2013 10.00.00,,3
15/09/2013 11.00.00,,3
15/09/2013 12.00.00,,4
15/09/2013 13.00.00,,5
15/09/2013 14.00.00,,3
15/09/2013 15.00.00,,3
15/09/2013 16.00.00,,4
15/09/2013 17.00.00,,4
15/09/2013 18.00.00,,5
15/09/2013 19.00.00,,4
15/09/2013 20.00.00,,12
15/09/2013 21.00.00,,8
15/09/2013 22.00.00,,6
15/09/2013 23.00.00,,5
16/09/2013 00.00.00,,3
16/09/2013 01.00.00,,4
16/09/2013 02.00.00,,5
16/09/2013 03.00.00,,4
16/09/2013 04.00.00,,5
16/09/2013 05.00.00,,13
16/09/2013 06.00.00,,7
16/09/2013 07.00.00,,17
16/09/2013 08.00.00,,34
16/09/2013 09.00.00,,26
16/09/2013 10.00.00,,50
16/09/2013 11.00.00,,18
16/09/2013 12.00.00,,8
16/09/2013 13.00.00,,8
16/09/2013 14.00.00,,6
16/09/2013 15.00.00,,9
16/09/2013 16.00.00,,11
16/09/2013 17.00.00,,8
16/09/2013 18.00.00,,7
16/09/2013 19.00.00,,6
16/09/2013 20.00.00,,9
16/09/2013 21.00.00,,5
16/09/2013 22.00.00,,7
16/09/2013 23.00.00,,6
17/09/2013 00.00.00,,13
17/09/2013 01.00.00,,12
17/09/2013 02.00.00,,9
17/09/2013 03.00.00,,7
17/09/2013 04.00.00,,17
17/09/2013 05.00.00,,8
17/09/2013 06.00.00,,12
17/09/2013 07.00.00,,60
17/09/2013 08.00.00,,16
17/09/2013 09.00.00,,31
17/09/2013 10.00.00,,11
17/09/2013 11.00.00,,10
17/09/2013 12.00.00,,11
17/09/2013 13.00.00,,13
17/09/2013 14.00.00,,11
17/09/2013 15.00.00,,12
17/09/2013 16.00.00,,58
17/09/2013 17.00.00,,17
17/09/2013 18.00.00,,13
17/09/2013 19.00.00,,37
17/09/2013 20.00.00,,73
17/09/2013 21.00.00,,55
17/09/2013 22.00.00,,59
17/09/2013 23.00.00,,59
18/09/2013 00.00.00,,44
18/09/2013 01.00.00,,28
18/09/2013 02.00.00,,27
18/09/2013 03.00.00,,39
18/09/2013 04.00.00,,33
18/09/2013 05.00.00,,79
18/09/2013 06.00.00,,33
18/09/2013 07.00.00,,36
18/09/2013 08.00.00,,41
18/09/2013 09.00.00,,24
18/09/2013 10.00.00,,24
18/09/2013 11.00.00,,27
18/09/2013 12.00.00,,18
18/09/2013 13.00.00,,11
18/09/2013 14.00.00,,11
18/09/2013 15.00.00,,12
18/09/2013 16.00.00,,8
18/09/2013 17.00.00,,13
18/09/2013 18.00.00,,10
18/09/2013 19.00.00,,13
18/09/2013 20.00.00,,15
18/09/2013 21.00.00,,6
18/09/2013 22.00.00,,6
18/09/2013 23.00.00,,7
19/09/2013 00.00.00,,11
19/09/2013 01.00.00,,22
19/09/2013 02.00.00,,11
19/09/2013 03.00.00,,10
19/09/2013 04.00.00,,12
19/09/2013 05.00.00,,15
