, Brindisi,,
,S. Pancrazio S.,,
Parm,SO2,NO2,PM10



01/01/2008 1.00,"0,807115","38,262562","25,56546"
01/01/2008 2.00,"0,335153","31,35787","25,56546"
01/01/2008 3.00,"0,202225","26,381832","25,56546"
01/01/2008 4.00,"0,178985","16,981359","25,56546"
01/01/2008 5.00,"0,215043","14,395991","25,56546"
01/01/2008 6.00,"0,173197","9,617232","25,56546"
01/01/2008 7.00,"0,18362","7,369318","25,56546"
01/01/2008 8.00,"0,228526","6,3427","25,56546"
01/01/2008 9.00,"0,147109","6,555552","25,56546"
01/01/2008 10.00,"0,175682","8,865764","25,56546"
01/01/2008 11.00,"0,145533","5,939062","25,56546"
01/01/2008 12.00,"0,147745","6,707403","25,56546"
01/01/2008 13.00,"0,142321","6,735957","25,56546"
01/01/2008 14.00,"0,117868","7,614616","25,56546"
01/01/2008 15.00,"0,111838","5,355021","25,56546"
01/01/2008 16.00,"0,165168","6,957892","25,56546"
01/01/2008 17.00,"0,128717","7,305723","25,56546"
01/01/2008 18.00,"0,156351","10,399842","25,56546"
01/01/2008 19.00,"0,188923","11,365465","25,56546"
01/01/2008 20.00,"0,125929","9,303147","25,56546"
01/01/2008 21.00,"0,170198","11,04489","25,56546"
01/01/2008 22.00,"0,203135","29,582387","25,56546"
01/01/2008 23.00,"0,164228","24,204008","25,56546"
02/01/2008 0.00,"0,17447","10,131189","25,56546"
02/01/2008 1.00,,"6,107786","37,02103"
02/01/2008 2.00,"0,443112",,"37,02103"
02/01/2008 3.00,"0,414705","5,923489","37,02103"
02/01/2008 4.00,"0,419399","5,543211","37,02103"
02/01/2008 5.00,"0,39343","5,204468","37,02103"
02/01/2008 6.00,"0,477188","6,290786","37,02103"
02/01/2008 7.00,"0,389772","8,802169","37,02103"
02/01/2008 8.00,"0,434333","14,429743","37,02103"
02/01/2008 9.00,"0,457559","17,908032","37,02103"
02/01/2008 10.00,"0,316316","20,806174","37,02103"
02/01/2008 11.00,"0,380445","18,027441","37,02103"
02/01/2008 12.00,"0,477005","16,216902","37,02103"
02/01/2008 13.00,"0,514251","14,835974","37,02103"
02/01/2008 14.00,"0,701273","13,251272","37,02103"
02/01/2008 15.00,"0,924933","10,285633","37,02103"
02/01/2008 16.00,"0,776863","14,341479","37,02103"
02/01/2008 17.00,"0,705663","14,642587","37,02103"
02/01/2008 18.00,"0,671343","15,364208","37,02103"
02/01/2008 19.00,"0,558081","14,699691","37,02103"
02/01/2008 20.00,"0,541866","24,594668","37,02103"
02/01/2008 21.00,"0,516629","44,21978","37,02103"
02/01/2008 22.00,"0,823496","72,252525","37,02103"
02/01/2008 23.00,"0,942367","56,319851","37,02103"
03/01/2008 0.00,"0,583806","27,290338","37,02103"
03/01/2008 1.00,"0,509009","18,954111","45,432491"
03/01/2008 2.00,"0,353502","13,390139","45,432491"
03/01/2008 3.00,"0,356915","10,754168","45,432491"
03/01/2008 4.00,"0,309062","9,230467","45,432491"
03/01/2008 5.00,"0,315524","8,550382","45,432491"
03/01/2008 6.00,"0,287788","10,421905","45,432491"
03/01/2008 7.00,"0,23451","17,821073","45,432491"
03/01/2008 8.00,"0,367583","45,234727","45,432491"
03/01/2008 9.00,"0,440734","52,992111","45,432491"
03/01/2008 10.00,"0,576735","57,29585","45,432491"
03/01/2008 11.00,"0,450914","25,757564","45,432491"
03/01/2008 12.00,"0,4767","17,331777","45,432491"
03/01/2008 13.00,"0,669453","14,210397","45,432491"
03/01/2008 14.00,"1,164197","13,621162","45,432491"
03/01/2008 15.00,"1,461312","22,094976","45,432491"
03/01/2008 16.00,"1,014726","13,900205","45,432491"
03/01/2008 17.00,"0,947853","15,313592","45,432491"
03/01/2008 18.00,"0,638364","19,914531","45,432491"
03/01/2008 19.00,"0,681401","34,172966","45,432491"
03/01/2008 20.00,"0,585817","37,442294","45,432491"
