Stat,TAMBURI-Via Orsini,,,,,,,,
,,,,,,,
Parm,H2S,BENZENE,PM10 giornaliero,PM2.5 giornaliero,PM10 biorario,IPA,IPA 2,NOX,NO2
Unit,ug/m3 293K,ug/m3 293K,ug/m3,ug/m3,ug/m3,ng/m3,ng/m3,ug/m3 293K,ug/m3 293K
,,,,,,,
,,,,,,,,
,,,,,,,,,
,,,,,,,
04/01/2014 0.00,"1,6","1,5","31,1","18,0","38,2","110,5","117,5",,
04/01/2014 1.00,,"1,9","24,6","14,3","38,2","60,8","63,7",,
04/01/2014 2.00,"1,2","1,4","24,6","14,3","36,9","27,1","28,4",,
04/01/2014 3.00,"1,7","1,0","24,6","14,3","36,9","24,8","25,6",,
04/01/2014 4.00,"1,9","1,2","24,6","14,3","25,5","19,2","19,6",,
04/01/2014 5.00,"1,7","0,8","24,6","14,3","25,5","34,3","35,5",,
04/01/2014 6.00,"1,6","1,4","24,6","14,3","17,5","63,0","65,7",,
04/01/2014 7.00,"0,6","2,3","24,6","14,3","17,5","112,0","118,0",,
04/01/2014 8.00,"1,9","1,9","24,6","14,3","14,6","120,2","124,8",,
04/01/2014 9.00,"2,1","2,5","24,6","14,3","14,6","228,0","235,4",,
04/01/2014 10.00,"2,1","5,3","24,6","14,3","21,4","155,7","160,6",,
04/01/2014 11.00,"1,4","5,1","24,6","14,3","21,4","108,1","111,7",,
04/01/2014 12.00,"1,0","3,6","24,6","14,3","35,9","70,7","73,9",,
04/01/2014 13.00,"1,6","2,5","24,6","14,3","35,9","35,5","38,5",,
04/01/2014 14.00,"1,5","1,3","24,6","14,3","36,8","19,7","20,1",,
04/01/2014 15.00,"1,2","1,1","24,6","14,3","36,8","23,3","25,1",,
04/01/2014 16.00,"1,3","1,1","24,6","14,3","22,5","15,7","15,0",,
04/01/2014 17.00,"1,0","0,8","24,6","14,3","22,5","23,2","24,4",,
04/01/2014 18.00,"1,2","8,9","24,6","14,3","16,8","74,3","77,5",,
04/01/2014 19.00,"1,6","4,0","24,6","14,3","16,8","129,3","126,3",,
04/01/2014 20.00,"1,5","2,9","24,6","14,3","15,8","70,6","72,6",,
04/01/2014 21.00,"1,5","2,5","24,6","14,3","15,8","76,5","79,7",,
04/01/2014 22.00,"1,6","2,6","24,6","14,3","22,5","101,5","103,8",,
04/01/2014 23.00,"1,4","1,7","24,6","14,3","22,5","40,5","38,9",,
05/01/2014 0.00,"1,4","0,6","24,6","14,3","25,3","17,4","18,3",,
05/01/2014 1.00,"1,3","0,7","19,0","9,2","25,3","13,1","13,9",,
05/01/2014 2.00,"1,4","0,8","19,0","9,2","21,4","21,2","22,5",,
05/01/2014 3.00,"1,3","0,7","19,0","9,2","21,4","15,9","17,4",,
05/01/2014 4.00,"1,2","0,5","19,0","9,2","23,1","11,3","11,4",,
05/01/2014 5.00,"1,3","0,6","19,0","9,2","23,1","6,0","6,3",,
05/01/2014 6.00,"1,4","0,6","19,0","9,2","12,2","4,8","5,2",,
05/01/2014 7.00,"1,7","0,5","19,0","9,2","12,2","8,1","8,2",,
05/01/2014 8.00,"1,4","0,6","19,0","9,2","19,1","15,9","16,7",,
05/01/2014 9.00,"1,5","0,8","19,0","9,2","19,1","20,3","16,8",,
05/01/2014 10.00,"1,5","0,9","19,0","9,2","9,8","18,3","19,6",,
05/01/2014 11.00,"1,7","1,3","19,0","9,2","9,8","25,9","25,4",,
05/01/2014 12.00,"1,5","1,1","19,0","9,2","28,0","26,2","28,1",,
05/01/2014 13.00,"1,6","1,2","19,0","9,2","28,0","26,9","27,2",,
05/01/2014 14.00,"1,5","1,1","19,0","9,2","21,5","26,0","26,8",,
05/01/2014 15.00,"1,6","0,7","19,0","9,2","21,5","11,7","12,6",,
05/01/2014 16.00,"1,7","0,6","19,0","9,2","13,8","12,6","12,8",,
05/01/2014 17.00,"1,4","0,3","19,0","9,2","13,8","4,3","5,0",,
05/01/2014 18.00,"2,0","0,7","19,0","9,2","16,3","12,5","13,1",,
05/01/2014 19.00,"5,3","1,4","19,0","9,2","16,3","11,6","12,8",,
05/01/2014 20.00,"2,4","1,0","19,0","9,2","15,4","16,8","17,4",,
05/01/2014 21.00,"2,0","1,9","19,0","9,2","15,4","86,8","86,6",,
05/01/2014 22.00,"2,0","1,5","19,0","9,2","11,9","69,3","71,7",,
05/01/2014 23.00,"1,9","1,2","19,0","9,2","11,9","44,0","45,9",,
06/01/2014 0.00,"1,6","0,9","19,0","9,2","10,6","31,7","32,1",,
06/01/2014 1.00,,"0,8","12,8","7,2","10,6","20,2","20,9",,
06/01/2014 2.00,"1,7","0,5","12,8","7,2","12,4","12,1","12,4",,
06/01/2014 3.00,"1,5","0,5","12,8","7,2","12,4","10,1","10,9",,
06/01/2014 4.00,"1,5","0,3","12,8","7,2","9,7","4,5","4,7",,
06/01/2014 5.00,"1,3","0,1","12,8","7,2","9,7","3,5","3,8",,
06/01/2014 6.00,"1,7","0,5","12,8","7,2","6,3","11,6","11,9",,
06/01/2014 7.00,"1,4","0,8","12,8","7,2","6,3","32,3","33,5",,
06/01/2014 8.00,"1,5","0,4","12,8","7,2","10,9","41,4","41,8",,
06/01/2014 9.00,"1,4","0,8","12,8","7,2","10,9","32,9","34,0",,
06/01/2014 10.00,"1,5","1,1","12,8","7,2","8,6","38,1","39,7",,
06/01/2014 11.00,"1,3","1,2","12,8","7,2","8,6","42,2","44,9",,
06/01/2014 12.00,"1,2","1,7","12,8","7,2","15,2","44,0","44,8",,
06/01/2014 13.00,"1,5","1,1","12,8","7,2","15,2","27,6","29,9",,
06/01/2014 14.00,"1,5","1,1","12,8","7,2","10,2","24,9","26,4",,
06/01/2014 15.00,"1,1","0,6","12,8","7,2","10,2","10,3","10,3",,
06/01/2014 16.00,"1,3","0,3","12,8","7,2","9,4","18,2","16,9",,
06/01/2014 17.00,"1,2","0,7","12,8","7,2","9,4","29,2","30,5",,
06/01/2014 18.00,"1,1","0,7","12,8","7,2","11,2","25,2","26,9",,
06/01/2014 19.00,"1,3","1,3","12,8","7,2","11,2","36,4","37,0",,
06/01/2014 20.00,"1,3","1,0","12,8","7,2","10,7","37,6","39,1",,
