, Brindisi,,,,
,Via Taranto,,,,
Parm,SO2,NO2,CO,O3,BENZENE
,,,,,,,,
,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,
05/01/2008 1.00,,,"0,329489","67,815396","1,628319"
05/01/2008 2.00,"0,276889",,"0,306027","67,241616","0,601911"
05/01/2008 3.00,"0,454026",,"0,322407","62,816884","0,798599"
05/01/2008 4.00,"0,449773",,"0,322672","62,036541","0,838415"
05/01/2008 5.00,"0,350466",,"0,319395","62,533833","0,512873"
05/01/2008 6.00,"0,438542",,"0,331392","60,345797","1,068511"
05/01/2008 7.00,"0,456539",,"0,330197","55,87239","1,209416"
05/01/2008 8.00,"0,549255",,"0,353394","51,856614","1,240842"
05/01/2008 9.00,"0,477283",,"0,378892","45,460862","0,637201"
05/01/2008 10.00,"0,621807",,"0,402044","46,032549","0,531993"
05/01/2008 11.00,"0,575779",,"0,388056","51,553373","0,671373"
05/01/2008 12.00,"0,509238",,"0,375306","65,790114","0,920385"
05/01/2008 13.00,"0,473919",,"0,375306","69,613251","0,625862"
05/01/2008 14.00,"0,638703",,"0,370835","70,245448","0,825346"
05/01/2008 15.00,"0,369855",,"0,361318","68,609647","1,474497"
05/01/2008 16.00,"0,496112",,"0,360522","68,894791","0,424852"
05/01/2008 17.00,"0,384741",,"0,36995","69,645929","0,92547"
05/01/2008 18.00,"0,465896",,"0,386551","69,435892","0,818888"
05/01/2008 19.00,"0,549758",,"0,394873","69,183427","0,480939"
05/01/2008 20.00,"0,482947",,"0,397884","69,831621","0,922724"
05/01/2008 21.00,"0,273158",,"0,40448","70,845658","0,647422"
05/01/2008 22.00,"0,380546",,"0,383806","72,950909","0,69456"
05/01/2008 23.00,"0,408713",,"0,359015","72,958565","2,058001"
06/01/2008 0.00,"0,210871",,"0,347196","74,238279","0,950336"
06/01/2008 1.00,,,"0,337059","74,969227","0,407359"
06/01/2008 2.00,"0,48629",,"0,328382","77,267826","1,716187"
06/01/2008 3.00,"0,73357",,,"80,314093","0,337949"
06/01/2008 4.00,"0,707367",,"0,276703",,"1,500075"
06/01/2008 5.00,"0,729694",,"0,271498","80,810149","0,803227"
06/01/2008 6.00,"0,805296",,"0,281113","79,766964","0,936148"
06/01/2008 7.00,"0,572997",,"0,280672","78,439153","0,312016"
06/01/2008 8.00,"0,441518",,"0,286405","77,994923","0,446565"
06/01/2008 9.00,"0,538233",,"0,300827","76,069527","0,34695"
06/01/2008 10.00,"0,612215",,"0,316571","77,579727","0,706052"
06/01/2008 11.00,"0,603885",,"0,337916","75,557611","0,17228"
06/01/2008 12.00,"0,736116",,"0,361644","71,156905","1,206772"
06/01/2008 13.00,"0,668208",,"0,37536","66,540629","0,459175"
06/01/2008 14.00,"0,667687",,"0,351501","69,170025","0,799514"
06/01/2008 15.00,"0,52088",,"0,290903","73,328236","0,451701"
06/01/2008 16.00,"0,635757",,"0,334433","66,742364","0,383104"
06/01/2008 17.00,"0,535572",,"0,392914","60,279443","0,373646"
06/01/2008 18.00,"0,488487",,"0,400543","55,006198","1,467022"
06/01/2008 19.00,"0,576583",,"0,345856","60,698813","1,267538"
06/01/2008 20.00,"0,443138",,"0,373023","60,803132","0,436547"
06/01/2008 21.00,"0,579359",,"0,44178","53,071129","0,872942"
06/01/2008 22.00,"0,46616",,"0,39309","53,663186","0,921605"
06/01/2008 23.00,"0,642872",,"0,415406","52,019646","1,258029"
07/01/2008 0.00,"0,875866",,"0,440456","49,598213","0,667254"
07/01/2008 1.00,,,"0,424403","54,188907","1,066477"
07/01/2008 2.00,"0,260747",,"0,37148","60,284291","0,803837"
07/01/2008 3.00,"0,255905",,"0,327773","63,125071","0,790616"
07/01/2008 4.00,"0,31285",,"0,311058","59,100859","0,485973"
07/01/2008 5.00,"0,213715",,"0,334565","55,355763","0,94403"
07/01/2008 6.00,"0,305241",,"0,409188","38,95844","1,183025"
07/01/2008 7.00,"0,791925",,"0,510581","24,632943","1,774868"
07/01/2008 8.00,"3,077561",,"1,076819","12,733066","1,845855"
07/01/2008 9.00,"5,455875",,"1,473921","13,215966","2,009083"
07/01/2008 10.00,"4,532538",,"1,272459","15,970386","6,547446"
07/01/2008 11.00,"1,350538",,"0,573118","33,825404","1,695339"
07/01/2008 12.00,"0,900972",,"0,448219","41,806123","1,407172"
07/01/2008 13.00,"1,038609",,"0,511418","48,850948","1,061595"
07/01/2008 14.00,"1,208521",,"0,503921","60,057678","2,590706"
07/01/2008 15.00,"0,928408",,"0,384261","54,001697","1,773139"
07/01/2008 16.00,"1,652785",,"0,454393","37,208507","1,556518"
07/01/2008 17.00,"1,052212",,"0,405086","49,320489","1,986709"
07/01/2008 18.00,"0,924028",,"0,529412","28,061651","2,367068"
07/01/2008 19.00,"0,886218",,"0,683817","24,787017","1,467531"
07/01/2008 20.00,"1,157571",,"0,681347","13,416313","1,97298"
07/01/2008 21.00,"1,401489",,"0,671028","13,219417","3,275248"
07/01/2008 22.00,"2,103733",,"0,947774","13,758278","1,607877"
07/01/2008 23.00,"1,877797",,"0,962106","13,023911","2,964555"
08/01/2008 0.00,"0,244839",,"0,48306","32,782919","3,146598"
08/01/2008 1.00,,,"0,421183","39,468959","1,143871"
08/01/2008 2.00,"0,256605",,"0,327641","50,803752","0,794124"
08/01/2008 3.00,"0,241308",,,"45,502859","0,413055"
08/01/2008 4.00,"0,426906",,"0,415191",,"0,923589"
08/01/2008 5.00,"0,28547",,"0,616259","30,288869","3,461614"
08/01/2008 6.00,"0,212443",,"0,615069","26,301781","1,618047"
08/01/2008 7.00,"0,407856",,"0,597472","24,296467","1,117174"
08/01/2008 8.00,"1,748906",,"0,802896","18,244506","1,543857"
08/01/2008 9.00,"2,817475",,"1,09959","17,682941","2,777935"
08/01/2008 10.00,"1,200767",,"0,715006","19,524844","2,306047"
08/01/2008 11.00,"2,171773",,"0,516629","19,264481","2,431647"
08/01/2008 12.00,"1,035373",,"0,535859","26,939522","1,55245"
08/01/2008 13.00,"0,712089",,"0,542827","24,533972","1,499922"
08/01/2008 14.00,"0,760293",,"0,624903","29,483567","1,533636"
08/01/2008 15.00,"0,565168",,"0,50331","32,371049","1,628217"
08/01/2008 16.00,"0,208402",,"0,367807","62,011822","0,523247"
08/01/2008 17.00,0,,"0,461738","49,34423",
08/01/2008 18.00,"0,018762",,"0,432145","57,624499",
08/01/2008 19.00,"0,099871",,"0,475216","58,966453",
08/01/2008 20.00,"0,347817",,"0,504324","59,937941",
08/01/2008 21.00,"0,472224",,"0,636944","46,792584","2,313166"
08/01/2008 22.00,"0,76289",,"0,658775","25,787289","2,7459"
08/01/2008 23.00,"0,091212",,"0,379133","64,066293","2,233332"
09/01/2008 0.00,"0,007216",,"0,416276","57,760895","1,414138"
09/01/2008 1.00,,,"0,418138","49,826184","1,504143"
09/01/2008 2.00,"0,102966",,"0,280931","75,375991","1,446174"
09/01/2008 3.00,"0,047583",,"0,257733","83,125825","1,090732"
09/01/2008 4.00,"0,052166",,"0,223896","84,703893","0,841923"
09/01/2008 5.00,"0,08132",,"0,234808","85,381813","1,062155"
09/01/2008 6.00,"0,179606",,"0,231165","80,816511","0,796972"
09/01/2008 7.00,"0,063769",,"0,306926","72,509275","0,455463"
09/01/2008 8.00,"0,355704",,"0,609688","43,457783","1,05529"
09/01/2008 9.00,"2,318219",,"1,102193","20,859182","2,759121"
09/01/2008 10.00,"1,727037",,"0,626932","32,501923","3,617977"
09/01/2008 11.00,"0,469689",,"0,376513","72,7454","1,771614"
09/01/2008 12.00,"0,008873",,"0,332127","82,213172","1,255487"
09/01/2008 13.00,"0,002242",,"0,327592","85,28278","1,204636"
09/01/2008 14.00,"0,000195",,"0,328881","88,57537","1,102428"
09/01/2008 15.00,"0,000682",,"0,313735","87,484743","1,046747"
09/01/2008 16.00,"0,076445",,"0,379996","78,777965","0,665118"
09/01/2008 17.00,"0,908664",,"0,52223","72,810476","1,494532"
09/01/2008 18.00,"2,540047",,"1,01013","41,36453","1,827549"
09/01/2008 19.00,"9,041202",,"2,323596","17,186453","4,225635"
09/01/2008 20.00,"18,938899",,"3,723797","19,721498","11,368524"
09/01/2008 21.00,"20,602751",,"3,875115","18,780465","14,00409"
09/01/2008 22.00,"14,713741",,"2,556066","15,935212","15,753329"
09/01/2008 23.00,"7,792728",,"1,870301","14,75182","4,698794"
10/01/2008 0.00,"5,182281",,"1,496787","13,075413","7,932091"
10/01/2008 1.00,,,"1,050723","11,674604","6,039454"
10/01/2008 2.00,"1,375275",,"0,73653","12,506232","4,10868"
10/01/2008 3.00,"0,387376",,,"18,349068","3,078967"
10/01/2008 4.00,"0,738491",,"0,632706",,"1,866703"
10/01/2008 5.00,"0,79362",,"0,582496","27,560785","2,629453"
10/01/2008 6.00,"0,87823",,"0,62719","23,126877","2,58979"
10/01/2008 7.00,"1,35228",,"0,744775","17,251118","2,817598"
10/01/2008 8.00,"4,19098",,"1,276089","12,98838","3,084052"
10/01/2008 9.00,"7,374898",,"1,700849","13,972621","6,463543"
10/01/2008 10.00,"8,616626",,"2,077517","15,475209","6,576939"
10/01/2008 11.00,"4,580125",,"1,308563","19,284485","8,294652"
10/01/2008 12.00,"1,693962",,"0,517371","51,705731","4,647181"
10/01/2008 13.00,"0,151825",,"0,461911","59,872306","1,349356"
10/01/2008 14.00,"0,124702",,"0,387256","62,734612","1,499058"
10/01/2008 15.00,"0,337848",,"0,34137","53,340854","0,906808"
10/01/2008 16.00,"0,416267",,"0,382359","67,558502","1,02656"
10/01/2008 17.00,"1,181881",,"0,388756","59,612794","0,897757"
10/01/2008 18.00,"0,734953",,"0,604365","46,090863","0,965692"
10/01/2008 19.00,"0,437198",,"0,602409","34,848722","7,244091"
10/01/2008 20.00,"0,925989",,"0,609379","24,325075","1,570045"
10/01/2008 21.00,"1,048334",,"0,798073","20,34533","2,08185"
10/01/2008 22.00,"3,754664",,"1,09744","15,4897","2,394425"
10/01/2008 23.00,"1,692782",,"0,874007","19,38525","3,599163"
11/01/2008 0.00,"0,948984",,"0,824944","17,29392","2,244671"
11/01/2008 1.00,,,"0,712522","26,111358","2,488599"
11/01/2008 2.00,"0,241441",,"0,486045","42,109044","1,58474"
11/01/2008 3.00,"0,22137",,"0,416053","36,614975","1,553467"
11/01/2008 4.00,"0,196281",,"0,461734","32,038185","1,842804"
11/01/2008 5.00,"0,160567",,"0,484338","27,242604","1,894162"
11/01/2008 6.00,"0,322413",,"0,553904","15,954221","1,230672"
11/01/2008 7.00,"0,791718",,"0,712346","14,140343","1,405748"
11/01/2008 8.00,"2,57734",,"0,901893","13,686181","2,825226"
11/01/2008 9.00,"5,965783",,"1,565439","14,120329","4,334962"
11/01/2008 10.00,"2,946882",,"0,895406","24,231211","5,211616"
11/01/2008 11.00,"0,382036",,"0,427716","51,079722","3,027609"
11/01/2008 12.00,"0,008264",,"0,383888","63,968021","1,230163"
11/01/2008 13.00,0,,"0,398448","72,740613","0,860179"
11/01/2008 14.00,0,,"0,42092","71,951689","1,147125"
11/01/2008 15.00,"0,001377",,"0,37274","68,846435","0,97871"
11/01/2008 16.00,"0,00551",,"0,391212","56,520664","0,709713"
11/01/2008 17.00,"0,133707",,"0,538874","41,309089","1,299726"
11/01/2008 18.00,"0,493705",,"0,612718","36,217411","1,538721"
11/01/2008 19.00,"1,012301",,"0,656487","32,649712","1,88806"
11/01/2008 20.00,"0,983179",,"0,651281","31,246508","1,907383"
11/01/2008 21.00,"0,644335",,"0,610997","36,458305","1,599995"
11/01/2008 22.00,"0,744197",,"0,623748","39,250885","1,652625"
11/01/2008 23.00,"0,470879",,"0,62216","43,228579","2,325879"
12/01/2008 0.00,"0,254624",,"0,588187","46,63061","1,795107"
12/01/2008 1.00,,,"0,599615","41,282875","2,432664"
12/01/2008 2.00,"0,349095",,"0,561361","41,418834","1,796022"
12/01/2008 3.00,"0,277154",,,"49,490165","2,168752"
12/01/2008 4.00,"0,447574",,"0,40737",,"1,6272"
12/01/2008 5.00,"0,541924",,"0,381288","51,241856","0,843195"
