Stat,San Vito dei Normanni,,,,,,,
,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,,
,,,,,,,
12/04/2014 3.00,"8,2","10,9",,"28,7","1,8",,,
12/04/2014 4.00,"6,4","9,3","0,4","33,7","1,3",,,
12/04/2014 5.00,"8,5","11,4","0,4","30,8","1,1",,,
12/04/2014 6.00,"25,6","46,1","0,4","21,3","1,1",,,
12/04/2014 7.00,"25,7","35,9","0,4","20,9","1,9",,,
12/04/2014 8.00,"28,1","44,0","0,5","28,0","2,3",,,
12/04/2014 9.00,"9,1","14,6","0,3","72,4","4,0",,,
12/04/2014 10.00,"8,3","13,7","0,3","86,5","1,1",,,
12/04/2014 11.00,"6,5","10,5","0,3","94,1","1,0",,,
12/04/2014 12.00,"7,1","11,6","0,3","97,8","0,7",,,
12/04/2014 13.00,"7,8","12,5","0,3","97,7","0,7",,,
12/04/2014 14.00,"5,8","9,3","0,3","99,6","0,6",,,
12/04/2014 15.00,"5,4","9,0","0,3","96,6","0,6",,,
12/04/2014 16.00,"5,5","9,3","0,3","98,3","0,4",,,
12/04/2014 17.00,"6,0","10,4","0,3","98,4","0,3",,,
12/04/2014 18.00,"6,1","10,4","0,3","99,1","0,3",,,
12/04/2014 19.00,"6,1","10,0","0,3","96,3","0,3",,,
12/04/2014 20.00,"27,8","74,5","0,4","73,9","0,7",,,
12/04/2014 21.00,"10,7","15,3","0,3","68,3","2,9",,,
12/04/2014 22.00,"8,3","11,9","0,3","66,8","1,2",,,
12/04/2014 23.00,"6,5","9,4","0,3","64,4","0,8",,,
13/04/2014 0.00,"8,8","12,0","0,3","62,8","1,0",,,
13/04/2014 1.00,"6,2","9,0","0,3","60,9","0,9",,,
13/04/2014 2.00,"5,8","8,6","0,3","45,0","0,9",,,
13/04/2014 3.00,"6,8","10,2","0,3","43,2","0,8",,,
13/04/2014 4.00,"5,4","8,3","0,3","48,8","0,9",,,
13/04/2014 5.00,"4,3","7,1","0,3","48,1","0,8",,,
13/04/2014 6.00,"6,7","10,3","0,3","49,3","0,8",,,
13/04/2014 7.00,"9,6","13,1","0,3","49,9","1,1",,,
13/04/2014 8.00,"10,3","14,8","0,4","51,8","1,4",,,
13/04/2014 9.00,"8,3","12,0","0,3","61,9","1,8",,,
13/04/2014 10.00,"8,1","11,3","0,3","64,1","1,2",,,
13/04/2014 11.00,"7,4","10,6","0,3","77,2","0,7",,,
13/04/2014 12.00,"7,6","11,9","0,3","74,4","0,9",,,
13/04/2014 13.00,"5,5","9,1","0,3","81,3","0,6",,,
13/04/2014 14.00,"3,9","6,7","0,3","90,8","0,6",,,
13/04/2014 15.00,"3,8","6,7","0,3","92,0","0,4",,,
13/04/2014 16.00,"3,9","7,2","0,3","89,9","0,3",,,
13/04/2014 17.00,"4,0","7,0","0,3","87,1","0,3",,,
13/04/2014 18.00,"3,9","6,9","0,3","88,1","0,3",,,
13/04/2014 19.00,"4,3","7,2","0,3","89,3","0,3",,,
13/04/2014 20.00,"5,3","8,2","0,3","86,9","0,3",,,
13/04/2014 21.00,"8,2","11,1","0,3","80,8","0,8",,,
13/04/2014 22.00,"5,2","8,0","0,3","85,0","0,8",,,
13/04/2014 23.00,"3,9","6,6","0,3","91,4","0,4",,,
14/04/2014 0.00,"3,7","6,5","0,3","93,2","0,3",,,
14/04/2014 1.00,"3,3","6,2","0,3","91,0","0,2",,,
14/04/2014 2.00,"3,1","6,0","0,3","86,5","0,2",,,
14/04/2014 3.00,"3,6","6,4",,"81,3","0,2",,,
14/04/2014 4.00,"3,4","6,2","0,3","84,5","0,2",,,
14/04/2014 5.00,"3,5","6,4","0,3","83,3","0,2",,,
14/04/2014 6.00,"8,3","11,7","0,3","68,0","0,2",,,
14/04/2014 7.00,"10,2","13,7","0,3","60,2","0,3",,,
14/04/2014 8.00,"9,9","15,4","0,3","65,5","0,3",,,
14/04/2014 9.00,"6,8","12,1","0,3","76,6","0,3",,,
14/04/2014 10.00,"5,0","8,8","0,3","83,9","0,3",,,
14/04/2014 11.00,"4,8","8,5","0,3","86,0","0,2",,,
14/04/2014 12.00,"5,6","9,8","0,3","88,1","0,2",,,
14/04/2014 13.00,"5,4","9,3","0,3","92,5","0,3",,,
14/04/2014 14.00,"4,1","7,4","0,3","94,8","0,3",,,
14/04/2014 15.00,"3,6","6,9","0,3","96,5","0,2",,,
14/04/2014 16.00,"4,3","7,3","0,3","95,2","0,2",,,
14/04/2014 17.00,"4,6","8,0","0,3","94,3","0,2",,,
14/04/2014 18.00,"4,2","7,2","0,3","94,8","0,2",,,
14/04/2014 19.00,"5,0","8,1","0,3","86,5","0,2",,,
14/04/2014 20.00,"13,0","19,1","0,3","65,0","0,4",,,
14/04/2014 21.00,"15,0","20,8","0,3","49,1","1,1",,,
14/04/2014 22.00,"7,9","11,2","0,3","57,3","1,4",,,
14/04/2014 23.00,"5,9","8,8","0,3","67,4","0,8",,,
15/04/2014 0.00,"5,3","8,3","0,3","66,4","0,6",,,
15/04/2014 1.00,"3,9","6,7","0,3","68,4","0,5",,,
15/04/2014 2.00,"3,9","6,8","0,3","68,2","0,4",,,
15/04/2014 3.00,"3,8","6,5","0,3","61,5","0,3",,,
15/04/2014 4.00,"3,3","6,1","0,3","59,0","0,3",,,
15/04/2014 5.00,"3,9","6,8","0,2","62,8","0,3",,,
15/04/2014 6.00,"5,5","8,8","0,2","65,3","0,2",,,
15/04/2014 7.00,"8,0","12,3","0,2","64,8","0,4",,,
15/04/2014 8.00,"14,6","23,6","0,3","57,3","0,4",,,
15/04/2014 9.00,"9,1","15,3","0,3","71,5","0,7",,,
15/04/2014 10.00,"10,8","16,9","0,3","77,5","0,7",,,
15/04/2014 11.00,"11,4","17,5","0,3","77,5","0,5",,,
15/04/2014 12.00,"8,4","14,0","0,3","86,7","0,5",,,
15/04/2014 13.00,"6,4","10,1","0,2","95,4","0,5",,,
15/04/2014 14.00,"6,7","10,2","0,2","96,5","0,3",,,
15/04/2014 15.00,"9,9","13,7","0,2","82,2","0,4",,,
15/04/2014 16.00,"6,9","10,5","0,3","79,8","0,9",,,
15/04/2014 17.00,"5,3","8,6","0,2","84,0","0,5",,,
15/04/2014 18.00,"4,6","7,7","0,2","93,4","0,3",,,
15/04/2014 19.00,"4,4","7,6","0,2","93,8","0,3",,,
15/04/2014 20.00,"4,2","7,0","0,2","94,1","0,2",,,
15/04/2014 21.00,"4,2","7,0","0,2","96,9","0,4",,,
15/04/2014 22.00,"4,2","6,8","0,2","94,4","0,3",,,
15/04/2014 23.00,"4,6","7,2","0,2","85,6","0,3",,,
16/04/2014 0.00,"4,2","6,8","0,3","82,9","0,3",,,
16/04/2014 1.00,"4,8","7,5","0,3","83,0","0,3",,,
16/04/2014 2.00,"3,7","6,2","0,3","80,1","0,2",,,
16/04/2014 3.00,"3,3","5,8",,"82,1","0,2",,,
16/04/2014 4.00,"2,7","5,1","0,3","89,5","0,2",,,
16/04/2014 5.00,"3,2","5,7","0,2","88,7","0,2",,,
16/04/2014 6.00,"4,2","7,1","0,3","85,9","0,2",,,
16/04/2014 7.00,"9,9","13,0","0,3","74,1","0,2",,,
16/04/2014 8.00,"9,0","13,1","0,3","69,4","0,3",,,
16/04/2014 9.00,"4,4","7,4","0,2","73,6","0,3",,,
16/04/2014 10.00,"4,5","7,8","0,2","74,8","0,2",,,
16/04/2014 11.00,"4,2","7,5","0,2","77,8","0,3",,,
16/04/2014 12.00,"3,9","7,4","0,3","78,6","0,3",,,
16/04/2014 13.00,"4,0","7,5","0,3","80,3","0,3",,,
16/04/2014 14.00,"3,8","7,4","0,3","79,1","0,3",,,
16/04/2014 15.00,"4,2","7,4","0,3","79,3","0,3",,,
16/04/2014 16.00,"4,0","7,2","0,2","81,9","0,3",,,
16/04/2014 17.00,"4,3","7,5","0,2","86,0","0,3",,,
16/04/2014 18.00,"4,2","7,1","0,2","86,8","0,3",,,
16/04/2014 19.00,"6,7","9,9","0,3","84,2","0,3",,,
16/04/2014 20.00,"8,2","11,4","0,3","78,1","0,8",,,
16/04/2014 21.00,"7,4","10,4","0,3","80,0","0,6",,,
16/04/2014 22.00,"4,7","7,4","0,3","85,7","0,6",,,
16/04/2014 23.00,"4,0","6,8","0,2","85,9","0,5",,,
17/04/2014 0.00,"3,6","6,3","0,2","84,8","0,4",,,
17/04/2014 1.00,"3,8","6,5","0,2","84,8","0,3",,,
17/04/2014 2.00,"3,4","6,0","0,2","82,9","0,3",,,
17/04/2014 3.00,"3,9","6,5","0,3","80,3","0,3",,,
17/04/2014 4.00,"3,9","6,3","0,3","78,5","0,3",,,
17/04/2014 5.00,"4,1","6,5","0,3","75,7","0,3",,,
17/04/2014 6.00,"5,2","7,8","0,3","70,7","0,4",,,
17/04/2014 7.00,"6,1","8,9","0,3","67,4","0,4",,,
17/04/2014 8.00,"8,1","11,6","0,3","62,1","0,4",,,
17/04/2014 9.00,"5,9","9,8","0,3","63,7","0,4",,,
17/04/2014 10.00,"6,5","10,4","0,3","67,7","0,4",,,
17/04/2014 11.00,"11,8","17,2","0,3","57,8","0,7",,,
17/04/2014 12.00,"5,6","9,7","0,3","64,8","1,1",,,
17/04/2014 13.00,"5,2","9,1","0,3","67,6","0,5",,,
17/04/2014 14.00,"5,4","8,8","0,3","69,1","0,6",,,
17/04/2014 15.00,"5,8","9,0","0,3","70,2","0,6",,,
17/04/2014 16.00,"6,9","10,3","0,3","71,9","0,8",,,
17/04/2014 17.00,"10,1","14,5","0,4","65,8","1,5",,,
17/04/2014 18.00,"13,1","17,7","0,4","59,8","1,9",,,
17/04/2014 19.00,"11,6","16,1","0,4","58,2","2,0",,,
17/04/2014 20.00,"17,0","23,8","0,4","54,5","1,6",,,
17/04/2014 21.00,"18,9","22,5","0,5","50,6","1,9",,,
17/04/2014 22.00,"14,7","17,7","0,5","49,7","2,5",,,
17/04/2014 23.00,"11,6","14,2","0,4","47,9","1,7",,,
18/04/2014 0.00,"9,4","12,0","0,4","50,0","1,2",,,
18/04/2014 1.00,"7,1","9,5","0,3","52,9","0,9",,,
18/04/2014 2.00,"5,5","8,0","0,3","53,9","0,7",,,
18/04/2014 3.00,"4,4","7,0",,"55,9","0,6",,,
18/04/2014 4.00,"4,1","6,6","0,3","59,5","0,6",,,
18/04/2014 5.00,"4,3","6,8","0,3","56,3","0,5",,,
18/04/2014 6.00,"5,7","8,2","0,3","54,8","0,4",,,
18/04/2014 7.00,"9,9","13,9","0,3","47,3","0,6",,,
18/04/2014 8.00,"10,5","18,6","0,3","48,9","0,8",,,
18/04/2014 9.00,"11,4","23,2","0,3","51,8","0,9",,,
18/04/2014 10.00,"7,7","13,5","0,3","57,8","0,7",,,
18/04/2014 11.00,"8,6","13,8","0,3","63,9","0,7",,,
18/04/2014 12.00,"8,7","12,7","0,3","73,5","0,6",,,
18/04/2014 13.00,"12,9","17,5","0,3","70,6","1,1",,,
18/04/2014 14.00,"10,4","14,8","0,3","63,1","1,8",,,
18/04/2014 15.00,"10,7","14,9","0,4","60,1","1,8",,,
18/04/2014 16.00,"12,6","17,3","0,5","55,2","2,2",,,
18/04/2014 17.00,"13,8","18,5","0,5","49,9","2,4",,,
18/04/2014 18.00,"14,6","19,4","0,5","46,9","2,5",,,
18/04/2014 19.00,"15,0","19,4","0,5","49,6","2,8",,,
18/04/2014 20.00,"16,4","21,9","0,5","39,2","2,0",,,
18/04/2014 21.00,"15,9","21,3","0,5","30,8","2,8",,,
18/04/2014 22.00,"11,4","14,5","0,5","32,7","2,3",,,
18/04/2014 23.00,"10,4","13,9","0,4","32,0","1,7",,,
19/04/2014 0.00,"10,3","13,5","0,4","35,4","1,3",,,
19/04/2014 1.00,"8,8","11,5","0,4","45,4","1,4",,,
19/04/2014 2.00,"8,5","11,4","0,4","46,0","1,1",,,
19/04/2014 3.00,"6,1","9,0","0,3","45,1","0,9",,,
19/04/2014 4.00,"6,2","9,0","0,3","45,9","0,7",,,
19/04/2014 5.00,"6,2","9,0","0,3","43,0","0,8",,,
19/04/2014 6.00,"10,0","13,5","0,3","38,0","0,8",,,
19/04/2014 7.00,"11,4","16,2","0,3","36,5","1,2",,,
19/04/2014 8.00,"13,5","19,9","0,4","46,4","1,0",,,
19/04/2014 9.00,"8,2","12,9","0,3","66,7","1,4",,,
19/04/2014 10.00,"5,8","10,4","0,3","79,9","0,8",,,
19/04/2014 11.00,"5,4","9,6","0,3","85,3","0,5",,,
19/04/2014 12.00,"7,4","12,4","0,3","89,2","0,4",,,
19/04/2014 13.00,"11,1","17,3","0,3","90,5","0,5",,,
19/04/2014 14.00,"4,8","8,2","0,3","96,8","0,5",,,
19/04/2014 15.00,"4,1","7,4","0,3","97,3","0,3",,,
19/04/2014 16.00,"4,1","7,8","0,2","98,5","0,2",,,
19/04/2014 17.00,"4,2","7,8","0,2","97,5","0,3",,,
19/04/2014 18.00,"4,5","8,2","0,2","97,9","0,3",,,
19/04/2014 19.00,"5,1","9,2","0,3","93,6","0,4",,,
19/04/2014 20.00,"4,1","7,7","0,3","90,2","0,4",,,
19/04/2014 21.00,"5,4","9,8","0,3","85,0","0,4",,,
19/04/2014 22.00,"5,1","8,5","0,3","83,2","0,7",,,
19/04/2014 23.00,"3,7","6,9","0,3","86,7","0,5",,,
20/04/2014 0.00,"3,0","5,9","0,3","85,7","0,4",,,
20/04/2014 1.00,"3,5","6,5","0,3","84,6","0,3",,,
20/04/2014 2.00,"2,9","6,0","0,3","85,1","0,3",,,
20/04/2014 3.00,"2,4","5,3",,"89,4","0,2",,,
20/04/2014 4.00,"2,4","5,2","0,3","90,8","0,2",,,
20/04/2014 5.00,"2,4","5,2","0,3","91,2","0,1",,,
20/04/2014 6.00,"2,4","5,3","0,3","90,2",,,,
20/04/2014 7.00,"2,5","5,3","0,3","92,4","0,1",,,
20/04/2014 8.00,"3,4","6,2","0,3","92,2","0,1",,,
20/04/2014 9.00,"3,6","6,6","0,3","94,3","0,2",,,
20/04/2014 10.00,"3,0","6,1","0,3","96,6","0,3",,,
20/04/2014 11.00,"2,6","5,7","0,3","96,9","0,3",,,
20/04/2014 12.00,"3,0","6,3","0,3","96,6","0,3",,,
20/04/2014 13.00,"2,8","5,9","0,3","96,0","0,3",,,
20/04/2014 14.00,"2,4","5,3","0,3","92,3","0,1",,,
20/04/2014 15.00,"2,4","5,3","0,3","91,6","0,1",,,
20/04/2014 16.00,"2,4","5,5","0,3","90,0","0,1",,,
20/04/2014 17.00,"2,5","5,7","0,3","89,8","0,2",,,
20/04/2014 18.00,"2,6","6,1","0,3","87,9","0,1",,,
20/04/2014 19.00,"2,9","6,0","0,3","86,4","0,1",,,
20/04/2014 20.00,"3,6","7,1","0,3","80,9","0,3",,,
20/04/2014 21.00,"3,7","6,9","0,3","73,9","0,3",,,
20/04/2014 22.00,"2,8","5,7","0,3","76,3","0,4",,,
20/04/2014 23.00,"2,4","5,3","0,3","83,1","0,2",,,
21/04/2014 0.00,"2,5","5,3","0,3","84,2","0,1",,,
21/04/2014 1.00,"2,4","5,1","0,3","83,6","0,1",,,
21/04/2014 2.00,"2,4","5,1","0,3","79,8","0,1",,,
21/04/2014 3.00,"2,6","5,4","0,3","74,7","0,1",,,
21/04/2014 4.00,"2,4","5,1","0,3","79,1","0,1",,,
21/04/2014 5.00,"2,4","5,2","0,3","79,9","0,1",,,
21/04/2014 6.00,"2,5","5,3","0,3","76,8","0,1",,,
21/04/2014 7.00,"2,4","5,2","0,3","71,3",,,,
21/04/2014 8.00,"4,1","7,1","0,3","67,9","0,2",,,
21/04/2014 9.00,"3,4","6,4","0,3","69,6","0,3",,,
21/04/2014 10.00,"3,3","6,6","0,3","74,4","0,2",,,
21/04/2014 11.00,"3,3","6,7","0,3","79,8","0,2",,,
21/04/2014 12.00,"3,6","6,9","0,3","84,8","0,3",,,
21/04/2014 13.00,"2,6","5,5","0,3","90,6","0,3",,,
21/04/2014 14.00,"2,5","5,4","0,3","92,5","0,1",,,
21/04/2014 15.00,"2,5","5,5","0,2","91,0","0,1",,,
21/04/2014 16.00,"2,5","5,6","0,2","90,1","0,1",,,
21/04/2014 17.00,"2,6","5,6","0,2","87,5","0,2",,,
21/04/2014 18.00,"2,9","6,0","0,2","83,4","0,2",,,
21/04/2014 19.00,"3,5","6,5","0,2","78,3","0,2",,,
21/04/2014 20.00,"4,5","7,5","0,3","72,4","0,2",,,
21/04/2014 21.00,"5,0","8,9","0,3","63,5","0,4",,,
21/04/2014 22.00,"3,9","7,1","0,3","66,1","0,3",,,
21/04/2014 23.00,"3,2","6,3","0,3","68,1","0,2",,,
22/04/2014 0.00,"2,4","5,3","0,3","71,2","0,2",,,
22/04/2014 1.00,"3,0","6,0","0,3","70,8","0,1",,,
22/04/2014 2.00,"7,0","9,8","0,3","60,3","0,2",,,
22/04/2014 3.00,"8,3","11,2",,"47,2","0,2",,,
22/04/2014 4.00,"7,7","10,6","0,3","42,1","0,3",,,
22/04/2014 5.00,"8,0","10,9","0,4","40,4","0,3",,,
22/04/2014 6.00,"9,6","12,9","0,4","37,7","0,3",,,
22/04/2014 7.00,"10,5","15,0","0,3","36,3","0,5",,,
22/04/2014 8.00,"16,2","24,4","0,3","39,0","0,6",,,
22/04/2014 9.00,"7,6","12,1","0,3","52,0","0,7",,,
22/04/2014 10.00,"5,1","9,1","0,3","69,5","0,4",,,
22/04/2014 11.00,"4,5","9,0","0,3","83,8","0,2",,,
22/04/2014 12.00,"4,5","7,7","0,3","87,3","0,1",,,
22/04/2014 13.00,"4,8","9,7","0,3","88,5","0,4",,,
22/04/2014 14.00,"3,8","6,7","0,3","88,1","0,3",,,
22/04/2014 15.00,"4,1","7,0","0,3","91,0","0,3",,,
22/04/2014 16.00,"4,1","6,9","0,3","86,9","0,3",,,
22/04/2014 17.00,"4,8","7,6","0,3","79,3","0,1",,,
22/04/2014 18.00,"7,8","10,7","0,2","72,3","0,1",,,
22/04/2014 19.00,"10,3","13,4","0,2","64,3","0,2",,,
22/04/2014 20.00,"11,6","14,9","0,3","59,8","0,5",,,
22/04/2014 21.00,"16,0","20,1","0,3","41,0","1,1",,,
22/04/2014 22.00,"15,0","18,5","0,4","34,4","1,9",,,
22/04/2014 23.00,"11,5","14,6","0,3","24,4","2,1",,,
23/04/2014 0.00,"7,3","10,3","0,3","35,7","1,2",,,
23/04/2014 1.00,"5,4","8,2","0,3","45,2","0,6",,,
23/04/2014 2.00,"3,2","6,0","0,3","46,9","0,4",,,
23/04/2014 3.00,"2,6","5,5","0,3","55,8","0,2",,,
23/04/2014 4.00,"3,6","6,4","0,3","52,4","0,2",,,
23/04/2014 5.00,"4,5","7,3","0,3","40,6","0,3",,,
23/04/2014 6.00,"5,1","8,4","0,3","58,6","0,2",,,
23/04/2014 7.00,"5,8","9,0","0,3","67,2","0,2",,,
23/04/2014 8.00,"5,3","9,0","0,3","68,5","0,2",,,
23/04/2014 9.00,,,,,,,,
23/04/2014 10.00,,,,,,,,
23/04/2014 11.00,,,,,,,,
23/04/2014 12.00,,,,,,,,
23/04/2014 13.00,,,,,,,,
23/04/2014 14.00,,,,,,,,
23/04/2014 15.00,,,,,,,,
23/04/2014 16.00,"4,3","9,1",,"62,5","0,2",,,
23/04/2014 17.00,"4,6","8,1",,"65,4","0,2",,,
23/04/2014 18.00,"4,8","7,9",,"67,4","0,5",,,
23/04/2014 19.00,"4,4","7,5",,"69,1","1,0",,,
23/04/2014 20.00,"4,3","7,3",,"69,7","0,3",,,
23/04/2014 21.00,"4,0","6,8",,"67,1","0,3",,,
23/04/2014 22.00,"3,6","6,4",,"66,2","0,2",,,
23/04/2014 23.00,"2,9","5,7",,"65,1","0,2",,,
24/04/2014 0.00,"3,9","6,7",,"66,5","0,1",,,
24/04/2014 1.00,"2,4","5,2",,"71,6","0,1",,,
24/04/2014 2.00,"2,4","5,1",,"74,5","0,1",,,
24/04/2014 3.00,"2,4","5,1",,"75,5",,,,
24/04/2014 4.00,"2,4","5,2",,"72,6",,,,
24/04/2014 5.00,"2,7","5,5",,"69,0","0,1",,,
24/04/2014 6.00,"3,4","6,5",,"69,0",,,,
24/04/2014 7.00,"3,8","6,8",,"69,1",,,,
24/04/2014 8.00,"5,1","9,6",,"68,8","0,1",,,
24/04/2014 9.00,"5,0","8,8",,"68,8","0,2",,,
24/04/2014 10.00,"6,2","11,0",,"68,0","0,3",,,
24/04/2014 11.00,"6,0","9,5",,"69,8","0,2",,,
24/04/2014 12.00,"7,0","11,3",,"71,1","0,3",,,
24/04/2014 13.00,"7,1","12,5",,"71,7","0,4",,,
24/04/2014 14.00,"4,8","8,4",,"76,6","0,4",,,
24/04/2014 15.00,"4,7","7,9",,"79,4","0,3",,,
24/04/2014 16.00,"5,1","8,5",,"79,1","0,3",,,
24/04/2014 17.00,"4,3","7,9",,"80,2","0,3",,,
24/04/2014 18.00,"5,3","8,8",,"78,2","0,2",,,
24/04/2014 19.00,"5,7","9,0",,"77,9","0,3",,,
24/04/2014 20.00,"8,9","12,1",,"72,2","0,3",,,
24/04/2014 21.00,"10,1","13,2",,"69,3","0,5",,,
24/04/2014 22.00,"14,0","17,0",,"53,6","0,8",,,
24/04/2014 23.00,"9,4","12,5","0,2","49,1","1,3",,,
25/04/2014 0.00,"6,8","9,9","0,3","55,3","1,0",,,
25/04/2014 1.00,"4,2","7,1","0,3","59,3","0,6",,,
25/04/2014 2.00,"3,9","6,8","0,3","58,7","0,4",,,
25/04/2014 3.00,"3,3","6,2","0,3","54,8","0,3",,,
25/04/2014 4.00,"3,1","5,9","0,3","47,6","0,3",,,
25/04/2014 5.00,"4,3","7,4","0,3","43,8","0,3",,,
25/04/2014 6.00,"7,0","11,3","0,3","40,5","0,3",,,
25/04/2014 7.00,"8,9","13,7","0,3","43,2","0,4",,,
25/04/2014 8.00,"7,0","11,1","0,3","50,8","0,6",,,
25/04/2014 9.00,"4,3","7,7","0,3","70,8","0,5",,,
25/04/2014 10.00,"4,5","7,8","0,3","74,3","0,4",,,
25/04/2014 11.00,"5,4","9,4","0,3","79,0","0,3",,,
25/04/2014 12.00,"5,2","8,6","0,3","82,9","0,4",,,
25/04/2014 13.00,"5,2","8,8","0,3","84,8","0,4",,,
25/04/2014 14.00,"3,5","6,4","0,2","82,7","0,3",,,
25/04/2014 15.00,"2,9","6,0","0,2","83,5","0,4",,,
25/04/2014 16.00,"2,9","5,9","0,2","83,3","0,3",,,
25/04/2014 17.00,"2,9","5,8","0,2","84,1","0,3",,,
25/04/2014 18.00,"3,6","6,4","0,2","83,3",,,,
25/04/2014 19.00,"4,9","8,2","0,2","77,5","0,3",,,
25/04/2014 20.00,"8,1","12,0","0,2","66,3","0,3",,,
25/04/2014 21.00,"12,0","18,8","0,2","47,8","0,6",,,
25/04/2014 22.00,"10,3","14,5","0,2","48,2","0,8",,,
25/04/2014 23.00,"8,7","12,8","0,2","47,5","0,8",,,
26/04/2014 0.00,"8,9","11,8","0,3","41,6","0,7",,,
26/04/2014 1.00,"7,3","10,5","0,3","39,8","0,9",,,
26/04/2014 2.00,"5,3","8,2","0,3","53,2","0,6",,,
26/04/2014 3.00,"5,6","8,5",,"48,2","0,5",,,
26/04/2014 4.00,"5,6","8,5","0,4","46,8","0,5",,,
26/04/2014 5.00,"5,4","8,3","0,4","46,1","0,4",,,
26/04/2014 6.00,"5,3","9,8","0,4","45,0","0,4",,,
26/04/2014 7.00,"7,0","11,5","0,4","44,1","0,5",,,
26/04/2014 8.00,"6,4","10,2","0,4","42,9","0,4",,,
26/04/2014 9.00,"5,3","9,5","0,4","52,5","0,4",,,
26/04/2014 10.00,"6,6","11,0","0,4","64,5","0,4",,,
26/04/2014 11.00,"6,4","10,6","0,4","81,0","0,5",,,
26/04/2014 12.00,"9,3","13,5","0,4","74,8","0,3",,,
26/04/2014 13.00,"5,4","9,1","0,4","82,9","0,4",,,
26/04/2014 14.00,"3,3","6,2","0,4","86,0","0,3",,,
26/04/2014 15.00,"3,3","6,2","0,3","88,8","0,3",,,
26/04/2014 16.00,"2,9","5,7","0,3","90,9","0,2",,,
26/04/2014 17.00,"3,3","6,2","0,3","88,0","0,1",,,
26/04/2014 18.00,"4,0","6,9","0,3","85,8","0,1",,,
26/04/2014 19.00,"5,8","9,0","0,4","73,5","0,2",,,
26/04/2014 20.00,"4,9","8,4","0,3","65,7","0,3",,,
26/04/2014 21.00,"7,5","10,6","0,4","59,5","0,3",,,
26/04/2014 22.00,"9,4","13,0","0,4","47,4","0,7",,,
26/04/2014 23.00,"9,3","12,2","0,4","37,6","0,7",,,
27/04/2014 0.00,"17,4","23,8","0,8","18,0","1,1",,,
27/04/2014 1.00,"13,5","16,7","0,7","14,0","1,5",,,
27/04/2014 2.00,"14,8","21,0","0,4","14,8","1,4",,,
27/04/2014 3.00,"7,3","10,2","0,5","32,9","1,1",,,
27/04/2014 4.00,"4,5","7,3","0,3","38,5","0,5",,,
27/04/2014 5.00,"3,9","6,7","0,5","44,5","0,4",,,
27/04/2014 6.00,"6,0","10,3","0,8","42,0","0,4",,,
27/04/2014 7.00,"7,6","11,7","0,8","35,9","0,4",,,
27/04/2014 8.00,"7,8","12,5","0,3","38,4","0,6",,,
27/04/2014 9.00,"4,1","7,2","0,3","63,9","0,6",,,
27/04/2014 10.00,"3,2","6,5","1,0","76,0","0,3",,,
27/04/2014 11.00,"3,2","6,5","0,6","81,6","0,2",,,
27/04/2014 12.00,"3,0","6,3","0,5","88,1","0,2",,,
27/04/2014 13.00,"3,3","6,7","0,4","88,9","0,3",,,
27/04/2014 14.00,"2,5","5,3","0,3","90,1","0,2",,,
27/04/2014 15.00,"2,6","5,7","0,2","91,4","0,2",,,
27/04/2014 16.00,"2,5","5,5","0,2","93,3",,,,
27/04/2014 17.00,"3,0","6,4","0,2","91,0",,,,
27/04/2014 18.00,"2,9","6,3","0,2","81,7",,,,
27/04/2014 19.00,"3,3","6,5","0,3","75,3",,,,
27/04/2014 20.00,"4,5","8,0","0,3","74,6","0,1",,,
27/04/2014 21.00,"3,6","7,1","0,2","75,8",,,,
27/04/2014 22.00,"2,9","5,9","0,2","76,3","0,2",,,
27/04/2014 23.00,"2,5","5,4","0,2","74,1","0,2",,,
28/04/2014 0.00,"3,4","7,0","0,2","68,1","0,1",,,
28/04/2014 1.00,"3,1","5,9","0,2","65,5","0,2",,,
28/04/2014 2.00,"3,8","6,7","0,2","53,9","0,1",,,
28/04/2014 3.00,"3,4","6,2",,"59,3",,,,
28/04/2014 4.00,"8,1","10,9","0,2","58,7","0,2",,,
28/04/2014 5.00,"4,9","7,9","0,2","49,1","0,1",,,
28/04/2014 6.00,"4,7","7,9","0,2","44,0","0,1",,,
28/04/2014 7.00,"7,9","12,1","0,2","47,9","0,3",,,
28/04/2014 8.00,"11,3","18,1","0,3","47,8","0,4",,,
28/04/2014 9.00,"10,0","16,1","0,3","54,1","0,6",,,
28/04/2014 10.00,"5,1","8,9","0,2","69,9","0,5",,,
28/04/2014 11.00,"5,1","9,7","0,2","75,8","0,4",,,
28/04/2014 12.00,"3,7","7,0",,"82,2","0,2",,,
28/04/2014 13.00,"3,2","6,2","0,3","87,0","0,3",,,
28/04/2014 14.00,"3,7","7,5","0,3","87,4","0,3",,,
28/04/2014 15.00,"3,1","6,0","0,3","89,2","0,3",,,
28/04/2014 16.00,"3,1","6,1","0,3","91,6","0,2",,,
28/04/2014 17.00,"5,2","8,3","0,3","91,2","0,2",,,
28/04/2014 18.00,"5,0","8,2","0,3","83,8","0,4",,,
28/04/2014 19.00,"5,6","9,2","0,3","74,8","0,3",,,
28/04/2014 20.00,"7,3","10,7","0,3","59,7","0,6",,,
