Stat,San Vito dei Normanni,,,,,,,
,,,,,,,,,
Parm,NO2,NOX,CO,O3,BENZENE,,,
Unit,ug/m3 293K,ug/m3 293K,mg/m3 293K,ug/m3 293K,ug/m3 293K,,,
Field,Aver,Aver,Aver,Aver,Aver,,,
,,,,
,,,,,
,,,,,,,
04/01/2014 16.00,"4,4","7,3","0,3","62,3","0,8",,,
04/01/2014 17.00,"5,1","8,2","0,4","60,5","0,8",,,
04/01/2014 18.00,"10,1","15,0","0,4","50,5","1,1",,,
04/01/2014 19.00,"6,3","9,4","0,6","51,1","1,5",,,
04/01/2014 20.00,"5,9","8,6","0,6","51,9","1,5",,,
04/01/2014 21.00,"4,5","7,2","0,5","52,2","1,2",,,
04/01/2014 22.00,"4,3","7,0","0,4","58,3","1,2",,,
04/01/2014 23.00,"3,1","5,5","0,4","61,8","1,1",,,
05/01/2014 0.00,"2,3","4,9","0,4","67,3","0,7",,,
05/01/2014 1.00,"2,3","4,9","0,2","68,3","0,4",,,
05/01/2014 2.00,"2,0","4,4","0,2","69,3","0,4",,,
05/01/2014 3.00,"1,9","4,3","0,2","69,6","0,3",,,
05/01/2014 4.00,"1,9","4,2","0,2","69,3","0,3",,,
05/01/2014 5.00,"1,9","4,2","0,2","68,6","0,4",,,
05/01/2014 6.00,"2,0","4,4","0,2","68,0","0,3",,,
05/01/2014 7.00,"2,0","4,4","0,2","67,1","0,3",,,
05/01/2014 8.00,"2,4","5,1","0,2","66,4","0,4",,,
05/01/2014 9.00,"3,0","5,4","0,2","65,7","0,5",,,
05/01/2014 10.00,"2,9","5,4","0,3","65,3","0,8",,,
05/01/2014 11.00,"3,1","5,7","0,2","65,0","0,7",,,
05/01/2014 12.00,"2,7","5,3","0,2","66,2","0,6",,,
05/01/2014 13.00,"2,6","5,3","0,2","66,8","0,5",,,
05/01/2014 14.00,"2,4","4,8","0,2","67,2","0,5",,,
05/01/2014 15.00,"2,0","4,4","0,2","68,0","0,5",,,
05/01/2014 16.00,"2,3","4,7","0,2","67,7","0,5",,,
05/01/2014 17.00,"2,1","4,7","0,2","67,0","0,6",,,
05/01/2014 18.00,"2,9","5,3","0,2","65,7","0,6",,,
05/01/2014 19.00,"7,2","9,7","0,3","61,6","0,9",,,
05/01/2014 20.00,"6,3","8,8","0,3","63,6","1,7",,,
05/01/2014 21.00,"5,4","8,0","0,3","63,9","1,5",,,
05/01/2014 22.00,"8,1","10,7","0,3","54,4","0,9",,,
05/01/2014 23.00,"9,9","12,9","0,4","48,3","0,9",,,
06/01/2014 0.00,"7,6","10,3","0,4","47,0","1,8",,,
06/01/2014 1.00,"5,6","8,0","0,4","45,6","1,4",,,
06/01/2014 2.00,"5,1","7,6","0,4","38,7","1,4",,,
