,Provincia di TARANTO,,
,MARTINA FRANCA,,
Parm,NO2,CO,O3
,,,,,,,,,
,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
06/01/2010 17.00,"11,823614","0,353061",
06/01/2010 18.00,"15,127998","0,479458",
06/01/2010 19.00,"14,564711","0,434672",
06/01/2010 20.00,"25,355222","0,472382",
06/01/2010 21.00,"20,283126","0,472623",
06/01/2010 22.00,"44,143221","0,776958",
06/01/2010 23.00,"12,16365","0,343975",
07/01/2010 0.00,"6,247957","0,330627",
07/01/2010 1.00,"5,046127","0,283108",
07/01/2010 2.00,"5,474425","0,289782",
07/01/2010 3.00,"3,779404","0,265096",
07/01/2010 4.00,"3,024042","0,238",
07/01/2010 5.00,"14,70489","0,222722",
07/01/2010 6.00,"13,186375","0,252072",
07/01/2010 7.00,"40,945269","0,492805",
07/01/2010 8.00,"43,930358","0,526656",
07/01/2010 9.00,"39,221676","0,607705",
07/01/2010 10.00,"45,075094","0,613896",
07/01/2010 11.00,"30,577851","0,447054",
07/01/2010 12.00,"21,67445","0,351452",
07/01/2010 13.00,"32,623309","0,413928",
07/01/2010 14.00,"27,9899","0,43242",
07/01/2010 15.00,"19,865221","0,321783",
07/01/2010 16.00,"24,220891","0,352658",
07/01/2010 17.00,"26,268909","0,447939",
07/01/2010 18.00,"33,671983","0,54531",
07/01/2010 19.00,"42,679204","0,623384",
07/01/2010 20.00,"49,355468","0,728957",
07/01/2010 21.00,"43,19577","0,580045",
07/01/2010 22.00,"21,980753","0,378789",
07/01/2010 23.00,"7,522467","0,241217",
08/01/2010 0.00,"4,37383","0,162741",
08/01/2010 1.00,"2,782639","0,110423",
08/01/2010 2.00,,"0,085096",
08/01/2010 3.00,"12,046846",,
08/01/2010 4.00,"5,746979","0,169062",
08/01/2010 5.00,"4,594467","0,131269",
08/01/2010 6.00,"8,355702","0,109513",
08/01/2010 7.00,"15,561481","0,218783",
08/01/2010 8.00,"14,222073","0,259396",
08/01/2010 9.00,"16,041693","0,277447",
08/01/2010 10.00,"12,573776","0,28204",
08/01/2010 11.00,"12,394672","0,276238",
08/01/2010 12.00,"13,092928","0,29034",
08/01/2010 13.00,"14,647784","0,302749",
08/01/2010 14.00,"14,881402","0,291146",
08/01/2010 15.00,"9,926127","0,26689",
08/01/2010 16.00,"9,663955","0,263425",
08/01/2010 17.00,"18,274036","0,294691",
08/01/2010 18.00,"16,584209","0,315724",
08/01/2010 19.00,"15,470636","0,37052",
08/01/2010 20.00,"12,804801","0,402673",
08/01/2010 21.00,"9,793744","0,347392",
08/01/2010 22.00,"5,49","0,330148",
08/01/2010 23.00,"3,338128","0,321687",
09/01/2010 0.00,"2,870893","0,325314",
09/01/2010 1.00,"1,817021","0,289051",
09/01/2010 2.00,"1,443233","0,303314",
09/01/2010 3.00,"0,693064","0,310486",
09/01/2010 4.00,"0,755362","0,279059",
09/01/2010 5.00,"1,017532","0,316932",
09/01/2010 6.00,"6,569829","0,343445",
09/01/2010 7.00,"12,16365","0,397595",
09/01/2010 8.00,"18,118295","0,410812",
09/01/2010 9.00,"14,2065","0,458839",
09/01/2010 10.00,"10,61399","0,464561",
09/01/2010 11.00,"12,758082","0,442079",
09/01/2010 12.00,"17,440802","0,499937",
09/01/2010 13.00,"23,740654","0,505013",
09/01/2010 14.00,"27,517465","0,544499",
09/01/2010 15.00,"17,445995","0,500338",
09/01/2010 16.00,"18,9645","0,545627",
09/01/2010 17.00,"22,855512","0,598408",
09/01/2010 18.00,"26,985337","0,700265",
09/01/2010 19.00,"21,303254","0,637894",
09/01/2010 20.00,"19,22927","0,552799",
09/01/2010 21.00,"19,784744","0,539664",
09/01/2010 22.00,"8,212934","0,45336",
09/01/2010 23.00,"5,791106","0,445382",
10/01/2010 0.00,"5,500382","0,417017",
10/01/2010 1.00,"6,276509","0,407992",
10/01/2010 2.00,,"0,391794",
10/01/2010 3.00,"17,15787",,
10/01/2010 4.00,"13,116291","0,239591",
10/01/2010 5.00,"22,938569","0,412165",
10/01/2010 6.00,"6,050681","0,168952",
10/01/2010 7.00,"8,94753","0,218191",
10/01/2010 8.00,"5,136978","0,154874",
10/01/2010 9.00,"9,13702","0,222536",
10/01/2010 10.00,"8,280425","0,267992",
10/01/2010 11.00,"15,294124","0,371697",
10/01/2010 12.00,"14,289563","0,344423",
10/01/2010 13.00,"9,918339","0,281105",
10/01/2010 14.00,"8,885234","0,246269",
10/01/2010 15.00,"7,634084","0,240155",
10/01/2010 16.00,"9,975444","0,264371",
10/01/2010 17.00,"10,393351","0,347561",
10/01/2010 18.00,"21,282491","0,487711",
10/01/2010 19.00,"29,770584","0,484976",
10/01/2010 20.00,"27,673217","0,403717",
10/01/2010 21.00,"24,724454","0,440646",
10/01/2010 22.00,"15,763951","0,349813",
10/01/2010 23.00,"14,858036","0,345227",
11/01/2010 0.00,"18,053398","0,374433",
11/01/2010 1.00,"8,106511","0,275393",
11/01/2010 2.00,"8,36868","0,272577",
11/01/2010 3.00,"3,968893","0,261556",
11/01/2010 4.00,"1,783276","0,23404",
11/01/2010 5.00,"37,469558","0,23935",
11/01/2010 6.00,"30,972409","0,334607",
11/01/2010 7.00,"36,145729","0,362525",
11/01/2010 8.00,"39,499435","0,595922",
11/01/2010 9.00,"68,605499","0,880728",
11/01/2010 10.00,"40,919303","0,468965",
11/01/2010 11.00,"26,590795","0,435416",
11/01/2010 12.00,"21,092993","0,424555",
11/01/2010 13.00,"24,85684","0,337102",
11/01/2010 14.00,"27,670617","0,297519",
11/01/2010 15.00,"22,06381","0,29961",
11/01/2010 16.00,"22,572575","0,243211",
11/01/2010 17.00,"41,121766","0,358904",
11/01/2010 18.00,"48,626058","0,645804",
11/01/2010 19.00,"57,054443","0,704212",
11/01/2010 20.00,"74,879424","0,952653",
11/01/2010 21.00,"63,081775","0,824249",
11/01/2010 22.00,"62,399078","0,941792",
11/01/2010 23.00,"49,503417","0,919184",
12/01/2010 0.00,"28,03143","0,500503",
12/01/2010 1.00,"22,889258","0,432841",
12/01/2010 2.00,,"0,342491",
12/01/2010 3.00,"19,904149",,
12/01/2010 4.00,"12,877478","0,439782",
12/01/2010 5.00,"8,288212","0,395926",
12/01/2010 6.00,"16,200039","0,409253",
12/01/2010 7.00,"34,967268","0,626439",
12/01/2010 8.00,"59,878619","0,932793",
12/01/2010 9.00,"74,427754","1,561493",
12/01/2010 10.00,"37,786243","0,578947",
12/01/2010 11.00,"36,223604","0,281154",
12/01/2010 12.00,"36,298879","0,465953",
12/01/2010 13.00,"47,143897","0,598493","42,419804"
12/01/2010 14.00,"52,563803","0,759949","43,004022"
12/01/2010 15.00,"37,973122","0,544701","56,249363"
12/01/2010 16.00,"36,285896","0,590174","53,991202"
12/01/2010 17.00,"46,645515","0,728207","43,819997"
12/01/2010 18.00,"44,382013","0,743958","43,277814"
12/01/2010 19.00,"47,686406","0,760514","43,916214"
12/01/2010 20.00,"49,46189","0,70858","40,61437"
12/01/2010 21.00,"55,894143","0,797506","26,42156"
12/01/2010 22.00,"51,12837","0,777395","18,280807"
12/01/2010 23.00,"25,954826","0,548417","41,32461"
13/01/2010 0.00,"19,979423","0,470718","44,008401"
13/01/2010 1.00,"17,196798","0,428637","37,744902"
13/01/2010 2.00,"18,590716","0,445921","28,450654"
13/01/2010 3.00,"6,201234","0,369111","52,432452"
13/01/2010 4.00,"11,740552","0,390757","30,895868"
13/01/2010 5.00,"15,745784","0,375814","41,594354"
13/01/2010 6.00,"30,899717","0,447214","20,81547"
13/01/2010 7.00,"95,904939","0,895075","1,081641"
13/01/2010 8.00,"137,3589","1,483875","5,721309"
13/01/2010 9.00,"111,762269","1,681756","4,211349"
13/01/2010 10.00,"78,409648","1,26144","14,604854"
13/01/2010 11.00,"42,21717","0,762936","40,030175"
13/01/2010 12.00,"35,429302","0,674738","54,152499"
13/01/2010 13.00,"43,577347","0,655354","52,534115"
13/01/2010 14.00,"40,428704","0,620947","54,342262"
13/01/2010 15.00,"37,500706","0,568205","53,337883"
13/01/2010 16.00,"52,459981","0,727075","38,80215"
13/01/2010 17.00,"63,953934","0,837163","24,298941"
13/01/2010 18.00,"77,695799","1,184225","13,35514"
13/01/2010 19.00,"85,537542","1,241166","11,124086"
13/01/2010 20.00,"76,608199","1,106849","14,249733"
13/01/2010 21.00,"71,852786","1,008472","18,043601"
13/01/2010 22.00,"63,281637","0,814306","22,061109"
13/01/2010 23.00,"46,082237","0,857194","15,87626"
14/01/2010 0.00,"57,051843","1,147394","9,569402"
14/01/2010 1.00,"38,699929","0,983111","17,272362"
14/01/2010 2.00,,"0,65592","44,417738"
14/01/2010 3.00,"27,919808",,"36,365059"
14/01/2010 4.00,"19,086499","0,364078",
14/01/2010 5.00,"10,902116","0,263219","53,022054"
14/01/2010 6.00,"16,80744","0,27135","46,345166"
14/01/2010 7.00,"31,299477","0,437974","35,905571"
14/01/2010 8.00,"60,82347","0,944529","17,669503"
14/01/2010 9.00,"80,644562","1,337103","15,685141"
14/01/2010 10.00,"57,469765","0,753595","26,943413"
14/01/2010 11.00,"48,096531","0,690245","38,560877"
14/01/2010 12.00,"47,273681","0,598642","41,866792"
14/01/2010 13.00,"57,558026","0,73653","37,103789"
14/01/2010 14.00,"69,926753","0,953866","37,612075"
14/01/2010 15.00,"50,012182","0,560648","51,140707"
14/01/2010 16.00,"59,606064","0,654747","42,8522"
14/01/2010 17.00,"81,052105","1,051346","21,406429"
14/01/2010 18.00,"87,826991","1,412044","12,178623"
14/01/2010 19.00,"94,656389","1,739981","8,012001"
14/01/2010 20.00,"87,050853","2,01793","8,212607"
14/01/2010 21.00,"70,230434","1,698124","5,612875"
14/01/2010 22.00,"60,649556","1,540594","6,782619"
14/01/2010 23.00,"53,407418","1,200503","5,137115"
15/01/2010 0.00,"47,727937","0,979464","4,954132"
15/01/2010 1.00,"37,054233","0,93825","5,387872"
15/01/2010 2.00,"26,305258","0,68123","17,607155"
15/01/2010 3.00,"19,574501","0,626995","11,067159"
15/01/2010 4.00,"16,802253","0,544308","9,356598"
15/01/2010 5.00,"18,377869","0,519113","6,548127"
15/01/2010 6.00,"50,949254","0,679218","1,858307"
15/01/2010 7.00,"79,227294","0,874338","0,860703"
15/01/2010 8.00,"202,898755","3,503545","8,642283"
15/01/2010 9.00,"90,547329","2,006983","1,707854"
15/01/2010 10.00,"98,261884","1,675262","14,23617"
15/01/2010 11.00,"62,03308","0,81316","38,212529"
15/01/2010 12.00,"50,93369","0,722443","49,042488"
15/01/2010 13.00,"54,700102","0,73331","47,265501"
15/01/2010 14.00,"62,964952","0,794648","45,019551"
15/01/2010 15.00,"44,382013",,"56,079931"
15/01/2010 16.00,"50,718227",,"45,712174"
15/01/2010 17.00,"64,935134","1,439486","24,504985"
15/01/2010 18.00,"63,465935","1,577644","25,470046"
15/01/2010 19.00,"65,0675","1,607278","28,414066"
15/01/2010 20.00,"69,498445","1,727939","20,980837"
15/01/2010 21.00,"66,679466","1,640458","24,244736"
15/01/2010 22.00,"47,818794","1,349561","43,813212"
15/01/2010 23.00,"30,110615","1,16317","57,913851"
16/01/2010 0.00,"19,291564","1,14591","59,158134"
16/01/2010 1.00,"17,349953","1,120768","56,212777"
16/01/2010 2.00,,"1,074032","54,515751"
16/01/2010 3.00,"18,603695",,"56,489282"
16/01/2010 4.00,"11,003357","0,37126",
16/01/2010 5.00,"9,635403","0,358068","56,635655"
16/01/2010 6.00,"13,510847","0,423711","53,089843"
16/01/2010 7.00,"29,287767","0,638646","42,258511"
16/01/2010 8.00,"43,211334","0,782885","33,810061"
16/01/2010 9.00,"53,96291","1,048454","28,460152"
16/01/2010 10.00,"41,563034","0,831701","36,102119"
16/01/2010 11.00,"41,433269","0,792285","39,609986"
16/01/2010 12.00,"37,67722","0,75113","44,847401"
16/01/2010 13.00,"46,886904","0,752157","45,895175"
16/01/2010 14.00,"45,70326","0,651285","55,690925"
16/01/2010 15.00,"23,917169","0,467867","70,550599"
16/01/2010 16.00,"28,210527","0,550491","69,532673"
16/01/2010 17.00,"31,117762","0,594569","65,014996"
16/01/2010 18.00,"43,476107","0,790467","53,133214"
16/01/2010 19.00,"49,046583","0,81385","45,167297"
16/01/2010 20.00,"52,330196","0,851686","39,341619"
