,Regione Puglia,,,,,,,,
,S.Barbara Galatina,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10


05/01/2007 3.00,"0,71734095",,,"12,19090818",,,,,
05/01/2007 4.00,"0,70600445",,,"8,75155286",,,,,
05/01/2007 5.00,"0,60095445",,,"4,52178631",,,,,
05/01/2007 6.00,"0,53054246",,,"4,26740427",,,,,
05/01/2007 7.00,"0,588484",,,"6,73336038",,,,,
05/01/2007 8.00,"0,73195219",,,"12,52316215",,,,,
05/01/2007 9.00,"0,86824036",,,"16,34798814",,,,,
05/01/2007 10.00,"0,86622568",,,"15,93916238",,,,,
05/01/2007 11.00,"1,05428322",,,"18,43756896",,,,,
05/01/2007 12.00,"1,03274418",,,"15,23700906",,,,,
05/01/2007 13.00,"1,32849795",,,"18,87235394",,,,,
05/01/2007 14.00,"1,07078405",,,"18,21562974",,,,,
05/01/2007 15.00,"1,17646458",,,"17,73022838",,,,,
05/01/2007 16.00,"1,30872238",,,"20,30131008",,,,,
05/01/2007 17.00,"1,33933103",,,"24,34677704",,,,,
05/01/2007 18.00,"1,27433558",,,"23,64591432",,,,,
05/01/2007 19.00,"1,14887948",,,"21,56672904",,,,,
05/01/2007 20.00,"1,26287297",,,"21,02161784",,,,,
05/01/2007 21.00,"1,22785664",,,"21,07612896",,,,,
05/01/2007 22.00,"0,95011496",,,"21,85744864",,,,,
05/01/2007 23.00,"0,95905744",,,"20,17930536",,,,,
06/01/2007 0.00,"0,85551871",,,"14,99690393",,,,,
06/01/2007 1.00,,,,"8,18567926",,,,,
06/01/2007 2.00,"0,80846212",,,"5,5081699",,,,,
06/01/2007 3.00,"0,63539618",,,"4,3309993",,,,,
06/01/2007 4.00,"0,72662108",,,"3,59899966",,,,,
06/01/2007 5.00,"0,56322172",,,"3,66000011",,,,,
06/01/2007 6.00,"0,4737603",,,"3,12138206",,,,,
06/01/2007 7.00,"0,2452404",,,"3,20704158",,,,,
06/01/2007 8.00,"0,47949109",,,"4,1830411",,,,,
06/01/2007 9.00,"0,60938538",,,"5,23172338",,,,,
06/01/2007 10.00,"0,83056763",,,"6,72297822",,,,,
06/01/2007 11.00,"0,89442913",,,"5,9546372",,,,,
06/01/2007 12.00,"1,28285194",,,"5,90661541",,,,,
06/01/2007 13.00,"1,9236016",,,"5,61589198",,,,,
06/01/2007 14.00,"1,53121046",,,"5,3147864",,,,,
06/01/2007 15.00,"1,93131656",,,"3,95072354",,,,,
06/01/2007 16.00,"2,75848436",,,"5,30570058",,,,,
06/01/2007 17.00,"1,78196198",,,"5,90531907",,,,,
06/01/2007 18.00,"1,09791455",,,"5,93906205",,,,,
06/01/2007 19.00,"1,19738936",,,"7,67042394",,,,,
06/01/2007 20.00,"1,06195343",,,"9,74702037",,,,,
06/01/2007 21.00,"0,86413575",,,"8,03383013",,,,,
06/01/2007 22.00,"0,7506477",,,"10,12859438",,,,,
06/01/2007 23.00,"0,88816237",,,"10,79569883",,,,,
07/01/2007 0.00,"0,79945658",,,"12,1792335",,,,,
07/01/2007 1.00,"0,60579537",,,"10,53222714",,,,,
07/01/2007 2.00,"0,49419691",,,"7,88457367",,,,,
07/01/2007 3.00,"0,37343426",,,"6,95010662",,,,,
07/01/2007 4.00,"0,35857183",,,"8,77880651",,,,,
07/01/2007 5.00,"0,38829772",,,"9,4666791",,,,,
07/01/2007 6.00,"0,37935422",,,"6,80344474",,,,,
07/01/2007 7.00,"0,20439869",,,"5,56138278",,,,,
07/01/2007 8.00,"0,4737603",,,"6,24925537",,,,,
07/01/2007 9.00,"0,62239078",,,"9,32521214",,,,,
07/01/2007 10.00,"0,55550676",,,"9,48225426",,,,,
07/01/2007 11.00,"0,88476152",,,"8,06238202",,,,,
07/01/2007 12.00,"1,08034283",,,"3,60419074",,,,,
07/01/2007 13.00,"1,04290197",,,"3,12916964",,,,,
07/01/2007 14.00,"1,33062144",,,"2,7385098",,,,,
07/01/2007 15.00,"0,90938615",,,"2,50100116",,,,,
07/01/2007 16.00,"0,95929745",,,"3,05519054",,,,,
07/01/2007 17.00,"1,01456123",,,"3,74176488",,,,,
07/01/2007 18.00,"1,01138108",,,"5,94814787",,,,,
07/01/2007 19.00,"0,73036872",,,"7,24602112",,,,,
07/01/2007 20.00,"0,87704656",,,"21,28121008",,,,,
07/01/2007 21.00,"0,84032981",,,"22,07029248",,,,,
07/01/2007 22.00,"0,83258332",,,"21,2617268",,,,,
07/01/2007 23.00,"1,0577339",,,"21,647186",,,,,
08/01/2007 0.00,"0,75433229",,,"21,08651112",,,,,
08/01/2007 1.00,,,,"15,47711611",,,,,
08/01/2007 2.00,"0,77904031",,,"9,90925357",,,,,
08/01/2007 3.00,"0,57242455",,,"7,49780858",,,,,
08/01/2007 4.00,"0,60651338",,,"6,47638185",,,,,
08/01/2007 5.00,"0,49047368",,,"7,43940271",,,,,
08/01/2007 6.00,"0,60054257",,,"8,07925542",,,,,
08/01/2007 7.00,"0,47293958",,,"9,46538086",,,,,
08/01/2007 8.00,"0,61776038",,,"13,9949471",,,,,
08/01/2007 9.00,"1,14491419",,,"18,9333563",,,,,
08/01/2007 10.00,"0,81688898",,,"18,88663466",,,,,
08/01/2007 11.00,"1,01020339",,,"15,23441639",,,,,
08/01/2007 12.00,"0,97990594",,,"7,81059457",,,,,
08/01/2007 13.00,,,,,,,,,
08/01/2007 14.00,"1,17334748",,,"3,68855201",,,,,
08/01/2007 15.00,"1,03118105",,,"3,47699877",,,,,
08/01/2007 16.00,"0,82074239",,,"4,53736146",,,,,
08/01/2007 17.00,"0,84146783",,,"5,84172213",,,,,
08/01/2007 18.00,"0,98935286",,,"4,95268037",,,,,
08/01/2007 19.00,"0,86623585",,,"7,47704234",,,,,
08/01/2007 20.00,"1,17145179",,,"21,28379128",,,,,
08/01/2007 21.00,"0,97036547",,,"15,65233562",,,,,
08/01/2007 22.00,"0,97990594",,,"12,85931087",,,,,
08/01/2007 23.00,"1,04255416",,,"13,3992329",,,,,
09/01/2007 0.00,"1,19795786",,,"16,50503982",,,,,
09/01/2007 1.00,"0,86241295",,,"9,64448746",,,,,
09/01/2007 2.00,"0,87195444",,,"6,94751012",,,,,
09/01/2007 3.00,"0,77335426",,,"5,19148917",,,,,
09/01/2007 4.00,"0,80936928",,,"4,62431731",,,,,
09/01/2007 5.00,"0,75060702",,,"6,82680747",,,,,
09/01/2007 6.00,"0,77524995",,,"7,02148922",,,,,
09/01/2007 7.00,"0,69351976",,,"8,27393526",,,,,
09/01/2007 8.00,"0,65766136",,,"8,62695547",,,,,
09/01/2007 9.00,"0,87574582",,,"16,30775774",,,,,
09/01/2007 10.00,"1,14864251",,,"20,31429256",,,,,
09/01/2007 11.00,"0,98000052",,,"13,88982151",,,,,
09/01/2007 12.00,"0,75613543",,,,,,,,
09/01/2007 13.00,"0,82260655",,,,,,,,
09/01/2007 14.00,"0,72953478",,,"6,24146779",,,,,
09/01/2007 15.00,"0,64613061",,,"4,66195694",,,,,
09/01/2007 16.00,"0,92303937",,,"4,55423295",,,,,
09/01/2007 17.00,"0,50889256",,,"5,61589198",,,,,
09/01/2007 18.00,"0,71083215",,,"7,70157233",,,,,
09/01/2007 19.00,"0,79420479",,,"12,90863474",,,,,
09/01/2007 20.00,"0,95336834",,,"21,46808896",,,,,
09/01/2007 21.00,"1,13543677",,,"18,06507503",,,,,
09/01/2007 22.00,"0,83783409",,,"19,41744984",,,,,
09/01/2007 23.00,"0,83969825",,,"18,04819972",,,,,
