,Regione Puglia,,,,,,,,
,S.Barbara Galatina,,,,,,,,
Parm,SO2,NOX,NO,NO2,CO,O3,BENZENE,TEMP,PM10


24/02/2007 23.00,"0,31578201",,,"6,35095009",,,,,
25/02/2007 0.00,"0,30990699",,,"5,79425121",,,,,
25/02/2007 1.00,,,,"5,91554938",,,,,
25/02/2007 2.00,"0,62807399",,,"5,28224301",,,,,
25/02/2007 3.00,"0,36508399",,,"5,11497885",,,,,
25/02/2007 4.00,"0,48142701",,,"5,47121391",,,,,
25/02/2007 5.00,"0,54383802",,,"3,72450979",,,,,
25/02/2007 6.00,"0,50974602",,,"3,49340449",,,,,
25/02/2007 7.00,"0,59398299",,,"3,11929428",,,,,
25/02/2007 8.00,"0,56656498",,,"4,48933191",,,,,
25/02/2007 9.00,"0,44390899",,,"4,81620081",,,,,
25/02/2007 10.00,"0,409096",,,"3,15759896",,,,,
25/02/2007 11.00,"0,53806603",,,"2,73241396",,,,,
25/02/2007 12.00,"0,520208",,,"2,37107198",,,,,
25/02/2007 13.00,"0,491528",,,"2,13485788",,,,,
25/02/2007 14.00,"0,70094699",,,"2,2395581",,,,,
25/02/2007 15.00,"0,56854898",,,"2,77199584",,,,,
25/02/2007 16.00,"0,465734",,,"2,11698274",,,,,
25/02/2007 17.00,"0,76912898",,,"2,44895855",,,,,
25/02/2007 18.00,"0,59632802",,,"2,58047054",,,,,
25/02/2007 19.00,"0,45076299",,,"3,26102198",,,,,
25/02/2007 20.00,"0,71104801",,,"4,83918287",,,,,
25/02/2007 21.00,"0,62951702",,,"4,62595271",,,,,
25/02/2007 22.00,"0,58117598",,,"4,61190728",,,,,
25/02/2007 23.00,"0,63150102",,,"4,86599652",,,,,
26/02/2007 0.00,"0,63546902",,,"3,9722168",,,,,
26/02/2007 1.00,"0,44679499",,,"3,18313542",,,,,
26/02/2007 2.00,"0,522012",,,"2,96224394",,,,,
26/02/2007 3.00,"0,637995",,,"2,7119863",,,,,
26/02/2007 4.00,"0,341093",,,"2,89074149",,,,,
26/02/2007 5.00,"0,50451499",,,"2,84732989",,,,,
26/02/2007 6.00,"0,36400101",,,"2,48598603",,,,,
26/02/2007 7.00,"0,36652699",,,"2,72092293",,,,,
26/02/2007 8.00,"0,56909102",,,"3,33763135",,,,,
26/02/2007 9.00,"0,56277698",,,"3,34401547",,,,,
26/02/2007 10.00,"0,37464401",,,"3,24697656",,,,,
26/02/2007 11.00,"0,56079298",,,"2,73496836",,,,,
26/02/2007 12.00,"0,55718601",,,"2,70304779",,,,,
26/02/2007 13.00,"0,66451001",,,"2,90606412",,,,,
26/02/2007 14.00,"0,56620502",,,"2,62005431",,,,,
26/02/2007 15.00,"0,696437",,,"3,10524885",,,,,
26/02/2007 16.00,"0,51209098",,,,,,,,
26/02/2007 17.00,"0,30952701",,,,,,,,
26/02/2007 18.00,"0,414868",,,"6,21943621",,,,,
26/02/2007 19.00,"0,35047299",,,"6,24752519",,,,,
26/02/2007 20.00,"0,32576099",,,"6,70973767",,,,,
26/02/2007 21.00,"0,44914001",,,"6,1645317",,,,,
26/02/2007 22.00,"0,495857",,,"7,11577033",,,,,
26/02/2007 23.00,"0,29816401",,,"7,13109108",,,,,
27/02/2007 0.00,"0,42388701",,,"6,63568082",,,,,
27/02/2007 1.00,,,,"7,44136015",,,,,
27/02/2007 2.00,"0,45415801",,,,,,,,
27/02/2007 3.00,"0,44876501",,,"8,26874621",,,,,
27/02/2007 4.00,"0,345411",,,"7,18216399",,,,,
27/02/2007 5.00,"0,47932199",,,"7,65586939",,,,,
27/02/2007 6.00,"0,50298798",,,"7,43880763",,,,,
27/02/2007 7.00,"0,49819499",,,"6,26795473",,,,,
27/02/2007 8.00,"0,51527101",,,"8,3632326",,,,,
27/02/2007 9.00,"0,52725399",,,"8,66584036",,,,,
27/02/2007 10.00,"0,70729899",,,"10,10481853",,,,,
27/02/2007 11.00,"0,77440399",,,"10,47637434",,,,,
27/02/2007 12.00,"0,71419001",,,"10,58619088",,,,,
27/02/2007 13.00,"0,66775501",,,"7,59841048",,,,,
27/02/2007 14.00,"0,58117801",,,"6,29476838",,,,,
27/02/2007 15.00,"0,46943599",,,"6,55268734",,,,,
27/02/2007 16.00,"0,70520198",,,"6,96765851",,,,,
27/02/2007 17.00,"0,788185",,,"7,95464555",,,,,
27/02/2007 18.00,"0,66416001",,,"8,11169588",,,,,
27/02/2007 19.00,"0,947559",,,"10,66407368",,,,,
27/02/2007 20.00,"0,79477602",,,"10,19675052",,,,,
27/02/2007 21.00,"0,56020701",,,"9,8992572",,,,,
27/02/2007 22.00,"0,77710098",,,"7,25366644",,,,,
27/02/2007 23.00,"0,686629",,,"6,6331283",,,,,
28/02/2007 0.00,"0,52785301",,,"6,25007958",,,,,
28/02/2007 1.00,"0,415512",,,"6,32158204",,,,,
28/02/2007 2.00,"0,62910998",,,"5,2745817",,,,,
28/02/2007 3.00,"0,47393",,,"5,62443265",,,,,
28/02/2007 4.00,"0,60394597",,,,,,,,
28/02/2007 5.00,"0,52365899",,,,,,,,
28/02/2007 6.00,"0,42150399",,,,,,,,
28/02/2007 7.00,"0,449065",,,,,,,,
28/02/2007 8.00,"0,610237",,,,,,,,
28/02/2007 9.00,"0,74294901",,,,,,,,
28/02/2007 10.00,"1,05480802",,,,,,,,
28/02/2007 11.00,"1,32832098",,,"11,29738193",,,,,
28/02/2007 12.00,"1,35857797",,,"12,33288936",,,,,
28/02/2007 13.00,"2,00955701",,,"9,9018116",,,,,
28/02/2007 14.00,"1,60692704",,,"6,7199515",,,,,
28/02/2007 15.00,"1,44695306",,,"5,28607273",,,,,
28/02/2007 16.00,"1,23904705",,,"5,3179933",,,,,
28/02/2007 17.00,"1,02035701",,,"7,18727279",,,,,
28/02/2007 18.00,"0,90891403",,,"9,86095252",,,,,
28/02/2007 19.00,"1,08746195",,,"11,59871061",,,,,
28/02/2007 20.00,"0,97212499",,,"21,46602843",,,,,
28/02/2007 21.00,"0,89872903",,,"11,91280751",,,,,
28/02/2007 22.00,"1,16804802",,,"10,82495561",,,,,
28/02/2007 23.00,"1,05870199",,,"8,86247258",,,,,
01/03/2007 0.00,"0,70430398",,,"7,82824046",,,,,
01/03/2007 1.00,,,,"6,57056436",,,,,
01/03/2007 2.00,"0,85964799",,,,,,,,
01/03/2007 3.00,"0,78852302",,,"6,42883478",,,,,
01/03/2007 4.00,"0,61653298",,,"6,75698087",,,,,
01/03/2007 5.00,"0,63529402",,,"6,36754803",,,,,
01/03/2007 6.00,"0,79775298",,,"6,87827903",,,,,
01/03/2007 7.00,"0,59529799",,,"5,90022863",,,,,
01/03/2007 8.00,"0,62914097",,,"6,87700372",,,,,
01/03/2007 9.00,"0,42451501",,,"7,469451",,,,,
01/03/2007 10.00,"0,69248402",,,"8,43473506",,,,,
01/03/2007 11.00,"0,55186301",,,"5,91299498",,,,,
01/03/2007 12.00,"0,64156801",,,"6,53864191",,,,,
01/03/2007 13.00,"0,58552498",,,"6,356057",,,,,
01/03/2007 14.00,"0,47699901",,,"7,99295211",,,,,
01/03/2007 15.00,"0,37884799",,,"6,03557222",,,,,
01/03/2007 16.00,"0,344643",,,"5,64996911",,,,,
01/03/2007 17.00,"0,451722",,,"7,600963",,,,,
01/03/2007 18.00,"0,41787899",,,"7,80908812",,,,,
01/03/2007 19.00,"0,538109",,,"9,06420983",,,,,
01/03/2007 20.00,"0,40732199",,,"8,43090346",,,,,
01/03/2007 21.00,"0,549631",,,"12,24478708",,,,,
01/03/2007 22.00,"0,52906001",,,"18,31866775",,,,,
01/03/2007 23.00,"0,486168",,,"15,26959873",,,,,
02/03/2007 0.00,"0,53346401",,,"10,82622529",,,,,
02/03/2007 1.00,"0,63113201",,,"7,17067296",,,,,
02/03/2007 2.00,"0,42035201",,,"5,71763996",,,,,
02/03/2007 3.00,"0,53117198",,,"5,36012958",,,,,
02/03/2007 4.00,"0,33939499",,,"5,13157679",,,,,
02/03/2007 5.00,"0,573219",,,"8,35684661",,,,,
02/03/2007 6.00,"0,37842599",,,"9,32468318",,,,,
02/03/2007 7.00,"0,364732",,,"11,393138",,,,,
02/03/2007 8.00,"0,58805901",,,"12,28692713",,,,,
02/03/2007 9.00,"0,52471501",,,"10,76561571",,,,,
02/03/2007 10.00,"0,50173199",,,"8,24576227",,,,,
02/03/2007 11.00,"0,54565001",,,"5,70104202",,,,,
02/03/2007 12.00,"0,57146901",,,"6,29476838",,,,,
02/03/2007 13.00,"0,56085199",,,"4,78172584",,,,,
02/03/2007 14.00,"0,57104701",,,"5,99343594",,,,,
02/03/2007 15.00,"0,467527",,,"5,66656893",,,,,
02/03/2007 16.00,"0,701774",,,"6,31519792",,,,,
02/03/2007 17.00,"0,54625303",,,"5,48270494",,,,,
02/03/2007 18.00,"0,61484402",,,"6,04195634",,,,,
02/03/2007 19.00,"0,54378003",,,"6,75698087",,,,,
02/03/2007 20.00,"0,33444801",,,"5,62187825",,,,,
02/03/2007 21.00,"0,38548401",,,"5,89256732",,,,,
02/03/2007 22.00,"0,369739",,,"5,35629798",,,,,
02/03/2007 23.00,"0,522484",,,"5,16349736",,,,,
03/03/2007 0.00,"0,453471",,,"5,0421992",,,,,
03/03/2007 1.00,,,,"5,29628656",,,,,
03/03/2007 2.00,"0,738258",,,,,,,,
03/03/2007 3.00,"0,87457001",,,"6,94595177",,,,,
03/03/2007 4.00,"0,848032",,,"5,39460266",,,,,
03/03/2007 5.00,"0,72740102",,,"6,43138917",,,,,
03/03/2007 6.00,"0,92945701",,,"9,23530559",,,,,
03/03/2007 7.00,"0,76841599",,,"9,60558608",,,,,
03/03/2007 8.00,"0,98313802",,,"19,21370022",,,,,
03/03/2007 9.00,"1,15624201",,,"19,65295134",,,,,
03/03/2007 10.00,"0,98494703",,,"9,38469461",,,,,
03/03/2007 11.00,"0,71895701",,,"5,52994814",,,,,
03/03/2007 12.00,"0,870951",,,"6,79911527",,,,,
03/03/2007 13.00,"0,64054698",,,"6,46075535",,,,,
03/03/2007 14.00,"0,69603699",,,"5,92065817",,,,,
03/03/2007 15.00,"0,757559",,,"5,61804854",,,,,
03/03/2007 16.00,"0,77686",,,"5,39587986",,,,,
03/03/2007 17.00,"0,79012901",,,"5,86064675",,,,,
03/03/2007 18.00,"0,77263802",,,"6,51438266",,,,,
03/03/2007 19.00,"0,82571501",,,"8,17681422",,,,,
03/03/2007 20.00,"0,91860002",,,"11,24247554",,,,,
03/03/2007 21.00,"0,91679102",,,"10,57597329",,,,,
03/03/2007 22.00,"1,00062895",,,"9,86222784",,,,,
03/03/2007 23.00,"0,78289098",,,"10,41764387",,,,,
04/03/2007 0.00,"0,80943",,,"11,09819344",,,,,
04/03/2007 1.00,"0,80460501",,,"8,52538985",,,,,
04/03/2007 2.00,"0,84561902",,,"8,63136539",,,,,
04/03/2007 3.00,"0,84863502",,,"6,01386548",,,,,
04/03/2007 4.00,"0,64778501",,,"5,09071771",,,,,
04/03/2007 5.00,"0,59711999",,,"4,90813092",,,,,
04/03/2007 6.00,"0,71352899",,,"7,64693087",,,,,
04/03/2007 7.00,"0,66949898",,,"7,43753043",,,,,
04/03/2007 8.00,"0,91196603",,,"11,52209748",,,,,
04/03/2007 9.00,"1,516325",,,"15,53900684",,,,,
04/03/2007 10.00,"1,065166",,,"9,30042392",,,,,
04/03/2007 11.00,"0,96082097",,,"8,03508651",,,,,
04/03/2007 12.00,"1,09351504",,,"6,24369547",,,,,
04/03/2007 13.00,"0,98132801",,,"5,72274876",,,,,
04/03/2007 14.00,"0,72438502",,,"5,92193349",,,,,
04/03/2007 15.00,"0,80701703",,,"5,87213778",,,,,
04/03/2007 16.00,"0,75695598",,,"5,96279257",,,,,
04/03/2007 17.00,"0,861301",,,"6,356057",,,,,
04/03/2007 18.00,"0,61159599",,,"6,76081058",,,,,
04/03/2007 19.00,"0,895078",,,"8,86757949",,,,,
04/03/2007 20.00,"0,87457001",,,"9,71667041",,,,,
04/03/2007 21.00,"0,82993698",,,"11,84130882",,,,,
04/03/2007 22.00,"0,85285699",,,"9,09230068",,,,,
04/03/2007 23.00,"0,94694901",,,"7,87165206",,,,,
05/03/2007 0.00,"0,76720899",,,"6,70590796",,,,,
05/03/2007 1.00,,,,"6,11345879",,,,,
05/03/2007 2.00,"0,21586201",,,,,,,,
05/03/2007 3.00,"0,29607299",,,"7,53073774",,,,,
05/03/2007 4.00,"0,188732",,,"7,05958862",,,,,
05/03/2007 5.00,"0,27021301",,,"6,97659514",,,,,
05/03/2007 6.00,"0,34443501",,,"7,77078156",,,,,
05/03/2007 7.00,"0,17221799",,,"9,1561437",,,,,
05/03/2007 8.00,"0,199983",,,"14,53158838",,,,,
05/03/2007 9.00,"0,39179999",,,"21,79162953",,,,,
05/03/2007 10.00,"0,46965101",,,"15,32322604",,,,,
05/03/2007 11.00,"0,56819099",,,"11,40718719",,,,,
05/03/2007 12.00,"0,726798",,,"7,75929241",,,,,
05/03/2007 13.00,"0,86090702",,,"8,7756475",,,,,
05/03/2007 14.00,"0,98203999",,,"8,3632326",,,,,
05/03/2007 15.00,"2,31196189",,,"10,80452231",,,,,
05/03/2007 16.00,"1,74885201",,,"9,92351834",,,,,
05/03/2007 17.00,"0,76263899",,,"7,82568607",,,,,
05/03/2007 18.00,"0,48344299",,,"11,04711864",,,,,
05/03/2007 19.00,"0,44188601",,,"23,62899033",,,,,
05/03/2007 20.00,"0,60512102",,,"25,50464829",,,,,
05/03/2007 21.00,"0,57036901",,,"19,98874746",,,,,
05/03/2007 22.00,"0,52663398",,,"19,68615099",,,,,
05/03/2007 23.00,"0,604123",,,"32,15565738",,,,,
06/03/2007 0.00,"0,55839199",,,"34,59057426",,,,,
06/03/2007 1.00,"0,77007902",,,"25,20970749",,,,,
06/03/2007 2.00,"0,604213",,,"20,12026698",,,,,
06/03/2007 3.00,"0,49269801",,,"15,18149645",,,,,
06/03/2007 4.00,"0,54695898",,,"10,90539094",,,,,
06/03/2007 5.00,"0,53643298",,,"8,95567989",,,,,
06/03/2007 6.00,"0,26186499",,,"9,86605943",,,,,
06/03/2007 7.00,"0,30687001",,,"14,60820151",,,,,
06/03/2007 8.00,"0,40776899",,,"23,1489027",,,,,
06/03/2007 9.00,"0,576267",,,"16,99459235",,,,,
06/03/2007 10.00,"0,80129302",,,"10,10481853",,,,,
06/03/2007 11.00,"0,57953298",,,"6,92424503",,,,,
06/03/2007 12.00,"0,71935803",,,"6,38414598",,,,,
06/03/2007 13.00,"0,58143902",,,"5,61038722",,,,,
06/03/2007 14.00,"0,51547301",,,"5,29245684",,,,,
06/03/2007 15.00,"0,59368801",,,"4,72809853",,,,,
06/03/2007 16.00,"0,41466501",,,"4,29908381",,,,,
06/03/2007 17.00,"0,51937503",,,"5,15966765",,,,,
06/03/2007 18.00,"0,49542001",,,"6,24114107",,,,,
06/03/2007 19.00,"0,492971",,,"11,50805769",,,,,
06/03/2007 20.00,"0,51138997",,,"14,74737858",,,,,
06/03/2007 21.00,"0,469924",,,"11,97154926",,,,,
06/03/2007 22.00,"0,491519",,,"9,99246452",,,,,
06/03/2007 23.00,"0,46329999",,,"8,72712898",,,,,
07/03/2007 0.00,"0,50122797",,,"7,18216399",,,,,
07/03/2007 1.00,,,,"6,16836142",,,,,
07/03/2007 2.00,"0,869986",,,,,,,,
07/03/2007 3.00,"0,94900101",,,"7,52690803",,,,,
07/03/2007 4.00,"0,777695",,,"4,92089915",,,,,
07/03/2007 5.00,"0,82679498",,,"6,17346833",,,,,
07/03/2007 6.00,"0,88016897",,,"6,40585272",,,,,
07/03/2007 7.00,"0,72832203",,,"7,59202825",,,,,
07/03/2007 8.00,"0,80533701",,,"12,00602235",,,,,
07/03/2007 9.00,"0,70349902",,,"10,33082444",,,,,
07/03/2007 10.00,"0,83261502",,,"6,90764709",,,,,
07/03/2007 11.00,"0,73896003",,,"5,66146202",,,,,
07/03/2007 12.00,"0,64203203",,,"5,98832903",,,,,
07/03/2007 13.00,"0,81288397",,,"5,54399357",,,,,
07/03/2007 14.00,"0,74368799",,,"5,52611654",,,,,
07/03/2007 15.00,"0,69304198",,,"5,30522507",,,,,
07/03/2007 16.00,"0,683586",,,"5,17243587",,,,,
07/03/2007 17.00,"0,51637203",,,"5,81084915",,,,,
07/03/2007 18.00,"0,535285",,,"5,81468075",,,,,
07/03/2007 19.00,"0,75387198",,,"5,35885238",,,,,
07/03/2007 20.00,"0,76942098",,,"7,31367787",,,,,
07/03/2007 21.00,"0,68058503",,,"10,28996724",,,,,
07/03/2007 22.00,"0,661309",,,"7,88059058",,,,,
07/03/2007 23.00,"0,90090102",,,"7,94187732",,,,,
08/03/2007 0.00,"0,83697897",,,"6,60120585",,,,,
08/03/2007 1.00,"0,60448003",,,"6,27689324",,,,,
08/03/2007 2.00,"0,90035498",,,"5,60400311",,,,,
08/03/2007 3.00,"0,60329801",,,"6,42755946",,,,,
08/03/2007 4.00,"0,64412397",,,"5,06901285",,,,,
08/03/2007 5.00,"0,58738601",,,"5,2771361",,,,,
08/03/2007 6.00,"0,68558598",,,"5,29245684",,,,,
08/03/2007 7.00,"0,90190101",,,"6,85784949",,,,,
08/03/2007 8.00,"0,70158899",,,"9,88138206",,,,,
08/03/2007 9.00,"0,84061599",,,"9,78306595",,,,,
08/03/2007 10.00,"0,79260701",,,"7,82313355",,,,,
08/03/2007 11.00,"0,78133202",,,"8,25087107",,,,,
08/03/2007 12.00,"0,71877497",,,"9,50471745",,,,,
08/03/2007 13.00,"0,80324501",,,"8,3632326",,,,,
08/03/2007 14.00,"0,86371201",,,"9,52514699",,,,,
08/03/2007 15.00,"0,97027802",,,"9,19317119",,,,,
08/03/2007 16.00,"0,88235199",,,"7,41071678",,,,,
08/03/2007 17.00,"1,07002401",,,"7,09661799",,,,,
08/03/2007 18.00,"0,69049603",,,"8,4947446",,,,,
08/03/2007 19.00,"0,97600597",,,"10,67556283",,,,,
08/03/2007 20.00,"0,76869297",,,"10,60661478",,,,,
08/03/2007 21.00,"0,66458201",,,"12,36609277",,,,,
08/03/2007 22.00,"0,65503502",,,"15,62583756",,,,,
08/03/2007 23.00,"0,777695",,,"17,26527954",,,,,
09/03/2007 0.00,"0,589113",,,"13,92509943",,,,,
09/03/2007 1.00,,,,"11,59360745",,,,,
09/03/2007 2.00,"1,45026302",,,,,,,,
09/03/2007 3.00,"1,63887703",,,"12,54994924",,,,,
09/03/2007 4.00,"1,64430702",,,"17,92795772",,,,,
09/03/2007 5.00,"1,30871201",,,"11,25141029",,,,,
09/03/2007 6.00,"1,38727105",,,"12,4031165",,,,,
09/03/2007 7.00,"1,53968298",,,"15,60923397",,,,,
09/03/2007 8.00,"1,50963497",,,"16,26679959",,,,,
09/03/2007 9.00,"1,40682006",,,"23,77198395",,,,,
09/03/2007 10.00,"1,81843996",,,"15,96930251",,,,,
09/03/2007 11.00,"1,83545494",,,"10,22483949",,,,,
09/03/2007 12.00,"1,62041402",,,"8,92631372",,,,,
09/03/2007 13.00,"1,930668",,,"8,07466839",,,,,
09/03/2007 14.00,"2,3209281",,,"9,26084204",,,,,
09/03/2007 15.00,"1,98026502",,,"10,2682605",,,,,
09/03/2007 16.00,"2,26626301",,,"18,76172602",,,,,
09/03/2007 17.00,"2,39840102",,,"12,44142494",,,,,
09/03/2007 18.00,"1,93863201",,,"10,77388082",,,,,
09/03/2007 19.00,"1,80721796",,,"9,64389076",,,,,
09/03/2007 20.00,"1,79816699",,,"9,40895386",,,,,
09/03/2007 21.00,"1,83509302",,,"9,26211924",,,,,
09/03/2007 22.00,"1,82423306",,,"8,16915479",,,,,
09/03/2007 23.00,"1,52954602",,,"7,60990339",,,,,
10/03/2007 0.00,"1,60593295",,,"8,6837155",,,,,
10/03/2007 1.00,"1,67145896",,,"9,1970009",,,,,
10/03/2007 2.00,"1,33441603",,,"7,99933622",,,,,
10/03/2007 3.00,"1,43107605",,,"6,83742183",,,,,
10/03/2007 4.00,"1,40971696",,,"7,0034088",,,,,
10/03/2007 5.00,"1,45786595",,,"6,45692563",,,,,
10/03/2007 6.00,"1,39523602",,,"7,56776711",,,,,
10/03/2007 7.00,"1,38835704",,,"6,81699041",,,,,
10/03/2007 8.00,"1,42564595",,,"8,88034772",,,,,
10/03/2007 9.00,"1,58493602",,,"11,1594877",,,,,
10/03/2007 10.00,"1,60991502",,,"12,18732818",,,,,
10/03/2007 11.00,"1,88287997",,,"14,80865968",,,,,
10/03/2007 12.00,"1,647928",,,"13,5075701",,,,,
10/03/2007 13.00,"1,84812605",,,"11,11096355",,,,,
10/03/2007 14.00,"1,86079705",,,"10,85176363",,,,,
10/03/2007 15.00,"2,01682901",,,"12,51419331",,,,,
10/03/2007 16.00,"1,83799005",,,"11,42889393",,,,,
10/03/2007 17.00,"1,636343",,,"10,41764387",,,,,
10/03/2007 18.00,"1,61208701",,,"11,04201549",,,,,
10/03/2007 19.00,"1,56574798",,,"12,6763562",,,,,
10/03/2007 20.00,"1,772825",,,"9,82264784",,,,,
10/03/2007 21.00,"1,42817998",,,"13,38627758",,,,,
10/03/2007 22.00,"1,69897294",,,"11,42250981",,,,,
10/03/2007 23.00,"1,62548196",,,"9,61452459",,,,,
11/03/2007 0.00,"1,377859",,,"8,03381119",,,,,
11/03/2007 1.00,,,,"9,68474984",,,,,
11/03/2007 2.00,"1,34476602",,,,,,,,
11/03/2007 3.00,"1,24999106",,,"17,64322134",,,,,
11/03/2007 4.00,"1,26670206",,,"15,69860592",,,,,
11/03/2007 5.00,"1,21300995",,,"12,27670953",,,,,
11/03/2007 6.00,"1,07431602",,,"7,59713328",,,,,
11/03/2007 7.00,"1,26350403",,,"7,86143635",,,,,
11/03/2007 8.00,"1,22199905",,,"8,98249354",,,,,
11/03/2007 9.00,"1,12209594",,,"10,60151162",,,,,
11/03/2007 10.00,"1,58082795",,,"13,09643617",,,,,
11/03/2007 11.00,"1,44346201",,,"10,50957775",,,,,
11/03/2007 12.00,"1,49003506",,,"9,06548702",,,,,
11/03/2007 13.00,"1,673612",,,"7,56521271",,,,,
11/03/2007 14.00,"1,61436999",,,"8,22405741",,,,,
11/03/2007 15.00,"2,036062",,,"7,31240067",,,,,
11/03/2007 16.00,"1,96004796",,,"7,86271355",,,,,
11/03/2007 17.00,"1,69418395",,,"8,11808187",,,,,
11/03/2007 18.00,"1,69581294",,,"9,65155208",,,,,
11/03/2007 19.00,"1,68495405",,,"12,23457137",,,,,
11/03/2007 20.00,"1,51651895",,,"15,42791874",,,,,
11/03/2007 21.00,"1,40816998",,,"15,25299702",,,,,
11/03/2007 22.00,"1,61587906",,,"11,36761095",,,,,
11/03/2007 23.00,"1,54119301",,,"9,81626372",,,,,
12/03/2007 0.00,"1,59512603",,,"9,39235592",,,,,
12/03/2007 1.00,"1,31810105",,,"8,57135585",,,,,
12/03/2007 2.00,"1,353935",,,"8,42068775",,,,,
12/03/2007 3.00,"1,26284099",,,"8,53432648",,,,,
12/03/2007 4.00,"1,07709098",,,"7,7937655",,,,,
12/03/2007 5.00,"1,41878796",,,"8,86757949",,,,,
12/03/2007 6.00,"1,06297505",,,"8,71691327",,,,,
12/03/2007 7.00,"1,05760598",,,"12,90490522",,,,,
12/03/2007 8.00,"1,26694298",,,"24,17801661",,,,,
12/03/2007 9.00,"1,42500198",,,"27,11089062",,,,,
12/03/2007 10.00,"1,64664602",,,"13,51268454",,,,,
12/03/2007 11.00,"1,641518",,,"9,55706568",,,,,
12/03/2007 12.00,"1,67228496",,,"9,00803",,,,,
12/03/2007 13.00,"1,71047294",,,"8,25597798",,,,,
12/03/2007 14.00,"1,55253398",,,"7,72609464",,,,,
12/03/2007 15.00,"1,84964895",,,"6,93190634",,,,,
12/03/2007 16.00,"1,784495",,,"7,5601058",,,,,
12/03/2007 17.00,"1,61141396",,,"7,07618657",,,,,
12/03/2007 18.00,"1,63777804",,,"7,39794855",,,,,
12/03/2007 19.00,"1,42023599",,,"11,70979871",,,,,
12/03/2007 20.00,"1,65008402",,,"17,32274033",,,,,
12/03/2007 21.00,"1,64580095",,,"21,21705927",,,,,
12/03/2007 22.00,"1,45938802",,,"18,40420623",,,,,
12/03/2007 23.00,"1,41420305",,,"16,68815112",,,,,
13/03/2007 0.00,"1,31273198",,,"10,94114687",,,,,
13/03/2007 1.00,,,,"9,08591657",,,,,
13/03/2007 2.00,"0,89803803",,,,,,,,
13/03/2007 3.00,"0,80197197",,,"7,40178014",,,,,
13/03/2007 4.00,"0,915519",,,"7,4668966",,,,,
13/03/2007 5.00,"0,713202",,,"7,72226304",,,,,
13/03/2007 6.00,"0,85958099",,,"8,36578512",,,,,
13/03/2007 7.00,"0,689641",,,"9,78817287",,,,,
13/03/2007 8.00,"0,91141498",,,"13,88040875",,,,,
13/03/2007 9.00,"1,13637996",,,,,,,,
13/03/2007 10.00,"1,35845804",,,,,,,,
13/03/2007 11.00,"1,709131",,,,,,,,
13/03/2007 12.00,"2,02940297",,,,,,,,
13/03/2007 13.00,"2,18703103",,,,,,,,
13/03/2007 14.00,"2,5372479",,,,,,,,
13/03/2007 15.00,"2,60291409",,,,,,,,
13/03/2007 16.00,"2,13413405",,,,,,,,
13/03/2007 17.00,"2,09035707",,,,,,,,
13/03/2007 18.00,"1,85323095",,,,,,,,
13/03/2007 19.00,"1,67918599",,,,,,,,
13/03/2007 20.00,"1,43765199",,,,,,,,
13/03/2007 21.00,"1,44464397",,,,,,,,
13/03/2007 22.00,"1,20189404",,,,,,,,
13/03/2007 23.00,"1,33155298",,,,,,,,
14/03/2007 0.00,"1,21937394",,,,,,,,
14/03/2007 1.00,"1,19171",,,,,,,,
14/03/2007 2.00,"1,057338",,,,,,,,
14/03/2007 3.00,"1,10993195",,,,,,,,
14/03/2007 4.00,"1,13090801",,,,,,,,
14/03/2007 5.00,"0,93786299",,,,,,,,
14/03/2007 6.00,"1,064026",,,,,,,,
14/03/2007 7.00,"0,89575797",,,,,,,,
14/03/2007 8.00,"0,91475898",,,,,,,,
14/03/2007 9.00,"1,07101905",,,,,,,,
14/03/2007 10.00,"1,40770698",,,,,,,,
14/03/2007 11.00,"1,91555202",,,,,,,,
14/03/2007 12.00,"2,45881391",,,,,,,,
14/03/2007 13.00,"2,58102489",,,,,,,,
14/03/2007 14.00,"2,84368801",,,,,,,,
14/03/2007 15.00,"3,03156495",,,,,,,,
14/03/2007 16.00,"2,89658499",,,,,,,,
14/03/2007 17.00,"3,41096711",,,,,,,,
14/03/2007 18.00,"2,37673211",,,,,,,,
14/03/2007 19.00,"1,94078505",,,,,,,,
14/03/2007 20.00,"1,82404602",,,,,,,,
14/03/2007 21.00,"1,670066",,,,,,,,
14/03/2007 22.00,"1,446468",,,,,,,,
14/03/2007 23.00,"1,50225401",,,,,,,,
15/03/2007 0.00,"1,20235002",,,,,,,,
15/03/2007 1.00,,,,,,,,,
15/03/2007 2.00,"0,98544198",,,,,,,,
15/03/2007 3.00,"0,96485502",,,"8,82033629",,,,,
15/03/2007 4.00,"1,01289201",,,"7,7477995",,,,,
15/03/2007 5.00,"0,83172399",,,"8,11935719",,,,,
15/03/2007 6.00,"0,89577299",,,"8,65434933",,,,,
15/03/2007 7.00,"0,82943702",,,"12,07625136",,,,,
15/03/2007 8.00,"0,824862",,,"12,16817583",,,,,
15/03/2007 9.00,"1,17118502",,,"15,33343423",,,,,
15/03/2007 10.00,"1,36653495",,,"15,08318034",,,,,
15/03/2007 11.00,"2,0230391",,,"16,53110267",,,,,
15/03/2007 12.00,"2,99384308",,,"12,99556754",,,,,
15/03/2007 13.00,"3,35068798",,,"12,20520896",,,,,
15/03/2007 14.00,"3,40009809",,,"8,08871382",,,,,
15/03/2007 15.00,"3,13475108",,,"9,80477269",,,,,
15/03/2007 16.00,"3,40192699",,,"9,56345168",,,,,
