,Comune Lecce,,,,,,
,Via Garilliano,,,,,,
Parm,NOX,NO2,CO,Benzene,SO2,PM10,PM2.5



03/01/2010 12.00,"18,79705364","10,58850113","0,42811187","1,29360061","1,75556066","14,97109985","5,21774483"
03/01/2010 13.00,"17,62458847","9,47180709","0,41237039","1,19843687","1,53443943","14,97109985","5,21774483"
03/01/2010 14.00,"14,09292754","7,48873231","0,36428269","1,07942855","1,56234489","14,97109985","5,21774483"
03/01/2010 15.00,"14,77513678","8,29804367","0,3558609","0,83097239","1,8533147","14,97109985","5,21774483"
03/01/2010 16.00,"15,44307678","8,96079832","0,36349515","0,69493136","1,91095724","14,97109985","5,21774483"
03/01/2010 17.00,"14,82312225","8,49129334","0,36904404","0,79624795","1,06618212","14,97109985","5,21774483"
03/01/2010 18.00,"25,61005456","18,02146231","0,49178262","0,88360825","1,84233415","14,97109985","5,21774483"
03/01/2010 19.00,"17,45857525","10,8271455","0,39568526","1,08096727","1,20870348","14,97109985","5,21774483"
03/01/2010 20.00,"19,78533776","13,362729","0,42972423","0,70471083","1,66988959","14,97109985","5,21774483"
03/01/2010 21.00,"20,59464912","14,27190794","0,43472208","0,7651491","2,02853363","14,97109985","5,21774483"
03/01/2010 22.00,"16,08118957","10,20459638","0,39714151","0,74196252","1,40508923","14,97109985","5,21774483"
03/01/2010 23.00,"14,70380198","9,45883608","0,41095375","0,63493242","1,44339759","14,97109985","5,21774483"
04/01/2010 0.00,"11,24736486","6,0685446","0,38261979","0,63504226","1,33911848","14,97109985","5,21774483"
04/01/2010 1.00,"9,25261732","4,27742315","0,362315","0,62658082","1,32079722","13,57847977","11,41716957"
04/01/2010 2.00,,,"0,34968291","0,55053871","1,05407067","13,57847977","11,41716957"
04/01/2010 3.00,"14,25634618","9,25520999","0,34858082","0,54119757",,"13,57847977","11,41716957"
04/01/2010 4.00,"12,13838554","7,11520208",,"0,55229609","4,67699791","13,57847977","11,41716957"
04/01/2010 5.00,"12,53915221","7,44722853","0,29060226","0,58724123","3,85730303","13,57847977","11,41716957"
04/01/2010 6.00,"20,66210448","15,4080585","0,30277651","0,60778971","3,7507977","13,57847977","11,41716957"
04/01/2010 7.00,"134,9540842","64,2106004","0,6247231","0,7552598","3,82035847","13,57847977","11,41716957"
04/01/2010 8.00,"265,2494656","85,92197224","1,1144623","1,82183143","5,66345841","13,57847977","11,41716957"
04/01/2010 9.00,"151,9548234","71,4866208","0,87362535","2,68082522","5,00123276","13,57847977","11,41716957"
04/01/2010 10.00,"70,64101968","46,59899632","0,52748754","1,95512555","4,3769707","13,57847977","11,41716957"
04/01/2010 11.00,"56,97608952","36,53705808","0,48033183","1,50249749","3,5147876","13,57847977","11,41716957"
04/01/2010 12.00,"56,6505524","38,46697352","0,47582561","1,29228156","4,16038937","13,57847977","11,41716957"
04/01/2010 13.00,"40,760016","29,19878296","0,4210811","1,28184206","4,17739767","13,57847977","11,41716957"
04/01/2010 14.00,"36,49944904","27,93942504","0,39827389","1,23898568","5,24201972","13,57847977","11,41716957"
04/01/2010 15.00,"30,27915856","23,23011168","0,37202761","1,08019841","4,0740125","13,57847977","11,41716957"
04/01/2010 16.00,"35,5189372","28,33369856","0,42795809","0,94283833","4,95199267","13,57847977","11,41716957"
04/01/2010 17.00,"45,12432808","36,03123848","0,43187133","1,15184505","3,4222945","13,57847977","11,41716957"
04/01/2010 18.00,"74,68755736","57,40539088","0,54250788","1,36282983","3,79302964","13,57847977","11,41716957"
04/01/2010 19.00,"83,66521952","61,62962984","0,54926605","1,68172442","4,04210006","13,57847977","11,41716957"
04/01/2010 20.00,"61,4156388","46,34475768","0,45621983","1,66062574","3,98636033","13,57847977","11,41716957"
04/01/2010 21.00,"49,68968696","38,4851184","0,38266056","1,30294074","4,25753321","13,57847977","11,41716957"
04/01/2010 22.00,"25,20539888","18,38202154","0,22763518","1,01997981","4,09522407","13,57847977","11,41716957"
04/01/2010 23.00,"20,60633144","13,99695087","0,19538215","0,75514996","4,48487949","13,57847977","11,41716957"
05/01/2010 0.00,"14,87500246","9,0995751","0,14759385","0,67581074","3,64983299","13,57847977","11,41716957"
05/01/2010 1.00,"13,4859421","7,99844283","0,12790885","0,61943843","4,02432697","26,10457993","4,93135309"
05/01/2010 2.00,"11,03855151","5,77802194","0,10107074","0,54735143","3,99578792","26,10457993","4,93135309"
05/01/2010 3.00,"14,40809206","9,45753974","0,08027899","0,51987921","4,3436548","26,10457993","4,93135309"
05/01/2010 4.00,"10,57293745","5,39282086","0,04466494","0,43735373","4,36913472","26,10457993","4,93135309"
05/01/2010 5.00,"11,32388501","6,24233966","0,04023794","0,38614575","4,10102097","26,10457993","4,93135309"
05/01/2010 6.00,"17,08634518","11,64553503","0,04589052","0,38482772","4,36639492","26,10457993","4,93135309"
05/01/2010 7.00,"28,82525464","21,59462512","0,0913861","0,41823311","4,06898039","26,10457993","4,93135309"
05/01/2010 8.00,"38,60444632","29,3232924","0,1445101","0,55965917","4,58743682","26,10457993","4,93135309"
05/01/2010 9.00,"41,56932736","31,10273344","0,17996571","0,71668905","4,3431463","26,10457993","4,93135309"
05/01/2010 10.00,"38,82751936","28,32201624","0,16593445","0,7567975","3,52560848","26,10457993","4,93135309"
05/01/2010 11.00,"38,2814904","27,95498872","0,18198232","0,82481853","4,98422445","26,10457993","4,93135309"
05/01/2010 12.00,"40,43577904","29,26881952","0,16949119","0,86404829","4,5090851","26,10457993","4,93135309"
05/01/2010 13.00,"41,04274344","29,69033904","0,15439279","0,84360964","4,29881018","26,10457993","4,93135309"
05/01/2010 14.00,"29,25195568","20,08234784","0,10474632","0,69427132","3,96763227","26,10457993","4,93135309"
05/01/2010 15.00,"22,83451888","15,31337817","0,09454791","0,55592271","4,39276776","26,10457993","4,93135309"
05/01/2010 16.00,"26,14830168","18,18358462","0,1214664","0,57757057","4,56762464","26,10457993","4,93135309"
05/01/2010 17.00,"31,0352972","22,47655424","0,14565646","0,63866888","4,65018165","26,10457993","4,93135309"
05/01/2010 18.00,"35,63178344","26,77214904","0,16636899","0,7567975","3,9171189","26,10457993","4,93135309"
05/01/2010 19.00,"31,91076376","23,3611028","0,12336418","0,75668766","3,5954957","26,10457993","4,93135309"
05/01/2010 20.00,"27,35188656","19,39884608","0,1088576","0,64614078","4,89275141","26,10457993","4,93135309"
05/01/2010 21.00,"23,92269544","16,3353957","0,08806585","0,56757143","4,71993361","26,10457993","4,93135309"
05/01/2010 22.00,"16,10064226","9,70655862","0,05739256","0,48856172","4,70750994","26,10457993","4,93135309"
05/01/2010 23.00,"14,97746271","8,91410728","0,04680038","0,3895527","4,6958541","26,10457993","4,93135309"
06/01/2010 0.00,"14,81404407","8,99452026","0,03683963","0,33010295","4,08636905","26,10457993","4,93135309"
06/01/2010 1.00,"13,72328822","7,71570201","0,03172295","0,2936201","4,71674633","47,88237","13,83963966"
06/01/2010 2.00,,,"0,02760584","0,28713673","4,75809044","47,88237","13,83963966"
06/01/2010 3.00,"17,56881926","12,02165794","0,02003334","0,28746624",,"47,88237","13,83963966"
06/01/2010 4.00,"14,19279321","8,79867602",,"0,29054368","2,38606303","47,88237","13,83963966"
06/01/2010 5.00,"13,17985576","7,86096238","0,11780364","0,29054368","2,4322155","47,88237","13,83963966"
06/01/2010 6.00,"15,67653198","10,44842801","0,13137472","0,37372919","1,84128765","47,88237","13,83963966"
06/01/2010 7.00,"40,22174976","30,37644112","0,16668354","0,46043048","2,188524","47,88237","13,83963966"
06/01/2010 8.00,"49,45231216","38,03247152","0,26468218","0,44054101","2,3026975","47,88237","13,83963966"
06/01/2010 9.00,"49,8647688","36,28933936","0,27537338","0,71789725","1,94301715","47,88237","13,83963966"
06/01/2010 10.00,"34,23361432","22,4687724","0,31963872","0,76668782","2,07457118","47,88237","13,83963966"
06/01/2010 11.00,"31,74604496","19,62970096","0,24527211","0,83646623","1,96609593","47,88237","13,83963966"
06/01/2010 12.00,"36,46702152","22,92661992","0,28429029","0,84646639","2,00620641","47,88237","13,83963966"
06/01/2010 13.00,"38,56423696","25,59449088","0,29730917","0,9463541","1,91293327","47,88237","13,83963966"
06/01/2010 14.00,"19,48702752","12,73629088","0,20664887","0,8074563","2,28517866","47,88237","13,83963966"
06/01/2010 15.00,"27,74227872","20,53629488","0,24866459","0,52064908","2,0971974","47,88237","13,83963966"
