,Comune Lecce,,,,,,
,Via Garilliano,,,,,,
Parm,NOX,NO2,CO,Benzene,SO2,PM10,PM2.5



30/01/2010 6.00,"28,1676796","22,3974548","0,36390057",,"2,77507468","13,34941006","5,93732214"
30/01/2010 7.00,"41,31770816","31,88611808","0,39503519",,"2,38868892","13,34941006","5,93732214"
30/01/2010 8.00,"72,67338008","44,31243552","0,58974048",,"3,50705534","13,34941006","5,93732214"
30/01/2010 9.00,"70,21171832","44,11398904","0,58864654",,"2,69116303","13,34941006","5,93732214"
30/01/2010 10.00,"42,29301936","27,4167416","0,41187294",,"2,55330359","13,34941006","5,93732214"
30/01/2010 11.00,"31,0495416","19,29378168","0,32659144",,"2,73198642","13,34941006","5,93732214"
30/01/2010 12.00,"31,80569936","20,5142304","0,30127716",,"2,67672671","13,34941006","5,93732214"
30/01/2010 13.00,"37,92094456","25,75012768","0,35608691",,"2,76510605","13,34941006","5,93732214"
30/01/2010 14.00,"31,5411168","21,9214624","0,32092721",,"2,68366977","13,34941006","5,93732214"
30/01/2010 15.00,"22,91105624","16,04876396","0,29377689",,"2,69067283","13,34941006","5,93732214"
30/01/2010 16.00,"28,30517152","21,047296","0,34237486",,"1,70309871","13,34941006","5,93732214"
30/01/2010 17.00,"33,07543944","25,52705464","0,36585311",,"2,308291","13,34941006","5,93732214"
30/01/2010 18.00,"42,36825656","33,63831312","0,38265124",,"2,19443989","13,34941006","5,93732214"
30/01/2010 19.00,"47,16967096","38,3229808","0,41050639",,"2,73064195","13,34941006","5,93732214"
30/01/2010 20.00,"45,7287304","36,66414872","0,38245669",,"2,50767894","13,34941006","5,93732214"
30/01/2010 21.00,"65,94855104","53,49112536","0,54489264",,"2,46844104","13,34941006","5,93732214"
30/01/2010 22.00,"74,10001888","59,72177888","0,62470446",,"2,6542205","13,34941006","5,93732214"
30/01/2010 23.00,"80,35921856","62,26254008","0,62193059",,"3,27213445","13,34941006","5,93732214"
31/01/2010 0.00,"66,72675416","52,58713176","0,47223042",,"3,18237911","13,34941006","5,93732214"
31/01/2010 1.00,"23,39741168","17,43004247","0,23334135",,"3,10250393","12,33215046","6,12427092"
31/01/2010 2.00,"27,33114136","20,89814088","0,25127303",,"2,82755188","12,33215046","6,12427092"
31/01/2010 3.00,"18,80094456","13,57154234","0,21294919",,"2,31664159","12,33215046","6,12427092"
31/01/2010 4.00,"17,13951981","12,02165794","0,21154303",,"2,58498518","12,33215046","6,12427092"
31/01/2010 5.00,"11,2162375","6,32923624","0,23584144",,"2,10755961","12,33215046","6,12427092"
31/01/2010 6.00,"11,58328031","6,87396504","0,21068326",,"2,19150381","12,33215046","6,12427092"
31/01/2010 7.00,"18,21471198","12,88155317","0,27557143",,"2,27190071","12,33215046","6,12427092"
31/01/2010 8.00,"25,6684088","17,99941313","0,33835095",,"2,47514002","12,33215046","6,12427092"
31/01/2010 9.00,"19,6167376","11,94124495","0,30213693",,"2,09759199","12,33215046","6,12427092"
31/01/2010 10.00,"17,81913638","10,26425843","0,3226852",,"2,59217028","12,33215046","6,12427092"
31/01/2010 11.00,"21,03173232","12,18507658","0,33456121",,"2,48400928","12,33215046","6,12427092"
31/01/2010 12.00,"28,08728","17,82561998","0,36448656",,"2,34055329","12,33215046","6,12427092"
31/01/2010 13.00,"30,48668704","18,94750127","0,33542098",,"2,63189532","12,33215046","6,12427092"
31/01/2010 14.00,"16,59738368","9,36026674","0,25549149",,"2,40055223","12,33215046","6,12427092"
31/01/2010 15.00,"16,19272991","9,38620494","0,26221121",,"1,88049911","12,33215046","6,12427092"
31/01/2010 16.00,"21,24702352","13,94377433","0,31627886",,"1,48047334","12,33215046","6,12427092"
31/01/2010 17.00,"28,476372","21,33652424","0,32928725",,"1,73181371","12,33215046","6,12427092"
31/01/2010 18.00,"54,33156408","43,96353376","0,47023827",,"2,27031114","12,33215046","6,12427092"
31/01/2010 19.00,"75,00923224","61,47139272","0,6016561",,"2,42027694","12,33215046","6,12427092"
31/01/2010 20.00,"83,59258264","63,86301792","0,62997841",,"2,13333853","12,33215046","6,12427092"
31/01/2010 21.00,"50,73373456","40,28142328","0,44242273",,"2,08300415","12,33215046","6,12427092"
31/01/2010 22.00,"35,25951704","28,22345264","0,37921449",,"1,99887689","12,33215046","6,12427092"
31/01/2010 23.00,"29,5774928","22,97849248","0,31776307",,"1,97909115","12,33215046","6,12427092"
01/02/2010 0.00,"24,51541544","18,49874914","0,27729097",,"1,75918423","12,33215046","6,12427092"
01/02/2010 1.00,"16,61035469","11,16046637","0,22365321",,"1,60352933","21,3798008","11,51443958"
01/02/2010 2.00,,,"0,21896525",,"2,17468466","21,3798008","11,51443958"
01/02/2010 3.00,"17,78281986","13,06442641","0,2105656",,,"21,3798008","11,51443958"
01/02/2010 4.00,"11,7609663","7,15930045",,,"1,50307515","21,3798008","11,51443958"
01/02/2010 5.00,"18,0435115","13,33808714","0,24237942",,"1,34673276","21,3798008","11,51443958"
01/02/2010 6.00,"32,65130048","26,04971896","0,27605491",,"1,08058081","21,3798008","11,51443958"
01/02/2010 7.00,"45,81043016","37,33856848","0,31466301",,"1,18977305","21,3798008","11,51443958"
01/02/2010 8.00,"41,7807372","30,73048616","0,42817828",,"1,23568246","21,3798008","11,51443958"
01/02/2010 9.00,"31,32322528","21,30669704","0,38678932",,"1,27352706","21,3798008","11,51443958"
01/02/2010 10.00,"24,38960584","16,71152052","0,353115",,"1,1843443","21,3798008","11,51443958"
01/02/2010 11.00,"20,19259376","12,2149076","0,34277795",,"0,98938235","21,3798008","11,51443958"
01/02/2010 12.00,"18,97603787","11,24995753","0,36364776",,"1,15006631","21,3798008","11,51443958"
01/02/2010 13.00,"17,54677007","10,07619602","0,38494979",,"1,40846262","21,3798008","11,51443958"
01/02/2010 14.00,"19,71790152","12,89063134","0,38154333",,"1,71912663","21,3798008","11,51443958"
01/02/2010 15.00,"16,98258667","10,62351941","0,3611034",,"1,39558944","21,3798008","11,51443958"
01/02/2010 16.00,"14,67915821","9,12162238","0,36662434",,"1,23180362","21,3798008","11,51443958"
01/02/2010 17.00,"21,843644","15,87237622","0,43013664",,"1,51718908","21,3798008","11,51443958"
01/02/2010 18.00,"38,66540088","31,64488104","0,53350942","1,06140731","1,58605218","21,3798008","11,51443958"
01/02/2010 19.00,"96,23032904","70,88483792","0,79601654","1,61051713","1,32439944","21,3798008","11,51443958"
01/02/2010 20.00,"85,40188912","64,90190312","0,69452174","1,84062254","1,12850897","21,3798008","11,51443958"
01/02/2010 21.00,"74,41521208","59,78921512","0,66386244","1,7219427","1,20745461","21,3798008","11,51443958"
01/02/2010 22.00,"50,79470824","41,79368144","0,55019106","1,6044731","1,14014141","21,3798008","11,51443958"
01/02/2010 23.00,"31,81218104","25,512772","0,52383876","1,26590872","1,04428814","21,3798008","11,51443958"
02/02/2010 0.00,"27,83047928","22,1458356","0,52916397","1,12711974","0,6704959","21,3798008","11,51443958"
02/02/2010 1.00,"21,67762504","16,14733521","0,5238772","1,04701167","1,03312148","21,93221092","13,49030018"
02/02/2010 2.00,"13,99305995","8,97765834","0,42813983","0,90932207","1,29198358","21,93221092","13,49030018"
02/02/2010 3.00,"9,33821756","4,64446597","0,35472037","0,67031589","1,23273519","21,93221092","13,49030018"
02/02/2010 4.00,"9,462727","4,90775219","0,35194068","0,5910865","1,06351961","21,93221092","13,49030018"
02/02/2010 5.00,"10,76877978","6,10226654","0,36548846","0,55075838","1,25630925","21,93221092","13,49030018"
02/02/2010 6.00,"26,91480336","21,04341464","0,43561797","0,5689993","1,15735719","21,93221092","13,49030018"
02/02/2010 7.00,"50,6105444","39,53436664","0,5275586","0,78679697","0,97247777","21,93221092","13,49030018"
02/02/2010 8.00,"80,75483048","50,78822656","0,70149194","1,08162628","1,2094703","21,93221092","13,49030018"
02/02/2010 9.00,"65,17812976","40,94286056","0,62494095","1,77666747","1,0701891","21,93221092","13,49030018"
02/02/2010 10.00,"29,8589392","18,31847048","0,43648007","1,5045854","1,17519333","21,93221092","13,49030018"
02/02/2010 11.00,"9,09438594","3,28912756","0,37672605","0,81624725","1,34440586","21,93221092","13,49030018"
02/02/2010 12.00,"9,48607252","3,57446297","0,37696138","0,61119666","1,41544128","21,93221092","13,49030018"
02/02/2010 13.00,"14,90483157","7,28770081","0,42069898","0,56921897","1,38085514","21,93221092","13,49030018"
02/02/2010 14.00,"27,04191312","18,87227937","0,40946139","0,78591828","1,286864","21,93221092","13,49030018"
02/02/2010 15.00,"20,78789496","13,99565262","0,37128434","0,84866413","1,08771608","21,93221092","13,49030018"
02/02/2010 16.00,"23,7229488","16,04876396","0,41741018","0,7853691","0,98271185","21,93221092","13,49030018"
02/02/2010 17.00,"39,48507528","31,58780784","0,5304944","1,00591368","1,14262289","21,93221092","13,49030018"
02/02/2010 18.00,"37,63689784","29,22082832","0,50813689","1,18514061","1,00783886","21,93221092","13,49030018"
02/02/2010 19.00,"43,76250608","34,68758048","0,64185675","1,26118373","0,98348985","21,93221092","13,49030018"
02/02/2010 20.00,"71,87831312","52,20062096","0,77162144","1,75842554","0,86530326","21,93221092","13,49030018"
02/02/2010 21.00,"51,663674","41,11147984","0,60003675","1,70370179","0,98240369","21,93221092","13,49030018"
02/02/2010 22.00,"47,52503528","38,05579792","0,55774841","1,3642577","0,93478674","21,93221092","13,49030018"
02/02/2010 23.00,"33,24924024","26,94334952","0,59760889","1,34469774","0,77162333","21,93221092","13,49030018"
03/02/2010 0.00,"21,91886208","16,49881434","0,5510916","1,40502618","0,89585903","21,93221092","13,49030018"
03/02/2010 1.00,"15,30429999","10,41340973","0,47888607","1,08767031","0,89151339","38,17446136","24,8207798"
03/02/2010 2.00,,,"0,41607859","0,90745385","0,8449836","38,17446136","24,8207798"
03/02/2010 3.00,"22,7865468","18,06037342","0,40139493","0,70734791",,"38,17446136","24,8207798"
03/02/2010 4.00,"21,12123304","16,13825703",,"0,68339247","2,37926845","38,17446136","24,8207798"
03/02/2010 5.00,"25,44273544","20,64264032","0,48715291","0,77987425","2,34660749","38,17446136","24,8207798"
03/02/2010 6.00,"78,55125048","49,921842","0,53330904","1,57930845","2,35551641","38,17446136","24,8207798"
03/02/2010 7.00,"183,4557499","78,33595928","0,90850661","1,55656223","3,59730392","38,17446136","24,8207798"
03/02/2010 8.00,"316,9247072","97,3210868","1,56020062","2,57731089","4,69743045","38,17446136","24,8207798"
03/02/2010 9.00,"183,0938848","85,42133416","1,11478384","3,57937828","3,60688101","38,17446136","24,8207798"
03/02/2010 10.00,"66,0665788","42,20353776","0,50707557","2,2512729","3,00662626","38,17446136","24,8207798"
03/02/2010 11.00,"50,24997944","32,04175488","0,44845394","1,36854334","2,83470342","38,17446136","24,8207798"
03/02/2010 12.00,"46,420014","29,83171232","0,49539761","1,10832965","3,62766443","38,17446136","24,8207798"
03/02/2010 13.00,"57,67645512","35,98714776","0,56143564","1,14371312","2,84217431","38,17446136","24,8207798"
03/02/2010 14.00,"46,31366856","31,2959984","0,44032806","1,38238979","2,78422768","38,17446136","24,8207798"
03/02/2010 15.00,"40,69904232","31,35305248","0,43583","1,00888027","2,85520004","38,17446136","24,8207798"
03/02/2010 16.00,"56,71280712","44,1931076","0,48549628","1,04503361","2,56364445","38,17446136","24,8207798"
03/02/2010 17.00,"72,28816944","58,00589272","0,59764966","1,30096267","2,66325655","38,17446136","24,8207798"
03/02/2010 18.00,"113,8925055","84,78322328","0,79154061","1,63557093","2,74648986","38,17446136","24,8207798"
03/02/2010 19.00,"107,1184234","84,64183088","0,85039758","2,38709426","2,73346514","38,17446136","24,8207798"
03/02/2010 20.00,"98,68028936","79,27756192","0,80436144","2,39599505","2,8539532","38,17446136","24,8207798"
03/02/2010 21.00,"102,6360644","83,19442776","0,87872222","2,35116162","2,49171407","38,17446136","24,8207798"
03/02/2010 22.00,"65,41160408","56,4858336","0,70814525","2,43467563","2,71219865","38,17446136","24,8207798"
03/02/2010 23.00,"55,7815484","48,75844736","0,67686267","2,00127803","2,27822136","38,17446136","24,8207798"
04/02/2010 0.00,"63,28456144","55,51440376","0,71990127","1,99677272","1,98226216","38,17446136","24,8207798"
04/02/2010 1.00,"68,087276","58,90858616","0,66790732","2,01820091","2,61852685","54,55175018","39,09143066"
04/02/2010 2.00,"43,64707864","36,99618664","0,56356526","1,82315048","2,50205798","54,55175018","39,09143066"
04/02/2010 3.00,"40,972726","35,15057128","0,5535847","1,64161496","2,53232492","54,55175018","39,09143066"
04/02/2010 4.00,"30,43221416","25,46738112","0,48833655","1,54535286","2,17813229","54,55175018","39,09143066"
04/02/2010 5.00,"44,36947048","37,4643972","0,59098237","1,4822775","2,5374028","54,55175018","39,09143066"
04/02/2010 6.00,"63,19506072","47,17485248","0,73307742","1,65710895","2,34948052","54,55175018","39,09143066"
04/02/2010 7.00,"229,1792032","77,40601984","1,42595651","2,24533972","3,82363016","54,55175018","39,09143066"
04/02/2010 8.00,"390,7911944","104,8733721","2,38689045","4,29320957","6,44033861","54,55175018","39,09143066"
04/02/2010 9.00,"322,283852","109,3064014","2,36199789","6,82008234","6,02819834","54,55175018","39,09143066"
04/02/2010 10.00,"114,8652546","60,02008912","0,74562214","6,81865346","3,65860258","54,55175018","39,09143066"
04/02/2010 11.00,"36,64990432","25,46089944","0,48632459","2,56731073","4,05235244","54,55175018","39,09143066"
04/02/2010 12.00,"32,50736512","23,1276476","0,37756485","3,58805939","3,60822345","54,55175018","39,09143066"
04/02/2010 13.00,"28,89269088","20,02139328","0,36908365","1,79732579","3,99258742","54,55175018","39,09143066"
04/02/2010 14.00,"33,40487704","12,71943086","0,29807574","1,35085161","3,16198419","54,55175018","39,09143066"
04/02/2010 15.00,"19,84629232","12,0916945","1,51288182",,"17,47169388","54,55175018","39,09143066"
04/02/2010 16.00,,,,"2,75071346",,"54,55175018","39,09143066"
04/02/2010 17.00,"52,93079464","46,8440956","0,52767743","1,22052509","4,27995704","54,55175018","39,09143066"
04/02/2010 18.00,"120,8728351","97,2756768","0,98307826","1,96314663","3,92611019","54,55175018","39,09143066"
04/02/2010 19.00,"138,0616386","111,6785816","1,03800918","2,76620746","4,04285366","54,55175018","39,09143066"
04/02/2010 20.00,"128,8142124","109,0807281","0,99081852","2,88686434","4,19240046","54,55175018","39,09143066"
04/02/2010 21.00,"159,6290369","115,6148925","1,25078711","3,11631072","4,26241074","54,55175018","39,09143066"
04/02/2010 22.00,"134,7167285","98,77499072","1,19569775","3,3052083","4,19756885","54,55175018","39,09143066"
04/02/2010 23.00,"127,5561546","93,89835824","1,07992238","3,40333762","4,12936883","54,55175018","39,09143066"
05/02/2010 0.00,"143,3052986","93,9269044","1,15549127","2,81620724","4,46575989","54,55175018","39,09143066"
05/02/2010 1.00,"112,0365271","80,15821","1,07488143","3,29443929","4,77432887","20,8594799","17,43861008"
05/02/2010 2.00,,,"0,82384257","2,76016343","3,80933825","20,8594799","17,43861008"
05/02/2010 3.00,"33,62533064","28,86156352","0,52180234","2,14490182",,"20,8594799","17,43861008"
05/02/2010 4.00,"26,3960204","22,08098056",,"1,39216927","1,9966883","20,8594799","17,43861008"
05/02/2010 5.00,"24,24953272","20,28597584","0,39762615","1,10679093","2,00820583","20,8594799","17,43861008"
05/02/2010 6.00,"45,08023736","39,23993776","0,41037708","0,98646356","2,53141775","20,8594799","17,43861008"
05/02/2010 7.00,"72,23887808","59,7931156","0,52771238","0,98393631","2,28659738","20,8594799","17,43861008"
05/02/2010 8.00,"112,3244552","75,33736968","0,77648066","1,41304828","2,79847178","20,8594799","17,43861008"
05/02/2010 9.00,"101,6892611","64,90058384","0,73094081","2,09226596","2,81543534","20,8594799","17,43861008"
05/02/2010 10.00,"56,33149696","40,02850392","0,45488823","1,88567665","2,48909733","20,8594799","17,43861008"
05/02/2010 11.00,"35,14410872","24,29102312","0,32167281","1,27239209","2,49132761","20,8594799","17,43861008"
05/02/2010 12.00,"32,6007472","22,44932736","0,28769559","0,87075133","2,51159744","20,8594799","17,43861008"
05/02/2010 13.00,"36,87165808","25,6684088","0,33668151","0,90426758","2,33775756","20,8594799","17,43861008"
05/02/2010 14.00,"36,1298212","26,34672904","0,29205152","1,08349451","2,1972224","20,8594799","17,43861008"
05/02/2010 15.00,"27,75524208","20,25354832","0,22861261","0,87196055","2,38695494","20,8594799","17,43861008"
05/02/2010 16.00,"38,19198968","29,21174632","0,30183286","0,88448795","2,44606298","20,8594799","17,43861008"
05/02/2010 17.00,"49,0385936","39,50323928","0,37980515","1,19865756","2,37927659","20,8594799","17,43861008"
05/02/2010 18.00,"54,7647468","43,74046072","0,41477262","1,41986116","2,05356403","20,8594799","17,43861008"
05/02/2010 19.00,"42,99340408","34,692762","0,30812969","1,50392536","2,23838446","20,8594799","17,43861008"
05/02/2010 20.00,"37,21275888","29,72534776","0,27427129","1,14766925","2,46400794","20,8594799","17,43861008"
05/02/2010 21.00,"30,91208792","24,48816944","0,22211774","1,10591123","2,24427695","20,8594799","17,43861008"
05/02/2010 22.00,"18,88524846","13,6804881","0,14703582","0,77361054","2,09740283","20,8594799","17,43861008"
05/02/2010 23.00,"16,22126269","11,18511014","0,10402984","0,53229678","2,51820387","20,8594799","17,43861008"
06/02/2010 0.00,"13,62990806","8,95950198","0,07888332","0,43174904","2,00034849","20,8594799","17,43861008"
06/02/2010 1.00,"9,14367156","4,6029641","0,06621161","0,40724443","2,53266866","7,48488522","0,58255303"
06/02/2010 2.00,"11,05800611","6,75464477","0,04894631","0,36581693","2,66623839","7,48488522","0,58255303"
06/02/2010 3.00,"6,65607352","2,46814344","0,03552085","0,29911496","1,98276049","7,48488522","0,58255303"
06/02/2010 4.00,"6,68330996","2,36568127","0,02466655","0,29559817","2,28195375","7,48488522","0,58255303"
06/02/2010 5.00,"7,13336034","2,7262405","0,03279242","0,29428014","2,47275719","7,48488522","0,58255303"
06/02/2010 6.00,"12,17988932","7,29807723","0,07335889","0,29460965","2,32945579","7,48488522","0,58255303"
06/02/2010 7.00,"29,92897576","21,35338808","0,13483827","0,38207978","2,29382926","7,48488522","0,58255303"
06/02/2010 8.00,"61,5556928","40,49153296","0,31094083","0,56460382","2,94427399","7,48488522","0,58255303"
06/02/2010 9.00,"48,8829568","31,35435264","0,30468362","1,25063439","2,88936209","7,48488522","0,58255303"
06/02/2010 10.00,"36,66414872","23,80854904","0,28207213","0,95800281","3,03382694","7,48488522","0,58255303"
06/02/2010 11.00,"24,38960584","14,70250564","0,25355992","0,86646569","2,78829365","7,48488522","0,58255303"
06/02/2010 12.00,"32,87571192","20,35471224","0,25522354","0,82459886","2,90784505","7,48488522","0,58255303"
06/02/2010 13.00,"34,48265232","21,43120648","0,32068256","0,68888732","2,82364863","7,48488522","0,58255303"
06/02/2010 14.00,"25,28969896","15,8101215","0,22215735","0,82877466","2,55588372","7,48488522","0,58255303"
06/02/2010 15.00,"18,26010668","11,53010377","0,22675094","0,53361583","2,76579252","7,48488522","0,58255303"
06/02/2010 16.00,"26,74360288","19,26395448","0,27518232","0,54910983","2,83748899","7,48488522","0,58255303"
06/02/2010 17.00,"39,999996","31,7058356","0,34535377","0,82185194","2,70695399","7,48488522","0,58255303"
06/02/2010 18.00,"67,52048272","53,58836968","0,50660608","1,17755888","2,6949005","7,48488522","0,58255303"
06/02/2010 19.00,"76,26727088","59,481842","0,555472","1,50172763","2,97329205","7,48488522","0,58255303"
06/02/2010 20.00,"63,6542084","50,49899832","0,47837114","1,79710612","2,94722125","7,48488522","0,58255303"
06/02/2010 21.00,"41,18931736","31,1221976","0,30591153","1,23755781","2,90177457","7,48488522","0,58255303"
06/02/2010 22.00,"24,43109624","17,89695478","0,21910854","0,77394005","2,96704055","7,48488522","0,58255303"
06/02/2010 23.00,"38,09472624","30,52429608","0,31624741","0,60998745","2,7563273","7,48488522","0,58255303"
07/02/2010 0.00,"32,4567736","25,73844536","0,25862884","0,80415919","2,94445196","7,48488522","0,58255303"
07/02/2010 1.00,"24,0342224","17,80875805","0,21518715","0,63163531","2,86141696",,
07/02/2010 2.00,,,"0,27169664","0,50504423","2,51606003",,
07/02/2010 3.00,"41,95063752","36,44497616","0,27656751","0,58449329",,,
07/02/2010 4.00,"34,5462072","28,33759904",,"0,72295276","1,66542191",,
07/02/2010 5.00,"64,55950216","55,00598384","0,56210318","1,11349398","1,94240695",,
07/02/2010 6.00,"23,02518352","18,56748936","0,296609","0,95635426","1,98032172",,
07/02/2010 7.00,"21,60628832","16,85677898","0,2799064","0,49449591","1,88483356",,
07/02/2010 8.00,"22,52714576","16,65964031","0,35366371","0,58053818","2,22852057",,
07/02/2010 9.00,"25,17427152","17,80357079","0,407284","1,07459373","2,09617023",,
07/02/2010 10.00,"26,725458","19,04736886","0,41032465","1,24195328","2,07545801",,
07/02/2010 11.00,"26,13403816","17,9332694","0,37565658","1,2822814","2,44547413",,
07/02/2010 12.00,"22,81507384","15,35358562","0,36179774","1,28294143","3,0977403",,
07/02/2010 13.00,"22,3792908","15,3107855","0,36385047","1,26316078","3,11388823",,
07/02/2010 14.00,"17,43523164","11,7415117","0,34312163","1,22459106","2,76844689",,
07/02/2010 15.00,"18,20952281","13,08906826","0,34138461","1,1070106","2,18533977",,
07/02/2010 16.00,"15,60649733","10,24220925","0,36152164","1,16250422","2,45074118",,
07/02/2010 17.00,"16,79971343","11,69352432","0,34308202","1,14404262","2,13057432",,
07/02/2010 18.00,"26,54387536","20,46495816","0,37747282","1,06459357","1,97575743",,
07/02/2010 19.00,"22,43116336","17,4015097","0,3335663","1,12744925","1,78232403",,
07/02/2010 20.00,"15,20573066","10,27204027","0,2210739","0,9493217","2,10916037",,
07/02/2010 21.00,"21,74248008","16,3159411","0,30533485","0,64647029","2,12460758",,
07/02/2010 22.00,"20,2483668","13,97490169","0,28042016","0,9233882","1,71843202",,
07/02/2010 23.00,"14,60393439","9,80253529","0,28894796","0,77053412","1,19745953",,
08/02/2010 0.00,"12,98920068","8,37975299","0,30841395","0,72591935","1,92345007",,
08/02/2010 1.00,"12,38092082","7,81427326","0,38856828","0,93855269","1,92380195","13,54922009","13,38922024"
08/02/2010 2.00,"11,27200671","6,82986858","0,33822513","1,12470233","2,11477828","13,54922009","13,38922024"
08/02/2010 3.00,"10,86735103","6,49524946","0,39421503","1,00481532","2,12144776","13,54922009","13,38922024"
08/02/2010 4.00,"10,29927671","5,64573066","0,40195296","1,19942641","1,97891826","13,54922009","13,38922024"
08/02/2010 5.00,"9,72789081","5,47489537","0,38563597","0,2148504","2,38184044","13,54922009","13,38922024"
08/02/2010 6.00,"11,30313407","6,59641338","0,40037439",,"2,35876166","13,54922009","13,38922024"
08/02/2010 7.00,"22,68666392","15,70117574","0,43543623",,"2,1309262","13,54922009","13,38922024"
08/02/2010 8.00,"38,25296336","28,20788896","0,6556422",,"2,71298174","13,54922009","13,38922024"
08/02/2010 9.00,"38,57978152","27,98091544","0,58062202",,"2,45109001","13,54922009","13,38922024"
08/02/2010 10.00,"29,21044616","21,23276","0,50137639",,"2,7554598","13,54922009","13,38922024"
08/02/2010 11.00,"25,38308104","17,01111945","0,50133678",,"2,8281275","13,54922009","13,38922024"
08/02/2010 12.00,"18,68291871","11,96718506","0,39768906",,"2,68068284","13,54922009","13,38922024"
08/02/2010 13.00,"25,86685528","18,01497872","0,48443729",,"3,37156552","13,54922009","13,38922024"
08/02/2010 14.00,"20,56482192","13,99954546","0,45865351",,"3,1676021","13,54922009","13,38922024"
08/02/2010 15.00,"24,47908744","17,52731547","0,41972154",,"2,91343346","13,54922009","13,38922024"
08/02/2010 16.00,"23,01480136","16,32242661","0,44740078",,"2,42406018","13,54922009","13,38922024"
08/02/2010 17.00,"39,50065808","30,82388736","0,6301753","0,87316874","2,29241258","13,54922009","13,38922024"
08/02/2010 18.00,"75,50983208","55,84642256","0,87450609","2,06259601","2,400539","13,54922009","13,38922024"
08/02/2010 19.00,"45,10358288","35,73034704","0,85551309","2,39039138","2,38509179","13,54922009","13,38922024"
08/02/2010 20.00,"56,17454088","44,21515296","0,74566757","2,73159284","2,63434425","13,54922009","13,38922024"
08/02/2010 21.00,"65,4375308","49,85048616","0,84805127","2,25369031","2,85235041","13,54922009","13,38922024"
08/02/2010 22.00,"100,7982691","73,60590072","0,90301364","2,61181567","2,37385801","13,54922009","13,38922024"
08/02/2010 23.00,"66,4284248","51,81801064","0,84354971","2,27380046","2,04140478","13,54922009","13,38922024"
09/02/2010 0.00,"45,80782984","36,70177688","0,68865131","2,11369415","2,18533977","13,54922009","13,38922024"
09/02/2010 1.00,"31,54371712","24,96156152","0,76821265","1,93919119","1,7338772","26,20948982","18,9100399"
09/02/2010 2.00,,,"0,748629","2,05655198","1,65945517","26,20948982","18,9100399"
09/02/2010 3.00,"25,91742768","21,1731056","0,63234686","1,91765317",,"26,20948982","18,9100399"
09/02/2010 4.00,"21,5829428","17,05392148",,"1,69897681","2,01963589","26,20948982","18,9100399"
09/02/2010 5.00,"30,87317872","25,25987176","0,57063564","1,46359724","2,35501808","26,20948982","18,9100399"
09/02/2010 6.00,"48,67154696","35,57079064","0,63138224","1,5827154","2,1009786","26,20948982","18,9100399"
09/02/2010 7.00,"85,6651524","53,6207972","0,73369137","1,76161282","2,3274584","26,20948982","18,9100399"
09/02/2010 8.00,"232,404556","81,7288224","1,58931048","2,14325326","4,12793079","26,20948982","18,9100399"
09/02/2010 9.00,"512,2425816","142,0048136","3,04101814","3,67262498","9,83314112","26,20948982","18,9100399"
09/02/2010 10.00,"203,7297184","91,690916","1,32678705",,"6,25184987","26,20948982","18,9100399"
09/02/2010 11.00,"56,0215044","37,98448032","0,63994732",,"4,23680064","26,20948982","18,9100399"
09/02/2010 12.00,"44,41618064","30,66306904","0,55338665",,"4,48597378","26,20948982","18,9100399"
09/02/2010 13.00,"55,8956948","39,00778272","0,61512",,"4,01363728","26,20948982","18,9100399"
09/02/2010 14.00,"53,41328784","37,7069344","0,55579471",,"2,67208004","26,20948982","18,9100399"
09/02/2010 15.00,"42,18539288","30,66825056","0,50053526",,"2,84601653","26,20948982","18,9100399"
09/02/2010 16.00,"51,35628176","39,64591272","0,55279483",,"3,15275594","26,20948982","18,9100399"
09/02/2010 17.00,"64,0731276","49,70005","0,65178838",,"3,2865789","26,20948982","18,9100399"
09/02/2010 18.00,"92,38866216","70,01197168","0,75970349",,"2,56314713","26,20948982","18,9100399"
09/02/2010 19.00,"86,61195568","66,73581704","0,7020756",,"2,7112325","26,20948982","18,9100399"
09/02/2010 20.00,"67,45304648","54,034554","0,6549863",,"2,60952233","26,20948982","18,9100399"
09/02/2010 21.00,"41,37346208","33,30241296","0,45056492",,"2,34010886","26,20948982","18,9100399"
09/02/2010 22.00,"29,42315616","23,22751136","0,35085956",,"2,16145959","26,20948982","18,9100399"
09/02/2010 23.00,"26,86423096","21,37803376","0,35962269",,"2,40390426","26,20948982","18,9100399"
10/02/2010 0.00,"19,69325584","14,66489278","0,29713908",,"2,09899444","26,20948982","18,9100399"
10/02/2010 1.00,"13,88670686","8,97506375","0,24681341",,"2,3269021","17,12960052","6,313797"
10/02/2010 2.00,"9,99059578","5,68982711","0,20386918",,"1,69265615","17,12960052","6,313797"
10/02/2010 3.00,"9,37583042","4,83901197","0,1927376",,"1,92310429","17,12960052","6,313797"
10/02/2010 4.00,"9,6443039","5,25663866","0,18417252",,"2,13997547","17,12960052","6,313797"
10/02/2010 5.00,"9,92574648","5,22421305","0,17189692",,"2,35300341","17,12960052","6,313797"
10/02/2010 6.00,"12,45225372","7,26435529","0,18239706",,"2,58354409","17,12960052","6,313797"
10/02/2010 7.00,"22,03819","14,70250564","0,24195885",,"2,36072142","17,12960052","6,313797"
10/02/2010 8.00,"41,07388992","28,99645512","0,31995444",,"2,8098093","17,12960052","6,313797"
