,Regione Puglia,,
,Enaip,,
Parm,SO2,NO2,CO
,,,,
,,,,
,,,,
,,,,
,,,,
05/01/2008 18.00,"4,51783514","4,26971576","0,700189"
05/01/2008 19.00,"4,04900312","4,34121821","0,7259881"
05/01/2008 20.00,"5,26015186","4,56083437","0,7124664"
05/01/2008 21.00,"3,57484293","4,09989908","0,71258255"
05/01/2008 22.00,"5,42353296","3,04523743","0,69373865"
05/01/2008 23.00,"5,46970606","2,88180486","0,70069385"
06/01/2008 0.00,"7,93640089","2,7528435","0,6942435"
06/01/2008 1.00,,"3,37082912","0,6882221"
06/01/2008 2.00,"7,83872795",,"0,68919385"
06/01/2008 3.00,"7,30241299","7,23962102",
06/01/2008 4.00,"6,63468218","5,35629798","0,7639473"
06/01/2008 5.00,"5,86039877","3,65300734","0,7361288"
06/01/2008 6.00,"6,37362814","3,26995862","0,6860463"
06/01/2008 7.00,"3,10778689","4,47273209","0,7208591"
06/01/2008 8.00,"4,62438822","7,30090964","0,7262204"
06/01/2008 9.00,"6,37895489","8,77820189","0,67093185"
06/01/2008 10.00,"2,4933331","7,05958862","0,6155651"
06/01/2008 11.00,"2,10441589","5,40354118","0,59563215"
06/01/2008 12.00,"4,10050297","5,0843336","0,5678907"
06/01/2008 13.00,"5,49989605","5,80446692","0,56015925"
06/01/2008 14.00,"7,92929697","6,74548796","0,561246"
06/01/2008 15.00,"7,05379009","4,56338876","0,5047534"
06/01/2008 16.00,"6,066401","6,9574428","0,52161585"
06/01/2008 17.00,"6,06817722","6,84891286","0,53676825"
06/01/2008 18.00,"4,10050297","7,73630847","0,59349545"
06/01/2008 19.00,"7,52972507","7,93294069","0,6114458"
06/01/2008 20.00,"4,33669519","15,44325077","0,6941653"
06/01/2008 21.00,"2,8715961","10,04736714","0,6375554"
06/01/2008 22.00,"2,91066504","6,27050724","0,57939185"
06/01/2008 23.00,"5,22463512","10,74579185","0,6079107"
07/01/2008 0.00,"4,08096886","26,36778276","0,6270651"
07/01/2008 1.00,"4,26210785","28,6367202","0,7074156"
07/01/2008 2.00,"5,3542738","25,84683981","0,71852805"
07/01/2008 3.00,"4,31360912","17,75430756","0,74102435"
07/01/2008 4.00,"7,30774021","14,28643953","0,68647295"
07/01/2008 5.00,"5,91012383","10,81218739","0,57857535"
07/01/2008 6.00,"8,27559376","21,03702876","0,5898051"
07/01/2008 7.00,"8,29157639","28,3417794","0,6044906"
07/01/2008 8.00,"7,89555597","21,57712029","0,59240755"
07/01/2008 9.00,"6,50681877","32,17352688","0,78931975"
07/01/2008 10.00,"9,12446404","30,82520727","0,7034527"
07/01/2008 11.00,"4,6687851","23,42469492","0,65589445"
07/01/2008 12.00,"6,14453983","26,70615585","0,67963505"
07/01/2008 13.00,"5,64551783","24,82792092","0,5957874"
07/01/2008 14.00,"6,78918409","20,3539248","0,5631504"
07/01/2008 15.00,"8,24540424","20,47267233","0,51633045"
07/01/2008 16.00,"6,743011","29,71818234","0,56039155"
07/01/2008 17.00,"6,00602102","38,37125259","0,789981"
07/01/2008 18.00,"6,39493799","42,41243061","1,2923631"
07/01/2008 19.00,"6,75366592","36,37940526","1,143629"
07/01/2008 20.00,"7,99145317","31,44319101","1,28237765"
07/01/2008 21.00,"9,59507179","25,89281145","1,01750965"
07/01/2008 22.00,"9,14755058","23,45022009","0,79611855"
07/01/2008 23.00,"8,01453972","20,03088186","0,7119995"
08/01/2008 0.00,"7,72862291","14,35283507","0,67314675"
08/01/2008 1.00,,"14,97847824","0,7331756"
08/01/2008 2.00,"7,02182293",,"0,7100974"
08/01/2008 3.00,"8,28269768",,
08/01/2008 4.00,"8,03407478",,"0,87798475"
08/01/2008 5.00,"8,06604004",,"0,9083689"
08/01/2008 6.00,"6,28128195",,"0,78353065"
08/01/2008 7.00,"5,88526201",,"0,75959685"
08/01/2008 8.00,"6,40559387",,"0,6692609"
08/01/2008 9.00,"6,59916401",,"0,6993334"
08/01/2008 10.00,"8,05360889",,"0,70722125"
08/01/2008 11.00,"7,14791107",,"0,74867875"
08/01/2008 12.00,"5,44661999",,"0,77816935"
08/01/2008 13.00,"6,70571709",,"0,7295623"
08/01/2008 14.00,,,"0,78921855"
08/01/2008 15.00,"7,50308704",,"0,80089795"
08/01/2008 16.00,"4,890769",,"0,77890765"
08/01/2008 17.00,"5,29567003","30,88904841","0,80198585"
08/01/2008 18.00,"5,11275387","33,50015856","0,9842505"
08/01/2008 19.00,"4,65457821","33,11711172","1,01576165"
08/01/2008 20.00,"3,26584101","26,47759554","0,906775"
08/01/2008 21.00,"5,91900301","25,97068485","0,8922045"
08/01/2008 22.00,"5,90834808","27,3356325","0,91392455"
08/01/2008 23.00,"10,19886971","23,08124313","0,9363047"
09/01/2008 0.00,"9,73536587","25,22501883","0,9167616"
09/01/2008 1.00,"5,71832895","22,93311438","0,96179215"
09/01/2008 2.00,"3,93889904","15,83906207","0,876392"
09/01/2008 3.00,"5,94209003","9,91074823","0,7587033"
09/01/2008 4.00,"5,34361792","8,10020485","0,7107966"
09/01/2008 5.00,"4,42904091","17,47085215","0,71184425"
09/01/2008 6.00,"7,2207222","20,51352765","0,7931665"
09/01/2008 7.00,"6,07883215","26,96917608","0,76635655"
09/01/2008 8.00,"6,6417861","26,29500687","0,63743925"
09/01/2008 9.00,"10,06389999","30,93118281","0,6894641"
09/01/2008 10.00,"10,13848972","54,0928575","1,0072919"
09/01/2008 11.00,"7,9683671","76,82553252","1,04727165"
09/01/2008 12.00,"4,71318102","58,05740358","0,8676106"
09/01/2008 13.00,"4,89609718","38,29337919","0,66856055"
09/01/2008 14.00,"9,38906956","33,06092625","0,58875515"
09/01/2008 15.00,"13,09531975","36,99357057","0,61020265"
09/01/2008 16.00,"12,51994038","38,09418129","0,5769435"
09/01/2008 17.00,"12,96568012","46,41017634","0,6509598"
09/01/2008 18.00,"10,49365997","53,67789009","0,81947045"
09/01/2008 19.00,"12,04222965","45,49213548","0,8976831"
09/01/2008 20.00,"9,95557499","41,52631032","0,91606125"
