TARANTO - TALSANO,,,,
,,,,,,,
,SO2,NO2,PM10,O3
05/01/2011 4.00,"0,174243","10,018276","29,29999","25,166447"
05/01/2011 5.00,"0,17966","7,101955","29,29999","23,67658"
05/01/2011 6.00,"0,135422","5,327765","29,29999","29,378828"
05/01/2011 7.00,"0,070419","7,3505","29,29999","30,139862"
05/01/2011 8.00,"0,013542","15,061801","29,29999","21,213214"
05/01/2011 9.00,"0,082156","18,897011","29,29999","19,793087"
05/01/2011 10.00,"0,424323","13,879435","29,29999","35,306034"
05/01/2011 11.00,"0,474738","9,091374","29,29999","47,652729"
05/01/2011 12.00,"0,647317","7,977372","29,29999","53,537562"
05/01/2011 13.00,"0,650026","7,746349","29,29999","56,710689"
05/01/2011 14.00,"0,650026","11,321328","29,29999","56,473225"
05/01/2011 15.00,"0,646414","12,638024","29,29999","56,337723"
05/01/2011 16.00,"0,640998","17,602388","29,29999","49,481725"
05/01/2011 17.00,"0,578703","24,377274","29,29999","42,838874"
05/01/2011 18.00,"0,287095","24,603748","29,29999","32,363149"
05/01/2011 19.00,"0,08667","19,975543","29,29999","46,167214"
05/01/2011 20.00,"0,030696","15,046878","29,29999","52,657486"
05/01/2011 21.00,,"17,150078","29,29999","51,010414"
05/01/2011 22.00,"0,012639","15,387563","29,29999","54,450572"
05/01/2011 23.00,"0,023473","9,501074","29,29999","53,780293"
06/01/2011 0.00,,"10,120807","29,29999","32,612444"
06/01/2011 1.00,,"9,271349","33,5","26,540523"
06/01/2011 2.00,"0,372862",,"33,5","21,328326"
06/01/2011 3.00,,"12,242176","33,5",
06/01/2011 4.00,,"8,324553","33,5","21,974127"
06/01/2011 5.00,,"6,632775","33,5","26,962085"
06/01/2011 6.00,,"5,334254","33,5","24,908075"
06/01/2011 7.00,,"6,116872","33,5","21,010363"
06/01/2011 8.00,,"7,652902","33,5","20,977445"
06/01/2011 9.00,,"8,362839","33,5","21,128407"
06/01/2011 10.00,,"8,866414","33,5","32,543517"
06/01/2011 11.00,,"18,926213","33,5","28,852228"
06/01/2011 12.00,"0,275358","17,001467","33,5","39,459024"
06/01/2011 13.00,"2,089111","18,49273","33,5","41,179512"
06/01/2011 14.00,"3,64195","14,728244","33,5","48,344675"
06/01/2011 15.00,"3,175196","16,645848","33,5","52,295272"
06/01/2011 16.00,"1,535686","12,553015","33,5","55,987861"
06/01/2011 17.00,"0,60669","19,682223","33,5","50,000647"
06/01/2011 18.00,"0,213064","25,094348","33,5","37,001164"
06/01/2011 19.00,,"11,757415","33,5","31,530696"
06/01/2011 20.00,,"24,31368","33,5","21,230969"
06/01/2011 21.00,,"25,83349","33,5","12,100195"
06/01/2011 22.00,,"32,845235","33,5","5,206629"
06/01/2011 23.00,,"31,946461","33,5","2,148838"
07/01/2011 0.00,,"28,706328","33,5","5,691745"
07/01/2011 1.00,,"20,434328","35,700001","14,220655"
07/01/2011 2.00,,"19,589415","35,700001","13,843262"
07/01/2011 3.00,,"16,104647","35,700001","16,324976"
07/01/2011 4.00,,"11,978052","35,700001","15,489567"
07/01/2011 5.00,,"6,597084","35,700001","33,777584"
07/01/2011 6.00,,"5,904669","35,700001","23,679154"
07/01/2011 7.00,,"5,796297","35,700001","20,354287"
07/01/2011 8.00,"0,1282","15,449866","35,700001","11,68991"
07/01/2011 9.00,"0,038821","24,002846","35,700001","5,885276"
07/01/2011 10.00,"0,010834","23,222806","35,700001","9,858466"
07/01/2011 11.00,,"19,203304","35,700001","21,318711"
07/01/2011 12.00,,"13,705527","35,700001","45,559754"
07/01/2011 13.00,,"9,819701","35,700001","54,991156"
07/01/2011 14.00,,"12,061767","35,700001","58,585032"
07/01/2011 15.00,,"8,088339","35,700001","63,784578"
07/01/2011 16.00,,"6,985148","35,700001","63,435572"
07/01/2011 17.00,,"9,968307","35,700001","55,376292"
07/01/2011 18.00,,"24,981427","35,700001","35,704514"
07/01/2011 19.00,,"15,48621","35,700001","31,216544"
07/01/2011 20.00,,"15,539418","35,700001","26,424713"
07/01/2011 21.00,,"23,38244","35,700001","13,001403"
07/01/2011 22.00,,"24,204008","35,700001","11,860221"
07/01/2011 23.00,,"23,965198","35,700001","10,64678"
08/01/2011 0.00,,"23,052141","35,700001","17,553902"
08/01/2011 1.00,,"10,318731","31,9","28,478067"
08/01/2011 2.00,"0,063197",,"31,9","25,991198"
08/01/2011 3.00,,"6,711946","31,9",
08/01/2011 4.00,,"6,02018","31,9","23,156923"
08/01/2011 5.00,,"5,328415","31,9","36,883958"
08/01/2011 6.00,,"8,390743","31,9","38,552018"
08/01/2011 7.00,,"8,490679","31,9","43,194265"
08/01/2011 8.00,,"17,209777","31,9","32,996583"
08/01/2011 9.00,,"28,856228","31,9","20,275145"
08/01/2011 10.00,,"11,455017","31,9","34,528263"
08/01/2011 11.00,,"11,425163","31,9","37,831424"
08/01/2011 12.00,,"11,04554","31,9","53,132796"
08/01/2011 13.00,,"10,191531","31,9","56,347418"
08/01/2011 14.00,"0,025279","12,454382","31,9","54,986331"
08/01/2011 15.00,,"8,210988","31,9","58,872432"
08/01/2011 16.00,,"7,85667","31,9","59,206551"
08/01/2011 17.00,,"9,333648","31,9","60,868147"
08/01/2011 18.00,,"16,569928","31,9","53,819156"
08/01/2011 19.00,,"19,122178","31,9","48,787185"
08/01/2011 20.00,,"21,007334","31,9","38,855777"
08/01/2011 21.00,,"21,644605","31,9","31,191506"
08/01/2011 22.00,,"29,214441","31,9","22,483491"
08/01/2011 23.00,,"15,448564","31,9","24,941969"
09/01/2011 0.00,,"13,939143","31,9","28,797048"
09/01/2011 1.00,,"10,894337","31,4","46,707459"
09/01/2011 2.00,,"10,638656","31,4","45,552555"
09/01/2011 3.00,,"12,227893","31,4","46,002366"
09/01/2011 4.00,,"9,057849","31,4","44,64064"
09/01/2011 5.00,,"9,728848","31,4","45,303735"
09/01/2011 6.00,"0,061391","10,258371","31,4","48,814978"
09/01/2011 7.00,"0,420712","15,379129","31,4","40,964593"
09/01/2011 8.00,"0,650026","12,162356","31,4","41,839"
09/01/2011 9.00,"0,650026","11,155852","31,4","40,962656"
09/01/2011 10.00,"0,650026","12,732122","31,4","36,098089"
09/01/2011 11.00,"0,650026","10,776881","31,4","41,270284"
09/01/2011 12.00,"0,668083","10,475775","31,4","44,031845"
09/01/2011 13.00,"0,655442","10,761298","31,4","45,714129"
09/01/2011 14.00,"0,650026","10,369345","31,4","46,100601"
09/01/2011 15.00,"0,650026","8,508849","31,4","52,922762"
09/01/2011 16.00,"0,563356","7,554264","31,4","55,371524"
