,Provincia di BARI,,
,VERDI,,
Parm,SO2,NO2,PM10
,,,,,,,
,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,
06/01/2005 10.00,"0,79646253","65,05581912",
06/01/2005 11.00,"1,73777841","67,02728232",
06/01/2005 12.00,"1,14499759","55,42691064",
06/01/2005 13.00,"0,80838991","54,75591336",
06/01/2005 14.00,"0,81236536","63,7216064",
06/01/2005 15.00,"0,82959334","40,20805984",
06/01/2005 16.00,"0,79646253","31,6836564",
06/01/2005 17.00,"0,54069314","38,88034792",
06/01/2005 18.00,"0,48768404","45,64875144",
06/01/2005 19.00,"0,69511136","72,2668124",
06/01/2005 20.00,"0,81409426","78,769142",
06/01/2005 21.00,"0,71032263","79,5102332",
06/01/2005 22.00,"0,54069314","82,35515536",
06/01/2005 23.00,"0,80562367","68,79760312",
07/01/2005 0.00,"0,31010364","52,58068832",
07/01/2005 1.00,"0,28757506","39,33590104",
07/01/2005 2.00,"0,15505182","26,79195736",
07/01/2005 3.00,"0,06493647","17,93658672",
07/01/2005 4.00,"0,00927707","19,75619888",
07/01/2005 5.00,0,"14,89567309",
07/01/2005 6.00,0,"19,10337516",
07/01/2005 7.00,0,"28,79846752",
07/01/2005 8.00,0,"50,97910152",
07/01/2005 9.00,"0,69574496","73,68928304",
07/01/2005 10.00,"0,92512524","70,82485848",
07/01/2005 11.00,"1,09429302","71,15194432",
07/01/2005 12.00,"1,12926765","67,61782264",
07/01/2005 13.00,"1,39621489","59,09730056",
07/01/2005 14.00,"0,87580379","62,68201376",
07/01/2005 15.00,"0,82826819","46,4793816",
07/01/2005 16.00,"0,73947799","44,30415656",
07/01/2005 17.00,"0,98291626","67,60874064",
07/01/2005 18.00,"1,51692567","95,8309696",
07/01/2005 19.00,"2,07934193","94,46431024",
07/01/2005 20.00,"1,63083781","92,37214248",
07/01/2005 21.00,"1,48996094","86,52132688",
07/01/2005 22.00,"1,61781614","91,02364712",
07/01/2005 23.00,"1,98634541","98,71095784",
08/01/2005 0.00,"1,0930838","82,64589408",
08/01/2005 1.00,,"63,90332288",
08/01/2005 2.00,"0,02843837",,
08/01/2005 3.00,"0,01856534","34,9802312",
08/01/2005 4.00,"0,01232096","17,46286386",
08/01/2005 5.00,"0,03324878","14,30903325",
08/01/2005 6.00,"0,00506364","16,94371189",
08/01/2005 7.00,"0,00987304","30,29231312",
08/01/2005 8.00,"0,04202549","61,5113344",
08/01/2005 9.00,"0,5967817","87,6660604",
08/01/2005 10.00,"1,25060693","93,23521928",
08/01/2005 11.00,"2,25986655","99,44164776",
08/01/2005 12.00,"1,51127624","86,30588272",
08/01/2005 13.00,"1,45634095","81,34022752",
08/01/2005 14.00,"0,1440489","70,45756328",
08/01/2005 15.00,"0,09662314","52,0913884",
08/01/2005 16.00,"0,02928248","56,7079124",
08/01/2005 17.00,"0,05282705","76,12926272",
08/01/2005 18.00,"0,19214893","103,20021912",
08/01/2005 19.00,"0,79973015","105,36641952",
08/01/2005 20.00,"0,09721401","90,29815784",
08/01/2005 21.00,"0,84538328","89,04180176",
08/01/2005 22.00,"1,25566956","84,92495984",
08/01/2005 23.00,"0,58108532","73,32715024",
09/01/2005 0.00,"0,04978927","62,26668912",
09/01/2005 1.00,"0,04759458","52,29775056",
09/01/2005 2.00,"0,03316437","42,980326",
09/01/2005 3.00,"0,04025286","42,29762728",
09/01/2005 4.00,"0,03594892","46,66237912",
09/01/2005 5.00,"0,02928248","41,82130984",
09/01/2005 6.00,"0,01603402","40,01598032",
09/01/2005 7.00,"0,01046391","38,31187208",
09/01/2005 8.00,"0,01881857","35,83294496",
09/01/2005 9.00,"0,03071747","39,174968",
09/01/2005 10.00,"0,04717253","48,03553928",
09/01/2005 11.00,"0,05172971","59,85265528",
09/01/2005 12.00,"0,05189853","58,16022936",
09/01/2005 13.00,"0,05164529","69,03771208",
09/01/2005 14.00,"0,05864937","66,21613544",
09/01/2005 15.00,"0,05518954","37,48642344",
09/01/2005 16.00,"0,02506295","31,8303068",
09/01/2005 17.00,"0,04227872","59,10768272",
09/01/2005 18.00,"0,10058944","95,63368944",
09/01/2005 19.00,"0,53593866","103,4987588",
09/01/2005 20.00,"0,15274018","99,64280928",
09/01/2005 21.00,"0,10253089","101,86996424",
09/01/2005 22.00,"0,12506151","102,80443512",
09/01/2005 23.00,"0,17881606","87,27798176",
10/01/2005 0.00,"0,03611774","68,0720756",
10/01/2005 1.00,,"49,57351384",
10/01/2005 2.00,"0,33933425",,
10/01/2005 3.00,"0,46085152","18,32983923",
10/01/2005 4.00,"0,23902246","18,35450594",
10/01/2005 5.00,"0,24303554","15,0721851",
10/01/2005 6.00,"0,3496507","17,89764693",
10/01/2005 7.00,"0,24647504","27,00091984",
10/01/2005 8.00,"0,90852271","54,68841976",
