,,ARPA Puglia,,,,
,,Via Garilliano,,,,
Parm,SO2,NO2,CO,,PM10,Benzene
,,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,,
04/01/2008 10.00,"1,12587094","39,86055315","0,5673732",,"27,98493958",
04/01/2008 11.00,"2,60406399","32,22401292","0,54314155",,"27,98493958",
04/01/2008 12.00,"3,9526329","30,39174963","0,49882975",,"27,98493958",
04/01/2008 13.00,"4,48178101","28,19203299","0,4939365",,"27,98493958",
04/01/2008 14.00,"3,58482504","26,40824307","0,43533595",,"27,98493958",
04/01/2008 15.00,"2,53666091","20,02341429","0,3773219",,"27,98493958",
04/01/2008 16.00,"2,00693798","22,36988655","0,42406135",,"27,98493958",
04/01/2008 17.00,"1,04333103","28,93717233","0,4665734",,"27,98493958",
04/01/2008 18.00,"1,56315303","29,54324934","0,4383892",,"27,98493958",
04/01/2008 19.00,"0,53962201","26,74509255","0,39759985",,"27,98493958",
04/01/2008 20.00,,"28,75343625","0,4223789",,"27,98493958",
04/01/2008 21.00,,"28,25199927","0,3828419",,"27,98493958",
04/01/2008 22.00,,"17,57998965","0,2878749",,"27,98493958",
04/01/2008 23.00,,"12,64973252","0,26720595",,"27,98493958",
05/01/2008 0.00,,"9,96769175","0,25691115",,"27,98493958",
05/01/2008 1.00,,"8,37020735","0,23682985",,"26,18680954",
05/01/2008 2.00,,"6,93604454","0,22684785",,"26,18680954",
05/01/2008 3.00,,"4,42243039","0,2006589",,"26,18680954",
05/01/2008 4.00,,"3,75000674","0,1927124",,"26,18680954",
05/01/2008 5.00,,"4,4237057","0,19192925",,"26,18680954",
05/01/2008 6.00,,"8,978835","0,1967834",,"26,18680954",
05/01/2008 7.00,,"15,79238882","0,21111125",,"26,18680954",
05/01/2008 8.00,,"19,45561563","0,24144825",,"26,18680954",
05/01/2008 9.00,,"23,59095651","0,32212765",,"26,18680954",
05/01/2008 10.00,,"20,97015921","0,3116753",,"26,18680954",
05/01/2008 11.00,,"18,92355597","0,28673985",,"26,18680954",
05/01/2008 12.00,,"21,35422179","0,2956259",,"26,18680954",
05/01/2008 13.00,,"21,76762797","0,2896758",,"26,18680954",
05/01/2008 14.00,,"20,62821222","0,2600817",,"26,18680954",
05/01/2008 15.00,,"16,00547038","0,21522135",,"26,18680954",
05/01/2008 16.00,,"15,27052418","0,2197627",,"26,18680954",
05/01/2008 17.00,,"18,82912977","0,25260555",,"26,18680954",
05/01/2008 18.00,,"24,8401098","0,2921414",,"26,18680954",
05/01/2008 19.00,,"26,41973598","0,26528775",,"26,18680954",
05/01/2008 20.00,,"26,42101506","0,2702592",,"26,18680954",
05/01/2008 21.00,,"25,04427354","0,2643091",,"26,18680954",
05/01/2008 22.00,,"25,85959299","0,23119255",,"26,18680954",
05/01/2008 23.00,,"24,24296754","0,1926342",,"26,18680954",
06/01/2008 0.00,,"26,12882052","0,17153515",,"26,18680954",
06/01/2008 1.00,,"18,6122279","0,1608873",,"21,77547073",
06/01/2008 2.00,,,"0,1425678",,"21,77547073",
06/01/2008 3.00,,"10,50359053","0,11974605",,"21,77547073",
06/01/2008 4.00,"0,33648899","7,08150227",,,"21,77547073",
06/01/2008 5.00,"0,42047399","5,68561594","0,1915072",,"21,77547073",
06/01/2008 6.00,"0,21036699","5,05019533","0,178204",,"21,77547073",
06/01/2008 7.00,"0,42128301","7,64419402","0,18424725",,"21,77547073",
06/01/2008 8.00,"0,504489","7,22185497","0,19103685",,"21,77547073",
06/01/2008 9.00,"0,43813801","8,01932373","0,2034764",,"21,77547073",
06/01/2008 10.00,"0,17432","7,88534762","0,2254529",,"21,77547073",
06/01/2008 11.00,"0,546974","10,97186171","0,251275",,"21,77547073",
06/01/2008 12.00,"0,56327802","11,75018942","0,23805",,"21,77547073",
06/01/2008 13.00,"0,37005401","15,41215596","0,262499",,"21,77547073",
06/01/2008 14.00,"0,83740097","12,85133246","0,2274148",,"21,77547073",
06/01/2008 15.00,"1,14225996","11,83950494","0,22886725",,"21,77547073",
06/01/2008 16.00,"0,93223798","21,1653882","0,2668943",,"21,77547073",
06/01/2008 17.00,"0,77232099","30,33942021","0,33525605",,"21,77547073",
06/01/2008 18.00,"1,02453601","45,77456763","0,4255161",,"21,77547073",
06/01/2008 19.00,"0,41782001","49,74276285","0,47507995",,"21,77547073",
06/01/2008 20.00,"0,471012","45,76179564","0,41829525",,"21,77547073",
06/01/2008 21.00,"0,75910199","43,01850762","0,4249273",,"21,77547073",
06/01/2008 22.00,"1,08170998","39,73934151","0,42269055",,"21,77547073",
06/01/2008 23.00,"0,62841898","33,46678962","0,3877639",,"21,77547073",
07/01/2008 0.00,"0,47008801","26,70427485","0,3451058",,"21,77547073",
07/01/2008 1.00,"0,50570101","16,27341883","0,2700729",,"27,98913956",
07/01/2008 2.00,"0,72340101","7,85217431","0,2134837",,"27,98913956",
07/01/2008 3.00,"0,43707001","5,6384066","0,2078717",,"27,98913956",
07/01/2008 4.00,"0,393231","4,09833973","0,20759685",,"27,98913956",
07/01/2008 5.00,"0,88103801","11,97220385","0,2292594",,"27,98913956",
07/01/2008 6.00,"1,02493894","43,66925838","0,47743515",,"27,98913956",
07/01/2008 7.00,"2,883214","73,79561772","0,8877241",,"27,98913956",
07/01/2008 8.00,"5,06164408","87,35126994","1,5192282",,"27,98913956",
07/01/2008 9.00,"9,22628784","119,50512156","2,8804234",,"27,98913956",
07/01/2008 10.00,"3,12737894","48,16057851","0,6592099",,"27,98913956",
07/01/2008 11.00,"0,97111601","15,99398688","0,3262297",,"27,98913956",
07/01/2008 12.00,"2,01256394","20,02725153","0,30896245",,"27,98913956",
07/01/2008 13.00,"5,42009687","28,47783213","0,3757947",,"27,98913956",
07/01/2008 14.00,"3,35422611","35,38964187","0,4305393",,"27,98913956",
07/01/2008 15.00,"1,15449595","18,49484221","0,2997797",,"27,98913956",
07/01/2008 16.00,"1,14540601","19,94941575","0,3487168",,"27,98913956",
07/01/2008 17.00,"1,15164006","55,86857793","0,6026598",,"27,98913956",
07/01/2008 18.00,"2,11089301","77,44865139","0,82242365",,"27,98913956",
07/01/2008 19.00,"1,93062794","83,90619963","0,98928635",,"27,98913956",
07/01/2008 20.00,"2,62952709","98,01052074","1,55215385",,"27,98913956",
07/01/2008 21.00,"4,20966482","98,91135045","1,54351965",,"27,98913956",
07/01/2008 22.00,"1,96511495","75,0511476","1,10211055",,"27,98913956",
07/01/2008 23.00,"0,93959802","60,80392692","0,82564135",,"27,98913956",
08/01/2008 0.00,"0,99264401","55,9055772","0,76387255",,"27,98913956",
08/01/2008 1.00,"1,24431205","57,33208998","0,8002896",,"24,20973969",
08/01/2008 2.00,"0,71912801",,"0,7736441",,"24,20973969",
08/01/2008 3.00,,"25,13102526","0,58574675",,"24,20973969",
08/01/2008 4.00,"0,084585","17,39625169",,,"24,20973969",
08/01/2008 5.00,"0,030248","11,77953678","0,3450161",,"24,20973969",
08/01/2008 6.00,"0,013061","21,35805903","0,3239458",,"24,20973969",
08/01/2008 7.00,"0,011972","44,80739505","0,38480265",,"24,20973969",
08/01/2008 8.00,"0,58920401","74,46421917","0,6659006",,"24,20973969",
08/01/2008 9.00,"1,44348097","80,48411514","1,0029127",,"24,20973969",
08/01/2008 10.00,"0,56142199","73,32734277","0,87735225",,"24,20973969",
08/01/2008 11.00,"0,131761","50,26462749","0,5412038",,"24,20973969",
08/01/2008 12.00,"0,226831","34,51303944","0,4761483",,"24,20973969",
08/01/2008 13.00,"0,230497","27,18912141","0,4468762",,"24,20973969",
08/01/2008 14.00,"2,69997191","33,40680453","0,37938845",,"24,20973969",
08/01/2008 15.00,"0,232531","21,17304387","0,3587494",,"24,20973969",
08/01/2008 16.00,"0,58957899","20,39726304","0,35121575",,"24,20973969",
08/01/2008 17.00,"1,18316603","15,80642296","0,3082506",,"24,20973969",
