, Brindisi,,,
,P.za San Giusto Casale,,,
Parm,SO2,NO2,NOX,PM10
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,,
05/01/2009 21.00,"0,2","20,4","24,0",
05/01/2009 22.00,"0,2","26,5","29,6","23,4"
05/01/2009 23.00,"0,1","13,2","16,1",
06/01/2009 0.00,"0,1","12,9","15,3","22,0"
06/01/2009 1.00,,"10,7","12,9",
06/01/2009 2.00,"0,0",,,"14,2"
06/01/2009 3.00,"0,0","17,2","20,6",
06/01/2009 4.00,"0,0","11,9","14,0","15,6"
06/01/2009 5.00,"0,0","9,1","11,3",
06/01/2009 6.00,"0,0","8,1","10,2","8,8"
06/01/2009 7.00,"0,0","10,0","12,3",
06/01/2009 8.00,"0,0","12,2","15,2","9,3"
06/01/2009 9.00,"0,0","12,0","15,2",
06/01/2009 10.00,"0,0","12,5","15,2","19,5"
06/01/2009 11.00,"0,0","9,2","11,9",
06/01/2009 12.00,"0,0","10,2","13,9","16,1"
06/01/2009 13.00,"0,0","10,7","14,0",
06/01/2009 14.00,"0,0","12,7","15,6","17,1"
06/01/2009 15.00,"0,2","11,0","13,6",
06/01/2009 16.00,"0,2","19,5","23,5","17,1"
06/01/2009 17.00,"0,0","44,5","55,9",
06/01/2009 18.00,"0,0","26,7","31,8","23,4"
06/01/2009 19.00,"0,1","57,9","86,3",
06/01/2009 20.00,"0,2","87,8","146,8","31,7"
06/01/2009 21.00,"2,8","104,5","262,7",
06/01/2009 22.00,"0,2","83,6","129,7","41,5"
06/01/2009 23.00,"0,0","55,3","69,3",
07/01/2009 0.00,"0,0","40,3","45,5","55,2"
07/01/2009 1.00,"0,0","35,2","39,0",
07/01/2009 2.00,"0,1","38,7","50,1","44,9"
07/01/2009 3.00,"1,1","49,6","80,7",
07/01/2009 4.00,"2,0","55,0","107,9","49,8"
07/01/2009 5.00,"0,6","56,0","75,3",
07/01/2009 6.00,"0,0","51,7","63,6","35,2"
07/01/2009 7.00,"0,3","59,2","78,9",
07/01/2009 8.00,"0,8","64,7","84,8","31,7"
07/01/2009 9.00,"1,9","73,7","119,9",
07/01/2009 10.00,"0,7","59,4","94,4","28,8"
07/01/2009 11.00,"0,6","36,6","51,4",
07/01/2009 12.00,"0,3","29,8","42,4","21,0"
07/01/2009 13.00,"0,1","20,6","28,1",
07/01/2009 14.00,"0,0","19,5","25,5","20,5"
07/01/2009 15.00,"0,1","19,4","25,1",
07/01/2009 16.00,,"19,4","23,9","19,0"
07/01/2009 17.00,,"19,5","23,8",
07/01/2009 18.00,"0,1","21,4","25,4","13,7"
07/01/2009 19.00,"0,0","27,7","31,5",
07/01/2009 20.00,"0,1","37,0","43,3","15,6"
07/01/2009 21.00,"0,2","52,3","61,9",
07/01/2009 22.00,"0,2","39,8","45,3","25,4"
07/01/2009 23.00,"0,0","27,1","30,6",
08/01/2009 0.00,"0,2","32,6","37,9","21,5"
08/01/2009 1.00,,"14,4","17,1",
08/01/2009 2.00,"0,0",,,"16,1"
08/01/2009 3.00,"0,0","21,0","22,9",
08/01/2009 4.00,"0,0","17,1","18,6","11,2"
08/01/2009 5.00,"0,0","16,5","18,6",
08/01/2009 6.00,"0,0","18,3","20,4","14,7"
08/01/2009 7.00,"0,0","38,0","45,0",
08/01/2009 8.00,"0,1","59,7","101,1","8,8"
08/01/2009 9.00,"0,1","61,2","122,7",
08/01/2009 10.00,"0,2","61,8","132,4","21,5"
