,SIMAGE Brindisi,,,,
,SISRI.,,,,
Parm,SO2,NO2,PM10,CO,NOX



04/01/2010 6.00,"1,64664911","5,15774428","2,44200301","0,2097967","10,73895067"
04/01/2010 7.00,"1,79628032","5,85599903",,"0,22701307","11,41337617"
04/01/2010 8.00,"1,50362433","34,40527368","2,44200301","0,33436665","68,48543088"
04/01/2010 9.00,"1,86706657","40,9595332",,"0,37183888","78,29446888"
04/01/2010 10.00,"1,1028287","28,33773288","8,79120922","0,42068383","46,09575792"
04/01/2010 11.00,,,,,
04/01/2010 12.00,"1,27308162","10,98258727","6,83760691","0,23059777","18,33403416"
04/01/2010 13.00,"1,94486097","11,25644303",,"0,18607497","18,21990114"
04/01/2010 14.00,"1,65405795","10,88005436","7,32600689","0,17742717","17,00852678"
04/01/2010 15.00,"2,56561234","14,76718286",,"0,2011489","24,82278856"
04/01/2010 16.00,"2,44271501","15,78731708","5,37240601","0,20266806","23,92139528"
04/01/2010 17.00,"1,34908508","7,31610548",,"0,21345829","13,10463194"
04/01/2010 18.00,"1,32630224","3,55097787","7,81440783","0,17150664","8,4316332"
04/01/2010 19.00,"0,9557288","2,798212",,"0,254436","7,2033969"
04/01/2010 20.00,"1,14737533","2,53863697","4,88400507","0,19078856","7,23193159"
04/01/2010 21.00,"0,9514991","1,6950205",,"0,15183562","5,60552512"
04/01/2010 22.00,"0,93482945","1,35887178","3,41880298","0,14427943","5,33834798"
04/01/2010 23.00,"0,8382653","1,45750995",,"0,40089631","5,57180318"
05/01/2010 0.00,"1,07720538","3,76382936","6,34920597","0,2760153","7,21377333"
05/01/2010 1.00,"1,60364628","4,11425498",,"0,18459425","7,69495107"
05/01/2010 2.00,"1,33516235","4,29855266","3,90720391","0,24033601","7,03608734"
05/01/2010 3.00,"1,77445448","5,34723304",,"0,25190446","8,28637091"
05/01/2010 4.00,"1,58182044","8,69444716","2,93040299","0,24847586","12,59492142"
05/01/2010 5.00,"1,67217886","7,6496577",,"0,20216245","11,16046637"
05/01/2010 6.00,"1,85780577","7,97931901","2,44200301","0,24462088","11,23179926"
05/01/2010 7.00,"1,83372626","5,66391378",,"0,22915667","9,38620494"
05/01/2010 8.00,"1,91707754","6,95010662","4,39560509","0,24999619","9,99059578"
05/01/2010 9.00,"1,6133088","6,64770087",,"0,24508804","9,40955046"
05/01/2010 10.00,"1,63328166","5,91699948","9,76801014","0,24734698","8,2306017"
05/01/2010 11.00,"1,57546114","5,85859553",,"0,2518264","10,75191977"
05/01/2010 12.00,"1,60549824","5,69376583","16,60560989","0,26471946","8,32917103"
05/01/2010 13.00,"1,59849009","4,23365938",,"0,23425937","8,2176326"
05/01/2010 14.00,"1,45966451","3,92736081","15,62880993","0,24115384","6,08929554"
05/01/2010 15.00,"1,60219502","3,59251034",,"0,25261278","6,74686293"
05/01/2010 16.00,"1,5087795","2,62429648","22,46640968","0,24750309","5,03485622"
05/01/2010 17.00,"1,59478618","3,18627534",,"0,24243883","5,88956228"
05/01/2010 18.00,"1,51232985","3,01106349","16,11721039","0,25868243","6,03093174"
05/01/2010 19.00,"1,50766894","2,23104206",,"0,21996365","4,87013933"
05/01/2010 20.00,"1,59108125","2,01429774","13,18680954","0,22775401","4,42397986"
05/01/2010 21.00,"1,58922929","1,76510678",,"0,18397098","3,68340873"
05/01/2010 22.00,"1,58512366","1,25504254","26,86202049","0,26362902","4,47586007"
