, Brindisi,,,,
,Mesagne,,,,
Parm,SO2,NOX,NO,NO2,PM10



05/01/2009 13.00,"2,4","16,3","3,0","11,6",
05/01/2009 14.00,"2,4","18,3","4,6","11,3",
05/01/2009 15.00,"3,4","22,4","7,1","11,5",
05/01/2009 16.00,"3,0","28,0","9,1","14,1",
05/01/2009 17.00,"3,2","38,5","10,4","22,5",
05/01/2009 18.00,"3,2","49,5","11,5","31,8",
05/01/2009 19.00,"3,6","39,3","9,6","24,6",
05/01/2009 20.00,"3,0","47,2","9,4","32,8",
05/01/2009 21.00,"3,5","39,3","8,4","26,5",
05/01/2009 22.00,"2,9","30,7","7,0","20,0",
05/01/2009 23.00,"2,7","22,3","5,9","13,3",
06/01/2009 0.00,"3,3","18,1","5,5","9,8",
06/01/2009 1.00,,"19,0","5,4","10,7",
06/01/2009 2.00,"1,2","18,0","5,3","9,8",
06/01/2009 3.00,"0,7","15,5","5,0","7,8",
06/01/2009 4.00,"0,6","15,1","4,9","7,6",
06/01/2009 5.00,"0,7","14,1","5,0","6,5",
06/01/2009 6.00,"0,8","14,4","5,1","6,6",
06/01/2009 7.00,"0,6","19,4","5,3","11,4",
06/01/2009 8.00,"0,8","16,9","4,5","10,0",
06/01/2009 9.00,"0,8","18,4","4,9","10,9",
06/01/2009 10.00,"0,6","24,2","5,9","15,2",
06/01/2009 11.00,"0,6","23,9","6,1","14,4",
06/01/2009 12.00,"0,8","22,8","7,7","11,0",
06/01/2009 13.00,"0,7","25,9","9,6","11,1",
06/01/2009 14.00,"0,5","25,6","9,6","10,9",
06/01/2009 15.00,"0,6","29,4","10,5","13,2",
06/01/2009 16.00,"0,5","27,8","10,7","11,3",
06/01/2009 17.00,"0,4","38,9","11,2","21,6",
06/01/2009 18.00,"0,9","83,7","24,9","45,4",
06/01/2009 19.00,"2,2","210,8","94,7","65,4",
06/01/2009 20.00,"3,1","233,5","110,0","64,7",
06/01/2009 21.00,"4,0","278,7","134,7","72,0",
06/01/2009 22.00,"1,3","108,0","35,9","52,9",
06/01/2009 23.00,"1,4","127,9","45,9","57,5",
07/01/2009 0.00,"1,0","101,1","30,2","54,8",
07/01/2009 1.00,"1,1","86,0","25,8","46,4",
07/01/2009 2.00,"0,5","47,5","9,4","33,1",
07/01/2009 3.00,"0,5","37,6","7,9","25,5",
07/01/2009 4.00,"0,5","31,9","6,6","21,7",
07/01/2009 5.00,"0,5","28,2","6,3","18,6",
07/01/2009 6.00,"0,6","27,9","3,8","22,0",
07/01/2009 7.00,"0,8","44,9","4,0","38,8",
07/01/2009 8.00,"1,0","66,0","8,1","53,7",
07/01/2009 9.00,"0,7","81,1","13,7","60,2",
07/01/2009 10.00,"0,7","58,0","9,2","44,0",
07/01/2009 11.00,"0,8","43,4","7,4","32,1",
07/01/2009 12.00,"0,3","36,6","8,0","24,3",
07/01/2009 13.00,"0,4","40,2","10,2","24,5",
07/01/2009 14.00,"0,7","43,4","10,8","26,8",
07/01/2009 15.00,"0,9","41,2","10,2","25,5",
07/01/2009 16.00,"0,6","39,6","10,5","23,5",
07/01/2009 17.00,"0,6","49,1","11,4","31,6",
07/01/2009 18.00,"0,5","42,8","10,6","26,5",
