NetC,SIMAGE Brindisi,,,,
Stat,S.I.S.R.I.,,,,
Parm,SO2,NO2,PM10,CO,BENZENE
PtId,1,4,5,6,7
Unit,ug/m3 293K,ug/m3 293K,ug/m3,mg/m3 293K,ug/m3 293K
Field,Aver,Aver,Aver,Aver,Aver
01/01/2006 1.00,,,,"0,501327",
01/01/2006 2.00,,,"14,16361","0,527424",
01/01/2006 3.00,,,,"0,427414",
01/01/2006 4.00,,,"20,02442","0,446101",
01/01/2006 5.00,,,,"0,421835",
01/01/2006 6.00,,,"20,51281","0,382111",
01/01/2006 7.00,,,,"0,357965",
01/01/2006 8.00,,,"15,62881","0,355415",
01/01/2006 9.00,,,,"0,340513",
01/01/2006 10.00,,,"12,21001","0,36203",
01/01/2006 11.00,,,,"0,383306",
01/01/2006 12.00,,,"8,302809","0,384342",
01/01/2006 13.00,,,,"0,336886",
01/01/2006 14.00,,,"10,25641","0,328122",
01/01/2006 15.00,,,,"0,317363",
01/01/2006 16.00,,,"5,860806","0,289552",
01/01/2006 17.00,,,,"0,310589",
01/01/2006 18.00,,,"5,860806","0,327644",
01/01/2006 19.00,,,,"0,347207",
01/01/2006 20.00,,,"3,907204","0,340632",
01/01/2006 21.00,,,,"0,327086",
01/01/2006 22.00,,,"2,442003","0,33605",
01/01/2006 23.00,,,,"0,32605",
02/01/2006 0.00,,,"1,953602","0,268712",
02/01/2006 1.00,,,,"0,301864",
02/01/2006 2.00,"0,748461",,"2,442003","0,28457",
02/01/2006 3.00,"0,457312",,,,
02/01/2006 4.00,"0,608016",,"5,372406","0,193795",
02/01/2006 5.00,"0,40992",,,"0,193478",
02/01/2006 6.00,"0,779526",,"3,907204","0,196847",
02/01/2006 7.00,"3,186886",,,"0,322991",
02/01/2006 8.00,"0,955083",,"2,930403","0,207982",
02/01/2006 9.00,"0,586198",,,"0,188603",
02/01/2006 10.00,"0,5914",,"1,465201","0,201641",
02/01/2006 11.00,"0,574639",,,"0,210241",
02/01/2006 12.00,"0,219336",,"2,442003","0,187493",
02/01/2006 13.00,"1,633322",,,"0,158048",
02/01/2006 14.00,"0,966498",,"0,976801","0,162129",
02/01/2006 15.00,"0,411364",,,"0,138866",
02/01/2006 16.00,"0,727365",,"1,953602","0,168034",
02/01/2006 17.00,"0,32207",,,"0,267864",
02/01/2006 18.00,"0,501093",,"6,349206","0,342529",
02/01/2006 19.00,"0,804523",,,"0,380693",
02/01/2006 20.00,"0,861597",,"3,907204","0,433522",
02/01/2006 21.00,"0,681273",,,"0,302264",
02/01/2006 22.00,"0,578107",,"7,814408","0,264694",
02/01/2006 23.00,"0,397205",,,"0,309477",
03/01/2006 0.00,"0,43665",,"9,76801","0,36504",
03/01/2006 1.00,"0,408908",,,"0,419136",
03/01/2006 2.00,"0,572038",,"12,69841","0,367536",
03/01/2006 3.00,"0,411509",,,"0,225816",
03/01/2006 4.00,"0,12773",,"7,814408","0,165022",
03/01/2006 5.00,"0,281324",,,"0,147308",
03/01/2006 6.00,"0,426103",,"7,814408","0,151667",
03/01/2006 7.00,"0,865787",,,"0,221219",
03/01/2006 8.00,"3,195555",,"3,907204","0,479571",
03/01/2006 9.00,"5,914292",,,"0,969528",
03/01/2006 10.00,"1,284089",,"13,18681","0,530893",
03/01/2006 11.00,,,,"0,181192",
03/01/2006 12.00,"2,742887","17,173442","2,442003","0,295566",
03/01/2006 13.00,"4,864914","7,915721",,"0,223558",
03/01/2006 14.00,"5,099303","7,491317","6,349206","0,205684",
03/01/2006 15.00,"4,977635","8,201254",,"0,155986",
03/01/2006 16.00,"4,734299","11,386226","5,372406","0,162169",
03/01/2006 17.00,"5,45357","18,490777",,"0,196688",
03/01/2006 18.00,"5,102881","43,672085","4,884005","0,282092",
03/01/2006 19.00,"4,923958","27,88996",,"0,215869",
03/01/2006 20.00,"5,17624","11,73276","3,418803","0,195658",
03/01/2006 21.00,"5,460726","8,538699",,"0,208141",
03/01/2006 22.00,"5,188764","20,098829","3,907204","0,228036",
03/01/2006 23.00,"5,312221","47,496927",,"0,344233",
04/01/2006 0.00,"4,369297","26,493455","2,930403","0,270718",
04/01/2006 1.00,,"9,554935",,"0,172948",
04/01/2006 2.00,"1,163312",,"6,837607","0,188762",
04/01/2006 3.00,"1,266005","20,697151",,,
04/01/2006 4.00,"0,972053","16,244164","6,349206","0,308277",
04/01/2006 5.00,"0,902414","11,994928",,"0,286843",
04/01/2006 6.00,"1,659029","12,437506","6,349206","0,251171",
04/01/2006 7.00,"1,172821","7,400467",,"0,175613",
