NetC,SIMAGE Brindisi,,
Stat,P.za San Giusto Casale,,
Parm,SO2,NO2,PM10
PtId,1,4,5
Unit,ug/m3 293K,ug/m3 293K,ug/m3
Field,Aver,Aver,Aver
01/01/2006 1.00,"6,387173","21,453825",
01/01/2006 2.00,"2,074277","23,896405","91,330879"
01/01/2006 3.00,"1,432359","19,115052",
01/01/2006 4.00,"1,392802","14,329803","63,492062"
01/01/2006 5.00,"1,035701","10,619186",
01/01/2006 6.00,"0,37724","9,32651","50,305241"
01/01/2006 7.00,"0,402773","14,312927",
01/01/2006 8.00,"0,371486","15,272062","30,28083"
01/01/2006 9.00,"0,342357","14,869716",
01/01/2006 10.00,"0,526482","8,754147","28,81562"
01/01/2006 11.00,"1,121289","13,684757",
01/01/2006 12.00,"1,481628","12,874886","22,954821"
01/01/2006 13.00,"1,848797","12,846332",
01/01/2006 14.00,"2,139728","11,817125","16,60561"
01/01/2006 15.00,"1,995881","8,074062",
01/01/2006 16.00,"1,898065","7,776849","23,44322"
01/01/2006 17.00,"1,025991","8,549084",
01/01/2006 18.00,"0,370407","11,055273","30,28083"
01/01/2006 19.00,"0,566399","12,327182",
01/01/2006 20.00,"0,748726","12,60882","20,51281"
01/01/2006 21.00,"1,156532","13,371971",
01/01/2006 22.00,"1,607854","11,826209","25,39682"
01/01/2006 23.00,"1,565058","9,117551",
02/01/2006 0.00,"1,039657","6,406297","27,83882"
02/01/2006 1.00,,"4,746318",
02/01/2006 2.00,"1,618892",,"15,62881"
02/01/2006 3.00,"1,639612","4,072722",
02/01/2006 4.00,"0,675665","3,469211","20,02442"
02/01/2006 5.00,"0,789627","2,160956",
02/01/2006 6.00,"0,867103","4,045467","17,094"
02/01/2006 7.00,"2,997246","13,081252",
02/01/2006 8.00,"1,639162","15,667909","14,16361"
02/01/2006 9.00,"0,930616","19,950878",
02/01/2006 10.00,"1,322501","17,991097","13,67521"
02/01/2006 11.00,"1,434662","16,362271",
02/01/2006 12.00,"2,372932","9,046169","7,326007"
02/01/2006 13.00,"4,690007","9,270701",
02/01/2006 14.00,"1,915283","10,32457","3,907204"
02/01/2006 15.00,"1,478355","9,316126",
02/01/2006 16.00,"1,590965","14,560826","7,814408"
02/01/2006 17.00,"0,706295","24,603748",
02/01/2006 18.00,"1,876095","64,140828","17,094"
02/01/2006 19.00,"1,732403","66,81184",
02/01/2006 20.00,"0,775663","50,513164","30,76923"
02/01/2006 21.00,"0,533775","43,717517",
02/01/2006 22.00,"0,564856","37,945877","27,83882"
02/01/2006 23.00,"0,329725","34,921817",
03/01/2006 0.00,"0,524316","29,468182","31,25762"
03/01/2006 1.00,"0,298644","21,792555",
03/01/2006 2.00,"0,308103","16,459613","26,86202"
03/01/2006 3.00,"0,278374","14,097478",
03/01/2006 4.00,"0,281076","9,953382","20,02442"
03/01/2006 5.00,"0,386931","14,336293",
03/01/2006 6.00,"0,299996","10,895628","12,21001"
03/01/2006 7.00,"0,343688","25,069685",
03/01/2006 8.00,"2,068883","57,870809","16,60561"
03/01/2006 9.00,"2,167531","47,422932",
03/01/2006 10.00,"1,407184","48,389851","20,02442"
03/01/2006 11.00,"6,502587","33,26056",
03/01/2006 12.00,"1,86033","24,786747","19,0476"
03/01/2006 13.00,"2,033299","16,018328",
03/01/2006 14.00,"1,345023","18,401225","14,65201"
03/01/2006 15.00,"0,997732","17,918417",
03/01/2006 16.00,"1,285114","18,213035","16,60561"
03/01/2006 17.00,"1,151332","28,868561",
