,Regione Puglia,,,
,Scuola Elementare G.Ungaretti Via Ca del Fico,,,
Parm,SO2,NOX,NO,NO2



04/01/2006 23.00,3,"43,63797752","1,38639714","41,5383912"
05/01/2006 0.00,3,"15,4923624","0,4612865","14,79444225"
05/01/2006 1.00,3,"5,35391166","0,15376258","5,1979785"
05/01/2006 2.00,3,"5,06598358","0,00168969","5,50427516"
05/01/2006 3.00,3,"4,48364191","0,03041433","4,6749356"
05/01/2006 4.00,3,"3,17239996","0,04984633","3,28102068"
05/01/2006 5.00,3,"2,98044854","0,02534528","3,05648878"
05/01/2006 6.00,3,"3,24114018",0,"3,38355359"
05/01/2006 7.00,3,"4,70801894","0,03041433","4,95008387"
05/01/2006 8.00,3,"7,37330105","0,05491539","7,52116939"
05/01/2006 9.00,3,"32,89775728","3,20451192","27,99898384"
05/01/2006 10.00,4,"60,29505384","11,09285934","43,2957104"
05/01/2006 11.00,4,"59,21725944","9,51299888","44,64418664"
05/01/2006 12.00,3,"60,4039996","12,2629768","41,60716584"
05/01/2006 13.00,3,"19,13426352","2,33685181","15,55758454"
05/01/2006 14.00,4,"11,88028848","2,25743662","8,42059522"
05/01/2006 15.00,4,"14,98913547","2,89952066","10,54520771"
05/01/2006 16.00,4,"16,94756839","3,93868442","10,90860626"
05/01/2006 17.00,4,"20,54017624","3,0659565","15,84442087"
05/01/2006 18.00,3,"20,54535776","2,56242663","16,62313641"
05/01/2006 19.00,3,"19,87223816","1,76742423","17,17084984"
05/01/2006 20.00,3,"29,49189256","2,6671871","25,41491584"
05/01/2006 21.00,4,"32,5410928","3,91840944","26,54406656"
05/01/2006 22.00,3,"8,81683428","1,09407914","7,14219187"
05/01/2006 23.00,3,"6,64569901","0,40806205","6,03250914"
06/01/2006 0.00,3,"19,9785836","0,38778583","19,427832"
06/01/2006 1.00,,"13,4016382","0,46804649","12,69448691"
06/01/2006 2.00,3,,,
06/01/2006 3.00,3,"10,49900997","0,58041116","9,61463731"
06/01/2006 4.00,3,"8,06199389","0,65475855","7,06172344"
06/01/2006 5.00,3,"27,15215904","2,75420775","22,93987008"
06/01/2006 6.00,3,"17,25495107","0,83893546","15,97810026"
06/01/2006 7.00,3,"12,52747754","0,74346764","11,39401717"
06/01/2006 8.00,3,"19,83592928","1,32134365","17,81978073"
06/01/2006 9.00,3,"28,4789532","2,43485479","24,7582012"
06/01/2006 10.00,3,"28,27404416","3,50020929","22,91652456"
06/01/2006 11.00,3,"30,96396048","6,06854919","21,6627688"
06/01/2006 12.00,3,"24,85003456","4,19552028","18,42199572"
06/01/2006 13.00,4,"14,07217469","1,79361497","11,32652739"
06/01/2006 14.00,4,"13,92950698","2,43400932","10,19997508"
06/01/2006 15.00,4,"12,2667859","2,0124298","9,18374326"
06/01/2006 16.00,3,"13,21098312","2,02932665","10,10263707"
06/01/2006 17.00,4,"18,37683428","1,57057405","15,97679819"
06/01/2006 18.00,4,"32,56053784","1,8603569","29,72515656"
06/01/2006 19.00,3,"36,42681216","2,17717596","33,10740808"
06/01/2006 20.00,3,"49,93352432","3,05412871","45,2762556"
06/01/2006 21.00,3,"38,16994432","1,55198752","35,81218064"
06/01/2006 22.00,3,"35,25305448","1,71504275","32,64277296"
06/01/2006 23.00,3,"25,29878096","0,60829034","24,38180488"
07/01/2006 0.00,3,"18,92415766","0,50521956","18,1611167"
07/01/2006 1.00,3,"15,24723444","0,23486871","14,91514298"
07/01/2006 2.00,3,"9,37453218","0,07434739","9,28497792"
07/01/2006 3.00,3,"10,04247408","0,00760421","10,25318413"
07/01/2006 4.00,3,"7,75980038",0,"8,18567926"
07/01/2006 5.00,3,"4,66262423","0,00084422","4,88129776"
07/01/2006 6.00,3,"5,49139019","0,00168969","5,64314754"
07/01/2006 7.00,3,"12,09688175","0,07181224","12,37779662"
07/01/2006 8.00,3,"19,33917256","0,57196274","18,4739027"
07/01/2006 9.00,3,"27,48807832","2,50497734","23,6588968"
07/01/2006 10.00,3,"34,14285168","4,93729698","26,58171384"
07/01/2006 11.00,3,"30,52817744","3,81787132","24,68422592"
07/01/2006 12.00,3,"11,41337617","1,15490905","9,64708395"
07/01/2006 13.00,4,"10,76229619","1,30782617","8,76063678"
07/01/2006 14.00,4,"12,12022727","1,88063312","9,23955262"
07/01/2006 15.00,4,"12,98920068","2,23377978","9,56661552"
07/01/2006 16.00,4,"17,30682937","3,54836593","11,86774002"
07/01/2006 17.00,4,"19,55188256","4,05527393","13,33562831"
07/01/2006 18.00,4,"30,99378768","4,32900539","24,36494104"
07/01/2006 19.00,3,"24,61397904","2,7204128","20,45186096"
07/01/2006 20.00,3,"28,652754","2,6502915","24,60114952"
07/01/2006 21.00,3,"30,60209536","2,09100078","27,41104384"
07/01/2006 22.00,3,"40,73667048","2,20167577","37,38260184"
07/01/2006 23.00,3,"53,93339008","4,9356073","46,38854248"
08/01/2006 0.00,3,"33,50862216","2,10874309","30,29231312"
08/01/2006 1.00,,"28,67739968","2,81165704","24,37792352"
08/01/2006 2.00,3,,,
08/01/2006 3.00,3,"36,31784728","1,47003717","34,08470776"
08/01/2006 4.00,3,"24,57246952","0,64461919","23,59920416"
08/01/2006 5.00,3,"27,7396784","0,64884403","26,76211104"
08/01/2006 6.00,3,"12,92564962","0,22050452","12,59714126"
08/01/2006 7.00,3,"15,52867893","0,18755628","15,26296829"
08/01/2006 8.00,3,"24,23266888","0,48494334","23,52262856"
08/01/2006 9.00,3,"44,14901688","8,05141013","31,81084264"
08/01/2006 10.00,3,"59,46495904","12,10499312","40,91022272"
08/01/2006 11.00,4,"55,03062952","10,94670096","38,25217944"
