,Provincia di TARANTO,,,,,,
,TA V.Archimede,,,,,,
Parm,SO2,NOX,NO,NO2,CO,H2S,PM10



03/01/2006 21.00,"0,071901","20,917605","4,036571","14,738629",0,"0,145126","16,97748"
03/01/2006 22.00,"0,092533","25,328607","5,342621","17,148776",0,"0,281331","16,97748"
03/01/2006 23.00,"0,060289","17,074671","3,214369","12,154564",0,"0,23338","16,97748"
04/01/2006 0.00,"0,058234","16,039685","3,149236","11,218807",0,"0,249658","16,97748"
04/01/2006 1.00,"0,059664","15,41973","3,104404","10,667208",0,"0,199353","17,698681"
04/01/2006 2.00,"0,025723",,,,0,"0,204649","17,698681"
04/01/2006 3.00,,"11,62608","3,058726","6,94102",,"0,413415","17,698681"
04/01/2006 4.00,"0,116863","12,648095","3,128089","7,857318","0,002839","0,194843","17,698681"
04/01/2006 5.00,"0,065738","15,194057","3,018969","10,572459","0,007891",,"17,698681"
04/01/2006 6.00,"0,06294","16,038389","3,120477","11,26163","0,01148","1,244364","17,698681"
04/01/2006 7.00,"0,0913","23,556947","3,913072","17,569289","0,010141","0,297693","17,698681"
04/01/2006 8.00,"0,123083","36,958576","6,911741","26,379232","0,008294","0,166611","17,698681"
04/01/2006 9.00,"0,169775","59,020092","15,951723","34,585691","0,069337","0,115066","17,698681"
04/01/2006 10.00,"0,298125","71,058619","22,459978","36,64669","0,394209","0,177887","17,698681"
04/01/2006 11.00,"0,208848","49,855684","6,806005","39,447522","0,317736","0,104587","17,698681"
04/01/2006 12.00,"0,16177","35,354217","4,139769","29,026893","0,280049","0,13203","17,698681"
04/01/2006 13.00,"0,228667","28,333698","3,648309","22,762073","0,122468","0,105336","17,698681"
04/01/2006 14.00,"0,156413","21,671143","3,355632","16,537479","0,007875","0,120754","17,698681"
04/01/2006 15.00,"0,215306","21,392297","3,269352","16,390822","0,014467","0,136871","17,698681"
04/01/2006 16.00,"0,129213","22,898073","3,252434","17,923605","0,000905","0,092312","17,698681"
