,Provincia di TARANTO,,,,,,,
,MANDURIA,,,,,,,
Parm,NOX,NO,NO2,CO,O3,Benzene,Toluene,Xyleni



01/01/2006 1.00,"34,878226","9,237083","21,471988","0,437789","24,877789","0,023327","0,001038",0
01/01/2006 2.00,"62,454502","20,28435","31,374752","1,016666","16,597212","0,750429","2,319137","1,102323"
01/01/2006 3.00,"23,90323","5,946585","14,858036","0,459965","28,484431","0,119277","0,914575","0,344514"
01/01/2006 4.00,"10,707823","1,167324","8,94234","0,231682","33,974791",0,"0,188936",0
01/01/2006 5.00,"14,183715","2,571496","10,289528","0,245438","31,87208",0,0,0
01/01/2006 6.00,"19,034399","3,992586","12,955354","0,216137","28,786593",0,0,0
01/01/2006 7.00,"6,814305","0,746073","6,408892","0,138067","39,4291",0,0,0
01/01/2006 8.00,"31,150704","9,514535","17,035868","0,175526","30,004979",0,0,0
01/01/2006 9.00,"10,614441","1,02014","9,422552","0,239315","37,164215",0,0,0
01/01/2006 10.00,"10,772672","0,455088","10,08187","0,278859","41,188074","0,00044","0,028029",0
01/01/2006 11.00,"13,309554","2,265285","9,907955","0,417763","41,946271","0,040932","0,036333",0
01/01/2006 12.00,"19,934492","4,327556","13,308378","0,546063","43,373975","0,016285","0,17025","0,017345"
01/01/2006 13.00,"34,924917","9,737849","20,007971","0,652696","40,56988","0,144805","0,835678","0,096297"
01/01/2006 14.00,"25,508889","5,990571","16,335007","0,537183","45,279858","0,298411","1,921541","0,850517"
01/01/2006 15.00,"6,513408","0,338355","6,408892","0,280418","50,487464","0,152727","0,524245","0,251806"
01/01/2006 16.00,"5,654809","0,049061","5,941658","0,334604","55,546725",0,0,0
01/01/2006 17.00,"10,658538","1,492144","8,376468","0,391335","56,533632",0,0,0
01/01/2006 18.00,"15,475501","3,298958","10,424508","0,34053","56,627897","0,00044",0,0
01/01/2006 19.00,"12,570277","2,65101","8,511445","0,449083","59,933752",0,"0,002077",0
01/01/2006 20.00,"14,967087","3,899539","8,994255","0,542681","59,659297",0,"0,156754","0,067587"
01/01/2006 21.00,"21,918861","5,834927","12,981312","0,469224","55,092084","0,047094","0,451577","0,270347"
01/01/2006 22.00,"20,590767","4,315715","13,983268","0,362281","51,317723","0,06646","0,334272","0,2536"
01/01/2006 23.00,"8,842772","0,470314","8,197361","0,286163","55,740781",0,0,0
02/01/2006 0.00,"4,435652","0,120116","4,511402","0,200625","61,271338",0,0,0
02/01/2006 1.00,"2,835186","0,013534","3,223915","0,097456","59,602482",0,0,0
02/01/2006 2.00,,,,"0,06937","59,815925",0,0,0
02/01/2006 3.00,"40,675716",0,"41,864155",,"61,94914",0,0,0
02/01/2006 4.00,"24,453161",0,"26,728363","0,166226",,0,0,0
02/01/2006 5.00,"18,567489",0,"20,859385","0,226779","58,751393",0,0,0
02/01/2006 6.00,"16,092862",0,"17,843146","0,306871","57,34031",0,0,0
02/01/2006 7.00,"13,85947",0,"15,294124","0,229303","58,358198",0,0,0
02/01/2006 8.00,"16,790634","0,407717","16,724376","0,316396","54,025917",0,0,0
02/01/2006 9.00,"29,967884","3,053651","25,303293","0,48672","47,823802","0,120597","0,248108","0,019738"
02/01/2006 10.00,"59,346948","13,600155","38,520832","0,788832","34,991484","0,242073","1,564432","0,687831"
02/01/2006 11.00,"24,62436","3,508738","19,257816","0,404376","54,438643","0,181776","2,311871","1,465378"
02/01/2006 12.00,"17,524721","1,997985","14,471273","0,361067","61,807854","0,002201","0,518017","0,209339"
02/01/2006 13.00,"17,838589","1,950615","14,858036","0,460347","64,132244","0,036532","0,571998","0,162686"
02/01/2006 14.00,"30,961378","6,232494","21,420059","0,568908","59,417901","0,014964","0,116269","0,040672"
02/01/2006 15.00,"23,848757","3,121322","19,076117","0,757379","62,308419","0,022447","0,526322","0,169266"
02/01/2006 16.00,"31,908162","5,645448","23,268237","0,837624","57,387711","0,00044","0,124573","0,043662"
02/01/2006 17.00,"63,136726","15,826538","38,897212","1,165247","42,554488","0,146125","1,88936","0,688429"
02/01/2006 18.00,"193,752323","80,107152","70,975427","2,795711","15,130204","2,171183","18,213635","12,012509"
02/01/2006 19.00,"138,86963","51,475587","59,985041","1,90631","15,476005","1,945834","13,377079","9,742072"
02/01/2006 20.00,"214,656989","95,143638","68,823566","3,252913","32,918059","2,151377","9,074118","5,726937"
02/01/2006 21.00,"254,668642","112,389498","82,401885","3,30606","16,032357","6,65175","23,485154","15,112528"
02/01/2006 22.00,"137,040895","47,327351","64,519809","2,089545","12,961968","3,763148","13,588858","9,056037"
02/01/2006 23.00,"75,914488","15,657356","51,943437","2,071721","18,637018","2,42514","7,699661","4,360846"
03/01/2006 0.00,"91,115057","25,197268","52,517094","2,9037","19,044172","2,353398","10,346835","7,753944"
03/01/2006 1.00,"74,503412","21,011812","42,31581","2,291249","6,511654","3,181291","8,011094","4,336323"
03/01/2006 2.00,"38,701708","8,890269","25,539519","1,250469","7,727537","1,786505","4,235489","2,101173"
03/01/2006 3.00,"14,020296","0,064288","16,05986","0,934025","17,266361","0,849019","0,269909",0
03/01/2006 4.00,"7,04776",0,"9,583486","0,655123","30,872546","0,543566","0,787926","0,044261"
03/01/2006 5.00,"6,277358",0,"8,288212","0,531237","35,260589",0,0,0
03/01/2006 6.00,"11,62608","0,106582","13,313565","0,564788","28,291574",0,"0,003114",0
03/01/2006 7.00,"41,256754","6,85845","30,842625","0,780766","21,311388",0,"0,157793","0,001794"
03/01/2006 8.00,"143,754061","50,885157","65,778745","1,806627","7,851636","0,354309","3,062424","1,734529"
03/01/2006 9.00,"168,038599","64,471793","69,233669","2,192293","7,889284","2,038702","13,89406","9,193603"
03/01/2006 10.00,"155,945628","51,918833","76,392736","2,986366","16,742078","2,056308","16,47065","11,942529"
03/01/2006 11.00,"105,067899","31,00512","57,568405","2,059624","21,540076","2,953741","17,808767","14,64301"
03/01/2006 12.00,"75,385323","26,054992","35,46045","1,307415","25,431741","1,052801","8,762685","10,408964"
03/01/2006 13.00,"49,163082","14,254868","27,325386","0,900127","44,411794","0,669885","6,459119","4,581549"
03/01/2006 14.00,"49,985396","13,566325","29,20471","0,787154","47,306479","0,083186","0,866822","0,600506"
03/01/2006 15.00,"29,887466","5,965194","20,755563","0,490347","51,619248","0,00044","0,273023","0,208741"
03/01/2006 16.00,"46,646967","11,351791","29,261821","0,512865","40,290063","0,116195","0,473378","0,375616"
03/01/2006 17.00,"95,026705","26,917804","53,791595","1,528951","28,364072","0,314256","1,308019","0,581366"
03/01/2006 18.00,"161,23467","56,339436","74,902786","2,771436","26,523525","4,03163","14,945659","9,283918"
03/01/2006 19.00,"126,709236","42,17253","62,090189","2,238262","19,826407","3,779874","11,118148","6,837036"
03/01/2006 20.00,"117,015623","37,679165","59,284197","1,895422","18,264723","3,362186","11,893621","7,995581"
03/01/2006 21.00,"122,423997","41,192984","59,304962","2,073818","14,58361","3,087102","8,738809","4,983482"
03/01/2006 22.00,"85,87268","21,368779","53,145242","1,298052","12,206226","1,908862","7,764024","4,834551"
03/01/2006 23.00,"36,157027","5,667441","27,49152","0,561803","38,187351","1,031675","1,958913","0,994065"
04/01/2006 0.00,"15,283548","1,169016","13,728892","0,266441","41,625853","0,124998","0,383062","0,155509"
04/01/2006 1.00,"9,242241","0,052445","10,639947","0,412981","48,813779",0,0,0
04/01/2006 2.00,,,,"0,486291","39,760191",0,0,0
04/01/2006 3.00,"63,922673","0,28591","64,000658",,"32,480238",0,0,0
04/01/2006 4.00,"37,264649","0,395875","38,30539","0,363267",,"0,115316","0,88966","0,484472"
04/01/2006 5.00,"25,348072",0,"27,475937","0,155113","41,090757",0,0,0
04/01/2006 6.00,"24,499831","0,123499","25,261764","0,101764","36,709316",0,0,0
04/01/2006 7.00,"55,821775","9,998381","40,519561","0,6398","19,720705","0,048414","0,445349","0,245226"
04/01/2006 8.00,"77,016945","19,237144","47,554018","0,909451","12,636627","0,363551","2,93785","1,825443"
