,Regione Puglia,,
,Zona Ind. C/O Ex Ciapi,,
Parm,SO2,NO2,NOX



01/01/2006 1.00,1,17,"20,66468568"
01/01/2006 2.00,1,29,"38,00264432"
01/01/2006 3.00,1,28,"36,46702152"
01/01/2006 4.00,1,16,"20,85535032"
01/01/2006 5.00,1,16,"22,05245352"
01/01/2006 6.00,1,19,"25,6178364"
01/01/2006 7.00,1,19,"25,8694556"
01/01/2006 8.00,1,21,"27,49456"
01/01/2006 9.00,1,19,"26,51792952"
01/01/2006 10.00,1,21,"28,15471624"
01/01/2006 11.00,1,18,"26,59316672"
01/01/2006 12.00,1,13,"20,834586"
01/01/2006 13.00,1,8,"14,29136446"
01/01/2006 14.00,1,9,"16,02152752"
01/01/2006 15.00,1,7,"11,92697952"
01/01/2006 16.00,1,12,"17,05002865"
01/01/2006 17.00,1,9,"14,63635809"
01/01/2006 18.00,1,11,"16,60257285"
01/01/2006 19.00,1,15,"21,13679672"
01/01/2006 20.00,1,16,"21,44416984"
01/01/2006 21.00,1,10,"16,2510918"
01/01/2006 22.00,1,17,"22,54530976"
01/01/2006 23.00,1,22,"27,90829768"
02/01/2006 0.00,1,14,"19,67251064"
02/01/2006 1.00,,11,"16,93330105"
02/01/2006 2.00,,,
02/01/2006 3.00,,,
02/01/2006 4.00,,,
02/01/2006 5.00,,,
02/01/2006 6.00,,,
02/01/2006 7.00,,,
02/01/2006 8.00,,,
02/01/2006 9.00,,,
02/01/2006 10.00,,,
02/01/2006 11.00,,,
02/01/2006 12.00,,,
02/01/2006 13.00,,,
02/01/2006 14.00,,,
02/01/2006 15.00,,,
02/01/2006 16.00,,,
02/01/2006 17.00,,,
02/01/2006 18.00,,,
02/01/2006 19.00,,,
02/01/2006 20.00,,,
02/01/2006 21.00,,,
02/01/2006 22.00,,,
02/01/2006 23.00,,,
03/01/2006 0.00,,,
03/01/2006 1.00,,,
03/01/2006 2.00,,,
03/01/2006 3.00,,,
03/01/2006 4.00,,,
03/01/2006 5.00,,,
03/01/2006 6.00,,,
03/01/2006 7.00,,,
03/01/2006 8.00,,,
03/01/2006 9.00,,,
03/01/2006 10.00,,,
03/01/2006 11.00,,,
03/01/2006 12.00,,,
03/01/2006 13.00,,,
03/01/2006 14.00,,,
03/01/2006 15.00,,,
03/01/2006 16.00,,,
03/01/2006 17.00,,,
03/01/2006 18.00,,,
03/01/2006 19.00,,,
03/01/2006 20.00,,,
03/01/2006 21.00,,,
03/01/2006 22.00,,,
03/01/2006 23.00,,,
04/01/2006 0.00,,,
04/01/2006 1.00,,,
04/01/2006 2.00,,,
04/01/2006 3.00,,,
04/01/2006 4.00,,,
04/01/2006 5.00,,,
04/01/2006 6.00,,,
04/01/2006 7.00,,,
04/01/2006 8.00,,,
04/01/2006 9.00,,,
04/01/2006 10.00,,,
04/01/2006 11.00,,,
04/01/2006 12.00,,,
04/01/2006 13.00,1,49,"74,19081976"
04/01/2006 14.00,1,51,"73,64869128"
04/01/2006 15.00,1,45,"71,4295476"
04/01/2006 16.00,1,58,"102,55304536"
04/01/2006 17.00,2,79,"152,498252"
04/01/2006 18.00,2,85,"208,9944104"
04/01/2006 19.00,2,89,"306,5761984"
04/01/2006 20.00,2,80,"188,76686528"
04/01/2006 21.00,2,69,"124,54976408"
04/01/2006 22.00,1,52,"72,58646056"
04/01/2006 23.00,1,43,"58,45850136"
05/01/2006 0.00,1,29,"37,461816"
05/01/2006 1.00,1,18,"23,94992232"
05/01/2006 2.00,1,15,"20,47013968"
05/01/2006 3.00,1,13,"17,72186147"
05/01/2006 4.00,1,12,"18,10057705"
05/01/2006 5.00,1,11,"17,23809106"
05/01/2006 6.00,1,19,"31,6189352"
05/01/2006 7.00,1,49,"85,71186256"
05/01/2006 8.00,1,38,"59,96689728"
05/01/2006 9.00,1,39,"69,20006"
05/01/2006 10.00,1,34,"64,55688272"
05/01/2006 11.00,1,30,"68,18582048"
05/01/2006 12.00,1,30,"63,63084376"
05/01/2006 13.00,1,31,"70,65010168"
05/01/2006 14.00,1,37,"71,17406616"
05/01/2006 15.00,1,30,"58,57136672"
05/01/2006 16.00,1,38,"64,56598384"
05/01/2006 17.00,2,43,"87,30323928"
05/01/2006 18.00,2,47,"104,72029736"
05/01/2006 19.00,1,42,"77,629112"
05/01/2006 20.00,1,38,"63,69051728"
05/01/2006 21.00,1,33,"54,75046416"
05/01/2006 22.00,1,27,"35,71996488"
05/01/2006 23.00,1,15,"20,88517752"
06/01/2006 0.00,1,12,"18,44557259"
06/01/2006 1.00,,13,"17,11098703"
06/01/2006 2.00,1,,
06/01/2006 3.00,1,12,"16,31464286"
06/01/2006 4.00,1,12,"15,89572174"
06/01/2006 5.00,1,14,"20,47922168"
06/01/2006 6.00,1,14,"19,77107424"
06/01/2006 7.00,1,15,"21,33912456"
06/01/2006 8.00,1,20,"26,48680216"
06/01/2006 9.00,1,18,"27,02504928"
06/01/2006 10.00,1,19,"30,67601328"
06/01/2006 11.00,1,20,"37,98968096"
06/01/2006 12.00,1,19,"35,75369256"
06/01/2006 13.00,1,19,"33,07025792"
06/01/2006 14.00,1,19,"30,6786136"
06/01/2006 15.00,1,14,"21,65687984"
06/01/2006 16.00,1,16,"23,76445832"
06/01/2006 17.00,1,29,"39,92605896"
06/01/2006 18.00,1,47,"74,03000144"
06/01/2006 19.00,1,46,"59,14462256"
06/01/2006 20.00,1,34,"42,22688328"
06/01/2006 21.00,1,25,"30,3647588"
06/01/2006 22.00,1,28,"34,51247952"
06/01/2006 23.00,1,23,"27,6411148"
07/01/2006 0.00,1,16,"19,7632924"
07/01/2006 1.00,1,14,"17,03705955"
07/01/2006 2.00,1,13,"16,20180809"
07/01/2006 3.00,1,9,"11,2940559"
07/01/2006 4.00,1,9,"11,17603005"
07/01/2006 5.00,1,9,"12,50283568"
07/01/2006 6.00,1,12,"16,51697261"
07/01/2006 7.00,1,14,"18,39109971"
07/01/2006 8.00,1,19,"26,96021336"
07/01/2006 9.00,1,22,"31,16628832"
07/01/2006 10.00,2,33,"53,1992968"
07/01/2006 11.00,2,28,"47,0516432"
07/01/2006 12.00,2,31,"51,89972952"
07/01/2006 13.00,2,23,"42,57836624"
07/01/2006 14.00,2,32,"49,79733256"
07/01/2006 15.00,2,29,"39,93514096"
07/01/2006 16.00,2,35,"48,15536432"
07/01/2006 17.00,2,53,"81,85853248"
07/01/2006 18.00,2,72,"175,95535632"
07/01/2006 19.00,2,62,"128,43806464"
07/01/2006 20.00,1,51,"66,82919912"
07/01/2006 21.00,1,42,"55,22255608"
07/01/2006 22.00,1,25,"31,62539776"
07/01/2006 23.00,1,23,"27,50234184"
08/01/2006 0.00,1,21,"27,25720432"
08/01/2006 1.00,,19,"23,07835624"
08/01/2006 2.00,1,,
08/01/2006 3.00,1,15,"16,9968521"
08/01/2006 4.00,1,30,"36,1920568"
